A.	A.
Si i’eſtois capable d’eſtimer autre choſe que mon ſeruage ce ſeroit voſtre humeur, chacune condition aſſemble neantmoins ſes contraires, tout eſt mixte icy bas, & ne croy point que parmy ceſte li berté, il ne ſe treuue des deſplaiſirs & des gehennes, nous ne ſommes non pluscapables de gouſter la pureté des delices que celle de la verite:	Si j'étais capable d'estimer autre chose que mon servage ce serait votre humeur, chacune condition assemble néanmoins ses contraires, tout est mixte ici bas, et ne crois point que parmi cette li berté, il ne se trouve dé plaisirs et des géhennes, nous ne sommes non pluscapables de goûter la pureté des délices que celle de la vérité:
c’eſt pourquoy ie m’eſtime heureux, puis qu’il faut ſouffrir d’auoir faict choix d’vne ſi belle gehenne.	c'est pourquoi Madame m'estime heureux, puis qu'il faut souffrir d'avoir fait choix d'une si belle géhenne.
Thiphis.	Thyphis.
Laiſſez ceſte humeur me .	Laissez cette humeur me .
.	.
.	.
x plumee, & nous diſtes ſi vous n’eſperez pas quelque choſe de mieux de voſtre amour, que vous n’auez faict iuſques à ce iour, ie le lis dans voſtre viſage & voſtre deuiſe chãgee qui eſtoit vne branche de mir the ſeiche ſeule, or alliee auec ceſt e verde & ces mots (deſpues el verno biene el verané) bien cotraires à ces triſtes parolles (es muerte mi eſperanſe) veues auec tant de regret de tous les pa ſteurs de ceſte contree, me font eſtimer que voſtre vertu triomphera des accidens qui l’ont ſi longuement & cruel lement combatue.	Ôx plumée, et nous dîtes si vous n'espérez pas quelque chose de même de votre amour, que vous n'avez fait jusques à ce jour, ie le lis dans votre visage et votre deuise changée qui était une branche de mir thé che seule, or allie avec cette ce et ces mots (despues ver de e verané) bien cotraires ces tristes parolles mot mi esperanse) veues auec ( dé regret de tous les p steurs de ceste contrée, me font estimer que vôtre vertu triomphera des accidens qui ont si en et cruel lement combatue.
12 Si ie me pouuois promettre quelque choſe du ſort qui m'a eſté iuſques a ce iour ſi contraire, ou que mon merite euſt quelques charmes capables de faire eſtimer mes vœux, ie vous laiſſerois viure en l’opinion de ce que ie deſire, auec le plus de paſſion, croire auec aparence, mais ie vous diray que ie ſuis encor de ceux qui cherchent aſſez, deſirent beaucoup, & eſperent peu.	12 Si tu me pouvais promettre quelque chose du sort qui m'a été jusques à ce jour si contraire, ou que mon mérite eût quelques charmes capables de faire estimer mes vœux, on vous laisserais vivre en l'opinion de ce que sans désire, avec le plus de passion, Seigneur avec apparence, mais ie vous dirai que je suis encor de ceux qui cherchent assez, désirent beaucoup, et espèrent peu.
Dimitille.	Dimitille.
Il n’eſt pas raiſonnable Bergers, d’eſtre ſi ialoux de la preſence d’Angeralde, que nous en priuions plus longuemẽt ces autres amis, laiſſons les en ioüir à leur tour, luyſouhaitãt autant de felicité en ſes deſirs que ſa perſonne a de merite, ce ſera aſlés pour le rendre par faictement heureux.	Il n'est pas raisonnable Bergers, d'être si jaloux de la présence d'Angeralde, que nous en présuions plus longuement ces autres amis, laissons les en jouir à leur tour, luysouhaitãt autant de félicité en ses désirs que sa personne a de mérite, ce sera assez pour le rendre par faitement heureux.
2 Floridon.	2 Floridon.
Adieu Berger, nous receurons la poſſeſſion de voſtre veuë, auec plus de loiſir.	Adieu Berger, nous recevrons la possession de votre vue, avec plus de loisir.
Angeralde.	Angeralde.
L’honneur & le contentement m’en demeurera auec le deſir de vous rendre à tous ſer uice.	L'honneur et le contentement m'en demeurera avec le désir de vous rendre à tous ser vice.
Nerine & Phalerine Phees.	Nerine et Phalerine Phées.
A Vés vous ſceu le retour Y A d’Angeralde, & le repentir de Phenie (Phalerine) ie me ſuis curieuſement enquiſe de l’vn & de l’autre, mais helas!	A Avez -vous su le retour Y A d'Angeralde, et le repentir de Phénie (Phalerine) grande me suis curieusement enquise de l'un et de l'autre, mais hélas!
ie ne preuoy que trop ce qui auiendra de ceſte tardiue recognoiſſance:	On ne prévois que trop ce qui aviendra de cette tardive reconnaissance:
il euſt mieux valu mille ſois au pauure Angeralde, que Phenice euſt perſeueré en ſo in gratitu de, ſa perte ne luyeuſt pas laiſſè des regrets, qui le traineront au cercueil, ſi quelque aſtre heureux ne corige la malignité de ceux qui luyont rédu ceſte affection ſi funeſte (Nerine) il ſẽble neantmoins ---  que le Ciel le vueille rendre auſſi heureux qu’il a eſte miſerable iuſques à ce iour, ie tiens la reminiſcence de Phenie entiere:	il eût mieux valu mille sois au pauvre Angeralde, que Phénice eût perseueré en so in grattitu de, sa perte ne avait pas laissé des regrets, qui le traîneront au cercueil, si quelque astre heureux ne corige la malignité de ceux qui avait rédu cette affection si funeste (Nerine) il semble neantmoins -- que le Ciel le veuille rendre aussi heureux qu'il a été misérable jusques à ce jour, Seigneur tiens la réminiscence de Phénie entière:
car depuis que nous recognoiſſons auoir offencé ce qui nous ayme, & que noſtre repentir receu a bras ouuers, ſemble r’animer l'affection de la choſe aimee, ou nous n’auons point eu d’a mour, où nous deuons bruſler d’amour, pource quinous aime auec vne affectionſi fer uente, il ſe voit peu d’ames comme celle d’Angeralde, qui ne ſoyent acceſſibles au iuſte reſſentiment qu’apporte le deſdain de la choſe aimée:	car depuis que nous reconnaissons avoir offensé ce qui nous aime, et que notre repentir reçu à bras ouvers, semble ranimer l'affection de la chose aimée, ou nous n'avons point eu d'a mour, où nous devons brûler d'amour, pource quinous aime avec une affectionsi fer ente, il se voit peu d'ames comme celle d'Angerale, qui ne soient accessibles au juste ressentiment qu'apporte le dédain de la chose aimée:
d 21 le meſpris eſt ſi intolerable, que ie m’eſtonne comme vn bon courage le peut endurer.	 21 le mépris est si intolérable, que Elle m'étonne comme un bon courage le peut endurer.
Phalerine) auſſi ſi vous y prenez garde ceſt ament qui ſe peut dire l’exemple & le modelle de la fidelité conſentit pluſtoſt à ce priuer de la veue de celle qu’il aimoit qu’a luy voir fouler aux pieds, ſa conſentence & ſon amour, il ne la peut haïr veritablemẽt ny s’épeſcher de l’aimer, mais il s’eſt priué de ſa chere preſen ce auſſi toſt qu’elle a eu du deſdain pour luy, ce que tous les perils qui ce peuuent imagine rn’euſſent ſceu gaïgner ſur ce braue, ce à quoy la poſſeſſion de l’Empire du monde ne l’euſt ſceu incliner, a eſté parfaictement obtenu par vn ſeul meſpris, tant les ames gentilles ſont ſenſiblement touchees de ſon venin, qui peut ſtupifier nos cœurs à l’affection, & y loger la haine:	Phalerine) a eut vous y prenez garde cette ament qui se peut dire l'exemple et le modèle de la fidélité consentit plustost à ce priver de la vue de celle qu'il aimait qu'a avait voir fouler aux pieds, sa consentence et son amour, il ne la peut haïr veritablemẽt ni s'épescher de l'aimer, mais il s'est privé de sa chère pres ce aussi tôt qu'elle a eu du dédain pour lui, ce que tous les périls qui ce peuvent imagine reuneussent sceu gaïgner sur ce brave, ce à quoi la possession de l'Empire du monde ne l'est sceu incliner, a esté fay obtenu par seul mépris, tant les ames gentilles sont sensiblement touchées de son venin, qui peut stupifier nos cœurs affection, et y loger la haine:
ce qui par miracle n’eſt point aduenu en ce miracle des amens;	ce qui par miracle n'est point avenu en ce miracle des amends;
l’exemple & le modelle de la fidelité qui ſe concenta de ſe banir de la choſe aimée, ſans paſſer à la Haine.	l'exemple et le modèle de la fidélité qui se concenta de se banir de la chose aimée, sans passer à la Haine.
ny meſme diminuer que peu de ſon amour.	Elle même diminuer que peu de son amour.
Il eſtoitraiſonnable que ce luy qui indiſcretement, auoit voulu des romdre ieuis affe ctiõs en propoſaſt le reſtabliſ ſemẽt c’eſtoit aſſés, voire trop faire à Angeralde, de teſmoigner du regret pour le mal de celle qui luy en auoit tant pro curé, c’eſt eſtre de nature diuine que de rendre la compaſ ſion pour le meſpris, & d’oublier les iniures, lors que nous voions en affliction ceux qui nous les ont faict receuoir.	Il estoitraisonnable que ce lui qui indiscrètement, avait voulu des romdre jeuis asse comptions en proposât le rétablis semeut c'était assez, voire trop faire à Angalde, de témoigner du regret pour le mal de celle qui nous en avait tant pro guré, c'est être de nature divine que de rendre la compas sion pour le mépris, et d'oublier les injures, lors que nous voyons en affliction ceux qui nous les ont fait recevoir.
Phalerine) ce peu de ioye coblera ce pauure amant de dou leurs ſachez ô Nerine, que iaſi ſte à la naiſſance de ce gentil paſteur de laquelle i’ay pris ex actement, non ſeulement l’eure, mais la minute & le moment, fabriquent auec toute ſortes deſoings, d’obſeruation & de ſcience, ſon horoſcope, mais ie ne treuue point que ceſt amour luy promit de roſes, qu’enuironnées d’eſpines, ie luy ay predit ces deux voyages, le premier cauſé par la vanité de ſa maiſtreſſe qui ne l’eſtimoit pas capable de ſes bonnes graces, ſi auec mille perfections qui le rendoient admirable par deſſus ſon aage & ſes egaux, il n’euſt encore veu les regions plus eſloignees, ſacrifiant à ſa vanité, & ſon amant, & ces pro pres delices:	Phalerine) ce peu de joie coblera ce pauvre amant de dou leurs sachez ô Nérine, que jasi sainte à la naissance de ce gentil pasteur de laquelle j'ai pris ex tement, non seulement l'eure, mais la minute et le moment, fabriquent avec toute sortes désoings, d'observation et de science, son horoscope, mais même ne trouve point que cest amour lui promit de roses, qu'environnées d'épines, été lui ai prédit ces deux voyages, le premier causé par la vanité de sa maîtresse qui ne l'estimait pas capable de ses bonnes graces, si auec mille perfections qui le rendoient admirable par dessus son aage et ses égaux, il neût encore les régions plus esloignees, sacrifiant sa vanité, et son amant, et ces pro pres délices:
ce dernier qui a penſe deſnoüer le nœud gerdien, que renibre auoir eſté Eiipere.	ce dernier qui a pense dénouer le nœud gerdien, que renibre avoir été Eiipere.
faict des mains d’amour & du deſtin, pour aſſembler ces cœurs a eſté preueu par moy qui ay eſtè iuſques à ce iour ſon oracle, mais quoy, toutes mesperſuaſions n’ont ſçeu le deſtourner de ce pernicieux amour, dont ie ne luy ay oſé dire la fin de peur de le faire finir.	fait des mains d'amour et du destin, pour assembler ces cœurs a été preu par moi qui ai est élever à ce jour son oracle, mais quoi, toutes mespersuasions n'ont apprendre le détourner de ce pernicieux amour, dontonc ne lui ay osé dire la fin de peur de le faire finir.
Scachez doncques que Phenice mourra de la maladie qui la detient, & que Angeralde pouſſé de deſeſpoir & de rage, tachera de ſe donner la mort, & fera vne vie ſi ennemiedeſavie, que les rochers meſme en auront prre Ie veux aduertir Philandre & ſes plus chers a mis de le le qui T 2 ter pendant que ſes malignes influances s’arreſterõt ſur ſon zenit, apres quoy Targante & moy metrons peine de luy faire reuenir les ſens & l’eſperance d’vne meilleure condition (Nerine) vous me dictes là des choſes eſtranges, & auſ.	Scachez donc que Phénice mourra de la maladie qui la détient, et que Angeralde poussé de désespoir et de rage, tachera de se donner la mort, et fera asse vie si ennemiedesavie, que les rochers même en auront prères Je veux avertir Philandre et ses plus chers a mis de le le qui 2 ter pendant que ses malignes influances s'arresterõt sur son zénit, après quoi Targante et moi métrons peine de lui faire revenir les sens et l'espérance d'une meilleure condition (Nerine) vous me dictes p ré choses étranges, ) vous.
quelles vous deuezremedier, les ayant ſi admirablement preiugees (Philandre) Le deſtin eſt ſi abſolu que ce qui eſt preueu de nous, ne peut pas meſme eſtre euitè de nous, il nous faict tomber en ſes rets, lors que nous les penſons eſloigner, & comme la medecine n’a pas pouuoir de pro longer la vle, allia d'uco ureh – O .	quelles vous devezremedier, les ayant si admirablement préjugees (Philandre) Le destin est si absolu que ce qui est prévu de nous, ne peut pas avoir être euitè re nous, de nous fait tomber en ses rets, lors que nous les pensons éloigner, et comme la médecine n'a pas pouvoir de prolonger la , allia d'u ne Ô .
.	.
.	.
Dejejpere, & moderer les douleurs, la preuoyance n’a autre priuilege ſur le deſtin que de rendre ſes coups moings rudes & de ſe preualoir des occaſions que la foibleſſe qui luy offre pour luy eſquiuer à demy.	Dejejpere, et modérer les douleurs, la prévoyance n'a autre privilège sur le destin que de rendre ses coups moings rudes et de se prévaloir des occasions que la faiblesse qui lui offre pour mieux esquiuer à demi.
Nerine ( doù vient donc ce prouerbe qui dit, que la prudence domine les aſtres?	Nerine ( doù vient donc ce proverbe qui dit, que la prudence domine les astres?
