Voſtre tres-humble & tres.	Votre très-humble et très.
Que cette occaſion vient fauorablement!	Que cette occasion vient favorablement!
Parlons luy, decouurons quel eſt ſon ſentiment.	Parlons lui, découvrons quel est son sentiment.
Ie confeſſe auoir fait vne heureuſe mépriſe:	Je confesse avoir fait quelque heureuse méprise:
Iniuriex refus!	Injuriex refus!
SVSANNE Indiſcrette entrepriſe!	SUSANE Indiscrète entreprise!
CLAVDE Outre que le ſalut doit eſtre indiferent;	CLAUDE Outre que le salut doit être indifèrent;
y ous me deues ertcer comne vortre parent:	y ous me devez ertcer comne vortre parent:
Feignés vous d’ignorer l’ordrede viure à Rome?	Feignez -vous d'ignorer l'ordre vivre à Rome?
SVSANNE I’ay de l’auerſion pour les baiſers d’vn homme:	SUSANNE J'ai de l'aversion pour les baisers d'un homme:
Mon viſage ne fut iamais touché d’aucun, De le flio bucinaiuumomomtrant du commun?	Mon visage ne fut jamais touché d'aucun, De le flio bucinaiuumomomtrant du commun?
Les mouuemens du cœur s’exprimant par paroles Font ſeruir vôtre bouche auaculte des Idoles.	Les mouvements du cœur s'exprimant par paroles Font servir votre bouche auaculte des Idoles.
CLAVDE apart ſoy.	CLAUDE appart soi.
Comment endurés vous (Dieux) que l’impieté Ait pour ſe faire ſuiure vn maſque de beauté?	Comment endurez -vous (Dieux) que l'impiété Ait pour se faire suivre un masque de beauté?
SVSANNE apart ſoy.	SUSANE appart soi.
Pouués vous bien ſouffrir, Diuinité ſupréme, Qu'vir lettnie redorte namonjamtoue aime?	Pouvez -vous bien souffrir, Divinité suprême, Qu'vir lettnie redorte namonjamoue aime?
CLAVDE Que ne rabaiſſés vous ſes ſentimens hautains, Les faiſant ſuccomber ſous le poix de vos mains?	CLAUDE Que ne rabaissez vous ses sentiments hautains, Les faisant succomber sous le poix de vos mains?
SVSANNE Pourquoy ne laiſſés vous agir vôtre Iuſtice, Et rendre l’Vniuers armé pour ſon ſuplice?	SUSANE Pourquoi ne laissez vous agir votre Justice, Et rendre l'Univers armé pour son supplice?
CLAVDE Vous voyant mepriſer, ne faut il pas punir?	CLAUDE Vous voyant mépriser, ne faut -il pas punir?
Vôtre clemence peut vôtre gloire ternir.	Votre clémence peut votre gloire ternir.
SVSANNE Vôtre gloire ne peur eſtre jamais flétrie, C iiboſt) teccupic hio (Y.	SUSANNE Votre gloire ne peur être jamais flétrie, Ç iibost) teccupic hio (Y.
Mnide Pen voue en derove encette idolatiies.	Mnide Pen voue en derove encette idolâtiies.
CLAVDE Faites puiſſamment voir que vous eſtes des Dieux A qui les Chreſtiens ſont des objects odieux.	CLAUDE Faites puissamment voir que vous êtes des Dieux À qui les Chrétiens sont des objects odieux.
SVSANNE Vn ſeul particulier retient le populaire, Quand on luy fait ſouffirir vne peine exemplaire:	SUSANNE Un seul particulier retient le populaire, Quand on lui fait souffir to peine exemplaire:
Mais ie m’efforce en vain d’aigrir vôtre couroux, Car vous ne recherchés que le ſalut de tous.	Mais ainsi m'efforce en vain d'aigrir votre courroux, Car vous ne recherchez que le salut de tous.
Vôtre aureille n’eſt point à mon diſcours ouuerte, Vous ne pouués (mon Dieu) conſentir à ſa perte;	Votre aureille n'est point à mon discours ouverte, Vous ne pensez (mon Dieu) consentir à sa perte;
De quelque énormité que pechent les humains, Pour leur punition vous n’aués point de mains, Qu’apres qu’ils ont receu l’aide de vôtre grace, furqu'a reauemte, lalis leur eitre encace:	De quelque énormité que pèchent les humains, Pour leur punition vous n'avez point de mains, Qu'après qu'ils ont reçu l'aide de votre grâce, furqu'a reavemte, lalis leur eitre encace:
Lors que vous les frapés, c’eſt de traits de douceur, Et quoy que l’offenſé, vous cherchés l’offenſeur.	Lors que vous les frappez, c'est de traits de douceur, Et quoi que l'offensé, vous cherchez l'offenseur.
CLAVDE Vous parlés à ce Dieu dont la toute-Puiſſance Ne parut jamais mieux qu’au haut d’vne potence?	CLAUDE Vous parlès à ce Dieu dont la toute-Puissance Ne parut jamais mieux qu'au haut d'une potence?
SVSANNE Profane, en blaſphemant tu dis la verité, Là, ſon pouuoir parut en ſon humilité;	SUSANE Profane, en blasphèment tu dis la vérité, Là, son pouvoir parut en son humilité;
Son Eſprit (diroit-on) ſecrettement t’inſpire, Car tu dis beacoup plus que tu ne penſe dire.	Son Esprit (dirait-on) secrètement t'inspire, Car tu dis beacoup plus que tu ne pense dire.
Quoy que la Terre, l’Eau, L’air, le feu, ce flambeau Sans lequel l'Vniuers ne ſeroit qu’vn Tombeau, Ces Cieux toûjours roulans, d’admirable ſtructure, Et tout ce qu’à nos yeux étale la Nature, Ait reçeu de luy l’eſtre, & la creation;	Quoi que la Terre, l'Eau, L'air, le feu, ce flambeau Sans lequel l'Univers ne serait qu'un Tombeau, Ces Cieux toujours roulants, d'admirable structure, Et tout ce qu'à nos yeux étale la Nature, Ait reçu de lui l'être, et la création;
Rien ne peut égaler nôtre rédemption.	Rien ne peut égaler notre rédemption.
En elle la colere a l’amour pour complice,	En elle la colère a l'amour pour complice,
A ij La Clemence y paroit jointe auec la Iuſtice:	A ij La Clémence y paraît jointe avec la Justice:
Les contraires par là peuuent ſimpatiſer, Vn Dieu s’y void mourir, l’homme immortaliſer?	Les contraires par là peuvent simpatiser, Un Dieu s'y voit mourir, l'homme immortaliser?
Enfin ce que le Ciel contient de plus auguſte, Y tient lieu de pecheur, & le pecheur de iuſte.	Enfin ce que le Ciel contient de plus auguste, Y tient lieu de pécheur, et le pécheur de juste.
CLAVDE Si ce Dieu pouuoit tout, pourquoy frauroit il pas Reparé le peché, ſans ſouffrir le trepas?	CLAUDE Si ce Dieu pouvait tout, pourquoi fraurait -il pas Réparé le péché, sans souffrir le trépas?
SVSANNE L’immortel ſe rendant de la mort tributaire, Sa Iuſtice eut ainſi dequoy ſe ſatisfaire.	SUSANNE L'immortel se rendant de la mort tributaire, Sa Justice eut ainsi dequoy se satisfaire.
Par ſa loy, le peché deuoit eſtre puni:	Par sa loi, le péché devait être puni:
Et comme ſon object le rendoit infini, Il ne pouuoit auoir de punition telle, Que l’homme ne ſouffrit vne mort éternelle.	Et comme son object le rendait infini, Il ne pouvait avoir de punition telle, Que l'homme ne souffrit une mort éternelle.
Son Amour s’oppoſant â ce dur iugement, Satisfit ſa Iuſtice agiſſant autrement:	Son Amour s'opposant â ce dur jugement, Satisfit sa Justice agissant autrement:
La mort fut temporelle, obſeruant la meſure;	La mort fut temporelle, observant la mesure;
Il la faut infinie, & l’infini l’endure, Reparant dans le temps par ſon infinité, Ce qu’vn fini n’eût pû, meſme en l’Eternité.	Il la faut infinie, et l'infini l'endure, Réparant dans le temps par son infinité, Ce qu'Homme fini n'eût pu, même en l'Éternité.
C eit aui que ron vid la Charité parfaite, Contenter ſa Iuſtice, & reſter ſatisfaite, Et luy meſme en ſa mort eſtre reparateur, Du crime contre luy, dont l’homme eſtoit l’autheur.	Ç Cit aui que ron vit la Charité parfaite, Contenter sa Justice, et rester satisfaite, Et lui avait en sa mort être réparateur, Du crime contre notre, dont l'homme était l'auteur.
CLAVDE Qu el excés de bonté!	CLAUDE Qu el excès de bonté!
SVSANNE Des prodiges viſibles, Montrerent qu’il touchoit les choſes inſenſibles.	SUSANNE Des prodiges visibles, Montrerent qu'il touchait les choses insensibles.
Le grand aſtre du iour, lors qu’il rendit l’Eſprit;	Le grand astre du jour, lors qu'il rendit l'Esprit;
Fit aſſés voir ſon deüil par la couleur qu’il prit,	Fit assez voir son deuil par la couleur qu'il prit,
D'vn voile ténébreux il obſcurcit ſes flames.	D'un voile ténébreux il obscurcit ses flammes.
Quand il vid éclipſer le Soleil de nos Ames:	Quand il vit éclipser le Soleil de nos Âmes:
Ce bel œil ne montroit deſt viue couleur Que des larmes de ſang, dapu ſa noire páleur.	Ce bel œil ne montrait dest vive couleur Que des larmes de sang, dapu sa noire pleur.
Celle qui dans ſoſſſein tient le centre dumonde, Nôtre communeſtttre & prodigue & féconde, Apperceuant finie eppuy de ſon repos, Trembla, de peur dechoir dans le premier chaos La charité, ce feu;	Celle qui dans sosssein tient le centre dumonde, Notre communesttre et prodigue et féconde, Apercevant finie épui de son repos, Trembla, de peur déchoir dans le premier chaos La charité, ce feu;
dont la chaleur diuine, Comme ce vn ſacré Globe eſtoit dans ſa Poitrine, Par vn trou violent trouuant à s’exaler, Suit ſon actiuité, ſort, & cherche à bruler:	dont la chaleur divine, Comme ce un sacré Globe était dans sa Poitrine, Par un trou violent trouvant à s'exaler, Suit son activité, sort, et cherche à brûler:
L’on vid par ſes ardeurs, en tous lieux étendües Les ſepulchres ouuerts, & les Pierres fendües.	L'on vit par ses ardeurs, en tous lieux étendues Les sépulchres ouverts, et les Pierres fendues.
Long-temps auant ce iour fatalement heureux, Le Geſſſé humain tombé ſous vn ſort rigoureux, N’aſioit de ſon ſalut qu’vn fauorable augure, Nôtre redemption n’eſtoit lors qu’en figure;	Longtemps avant ce jour fatalement heureux, Le Gessé humain tombé sous un sort rigoureux, N'asiait de son salut qu'un favorable augure, Notre rédemption n'était lors qu'en figure;
Le plus fauoriſé d’entre tous les mortels, N’oſoit que rarement approcher des Autels;	Le plus favorisé d'entre tous les mortels, N'osait que rarement approcher des Autels;
Mais le voile, témoin d’vne telle diſgrace, Qui du Temple ſacré couuroit la ſainte face, Se rompant, en ce iour de merueilles rempli, Tout parût découuert, comme tout accompli.	Mais le voile, témoin d'une telle disgrâce, Qui du Temple sacré couvrait la sainte face, Se rompant, en ce jour de merveilles rempli, Tout parût découvert, comme tout accompli.
Si jadis, pour former cet excellent ouurage, Qui de ſon Createur eſt la viuante image, Il falut vn effort de puiſſance & d’amour, Le meſme ſe rencontre en ce celebre iour :	Si jadis, pour former cet excellent ouvrage, Qui de son Créateur est la vivante image, Il fallut un effort de puissance et d'amour, Le même se rencontre en ce célèbre jour :
C’eſt le meſme ouurier, & la meſme matiere;	C'est le même ouvrier, et la même matière;
Pluſieurs corps que la mort auoit mis en pouſſiere, Reduits dans le néant de la priuation, Se virent rétablir en leur perfection :	Plusieurs corps que la mort avait mis en poussière, Réduits dans le néant de la privation, Se virent rétablir en leur perfection :
Par vn ſemblable effect d’amour & de puiſſance, Ils receurent encor la vie & l’exiſtance:	Par un semblable effet d'amour et de puissance, Ils recevrent encor la vie et l'existance:
Mais en ce merueilleux & public changement Lhomme perſeuera dans l’endurciſſement.	Mais en ce merveilleux et public changement Lhomme persévéra dans l'endurcissement.
CLAVDE Ha!	CLAUDE Ha!
mon ame, c’eſt trop faire de reſiſtance!	mon âme, c'est trop faire de résistance!
Ce diſcours, d’vn vray Dieu me donne conoiſſance.	Ce discours, d'un vrai Dieu me donne conaissance.
Idolátrie, Erreur, Fauſſe doctrine, Abus, Vous m’appellés en vain, ie ne vous entends plus.	Idolâtrie, Erreur, Fausse doctrine, Abus, Vous m'appelez en vain, enfin ne vous entends plus.
Ceux que vous attirés n’ont que le deſſein d’eſtre Pareils au fer, qui ſuit l’ayman ſans le connoître.	Ceux que vous attirez n'ont que le dessein d'être Pareils au fer, qui suit l'aiman sans le connaître.
Vne viue lumiere éclaire ma raiſon, I’auale l’antidore & vomis le poiſon, La vertu veut regner ſur le Trône du vice, Il eſt temps de produire vn acte de Iuſtice;	Une vive lumière éclaire ma raison, J'avale l'antidore et vomis le poison, La vertu veut régner sur le Trône du vice, Il est temps de produire un acte de Justice;
Et par le changement de contraires partis, Retourner vers le lieu d’ou nous ſommes partis.	Et par le changement de contraires partis, Retourner vers le lieu d'ou nous sommes partis.
Ie m’eſtois égaré, dans mon chemin ie r’entre, Mon cœur ſent gayement l’approche de ſon centre, Mon ame, que l’orage auoit mis loin du bord, Commance à voir le calme, & decouure ſon port.	Je m'étais égaré, dans mon chemin ie rentre, Mon cœur sent gaiement l'approche de son centre, Mon âme, que l'orage avait mis loin du bord, Commance à voir le calme, et découvre son port.
Vils metaux, auſquels l’art poliſſant la nature, A donné l’ornement d’vne belle figure, A qui nôtre ignorance érige des Autels, Sous ces illuſtres noms de Dieux & d’immortels;	Vils mets, auxquels l'art polissant la nature, A donné l'ornement d'une belle figure, À qui notre ignorance érige des Autels, Sous ces illustres noms de Dieux et d'immortels;
Ie vay portér ailleurs tous mes deuots offices, N’eſperés plus de moy ny vœux, ny ſacrifices, Cet oracle diuin m’a fait voir mon erreur, Et vous ne m’eſtes plus que des ſujets d’horreur,	Je vais porter ailleurs tous mes dévots offices, N'espérez plus de moiblé vœux, ni sacrifices, Cet oracle divin m'a fait voir mon erreur, Et vous ne m'êtes plus que des sujets d'horreur,
SVSANNE Que vos ſecrets (mon Dieu) paroiſſentadmirables!	SUSANE Que vos secrets (mon Dieu) paraissentadmirables!
Et vous dont la bonté, qui n’a point de ſemblables, A tant de maux diuers voulut s’aſſuiettir, Meſme iuſqu’a la mort, pour nous en garentir;	Et vous dont la bonté, qui n'a point de semblables, A tant de maux divers voulut s'assuiettir, Même jusqu'a la mort, pour nous en garantir;
Dieu veritablement, puiſſant, ſage, adorable, Si vous daignés jetter les yeux ſur ce coupable, De qui le foible eſprit folement éperdu, Vous a ſouuent rauy l’honneur qui vous eſt dû;	Dieu véritablement, puissant, sage, adorable, Si vous daignez jeter les yeux sur ce coupable, De qui le faible esprit folement éperdu, Vous a souvent ravi l'honneur qui vous est dû;
N’y voyés point l’horreur de cette offence extréme, Qui le rend maintenant odieux à ſoy meſme;	N'y voyez point l'horreur de cette offense extrême, Qui le rend maintenant odieux à soi -même;
Que vos diuins regards ne découurent en luy, Que te vif repentir qu’il conçoit auiourd’huy;	Que vos divins regards ne découvrent en lui, Que te vif repentir qu'il conçoit aujourd'hui;
Et de ſes iours paſſés perdant la ſouuenance, Que ce moment vous lont celuy de la haiſſance.	Et de ses jours passés perdant la souvenance, Que ce moment vous lont celui de la haissance.
SVSANNE Mon eſprit eſt raui de voir ce changement.	SUSANE Mon esprit est ravi de voir ce changement.
CLAVDE Vous, de ſa volonté merueilleux inſtrument!	CLAUDE Vous, de sa volonté merveilleux instrument!
Afelnams pale a u guene ayeo mpemle clclere, Qu’à vôtre charité ie ſerue de matiere:	Afelnams pale a u guene aieo mpemle clclere, Qu'à votre charité Seigneur serve de matière:
Exercés là (de grace) à mon inſtrution, Comme il faut profeſſer vôtre Religion.	Exercès là (de grâce) à mon instrution, Comme il faut professer votre Religion.
SVSANNE Si ma capacité ſe trouuoit aſſés grande, En peu de temps l’effet ſuiuroit vôtre demande?	SUSANNE Si ma capacité se trouvait assez grande, En peu de temps l'effet suivrait votre demande?
Mes ſoins vous ſont acquis;	Mes soins vous sont acquis;
mais il faut qu’vn Docteur, Au chemin de la foy ſoit vôtre condućteur.	mais il faut qu'un Docteur, Au chemin de la foi soit votre conducteur.
Icy vôtre intereſt combat mon ignorance, L’vn ſemble m’engager, & l’autre me diſpenſe;	Ici votre intérêt combat mon ignorance, L'un semble m'engager, et l'autre me dispense;
Ie ſuis contrainte à fuir d’où je voy des appas, En vn mot, ie voudrois ce que ie ne puis pas.	Je suis contrainte à fuir d'où je vois des appas, En un mot, ie voudrois ce que Ne ne puis pas.
La raiſon m’interdit vne telle entrepriſe;	La raison m'interdit une telle entreprise;
Allés vous adreſſer au chef de nôtre Egliſe, Puis que pour lieutenant en terre Dieu l'élut, Il peut bien vous ouurir la porte du ſalut.	Allez -vous adresser au chef de notre Église, Puis que pour lieutenant en terre Dieu l'élut, Il peut bien vous ouvrir la porte du salut.
CLAVDE Ie m’en vay le chercher, en grande diligence.	CLAUDE -Je m'en vais le chercher, en grande diligence.
SVSANNE Ioignés à cette ardeur de la perſeuerance.	SUSANE Ioignez à cette ardeur de la persévérance.
SECOND ENTRETIEN.	SECOND ENTRETIEN.
DIOCLETIAN, MAXIMIAN.	DIOCLETIAN, MAXIMIAN.
DIOCLETIAN Quoy, mon fils!	DIOCLETIAN Quoi, mon fils!
Ce grand cœur, ſi craint, ſi ſignalé, reous paroicra touſous rampanit & raualé!	Ce grand cœur, si craint, si signalé, reous parcra tous rampanit et ravalé!
Quoy!	Quoi!
neus verrons touſiours deſſus vôtre viſage, D’vne viué douleur la plus naïue image?	nus verrons toujours dessus votre visage, D'une vivé douleur la plus naïve image?
MAXIMIAN Si mon viſage montre vne ſombre pâleur, Seigneur, c’eſt de la mort la plus viue couleur;	MAXIMIAN Si mon visage montre une sombre pâleur, Seigneur, c'est de la mort la plus vive couleur;
puls qu’ene na lotiilis, aiaut qu'ene me praue, Ie porte ſa liurée en qualité d’Eſclaue:	puls qu'ène na lotiilis, aiaut qu'ene me prave, Je porte sa livrée en qualité d'Esclave:
Elle agit en vainqueur, & i’agis en vaincu, Elle comme viuant, moy, comme ayant vécu.	Elle agit en vainqueur, et j'agis en vaincu, Elle comme vivant, moi, comme ayant vécu.
DIOCLETIAN I’obſerue en ce diſcours que d’vne ſeule atteinte, En vous le cœur s’abat, la raiſon eſt éteinte.	DIOCLETIAN J'observe en ce discours que d'une seule atteinte, En vous le cœur s'abat, la raison est éteinte.
Moy comme ayant vécu!	Moi comme ayant vécu!
vous parlés, vous mouués, Et i’infere de là qu’encore vous viués.	vous parlez, vous mouvez, Et j'infère de là qu'encore vous vivez.
MAXIMIAN Si le Cœur (comme on dit) eſt principe de vie.	MAXIMIAN Si le Cœur (comme on dit) est principe de vie.
gien qu’elle ne luy ſoit entierement rauie, Il perd vne moitié de ce qui l'animoit, Quand il perd l’vnion de l’objet qu’il aimoit:	gien qu'elle ne lui soit entièrement ravie, Il perd ait moitié de ce qui l'animait, Quand il perd l'Hion de l'objet qu'il aimait:
En ſuite la vie eſt tellement languiſſante, Qu'on peut auec raiſon la nommer mort viuante, Et de cette façon hardiment ie concitis;	En suite la vie est tellement languissante, Qu'on peut avec raison la nommer mort vivante, Et de cette façon hardiment ie concitis;
Que la mort eſt viuante, ou que ie ne vis plus.	Que la mort est vivante, ou que je ne vis plus.
DIOCLETIAN Ce qu’on nomme la mort, n’eſt que ceſſer de viure, Non pas vn ennemy qui nous puiſſe pourſuiure:	DIOCLETIAN Ce qu'on nomme la mort, n'est que cesser de vivre, Non pas un ennemi qui nous puisse poursuivre:
Nous ne conceuons rien quand nous diſons la mort, C’eſt donc rien qui vous braue & vous abat fi fort.	Nous ne concevons rien quand nous disons la mort, C'est donc rien qui vous brave et vous abat fi fort.
MAXIMIAN De ce rien (s’il eſt tel) mon ame poſſédée, Se propoſe vn grand monſtre, & s’en forme l’idée, Là, d’vn fixe regard, mon eſprit arreſté, Examine ſa rage & ſa deformité:	MAXIMIAN De ce rien (s'il est tel) mon âme possédée, Se propose un grand montre, et s'en forme l'idée, Là, d'une fixe regard, mon esprit arrêté, Examine sa rage et sa déformité:
Comme vn Cameléon, duquel ie ſuy l’exemple, Ie reçois la couleur de ce que ie contemple;	Comme un Cameléon, duquel Seigneur suivi l'exemple, Je reçois la couleur de ce que ici contemple;
Et ce que vous voyés qui parôit au de hors, Eſt vne impreſſion de l’eſprit ſur le corps.	Et ce que vous voyez qui parôit au de hors, Est une impression de l'esprit sur le corps.
DIOCLETIAN Ie conſens que la mort ſoit vn monſtre terrible, Non pas imaginé, mais réel & viſible, Qui porte dans les cœurs l’épouuante & l’effroy, Et ſoûmet les plus fiers aux rigueurs de ſa loy.	DIOCLETIAN Je consens que la mort soit un monstre terrible, Non pas imaginé, mais réveil et visible, Qui porte dans les cœurs l'épouvante et l'effroi, Et soumet les plus fiers aux rigueurs de sa loi.
Mais pourroit-il ſur vous, ce qu’il peut ſur vn autre?	Mais pourrait-il sur vous, ce qu'il peut sur un autre?
Quand ie dis dans les cœurs, i’en excepte le vôtre;	Quand notre dis dans les cœurs, j'en excepte le vôtre;
Car ie l’ay veu cent fois le foumettre a vos piéds, Il ſe trouuoit toûjours aux lieux où vous eſtiés:	Car ici l'ai vu cent fois le soumettre à vos piéds, Il se trouvait toujours aux lieux où vous étiez:
Vos mépris l’attiroient, ſa force meurtriere Suiuoit les mouuemens de vôtre main guerriere.	Vos mépris l'attiraient, sa force meurtrière Suivait les mouvements de votre main guerrière.
Plus par vn noble orgueil vous l’aués dédaigné.	Plus par un noble orgueil vous l'avez dédaigné.
Plus il a puiſſamment ſur les autres regné;	Plus il a puissamment sur les autres régné;
Et ſi vous l’euſſiés craint, ou qu’il eût pû vous nuire, Il n’auroit pas ſi loin étendu ſon Empire.	Et si vous l'eussiez craint, ou qu'il eût pu vous nuire, Il n'aurait pas si loin étendu son Empire.
Combien l’ont agrandi vos genereux proiets?	Combien l'ont agrandi vos généreux proiss?
De combien l’à peuplé vôtre bras de ſuiets?	De combien l'à peuplé votre bras de sujets?
Dont la gloire n’auoit jamais eſté ternie, Et qui ſans vous auroient braué ſa tirannie.	Dont la gloire n'avait jamais été ternie, Et qui sans vous auraient bravé sa tyrannie.
Vne ſeule rencontre, vne attaque, vn combat, D’vn incroyable nombre augmentoit ſon Etat.	Une seule rencontre, une attaque, un combat, D'âme incroyable nombre augmentait son État.
De combien plus au prix tant d’illuſtres batailles, Tant d’exploicts à défendre & forcer des murailles, Où l’on voyoit les corps, l’vn ſur l’autre entaſſés, Former vne éminence à l’endroit des foſſés.	De combien plus au prix tant d'illustres batailles, Tant d'exploits à défendre et forcer des murailles, Où l'on voyait les corps, l'Un sur l'autre entassés, Former une éminence à l'endroit des fossés.
Lors ce monſtre inhumain ennemy de la vie, S’il eût eſté poſſible eût ſa rage aſſouuie:	Lors ce montre inhumain ennemi de la vie, S'il eût été possible eût sa rage assouuie:
Vos merueilleux effets de generoſité, Auroient lors veu la fin de ſon auidité, Si les Dieux n’auoient fait ce monſtre épouuantable, Encore moins cruel, qu’il n’eſt inſatiable.	Vos merveilleux effets de générosité, Auraient lors vu la fin de son avidité, Si les Dieux n'avaient fait ce monstre épouvantable, Encore moins cruel, qu'il n'est insatiable.
Ce fut lors neantmoins qu’humble & reconoiſſant, Il céda la victoire à vôtre bras puiſſant, Il ne conteſta pas la gloire & l’auentage;	Ce fut lors néanmoins qu'humble et reconaissant, Il céda la victoire à votre bras puissant, Il ne contesta pas la gloire et l'aventage;
Rien qu’vn ſanglant butin n’entra dans ſon partage, Duquel ſe confeſſant redeuable à vos coups, Il mit tout ſon triomphe à dependre de vous;	Rien qu'un sanglant butin n'entra dans son partage, Duquel se confessant redevable à vos coups, Il mit tout son triomphe à dépendre de vous;
Et commé s’accuſant ſoy meſme d’impuiſſance, Parur bouffid’orgueil de cette dépendance.	Et commé s'accusant soi -même d'impuissance, Parur bouffid'orgueil de cette dépendance.
Par toutes ces raiſons ie ne puis conceuoir, Que ſur vous à préſent il ait tant de pouuoir.	Par toutes ces raisons personne ne puis concevoir, Que sur vous à présent il ait tant de pouvoir.
MAXIMIAN Seigneur, mes ſentimens, ſont conformes aux vôtres, Par moy (vous le ſçaués) il a triomphé d’autres,	MAXIMIAN Seigneur, mes sentiments, sont conformes aux vôtres, Par moi (vous le savez) il a triomphé d'autres,
Mais auſſi ne pouuant me ſurmonter de ſoy, A préſent par vne autre il triomphe de moy.	Mais aussi ne pouvant me surmonter de soi, A présent par fois il triomphe de moi.
Ie ne luy ſemblai pas de facile conqueſte, Il fut trop peu hardi pour m’attaquer en teſte, Craignant que contre moy ſes efforts ſerbient vains;	Je ne lui semblai pas de facile conquête, Il fut trop peu hardi pour m'attaquer en tête, Craignant que contre moi ses efforts serbient vains;
Et voyant que mon cœur n’eſtoit plus en mes mains, Qu’embraſé de l’ardeur d’vne pudique flame Il eſtoit poſſedé par vne chaſte femme, 22 Qui par le ſacré noeud d’vne ſainte amitié Compoſoit de mon tout la plus digne moitié;	Et voyant que mon cœur n'était plus en mes mains, Qu'embrasé de l'ardeur d'une pudique flamme Il était possédé par une chaste femme, 22 Qui par le sacré noeud d'une sainte amitié Composait de mon tout la plus digne moitié;
Il m’attaqua par là, ſans craindre ma défence, Et n’y rencontra pas beaucoup de réſiſtance;	Il m'attaqua par là, sans craindre ma défense, Et n'y rencontra pas beaucoup de résistance;
Car ce charmant objet contre ſa cruauté, Pour ſeule force auoit celle de la beauté.	Car ce charmant objet contre sa cruauté, Pour seule force avait celle de la beauté.
Mais cet horrible monſtre eſt aueugle à ſes charmes, C’eſt dans le plus beau ſang qu’il veut tremper ſes armes:	Mais cet horrible montre est aveugle à ses charmes, C'est dans le plus beau sang qu'il veut tremper ses armes:
Ainſi ſa rage en veint en peu de temps ábout, Et par cette partie il ſurmonta le tout.	Ainsi sa rage en veint en peu de temps Ubout, Et par cette partie il surmonta le tout.
Comme la lâcheté n’eſt point ſans artifice, Il pratiqua l’amour pour eſtre ſon complice, Et l’amour qui logea cet objet dans mon cœur, Luy donna le moyen de s’en rendre vainqueur.	Comme la lâcheté n'est point sans artifice, Il pratiqua l'amour pour être son complice, Et l'amour qui logea cet objet dans mon cœur, Lui donna le moyen de s'en rendre vainqueur.
