LA DRIADE AMOVREVSE, PASTORALLE.	LA DRYADE AMOUREUSE, PASTORALLE.
Ouy bien tout celà meurt:	Oui bien tout cela meurt:
mais non les beaux ouurages Qu'Apolon va dictant deſſous ſes lauriers verds, I es preſens des neuf ſœurs vont deſpitant les aages, Et ne mourront iamais qu'en mourant l’vntuers.	mais non les beaux ouvrages Qu'Apolon va dictant dessous ses lauriers verts, Ite urs des neuf sœurs vont dépitant les aages, Et ne mourront jamais qu'en mourant l'untuers.
Par là, ton grand autheur, ô Dryade fidelle, A peu rendre le dard de la mort eſpointé, L ayant fait amoureuje tie rent iinmortelle, Et par ta mort te guide à l’immortalité.	Par là, ton grand auteur, ô Dryade fidèle, À peu rendre le dard de la mort épointé, L ayant fait amoureuje tye rent jinmortelle, Et par ta mort te guide à l'immortalité.
Ce bel eſprit & toy courez meſme auanture, Au temple de memoire ongrauez à iamais.	Ce bel esprit et toi courez Seigneur aventure, Au temple de mémoire ongravez à jamais.
Car s’ilte va tirant hors de la ſepulture, Tu le vas diſpenſant d’y entrer deſormais.	Car s'ilte va tirant hors de la sépulture, Tu le vas dispensant d'y entrer désormais.
Vous trainez ici-bas fort longues deſtinees, Mais en fin par la mort voſtre aage eſt arresté?	Vous traînez ici-bas fort longues destinées, Mais en fin par la mort votre âge est arrêté?
Et luy n'a point conté ſes cinq fois quatre annees, Et nonobſtant peut viure à toute éternité.	Et beau n'a point conté ses cinq fois quatre années, Et nonobstant peut vivre à toute éternité.
viuant, ô belle Nympue, entoy jera jon viure:	vivant, ô belle Nympue, entoi jera jon vivre:
Tu l’iras retirant des riues de là bas, Son liure vit par luy, tu viuras par ſon liure, Et luy viura par toy malgré le dur treſpas.	Tu l'iras retirant des rives de là bas, Son livre vit par Ah, tu vivras par son livre, Et tu vivra par toi malgré le dur trépas.
RAZYRE.	RAZYRE.
amoureux de la Dryade.	amoureux de la Dryade.
amoureuſe de Mirtin.	amoureuse de Mirtin.
Chaſſeur.	Chasseur.
amoureux d’rdamie.	amoureux d'rdamie.
amoureuſe de Terpin.	amoureuse de Terpin.
Berger.	Berger.
Magicien.	Magicien.
amoureux de Paſquiſe.	amoureux de Pasquise.
Nymphe de Diane.	Nymphe de Diane.
Nymphe.	Nymphe.
amoureux de Melice.	amoureux de Mélice.
amourenx d'rdamie.	amourenx d'rdamie.
LA DRIADE AMOVREVSE.	LA DRYADE AMOUREUSE.
TASYOCALEL.	TASYOCALEL.
De l’inuention de P.	De l'invention de P.
Troterel ſieur d’Aues.	Troterel sieur d'Aues.
PREMIER ACTE.	PREMIER ACTE.
SCENE PREMIERE.	SCÈNE PREMIÈRE.
* LE SILVAIN.	* LE SYLVAIN.
V me l’auois bien dit petitfils de ciprine, Que ton feu bruſleroit quelque-fois ma poictrine, Et que ie te ſerois vn iour plus aſſeruy Que ne le fut iamais aucun qui t’ait ſutuy:	V Viens l'avais bien dit petitfils de ciprine, Que ton feu brûlerait quelque-fois ma poitrine, Et que je te serais un jour plus asservi Que ne le fut jamais aucun qui t'ait sutui:
Mais außi que l’obiet dont ie ſerois eſclaue, Seroit des beaux le beau, des plus braues le braue, Qu'il ſeroit tout parfait, & que ſon port hautain	Mais aussi que l'objet dont je serais esclave, Serait des beaux le beau, des plus braves le brave, Qu'il serait tout parfait, et que son port hautain
Sembleroit plus diuin que nul du genre humain:	Semblerait plus divin que nul du genre humain:
Digne de quelque Dieu, bien pluſtoſt que d’vn homme Subiet aux loix du ſort & que la mort aſſomme, Las!	Digne de quelque Dieu, bien plutôt que d'un homme Subiét aux lois du sort et que la mort assomme, Las!
tu m’en fus oracle vn iour dedans ces bois, Imitant d’vn Echo la prophetique vois:	tu m'en fus oracle un jour dedans ces bois, Imitant d'Un Écho la prophétique vois:
Mais moy, trop imprudent, riois de tu parole Folement, l’eſtimant menſongere & friuole, Penſant certainement que le rompu parler Qui prouenoit de toy, fuſt la fille de l’air Qui ſouuent aux paſſans dans vne grotte auſtere Reſpond le dernier ſon de la voix qu’il profere, Car ie ne ſçauois-pas comme depuis i’ay ſçeu, Que maint amant estoit de la ſorte d'eſçeu, Et que tu te plaiſois deſſous vn feint langage, Luy preſager d’aymer l’agreable ſeruage.	Mais moi, trop imprudent, rivais de tu parole Folement, l'estimant mensongère et frivole, Pensant certainement que le rompu parler Qui provenait de toi, fût la fille de l'air Qui souvent aux passants dans une grotte aussi Répond le dernier son de la voix qu'il profère, Car ie ne savais-pas comme depuis j'ai su, Que maint amant était de la sorte d'esçeu, Et que tu te plaisais dessous un feint langage, Luy présager d'aimer l'agréable servage.
Puis que l’euenement enſuit donc tes propos, Et que i’on ſens l’effect poignant iuſques aux os Amour, las!	Puis que l'événement ensuit donc tes propos, Et que j'on sens l'effet poignant jusqu' aux os Amour, las!
ayde-moy, & ſais que ma maiſtreſſe Ne m’aille plus vſant d’vne telle rudeſſe.	aide-moi, et sais que ma maîtresse Ne m'aille plus usant d'une telle rudesse.
Deſià par quatre fois elle m’a fait reſus, Me rendant estonné & de hronte confus?	Déjà par quatre fois elle m'a fait ressus, Me rendant étonné et de hronte confus?
Naure, bleſſe ſon cœur d’vne tranchante vire.	Naure, blesse son cœur d'une tranchante vire.
Sy qu’apres de m’aymer bien-fort elle deſire.	Si qu'après de m'aimer bienfort elle désire.
Ainſi, quand tu voudras ſans en eſtre empeſché, Puiſſes-tu repoſer prez ta belle Pſiché:	Ainsi, quand tu voudras sans en être empêché, Puisses-tu reposer près ta belle Psiché:
Sans que ces foles ſœurs d’vne meſchante enuie Viennent troubler la paix & l’heur de voſtre vie.	Sans que ces soles sœurs d'une méchante envie Viennent troubler la paix et l'heur de votre vie.
Ainſi toute beauté plie ſous ton pouuoir, Sans que de l’y forcer tu te mette en deuoir.	Ainsi toute beauté plie sous ton pouvoir, Sans que de l'y forcer tu te mette en devoir.
Ies Deitez du Ciel miniſtres du tonnerre Reuerent ta vertu, comme ceux de laterre.	Jes Deitez du Ciel ministres du tonnerre Revèrent ta vertu, comme ceux de laterre.
Et du fleuue d’oubly le tirannique Roy, Ainſi comme iadis obeiſſe a ta loy.	Et du fleuve d'oubli le tyrannique Roi, Ainsi comme jadis obéisse a ta loi.
Et dedans l’Occean, les Tritons & Neptune	Et dedans l'Océan, les Tritons et Neptune
Sentent de ton brandon la flameſche importune.	Sent de ton brandon la flammèche importune.
Et parmy les forests, les Nymphes & Siluains, Sentent pareillement ton ardeur en leurs ſeins:	Et parmi les forêts, les Nymphes et Silvains, Sent pareillement ton ardeur en leurs seins:
Bref qu’il ne ſoit icy deſſous cet hemiſphere, Choſe reſpirant l’air qui ne t’ayme & reuere.	Bref qu'il ne soit ici dessous cet hémisphère, Chose respirant l'air qui ne t'aime et révère.
Or ſus guide mes pas (Amour) par tous les lieuæ Où, diuin, tu cognois que luiſent les beaux yeux De ma belle Driade & fais en telle ſorte De cette fois icy qu’amour elle me porte, Empeſchant que de nul iene ſois deſcouuert.	Or sus guide mes pas (Amour) par tous les lieuæ Où, divin, tu connais que luisent les beaux yeux De ma belle Driade et fais en telle sorte De cette fois ici qu'amour elle me porte, Empêchant que de nul iene sois découvert.
Ains fais, fils de Venus, que mon corps ſoit couuert De l’vn à l’autre bout du voille d’vne nuë, Comme iadis celuy d’AEné, dont la venuë Cauſa tant de tourment à la Royne Didon, Qu'elle en receut en fin la Tarque pour guerdon.	Ain fais, fils de Venus, que mon corps soit couvert De l'un à l'autre bout du voille d'une nue, Comme jadis celui d'ANé, dont la venue Causa tant de tourment à la Reine Didon, Qu'elle en reçut en fin la Tarque pour guerdon.
Amour, qu’eſt-ce celà, ah!	Amour, qu'est-ce celà, ah!
tu me fauoriſe, Dans ce proche taillis ma Dryade i’auiſe:	tu me favorise, Dans ce proche taillis ma Dryade j'avise:
Inſpire mon eſprit & luy dicte vn diſiours Qui la puiſſe eſmouuoir a me donner ſecours, Qu’il ſoit ſi bien poli, & ſi fort pathetique, Qu’il me rende amolly ſon cœur par trop pudique,	Inspire mon esprit et mou dicte un disiours Qui la puisse émette à me donner secours, Qu'il soit si bien poli, et si fort pathétique, Qu'il me rende amolli son cœur par trop pudique,
SCENE II.	SCÈNE II.
Le Siluain.	Le Siluain.
La Dryade.	La Dryade.
Le siluain.	Le sylvain.
On deſtin a propos m’a conduit en ce l'en MM Pour voir roſtre beaait, pouir taipatiit ie plen Qui commande vainqueur au ciel & en la terre, Me fait iournellement vne cruelle guerre,	On destin a propos m'a conduit en ce l'en MM Pour voir rostre beaait, pouir taipatiit a pen Qui commande vainqueur au ciel et en la terre, Me fait journellement une cruelle guerre,
Sans me donner de treuue & permettre qu’vn peu D’allentour de mon cœur s’amortiſſe ſon feu, Non-plus que s’il eſtoit celuy-là qui ſans ceſſe, Art dans le temple ſaint de Veste la Deeſſe:	Sans me donner de trouve et permettre qu'un peu D'allentour de mon cœur s'amortisse son feu, Non-plus que s'il était celui-là qui sans cesse, Art dans le temple saint de Vête la Déesse:
Qui va touſiours gardant vn feminin troupeau De peur que l’alliment ne faille à ſon flambeau.	Qui va toujours gardant un féminin troupeau De peur que l'alliment ne faille à son flambeau.
Vostre perfection est du ſien la matiere, Qui le va fourniſſant d’vne belle lumiere:	Votre perfection est du sien la matière, Qui le va fournissant d'une belle lumière:
Et le penſer de vous qui vient mentretenir, Est le garde ſoigneux qui l’empeſche finir.	Et le penser de vous qui vient mentretenir, Est le garde soigneux qui l'empêche finir.
Ie n’ay point de repos & quelque part que i’aille, Touſiours vn fort deſir me point & me trauaille:	Je n'ai point de repos et quelque part que j'aille, Toujours un fort désir me point et me travaille:
Si ieſuis en ces bois tout ſeullet eſcarté, Au deuant de mes yeux vostre belle beauté Se vient repreſenter occupant ma penſee De la derniere fois où ie vous ay laißee, Tant Amour ſa poiſon a coules en mes os, Si ie parle à quelqu’vn ſe ne ſont que ſanglots, Souſpirs entre-coupez & ne puis qu’à grand peine Parfois de mes poulmons reſpirer mon alleine;	Si jesuis en ces bois tout seullet écarté, A deuant de mes yeux votre belle beauté Se vient représenter occupant ma pensée De la dernière fois où il vous ai laisse, Tant Amour sa poison a coules en mes os, Si ie ongle à quelqu'un se ne sont que sanglots, Souspirs entrecoupez et ne puis qu'à grand peine Parfois de mes poulémons respirer mon alleine;
Voilà belle comment & de nuit & de iour Ie ſouffre du tourment pour vostre cher ameur, Sans pouuoir atirer voſtre obstiné courage A me donner le bien qui peut finir ma rage.	Voilà belle comment et de nuit et de jour Je souffre du tourment pour notre cher ameur, Sans pouvoir atirer votre obstiné courage À me donner le bien qui peut finir ma rage.
Helas!	Hélas!
belle pourquoy ne voulez-vous m’aymer?	belle pourquoi ne voulez-vous m'aimer?
Qu’eſt-ce qui vous pourroit en ce ſubiet blamer?	Qu'est-ce qui vous pourrait en ce sujet blâmer?
Sommes neus pas eſgaux en grandeur & richeſſe?	Sommes nus pas égaux en grandeur et richesse?
Suis-ie pas demi-Dieu?	Suis-je pas demi-Dieu?
vous Dryade Deeſſe?	vous Dryade Déesse?
Autre inegalité n’est entre-vous & moy, Sinon celle qui fait que vous me donnez loy, I’enten voſtre beauté, beauté qu’on voit ſi belle, Que ie voudrois mourir cent fois pour l’amour d’elle, S’il eſt qu’vn demy-Dieu ſoit ſubiet à la mort, Et comme les humains la reçoyue du ſort Mais que dis-ie mourir?	Autre inégalité n'est entre-vous et moi, Sinon celle qui fait que vous me donnez loi, J'enten vôtre beauté, beauté qu'on voit si belle, Que ie voudrais mourir cent fois pour l'amour d'elle, S'il est qu'un demi-Dieu soit sujet à la mort, Et comme les humains la reçoive du sort Mais que dis-je mourir?
las!	las!
aſſez ie treſpaſſe, Mon ame ſort de moy, & dans vous (belle) paſſe, Et ne vous trouuant-point diſpoſee à ſon bien, Meurt dedaus voſtre corps ainſi que dans le ſien.	assez ici trépasse, Mon âme sort de moi, et dans vous (belle) passe, Et ne vous trouvant-point dispose à son bien, Meurt dedaus votre corps ainsi que dans le sien.
La Dryade.	La Dryade.
Et bien auez-vous fait vostre belle harangue?	Et bien avez-vous fait votre belle harangue?
Ma foy vous dites d’or, vous auez bonne langue:	Ma foi vous dites d'or, vous avez bonne langue:
Durant ce beau diſcours, ie n’ay eu le pounoir De vous dire vn ſeul mot ny m’en mettre en deuoir, Ains penſois vous oyant, ouyr le dieu Mercure, Quand pour le grand Iupin quelque fait il procure:	Durant ce beau discours, je n'ai eu le pouvoir De vous dire un seul mot ni m'en mettre en devoir, Ains pensais vous oyant, ouïr le dieu Mercure, Quand pour le grand Jupin quelque fait il procure:
L’auez-vous point prié, que pour vous ſecourir Vous ait gratifié de ſi bien diſcourir?	L'avez-vous point prié, que pour vous secourir Vous ait gratifié de si bien discourir?
De tous les demy-Dieux la trouppe grande & belle, Qui fait dedans ſes bois ſa demeure actuelle, Ie n’en cognois-pas vn, ny ne s’en trouue aucun Qui ſoit ainſi que vous aux myrthes importun, Ny qui vienne à tous coups d’vne ſotte parole, Nous reciter l’ennuy d’vne paßion fole.	De tous les demi-Dieux la troupe grande et belle, Qui fait dedans ses bois sa demeure actuelle, Je n'en connais-pas un, ni ne s'en trouve aucun Qui soit ainsi que vous aux myrthes importun, Ni qui vienne à tous coups d'une sotte parole, Nous réciter l'ennui d'une passion sole.
Si vous ſentez d’Amour le conſumant flambeau, D’autres Nymphes il eſt de viſage außi beau Et de teint comme moy auſquelles ſans rien craindre Vous pouuez deſcouurir le mal qui vous fait plandre, Sans venir deuant moy à toute heure, en tous lieux, Me tenir ces propos faime fauc ennujeua.	Si vous sentez d'Amour le consumant flambeau, D'autres Nymphes il est de visage aussi beau Et de teint comme moi ausquelles sans rien craindre Vous pouvez découvrir le mal qui vous fait plandre, Sans venir devant moi à toute heure, en tous lieux, Me tenir ces propos faime fauc ennujeua.
Nutes-vom point encor content de la reſponce Que ie vous fis vn iour?	Nutes-vom point encor content de la réponce Que je vous fis un jour?
ah vrayment ie renonce A vous en faire plus, puis qu’elle n’a esté Aſſez forte d’auoir vostre amour arreſté.	ah vraiment ie renonce À vous en faire plus, puis qu'elle n'a été Assez forte d'avoir votre amour arrêté.
Le Siluain.	Le Siluain.
Hé Dieu!	Hé Dieu!
que dites-vous?	que dites-vous?
las!	las!
comment auroit ele Le pouuoir d'arrester vne choſe, laquelle Ie pere Iupiter qui gouuerne les cieux, Ne ſeauroit empeſcher, ny tous les autres Dieux, Ny meſmes cettuy là qui par la voûte ronde Eſclaire chacque iour de ſa lampe le monde:	comment aurait éle Le pouvoir d'arrêter quelque chose, laquelle Je père Jupiter qui gouverne les cieux, Ne seaurait empêcher, ni tous les autres Dieux, Ni mêmes celui -là qui par la voûte ronde Esclaire chacque jour de sa lampe le monde:
Ny celuy qui brandit les piques & les dards, Parmy les eſcadrons des belliqueux ſoldats:	Ni celui qui brandit les piques et les dards, Parmi les escadrons des belliqueux soldats:
Ny celle qui des bois est la dame & Deeſſe, Que vous allez, ſuyuant, comme elle chaſſereſſe.	Ni celle qui des bois est la dame et Déesse, Que vous allez, suivant, comme elle chasseresse.
La Dryade.	La Dryade.
Quoy que dites-vous là?	Quoi que dites-vous là?
estes-vous ſi bardy De parler de Diane ainſi qu’vn eſtourdy?	êtes-vous si bardi De parler de Diane ainsi qu'un étourdis?
Si elle le ſçauoit, par ſon nom ie vous ture Qu'rde vous puniroit d’vne peine bien dure:	Si elle le savait, par son nom ie vous ture Qu'rde vous punirait d'une peine bien dure:
Comme elle fit iadis ce mal-heureux chaſſeur, Qui dans vne fontaine oz a voir ſa blancheur:	Comme elle fit jadis ce malheureux chasseur, Qui dans une fontaine os a voir sa blancheur:
It cet autre qui or le ciel d’vn aſtre pare:	It cet autre qui or le ciel d'un astre pare:
Leſmoins bren euidents de ja chasteierure.	Lesmoins bren évidents de ja chasteierure.
Mais quoy!	Mais quoi!
l’on ne ſçauroit empeſcher de mentir, Ie commun de celà ne ſe peut diuertir.	l'on ne saurait empêcher de mentir, Je commun de celaà ne se peut divertir.
Le Siluain.	Le Siluain.
Belle, ce que i’en dis n’eſt-pas pour luy deſplaire, Mais parce qu’à mon dire, il estoit neceſſaire D’amener vne exemple à fin de le prouuer, I’ay voulu celle-là promptement vous trouuer.	Belle, ce que j'en dis n'est-pas pour venir déplaire, Mais parce qu'à mon dire, il était nécessaire D'amener une exemple à fin de le prouver, J'ai voulu celle-là promptement vous trouver.
Außi qu'il est certain que vostre forestiere Vit vn tour de l’amour ſon ame priſonniere, Aymant nostre Dieu Pan, qui pour vne toiſon Cueillit la prime fleur de ſa ieune ſaiſon.	Aussi qu'il est certain que votre forestière Vit un tour de l'amour son âme prisonnière, Aimant notre Dieu Pan, qui pour venir toison Cueillit la prime fleur de sa jeune saison.
Et le troyez pour vray, ſi de haz ard encore, Vous l'allez ignorant, car tant elie n’abhorre Ce plaiſir en effect comme elle en fait ſemblant:	Et le troyez pour vrai, si de has ard encore, Vous l'allez ignorant, car tant elle n'abhorre Ce plaisir en effet comme elle en fait semblant:
De ſes Nymphes außi le troupeau s’aſſeblant Pour la ſuyuir aux bois, mainte c’eſt eſgaree, Pourchercher l’amoureux dont eſtoit deſiree.	De ses Nymphes aussi le troupeau s'asseblant Pour la suivir aux bois, main c'est égarée, Pourchercher l'amoureux dont était désirée.
La Dryade:	La Dryade:
Quand il feroit ainſi que Diane eust aymé Le dieu Pan, des Bergers en ces lieux renommé, Comme celà n’eſt-pas, est-ce pourtant a dire Qu’il faille l’enſuyuir?	Quand il ferait ainsi que Diane eût aimé Le dieu Pan, des Bergers en ces lieux renommé, Comme celà n'est-pas, est-ce pourtant a -dire Qu'il faille l'ensuivir?
non, ie ne le deſire Nullement quand à moy:	non, ici ne le désire Nullement quand à moi:
& fiſt-te Iupiter, S’il commet toit du mal ne faudroit l'imiter.	et fît-te Jupiter, S'il commet toit du mal ne faudrait l'imiter.
Et qui commet du mal de la façon s’abuſe, Car la faute d’autruy ne luy ſert-point d'eſcuſe, Ains Plustoſt le condamne & fait qu’il eſt repris, D’autant que par l’exemple il deuoit eſtre apris.	Et qui commet du mal de la façon s'abuse, Car la faute d'autrui ne te sert-point d'écuse, Ains Plutôt le condamne et fait qu'il est repris, D'autant que par l'exemple il devait être appris.
Pour cecy vous n’auez a me dire autre choſe Pour ce ſubiet, voila vostre bouche bien cloſe.	Pour ceci vous n'avez a me dire autre chose Pour ce sujet, voilà votre bouche bien close.
dapd 2 Le siluain.	dapd 2 Le sylvain.
