NLELEEION DE LA FESTE DE VERSAILLES.	NLÉLEION DE LA FÊTE DE VERSAILLES.
Le bout du canal le plus proche eſtoit bordé de douze jets d’eau qui formoient autant de chandeliers, & à l’autre extremité on voyoit vn ſuperbe édifice en forme de dôme.	Le bout du canal le plus proche était bordé de douze jets d'eau qui formaient autant de chandeliers, et à l'autre extrémité on voyait un superbe édifice en forme de dôme.
Il eſtoit percé de trois grands portiques au travers deſquels on découvroit vne grande étenduë de païs.	Il était percé de trois grands portiques au travers desquels on découvrait une grande étenduë de pays.
D’abord l’on vit ſur le Theatre vne colation magnifique d’oranges de Portugal & de toutes ſortes de fruits chargez à fond & en pyramides dans trente-ſix corbeilles qui furent ſervies à toute la Cour par le Mareſchal de Bellefond, & par pluſieurs Seigneurs, pendant que le ſieur de Launay Intendant des menus plaiſirs & affaires de la Chambre donnoit de tous coſtez des	D'abord l'on vit sur le Théâtre un colation magnifique d'oranges de Portugal et de toutes sortes de fruits chargés à fond et en pyramides dans trente-six corbeilles qui furent servies à toute la Cour par le Maréchal de Bellefond, et par plusieurs Seigneurs, pendant que le sieur de Launay Intendant des menus plaisirs et affaires de la Chambre donnait de tous côtés des
On montoit ſur ces terraſſes par trois degrez, & ſur la meſme ligne où eſtoient rangez les termes il y avoit d’vn coſté & d’autre vne allée de grands arbres entre leſquels paroiſſoient des cabinets d’vne architecture ruſtique:	On montait sur ces terrasses par trois degrés, et sur la même ligne où étaient rangés les termes il y avait d'un côté et d'autre une allée de grands arbres entre lesquels paraissaient des cabinets d'une architecture rustique:
Chaque cabinet couvroit vn grand baſſin de marbre ſoûtenu ſur vn pied d’eſtail de meſme matiere, & de ces baſſins ſortoient autant de jets d’eau.	Chaque cabinet couvrait un grand bassin de marbre soutenu sur un pied d'étail de même matière, et de ces bassins sortaient autant de jets d'eau.
imprimez qui contenoient le ſujet de là Comedie & du Balet.	imprimez qui contenaient le sujet de là Comédie et du Ballet.
Bien que la piece qu’on repreſenta doive eſtre conſiderée comme vn Impromptus & vn de ces ouvrages où la neceſſité de ſatisfaire ſur le champ aux volontez du Roy ne donne pas toûjours le loiſir d’y apporter la derniere main, & d’en former les derniers traits;	Bien que la pièce qu'on représenta doive être considérée comme un Impromptus et un de ces ouvrages où la nécessité de satisfaire sur le champ aux volontés du Roi ne donne pas toujours le loisir d'y apporter la dernière main, et d'en former les derniers traits;
neanmoins il eſt certain qu’elle eſt compoſée de parties ſi diverſifiées & ſi agreables qu’on peut dire qu’il n’en a guere paru ſur le Theatre de plus capable de ſatisfaire tout enſemble l’oreille & les yeux des ſpectateurs.	néanmoins il est certain qu'elle est composée de parties si diversifiées et si agréables qu'on peut dire qu'il n'en a guère paru par le Théâtre de plus capable de satisfaire tout ensemble l'oreille et les yeux des spectateurs.
La proſe dont on s’eſt ſervy eſt vn langage tres-propre pour l’action qu’on repreſente;	La prose dont on s'est servi est un langage très-propre pour l'action qu'on représente;
& les vers qui ſe chantent entre les actes de la Comedie conviennent ſi bien au ſujet & expriment ſi tendrement les paſſions dont ceux qui les recitent doivent eſtre émus, qu’il n’y a jamais rien eu de plus touchant.	et les vers qui se chantent entre les actes de la Comédie conviennent si bien au sujet et expriment si tendrement les passions dont ceux qui les récitent doivent être émus, qu'il n'y a jamais rien eu de plus touchant.
Quoy qu’il ſemble que ce ſoit deux Comedies que l’on jouë en meſme temps, dont Tvne Ioit en prole & lautre en vers, elles ſont pourtant ſi bien vnies à vn meſme ſujet qu’elles ne font qu’vne meſme piece & ne repreſentent qu’vne ſeule action.	Quo qu’il semble que ce soit deux Comédies que l'on joue en même temps, dont Tuune Joit en prole et lautre en vers, elles sont pourtant si bien unies à même sujet qu'elles ne font qu'une même pièce et ne représentent qu'une seule action.
L’ouverture du theatre ſe fait par quatre champ.	L'ouverture du théâtre se fait par quatre champ.
Bergers * déguiſez en valets de feſtes qui accompagnez compagnez de quatre autres Bergers* qui joüent de la flûte, font vne danſe où ils obligent Fauier.	Bergers * déguisez en valets de fêtes qui accompagnés compagnés de quatre autres Bergers* qui jouent de la fleute, font a panse où ils obligent Favier.
d’entrer avec eux vn riche Païſan qu’ils rencontrent, & qui mal ſatisfait de ſon mariage, Philbert, n’a l’eſprit remply que de faſcheuſes penſées:	d'entrer avec eux un riche Paysan qu'ils rencontrent, et qui mal satisfait de son mariage, Philbert, n'a l'esprit rempli que de fâcheuses pensées:
Auſſi l’on voit qu’il ſe retire bien-toſt de leur Hottere.	Aussi l'on voit qu'il se retire bientôt de leur Hottère.
cõpagnie où il n’a demeuré que par contrainte.	cõpagnie où il n'a demeuré que par contrainte.
Hylaire 8 Climene & * Cloris qui ſont deux Bergeres amies, entendant le ſon des flûtes, viennent joindre leurs voix à ces inſtrumens & chantent * Tircis & * Philene Amans de ces deux Bergeres, les abordent pour les entretenir de leur paſſion, & font avec elles vne Scene en muſique	Hylaire 8 Climène et * Cloris qui sont deux Bergères amies, entendant le son des fleutes, viennent joindre leurs voix à ces instruments et chantent * Tircis et * Philège Amants de ces deux Bergères, les abordent pour les entretenir de leur passion, et font avec elles une Scène en musique
Cloris.	Cloris.
Laiſſez-nous en repos, Philene.	Laissez-nous en repos, Philène.
Climene.	Climène.
