LE DICTATEVR ROMAIN.	LE DICTATEUR ROMAIN.
la raiſon ſeule m’obligeoit d’adreſſer vn des plus grands Heros & des plus vertueux de l’ancienne Rome, à vn des plus genereux, des plus nobles & des plus parfaits de noſtre Siecle.	la raison seule m'obligeait d'adresser un des plus grands Héros et des plus vertueux de l'ancienne Rome, à un des plus généreux, des plus nobles et des plus parfaits de notre Siècle.
En effet, MONSEIGNEVR, qui eſt-ce qui pouuoit plus noblemẽt que voꝰ faire hõneur à ce grãd PAPYRE?	En effet, MONSEIGNEUR, qui est-ce qui pouvait plus noblemẽt que voù faire honneur à ce grand PAPYRE?
& par droict de bien-ſeance accueillir vn DICTATEVR ROMAIN, qu’vn Colonnel de France, de qui le commandement & l’authorité s’étend dans toutes nos Armées, & le fait autant de fois Capitaine qu’il y a de diuers Regimens qui les compoſent?	et par droit de bienséance accueillir un DICTATEUR ROMAIN, qu' Holonnel de France, de qui le commandement et l'autorité s'étend dans toutes nos Armées, et le fait autant de fois Capitaine qu'il y a de divers Regiments qui les composent?
C’eſt cette Charge Illuſtre que vous ſoûteneZ außi glorieuſement qu’elle ſoûtient la Couronne, dont elle eſt auſsi le plus fort & le plus neceſſaire appuy;	C'est cette Charge Illustre que vous soutenez aussi glorieusement qu'elle soutient la Couronne, dont elle est aussi le plus fort et le plus nécessaire appui;
c’eſt elle par qui l’on peut dire que vous eſtes (bien que quelquefois abſent) toûjours de toutes nos Armées, de nos combats, de a iij nos victoires & de nos triomphes.	c'est elle par qui l'on peut dire que vous êtes (bien que quelquefois absent) toujours de toutes nos Armées, de nos combats, de a iij nos victoires et de nos triomphes.
Mais quoy que par elle V.	Mais quoi que par elle V.
G.	G.
paroiſſe ſi recommandable & d’vne puiſſance ſi eſtendüe ie veus regarde plus brillant du costé de vous meſme & en voſtre perſonne;	paraisse si recommandable et d'une puissance si étendue ie tu regarde plus brillant du côté de vous même et en votre personne;
& ie vous treuue plus noble & plus admirab le en voſtre courage & en vos vertus, que magnifique & pompeux en vos dign.	et personne vous trouve plus noble et plus admirab le en votre courage et en vos vertus, que magnifique et pompeux en vos dign.
teZ I’ous veus eſtes de tout temps monſtré digne Fils, comme auiour d’huy l’on vous voit digne ſucceſſeur du plus grand Homme que ce ſiccle puiſſe oppoſer à l’antiquité, & que la France oſe bien comparer aux Grers & aux Romains;	teez J'ous veus êtes de tout temps montré digne Fils, comme aujour d'hui l'on vous voit digne successeur du plus grand Homme que ce siccle puisse opposer à l'antiquité, et que la France ose bien comparer aux Grers et aux Romains;
que trois Rois auoient esleué, & que pas vn n’a ny abbaiſſe ny destruit;	que trois Rois avaient élevé, et que pas un n'a ni abbaisserés détruit;
que le temps en n’oſant toucher à ſes années a reſpecté außi bien que la Cour, les Peuples & les Nationsique la Fortune meſme a traint auß.	que le temps en n'osant toucher à ses années à respecté aussi bien que la Cour, les Peuples et les Nations la Fortune même a traint aussi.
bien que les Ennemis que la bonne & mauuaiſe touſiours ont treuué eſgali& que toutes deux ETISINE.	bien que les Ennemis que la bonne et mauvaise toujours ont trouvé esgaliet que toutes deux ÉTISINE.
ont laiſſé dedans la gloire, & en la meſme aßiette.	ont laissé dedans la gloire, et en la même assiette.
Cõme luy, MONSEIGNEVR, vous auez ſenty les traits de l’vne & de l'autre, & vous les auez ſouſtenus genereuſement contre luy.	Cõme Roi, MONSEIGNEUR, vous avez senti les traits de l'une et de l'autre, et vous les avez soutenus généreusement contre lui.
Ie voy reluire dans toutes vos actions, outre la grandeur de courage, cette aſſeurance & fermeté de cœur qui luy estoit ſi naturelle, & qu’il ſemble auoir inſpirée au voſtre, außi bien que le noble & genereux ſang qu’il vous a donné.	Je vois reluire dans toutes vos actions, outre la grandeur de courage, cette assurance et fermeté de cœur qui lui était si naturelle, et qu'il semble avoir inspirée au vôtre, aussi bien que le noble et généreux sang qu'il vous a donné.
Digne ſang quivous a cauſé tant de gloire & d’honneur, & à qui vous n’en auez pas moins apporté;	Digne sang quivous a causé tant de gloire et d'honneur, et à qui vous n'en avez pas moins apporté;
illuſtre ſang encore qui vous a ioint à nos Rois, puis que ces Princes de qui vous portez le Nom y touchoient de ſi prez, eux qui ont donné des Reynes à la Hõgrie ainſi qu’à la Boheme de qui deſcendent tant de teſtes couronnées & ces reiettons de la Maiſon d’Austriche.	illustre sang encore qui vous a joint à nos Rois, puis que ces Princes de qui vous portez le Nom y touchaient de si près, eux qui ont donné des Reines à la Hõgrie ainsi qu'à la Boheme de qui descendent tant de têtes couronnées et ces rejettons de la Maison d'Autriche.
Comme autrefois Ceſar, & deuant luy mille autres courageux Romains, dont les eſprits fermes & reſolus eſtoient de la trempe du voſtre, ſe ſont oppoſez à la fureur d’vne Populace, ou de tout vn Camp mutiné:	Comme autrefois César, et devant Seigneur mille autres courageux Romains, dont les esprits fermes et résolus étaient de la trempe du vôtre, se sont opposés à la fureur d'une Populace, ou de tout un Camp mutiné:
de meſme ie vous voy auec cette meſme aſſeurance, preſque ſeul & en petit nombre, deſarmer vne populeuſe & forte Ville, qui a ſouffert & repouſſé l’effort de plus de ſoixante mille hõmes.	de même ici vous vois avec cette même assurance, presque seul et en petit nombre, désarmer une populeuse et forte Ville, qui a souffert et repoussé l'effort de plus de soixante mille hommes.
le voꝰ voy, MONSEIGNEVR, dans vn peril, qui ſans vous eſtonner eſtonna preſque tout l’Eſtat, autant que les effets prodigieux qui l’affermirent par voſtre valeur & par voſtre conduite;	le vo te, MONSEIGNEUR, dans un péril, qui sans vous étonner étonna presque tout l'État, autant que les effets prodigieux qui l'affermirent par votre valeur et par votre conduite;
Ie vous voy l’eſpée à la main, verſer aſſez de ſang pour eſteindre vn brazier qui deuoroit voſtre Prouince, & à la teste de cette Nobleſſe, auec vne poignée de ſoldats leueZ & armez à la hâte, deffaire des Rebelles ſoûleuez ſur vn pretexte qui pouuoit renuerſer cette Monarchie, & dißiper & reduire en fumée cette dangereuſe Armée de Mutins qui menaſſoient d’y mettre le Royaume.	Je vous vois l'épée à la main, verser assez de sang pour éteindre un brasier qui dévorait votre Province, et à la tête de cette Noblesse, avec une poignée de soldats levez et armés à la hâte, défaire des Rebelles soupleuez sur un prétexte qui pouvait renverser cette Monarchie, et dissiper et réduire en fumée cette dangereuse Armée de Mutins qui menaçaient d'y mettre le Royaume.
Ie vous voy dedans vn deſtroit ouurir vn paſſage & les bornes de la France, & plus auãt la rendre encore teſmoing des merueilles de voſtre valeur.	Je vous vois dedans un détroit ouvrir un passage et les bornes de la France, et plus avant la rendre encore témoin des merveilles de votre valeur.
Iuſques-là, MONSEICNEVR, tous ces grands effets de voſtre courage, & de cette conſtante fermeté qui n’eſt qu’aux cœurs des grands Heros, ont eu leur iour, leur eſclat, & leur pompe:	Iusques-là, MONSEICNEUR, tous ces grands effets de votre courage, et de cette constante fermeté qui n'est qu'aux cœurs des grands Héros, ont eu leur jour, leur éclat, et leur pompe:
& quoy que la fortune ou la malice de vos enuieux ait tenté d’obſcurcir en des occaſiõs faſcheuſes quelque peu de vostre gloire;	et quoi que la fortune ou la malice de vos envieux ait tenté d'obscurcir en des occasions fâcheuses quelque peu de votre gloire;
elle a tonte, fois conſeruë parmy les ombres qu’on y vouloit oppoſer, cette ſecrette force de lumieres qui partoient des rayons eritables de V.	elle a tonte, fois conserve parmi les ombres qu'on y voulait opposer, cette secrète force de lumières qui partaient des rayons eritables de V.
6Mais i y ie la voy fort oppreſſee, en cette prudente retraite que ie nomme voſtre exil, & en cette derniere extremité d’vne fortune iniurieuſe, qui vous expoſe ſur Mer dans vne fregaie, ainſi que Ceſar à la mercy des tempeſtes;	6Mais y y ie la voy fort oppresse, en cette prudente retraite que sans nomme était exil, et en cette dernière extrémité d'une fortune injurieuse, qui vous expose sur Mer dans une frégaie, ainsi que César à la merci des tempêtes;
& ie vous voy à pied deſnué d’armes, de pouuoir & d’aßiſtance, au milieu de vos Ennemis, au plus fort de voſtre diſgrace, entrer dedans voſtre Maiſon comme en vne Place ennemie.	et personne vous vois à pieds dénué d'armes, de pouvoir et d'assistance, au milieu de vos Ennemis, au plus fort de votre disgrâce, entrer dedans votre Maison comme en une Place ie.
Plus vous tâ hez de vous rendre inconnû, & d’effacer le lustre de voſtre condition, plus cette audace preſque temeraire & heroique la fait eſclatter.	Plus vous tâ té de vous rendre inconnu, et d'effacer le lustre de votre condition, plus cette audace presque téméraire et héroïque la fait éclatter.
Car c’eſt icy que ie vous voy dedans vne double & vertueuſe action de courage & de pieté, bien mieux & en plus grand peril qu’vn fabuleux Aenée, enleuer voſtre femme, voſtre Fille, & vos autres threſor, pour les ſauuer d’vn embraſement general qui alloit perdre & conſommer voſtre Maiſon.	Car c'est ici que je vous vois dedans une double et vertueuse action de courage et de piété, bien mieux et en plus grand péril qu'un fabuleux Aenée, enlever votre femme, votre Fille, et vos autres trésor, pour les sauver d'un embrasement général qui allait perdre et consommer votre Maison.
C’eſt par cette preuoyance & hardieſſe admirable que vous l’aueZ conſeruée, & qu’il mi'eſt permis de vous voir dans ce premier eſclat où ie vous conſidere & vous admire tout brillant & d’honneur & de gloise, & qui ayant attiré vn Dictateur pour vous rendre hommage, me force meſme de me declarer & de vous dire que ſuis,	C'est par cette prévoyance et hardiesse admirable que vous l'avez conservée, et qu'il mi'est permis de vous voir dans ce premier éclat où ie vous considère et vous admire tout brillant et d'honneur et de gloise, et qui ayant attiré un Dictateur pour vous rendre hommage, me force même de me déclarer et de vous dire que suis,
MONSEIGNEVR.	MONSEIGNEUR.
DE VÔTRE GRANDEVR.	DE VTRE GRANDEUR.
Le tres-humble & tres- obeïſſant ſeruiteur, A.	Le très-humble et très- obéissant serviteur, A.
MARESCHAL.	MARÉCHAL.
PERSONNAGES.	PERSONNAGES.
PATIRE, DICCatCuIRomain.	PATIRE, DICCatCuIRomain.
CAMILLE,Comdrde None.	CAMILLE,Comdrde None.
FABIE PERE, Senateur.	FABIE PERE, Sénateur.
FABIE FILS, Lieutenant general.	FABIE FILS, Lieutenant général.
COMINE, Tribun militaire.	COMINE, Tribun militaire.
MARTIAN, Tribun du Peuple.	MARTIAN, Tribun du Peuple.
LVCILLE, Sœur de Camille, & Femme de Papyre.	LUCILE, Sœur de Camille, et Femme de Papyre.
PAPYRIE, Fille d’elle & de Papyre.	PAPYRIE, Fille d'elle et de Papyre.
FLAVIE, Affranchie de Papyrie.	FLAVIE, Affranchie de Papyrie.
GARDES, Du Conſul.	GARDES, Du Consul.
LA SCENE' eſt au Palais du Conſul Camille, dans vne gallerie qui donne ſur le jardin.	LA SCENE' est au Palais du Consul Camille, dans une gallérie qui donne sur le jardin.
LE ICTATEVR ROMAIN.	LE ICTATEUR ROMAIN.
TRAGEDIE.	TRAGÉDIE.
ACTE I SCENE PREMIERE.	ACTE I CÈNE PREMIÈRE.
CAMILLE, LVCILLE, PAPYRIE.	CAMILLE, LUCILLE, PAPYRIE.
CAMILLE.	CAMILLE.
YOY?	YOY?
ma Sœur, plaindre ainſi quelque peu de foibleſſe?	ma Sœur, plaindre ainsi quelque peu de faiblesse?
Ce reſte de langueur qu’vn mal paſſé me laiſſe!	Ce reste de langueur qu'un mal passé me laisse!
Ie ſens naître déja d’vne douce chaleur Ce plaiſir imparfait qui finit la douleur.	Je sens naître déjà d'une douce chaleur Ce plaisir imparfait qui finit la douleur.
LVCILLE.	LUCILE.
La douleur qu’on croit morte eſt ſouuent en dormie, Et ce plaiſir malin réueille vne Ennemie:	La douleur qu'on croit morte est souvent en dormie, Et ce plaisir malin réveille une Ennemie:
Craignez-la dans ſa fin, c’eſt trop vous hazarder.	Craignez-la dans sa fin, c'est trop vous hasarder.
Vous auez en vous ſeul toute Rome à garder;	Vous avez en vous seul toute Rome à garder;
Conſeruez-vous pour nous, tout l’Empire en vn homme, A Lucille ſon frere, & ſon Conſul à Rome.	Conservez-vous pour nous, tout l'Empire en un homme, À Lucille son frère, et son Consul à Rome.
PAPYRIE.	PAPYRIE.
Le mal reuient ſouuent alors qu’il prend congé.	Le mal revient souvent alors qu'il prend congé.
L’interuale en eſt doux eſtant bien ménagé:	L'interval en est doux étant bien ménagé:
Ce bel ordre & ſi long de pilliers & d’arcades Qui dittertit les lans peut laner les marades;	Ce bel ordre et si long de pilliers et d'arcades Qui dittertit les lans peut laner les marades;
Ce parterre de fleurs, ce jardin ſpacieux Doit borner vos plaiſirs à l’vſage des yeux.	Ce parterre de fleurs, ce jardin spacieux Doit borner vos plaisirs à l'usage des yeux.
CAMILLE.	CAMILLE.
I’en reçoy, Papyrie, vn agreable office, Honteux d’eſtre reduit à ce foible exercice, Tandis que voſtre Pere au milieu des combats Rend à Rome vn deuoir qui demandoit mon bras:	J'en reçois, Papyrie, Elle agréable office, Honteux d'être réduit à ce faible exercice, Tandis que votre Père au milieu des combats Rend à Rome un devoir qui demandait mon bras:
Ma vertu parle ſeule, & vous deffend de croire Qu’vn ſi iuſte intereſt ſoit jaloux de ſa gloire, Puis qu’en luy reſignant, & Rome & mes emplois,	Ma vertu parle seule, et vous défend de croire Qu'un si juste intérêt soit jaloux de sa gloire, Puis qu'en lui résignant, et Rome et mes emplois,
Le creant Dictateur i’ay tout mis ſous ſes loix.	Le créant Dictateur j'ai tout mis sous ses lois.
Que mon mal l’a rendu ſeul Maître de l’Empire;	Que mon mal l'a rendu seul Maître de l'Empire;
I’ay pour luy de la Ioye, & pour moy ie ſoûpire De voir qu’eſtant Conſul ie manque à mon pays, Et que ma maladie ait mes deſſeins trahis:	J'ai pour venir de la Joie, et pour moi -même soupire De voir qu'étant Consul ie manque à mon pays, Et que ma maladie ait mes desseins trahis:
En vn ſi foible eſtat peux-tu, ſuperbe Ville, Connoiſtre ton Conſul, connoiſtre enfin Camille?	En un si faible état peux-tu, superbe Ville, Connaître ton Consul, connaître enfin Camille?
LVCILLE.	LUCILE.
Ces regrets, vrays enfans d’vn noble ſentiment, Partent d’vn cœur Romain, qu’on connoiſt aiſément, D’vne égale uertu, parfaite, & confirmée;	Ces regrets, vrais enfants d'un noble sentiment, Partent d'un cœur Romain, qu'on connaît aisément, D'une égale ouvertu, parfaite, et confirmée;
Genereux dans ſon mal comme dans vne Armée, Sans force, languiſſant, & iamais abbatu;	Généreux dans son mal comme dans une Armée, Sans force, languissant, et jamais abattu;
Sa foibleſſe eſt courage, & ſon mal eſt vertu :	Sa faiblesse est courage, et son mal est vertu :
En un ſi ferme eſtat, Rome ſuperbe Ville, Tu connois ton Conſul, tu connois ton Camille;	En un si ferme état, Rome superbe Ville, Tu connais ton Consul, tu connais ton Camille;
PAPYRIE.	PAPYRIE.
Inutile, malade, en vn lict detenu, Les Dieux en vous ſauuant ces Dieux vous ont connu :	Inutile, malade, en un lit détenu, Les Dieux en vous sauvant ces Dieux vous ont connu :
Puis qu’en vn ſi grand trouble, & contre les auſpices, Eux, qui nous menaſſoient, nous ont eſté propices:	Puis qu'en un si grand trouble, et contre les auspices, Eux, qui nous menaçaient, nous ont été propices:
Deux victoires ne ſont qu’vn prix qu’il vous deuoient, Et Fabie a reçeu ce qu’ils vous reſeruoient	Deux victoires ne sont qu'ils prix qu'il vous devaient, Et Fabie a reçu ce qu'ils vous réservaient
CAMILLE.	CAMILLE.
C’en eſt trop;	C'en est trop ;
parlez mieux d’vn ſuccez ſi proſpere:	parlez mieux d'un succès si prospère:
L’vne & l’autre victoire eſt deuë à voſtre Pere:	L'une et l'autre victoire est due à votre Père:
Quoy que faſſe vne armée ou de bien ou de mal, Tout le blâme ou l’honneur retourne au General;	Quoi que fasse une armée ou de bien ou de mal, Tout le blâme ou l'honneur retourne au Général;
Luy ſeul y fait regner & l’ordre & la police, Il inſtruit les Soldats, les forme à la milice:	Lui seul y fait régner et l'ordre et la police, Il instruit les Soldats, les forme à la milice:
Les combats faits par eux ſont à luy ſeulement, Chacun y prend ſa part, luy, tout l’euenement.	Les combats faits par eux sont à lui seulement, Chacun y prend sa part, Seigneur, tout l'événement.
Le Corps doit tout au Chef, c’eſt l’ame qui l’inſpire:	Le Corps doit tout au Chef, c'est l'âme qui l'inspire:
Si Fabie a vaincu ce n’eſt que pour Papyre:	Si Fabie a vaincu ce n'est que pour Papire:
Ce Dictateur, abſent d’vn Corps qui ſuit ſes loix, A Rome, & ſans combatre a vaincu par deux fois:	Ce Dictateur, absent d'un Corps qui suit ses lois, À Rome, et sans combattre a vaincu par deux fois:
Le bruit de ſon grand Nom, ſa ſeule renommée A plus fait que Fab e, & que tonte l’Armée:	Le bruit de son grand Nom, sa seule renommée À plus fait que Fab e, et que tonte l'Armée:
Pai les auſpices ſaints qu’il a renouuellez, Les Dieux fuyoient de nous, il les a rappellez, La puiſſance du Ciel menaſſoit la Romaine, Quand la Religion iuſqu’icy la rameine:	Pai les auspices saints qu'il a renouuellez, Les Dieux fuyaient de nous, il les a rappelez, La puissance du Ciel menaçait la Romaine, Quand la Religion jusqu'ici la ramène:
Il conſulte le Ciel, & par vn prompt effet Il change le deſtin, ou luy-meſme le fait:	Il consulte le Ciel, et par un prompt effet Il change le destin, ou m-même le fait:
Forcé, contre ſon ordre, ah!	Forcé, contre son ordre, ah!
qui le pourroit croire!	qui le pourrait croire!
Le deſtin à ſes vœux accorde la victoire Si prompte qu’il n’a pas loiſir de l’emporter, Si grande que les morts ne ſe peuuent conter:	Le destin à ses vœux accorde la victoire Si prompte qu'il n'a pas loisir de l'emporter, Si grande que les morts ne se peuvent compter:
Qui va juſques au Nom détruire les Samnites, Au delà des deux Mers eſtendre nos limites, Et montrer à noſtre Aigle agile, impatient Le chemin de la Grece & de tout l’Ollent.	Qui va jusques au Nom détruire les Samnites, Au delà des deux Mers étendre nos limites, Et montrer à notre Aigle agile, impatient Le chemin de la Grèce et de tout l'Ollent.
LVCILLE.	LUCILE.
Cette double victoire & ſi grande & ſi pleine A fait toute ma joye & fait toute ma peine :	Cette double victoire et si grande et si pleine A fait toute ma joie et fait toute ma peine :
Puis que d’entre mes bras elle enléue vn Epoux, Et qu’apres la bataille il s’en retourne aux coups.	Puis que d'entre mes bras elle enlève un Époux, Et qu'après la bataille il s'en retourne aux coups.
PAPYRIE.	PAPYRIE.
At part.	At part.
Dietix:	Diétix:
querſe nate:	querse nate:
eit-ene neteſſaire, S’il ne luy reſte plus d’Ennemis à deffaire?	eit-ene netessaire, S'il ne le reste plus d'Ennemis à défaire?
La victoire du moins deuoit l’en diuertir.	La victoire du moins devait l'en divertir.
CAMILLE.	CAMILLE.
La victoire a forcé Papyre de partir:	La victoire a forcé Papire de partir:
C’eſt elle qui m’afflige, elle que i’apprehende, La bataille gaignée en laiſſe vne plus grande:	C'est elle qui m'afflige, elle que j'appréhende, La bataille gagnée en laisse une plus grande:
Les ennemis deffaits me font peur à leur tour, Et changent en malheur la gloire de ce lour, Ce Iour ſera ſuiuy des maux que ie preſage:	Les ennemis défaits me font peur à leur tour, Et changent en malheur la gloire de ce lour, Ce Jour sera suivi des maux que sans présage:
Rome, tu te plaindras de ce triſte auantage:	Rome, tu te plaindras de ce triste avantage:
Les Samnites ſont morts, tant de Peuples ſoûmis:	Les Samnites sont morts, tant de Peuples soumis:
A iij Mais crains tes propres Chefs plus que tes ernemis:	À jij Mais crains tes propres Chefs plus que tes ernemis:
Papyre a la victoire;	Papire a la victoire;
elle-meſme l’offenſe?	elle-même l'offense?
Fabie a combattu;	Fabie a combattu;
mais contre ſa deffenſe.	mais contre sa défense.
Ie ſçay combien la gloire & l’amour de l’honneur Gouuernent puiſſamment & l’vn & l’autre cœur.	Je sais combien la gloire et l'amour de l'honneur Gouvernent puissamment et l'un et l'autre cœur.
D’vne illuſtre Maiſon Fabie a pour partage Les triomphes, l’honneur, le nom, & le courage;	D'une illustre Maison Fabie a pour partage Les triomphes, l'honneur, le nom, et le courage;
Vnique rejetton des trois-cens Fabiens, Qui ſeul porte en ſon cœur les cœurs de tous les ſiens, Et qui digne heritier fait reuiure en vn homme Ces trois-cens dans vn iour ſacrifiez pour Rome.	Unique rejetton des trois-cens Fabiens, Qui seul porte en son cœur les cœurs de tous les siens, Et qui digne héritier fait revivre en un homme Ces trois-cens dans un jour sacrifiés pour Rome.
Mais ſans rien feindre auſſi, ſans flatter voſtre Epoux, Papyre eſt tout Romain, le plus grand d’entre nous;	Mais sans rien feindre aussi, sans flatter votre Époux, Papire est tout Romain, le plus grand d'entre nous;
Son adreſſe à la guerre & ſon experience Le firent Dictateur, non pas noſtre Alliance, Pour occuper vn lieu qui remplit mieux que moy, M’acquitter enuers Rome & dégager ma foy:	Son adresse à la guerre et son expérience Le firent Dictateur, non pas notre Alliance, Pour occuper un lieu qui remplit mieux que moi, M'acquitter envers Rome et dégager ma foi:
Quel homme à commander!	Quel homme à commander!
obſeruateur ſeuere Et de la diſcipline & de l’art militaire:	observateur sévère Et de la discipline et de l'art militaire:
De là iugez, ma Sœur, ce qu’il faut auiourd’huy Eſperer de Fabie, & craindre auſſi de luy, Luy, qui dedans vn rang à flatter ſon enuie, Voit ſa charge offenſée, & ſa gloire rauie;	De là jugez, ma Sœur, ce qu'il faut aujourd'hui Espérer de Fabie, et craindre aussi de fin, Lui, qui dedans un rang à flatter son envie, Voit sa charge offensée, et sa gloire ravie;
Que ne fera-t’il point?	Que ne fera-t-il point?
que n’eſt-il pas per- mis?	que n'est-il pas per- mis?
Que pourront ces grands Chefs, & tous deux ennemis?	Que pourront ces grands Chefs, et tous deux ennemis?
LVCILLE.	LUCILE.
Ememis.	Emémis.
henemient.	hénemient.
quittez ces vains preſages;	quittez ces vains présages;
Le Cierles dont touiner a de memeuis Mages.	Le Cierles dont touiner a de mémeuis Mages.
CAMILLE.	CAMILLE.
Le Ciel ne nous permet qu’vn triſte éuenement.	Le Ciel ne nous permet qu'un triste événement.
PAPYRIE.	PAPYRIE.
Vous voyez que ſa grace en diſpoſe autrement.	Vous voyez que sa grâce en dispose autrement.
Vne victoire enfin digne de ſacrifices Montre les Dieux changez, ainſi que leurs aufpices :	Une victoire enfin digne de sacrifices Montre les Dieux changez, ainsi que leurs auspices :
CAMILLE.	CAMILLE.
La vietone eit le mai, que peut-eſtie les Dieux Veulent faire tomber ſur les Victorieux:	La viétone eit le mai, que peut-étie les Dieux Veulent faire tomber sur les Victorieux:
Ces deux grands Enneuris.	Ces deux grands Enneuris.
LVCILLE.	LUCILE.
Iis ne le peuuent citre :	Jis ne le peuvent citre :
Vn ſecret reuelé vous le fera connoiſtre:	Un secret revelé vous le fera connaître:
Pour finir vos ſoupçons vous tirer de ſoucy, Papyre ayme Fabie, & luy ma Fille auſſi.	Pour finir vos soupçons vous tirer de souci, Papyre aime Fabie, et Seigneur ma Fille aussi.
CAMILLE.	CAMILLE.
Et plus que tous les deux tous deux ayment la gloire.	Et plus que tous les deux tous deux aiment la gloire.
LVCILLE.	LUCILE.
Ils l’aiment, l’vn pour l’autre:	Ils l'aiment, l'vn pour l'autre:
apprenez eu l’hiſtoire.	apprenez eu l'histoire.
Papyre Dictateur éleu par voſtre choix, Comme l’on croyoit voir au plus haut des emplois Lieutenant general Valere voſtre intime, Il éleue Fabie à ce degré ſublime:	Papire Dictateur élev par votre choix, Comme l'on croyait voir au plus haut des emplois Lieutenant général Valere votre intime, Il éleue Fabie à ce degré sublime:
Cette grande faueur augmente ſon amour:	Cette grande faveur augmente son amour:
Son Pere voit Papyre & courtois à ſon tour Luy conſacrant ſon Fils & pour Fils & pou Gendre Eſt rauy de l’oſfrir & l’autre de le prendre, Iuſques à leur retour cét hymen differé Ne me fut qu’au départ en ſecret declaré:	Son Père voit Papire et courtois à son tour Lui consacrant son Fils et pour Fils et pou Gendre Est ravi de l'osfrir et l'autre de le prendre, Jusques à leur retour cet hymen différé Ne me fut qu'au départ en secret déclaré:
Mais, comme à ce penſer mon plaiſir renouuelle, Mon cœur veut que ma bouche à tous deux le reuelle, A vous, pour effacer des ſoupçons mal conçeus, Et regler nos deſirs & vos ſoins là deſſus;	Mais, comme à ce penser mon plaisir renouvelle, Mon cœur veut que ma bouche à tous deux le revelle, À vous, pour effacer des soupçons mal conçus, Et régler nos désirs et vos soins là dessus;
A vous, ma Fille auſſi, pour vous faire paroiſtre Ce qu’on eſt à Fabie, & ce qu’il nous doit eſtre;	À vous, ma Fille aussi, pour vous faire paraître Ce qu'on est à Fabie, et ce qu'il nous doit être;
Vous porter à cherir vn ſi noble Romain, A luy donner le cœur, & dedans peu la main:	Vous porter à chérir un si noble Romain, A lui donner le cœur, et dedans peu la main:
