ACTEVRS.	ACTEURS.
Premierement, peu de temps apres ſa naiſſance ſa mere mourut en l’abominable religion du Paganiſme, mais Dieu deſtinant cét enfant, & ſe voulant reſeruer ce petit germe precieux, permit qu’elle fut miſe entre les bras d’vne Nourrice tres-ſage & vertueufe chreſtienne, qui l’allaictant de ſon laict, luy fit pareillement ſuccer la douceur & le miel de noſtre Foy catholique, la faiſant baptiſer, & diſons que deſlors qu’elle ne fut pas ſi toſt trempée dans le ſacré lauoir du Bapteſme, que le ciel luy fit deſia voir vn char de triomphe en ſon entrée dans la congregation des Chreſtiens ſur ſa naiſſance paganeſque.	Premièrement, peu de temps après sa naissance sa mère mourut en l'abominable religion du Paganisme, mais Dieu destinant cet enfant, et se voulant réserver ce petit germe précieux, permit qu'elle fut mise entre les bras d'une Nourrice très-sage et vertueuse chrétienne, qui l'allaictant de son lait, luitaît pareillement succer la douceur et le miel de notre Foi catholique, la faisant baptiser, et disons que délors qu'elle ne fut pas si tôt trempée dans le sacré lauoir la Baptesme, que le ciel lui fit des voir char ie lie en son fit des fla congrégation des En sur sa naissance du.
Elle triomphe deſia ſur cette abominable Religion, par les ſoins de ſa bonne Nourrice & Mere ſpirituelle, portant pour deuiſe ſur ſon bouclier.	Elle triomphe déjà sur cette abominable Religion, par les soins de sa bonne Nourrice et Mère spirituelle, portant pour devise sur son bouclier.
Filia mea modo dilesta prepara animam tuam ad tentationem.	Filia me modo dilêta prépara animam tu ad tentation.
Voila de grands hazards où cette bonne Macrône l’expoſe;	Voilà de grands hasards où cette bonne Macrône l'expose;
neant-moins elle la veut b en confirmer d’auantage, s’attendant de l’inſtruite & l’endoctriner en telle façon, qu’elle ſeule ſe rendra aſſez hardie pour parler de la foy qu’elle embraſſe, & que de quitter & perdre la connoiſſance de ſon Dieu, que ſa chere Nourrice luy donne par ſon aſſiſtance au Bapteſme, luy ſera moins ſouffrable que la mort meſme.	néantmoins elle la veut b en confirmer d'avantage, s'attendant de l'instruite et l'endoctriner en telle façon, qu'elle seule se rendra assez hardie pour parler de la foi qu'elle embrasse, et que de quitter et perdre la connaissance de son Dieu, que sa chère Nourrice lui donne par son assistance au Baptême, lui sera moins souffrable que la mort même.
Alichriſte cette bonne Nourrice, par Iéthimologie de ſen nom, la noueri non ſenlemen de l’aliment corporel, mais auſſi de cette ſaincte & infaillible leçon (viande ſpirituelle) de ſçauoir prier Dieu & l'adorer pour ſeul, & vray Createur, vn ſeul Dieu en trois perſonnes, Pere, Fils, & S.	Alichriste cette bonne Nourrice, par Iéthimologie de sen nom, la nouveri non senlemen de l'aliment corporel, mais aussi de cette sainte et infaillible leçon (viande spirituelle) de savoir prier Dieu et l'adorer pour seul, et vrai Createur, vn seul Dieu en trois personnes, Père, Fils, et S.
Eſprit, la ſeconde deſquelles a pris naiſſance au ventre immaculé de la Vierge Marie, ayant voulu mourir, s’immolant en l’Arbre de la Croix par les mains des luifs, poun la redemption du genre humain, luy faiſant entendre le reſte des myſteres de l’Egliſe ſuiuant ſon talent, comme la Reſurrection de noſtre Sauueur IESVSCHRIST, le troiſieſme iour apres ſa mort.	Esprit, la seconde desquelles a pris naissance au ventre immaculé de la Vierge Marie, ayant voulu mourir, s'immolant en l'Arbre de la Croix par les mains des luifs, poun la rédemption du genre humain, tu faisant entendre le reste des mystères de l'Église suivant son talent, comme la Résurrection de notre Sauveur IESVSCHRIST, le troisième jour après sa mort.
Nous laiſſant ſon corps precieux au S.	Nous laissant son corps précieux au S.
Sacrement de l’Autel en Reſurrection de la chair & vie eternelle, quant aux bons, & qualit aux ihauuais, & qui le receuront indignement leur ſera iugement & condamnation des peines eternelles.	Sacrement de l'Autel en Résurrection de la chair et vie éternelle, quant aux bons, et qualit aux ihauuais, et qui le recevront indignement leur sera jugement et condamnation des peines éternelles.
Cette ieune eſcoliere du S.	Cette jeune écolière du S.
Eſprit, commançant à croiſtre, profitoit en toutes vertus en la profeſſion chreſtienne.	Esprit, commançant à croître, profitait en toutes vertus en la profession chrétienne.
R’appelléaqu’elle fut par ſes parens idolâtres & ſuperſticieux en la loy des Payens, hommes des piuis nobies & notables du pays, qui la reconnoifſant tout à fait éloignée du culte de leurs Dieux, rantoſt la flattoient, puis menaſſoient ſans pouuoir ébranler cette inuincible Reine.	R'appelléaqu’elle fut par ses parents idolâtres et supersticieux en la loi des Païens, hommes des pivis nobies et notables du pays, qui la reconnaissant tout à fait éloignée du culte de leurs Dieux, rantôt la flattaient, puis menaçaient sans pouvoir ébranler cette invincible Reine.
Arthoclés pruyde, & grand Preſtre de la Loy, ſuggeroit touſiours à Clement pere de Reine de la contraindre à leurs impies ſacrifices, & la forcer d’occuper le lien & le rang d’honneur où la Republique tenoit ſa mere.	Arthoclés pruide, et grand Prêtre de la Loi, suggérait toujours à Clément père de Reine de la contraindre à leurs impies sacrifices, et la forcer d'occuper le lien et le rang d'honneur où la République tenait sa mère.
Aſthere ſon Oncle & Tuteur, commis en cette charge, qui la voulut contraindre à cet execrable changement, n’en ſçeut venir à bout, ny par amitié ny par menace, y ayant perdu ſon temps.	Asthère son Oncle et Tuteur, commis en cette charge, qui la voulut contraindre à cet exécrable changement, n'en sut venir à bout, ni par amitié homme par menace, y ayant perdu son temps.
Ily enuoya Protine ſa femme ſœur de Clement, qui ne ſçeut rien gaigner ſur ce cœur genereux.	Ili envoya Protine sa femme sœur de Clément, qui ne sais rien gagner sur ce cœur généreux.
Pendant cette pourſuite ils ſe reſolurent tous comme parens & tuteurs de Reine, d’accepter à faueur de Mariage vn leune Seigneur des grands & puiſſans Seigneurs Senolois és Gaules, qui s’eſtoit preſenté à luy faire l’amour:	Pendant cette poursuite ils se résolurent tous comme parents et tuteurs de Reine, d'accepter à faveur de Mariage un lune Seigneur des grands et puissants Seigneurs Sénolais ès Gaules, qui s'était présenté à lui faire l'amour:
donc ils delibererent de les eſpouſer.	donc ils délibérèrent de les épouser.
Arthoclés appellé:	Arthoclès appelé:
Ce Druyde Sacrificateur eſtant ſur le poinct de luy demander conſentement, & luy remontrer les honneurs du mariage, afin de les eſpouſer, Reine s’échappe de leurs mains, & s’enfuit de cette aſſemblée:	Ce Druide Sacrificateur étant sur le point de Seigneur demander consentement, et quelque remontrer les honneurs du mariage, afin de les épouser, Reine s'échappe de leurs mains, et s'enfuit de cette assemblée:
Clement la voulant preſſer le couſteau au poing, & ſe plongeant dans vn dépir enragé de la vouloir tuer, demeure à cœur failly:	Clément la voulant presser le couteau au poing, et se plongeant dans un dépir enragé de la vouloir tuer, demeure à cœur failly:
Ce qui donna temps à Reine de ſe ſauuer:	Ce qui donna temps à Reine de se sauver:
car l’aſſemblée & parentage n’euſt qu’à ſecourir Clement en ſa triſte fureur;	car l'assemblée et parentage n'eût qu'à secourir Clément en sa triste fureur;
lequel eſtant vn peu reuenu à ſoy & rentré en ſes forces, courut incontinent apres auec Aſthere & ſon Page, Mirabilis Deus in operibus ſuis.	lequel étant un peu revenu à soi et rentré en ses forces, courut incontinent après avec Asthère et son Page, Mirabilis Deus in opéribus suis.
Dieu eſtant admirable en ſes œuures, voulut faire voir des arres & marques de vertu à l’endroit de celle qui ſe propoſoit pluſtoſt de mourir que de quitter ſa foy, ſe voyant pourluiuie aupres des Ormeaux, l'Vn d’iceux s’ouurit, & elle ſe ietta dedans pour ſe ſauuer, l’Orme ſo reſerrant ſur elle, Reine en fuyant laiſſa choir ſa coëffe & ſon mouchoir en chemin.	Dieu étant admirable en ses œuvres, voulut faire voir des arrès et marques de vertu à l'endroit de celle qui se proposait plutôt de mourir que de quitter sa foi, se voyant pourluivie auprès des Ormeaux, l'Un d'iceux s'ouvrit, et elle se jeta dedans pour se sauver, l'Orme sœur réserrant sur elle, Reine en fuyant laissa choir sa coëffe et son mouchoir en chemin.
Ces furibons forcenez de rage, attribuërent cette merueille & œuure de Dieu à magie ſur les Chreſtiés & ne la pouuant tirer du cœur de cet arbre, voyant meſme le petit bout de ſa iuppe qui paſſoit par vn trou de cette tige, s’auiſerent d’y mettre le feu, & retour nant en prendre auec hache & coignée:	Ces furibons forcené de rage, attribuèrent cette merveille et œuvre de Dieu à magie sur les Chrestiés et ne la pouvant tirer du cœur de cet arbre, voyant avoir le petit bout de sa juppe qui passait par un trou de cette tige, s'avisèrent d'y mettre le feu, et retour nant en prendre avec hache et coignée:
pendant leut éloignement, neine euſt loiſir de paſſer plus loin ſan erainte ny les eaux ny d’autres inconueniens qui lu pouuoient arriuer.	pendant lut éloignement, neine eût loisir de passer plus loin san erainte était les eaux ni d'autres inconvéniens qui lu pouvaient arriver.
Clement & les compagnõs retournant à l’Orme auec des brandons ardans pour la brûler, le trouuerent vuide & ouuert, lors qu’ils croyorent la proye de leur rage aſſeurée:	Clément et les compagns retournant à l'Orme avec des brandons ardans pour la brûler, le trouvèrent vide et ouvert, lors qu'ils crois la proie de leur rage assurée:
ſi bien qu’ils en demeurerent confus.	si bien qu'ils en demeurèrent confus.
Or que dirons-nous en cette rencontre, n’eſt-ce pas vne ſeconde victoire qu’elle remporte iur le monde:	Or que dirons-nous en cette rencontre, n'est-ce pas une seconde victoire qu'elle remporte jur le monde:
elle foule aux pieds les grandeurs:	elle foule aux pieds les grandeurs:
elle tourne le dos aux richeſſes:	elle tourne le dos aux richesses:
elle fait la nicque aux carreſſes de Venus:	elle fait la nicque aux carresses de Venus:
elle fuit la Cour:	elle fuit la Cour:
mépriſe les honneurs:	méprise les honneurs:
s’enfuit de ſes parens, pour mieux conſeruer en elle l’amour de leſus ſon cher Eſpoux, l’Amant incomparable & le noy de pureté.	s'enfuit de ses parents, pour mieux conserver en elle l'amour de lesus son cher Époux, l'Amant incomparable et le noi de pureté.
Theophile mary de cette bonne Nourrice, comme fidel ſeruiteur de Dieu, & vrayement Chreſtien, deſire de la voir, & rauy tout à fait d’aile de ſçauoir ſa ferme reſolurion, demande à ſa femme de l’accoſter, de luy parler, de l’embraſſer comme auſſi Algeride, qui ne la quitte point:	Théophile mari de cette bonne Nourrice, comme fidel serviteur de Dieu, et vraiment Chrétien, désire de la voir, et ravi tout à fait d'aile de savoir sa ferme résolurion, demande à sa femme de l'accoster, de lui parler, de l'embrasser comme aussi Algeride, qui ne la quitte point:
il ſe reſout à ſa conuerſation.	il se résout à sa conversation.
Mais d’ailleurs, cette reſolution l’eſtonne, & ne ſçait de quelle façon y proceder, ſans qu’elle puiſſe eſtre découuerte, rumine en ſoy-meſme (la voyant ſi belle) de quelle maniere elle pourroit viure en aſſeurance dans ſa maiſon.	Mais d'ailleurs, cette résolution l'étonne, et ne sait de quelle façon y procéder, sans qu'elle puisse être découverte, rumine en soi-même (la voyant si belle) de quelle manière elle pourrait vivre en assurance dans sa maison.
Il l’aborde, il l'embraſſe, il la baiſe comme ſon propre enfant, auec des tendreſſes & careſſes de pere, repreſentant à ſa femme qu’il faut l’aſſujettir le mieux qu’il ſe pourra à leur vie ruſtique, & qui de plus il eſt expedient de luy faire changer d’habis & la déguiſer en Bergere auſſi bien qu’Algeride ſa ſuiuante, eſtans inſeparables & d’amour, & de foy, & que ce veſtement emprunté les mettroit facilement à couuert, de peur d’eſtre reconnuës, ce qui fut arreſté entreux.	Il l'aborde, il l'embrasse, il la baise comme son propre enfant, avec des tendresses et caresses de père, représentant à sa femme qu'il faut l'assujettir le mieux qu'il se pourra à leur vie rustique, et qui de plus il est expédient de lu faire changer d'habis et la déguiser en Bergère aussi bien qu'Algeride sa suivante, étant inséparables et d'amour, et de foi, et que ce vêtement empruné les mettrait facilement à couvert, de peur d'être reconnues, ce qui fut arrêté entreux.
Les parens de neine cependant la cheschent par tous les lieux circonuoiſins, par le Monts & Vallées, par les coſtaux & bois, & doutent meſme qu’elle ne ſe ſoit precipitée dans le coulant des fleuues qui arrouſent les enuirons de la Cité d’Alize.	Les parents de neine cependant la chêchent par tous les lieux circonvaisins, par le Monts et Vallées, par les costaux et bois, et doutent même qu'elle ne se soit précipitée dans le coulant des fleuves qui arrosent les environs de la Cité d'Alise.
Enfin ils n’en pûrent apprendre aucune nouulle.	Enfin ils n'en purent apprendre aucune nouulle.
Ces petites Bergeres rauies d’vn tel changement d’habis & de vie, & dans cét innocent exercice de garder les trouppeaux de cette aimable Nourrice, redoublent leurs vœux, & ſe rangeans dans vne profonde humilité la plus ſolide des vertus.	Ces petites Bergères ravies d'un tel changement d'habis et de vie, et dans cet innocent exercice de garder les troupeaux de cette aimable Nourrice, redoublent leurs vœux, et se rangeants dans une profonde humilité la plus solide des vertus.
Omnium fortiſſima humilitas Elle recommande à neine à viure en pauure fille, neiné obeït, neine agit à la maiſon & aux champs.	Omnium fortissima humilitas Elle recommande à neine à vivre en pauvre fille, neiné obeït, neine agit à la maison et aux champs.
Ne dirons-nous pas icy qu’elle luy preſente vn ſecond chariot de victoire:	Ne dirons-nous pas ici qu'elle Rome présente un second chariot de victoire:
voilà cette ſaincte vertu de l’humilité qui luy ſert de Bouclier d’vn coſté, & de l’autre munie des armes incorruptibles de la virginité.	voilà cette sainte vertu de l'humilité qui sembles sert de Bouclier d'un côté, et de l'autre munie des armes incorruptibles de la virginité.
cette illuſtre Reine habillée, en Païſane (encore plus bas) ſeruante d’vn païſant.	cette illustre Reine habillée, en Paysane (encore plus bas) servante d'Homme paysant.
Il faut auoüer que c’eſt vne Vierge forte, plus forte ( diray-ie) qu’vn Alcide, forte en virginité, coura geuſe au combat, tant plus conſiderons-nous dans li baſſeſſe, tant plus la verrons-nous rechauſſée ſur l’apogée des vertus.	Il faut auoüer que c'est une Vierge forte, plus forte ( dirai-je) qu'un Alcide, forte en virginité, coura geuse au combat, tant plus considérons-nous dans li bassesse, tant plus la verrons-nous rechaussée sur l'apogée des vertus.
Par cét Oracle du concile de Gan gre.	Par cet Oracle du concile de Gan guerre.
Nos autem virginitatem, cum humilitate admiramur Algeride l’accomprgne en tout degré d’humilité, ell la fuit , elle l’imite, elle la contemple, elle l’appell ſa maiſtreſſe, Reine l’appelle ſa bien-aymée, ſa che re compagne :	Nos autem virginitatem, cum humilité admiramur Algeride l'accomprgne en tout degré d'humilité, elle la fuit , elle l'imite, elle la contemple, elle l'appel a maîtresse, Reine l'appelle sa bien-aymée, sa che re pagne :
enfin elles viuent en inſeparables, elle s’entretiennent en meſme ferueur & deuotion:	enfin elles vivent en inséparables, elle s'entretiennent en même ferveur et dévotion:
elle ſont en terre comme deux colombes que l’on vou droit offrir comme des innocens holocauſtes.	elle sont en terre comme deux colombes que l'on vou droit offrir comme des innocents holocaustes.
Mai Reine n’attend que le coup à venir, auec vn courag entiere pour la foy:	Ma Reine n'attend que le coup à venir, avec un courag entière pour la foi:
le Ciel en attend l’execution.	le Ciel en attend l'exécution.
Yo	Yo
ACTE I.	ACTE I.
M amlvaa.	M amlva.
AXMAZIERCE.	AXMAZIERCE.
ARTHOCLE’S DRVIDE, CLEMENT ASTIIERE, AMELIN TageS.	ARTHOCLÉS DRVIDE, CLEMENT ASTIERE, AMELIN TageS.
ARTOCLE’S.	ARTOCLÉS.
Eigneur il ne ſuffit, comme nous immolons O De dreſſer des Autels à nos grands Apolons, Le peuple ne s’atend qu’à des ſaincts exemplaires, Qu'il faut illuminer contre nos aduerſaires, Par le ſang des victimes arrouſans nos Autels, Les Citoyens preſens ſous des vœux eternels.	Eigneur il ne suffit, comme nous immolons Ô De dresser des Autels à nos grands Apolons, Le peuple ne s'attend qu'à des saints exemplaires, Qu'il faut illuminer contre nos adversaires, Par le sang des victimes arrosants nos Autels, Les Citoyens presens sous des vœux éternels.
Mais reprendre icy, ces Chreſtiens, ces rebelles, De vouloir commencer à ce rendre infidellees, D'vne ſecte nouuelle atteinte de l’erreur, Qui braue de nos loix, puiſſance & l’honneur, A quoy ces forcenez s’attachent & s’adonnent, Ne faiſans cas de ce que les Ceſars ordonnent, Ainſi qu’en ce canton on entend murmurer, Cette ſorte de gens à nous contrarier.	Mais reprendre ici, ces Chrétiens, ces rebelles, De vouloir commencer à ce rendre infidèles, D'une secte nouvelle atteinte de l'erreur, Qui brave de nos lois, puissance et l'honneur, A quoi ces forcené s'attachent et s'adonnent, Ne faisant cas de ce que les Césars ordonnent, Ainsi qu'en ce canton on entend murmurer, Cette sorte de gens à nous contrarier.
Et ie n’approuue pas au reſte qu’on mépriſe, Les temples dedieZ à nos Dieux dans AliZe:	Et petit n'approuve pas au reste qu'on méprise, Les temples dediés à nos Dieux dans Alise:
Cette indignation eſt pirt quon eceat s Du tonnerre grondant, qui fracaſſe & abbai.	Cette indignation est pirt quon éceat s Du tonnerre grondant, qui fracasse et abbai.
Clement il ſuffira de chaſtier les crimes De ceux qu'on connoiſtra s’abſenter des victimes.	Clément il suffira de châtier les crimes De ceux qu'on connaîtra s'absenter des victimes.
Se bien qu'en tel comoy neſre peuple aſemblé, Enuironne ces lieux de oœur humilié, Et duſang tout boüillant rempliſſant cette couppe, I'arouſe les Autels adoreZ de la trouppe, Les animeux occis, & l’encenſoir fumeux, Bruſleront deuant tous à la gloire des Dieux.	Se bien qu'en tel comple nesre peuple assemblé, Environne ces lieux de oœur humilié, Et dusang tout boursillant remplissant cette couppe, J'arouse les Autels adorés de la troupe, Les animeux occis, et l'encensoir fumeux, Brûleront devant tous à la gloire des Dieux.
CLEMENT.	CLEMENT.
C’eſt vn iuſte deuoir d’épouſer les querelles, De nos Dieux ſouuerains, en battant ces rebelles.	C'est un juste devoir d'épouser les querelles, De nos Dieux souverains, en battant ces rebelles.
Ie ſuis à faire voir de ne les point flatter, Qualité que ce ſoit non plus conſiderer, Ie doute, i’apperçois, ie ſuffre, ie ſoubçonne, I'attend des éclaircy de ce qui m’enuironne, Me regarde m'atteint?	Je suis à faire voir de ne les point flatter, Qualité que ce soit non plus considérer, Je doute, j'aperçois, une sûre, ils soubonne, J'attend des éclairci de ce qui m'environne, Me regarde m'atteint?
quoy qu’iſſu de mon ſan Qn'encore ie carreſſe, & cheris comme enfant:	quoi qu’issu de mon san Qn'encore Elle carresse, et chéris comme enfant:
It eſt vray que le temps m'en promet quelque choſe, Mais d’y mieux ſurueiller, bien vray ie me diſpoſe, Et les traits importans me feront auancer, Que ma fille en ſon rend ſe vienne preſenter:	It est vrai que le temps m'en promet quelque chose, Mais d'y mieux surveiller, bien vrai toute me dispose, Et les traits importants me feront avancer, Que ma fille en son rend se vienne présenter:
I'entend par vos diſcours l’honneur de voſtre peine, C’eſt raiſon de vous ſuiure en ce ſacré domaine, PorteZ de pietié aux ſeruices des Dieux, Redoutables ſur terre & adorables és Cieux, Prere jaues aueriir Reme eſtant la premiere s A l’exercice ſainct ſuccedant à ſa Mere, Et qu'elle ſoit preſente à ces deuoirs humains, Ses vœux couplez aux miens, ſa foy à mes deſſeins.	J'entend par vos discours l'honneur de votre peine, C'est raison de vous suivre en ce sacré domaine, Portez de piétié aux services des Dieux, Redoutables sur terre et adorables ès Cieux, Pre javes averiir Reme étant la première s A 'exercice saint succédant à sa Mère, Et qu'elle soit présente à ces devoirs humains, Ses vœux couplez aux miens, sa foi à mes desseins.
AMITIDIH.	AMITIDIH.
Frere puis qu’il vous plaiſt qu’à ce bien ie l’excite, Et i’aye ce bon-heur de me voir ſa conduite, Ie vay diligenter, & l’auertir des vœux, Qu'icy vous proteſtiez aux ſeruices des Dieux.	Frère puis qu'il vous plaît qu'à ce bien apprendre l'excite, Et j'aie ce bonheur de me voir sa conduite, Je vais diligenter, et l'avertir des vœux, Qu'ici vous protestiez aux services des Dieux.
CLEMENT.	CLEMENT.
Auſſi nos Senateurs feront voir l'exemplaire, AAunuani de puouientel Edit à vanclaire.	Aussi nos Sénateurs feront voir l'exemplaire, AAunvani de puouientel Édit à vanclaire.
ARTOCLE'S.	ARTOCLÉS.
Voſtre front reluiſant de cette loyauté, Teſmoigne d’extirper toute deſloyauté, Semond cette Cité où les diuins propices, Ainſi que dés les Cieux nous regardent & beniſſent.	Votre front reluisant de cette loyauté, Témoigne d'extirper toute déloyauté, Semond cette Cité où les divins propices, Ainsi que dès les Cieux nous regardent et bénissent.
CLE'MENT.	CLÉMENT.
Sainct Pere on connoiſt bien par cette veritè, Qu'ils ſont les tout puiſſans ſur toute humanitè, Qui voudroit reſulter à leur honneur & gloiré, Ce ſeroit bien-toſt fait d’en trancher leur contraire, Il ſe faut maintenir en reſolutions, Afin de ſuffoquer les contradictions.	Saint Père on connaît bien par cette veritè, Qu'ils sont les tout -puis sur toute humanitète, Qui voudrait résulter à leur honneur et gloiré, Ce serait bientôt fait d'en trancher leur contraire, Il se faut maintenir en résolutions, Afin de suffoquer les contradictions.
AMELIN.	AMELIN.
Seigneur commandez-moy par voſtre ordonnance, Qu'on jaſſe piiblier en toute abigente , Pour ſacrifier, les Aliſiens pieux, Se rangent à leur deuoir glorifians les Dieux.	Seigneur commandez-moi par votre ordonnance, Qu'on jasse piblier en toute abigente , Pour sacrifier, les Alisiens pieux, Se rangent à leur devoir glorifiants les Dieux.
CLEMENT.	CLEMENT.
Auance donc le pas auant quetu le puiſſe, (s’en va Vn loyer meritè payera ce ſeruice, Cependant Pere ſainct attendant le commun, Cette ſolemnite ſera veue d'vn chaenn, Vous en verrez icy les trouppes amiables, A ſeruir de marchoir à vos pieds venerables, En ſuite des plus grands par vos ordres obſeruez,	Avance donc le pas avant quetu le puisse, (s'en va Un loyer meritè payera ce service, Cependant Père saint attendant le commun, Cette solennité sera vie d'un chaenn, Vous en verrez ici les troupes amiables, A servir de marchoir à vos pieds vénérables, Ens vente des plus grands par vos ordres observez,
ARTHOCLE’S.	ARTHOCLÉSS.
Pouuez-vous ſous les Cieux mieux eſtre reſpectez, Il faut perſeuerer cette ſaincte obſeruance, Eſtroittement au ioug de l’antique alliance, Reiglant par vos moyens les deſſeins differens, Reformans aux arreſts ces abuſeurs errans, Et les penſees diuerſes qu’ils ont contre nous-meſme.	Pouvez-vous sous les Cieux mieux être respectez, Il faut persévérer cette sainte observance, Étroittement au joug de l'antique alliance, Règlant par vos moyens les desseins différents, Reformands aux arrêts ces abuseurs errants, Et les pensées diverses qu'ils ont contre nous-même.
Bondiſſent menſongers croyans vn Dieuſupréme, Au ſalut important ſe montrant zizaniens, Lors qu’ils diſent ce Chiſt le Sauueur des Chreſtiens.	Bondissent mensongers croyant un Dieusuprême, Au salut important se montrant zisaniens, Lors qu'ils disent ce Chist le Sauveur des Chrétiens.
Iupiter eſt teſmoin, ce grand Dieu des allarmes, Neptune Dieu des eaux, & Pluton des vacarmes, Ces autres Dieux comblez de gloire dans les Cieux, Ont pouuoir d’élancer leurs foudres par tous lieux, Voulans qu’en tout endroit cette humaine Nature, Rendre des ſacrifices eſtant leur geniture, Tels que deſſus leurs loix nos Druydes conſacrez, Sommes-nous icy bas à ces fins deſtineZ, Continuans touſiours nos celebres ſeruices, Ie vous attendray tous où les deuots fléchiſſent, Et comme lees reſpects vous tonchent le premier, Auons au Temple ſainct i'y dois Jacrifiere	Jupiter est témoin, ce grand Dieu des alarmes, Neptune Dieu des eaux, et Pluton des vacarmes, Ces autres Dieux comblés de gloire dans les Cieux, Ont pouvoir d'élancer leurs foudres par tous lieux, Voulants qu'en tout endroit cette humaine Nature, Rendre des sacrifices étant leur géniture, Tels que dessus leurs lois nos Druides consacrez, Sommes-nous ici bas à ces fins destinés, Continuants toujours nos celebres services, Je vous attendrai tous où les dévots fléchissent, Et comme le respects vous tonchent le premier, Auons vous Temple le premier, dois J'
SCENE III RLINE, ALGERIDE, ASTHERE entre apres.	SCÈNE III RLINE, ALGERIDE, ASTHÉRE entre après.
REINE.	REINE.
Bſentons-nous d'icy?	Bsentons-nous d'ici?
