A LA REYNE ANNE DAVSTRICHE	À LA REINE ANNE DAUSTRICHE
Dy penſer ſeulement ie friſſonne d'horreur.	Dis penser seulement belle frissonne d'horreur.
LYDIANE.	LYDIANE.
Chaſſez, de voſtre eſprit ces funeſtes images, Les Iieux & Solimont vangeront les outrages Dont enderaceſine fangte a prun s eſtnoircy, Il perdra la bataille.	Chassez, de votre esprit ces funestes images, Les Jieux et Solimont vengeront les outrages Dont enderacesine fangte à prun s estnoircy, Il ra la bataille.
CLARIMONDE.	CLARIMONDE.
Et bien qu’il ſoit ainſi, Que ne faut-il pas craindre en l’eſtat où nous ſommes?	Et bien qu'il soit ainsi, Que ne faut-il pas craindre en l'état où nous sommes?
o19y que ce mey una gousu pummeſchant des hommes, V’oudia boire mon ſang pour eſtre remplacé De coluy qu’au combat ſoncorps aura verſé.	o19i que ce mey una gousu pummeschant des hommes, V'oudia boire mon sang pour être remplacé De colui qu'au combat soncoreps aura versé.
LTDTANE.	LTDTANE.
S'il arreſte ſes yeux ſur l'eſelat de vos charmes, Loing de vouloir du ſang il donnera des larmes, Il n’y peut qu’oppoſer des efforts ſuperflus.	S'il arrête ses yeux sur l'eselat de vos charmes, Loing de vouloir du sang il donnera des larmes, Il n'y peut qu'opposer des efforts superflus.
CLARIMONDE.	CLARIMONDE.
C’eſt ce que ie meſpriſe, & que ie crains le plus, Si ie croyois toucher ce MMonſtre de noſtre aage Sur mes coupables yeux i'evercerois ma rage, Et ma main preuenant des malcheturs eternels, Eſteindroit aujourd huy ces pe neeaux dominels.	C'est ce que ie méprise, et que je crains le plus, Si tu croyais toucher ce MAître de notre âge Sur mes coupables yeux j'evercerois ma rage, Et ma main prévenant des malcheturs éternels, Éteindrait aujourd' hui ces pe neeaux dominels.
LYDIANE.	LYDIANE.
Ce cruel attentat offenſeroit Alcandre, Vous l’aymez.	Ce cruel attentat offenserait Alcandre, Vous l'aimez.
CLARIMONDE.	CLARIMONDE.
Il eſt vray, ie n’ay pu m'en deffendre Dés que ce ieune Mars parut dans noſtre Cour, Mon ame juſqu'alors inſenſible à l'amour Apprit l’art des ſouſpirs & l’vſage des larmes, En effet ſi mecyeux ont pour luy quelques charmes L’eſclat de ſes vertus a pour moy tant d’appas, Nel dndrois mepeareenne teperarepas.	Il est vrai, je n'ai pu m'en défendre Dès que ce jeune Mars parut dans notre Cour, Mon âme jusqu'alors insensible à l'amour Apprit l'art des soupirs et l'usage des larmes, En effet si mecyeux ont pour trouver quelques charmes L'éclat de ses vertus a pour moi tant d'appas, Nel dès mepeareenne teperarepas.
LYDIANE.	LYDIANE.
Toutes fois eſtre Reine eſt vn grand auantage.	Toutes fois être Reine est un grand avantage.
CLARIMONDE Pour acquerir vn ſceptre Alcandre a du courage, Cet Amant genereux autant que fortuné Pour mille exploits guerriers a le front couronné, Et s’il faut qu’il ſoit Roy pour faire que ie l’ayme Ses ſuperbes lauriers ſeront ſon diadeſme.	CLARIMONDE Pour acquérir un sceptre Alcandre à du courage, Cet Amant généreux autant que fortuné Pour mille exploits guerriers à le front couronné, Et s'il faut qu'il soit Roi pour faire que ie l'aime Ses superbes lauriers seront son diadème.
LYDIANE.	LYDIANE.
Il combat contre vous, eſt-ce vn trait d’amitié?	Il combat contre vous, est-ce un trait d'amitié?
CLARIMONDE.	CLARIMONDE.
C eſt en quoy ſon deſtin eſt digne de pitié, Il iaſche toutefois d’accorder dans ſon ame Les Maximes d’Eſtat, & celles de ſa flame;	Ç est en quoi son destin est digne de pitié, Il jasche toutefois d'accorder dans son âme Les Maximes d'État, et celles de sa flamme;
Et ſçais-tu ce qu’il fait dãs l’horreur des combats?	Et sais-tu ce qu'il fait dans l'horreur des combats?
Il preſente le coup, mais ilretient le bras, Et ſon cœur amoureux, où la pitié commande, Craint de gagner vn prix que ſa gloire demande.	Il présente le coup, mais ilretient le bras, Et son cœur amoureux, où la pitié commande, Craint de gagner un prix que sa gloire demande.
LYDIANE.	LYDIANE.
Cette eſtroitte vnion contractée entre vous A fait des enuieux ou pluſtoſt des jaloux, Melidor en reſſent des attaintes mortelles.	Cette étroite Amion contractée entre vous A fait des envieux ou plutôt des jaloux, Melidor en ressent des attaintes mortelles.
CLARIMONDE.	CLARIMONDE.
Taiſons nous, il approche, & bien, quelles nouuelles Melidor reſpondez?	Taisons -nous, il approche, et bien, quelles nouvelles Melidor répondez?
SCENE II.	SCÈNE II.
MELIDOR.	MELIDOR.
CLARIMONDE.	CLARIMONDE.
LYDIANE.	LYDIANE.
MELIDOR.	MELIDOR.
M Adime pleuſt aux Cieux Qu'en ce moment ie ſuſſe ou ſansvoix ouſans yeux, Sans yeux, pour eſtre exempt de l’ardeur violente, Qui pareux dans mon ſein d'heure en heures aggmente;	M Médime pleut aux Cieux Qu'en ce moment tu susse ou sansvoix ousans yeux, Sans yeux, pour être exempt de l'ardeur violente, Qui pareux dans mon sein d'heure en heures agmente;
Et ſans voix pour couurir ſans eſtre criminel Vos malheurs & les miens d’vn ſilence eternel.	Et sans voix pour couvrir sans être criminel Vos malheurs et les miens d'Un silence éternel.
CLARIMONDE.	CLARIMONDE.
Vous n’en dittes que trop, les Dieux contre mon pere Ont ſans doutel ancé les traits de leur colere, Solimont ne vit plus, & ie doibs l’imiter.	Vous n'en dites que trop, les Dieux contre mon père Ont sans doutel ancé les traits de leur colère, Solimont ne vit plus, et Seigneur doibs l'imiter.
MELIDOR.	MELIDOR.
La raiſon vous deffend de rien precipiter, Solimont void le iour, mais l’aueugle fortuns Arenduſa diſgrace à la voſtre commune, Aal M,meſmejai.	La raison vous défend de rien précipiter, Solimont voit le jour, mais l'aveugle fortuns Arendusa disgrâce à la vôtre commune, Aal M,mesmejai.
CLARIMONDE.	CLARIMONDE.
Meſme ſort, meſmes fers, Le Ciel n’eſt point laßé des maux que t'ay ſoufferts!	Même sort, mêmes fers, Le Ciel n'est point lassé des maux que t'ai soufferts!
Donc ſa rigueur fatale a tout ce que i'eſpere, Adiouſte a ma priſon la priſon de mon pere?	Donc sa rigueur fatale a tout ce que j'espère, Adiouste a ma prison la prison de mon père?
Gimunt Cuermij (.	Gimunt Cuermijà (.
ve Rey generens A ficchyſoubs le joug d’vn Prince plus heureux?	ve Reine generens A ficchysoubs le joug d'un Prince plus heureux?
O ſort iniurieux!	Ô sort injurieux!
o fille infortunée!	ô fille infortunée!
MELIDOR.	MELIDOR.
On combat vainement contre ſa deſtinée, Selimont aſſailli, quelqueſois aſſellant, A ſait ce que peut ſairc vn Chef ſage &’vaillant.	On combat vainement contre sa destinée, Selimont assailli, quelquesais asselant, A sait ce que peut sairc un Chef sage et vaillant.
Prudence toutefois, addreſſe, ny courage N'ont pu le garentir de ce dernieroutrage.	Prudence toutefois, adresse, ni courage N'ont pu le garentir de ce dernieroutrage.
Mais ſans vous conſommer en regrets ſaperſlus Songez a l’intereſt qui vous touche le plus, Madame vos mal-heurs ne ſont point ſans reſſource, Si des maux que ie ſens vous arreſtez la courſe, Aſſez depuis long-temps mes ſoings vous ont ſait voir Les marques de ma flame & de voſtre pouuoir, Et ſi voſt e beauté qui void ma ſert.	Mais sans vous consommer en regrets saperslus Songez à l'intérêt qui vous touche le plus, Madame vos malheurs ne sont point sans ressource, Si des maux que je sens vous arrêtez la course, Assez depuis longtemps mes soins vous ont sait voir Les marques de ma flamme et de votre pouvoir, Et si vost e eauté qui voit ma sert.
itude Me traitte ſans meſpris & ſans ingratitule.	itude Me traitte sans mespris & sans ingratitule.
Ie ſçauray vous tirer du gouffre dangereux Ou vous iette l’aſpect d'vn Aſtre mal heureux.	Je saurai vous tirer du gouffre dangereux Ou vous jette l'aspect d'un Astre mal heureux.
Vous ſçauez mon pouuoir, & combiendan l’ammée Mon nom eſt redoutable ( macharge eſlumee, Ainſi que les ſoldats, les Chefs les plus ſameux Font gloire d’obeyr i tout ce que ie veux.	Vous savez mon pouvoir, et combiendan l'ammée Mon nom est redoutable ( macharge eslumee, Ainsi que les soldats, les Chefs les plus sameux Font gloire d'obéir y tout ce que je veux.
Nous fayrons vous & moyloinz de cette contrée, Et qui de vos Eſtats nous deffendral entrée Eſprouuera leffort d vn courroux allume, Et d vn bras dés l’enfance a vaincre accouſtumé:	Nous faisrons vous et moiloinz de cette contrée, Et qui de vos États nous défendral entrée Éprouvera leffort d ît courroux allume, Et d ès bras dès l'enfance a vaincre accoutumé:
feifatentiuy ponsieons, pamenta, frinec ecpatrie Rien ne paroit ivjeſte a mon leclatrie Vous plaire eſt mon deſir, & pour vous aßiſter Ie puis tout entreprendre & tout executer.	feifatentiuy ponsieons, pamenta, frinec ecatrie Rien ne parait ivjeste à mon léclatrie Vous plaire est mon désir, et pour vous assister Je puis tout entreprendre et tout exécuter.
CLARIMONDE Ls bien que vous m'offrez eſt vn bien inutile.	CLARIMONDE Ls bien que vous m'offrez est un bien inutile.
Ou mon pere n’eſt point trouuerois-je vn Azyle?	Ou mon père n'est point trouverais-je un Azile?
Non, ie n'en cherche plus, ma gloire eſt de perir, Et le bien ou i’aſpire eſt celuy de mourir.	Non, notre n'en cherche plus, ma gloire est de périr, Et le bien ou j'aspire est celui de mourir.
MELIDOR.	MELIDOR.
L’occaſion eſt chauue, & c'eſt eſtre bien ſage, Quand elle vient s’offrir de la mettre en vſage Madame penſez y.	L'occasion est chauve, et c'est être bien sage, Quand elle vient s'offrir de la mettre en usage Madame pensez y.
GLARI	GLARI
CLARIMONDE.	CLARIMONDE.
Le conſeil en eſt pris.	Le conseil en est pris.
MELIDOR.	MELIDOR.
Ce conſeil n'eſt donne que par voſtre meſpris,	Ce conseil n'est donne que par votre mépris,
Nullement.	Nullement.
LLANIMONDE.	LLANIMONDE.
MELIDOR C’eſt aßez ie voy clair, dans voſtre ame, Ie cornois quel ſecours voſtre bouche reclame Alcandre, mais ſans doute au bruit, que nous oyons, C’eſt Almazan qui vient.	MELIDOR C'est assez avoir vois clair, dans votre âme, Je cornais quel secours votre bouche réclame Alcandre, mais sans doute au bruit, que nous oyons, C'est Almazan qui vient.
CLARIMONDE.	CLARIMONDE.
Lydiane fuyons Et ſi pour noſtre bien quelque deſir nous reſte, Cachons nous pour tamais à cet obiet funeſte.	Lydiane fuyons Et si pour notre bien quelque désir nous reste, Cachons nous pour tamais à cet objet funeste.
SCENE TI ALMAZAN, SOLIMONT ALCANDRE, MELIDOR.	SCÈNE -TY ALMAN, SOLIMONT ALCANDRE, MELIDOR.
ALMAZAN.	ÀLMAZAN.
Nfin i’ayſceu ranger ſoubs le ioug de mesloix E Ce Monarque inſolent attaqué tant de fois, I'ay dompté ſon orgaeil, & caché ſoubs les herbes La pompe & la beauté de ſes Pallais ſuperbes.	Nfin j'aysceu ranger sous le joug de mêloix E Ce Monarque insolent attaqué tant de fois, J'ai dompté son orgaeil, et caché sous les herbes La pompe et la beauté de ses Pallais superbes.
Tec (urde Sotimon ointe jorr vaneutis, De ta preſomption ta deffaitte eſt le fruit, Et ces chaiſnes ſoubs quiie veux que tu gemiſſes Sont le prix de ta haine & de tes iniuſtices.	Tec (urde Sotimon ointe jorr vanutis, De ta présomption ta défaite est le fruit, Et ces chaînes soubs quiie veux que tu gémisses Sont le prix de ta haine et de tes injustices.
SOLIMONT Ceſſe de me noircir de tes propres forfaits, Et meſnage les biens qu’vne aueugle ta faits, Il ne faut qu’vn moment, & qu'vn tour de ſa rouë Pour te precipiter du troſne dans la bouë.	SOLIMONT Cesse de me noircir de tes propres forfaits, Et ménage les biens qu'une aveugle ta faits, Il ne faut qu'un moment, et qu'un tour de sa roue Pour te précipiter du trône dans la boue.
Souuent les plus beaux iours ont de faſcheuſes nuits, Songe a ce que ie fus, & voy ce que ie ſuis, Meſme ſort te regarde, & le Dieu des batailles Peut meſler ton triomphe auec tes funerailles.	Souvent les plus beaux jours ont de fâcheuses nuits, Songe à ce que effet fus, et vois ce que ie mme, Même sort te regarde, et le Dieu des batailles Peut mêler ton triomphe sous tes funérailles.
ALMAZAN.	ÀLMAZAN.
l’auray cet auantage & ce contentememt Que iamais Solimont n’en ſera l’inſtrument, Sa perte pour le moins deuancera la mienne.	l'aurai cet avantage et ce contentememt Pour iamais Solimont n'en sera l'instrument, Sa perte pour le moins devancera la mienne.
OLIMONT.	OLIMONT.
N'importe de quel bras ta diſgrace prouienne Puiſqu'en l’aduerſité que mon ame reſſent Aicoiu que le coupavie epplimte timnocent Croy que ta tyrannie, en mal-heurs ſi feconde, Armera contre toy tout le reste du monde.	N'importe de quel bras ta disgrâce prouienne Puisqu'en l'aduersité que mon âme ressent Aicoiv que le coupavie éplimte timnocent Crois que ta tyrannie, en malheurs si féconde, Armera contre toi tout le reste du monde.
ALMAZAN.	ÀLMAZAN.
Si ton malheur preſent ne l'en peut rerenir I ay dequoy me deffendre & dequoy le punir, Cepandant tu mourras innocent oucoupable.	Si ton malheur présent ne l'en peut rependant I ai dequoy me défendre et dequoy le punir, Cépandant tu mourras innocent oucoupable.
OLIMONT.	OLIMONT.
Le treſpas le plus rude & le plus effroyable Ne ſçauroit m'eſtonner, mon courage conſiant Loing de le redouter le deſire & l’attend;	Le trépas le plus rude et le plus effroyable Ne saurait m'étonner, mon courage consiant Loin de le redouter le désire et l'attend;
Deſcharge hardiment ta hayne & ta colere, Acheue le deſtin de la fille & du pere, Et couure cette horreur d’vnpretexte apparent.	Décharge hardiment ta haine et ta colère, Acheve le destin de la fille et du père, Et couvre cette horreur d'vnpretexte apparent.
En l'eſtat où ie ſuis tout m'eſt indifferent.	En l'état où belle suis tout m'est indifférent.
ALMAZAN.	ÀLMAZAN.
Indifferent ou nonta mort eſt aſſuree, Mon cœur l’a reſolue, & ma voix l’a iuree Emmenez le ſoldats& qu’on le garde bien, Car voſtre propre ſang me reſpondra du ſien.	Indifférent ou nonta mort est assurée, Mon cœur l'a résolue, et ma voix l'a jure Emmenez le soldatset qu'on le garde bien, Car votre propre sang me répondra du sien.
Cepandant cher Alcandre il faut que ie confeſſe Que ie dois mon ſalut à ta ſeule proueſſe, Ton inſigne valeur a ſauué mes ſubjets, Et de cet ennemy confondu les proiects.	Cepandant cher Alcandre il faut que deux confesse Que je dois mon salut à ta seule prouesse, Ton insigne valeur a sauvé mes sujets, Et de cet ennemi confondu les proiects.
Le ſeul bruit de ta gloire & de ta renommee Va forcer tout le monde à craindre cette armee, Et ie croyiuſtement que pour tes faits guerriers La terre deſormais manquera de lauriers:	Le seul bruit de ta gloire et de ta renommée Va forcer tout le monde à craindre cette armée, Et toujours croyiustement que pour tes faits guerriers La terre désormais manquera de lauriers:
Donc apres des exploits ſi remplis de merueilles, Apres tant de combats, de ſueurs, & de veilles, Compagnon de monſort ie ne veux plus penſer Qu'u trouuer les moyens de terecompenſer.	Donc après des exploits si remplis de merveilles, Après tant de combats, de sueurs, et de veilles, Compagnon de monsort ie ne veux plus penser Qu'u trouver les moyens de tèrecompenser.
ALCANDRE.	ÀLCANDRE.
Sire ie ne ſçaurois ſans me rendre coupable Du tiltre d’impudent, ou bien d’inſatiable, Deſirer quelque choſe au dela des bien-faits Dont voſtre bienueillance a comblé mes ſouhaits, Au contraire ie crains que le Ciel ne s’irrite De voir que ma fortune excede mon merite, Et que par vos faueurs ie tienne aupres de vous Vn lieu dont les plus grands ont droit d’eſtre iatoux.	Sire ici ne saurais sans me rendre coupable Du titre d'impudent, ou bien d'insatiable, Désirer quelque chose au déla des bienfaits Dont soins bienveillance a comblé mes souhaits, Au contraire ie ainsi que le Ciel ne s'irrite De voir que ma fortune excède mon mérite, Et que par vos faveurs ie tienne auprès de vous Vén lieu dont les plus grands ont droits d'être jatoux.
ALMAZAN Ie ſçay que le pouuoir que ma faueur te donne En mille occaſions t’eſgale a ma perſonne, Matis quoy que la fortune ait voulu t'eſleuer Qu nul autre que toy ne ſçauroit arriuer, Ce qu'ell’a fait pour toy n'est que trop peu de choſe I’ay de nouueaux ſouhaits.	ÀLMAZAN Je sais que le pouvoir que ma faveur te donne En mille occasions t'égale a ma personne, Matis quoi que la fortune ait voulu t'élever Qu nul autre que toi ne saurait arriver, Ce qu'elle a fait pour toi n'est que trop peu de chose J'ai de nouveaux souhaits.
ALCANDRE.	ÀLCANDRE.
Grand Monarque ie n’oſe.	Grand Monarque belle n'ose.
ALMAZAN.	ÀLMAZAN.
Tus n'ofes!	Tus n'ofes!
quel ſuiectpourroit t’en retenir?	quel suiectpourroit t'en retenir?
Lu peux tout deſirer pouuant tout obtenir.	Lu peux tout désirer pouvant tout obtenir.
A LCANDRE.	À LCANDRE.
Prince dont le courage eſt craint par tout le monde, I’ayſuiuy vos deſtins ſur la terre & ſur l’onde, Et de tant de ſoldats qui viuent ſoubs vos loix Nul ne peut mieux que moy parler de vos exploits, I’ay veu vos actions depuis l’heure premiere Que tout plein de ſueur & couuert de poußiere Vous auez commencé de tenter les hazards, Et de couurir de morts les campagnes de Mars, Mon ame eependant d’intereſt deſpouillée, D’aucune auare faim ne fut iamais ſouillée.	Prince dont le courage est craint par tout le monde, J'aysuiuy vos destins sur la terre et sur l'onde, Et de tant de soldats qui vivent sous vos lois Nul ne peut mieux que moi parler de vos exploits, J'ai vu vos actions depuis l'heure première Que tout plein de sueur et couvert de poussiere Vous avez commencé de tenter les hasards, Et de couvrir de morts les campagnes de Mars, Mon âme cependant d'intérêt dépouillée, D'aucune avare m ne D' aucune souillée.
