AV LECTEVR.	AU LECTEUR.
Et deffenſes ſont faites à tous autres de l’imprimer ou faire imprimer pendant ledit temps, à peine de confiſcation des Exemplaires, & de tous dépens, dommages & intereſts, comme il eſt plus au long contenu dans leſdites Lettres de Priuilege.	Et défenses sont faites à tous autres de l'imprimer ou faire imprimer pendant ledit temps, à peine de confiscation des Exemplaires, et de tous dépens, dommages et intérêts, comme il est plus au long enu dans lesdites Lettres de Privilège.
Regiſtré ſur le Liure de la Communauté,le 26.	Registré sur le Livre de la Communauté, 26.
Mars 1669.	Mars 1669.
ſuiuant l’Arreſt de la Cour de Parlement du8 Auril 1653.	suivant l'Arrest de la Cour de Parlement du8 Auril 1653.
Signé A.	Signé A.
SOVBRON, Syndic.	SOUBRON, Syndic.
ICTEVRS.	ICTEURS.
ORGIBVS, Hoſtelier.	ORGIBUS, Hôtelier.
ZON, Fille de Gorgibus.	ZON, Fille de Gorgibus.
LA MONTAGNE IOLICOEVR, ( Fourbes & Interpretus Cdes Moſcouites.	LA MONTAGNE IOLICOEVR, ( Fourbes et Interprétus Cdes Moscouites.
LVBIN, Crieur de noir à noircir.	LUBIN, Crieur de noir à noircir.
LVBINE, Femme de Lubin.	LUBINE, Femme de Lubin.
LA RAME’E.	LA RAME'E.
SANS-SOVCY.	SANS-SOUCY.
Voleurs.	Voleurs.
La Scene eſt à Paris.	La Scène est à Paris.
LES FAVX MOSCOVITES LOMEDIE.	LES FAUX MOSCOVITES LOMEDIE.
SCENE PREMIERE.	SCÈNE PREMIÈRE.
LVBIN, LVBINE.	LUBIN, LUBINE.
LVBIN Yvre.	LUBIN Yvre.
E n’eſtoit pas du vin, c’eſtoit de Lambroiſie.	E n'était pas du vin, c'était de Lambroisie.
11	11
L’yurogne LVBINE.	L'ivrogne LUBINE.
LVBIN.	LUBIN.
Laiſſe-moy viure à ma fantaiſie.	Laisse-moi vivre à ma fantaisie.
LVBINE.	LUBINE.
Et créue, que jamais je ne te puiſſe voir.	Et crève, que jamais je ne te puisse voir.
A iiij	À jijà
LVBIN.	LUBIN.
Nargue, je veux toûjours.	Nargue, je veux toujours.
noir à noircir du noir.	noir à noircir du noir.
LVBINE.	LUBINE.
Il croit auoir ſa boéte, ahlle maudit yurogne.	Il croit avoir sa boète, ahlle maudit ivrogne.
LVBIN.	LUBIN.
Quand je fais mon meſtier, va faire ta beſongne, e je me porte bien quand je ſuis en repos Noircir.	Quand je fais mon métier, va faire ta besongne, je me porte bien quand je suis en repos Noircir.
A.	A.
LVBINE.	LUBINE.
Il croit toûjours la boéte ſur ſon dos, Apprens de moy, Lubin.	Il croit toujours la bote sur son dos, Apprends de moi, Lubin.
LVBIN.	LUBIN.
Apprens de moy, Lubine.	Apprends de moi, Lubine.
LVBINE Ecoute-moy, coquin.	LUBINE Écoute-moi, coquin.
LVBIN Ie t’écoute, coquine.	LUBIN Je t'écoute, coquine.
LVBINE.	LUBINE.
Puiſque tu mange tout auecque cent vauriens Ie vais me ſeparer & de corps & de biens, Tu ne retrouueras que les quatre murailles I’entre en condition tout à l’heure.	Puisque tu mange tout avec cent vauriens Je vais me séparer et de corps et de biens, Tu ne retrouveras que les quatre murailles J'entre en condition tout à l'heure.
LVBIN.	LUBIN.
Tu railles.	Tu railles.
LVBINE.	LUBINE.
Tu verras, tu verras ſi je railles ce ſoir.	Tu verras, tu verras si je railles ce soir.
2	2
LVBIN.	LUBIN.
Hé!	Hé!
je ſçay les moyens.	je sais les moyens.
noir à noircir du noir.	noir à noircir du noir.
Ma femme, tu crois donc à cauſe qu’on enrage Quand on eſt marié qu’on ſe des-mariage.	Ma femme, tu crois donc à cause qu'on enrage Quand on est marié qu'on se démariage.
Ouy-dalje le ſçay bien, Ie veux diſner ce ſoir Mais va-t-en car jamais.	Oui-dalje le sais bien, Je veux dîner ce soir Mais va-t-en car jamais.
noir à noircir du noir.	noir à noircir du noir.
SCENE II.	SCÈNE II.
GORGIBVS, LVBINE.	GORGIBUS, LUBINE.
LVBINE heurte à la porte de Gorgibus.	LUBINE heurte à la porte de Gorgibus.
IE viens pour vous ſeruir, Monſieur.	JE viens pour vous servir, Monsieur.
GORGIBVS.	GORGIBUS.
Tant mieux, Lubine.	Tant mieux, Lubine.
LVBINE.	LUBINE.
Mais, Monſieur, qu’auez-vous, qu’eſt-ce qui vous chagrine, Vous eſtes tout changé, le chagrin ne vaut rienIl faut ſe réjoüir, vous auez tant de bien.	Mais, Monsieur, qu'avez-vous, qu'est-ce qui vous chagrine, Vous êtes tout changé, le chagrin ne vaut rienIl faut se réjouir, vous avez tant de bien.
GORGIBVS.	GORGIBUS.
I'attens des Etrangers, des gens de conſequence, Et j’auance pour eux des ſommes d’importance, Leurs Interpretes sõt chez moy depuis huit jours, Qui levent des brocards, des ſatins, des velours;	J'attends des Etrangers, des gens de conséquence, Et j'avance pour eux des sommes d'importance, Leurs Interprètes sont chez moi depuis huit jours, Qui levent des brocards, des satins, des velours;
I’ay donné mil écus à Monſieur l’Interprete, C’eſt bien de l’argent ſur.	J'ai donné mil écus à Monsieur l'Interprète, C'est bien de l'argent sur.
Mais j’auance, je prette, Puis ces Interpreteux font de fort grands repas, Leurs Maiſtres cependant viennent à petit pas, Ie crains bien de paſſer icy pour vne beſte.	Mais j'avance, je prête, Puis ces Interpréteux font de fort grands repas, Leurs Maîtres cependant viennent à petit pas, Je crains bien de passer ici pour une bête.
LVBINE.	LUBINE.
Vrayment j’en ay bien peur.	Vraiment j'en ai bien peur.
GORGIBVS.	GORGIBUS.
I'en ay martel en teſte, Ils deuoient arriuer quatre jours apres eux, Dés demain je les veux faire coffrer tous deux;	J'en ai martel en tête, Ils devaient arriver quatre jours après eux, Dès demain je les veux faire coffrer tous deux;
S’ils n’arriuent ce ſoir, le coup eſt inmanquable Sur tout, garde ma fille.	S'ils n'arrivent ce soir, le coup est inmanquable Sur tout, garde ma fille.
LVBINE.	LUBINE.
Elle eſt bien mariable, Voſtre fille, Monſieur, vous la faites languir, Ne voir beſte ny gene, hé!	Elle est bien mariable, Votre fille, Monsieur, vous la faites languir, Ne voir bête ni gène, hé!
c’eſt pour en mourir.	c'est pour en mourir.
GORGIBVS.	GORGIBUS.
Tais-toy, voicy je croy des Etrangers, Lubine.	Tais-toi, voici je crois des Érangers, Lubine.
LVBINE.	LUBINE.
Ceux-là des Etrangers?	Ceux-là des Étrangers?
ils n’en ont pas la mine.	ils n'en ont pas la mine.
SORGIBVS.	SORGIBUS.
Eſtes-vous eſtrangers, Meſſieurs?	Êtes-vous étrangers, Messieurs?
SCENE III.	SCÈNE III.
GORGIBVS, LVBINE, LA RAME’E, SANS-SOVCY.	GORGIBUS, LUBINE, LA RAME, SANS-SOUCY.
LA RAME'E.	LA RAME'E.
DOurquoy?	DOurquoy?
Monſieur,	Monsieur,
GORGIBVS.	GORGIBUS.
I N’auez-vous point ouy parler d’vn grand Seigneur, Qui vient de Moſcouie auec grand Equipage, Grand train 1I 2	I N'avez-vous point ouï parler d'un grand Seigneur, Qui vient de Moscouie auec grand Équipage, Grand train 1I 2
SANS-SOVCY.	SANS-SOUCY.
Non pas, Monſieur.	Non pas, Monsieur.
GORGIBVS.	GORGIBUS.
Lubine, entrons, j’enrage, Adieu, Meſſieurs, je ſuis voſtre humble ſeruiteur.	Lubine, entrons, j'enrage, Adieu, Messieurs, je suis votre humble serviteur.
LA RAME’E.	LA RAME'E.
Nous ſommes tout à vous, Monſieur, & de grand cœur	Nous sommes tout à vous, Monsieur, et de grand cœur
SANS-SOVCY.	SANS-SOUCY.
0 Puisque nous reuenons malheureux de l’armée, Que veux-tu faire icy, mon pauure la Ramée, Si tu ne veux voler, tu vas mourir de faim, Veux tu de porte en porte aller tendre la main.	0 Puisque nous revenons malheureux de l'armée, Que veux-tu faire ici, mon pauvre la Ramée, Si tu ne veux voler, tu vas mourir de faim, Veux tu de porte en porte aller tendre la main.
Pour moy j’aymerois mieux qu’on me viſt ſur  la Rouë Que faire le meſtier de ces ames de bouë.	Pour moi j'aimerais mieux qu'on me vît sur la Roue Que faire le métier de ces âmes de boue.
LA RAME’E.	LA RAME'E.
Mais ſi nous ſommes pris, quel ſera noſtre ſort, Il n’en faut eſperer qu’vne honteuſe mort.	Mais si nous sommes pris, quel sera notre sort, Il n'en faut espérer qu'une honteuse mort.
SANS-SOVCY.	SANS-SOUCY.
Hé bien ſoit.	Hé bien soit.
La mort eſt la fin de toutes choſes, Et la vie a bien plus d’Eſpines que de Roſes, Tu tirois au billet au camp pour trois teſtons, Que ſeruent à preſent tant de reflections.	La mort est la fin de toutes choses, Et la vie a bien plus d'Espines que de Roses, Tu irais au billet au camp pour trois testons, Que servent à présent tant de reflections.
LA RAME’E.	LA RAME'E.
A t’eſprouuer, mon cher, ne croy pas que ig tremble, Ou nous ferons fortune, ou perirons enſemble;	A t'éprouver, mon cher, ne crois pas que ig tremble, Ou nous ferons fortune, ou périrons ensemble;
Voila mon ſentiment, & pour ſçauoir le tien Ie trouuois à propos, de te cacher le mien, Ie fais le premier vol, oſtons-nous du paſſage, Tu verras ſi j’en ſuis à mon apprentiſſage.	Voilà mon sentiment, et pour savoir le tien Je trouvais à propos, de te cacher le mien, Je fais le premier vol, ôtons-nous du passage, Tu verras si j'en suis à mon apprentissage.
SCENE IV.	SCÈNE IV.
LA RAME'E, SANS-SOVCY, LA MONTAGNE, IOLICOEVR.	LA RAME'E, SANS-SOUCY, LA MONTAGNE, JOLICOEUR.
E LA RAME'E.	E LA RAME'E.
ſt-ce vne illuſion, regarde Sans-ſoucy, Vois-je pas Iolicœur, & la Montagne auſſi.	st-ce une illusion, regarde Sans-soucy, Vois-je pas Jolicœur, et la Montagne aussi.
SANS SOVCY.	SANS SOUCY.
Ils ſont en Financiers	Ils sont en Financiers
Ce ſont eux.	Ce sont eux.
LA RAME’E.	LA RAME'E.
IOLI COEVR.	JOLI COUR.
C’druous-meſmes.	C'druous-mêmes.
LA RAME’E.	LA RAME'E.
Ha!	Ha!
le maudit hableur qui nous dit ce Careſme Que vous auiez dans Tours eſté roüez tout deux.	le maudit hâbleur qui nous dit ce Caresme Que vous aviez dans Tours été rouez tout deux.
IOLICOEVR.	JOLICOEUR.
Vn ſemblable deſtin ſeroit aſſez faſcheux, Et qui nous a donc fait cet honneur.	Un semblable destin serait assez fâcheux, Et qui nous a donc fait cet honneur.
SANS-SOVCY.	SANS-SOUCY.
Saint Eſtienne.	Saint Étienne.
LA MONTAGNE.	LA MONTAGNE.
Luy-meſme eſt pres de Blois au Soleil.	Lui-même est près de Blois au Soleil.
SANS-SOVCY.	SANS-SOUCY.
Qu’il s’y tienne	Qu'il s'y tienne
IOLICOEVR.	JOLICOEUR.
Il eſt par ma foy ſec.	Il est par ma foi sec.
SANS-SOVCY.	SANS-SOUCY.
Vous eſtiez ſon appuy.	Vous étiez son appui.
LA MONTAGNE.	LA MONTAGNE.
Nous?	Nous?
nous n’auons point eu de commerce auec luy, Il euſt la queſtion, & luy pluſtoſt qu’vn autre Euſt dit au ſecond pas, & ſa vie, & la noſtre.	nous n'avons point eu de commerce avec lui, Il eût la question, et même plutôt qu'un autre Eut dit au second pas, et sa vie, et la nôtre.
Ce n’eſtoit qu’vn coquin, vn fripon acheué.	Ce n'était qu'un coquin, un fripon achevé.
SANS-SOVCY.	SANS-SOUCY.
Si bien qu’en bons Bourgeois vous battez le paué, Le commerce va-t-il, le Guet fait il la ronde.	Si bien qu'en bons Bourgeois vous battez le pavé, Le commerce va-t-il, le Guet fait il la ronde.
LA MONTAGNE.	LA MONTAGNE.
A Paris, vous venez je croy de l’autre monde, Vole-t-on dans Paris, depuis vn an ou deux.	À Paris, vous venez je crois de l'autre monde, Vole-t-on dans Paris, depuis un an ou deux.
LA RAME'E.	LA RAME'E.
Et qu’y faites-vous donc?	Et qu'y faites-vous donc?
LA MONTAGNE.	LA MONTAGNE.
Nous y ſommes heureux Sous ces deſguiſemens, & ſi ſans repartie Vous voulez bien tous deux eſtre de la partie Pour vn enleuement:	Nous y sommes heureux Sous ces déguisements, et si sans répartie Vous voulez bien tous deux éclat de la partie Pour un enlèvement:
ce que l’on donnera Comme frere apres l’on le partagera, I’ay déja cent loüis qui ſeront à nous quatre.	ce que l'on donnera Comme frère après l'on le partagera, J'ai déjà cent louis qui seront à nous quatre.
SANS-SOVCY.	SANS-SOUCY.
Nous en ſommes ma foy;	Nous en sommes ma foi;
s’il faut meſme ce battre.	s'il faut même ce battre.
Vous ſçauez ſi le fer & le feu nous font peur.	Vous savez si le fer et le feu nous font peur.
IOLICOEVR.	JOLICOEUR.
Ie ſçay voſtre brauoure, & connois voſtre cœur, Mais nous n’auons beſoin icy que de fineſſe, Quede nombre de gens & que d’vn peu d’adreſſe, Ceux qui jadis viuoient de vol, d’aſſaſſinats, Dans Paris, à preſent, ſont gueux comme des rats.	Je sais votre bravoure, et connais votre cœur, Mais nous n'avons besoin ici que de finesse, Que nombre de gens et que d'un peu d'adresse, Ceux qui jadis vivaient de vol, d'assassinats, Dans Paris, à présent, sont gueux comme des rats.
SANS-SOVCY.	SANS-SOUCY.
Quoy?	Quoi?
l’on n’y vole plus.	l'on n'y vole plus.
LA MONTAGNE.	LA MONTAGNE.
Non, la peſte me créue, Volez ce ſoir, demain on vous meine à la Greve, Paris ne vaut plus rien, le Guet eſt en tous lieux, Dedans les grands chemins on s’y ſauue bien mieux.	Non, la peste me crève, Volez ce soir, demain on vous mène à la Greve, Paris ne vaut plus rien, le Guet est en tous lieux, Dedans les grands chemins on s'y sauve bien mieux.
SANS-SOVCY.	SANS-SOUCY.
Il faut que vous n’ayez d’vn an ſorty les portes, Tout autour de Paris on a mis cent cohortes, Les Archers à la ronde en mille endroits poſtez, Vous y battent l’Eſtrade encor de tous coſtez, C’eſt bien pis qu’à Paris.	Il faut que vous n'ayez d'un an sorti les portes, Tout autour de Paris on a mis cent cohortes, Les Archers à la ronde en mille endroits postés, Vous y battent l'Estrade encor de tous côtés, C'est bien pis qu'à Paris.
LA MONTAGNF.	LA MONTAGNF.
Paris eſt tout de meſme, Il n’y faut plus vſer que d’vne adreſſe extrême, Cela ſeul nous nourrit depuis plus de deux ans;	Paris est tout de même, Il n'y faut plus user que d'une adresse extrême, Cela seul nous nourrit depuis plus de deux ans;
Sçachez.	Sachez.
mais c’eſt icy le chemin des paſſans;	mais c'est ici le chemin des passants;
Sortons, car en ce lieu l’on pourroit nous entendre, Allez aux trois Maillets, nous allons nous y rendre C’eſt où chacun s’habille.	Sortons, car en ce lieu l'on pourrait nous entendre, Allez aux trois Maillets, nous allons nous y rendre C'est où chacun s'habille.
SCENE V.	SCÈNE V.
LA MONTAGNE, IOLICOEVR, LVBINE.	LA MONTAGNE, JOLICOEUR, LUBINE.
111 IOLICOEVR.	111 IOLICOEVR.
AH!	AH!
Lubine.	Lubine.
LVBINE.	LUBINE.
Ah!	Ah!
Meſſieurs, Mon mary m’a reduite au dernier des malheurs.	Messieurs, Mon mari m'a réduite au dernier des malheurs.
LA MONTAGNE.	LA MONTAGNE.
Quelbeſte eſt-ce donc que ton mary;	Quelbeste est-ce donc que ton mari;
hé, le traiſtre, Pluſt à Dieu que je fuſſe encor à le connoiſtre Le meſchant.	hé, le traître, Plût à Dieu que je fusse encor à le connaître Le méchant.
IOLICOEVR.	JOLICOEUR.
Quel eſt-il, nous ſçaurons l’adoucir.	Quel est-il, nous saurons l'adoucir.
Il eſt Crieur.	Il est Crieur.
LVBINE.	LUBINE.
De vins.	De vins.
IOLICOEVR.	JOLICOEUR.
LVBINE.	LUBINE.
Non, de noir à noircir, Le malheureux qu’il eſt, je ſçay ce qu’il me couſte.	Non, de noir à noircir, Le malheureux qu'il est, je sçay ce qu'il me coûte.
IOLICOEVR.	JOLICOEUR.
C’eſt quelque yurogne enfin, je n’en fais point de doute, Mais!	C'est quelque ivrogne enfin, je n'en fais point de doute, Mais!
que veux-tu de nous.	que veux-tu de nous.
LVBINE.	LUBINE.
Vous ſuplier, Monſieur, Que je me proſtituë aux pieds du grand Seigneur Quand il ſera venu;	Vous suplier, Monsieur, Que je me prostitue aux pieds du grand Seigneur Quand il sera venu;
s’il auoit agreable De me démarier d’auec ce miſerable.	s'il avait agréable De me démarier d'avec ce misérable.
LA MONTAGNE.	LA MONTAGNE.
Mais il faut des raiſons.	Mais il faut des raisons.
LVBINE.	LUBINE.
Eh!	Eh!
Meſſieurs, j’en ay cent, Pour vn mary déja, ce n’eſt qu’vn innocent, Iamais au grand Iamais.	Messieurs, j'en ai cent, Pour un mari déjà, ce n'est qu'un innocent, Jamais au grand Jamais.
Enfin c’eſt vn infame Aupres de qui je n’ay que le ſeul nom de femme.	Enfin c'est un infâme Auprès de qui je n'ai que le seul nom de femme.
IOLI COEVR.	JOLI COUR.
C’eſt ton premier mary, dis.	C'est ton premier mari, dis.
LVBINE.	LUBINE.
Ouy pour mon malheur.	Oui pour mon malheur.
LA MONTAGNE.	LA MONTAGNE.
Des chans, en as-tu ?	Des chans, en as-tu ?
Le moyen.	Le moyen.
LVBINE.	LUBINE.
Non pas de luy, Monſieur,	Non pas de Seigneur, Monsieur,
IOLICOEVR Cette affaire eſt aſſez d’importance, Caſſer vn mariage.	JOLICOEUR Cette affaire est assez d'importance, Casser un mariage.
LVBINE.	LUBINE.
En prouuant l’impuiſſance On le caſſe, Monſieur, il n’eſt rien plus commun, Ie dis net comme vn verre on n’en manque pas vn.	En prouvant l'impuissance On le casse, Monsieur, il n'est rien plus commun, Je dis net comme un verre on n'en manque pas un.
LA MONTAGNE.	LA MONTAGNE.
Hé bien, le grand Seigneur vous rendra cét office.	Hé bien, le grand Seigneur vous rendra cet office.
IOLICOEVR.	JOLICOEUR.
Nous vous y ſeruirons	Nous vous y servirons
LVBINE.	LUBINE.
Le bon, Dieu vous beniſſe.	Le bon, Dieu vous bénisse.
Ie viendray donc tantoſt aux pieds du grand Seigneur.	Je viendrai donc tantôt aux pieds du grand Seigneur.
SCENE VI.	SCÈNE VI.
GORGIBVS, LA MONTAGNE, IOLICOEVR, LVBINE.	GORGIBUS, LA MONTAGNE, JOLICOEUR, LUBINE.
GORGIBVS.	GORGIBUS.
y t’amuſes-tu, Lubine.	y t'amuses-tu, Lubine.
LVBINE.	LUBINE.
Arien, Monſieur, LA MONTAGNE.	Arien, Monsieur, LA MONTAGNE.
Parlons de Gorgibus ſon ame eſt mal contente Iolicœur, je crains bien que le diable le tente, Et que pour s’éclaireir de noſtre fauſſeté.	Parlons de Gorgibus son âme est mal contente Jolicœur, je crains bien que le diable le tente, Et que pour s'éclaireir de notre fausseté.
Il ne nous faſſe mettre en lieu de ſeureté.	Il ne nous fasse mettre en lieu de sûreté.
IOLICOEVR.	JOLICOEUR.
Cette affaire pour nous auroit d’étranges ſuites, Ayõs dés aujourd’huy tous nos faux Moſcouites, Les habits ſont tous preſts.	Cette affaire pour nous aurait d'étranges suites, Ayõs si aujourd'hui tous nos faux Moscouites, Les habits sont tous prêts.
LAMONTAGNE.	LAMONTAGNE.
Ouy, mais où les trouuer, Depuis huit jours j’y reſve.	Oui, mais où les trouver, Depuis huit jours j'y rêve.
IOLICOEVR.	JOLICOEUR.
Aquoy bon tant reſver, Cherchons-les.	Aquoi bon tant rêver, Cherchons-les.
Noſtre but eſt d’enleuer la fille, Nous auons cens loüis du Baron de Ionquille, I'our cet enleuement il l’a veut eſpouſer, Mais qu’il l’eſpouſe ou nõ, gardons-nous de jazer Diſons que nous voulons faire vne Comedie, Ou quelque maſcarade, enfin quelque folie, Car nous auons beſoin de huit ou dix faquins, Et dirt joemfetret à de pareils coquins, Nous ferions dedans peu d’étranges caprioles Gorgibus nous a bien donné trois cens piſtoles Deſſus ces blancs ſignez.	Notre but est d'enlever la fille, Nous avons cents loüis du Baron de Jonquille, J'our cet enlèvement il l'a veut épouser, Mais qu'il l'épouse ou nomme, gardons-nous de jaser Disons que nous voulons faire une Comédie, Ou quelque mascarade, enfin quelque folie, Car nous avons besoin de huit ou dix faquins, Et dirt joemfetret à de pareils coquins, Nous ferions dedans peu d'étranges caprioles Gorgibus nous a bien donné trois cents pistoles Dessus ces signez signe.
LA MONTAGNE.	LA MONTAGNE.
Puis il a répondu Dedans la ruë aux Fers tout le brocard eſt deû, Tout eſt-il chez Dame Anne au moins?	Puis il a répondu Dedans la rue aux Fers tout le brocard est dû, Tout est-il chez Dame Anne au moins?
IOLI COEVR.	JOLI COUR.
Ie t'en aſſeure.	Je t'en assure.
LA MONTAGNE.	LA MONTAGNE.
Voila noſtre vray fait	Voilà votre vrai fait
IOLICOEVR.	JOLICOEUR.
Ah!	Ah!
la bonne figu re.	la bonne figu re.
SCENE VII.	SCÈNE VII.
IOLICOEVR, LA MONTAGNE, LVBIN.	IOLICOEVR, LA MONTAGNE, LUBIN.
LVBIN ſort en chantant.	LUBIN sort en chantant.
N revenant de Canadas, En revenant de Canadas, Noſtre hoſte qui a voit nom Colas, Et ſtépaule branſle branſle, Et ſtella ne branſie pas.	 Notre de Canadas, En revenant de Canas, Notre hôte qui a voit nom Colas, Et stépaule branle branle, Et stella ne bransie pas.
IOLICOEVR.	JOLICOEUR.
non jour nohc, camarade.	non jour node, camarade.
LVBIN.	LUBIN.
Ils ſont tous ld moulin.	Ils sont tous léd moulin.
LA MONTAGNE.	LA MONTAGNE.
Nous nous connoiſſons rant.	Nous nous connaissons rant.
LVBIN.	LUBIN.
Ouy, ie te vis demain.	Oui, Seigneur te vis demain.
LA MONTAGNE.	LA MONTAGNE.
C’eſt luy qui dans Thurin ſe ſignala de ſorte.	C'est lui qui dans Thurin se signala de sorte.
LVBIN.	LUBIN.
Si je connois Thurin, que le diable m’emporte, Comment eſt il veſtu?	Si je connais Thurin, que le diable m'emporte, Comment est il vêtu?
LA MONTAGNE.	LA MONTAGNE.
Bon!	Bon!
je dis à Thurin, Il fut aux ennemis vne pique à la main, Il en tua, ie croy, de ſa main plus de trente Dans la tranchée.	je dis à Thurin, Il fut aux ennemis une pique à la main, Il en tua, toujours crois, de sa main plus de trente Dans la tranchée.
LVBIN.	LUBIN.
Oh ouy, ’ay la main maſſacrante, Mais j’auois des tranchéz comme vous dites là Qui me tranchois le ventre;	Oh oui, aay la main massacrante, Mais j'avais des tranchéz comme vous dites là Qui me tranchais le ventre;
ah!	ah!
vrayment ſans cela Vous m’euſſiez bien veu tous faire vn autre carnage.	vraiment sans cela Vous m'eussiez bien vu tous faire un autre carnage.
IOLICOEVR.	JOLICOEUR.
C’eſt donc ſon element que la guerre.	C'est donc son élément que la guerre.
LA MONTAGNE.	LA MONTAGNE.
Il y nâge.	Il y namge.
LVBIN.	LUBIN.
Ouy, je nâge fort bien.	Oui, je nage fort bien.
LA MONTAGNE.	LA MONTAGNE.
Mais ce fut à Cazal Où ce braue fit voir qu’il n’auoit point d’eſgal.	Mais ce fut à Casal Où ce brave fit voir qu'il n'avait point d'égal.
LVBIN.	LUBIN.
Ouy pour dans Cazal.	Oui pour dans Casal.
LA MONTAGNE.	LA MONTAGNE.
Il fut teſte baiſſée Et perça l’Eſcadron d’vne garde auancée, A coups de piſtolet & l’eſpée à la main.	Il fut tête baissée Et perça l'Escadron d'une garde avancée, A coups de pistolet et l'épée à la main.
Bref il fit à Cazal l’action d’vn Romain.	Bref il fit à Casal l'action d'un Romain.
Hratene baine, enfin il ne s’enqueſte.	Hratène baine, enfin il ne s'enquête.
LVBIN.	LUBIN.
Ouy toûjours en marchant, moy je baiſſe la teſte Dans Cazal & par tout,	Oui toujours en marchant, moi je baisse la tête Dans Cazal et par tout,
LA MONTAGNE.	LA MONTAGNE.
Mais apres tant d’honneur Le ſort le fit tomber dans vn petit malheur, Il vola dans Cazal vn Viuandier je penſe, Cela luy fit donner le foüet ſous la potence Auec vne bruſlure icy qui luy fit mal.	Mais après tant d'honneur Le sort le fit tomber dans un petit malheur, Il vola dans Cazal un Vivandier je pense, Cela a fit donner le foncet sous la potence Avec quelque brûlure ici qui tu fit mal.
LVBIN.	LUBIN.
Vous vous trompez, iamais je ne fus à Cazal,	Vous vous trompez, jamais je ne fus à Casal,
IOLICOEVR.	JOLICOEUR.
Non non, ceſt pour railler qu’on dit ces fariboles;	Non non, cet pour railler qu'on dit ces fariboles;
Ecoute, es-tu d’humeur à gagner vingt piſtoles, Bien veſtu, bien nourry.	Écoute, es-tu d'humeur à gagner vingt pistoles, Bien vêtu, bien nourri.
LVBIN.	LUBIN.
Cela n’iroit pas mal;	Cela n'irait pas mal;
Ie le veux, mais jamais je ne fus à Cazal, Au moins.	Je le veux, mais jamais je ne fus à Cazal, Au moins.
IOLICOEVR.	JOLICOEUR.
Ie le ſçay bien.	Je le sais bien.
LVBIN.	LUBIN.
Morbleu c’eſt que j’enrage.	Morbleu c'est que j'enrage.
LA MONTAGNE.	LA MONTAGNE.
.	.
Ecoute, c’eſt pour faire vn fort grand perſonnage Dans vne Comedie, & qui ne dira mot.	Écoute, c'est pour faire un fort grand personnage Dans une Comédie, et qui ne dira mot.
LVBIN.	LUBIN.
Ie ſuis voſtre homme, allez, je ne ſuis pas vn ſot I’ay deſſus le Pont-neuf joüé deux ou trois Scenes Dans vne Comedie au Rauiment des Laines, Nous tirions des manteaux, quatre au cinq furent pris Et furent tous pendus.	Je suis votre homme, allez, je ne suis pas un sot J'ai dessus le Pont-neuf joué deux ou trois Scenes Dans quelque Comédie au Raviment des Les, Nous tirions des manteaux, quatre au cinq furent pris Et furent tous pendus.
IOLICOEVR.	JOLICOEUR.
Et toy?	Et toi?
LVBIN.	LUBIN.
