A MADAME VLAE .	À MADAME VLAE .
Mais pour me trõper agreablement, ie me perſuade qu’il eſt auãtageux aux peres d’enuoyer voir le monde à leurs enfans, parce que dans la conuerſation des honeſtes gẽs ils le deuiẽnẽt, & retournẽt en fin chez eux, autant changez d’eſprit que de viſage.	Mais pour me trôper agréablement, je me persuade qu'il est auãtageux aux pères d'envoyer voir le monde à leurs enfants, parce que dans la conversation des honnêtes guérêtes le deuiẽnẽt, et retournent en fin chez eux, autant changez d'esprit que de visage.
Ie ne ſçay (MADAME)ſi mon LIGDAMON ayant eu l’honneur de vous pratiquer, aura ſuiuy ceſte couſtume:	Je ne sais (MADAME)si mon LIGDAMON ayant eu l'honneur de vous pratiquer, aura suivi cette coutume:
mais du moins n’ignoray ie pas, que s’il eſt tel qu’on le publie, il vous doit ſa metamorphoſe:	mais du moins n'ignora ie pas, que s'il est tel qu'on le publie, il vous doit sa métamorphose:
car il eſt vray que ie ne voy point de rapport entre le Tableau qu’on m’en afait, & l’Image que l’amour paternelle m’en conſerue en la memoire.	car il est vrai que personne ne vois point de rapport entre le Tableau qu'on m'en afait, et l'Image que l'amour paternelle m'en conserve en la mémoire.
Et certes iit iu gis de ſon effronterie, quand ie penſe qu’il a oſé paroiſtre deuant vous:	Et certes jit ju gis de son effronterie, quand ie pense qu'il a osé paraître devant vous:
mais quoy, ce ſont des tours de ieune homme;	mais quoi, ce sont des tours de jeune homme;
& pour n’en pas men2 tir, ie l’ayme mieux vn peu temeraire que poltron, ſa naiſſance doit excuſer ſes fautes, puis qu’il eſt ſorty d’vne maiſon où l’on n’a iamais eu de plume qu’au chapeau.	et pour n'en pas men2 tir, je l'aime mieux un peu téméraire que poltron, sa naissance doit excuser ses fautes, puis qu'il est sorti d'une maison où l'on n'a jamais eu de plume qu'au chapeau.
Auſſi, bien loin de blaſmer ſa hardieſſe ſur les bonnes nouuelles qu’on m’en a donné, ie le propoſe pour exemple à mon TROMPEVR.	Aussi, bien loin de blâmer sa hardiesse sur les bonnes nouvelles qu'on m'en a donné, Seigneur le propose pour exemple à mon TROMPEUR.
Si ie n’eſtois d’vne profeſſion qui m’oblige à ne rien craindre, vous auriez raiſon de m’accuſer de temerité;	Si ici n'étais d'une profession qui m'oblige à ne rien craindre, vous auriez raison de m'accuser de témérité;
mais vn vn Soldat ſepeut permettre beaucoup de choſes auec bien-ſeance qui la choqueroient en tout autre:	mais un homme Soldat seput permettre beaucoup de choses avec bienséance qui la choqueraient en tout autre:
& puis ie ne me laiſſe point emporter à l’opinion commune, & quelque applaudiſſement vniuerſel qu’ait rencontré ce Poëme, peu s’en faut que ie ne le meſpriſe, parce que ie crains que vous ne l’eſtimiez pas.	et puisque ne me laisse point emporter à l'opinion commune, et quelque applaudissement universel qu'ait rencontré ce Poème, peu s'en faut que je ne le méprise, parce que ie ainsi que vous ne l'estimiez pas.
Ie ſçay que I’eſclat du Theatre en donne aux vers, & que l’oreille la plus iuſte peut eſtre deceuë par vne mauuaiſe choſe ditte de bõne grace mais il n’en ſera pas ainſi dans vn Cabinet où le ſilence, la ſolitude, & le loiſir vous permettront d’examiner plus exactemen ce CRIMINEL, qui n’aura point aſſez d’art pour couurir des fautes à vos yeux, que tant d’autres n’ont point apperceuës;	Je sais que J'éclat du Théâtre en donne aux vers, et que l'oreille la plus juste peut être déçue par une mauvaise chose ditte de bonne grâce mais il n'en sera pas ainsi dans un Cabinet où le silence, la solitude, et le loisir vous permettront d'examiner plus exactemen ce CRIMINEL, qui n'aura point assez d'art pour couvrir des fautes à vos yeux, que tant d'autres n'ont point aperçues;
carceſte Peinture que ie vous enuoye, & à laquelle je viens de donner les derniers coups de pinçeau, eſt encore ſi fraiſche, que ie n’en puis remarquer moy-meſme les defauts, ny la perfection.	carreste Peinture que je vous envoie, et à laquelle je viens de donner les derniers coups de pineau, est encore si fraîche, que je n'en puis remarquer moi-même les défauts, ni la perfection.
C’eſt pourquoy, MADAME, ſans me cacher derriere vn rideau comme Appelles, pour ouyr l’opinion du peuple que ie n’eſtime pas aſſez, pour me ſubmettre à ſon iugement, ie m’en remets abſolument au voſtre, qui ne peut errer:	C'est pourquoi, MADAME, sans me cacher derrière un rideau comme Appelles, pour ouïr l'opinion du peuple que personne n'estime pas assez, pour me submettre à son jugement, Seigneur m'en remets absolument au vôtre, qui ne peut errer:
eſtant indubitable, que voſtre approbation donne le branſle à celle de toute la Cour;	étant indubitable, que votre approbation donne le branle à celle de toute la Cour;
& qu’en matiere d’eſprit on ne determine rien ſi le voſtre n’en a iugé.	et qu'en matière d'esprit on ne détermine rien si le vôtre n'en a jugé.
Qu’il arriue donc de mon deſſein ce qu’il plaira à la fortune, & que mon TROMPEVR ſoit PVNY vne ſeconde fois pour vne faute qui n’eſt pas moindre que la premiere;	Qu'il arrive donc de mon dessein ce qu'il plaira à la fortune, et que mon TROMPEUR soit PUNI une seconde fois pour une faute qui n'est pas moindre que la première;
ſi faut-il que ie vous le donne auſſi bien que moy:	si faut-il que croire vous le donne aussi bien que moi:
il eſt vray que ce qui rend en quelque façon ma temerité pardonnable, & ce qui me fait croire que vous le receurez fauorablement, eſt, que le grand Cardinal a teſmoigné ne le par tenir au nombre des choſes mauuaiſes:	il est vrai que ce qui rend en quelque façon ma témérité pardonnable, et ce qui me fait croire que vous le recevrez favorablement, est, que le grand Cardinal a témoigné ne le par tenir au nombre des choses mauvaises:
cét hon neur qui m’eſt ſuccedé, tant au delà de mon eſperance, m’a ſi eſtroittement lié à ſes intereſts que ie ne le croiray iamais aſſez dignement aſſis qu’il ne le ſoit dans ceſte Chaire, dont le marche-pied ſe trouue auſſi haut, que la teſte des Empereurs qui en approchent.	cet hon neur qui m'est succédé, tant au delà de mon espérance, m'a si étroittement lié à ses intérêts que ieans le croirai jamais assez dignement assis qu'il ne le soit dans cette Chaire, dont le marche-pied se trouve aussi haut, que la tête des Empereurs qui en approchent.
Et certes (MADAME) & luy, & vous, poſſedez toutes les vertus ſi pleinemént, qu’il n’eſt point de grade ſi releué, où vous n’ayez droict d’aſpirer, & qu’on ne vous puiſſe ſouhaiter ſans crime:	Et certes (MADAME) et lui, et vous, possédez toutes les vertus si pleinement, qu'il n'est point de grade si relevé, où vous n'ayez droit d'aspirer, et qu'on ne vous puisse souhaiter sans crime:
& lors que ie conſidere les excellentes qualitez qui vous rendent recommandable, ie ſuis contraint de vouloir mal à la ſterilité de noſtre langue, qui n’a point de termes ſi pompeux qui ne deſrobẽt quelque choſe à l’eſclat de voſtre merite:	et lors que votre considère les excellentes qualités qui vous rendent recommandable, votre suis contraint de vouloir mal à la stérilité de notre langue, qui n'a point de termes si pompeux qui ne dérobent quelque chose à l'éclat de votre mérite:
bien eſt-il vray que ſa pauureté ne paroiſt qu'à cauſe de voſtre richeſſe, eſtant certain, quand on auroit choiſi toutes les raretez de l’Eloquẽce pour exprimer de quelle façon vous ſçauez regner dans les cœurs, qu’on n’en viẽdroit pas à bout.	bien est-il vrai que sa pauvreté ne paraît qu'à cause de votre richesse, étant certain, quand on aurait choisi toutes les raretés de l'Éloquence pour exprimer de quelle façon vous savez régner dans les cœurs, qu'on n'en viendrait pas à bout.
Les merueilles de voſtre eſprit, & celles de voſtre viſage, agiſſent ſi puiſſamment ſur tous ceux quiont l’hõneur de vous approcher, qu’il ne leur reſte qu’vne admiration muette pour teſmoigner ce qu’ils en penſent.	Les merveilles de votre esprit, et celles de votre visage, agissent si puissamment sur tous ceux quiont l'honneur de vous approcher, qu'il ne leur reste qu'une admiration muette pour témoigner ce qu'ils en pensent.
Voſtre prudence,& voſtre douceur n’attirent pas auec 2 moins de force les inclinations de tout le monde;	Votre prudence, notre douceur n'attirent pas avec 2 moins de force les inclinations de tout le monde;
& la Pieté (ceſte grande Reine des Vertus) eſtablit vn commerce ſi eſtroit entre Dieu & vous, qu’ayant la beauté, l’eſprit, & la pureté des Anges, on a peine à croire que vous ne ſoyez vn de leur nombre, qui paroiſſe dans vn de ces beaux corps, auec leſquels ils ont accouſtumé de ſe faire voir aux mortels.	et la Piété (ceste grande Reine des Vertus) établit un commerce si étroit entre Dieu et vous, qu'ayant la beauté, l'esprit, et la pureté des Anges, on a peine à croire que vous ne soyez un de leur nombre, qui paraisse dans un de ces beaux corps, avec lesquels ils ont accoutumé de se faire voir aux mortels.
Ie vous en dirois dauantage ſi ce n’eſtoit que les louanges & les flatteries ſe reſſemblent trop, & que i’aurois peur que voſtre modeſtie ne les priſt l’vne pour l’autre.	Je vous en dirais davantage si ce n'était que les louanges et les flatteries se ressemblent trop, et que j'aurais peur que votre modestie ne les prît l'une pour l'autre.
Mais aduouez que i’ay l’art de bien couurir ma foibleſſe, & que lors que ie ne puis plus parler, ie me ſçay taire de bonne grace.	Mais avouez que j'ai l'art de bien couvrir ma faiblesse, et que lors que ie ne puis plus parler, je me sais taire de bonne grâce.
C’eſt,	C'est,
MADAME,	MADAME,
Voſtre tres-humble, e tres-obeïſſant ſeruiteur, DE SCVDERY.	Votre très-humble, est très-obeïssant serviteur, DE SCUDERY.
411 PREFACE.	411 PRÉFACE.
Par Monſieur de Chandeuille, ſur les Oeuures de Monſieur de Scudery	Par Monsieur de Chandeuille, sur les Oeuures de Monsieur de Scuderi
NTRE ceux qui s’addonnent à la 'oëſie, les vns font paroiſtre beaucoup de viuacité d’esprit dans la grande abondance des penſees dontils ſe ſeruent;	NTRE ceux qui s'adonnent à la ' ôtes, les uns font paraître beaucoup de vivacité d'esprit dans la grande abondance des pensées dontils se servent;
les autres beaucoup de iugement dans la conduitte des ouurages qu’il, entreprennent:	les autres beaucoup de jugement dans la conduite des ouvrages qu'il, entreprennent:
mais il s'en rencontre fort peu qui excellent en ces deux belles parties.	mais il s'en rencontre fort peu qui excellent en ces deux belles parties.
Monſieur de Scudery les a ſi bien accordees, que les plus difficiles ne ſçauroient deſirer vne plus grande quantité de conceptions, ny vne plus iudicieuſe conduite que celle qui ſe remarque en ſon incomparable TROMPEVR PVNY Ie le nomme ainſi pour m'accommoder außi bien que ſon Autheur à la voix publique, qui d’vn des plus remarquables incidents du Poëme luy a donné ce tiitre eſtranger, le ſien propre eſtant L’HISTOIRE SEPTENTRIONNALE.	Monsieur de Scudéri les a si bien accordées, que les plus difficiles ne sauraient désirer une plus grande quantité de conceptions, ni une plus judicieuse conduite que celle qui se remarque en son incomparable TROMPEUR PUNI Je le nomme ainsi pour m'accommoder aussi bien que son Auteur à la voix publique, qui d'un des plus remarquables incidents du Poème avait donné donné le tiitre étranger, le sien propre étant LHISTOIRE SEPTENTRIONNALE.
Ceſte piece peut auoir des cen	Cette pièce peut avoir des cen
ſeurs comme des approbateurs, puis qu’il ſe trouue des egnorans & des enuieux außi bien que des honneſtes gens:	sûreurs comme des approbateurs, puis qu'il se trouve des égnorants et des envieux aussi bien que des honnêtes gens:
mais cõme il n'eſcrit que pour les derniers, le iugement des autres luy eſt autant indifferent comme l’impertinente raillerie de certains brutaux qui eſtiment la Poëſie vn entretien indigne d’vn homme de condition.	mais comme il n'écrit que pour les derniers, le jugement des autres hommes est autant indifférent comme l'impertinente raillerie de certains bruts qui estiment la Poésie un entretien indigne d'un homme de condition.
Si ceſte fauſſe maxime euſt eſté ſuiuie, nous ſerions priuez des merueilleux ouurages de Monſieur de Malherbe, & de Monſieur de Racan:	Si cette fausse maxime eût été suivie, nous serions privez des merveilleux ouvrages de Monsieur de Malherbe, et de Monsieur de Racan:
& noſtre ſiecle n'auroit pas la gloire de voir ſurpaſſer les anciens Poëtes Latins par des Gentils-hommes François.	et notre siècle n'aurait pas la gloire de voir surpasser les anciens Poètes Latins par des Gentilshommes Français.
Les Muſes, ces belles filles dont pas vn amant n’accuſe la cruauté, chacun s’imaginant auoir part en leurs bonnes graces, ſont trop nobles pour ne meriter que le ſeruice des gens de baſſe extraction, & leurs faueurs ſont trop douces pour eſtre meſpriſees des Caualiers de merite.	Les Muses, ces belles filles dont pas un amant n'accuse la cruauté, chacun s'imaginant avoir part en leurs bonnes grâces, sont trop nobles pour ne mériter que le service des gens de basse extraction, et leurs faveurs sont trop douces pour être mesprisees des Cavaliers de mérite.
Il ſe treuue fort peu de perſonnes d’eſprit dans la Cour, de quelque profeßion qu'elles ſoient, qui ne faſſent des vers, ou qui ne les aiment:	Il se trouve fort peu de personnes d'esprit dans la Cour, de quelque profession qu'elles soient, qui ne fassent des vers, ou qui ne les aiment:
ſi bien que nous auons ſuiet de croire qu’õ fera plus de difficulté d’expe ſer au iour des choſes ſi gnes d’en eſtre eſclairees.	si bien que nous avons sujet de croire qu'on fera plus de difficulté d'expe ser au jour des choses si gagnes d'en être esclairees.
Ie deffens icy vne cauſe où ie ay point d’autre intereſt que celuy de MONSIEVR DE SCVDERY, mon deſſein n'eſtant pas qu'on voye nais mon nom imprimé ailleurs que dans ſes liures:	Je défends ici une cause où je ai point d'autre intérêt que celui de MONSIEUR DE SCUDERY, mon dessein n'étant pas qu'on voie nais mon nom imprimé ailleurs que dans ses livres:
mais des vers ſi beaux & ſi releuez comme les ſiens, meritent bien que ie faſſe vne choſe extraordinaire pour le plus intime de mes amis;	mais des vers si beaux et si relevez comme les siens, méritent bien que femme fasse une chose extraordinaire pour le plus intime de mes amis;
car ie vous prie de conſiderer ſi ce n’eſt pas veritablement en luy que paroiſt mieux qu'en aucun autre cét entouſiaſme, & ceſte eſleuation d’esprit qui a fait appeller la Poëſie diuine.	car je vous prie de considérer si ce n'est pas véritablement en lui que paraît mieux qu'en aucun autre cet entousiâme, et cette élévation d'esprit qui a fait appeler la Poésie divine.
Ceux qui n’ont pas ce feu celeſte ſe peuuent bien nommer verfifi.	Ceux qui n'ont pas ce feu céleste se peuvent bien nommer verfifi.
cateurs, mais non pas Poëtes:	cateurs, mais non pas Poètes:
ce n’eſt point aſſez de tourner bien vn vers pour acquerir ce tiltre, il faut a uoir la cognoiſſance de tous les arts, & de toutes les ſciẽ ces, du moins ſuperficiellement, & outre la viuacité d’eſprit, & la force de l’imagination, la ſolidité du iuge ment eſt neceſſaire pour l’œconomie du ſuiet, & la cõ duitte du Poëme;	ce est point assez de tourner bien vers pour acquérir ce tiltre, il faut a uoir la cognoissance de tous les arts, et de toutes les sciẽ ces, du moins superficiellement, et outre la ce n'est, et la force de imagination, a solidité de tourner bien un vers pour aœconomie ce titre, et la f duitte du a;
de ſorte que ces belles parties venant de temperaments contraires il n’eſt pas aiſé de rencontrer des hommes qui les poſſedent enſemble.	de sorte que ces belles parties venant de tempéraments contraires il n'est pas aisé de rencontrer des hommes qui les possèdent ensemble.
Cela eſtãt iugez quel ornement le ſiecle reçoit de MONSIEVR DE SCVDERY, qui les met ſi pompeuſement en vſage, ſi vous vous donnez la peine, ou pluſtoſt le plaiſir de lire cette Tragi-Comedie, bien loin de me ſoupçonner de panterte, romme voudrez mal de vous auoir quelque temps diuerty de ſa lecture, par ce diſcours où ie vout fais voir mes penſees ſur les ouurages d’vn amy qui ne me cache que fort peu des ſiennes.	Cela étant jugez quel ornement le siècle reçoit de MONSIEUR DE SCUDERY, qui les met si pompeusement en usage, si vous vous donnez la peine, ou plutôt le plaisir de lire cette Tragi-Comédie, bien loin de me soupçonner de panterte, romme voudrez mal de vous avoir quelque temps diverti de sa lecture, par ce discours où tu vout fais voir mes pensées sur les ouvrages d'un ami qui ne me cache que fort peu des siennes.
Pour borner l’impa tience où vous deuez eſtre, ie m’en vay finir, apres vous auoir aduerty de deux choſes;	Pour borner l'impa tience où vous devez être, tu m'en vais finir, après vous avoir averti de deux choses;
l’vne, que ceſte piece eſt fr claire, & ſi bien demeſlee qu’elle n’a point eu beſoin d’argument pour ſe rendre intelligible;	l'une, que cette pièce est fr claire, et si bien démêlée qu'elle n'a point eu besoin d'argument pour se rendre intelligible;
& l’autre, que le ſuiet en eſt tiré de ces beaux Romans d’Aſtree & de Polexandre, dont il a fait vne Hiſtoire ſi bien liee, qu'õ ue uge rou pas queiron eſprus enjjent contribué a ſa production.	et l'autre, que le sujet en est tiré de ces beaux Romans d'Astre et de Polexandre, dont il a fait une Histoire si bien lièse, qu'en ue que rou pas queiron éprus enjent contribué à sa production.
Voila quel eſt le ſentiment touchant ce Poëme, que vous verreZ bien-toſt ſuiuy d’vn Vaſſal Genereux, & d’vne Comedie außi extraordinaire en ſon intẽtion, que reguliere.	Voilà quel est le sentiment touchant ce Poème, que vous verrez bientôt suivi d'un Vassal Généreux, et d'une Comédie aussi extraordinaire en son intẽtion, que régulière.
Si la modeſtie de l’autheur apres vous auoir parlé de ſes œuures, me jouſprout ue vous emretenir de ſa vie, vous ne la iugeriez pas moins helle;	Si la modestie de l'auteur après vous avoir parlé de ses œuvres, me jouprout ue vous emretenir de sa vie, vous ne la jugeriez pas moins helle;
mais ſa diſcretion l'emporte ſur la volonté que i'en auois.	mais sa discrétion l'emporte sur la volonté que j'en avais.
A MONSIEVR DE SCVDERY, SVR SA TRAGICOMEDIE du Riompeur tany,	À MONSIEUR DE SCUDERY, SVR SA TRAGICOMEDIE du Riompeur tani,
ELEGIE.	ÉLÉGIE.
Attends pas que d’vn Vers eſgal à ton merite IN Ie faſſe voir icy ta loüange deſcrite, I’eſcris pour teſmoigner que le Ciel m’a permis De trouuer vne place au rang de tes amis, Et qu'enfin auec eux i’auray cet auantage De paroiſtre immortel au front de ton ouurage;	Attends pas que d'une Vers égal à ton mérite IN Je fasse voir ici ta louange décrite, J'écris pour témoigner que le Ciel m'a permis De trouver une place au rang de tes amis, Et qu'enfin avec eux j'aurai cet avantage De paraître immortel au front de ton ouvrage;
M’en blaſme qui voudra, ie n’auray point de peur D’augmenter en tout temps la ſuitte d’vn Trompeur, Tu l’as rendu ſi beau qu’on en est Idolatre, C’eſt l’ornement du temps ainſi que du Theatre, C’eſt luy quite va faire autant d’adorateurs Que ton liure parfait trouuera de Lecteurs.	M'en blâme qui voudra, on n'aurai point de peur D'augmenter en tout temps la suitte d'H Trompeur, Tu l'as rendu si beau qu'on en est Idolatre, C'est l'ornement du temps ainsi que du Théâtre, C'est quelque quite va faire autant d'adorateurs Que ton livre parfait trouvera de Lecteurs.
Iadis ſa trahiſon l’auoit rendu blaſmable, Et tes Vers auiourd huy nous le rendent aimable:	Jadis sa trahison l'avait rendu blâmable, Et tes Vers aujourd' hui nous le rendent aimable:
On l’attend, on le cherche, on n'y fait que penſer, Non pas pour le punir, mais pour le careſſer.	On l'attend, on le cherche, on n'y fait que penser, Non pas pour le punir, mais pour le caresser.
Toute la France eſmeuë au bruit de ſes merueilles, Luy deſtine eſia ſes loiſirs & ſes veilles, Et tiendra ce I rompeur, que tu vas mettre au iour, Pour le plus accomply qui paroiſſe à la Cour.	Toute la France émue au bruit de ses merveilles, Lui destine esia ses loisirs et ses veilles, Et tiendra ce I rompeur, que tu vas mettre au jour, Pour le plus accompli qui paraisse à la Cour.
Bien qu’il ait par tes Vers confeſſé ſon offenſe, Ses luges toutes fois vont prendre ſa deffenſe, Ou ſi de quelque blaſme on luy veut faire part, Ce ſera ſeulement d’auoir paru trop tard.	Bien qu'il ait par tes Vers confessé son offense, Ses luges toutes fois vont prendre sa défense, Ou si de quelque blâme on lui veut faire part, Ce sera seulement d'avoir paru trop tard.
Deſia de tous costez les Dames les plus belles Au lieu de le bannir le font coucher prés d’elles, Et toutes ces heautez preferent auiourd’huy Au plus fidel Amant vn Trompeur comme luy.	Déjà de tous côtés les Dames les plus belles Au lieu de le bannir le font coucher prés d'elles, Et toutes ces hautés préfèrent aujourd'hui Au plus fidel Amant un Trompeur comme lui.
On l’aime pour ſa faute, & par vn ſort eſtrange L’inuenteur de ſon crime en a de la loüange;	On l'aime pour sa faute, et par un sort étrange L'inventeur de son crime en a de la louange;
Mais ie te veux loüer, & ie n’apperçoy pas Que tu reluis aſſeZ par tes propres appas.	Mais fort te veux louer, et ainsi n'aperçois pas Que tu reluis assez par tes propres appas.
Ma Muſe en ta faueur großiroit vn Volume, Qu'il ne ſuf firoit pas pour ta diuine plume;	Ma Muse en ta faveur grossirait un Volume, Qu'il ne sus firait pas pour ta divine plume;
l vaut bien mieux ſe taire en ce qu’on entreprend, Que d’endire trop peu quand le ſuiet eſt grand;	l' vaut bien mieux se taire en ce qu'on entreprend, Que d'endire trop peu quand le sujet est grand;
Que ſeruiroit außi de parler ou d’eſcrire?	Que servirait aussi de parler ou d'écrire?
on liure en fait plus voir que nous n’en ſçauriõs dire, et mon cœur & ma main vont figner qu’en ce point on merueilleux trompeur ne me trompera point.	on livre en fait plus voir que nous n'en sçauriõs dire, et m cœur et ma main vont signer en ce point on merveilleux trompeur ne me a point.
DV RYER, ẽ	DU RYER, 
A MONSIEVR DEUCIIERY.	À MONSIEUR DEUCIERY.
OY qu’vne ſi docte chaleur I Touſiours plus viuement allume, Dont les eſcrits, & la valeur Illuſtrent l’Espee & la plume:	OY qu'une si docte chaleur I Jousiours plus vivement allume, Dont les écrits, et la valeur Illustrent l'Espée et la plume:
Digne honneur des plus dignes arts, Seul fils de Minerue, & de Mars, Eſt-il raiſon qui ne te donne Toute la gloire du Laurier, Qui du Poëte & de guerrier Forme le prix, & la couronne?	Digne honneur des plus dignes arts, Seul fils de Minerve, et de Mars, Est-il raison qui ne te donne Toute la gloire du Laurier, Qui du Poète et de guerrier Forme le prix, et la couronne?
MAIRET.	MAIRET.
A MONSIEVR DE SCVDERY.	À MONSIEUR DE SCUDERY.
luil lon ToHipeurs	luil lon ToHipeurs
ET aimable Trompeur ſi fort me contenta Dés la premiere fois qu’on le repreſenta, Que i’en donnay la gloire à l’eſclat du theatre:	ET aimable Trompeur si fort me contenta Dès la première fois qu'on le représenta, Que j'en donnai la gloire à l'éclat du théâtre:
Mais quand ie leus ton liure, & que ie l’eus gouſté, Quele bnutlesy cistagratee dorantt, Ie les eſtimaytant que i’en fus Idolatre.	Mais quand ici lus ton livre, et que sans l'eus goûté, Que bnutlesy cistagrate dorant, Je les estimayant que j'en fus Idolâtre.
Ce Trompeur m'a trompé, car ie ne penſois pas Capables de charmer les yeux & les oreilles, Mais le nom de l’Autheur remet mes ſens confus, Venant de Scudery ie ne m’eſtonne plus, Car i’ay bien veu de luy de plus grandes merueilles,	Ce Trompeur m'a trompé, car ainsi ne pensais pas Capables de charmer les yeux et les oreilles, Mais le nom de l'Auteur remet mes sens confus, Venant de Scuderis Seigneur ne m'étonne plus, Car j'ai bien vu de jours de plus grandes merveilles,
D’INVILLE.	D'INVILLE.
A MONSIE VI DE SCVDERY.	À MONSIE VI DE SCUDERY.
ſur ſon Tromipeur Puny.	sur son Tromipeur Puni.
On Cleonte de qui ie loüe I L’adreſſe à tromper finement, Ne meritoit pas, ie l’auoüe, Vn ſi ſeuere chaſtiment.	On Cléonte de qui votre loue I J'adresse à tromper finement, Ne méritait pas, quelque bauoüe, Un si sévère châtiment.
I’ay beaucoup de reſſentiment, Mais quelque chaleurqui m'emporte Ie pardonnerona tamant Qui m'auroit trompé de la ſorte.	J'ai beaucoup de ressentiment, Mais quelque chaleurqui m'emporte Je pardonnerona tamant Qui m'aurait trompé de la sorte.
BOISROBERT.	BOISROBERT.
AVMORUIEVT DE SCVDERY.	AUMORUIEUT DE SCUDERY.
ſur lon I'rompeur Puny.	sur lon J'rompeur Puni.
MADRIGAL.	MADRIGAL.
ON Cleonte par ſon trespas I Iette vn puiſſant appas A là ſupercherie;	ON Cléonte par son trépas I Jette un puissant appas À là supercherie;
Veu l’eſclat infiny Qu’il reçoit de ta plume, apres ſa tromperie:	Veu l'éclat infini Qu'il reçoit de ta plume, après sa tromperie:
Chacun voudra tromper pour eſtre ainſi puny;	Chacun voudra tromper pour être ainsi puni;
Et quoy qu’il en perde la vie, On portera touſiours enuie A l’heur qui ſuit ſon mauuais ſort;	Et quoi qu’il en perde la vie, On portera toujours envie A l'heur qui suit son mauvais sort;
Puis qu'il ne viuroit plus s’il ne fuſt ainſi mort,	Puis qu'il ne vivrait plus s'il ne fût ainsi mort,
CORNEILLE.	CORNEILLE.
EPIGRAMME.	ÉPIGRAMME.
