TRAGEDIE ORNEE DE MACHINES, & de Muſique.	TRAGÉDIE ORNÉE DE MACHINES, et de Musique.
Cette malheureuſe Nymphe ne s’y fut pas ſitoſt plongée, qu’elle vit naiſtre des Chiens, qui s’attachant à ſon corps, l’effrayerent par leurs aboyemens;	Cette malheureuse Nymphe ne s'y fut pas sitôt plongée, qu'elle vit naître des Chiens, qui s'attachant à son corps, l'effrayèrent par leurs aboiements;
& l’horreur qu’elle eût d’elle-meſme dans ce déplorable état, fut ſi forte, qu’elle s’alla précipiter dans la Mer, où elle fut changée en un Rocher, qui a conſervé ſon nom, & contre qui les flots ſe briſans, imitent par le bruit qu’ils font, les abo yemiens des Chiens qui avoient fait ſon ſuplice.	et l'horreur qu'elle eût d'elle-même dans ce déplorable état, fut si forte, qu'elle s'alla précipiter dans la Mer, où elle fut changée en un Rocher, qui a conservé son nom, et contre qui les flots se brisans, imitent par le bruit qu'ils font, les abo yemiens des Chiens qui avaient fait son suplice.
Je n’ay rien adjoûté à cette Fable, que Mélicerte aimé de Sylla, & cette meſme Sylla changée en Néreïde apres tous ſes malheurs, pour avoir lieu de finir la Piece par un Spectacle de réjoüiſſance.	Je n'ai rien ajouté à cette Fable, que Mélicerte aimé de Scylla, et cette même Scylla changée en Néreïde après tous ses malheurs, pour avoir lieu de finir la Pièce par un Spectacle de réjouissance.
ARCTE	ARCTE
A Décoration du Prologue repreſente un Temple de riche Architecture, que la Gloire a fait élever pour le Roy.	À Décoration du Prologue représente un Temple de riche Architecture, que la Gloire a fait élever pour le Roi.
L’Ordre en eſt Compoſite, avec pluſieurs Arcades & Colomnes de Iaſpe d’Orient, dont les Baſes & Chapiteaux ſont d’or, auſſi-bien que les Modillons & les Fleurs de Lys qui font les ornemens des Corniches & des Friſes.	L'Ordre en est Composite, avec plusieurs Arcades et Colomnes de Jaspe d'Orient, dont les Bases et Chapiteaux sont d'or, aussi-bien que les Modillons et les Fleurs de Lys qui font les ornements des Corniches et des Frises.
Le haut du Temple eſt finy par un Atique, où ſe voit un Buſte de Héros directement au deſſus de chaque milieu des Chapiteaux.	Le haut du Temple est fini par un Atique, où se voit un Buste de Héros directement au dessus de chaque milieu des Chapiteaux.
Les Supoſts des Colomnes ſont des Pieds-d’eſtaux qui repreſentent une partie des Conqueſtes du Roy, & les ſuperbes Baſtimens qui ſe ſont faits ou embellis ſous ſon Regne.	Les Supôts des Colomnes sont des Pieds-détaux qui représentent une partie des Conquêtes du Roy, et les superbes Bastiments qui se sont faits ou embellis sous son Règne.
Au deſſus de chaque Pied-d’eſtal, il y a diférentes Figures peintes en ſaillie & iſolées, qui toutes, ainſi que les Buſtes, repreſentent par leurs attributs, ou les Vertus particulieres que poſſede cet Auguſte Monarque, ou les Arts qu’il prend ſoin de faire fleurir.	Au dessus de chaque Pied-d’étal, il y a diférentes Figures peintes en saillie et isolées, qui toutes, ainsi que les Bûtes, représentent par leurs attributs, ou les Vertus particulières que possède cet Auguste Monarque, ou les Arts qu'il prend soin de faire fleurir.
L’effet que font ces Figures eſt d’autant plus beau, que ſe trouvant chacune entre deux Colomnes, elles forment une juſte ſimetrie, qui ne ſçauroit eſtre que tres-agreable à la veuë.	L'effet que font ces Figures est d'autant plus beau, que se trouvant chacune entre deux Colomnes, elles forment une juste symétrie, qui ne saurait être que trèsagréable à la vue.
Vers le milieu du Temple s’éleve une maniere d’Arc Triomphal, ſoûtenu par huit Colomnes d’Ordre Ionique, avec une eſpece d’Atique au deſſus de la Corniche, où le Roy eſt repreſenté.	Vers le milieu du Temple s'élève une manière d'Arc Triomphal, soutenu par huit Colomnes d'Ordre Ionique, avec une espèce d'Atique au dessus de la Corniche, où le Roi est représenté.
La Victoire & la Gloire ſont à ſes coſtez, dont l’une luy preſente une Couronne, & l’autre une branche de Laurrer, Ie tout de marbre blanc.	La Victoire et la Gloire sont à ses côtés, dont l'une lui présente une Couronne, et l'autre une branche de Laurrer, Je tout de marbre blanc.
On voit dans le fonds du Temple un Autel de marbre ſerpentin;	On voit dans le fond de Temple un Autel de marbre serpentin;
Il eſt orne de Colomnes, Figures, Feſtons de fleurs & Trophées d’Armes.	Il est orne de Colomnes, Figures, Festons de fleurs et Trophées d'Armes.
Les yeux ſe ſont à peine arreſtez ſur toutes ces Magnificences, qu’on découvre Mars dans un Char orné de tout ce qui le peut faire connoiſtre pour le Dieu qui préſide aux Combats.	Les yeux se sont à peine arrêtez sur toutes ces Magnificences, qu'on découvre Mars dans un Char né de tout ce qui le peut faire connaître pour le Dieu qui préside aux Combats.
Il paroiſt au plus haut des nuës, & s’abaiſſant vers le Temple, il y voit arriver la Fortune portée ſur un nuage qu’elle quitte au meſme temps que Mars deſcend de ſon Char.	Il paraît au plus haut des nues, et s'abaissant vers le Temple, il y voit arriver la Fortune portée sur un nuage qu'elle quitte au même temps que Mars descend de son Char.
Apres avoir regardé ce Temple avec des marques d’indignation & de ſurpriſe, ils commençent le Prologue enſemble.	Après avoir regardé ce Temple avec des marques d'indignation et de surprise, ils commençent le Prologue ensemble.
SCENE PREMIERE MARS, LA FORTUNE.	SCÈNE PREMIÈRE MARS, LA FORTUNE.
MARS.	MARS.
Uoy?	Uoi?
la Fortune ſans bandeau;	la Fortune sans bandeau;
LA FORTUNE.	LA FORTUNE.
Je viens de l’arracher moy-meſme, Pour voir l’éclat pompeux de ce Temple nouveau.	Je viens de l'arracher moi-même, Pour voir l'éclat pompeux de ce Temple nouveau.
Mais d’où vient qu’à l’aſpect d’un Ouvrage ſi beau, Le Dieu Mars fait paroiſtre une douleur extrême?	Mais d'où vient qu'à l'aspect d'un Ouvrage si beau, Le Dieu Mars fait paraître une douleur extrême?
MARS.	MARS.
Puis-je voir ſans chagrin, qu’un Mortel à mes yeux, Des honneurs qu'on me doit, emporte l’avantage?	Puis-je voir sans chagrin, qu'un Mortel à mes yeux, Des honneurs qu'on me doit, emporte l'avantage?
Ie ſçay bien que LOUIS'eſt un Roy glorieux, En qui mille Vertus, par un noble aſſemblage, Ofrent à réverer le plus parfait Ouvrage Qui jamais ait marqué la puiſſance des Dieux;	Je sais bien que LOUIS'est un Roi glorieux, En qui mille Vertus, par un noble assemblage, Ofrent à révérer le plus parfait Ouvrage Qui jamais ait marqué la puissance des Dieux;
Mais parce qu’il ſe fait admirer en tous lieux, Ay-je merité qu’on m'outrage?	Mais parce qu'il se fait admirer en tous lieux, Ai-je mérité qu'on m'outrage?
Voyez, ce que ce Temple adjoüte à ſon renom;	Voyez, ce que ce Temple ajoute à son renom;
Voyez ſur cent Tableaux avec quel ſoin la Gloirs A tracé la brillante Hiſtoire Des merveilleux Exploits qui conſacrent ſon NomC’eſt la que les plus grands Courages, D’un zele tout ſoumis écoutant la chaleur, Viennent par d’aſſidus hommages Honorer la Prudence unie à la Valeur.	Voyez sur cent Tableaux avec quel soin la Gloirs A tracé la brillante Histoire Des merveilleux Exploits qui consacrent son NomC'est la que les plus grands Courages, D'un zèle tout soumis écoutant la chaleur, Viennent par d'assidus hommages Honorer la Prudence unie à la Valeur.
Cependant mes Autels, où par toute la Terre L'Encens ſe prodiguoit pour les moindres hazards, Sont negligez de toutes parts, On regarde LOUIS comme Dieu de la Guerre, Et l’on ne ſonge plus à Mars.	Cependant mes Autels, où par toute la Terre L'Encens se prodiguait pour les moindres hasards, Sont négligez de toutes parts, On regarde LOUIS comme Dieu de la Guerre, Et l'on ne songe plus à Mars.
D’un ſi honteux mépris c’eſt trop ſoufrir l’audace.	D'un si honteux mépris c'est trop souffrir l'audace.
I’en puniray l’injure, & ce Temple détruit, Va dans le Monde entier étaler à grand bruit e que peut un Dieu qui menace.	J'en punirai l'injure, et ce Temple détruit, Va dans le Monde entier étaler à grand bruit e que peut un Dieu qui menace.
LA FORTUNE.	LA FORTUNE.
Si LOUIS des Mortels vous dêrobe les vœux, N’ay-je pas meſme plainte à faire?	Si LOUIS des Mortels vous dêrobe les vœux, N'ai-je pas même plainte à faire?
Tout le monde à l’envy, pour devenir heureux, N’aſpiroit toûjours qu'à me plaire:	Tout le monde à l'envi, pour devenir heureux, N'aspirait toujours qu'à me plaire:
Mais depuis que la Gloire a par tout l’Univers, De cet Auguſte Roy fait briller le mérite, Pour le ſuivre chacun me quitte, Et je voy mes Temples deſerts.	Mais depuis que la Gloire a par tout l'Univers, De cet Auguste Roi fait briller le mérite, Pour le suivre chacun me quitte, Et je vois mes Temples déserts.
Cette Cette foule qui plaiſt, quand meſme elle importune, Dédaignant mes faveurs, brigue ſon ſeul Appuy, Il me ravit mes droits, & ce n'eſt plus qu’en luy Qu'on ſonge à chercher la Fortune.	Cette Cette foule qui plaît, quand même elle importune, Dédaignant mes faveurs, brigue son seul Apui, Il me ravit mes droits, et ce n'est plus qu'en lui Qu'on songe à chercher la Fortune.
Iugez à me voir ſans honneurs, Iuſqu'ou va l’ennuy qui me preſſe;	Jugez à me voir sans honneurs, Jusqu'ou va l'ennui qui me presse;
Car c’eſt en vain que le nom de Déeſſe Me fait attendre encor quelques Adorateurs.	Car c'est en vain que le nom de Déesse Me fait attendre encor quelques Adorateurs.
De quelque rãg qu'on ſoit, les biẽs ſeuls qu'on diſpenſe Nous attirent ces vœux preſſans Dont nous aimons la déference;	De quelque rang qu'on soit, les biens seuls qu'on dispense Nous attirent ces vœux pressants Dont nous aimons la déférence;
Et les Dieux qui ſont ſans puiſſance, Ne recoroent guere a encena.	Et les Dieux qui sont sans puissance, Ne récoroent guère à encena.
MARS.	MARS.
Ie voy venir l’Amour, qu’aura-t-il à nous dire?	Je vois venir l'Amour, qu'aura-t-il à nous dire?
LA FORTUNE.	LA FORTUNE.
La Renommée arrive auſſy;	La Renommée arrive aussi;
Mais lors que ſon employ de tous coſtez l’attire, D’où vient qu'elle s’arreſte icy?	Mais lors que son emploi de tous côtés l'attire, D'où vient qu'elle s'arrête ici?
L’Amour & la Renommée paroiſſent portez chacun ſur un ivuage.	L'Amour et la Renommée paraissent portez chacun sur un juage.
SCENE II.	SCÈNE II.
MARS, LA FORTUNE, LA RENOMMEE, L’AMOUR.	MARS, LA FORTUNE, LA RENOMMÉE, L'AMOUR.
LA RENOMMEE.	LA RENOMME.
En ſoyez point ſurpris;	En soyez point surpris;
le pénible voyage Où juſqu’au bout de l’Vnivers, Pourvanter ſes Uertus chez cent Peuples divers, Le Monarque des Lys de jour en jour m’engage, M’a déja tant de fois fait traverſer les airs, Qu’il faut qu'en m'arreſtant enfin je me ſoulage.	le pénible voyage Où jusqu'au bout de l'Univers, Pourvanter ses Uertus chez cent Peuples divers, Le Monarque des Lys de jour en jour m'engage, M'a déjà tant de fois fait traverser les airs, Qu'il faut qu'en m'arrêtant enfin je me soulage.
Dans les Siecles paſſez, j’ay bien veu des Héros, Aléxandre & Céſar m'ont donné de la peine, Mais au moins dãs leur courſe ils reprenoient haleine, Et me laiſſoient quelque repos.	Dans les Siècles passez, j'ai bien vu des Héros, Alexandre et César m'ont donné de la peine, Mais au moins dans leur course ils reprenaient haleine, Et me laissaient quelque repos.
LOUIS n’en connoiſt point;	LOUIS n'en connaît point;
ſon ame toûjours preſte A chercher les périls dans de nouveaux Combats, A peine a médité la plus haute Conqueſte, Que la Victoire accompagne ſes pas.	son âme toujours prête A chercher les périls dans de nouveaux Combats, À peine a médité la plus haute Conquête, Que la Victoire accompagne ses pas.
Chaque inſtant de ſa vie eſt un nouveau miracle.	Chaque instant de sa vie est un nouveau miracle.
Vingt Princes dont il fut l’appuy, Arment vainement contre luy;	Vingt Princes dont il fut l'appui, Arment vainement contre tu;
A ce qu’il entreprend rien ne peut mettre obſtacle;	À ce qu'il entreprend rien ne peut mettre obstacle;
Et ces jaloux de ſa grandeur, Forcez par tout à céder la Victoire, Ne combatent jamais que pour lu y faire honneur, Et donner du luſtre à ſa gloire.	Et ces jaloux de sa grandeur, Forcez par tout à céder la Victoire, Ne combattent jamais que pour lu y faire honneur, Et donner du lustre à sa gloire.
Ainſy pour m’acquiter de ce que je lu y dois, ’ay beau preſſer mon vol, & me haſter de dire Ce qu’avec moy tout l’Vnivers admire, Mes cent bouches pour luy s’ouvrent tout à la fois, Et je n'y puis encore ſuffire.	Ainsy pour acquiter de ce que je lu y dois, ay beau presser mon vol, et me hâter de dire Ce avec moi tout Vnivers admire, Mes cent Ainsi pour m' acouvrent ter de ce fois,Ue je n'y lu y dois,
MARS.	MARS.
S’il faut ne rien diſſimuler, La plainte me paroiſt nouvelle.	S'il faut ne rien dissimuler, La plainte me paraît nouvelle.
Quoy, vous, qui ſi ſouvent ſur des contes en l’air Redites mille fois la meſme bagatelle, Vous vous fâchez d’avoir trop à parler?	Quoi, vous, qui si souvent sur des contes en l'air Rédites mille fois la même bagatelle, Vous vous fâchez d'avoir trop à parler?
LA RENOMMEE.	LA RENOMME.
Ie prens ſans murmurer tout l’employ qu’on me donne, Mais enfin j’ay peine à ſoufrir D'eſtre forcée à diſcourir Toûjours de la meſme Perſonne.	Je prends sans murmurer tout l'emploi qu'on me donne, Mais enfin j'ai peine à soufrir D'être forcée à discourir Toujours de la même Personne.
Sur chaque nouveauté, comme en tout elle plaiſt, I''aime à dire ce que je penſe;	Sur chaque nouveauté, comme en tout elle plaît, J''aime à dire ce que je pense;
Et ſi je ne prens intéreſt	Et si je ne prends intérêt
B ijj.	B ijà.
Qu'à celebrer le Nom du Grand Roy de la France, Tous les Exploits que les autres feront, Ace compte demeureront Enſevelis dans le ſilence.	Qu'à célébrer le Nom du Grand Roi de la France, Tous les Exploits que les autres feront, Ace compte demeureront Ensevelis dans le silence.
Ie veux bien toutefois ne parler que de luy;	Je veux bien toutefois ne parler que de Seigneur;
Mais ce qui cauſe mon ennu y, C’eſt de voir que quand je publie Toutes ſes grandes Actions, On les prend pour des fictions, Et l’’on m'accuſe de folie.	Mais ce qui cause mon ennu y, C'est de voir que quand je publie Toutes ses grandes Actions, On les prend pour des fictions, Et l'on m'accuse de folie.
Qui pourroit croire auſſi ce qu’on a veu deux fois, Qu'à ſon triomphe une Province entiere Dés la plus foible attaque ait ſervy de matiere, Et ſe ſoit ſoûmiſe à ſes Loix?	Qui pourrait croire aussi ce qu'on a vu deux fois, Qu'à son triomphe une Province entière Dès la plus faible attaque ait servi de matière, Et se soit soumise à ses Lois?
Ie croy le voir encor, toûjours infatigable.	Je crois le voir encor, toujours infatigable.
Courant, volant par tout, ſans jamais s'arreſter, Eſtre Chef & Soldat, réſoudre, exécuter, Et ſeul à ſoy-meſme ſemblable, T Cherche dans le péril tout ce qui peut flater L’ardeur de gloire inſatiable Qui porte les Héros à s'’y précipiter.	Courant, volant par tout, sans jamais s'arrêter, Estre Chef et Soldat, résoudre, exécuter, Et seul à soi-même semblable, T Cherche dans le péril tout ce qui peut flatter L'ardeur de gloire insatiable Qui porte les Héros à s'y précipiter.
Apres avoir forcé de ſuperbes Murailles, Voyez-le dans le meſme temps, Par l’’effroy de ſon Nom, gagner plus de Batailles Qu’on n’en donnoit autrefois en vingt ans.	Après avoir forcé de superbes Murailles, Voyez-le dans le même temps, Par l'effroi de son Nom, gagner plus de Batailles Qu'on n'en donnait autrefois en vingt ans.
Apres cela que puis-je faire?	Après cela que puis-je faire?
Toutess ces grandes veritez Ne ſemblent-elles pas des contes inventez, Et lors que je les dis, m'eſtime-t-on ſincere?	Toutess ces grandes vérités Ne semblent-elles pas des contes inventés, Et lors que je les dis, m'estime-t-on sincère?
L’AMOUR.	L'AMOUR.
Vous en donnez ſi ſouvent à garder, Qu’il eſt bon qu'une fois vous en ſoyez punie;	Vous en donnez si souvent à garder, Qu'il est bon qu'une fois vous en soyez punie;
Mais par LOUIS quand ma gloire eſt ternie, Moy, l’Amour, n’ay-je pas tout ſujet de gronder?	Mais par LOUIS quand ma gloire est ternie, Moi, l'Amour, n'ai-je pas tout sujet de gronder?
Depuis le pouvoir qu'il me vole, Dont il uſe comme du ſien, Je ſuis une vraye Idole Qui ne ſemble bon à rien.	Depuis le pouvoir qu'il me vole, Dont il use comme du sien, Je suis une vraie Idole Qui ne semble bon à rien.
SI TORTONE.	SI TORTONE.
D’où ce chagrin vous peut-il naiſtre, Quand nous voyons que ce Grand Roy, En gagnãt tous les cœurs, chaque jour fait connoiſtre.	D'où ce chagrin vous peut-il naître, Quand nous voyons que ce Grand Roi, En gagnant tous les cœurs, chaque jour fait connaître.
L’AMOUR.	L'AMOUR.
Mais c’eſt parluy qu’il s’en rend maiſtre, Et ce n'eſt pas mon compte à moy, Car enfin je voudrois qu’il me duſt quelque choſe;	Mais c'est parlui qu'il s'en rend maître, Et ce n'est pas mon compte à moi, Car enfin je voudrais qu'il me dût quelque chose;
Mais j’ay beau parm'y tous mes tratts, Pour faire que des cœurs par mon ordre il diſpoſe, En aller choiſir tout exprés:	Mais j'ai beau parm'y tous mes trats, Pour faire que des cœurs par mon ordre il dispose, En aller choisir tout exprès:
D’eux-meſmes à l’’envy, ſans qu'on les ſollicite, Ces Cœurs tout-à-coup enflâmez, Se rendent tous à ſon mérite, Et ſans que je m'en meſle, ils s’en trouvent charmez.	D'eux-mêmes à l'envi, sans qu'on les sollicite, Ces Cœurs tout-à-coup enflamés, Se rendent tous à son mérite, Et sans que je m'en mêle, ils s'en trouvent charmés.
MARS.	MARS.
Et c’eſt à quoy l’Amour prend garde?	Et c'est à quoi l'Amour prend garde?
Pourveu que tout vous ſou ſoumis, Que vos Droits ſoient bien affermis, Qu'importe.	Pourvu que tout vous sou mis, Que vos Droits soient bien affermis, Qu'importe.
L'AMOUR.	L'AMOUR.
Paſſe encor pour ce qui le regarde;	Passe encor pour ce qui le regarde;
Mais ce qui fait tout mon reſſentiment, Et m’eſt une peine cruelle, C’eſt que lors qu’avec une Belle I’ay fait l’union d’un Amant, Et qu'elle en croit les nœuds ſerrez ſi fortement, Que rien ne ſçauroit plus l’arracher d’aupres d’elle, Si LOUIS dans ſa noble ardeur Court où l’appelle ſon grand Cœur, L'Amant, quoy que plein de tendreſſe, Se reproche un honteux repos, Et quitte auſſi-toſt la Maiſtreſſe, Pour ſuivre les pas du Héros.	Mais ce qui fait tout mon ressentiment, Et m'est une peine cruelle, C'est que lors qu'avec une Belle J'ai fait l'union d'un Amant, Et qu'elle en croit les nœuds serrés si fortement, Que rien ne saurait plus l'arracher d'auprès d'elle, Si LOUIS dans sa noble ardeur Court où l'appelle son grand Cœur, L'Amant, quoi que plein de tendresse, Se proche un honteux repos, Et quitte aussitt la Maistresse, Au suivre les pas du Héros.
Elle s’en plaint, elle en ſoüpire, Et par ſa diſgrace fait voir Cajoloneue maneniplre,	Elle s'en plaint, elle en sourpire, Et par sa disgrâce fait voir Cajolonève maneniplre,
LA RENOMMEE.	LA RENOMME.
Que n’uſez-vous alors de tout voſtre pouvoir, Pour rappeller ceux que la Guerre attire?	Que n'usez-vous alors de tout votre pouvoir, Pour rappeler ceux que la Guerre attire?
L’AMOUR.	L'AMOUR.
Il ne tient pas à le vouloir;	Il ne tient pas à le vouloir;
Mais j’ay beau faire, j’ay beau dire, Charmez de voir LOUIS, de marcher ſur ſes pas, Quelque flateur que pour eux je puiſſe eſtre, C’eſt un Enfant qui parle, ils ne m'écoutent pas, Et les Combats Aupres de leur Auguſte Maiſtre, Ont pour eux plus d’appas Que les plus tendres feux qu’en leurs cœurs j’ay fait Ainſy la Guerre eſt un malheur (naiſtre.	Mais j'ai beau faire, j'ai beau dire, Charmés de voir LOUIS, de marcher sur ses pas, Quelque flatteur que pour eux je puisse être, C'est un Enfant qui parle, ils ne m'écoutent pas, Et les Combats Auprès de leur Auguste Maître, Ont pour eux plus d'appas Que les plus tendres feux qu'en leurs cœurs j'ai fait Ainï la Guerre est un malheur (naître.
Qui me rend inutile, & c'eſt dequoy j’enrage;	Qui me rend inutile, et c'est dequoy j'enrage;
Je m’en trouve accablé de honte & de douleur, Et tandis que LOUIS fait briller ſa valeur, Ie jouë un méchant perſonnage.	Je m'en trouve accablé de honte et de douleur, Et tandis que LOUIS fait briller sa valeur, Je joue un méchant personnage.
Mais que vois-je?	Mais que vois-je?
SCENE III.	SCÈNE III.
LA GLOIRE, MARS, LA RENOMMEE, LA FORTUNE, L’AMOUR.	LA GLOIRE, MARS, LA RENOMMÉE, LA FORTUNE, L'AMOUR.
LA GLOIRE.	LA GLOIRE.
A Gloire, à qui le Ciel toûjours Donna les Héros à dé fendre.	À Gloire, à qui le Ciel toujours Donna les Héros à dé fendre.
De ce Temple ou j'ay ſoin chaque jour de me rendre, Je viens d’entendre vos diſcours.	De ce Temple ou j'ai soin chaque jour de me rendre, Je viens d'entendre vos discours.
En vain, Dieu des Guerriers, dont la fiere puiſſance Vous fait redouter des Mortels, Vous prétendez, détruire les Autels Que j’ay fait élever au Héros de la France;	En vain, Dieu des Guerriers, dont la fière puissance Vous fait redouter des Mortels, Vous prétendez, détruire les Autels Que j'ai fait élever au Héros de la France;
Il mérite encor plus, & n'eſt point comme vous Inceſſamment remply d’un aveugle couroux.	Il mérite encor plus, et n'est point comme vous Incessamment rempli d'un aveugle courroux.
Lors qu’il entreprend quelque Guerre, C’eſt pour mieux maintenir de légitimes Droits, Ou pour confondre ceux, qui mépriſant les Rois, Se veulent ériger en Tyrans de la Terre.	Lors qu'il entreprend quelque Guerre, C'est pour mieux maintenir de légitimes Droits, Ou pour confondre ceux, qui méprisant les Rois, Se veulent ériger en Tyrans de la Terre.
Rendez luy donc juſtice, & dans tous ſes Combats Vous-meſme accompagnez, ſes pas;	Rendez Seigneur donc justice, et dans tous ses Combats Vous-même accompagnés, ses pas;
Ainſi de vos fureurs on ne pourra ſe plaindre, Et ſecondant LOUIS, qui par tout ſçait charmer.	Ainsi de vos fureurs on ne pourra se plaindre, Et secondant LOUIS, qui par tout sait charmer.
En meſme temps que vous vous ferez craindre, En meſme temps vous vous ferez aimer.	En même temps que vous vous ferez craindre, En même temps vous vous ferez aimer.
A LA FORTUNE.	À LA FORTUNE.
