CEQ ESTGONTENV AV PRESENT	CEQ ÉTGONTENV AU PRÉSENT
ſans qu’il ſe rende eſclaue	sans qu'il se rende esclave
De fortune aux yeux clos, qui chetiue ne peut Ne rauir l’induſtrie aux hommes qu’elle veut, Ne la donner auſſi:	De fortune aux yeux clos, qui chétive ne peut Ne ravir l'industrie aux hommes qu'elle veut, Ne la donner aussi:
car le bien dont ſe douë Vn eſprit vertueux ne pend point de ſa rouë.	car le bien dont se doue Un esprit vertueux ne pend point de sa roue.
La force, la beauté, de nos corps l’ornement, Les biens, & la grandeur tombent en vn moment, Mais l’eſprit tout diuin dont la vertu procede, Qui va tout poſſedant, & rien ne le poſſede, Qui ſage nous regiſt, comme il eſt immortel, Et ne ſe corromptpoint, ſon ouurage eſt tout tel:	La force, la beauté, de nos corps l'ornement, Les biens, et la grandeur tombent en un moment, Mais l'esprit tout divin dont la vertu procède, Qui va tout possédant, et rien ne le possède, Qui sage nous régît, comme il est immortel, Et ne se corromptpoint, son ouvrage est tout tel:
Les biens dont il ſe pare eternels nous demeurent, Ou ceux de la fortune & vieilliſſent & meurent.	Les biens dont il se pare éternels nous demeurent, Ou ceux de la fortune et vieillissent et meurent.
C’eſt pourquoy ie me deuls de voir tant d’eſtourdis Qui dans leurs ſaletez croupiſſent engourdis, De ſpendans faineants en luxure leur vie, Aux infames plaiſirs laſchement aſſeruie, Qui deuroiẽt cultiuer l’eſprit, qu’ils ont des Cieux, Sans le laiſſer rouiller en leur corps ocieux:	C'est pourquoi votre me deuls de voir tant d'étourdis Qui dans leurs saletés croupissent engourdis, De spendants fainéants en luxure leur vie, Aux infâmes plaisirs lâchement asservie, Qui devraient cultiuer l'esprit, qu'ils ont des Cieux, Sans le laisser rouiller en leur corps ocieux:
Veu que tant de meſtiers, tant de ſciences belles Peuuent ſemer par tout ſes vertus immortelles.	Veu que tant de métiers, tant de sciences belles Peuvent semer par tout ses vertus immortelles.
Car bien que la vertu elle meſme eſt ſon pris, Le vertueux pourtant du deſir eſt eſpris D’acquerir du renom:	Car bien que la vertu elle -même est son pris, Le vertueux pourtant du désir est épris D'acquérir du renom:
& ceſte conuoitiſe Le flatant doucement le force, & le maiſtriſe Ainſi ces bons guerriers, ces Dictareurs Romains, Qui de trauail auoient les ampoules aux mains, Nous l’apprirent iadis, & ceux qui par les ruës Marchoient graues Cõſuls tirez de leurs charrues:	et cette convoitise Le flattant doucement le force, et le maîtrise Ainsi ces bons guerriers, ces Dictareurs Romains, Qui de travail avaient les ampoules aux mains, Nous l'apprirent jadis, et ceux qui par les rues Marchaient graves Culs tirés de leurs charrues:
Celuy qui s’eſtudie aux honneurs purcenif, Entre tant de chemins aduiſé doit tenir Le chemin où nature inclinant le diſpoſe, Car tout homme touſiours n’eſt propre à toute choſe.	Celui qui s'étudie aux honneurs purcénif, Entre tant de chemins avisé doit tenir Le chemin où nature inclinant le dispose, Car tout homme toujours n'est propre à toute chose.
L’vn eſt apte à l'eſtude, & l’autre ne l’eſt pas, L’vn eſt propre à la paix, l’autre aime les combats,	L'un est apprête à l'étude, et l'autre ne l'est pas, L'un est propre à la paix, l'autre aime les combats,
Et tout noirci de poudre au milieu des gens d’armes, S’efforce de gaigner vn beau nom par les armes.	Et tout noirci de poudre au milieu des gens d'armes, S'efforce de gagner un beau nom par les armes.
L’autre plus retiré ne prend ſoucy de rien Que regir ſa famille & meſnager ſon bien.	L'autre plus retiré ne prend souci de rien Que régir sa famille et ménager son bien.
Mais entre tous Eſtats, cet eſtat qui s’applique A gouuerner le maſt de quelque republique, Eſt de plus excellent, que ſans comparaiſon Le corps d’vn grand Royaume eſt plus qu’vne maiſon.	Mais entre tous États, cet état qui s'applique A gouverner le mât de quelque république, Est de plus excellent, que sans comparaison Le corps d'un grand Royaume est plus qu'une maison.
Qui de droicte balance eſgale la Iuſtice, Honore les vertus, & reprime le vice, Magiſtrat equitable, il eſt ſemblable à Dieu, Et Dieu l’a mis icy pour y tenir ſon lieu Comme vous Monſeigneur, dont l’ame eſt penetrée Des celeſtes rayons de la diuine Aſtrée, Qui l’appellez au monde, & qui changez encor Le ferde noſtre ſiecle en vn beau ſiecle d’or.	Qui de droite balance égale la Justice, Honore les vertus, et reprime le vice, Magistrat équitable, il est semblable à Dieu, Et Dieu l'a mis ici pour y tenir son lieu Comme vous Monseigneur, dont l'âme est pénétrée Des célestes rayons de la divine Astrée, Qui l'appelez au monde, et qui changez encor Le ferde notre siècle en un beau siècle d'or.
Toute perſonne n’eſt de tout point aſſortie, L’vn excelle doüé d’vne belle partie En qui l’autre defaut:	Toute personne n'est de tout point assortie, L'un excelle doüé 'une belle partie En qui l'autre défaut:
mais en vous tout cela Qu’ores à ceſtuy-cy.	mais en vous tout cela Qu'ores à celui-cy.
tantoſt à ceſtuy-là La Nature depart d’vne main fauorable S’eſt tout amoncelé, pour vous rendre admirable.	tantôt à celui-là La Nature départ d'une main favorable S'est tout amoncelé, pour vous rendre admirable.
La Iuſtice eſt à vous, qui monſtre comme on doit Au foible & au puiſſant conſeruer le bon droit, Clemence qui premier la diſcorde mutine Du chaos aſſoupitloge en voſtre poitrine, Da eharite qui ſçait ſes voiſins ſoulager, Et la foy qui ne peut trompeuſe ſe changer.	La Justice est à vous, qui montre comme on doit Au faible et au puissant conserver le bon droit, Clémence qui premier la discorde mutine Du chaos assoupitloge en votre poitrine, Da eharite qui sait ses voisins soulager, Et la foi qui ne peut trompeuse se changer.
Les neuf ſçauantes ſœurs, mes Deeſſes, les Muſes Ont dans voſtre cerueau leurs ſciences infuſes.	Les neuf savantes sœurs, mes Déesses, les Muses Ont dans votre cerveau leurs sciences infuses.
Tout ce que les procez vous donnent de loiſir Se paſſe à leurs meſtiers où vous prenez plaiſir,	Tout ce que les procès vous donnent de loisir Se passe à leurs métiers où vous prenez plaisir,
2	2
Et ſi ioignez encor' Balde.	Et si joignez encor Balde.
Accurſe, & Barthole, Aux gaillardes chanſons qu’on ſonne en leur eſchole.	Accurse, et Barthole, Aux gaillardes chansons qu'on son en leur échole.
Et pource noſtre Roy qui meurement à veu Les dons rares du Ciel dont vous eſtes pourueu, Entre tous vous eſleut, & ſur voſtre prudence Repoſa le fardeau des affaires de France.	Et pource notre Roi qui meurement à vu Les dons rares du Ciel dont vous êtes pourvu, Entre tous vous esleut, et sur votre prudence Reposa le fardeau des affaires de France.
Rien ne ſe traicte en Cour, Conſeil, ne Parlement.	Rien ne se traite en Cour, Conseil, ne Parlement.
Que voſtre aduis ne l’ait poiſe premierement.	Que votre avis ne l'ait poise premièrement.
Iamais ſans vous ouvr les Preſidens n’ordonnent, Ainſi que vous voulez leurs oracles ſe donnent, Ils ſont voſtre Pythie, & vous les inſpirez De prononcer l’arreſt comme vous requerez Ou il va de l’Eſtat, ou deuoir Polytique, Et ſiſa Majeſté vous a pour domeſtique.	Jamais sans vous ouvr les Présidents n'ordonnent, Ainsi que vous voulez leurs oracles se donnent, Ils sont votre Pythie, et vous les inspirez De prononcer l'arrêt comme vous requérez Ou il va de l'État, ou devoir Poltique, Et sisa Majesté vous a pour domestique.
Mais peut-eſtre on dira que ie ſuis importun, Pechant mal à propos contre le bien commun, Vous qui comme vn pilier, ſur vos fortes eſpaules Souſtenez fermement la charge de nos Gaules, De vous venir troubler, interrompant le cours Du ſoin que vous auez par ce faſcheux diſcours, Le diſe qui voudra, ie ſçay bien au contraire Que vous eſtes plus vif ou plus y a d’affaire.	Mais peut-être on dira que je suis importun, Péchant mal à propos contre le bien commun, Vous qui comme un pilier, sur vos fortes épaules Soutenez fermement la charge de nos Gaules, De vous venir troubler, interrompant le cours Du soin que vous avez par ce fâcheux discours, Le dise qui voudra, ie sçay bien au contraire Que vous êtes plus vif ou plus y a d'affaire.
Voſtre eſprit ſe nourrit de labeur continu, Ainſi que le poiſſon vid dans ſon flot chenu.	Votre esprit se nourrit de labeur continu, Ainsi que le poisson vit dans son flots chenu.
Comme le Pole on void qui lumineux ſurpaſſe, Haut eſleué ſur nous, les vents d’vn long eſpace, Il entend ſous ſes pieds les tempeſtes gronder, Et la nuë creuée en eaux ſe deſborder, Le ſerain toutesfois de ſon calme thage Ne ſe trouble iamais de pluyes ny d’orage, Voſtre eſprit tout ainſi au trauail attaché Plus grand que ſon trauail n’eſt iamais empeſché, C’eſt ce qui rend ma Muſe effrontement hardie De vous effrir Edipe, qu’humble elle vous dedie.	Comme le Pole on voit qui lumineux surpasse, Haut élevé sur nous, les vents d'un long espace, Il entend sous ses pieds les tempêtes gronder, Et la nue creuée en eaux se déborder, Le serain toutefois de son calme thage Ne se trouble jamais de pluies ni d'orage, Votre esprit tout ainsi au trauail attaché Plus grand que son trauail n'est jamais empêché, C'est ce qui rend ma Muse effrontément hardie De vous effrir Edipe, qu'humble elle vous dédie.
Receuez le Monſieur, iadis quand il erroit Ne trouuant en quellieu l’on l’enſeneliroit, A utemple de Cerés inhumé par meſgarde, Elle le daigna bien receuoir en ſa garde:	Recevez le Monsieur, jadis quand il errait Ne trouvant en quellieu l'on l'ensenélirait, A utemple de Cerrez inhumé par mégarde, Elle le daigna bien recevoir en sa garde:
Ne le deſdaignez point, & rec euez fauteur L’ouurage en bonne part, & le cœur de l’Autheur.	Ne le dédaignez point, et rec évez fauteur L'ouvrage en bonne part, et le cœur de l'Auteur.
Le preſent eſt petit, mais celuy qui le donne, Vous donnant ce qu’il peut, à la volonté bonne.	Le présent est petit, mais celui qui le donne, Vous donnant ce qu'il peut, à la volonté bonne.
Imitez les grands Dieux, à qui tous les mortels Nenſaignent pas touſiours de cẽt bœufs les autels, Mais bien ſouuent au lieu d’vne iuſte hecatombe A leurs pieds vn aigneau en ſacrifice tombe, Leur bonté toutesfois ne met point à meſpris Preſenté de bon cœur, ce don de petit pris.	Imitez les grands Dieux, à qui tous les mortels Nensaignent pas toujours de cent bœufs les autels, Mais bien souvent au lieu d'une juste hécatombe À leurs pieds un aigneau en sacrifice tombe, Leur bonté toutefois ne met point à mépris Presenté de bon cœur, ce don de petit pris.
Ie ſeray trop content ſi d’vn ioyeux viſage, Et d’vnfront deſridé vous liſez mon ouurage.	Je serai trop content si d'Hommes joyeux visage, Et d'unfront déridé vous lisez mon ouvrage.
Voyla le ſeul loyer que i’en ay ſouhaitté, Car ie n’ay point eſcrit pour la poſterité.	Voilà le seul loyer que j'en ai souhaité, Car tu n'ai point écrit pour la postérité.
Trop foibles ſont mes vers:	Trop faibles sont mes vers:
pour vaincre les années Ilſe faut equiper d’aiſſes mieux empennées.	pour vaincre les années Ilse faut équiper d'aisses mieux empennées.
Mais ſoit ou que le temps les eſtouffe en naiſſant, Ou qu’ils viuent apres d’âge en âge paſſant, On lira ſur leur front voſtre nom que i’honore, Et mon obeiſſance à vous ſeruir encore.	Mais soit ou que le temps les étouffe en naissant, Ou qu'ils vivent après d'âge en âge passant, On lira sur leur front votre nom que j'honore, Et mon obéissance à vous servir encore.
SVR LES OEVVRES DE MONSIEVR PREVOST.	SUR LES OEUVRES DE MONSIEUR PRÉVÔT.
Pollon voulant à la voix Des Graces accorder ſa lyre, Vierges, dit-il, faictes le choix De la chanſon qu’il nous faut dire.	Pollon voulant à la voix Des Grâces accorder sa lyre, Vierges, dit-il, faites le choix De la chanson qu'il nous faut dire.
Des Graces chacune eut à part Son aduis;	Des Grâces chacune eut à part Son avis;
l’vne de Pindare, L’autre d’Horace, & de Ronſard, La tierce à chanter ſe prepare.	l'une de Pindare, L'autre d'Horace, et de Ronsard, La tierce à chanter se prépare.
Apollon voyant ce diſcord Print de Preuoſt en main le liure Et leur dist, vous estes d’accord, Si vouleZ mon conſeil enſuiure.	Apollon voyant ce discord Prît de Preuôt en main le livre Et leur dît, vous êtes d'accord, Si voulez mon conseil ensuivre.
ChanteZ de ce poëte les vers, L Is ont de Pyndare & d’Horace (Des roZes de Ronſard couuers) La docte façon & la gloire.	Chantez de ce poète les vers, LAns ont de Pyndare et d'Horace (Des rozes de Ronsard couvert) La docte façon et la gloire.
et le grau	et le grau
F.	F.
Gaultier, Docteur.	Gaultier, Docteur.
an Mmahs a luu ala	an Mmahs a lu ala
STANCES.	STANCES.
Es Grecs ont creu pouſſer leur malheureux Edite Dans le centre parfait de l’admiration, Mais Preuoſt, à longs-traicts beuuant l’onde Aganipe L’a reduit iuſqu’au point de ſa perfection Ce genereux harpeur qui ſur les bords de Mince Tira ſi hautement ſes accords Deliens, Et des forts Rutulois feit combatre le Prince Contre le Duc fameux du reſte des Troyens.	Es Grecs ont cru pousser leur malheureux Édite Dans le centre parfait de l'admiration, Mais Prévôt, à longs-traits bevant l'onde Aganipe L'a réduit jusqu'au point de sa perfection Ce généreux harpeur qui sur les bords de Mince Tira si hautement ses accords Déliens, Et des forts Rutulois feyt combattre le Prince Contre le Duc fameux du reste des Troyens.
Ne ſçauroit obſcurcir les eſelats de ta gloire, Mon Preuoſt, dont les chants ſont plus doux que le mis En ſa langue il dora les perrons de Memoire, En la tienne tu luis comme vn flambeau du Ciel.	Ne saurait obscurcir les eselats de ta gloire, Mon Prévôt, dont les chants sont plus doux que le mis En sa langue il dora les perrons de Mémoire, En la tienne tu luis comme un flambeau du Ciel.
Tout ce que les Latins ont acquis d’eloquence, Ces fleurs que dans l’Atique on a veu s’eſpanir;	Tout ce que les Latins ont acquis d'éloquence, Ces fleurs que dans l'Atique on a vu s'espanir;
Vont eſmaillant ton vers qui porte par la France Sa verdeur qui iamais ne ſe pourra fanir.	Vont émaillant ton vers qui porte par la France Sa verdeur qui jamais ne se pourra fanir.
Car ſoit que ton beau luth ſur ſa corde puiſſante Rediſe les excés d’vn Hercul-furieux, Euripide & Sophocle à ta voix rauiſſante, Vainqus en leur meſtier, ſenblent fermer leurs yeux.	Car soit que ton beau luth sur sa corde puissante Redise les excès d'être Hercul-furieux, Euripide et Sophocle à ta voix ravissante, Vainqus en leur métier, senblent fermer leurs yeux.
Ou ſoit qu’adouciſſant ta fureur tres-feconde Tu chantes ta Clotilde, ou ton Henry le grand;	Ou soit qu'adoucissant ta fureur très-féconde Tu chantes ta Clotilde, ou ton Henri le grand;
Tu monſtres que Garnier n’eſt pas vnique au monde, Mais qu’eſgalle vertu ſur Parnaſſe vous rend.	Tu monstres que Garnier n'est pas unique au monde, Mais qu'égale vertu sur Parnasse vous rend.
Si bien qu’en contemplant ces vertus excellantes Il me ſemble eſtre au Ciel dans l’immortel ſe-jour.	Si bien qu'en contemplant ces vertus excellantes Il me semble avoir au Ciel dans l'immortel se-jour.
Car ie les voy cent fois plus clairement brillantes Que le Roy des flambeaux qui nous donne le iour.	Car ie les vo cent fois plus clairement brillantes Que le Roi des flambeaux qui nous donne le jour.
Que ne puis-je autrement celebrer ton ouurage, Bel eſprit, de nos iours la perle & l’ornement?	Que ne puis-je autrement célébrer ton ouvrage, Bel esprit, de nos jours la perle et l'ornement?
Mon deſir eſt ardant, & plus prompt mon courage, Mais le pouuoir eſt foible en ſi haut argument.	Mon désir est ardant, et plus prompt mon courage, Mais le pouvoir est faible en si haut argument.
Toutesfois prends en gré ce peu que ie te Liure, Pluſtoſt m’euſt delaiſſé Phœbus large d’honneur, Car, peutque tu mus faiet Parram de ton veau liure, Ie ſerois trop ingrat d’en taire le bon-heur.	Toutefois prends en gré ce peu que sans te Livre, Plutôt m'eût délaissé Phœbus large d'honneur, Car, peutque tu mus fayet Parram de ton veau livre, Je serais trop ingrat d'en taire le bonheur.
DERRIER DE TA BROVSSE.	DERRIER DE -TA BROUSSE.
I.	I.
PRÆVOTIO.	PRÆVOTIO.
I.	I.
CALIDVS.	CALIVDS.
Os cantare pares primis fueramus in annis, N Idem animis ambo cætera lane pares Sed tua iam ante meas virtus caput extulit artes;	Os cantare pares primis fueramus in annis, N Idem animis ambo cætera lane pares Sed tua jam ante meas virtus caput extulit artes;
Tu prior, & duplici nomine major uois:	Tu prior, et duplici nomine major uois:
Aum potes de feous parſtermunque vacare, Et canere in medio principe digna foro.	Aum potes de feous parstermunque vacare, Et canère in médio principe digna foro.
Non equidem inuideo ſed nomine lætus amici Hæc dixi mea ſunt, alter amieus ego.	Non équidé invideo zed nomine lætus amici Hæc dixi a sunt, alter amieus ego.
IN LI BRVM D.	IN LI BRUM D.
PREVOST EPIGRA.	PRÉVÔT EPIGRA.
y Indice furtorũ veniente vbi crimina regnãt, V Et fugit, autſe abdit, qui reus eſſe putat.	y Indice furtormé veniente vit crimina régnant, V Et fugit, autse abdit, qui reus se putat.
Sie vos ô fugite, aut nigras ſeruate letebras, Chartæ infœlices:	Sie vos ô fugite, aut nigras servate letébras, Chartæ infœlices:
vadite, captor adeſt.	vadite, captor adêt.
P.	P.
HEVIN	HÉVIN
EAtralet du priullege du Roy.	ÉTralet du privilège du Roi.
DAr grace & priuilege du Roy, il est permis à Iulian I Thoreau Maiſtre Imprimeur en l'Vniuerſité de Poictiers, d’Imprimer ou faire Imprimer vn Liure intitulé Les Tragedies & autres œuures poëtiques de lean Preuoſt Aduocat en la baſſe Marche, & ce iuſque, au terme de huict ans finis & accomplis:	DAr grâce et privilège du Roi, il est permis à Julian I Thoreau Maître Imprimeur en l'Université de Poictiers, d'Imprimer ou faire Imprimer un Livre intitulé Les Tragédies et autres œuvres poétiques de léan Preuost Aduocat en la basse Mar, et ce que, au terme de huit ans finis et accomplis:
pendant lequel temps deffences ſont faictes à tous imprimeurs, Libraires & autres de non les Imprimer ou faire Imprimer, ſus peine de cinq cens liures d’amende & confiſcation des exemplaires, commo mije puusampament declaré en l’original de ce preſent priuilege.	pendant lequel temps défenses sont faites à tous imprimeurs, Libraires et autres de non les Imprimer ou faire Imprimer, sus peine de cinq cents livres d'amende et confiscation des exemplaires, commo mije puusampament déclaré en l'original de ce présent privilège.
Donné à Paris le 18.	Donné à Paris le 18.
iour de Decembre, l’an de grace 1617.	jour de Décembre, l'an de grâce 1617.
Par le Roy en ſon Conſeil, signé RINOVARD.	Par le Roi en son Conseil, signé RINOUARD.
EDIPE.	EDIPE.
ARROSEID.	ARROSEID.
ARGVMENT.	ARGUMENT.
A ville de Thebes en Beocie, trauaillée d'vne Llongue & incurable peſte, enuoye vers l’oracle d’Appollon en Delphes s’enquerir de la cauſe & remede de ce mal, qui reſpond que pour en eſtre deliurée il faut expier la mort du Roy raye, meurtry en vne rencontre ſur le chemin de la Phocide.	À ville de Thebes en Béocie, travaillée d'une Llongue et incurable peste, envoie vers l'oracle d'Apollon en Délphes s'enquérir de la cause et remède de ce mal, qui répond que pour en être délivrée il faut expier la mort du Roi raie, meurtri en une rencontre sur le chemin de la Phode.
On fait vn ſacrifice ou les inteſtins des beſtes immolées ſe treuuent pleins de ſiniſtres preſages, & s’accorpent à l’oracle.	On fait un sacrifice ou les intestins des bêtes immolées se trouvent pleins de sinistres presages, et s'accorpent à l'oracle.
Mais on demeure en peine du nom du meurdrier, pour lequel apprendre on euoque des Enfers l’ame de Laye, qui declare que c’eſt ſon fils, & d’Iocaſte ſa femme mariée auec ſa mere, ceſte verité certifiée par l’indice d’vn Ambaſſadeur Corinthien venu pour offrirle Royaume de Polybe leur Roy decedé, à Edipe ſon fils putatif, & confirmée par vn berger, qui l’auoit autres fois expoſé à la mort ſur le mont de Citheron, pour deſtourner les mauuaiſes propheties qui ſe chantoyent de luy.	Mais on demeure en peine du nom du meurdrier, pour lequel apprendre on eut des Enfers l'âme de Laye, qui déclare que c'est son fils, et d'Iocaste sa femme mariée avec sa mère, cette vérité certifiée par l'indice qui se Ambassadeur Corinthien venu pour offrirle Royaume de Polybe leur Roi décédé, à Édipe son fils putatif, et confirmée par un berger, qui l'avait autres fois exposé à la mort sur le mont de Cithéron, pour détourner les mauvaises prophéties qui se chantoyent de lui.
Il ſe creue les yeux de deſpit, & locaſte luy arrachant l’eſpée du coſté s’en occit de ſa propre main.	Il se crève les yeux de dépit, et locaste était arrachant l'épée du côté s'en occit de sa propre main.
Les Acteurs.	Les Acteurs.
ACTE I.	ACTE I.
EDTPE.	EDTPE.
IOCASTE.	JOCASTE.
Mde de Es-ja la nuict obſcure enfermant ſes tenebres Deſcouure au iour naiſſaont les eſclandres funebres, Que la peſte meurtriere & le Ciel irrité Ont fait ſur tes enfans, lamentable cite.	Mde de Es-jà la nuit obscure enfermant ses ténèbres Découvre au jour naissaont les esclandres funèbres, Que la peste meurtrière et le Ciel irrité Ont fait sur tes enfants, lamentable cite.
A peine le Soleil ouurant l’horreur des ombres Souz vn nuage eſpais regarde tes encombres;	À peine le Soleil ouvrant l'horreur des ombres Souz un nuage épais regarde tes encombres;
Sa face bleſmiſſante a pitie de te voir Veufue des citoyens que tu ſoulois auoir:	Sa face blêmissante a pitié de te voir Veuve des citoyens que tu soûlais avoir:
La mort les a tranſis, Thebes, & tes ſept portes Ne s’ouurent point aſſés pour leurs charongnes mortes.	La mort les a transis, Thebes, et tes sept portes Ne s'ouvrent point assez pour leurs charongnes mortes.
Puis on ſouhaitte encor vn bien qui nous deçoit, En qui ſous beau ſemblant tant de mal ſe conçoit:	Puis on souhaite encor un bien qui nous deçoit, En qui sous beau semblant tant de mal se conçoit:
O royal ornement, quiconque a ſon attente Sur tes freſles grandeurs, où Fortune inconſtante Exerce ſon pouuoir, doit craindre, que braué Il ne tombe außi bus qu’il eſt haut eſleué.	Ô royal ornement, quiconque à son attente Sur tes frêles grandeurs, où Fortune inconstante Exerce son pouvoir, doit craindre, que bravé Il ne tombe aussi bus quil est haut élevé.
Ainſi que les rochers dont les teſtes cornuës Dreſſent le front hardy iuſqu’au deſſus des nuës;	Ainsi que les rochers dont les têtes cornues Dressent le front hardi jusqu'au des des nues;
Plus ils s’eſleuent hauts, plus ſont batus ſouuent Que les humbles valons, du tonnerre & du vent.	Plus ils s'esleuent hauts, plus sont battus souvent Que les humbles valons, du tonnerre et du vent.
Il eſt ainſi des Rois;	Il est ainsi des Rois;
car l'aueugle Fortune	car l'aveugle Fortune
Tantoſt leur eſt riante, & tantoſt importune.	Tantôt leur est riante, et tantôt importune.
Ha!	Ha!
quel heur m’eſclairoit, apres auoir quitté Le ſceptre de Polybe, à qui i’euſſe herité, Si deuuidant mes iours en l’exil volontaire Où libre de ſoucy ie viuoy ſolitaire, Sans craindre ceſte folle, & ſes tours incertains, Ne m’euſſent au Royaisme appellé mes deſtins:	quel heur m'esclairoit, après avoir quitté Le sceptre de Polye, à qui j'eusse hérité, Si dévidant mes jours en l'exil volontaire Où libre de soucy ie vivez solitaire, Sans craindre cette folle, et ses tours incertains, Ne m'eussent au Royaisme appelé mes destins:
Lors que moins i’y penſoy, ô Ciel ie t’en atteſte, Et t’en atteſte außi ſaincte trouppe celeſte:	Lors que moins j'y pensais, ô Ciel te t'en atteste, Et t'en atteste aussi sainte troupe celeste:
I’aucy fuy la couronne, & l’erreur m’amena Aux terres d’Agenor où l’on me couronna.	J'auci fuis la couronne, et l'erreur m'amena Aux terres d'Agénor où l'on me couronna.
Mais pauure Prince, helas!	Mais pauvre Prince, hélas!
ainſi que ie lamente Pour le malheur public, vn autre me tourmente:	ainsi que ici lamente Pour le malheur public, un autre me tourmente:
Car le Ciel me preſage vn deſaſtre maudit, Le prophete laurier d’Appollon me le dit, Que de ma propre main ma parricide eſpée Dans le ſang de mon Pere vn iour ſera trempée:	Car le Ciel me présage un désastre maudit, Le prophète laurier d'Apollon me le dit, Que de ma propre main ma parricide épée Dans le sang de mon Père un jour sera trempée:
Et me predit encor ſon oracle vn peché Deteſtable entre tous dont ie ſeray taché, Ioc.	Et me prédit encor son oracle un péché Detestable entre tous dont tu serai taché, Ioc.
Quel crime plus enorme, Edipe, pent on faire, Que de ſouiller ſes mains du meurtre de ſon pere?	Quel crime plus énorme, Édipe, pent on faire, Que de souiller ses mains du meurtre de son père?
Edi.	Édi.
Pieté miſerable!	Piété misérable!
& la honte, & l’horreur, Or me teignant la face, or me glaçant le cœur, M’empeſchent de conter la dure deſtinée Qui de longs temps m’ourdit vn brutal Hymenée, Vne torche execrable, vn brandon luctueux Qui doit ioindre la mere au fils inceſtueux.	et la honte, et l'horreur, Or me teignant la face, or me glaçant le cœur, M'empêchent de conter la dure destinée Qui de longs temps m'ourdit un brutal Hyménée, torche exécrable, un brandon luctueux Qui doit joindre la mère au fils incestueux.
Et c’eſt chere Iocaſte, & c’eſt la ſeule crainte Qui m’arracha des mains le ſceptre de Corinthe:	Et c'est chère Jocaste, et c'est la seule crainte Qui m'arracha des mains le sceptre de Corinthe:
Car ie n’ay point banny, mes Penates quitté, Mais par ce libre exil i’ay mis en ſeureté, Me defiant de moy, le deuoir que Nature Defend de violer à toute creature.	Car ie n'ai point banni, mes Pénates quitté, Mais par ce libre exil j'ai mis en sûreté, Me défiant de moi, le devoir que Nature Défend de violer à toute créature.
Quand vous auez horreur de commettre vn forfait, (Iaçoit que vous penſiez qu’il ne puiſſe eſtre fait)	Quand vous avez horreur de commettre un forfait, (Iaçoit que vous pensiez qu'il ne puisse être fait)
Efaut craindre pourtant, außi te me deffie De tout, & de moy meſme en moy point ne me fie.	Efaut craindre pourtant, aussi te me défie De out, et de moi -même en moi point ne me fie.
Ia des-ja le deſtin ſurma teſte pendant S’apreſte de verſer quelque eſtrange accident.	Ia déjà le destin surma tête pendant S'apprête de verser quelque étrange accident.
Car que doy-ie penſer, que ſur la gent Cadmee Ceſte incurable peſte en nos murs enfermee Saccage ainſi par tout, & ne vient m’empoigner?	Car que dois-je penser, que sur la gent Cadmée Cette incurable peste en nos murs enfermée Saccage ainsi par tout, et ne vient m'empoigner?
