DOMITIE, femme de Domities	DOMITIE, femme de Domities
Quoy, Madame, vous eſtes auſſi double.	Quoi, Madame, vous êtes aussi double.
BERENICE de TITE.	BERENICE de TITE.
Ouy docte Nimphe une imprudente ſans gloire ſans honte, uſurpe mon nom, & pretend être tule Berenice;	Oui docte Nymphe une imprudente sans gloire sans honte, usurpe mon nom, et prétend être tule Berenice;
& mon avanture à cela de cruel, ar deſſuz celle de ce Prince, qu’au moins ſon nom diſtingue de ſon Ennemi il ya quelque difference atre Tite & Titus;	et mon aventure à cela de cruel, ar dessuz celle de ce Prince, qu'au moins son nom distingue de son Ennemi il ya quelque différence âtre Tite et Titus;
mais il n’y en à point entre nom dde mon Ennemie & le mien, elle ſ’appelle lerenice, tout comme moy, ainſi dans cette enlere reſſemblance de nom, j’ay encore plus grand jet que Tite d’apprehender qu’on ne me prenne our une autre, & qu’on ne m’attribue bien des hoſes, qui ne me conviennent pas.	mais il n'y en à point entre nom dde mon Ennemie et le mien, elle s'appelle lérénice, tout comme moi, ainsi dans cette enlère ressemblance de nom, j'ai encore plus grand jet que Tite d'appréhender qu'on ne me prenne our une autre, et qu'on ne m'attribue bien des hoses, qui ne me conviennent pas.
THALIE.	THALIE.
C’en eſt aſſéz pour le preſent, belle Princeſſe ous avéz apparemmẽt plus beſoin de repos que de aſcours;	C'en est assurés pour le présent, belle Princesse ous avés apparemament plus besoin de repos que de ascours;
& pour me ſervir des parolles de ceGaland omme la.	et pour me servir des paroles de ceGalant omme la.
Un Voyage ſy long doit vous avois laßee.	Un Voyage sy long doit vous avais lassée.
Alléz vous donc repoſer, Madame;	Alléz -vous donc reposer, Madame;
afinque jous paroiſſiez tantôt devant Apollon, avec ous vos agrémens;	afinque jous paraissiez tantôt devant Apollon, avec ous vos agrémens;
vous n’ignoréz pas qu’il eſt laturellement Galant, & votre beauté, devant un juge comme luy ne ſauroit nuire à vôtree auſſi bien j’apperçois ma ſœur Melpomene lal de la Tragedie, qui amene icy deux étrang ont bien la mine d’être vos Ennemis.	vous n'ignoréz pas qu'il est laturellement Galant, et votre beauté, devant un juge comme lui ne saurait nuire à votree aussi bien j'aperçois ma sœur Melpomene lal de la Tragédie, qui amène ici deux étrang ont bien la mine d'être vos Ennemis.
ITE.	ITE.
N’en doutéz pas, belle Nimfe, ce ſont mêmes.	N'en doutéz pas, belle Nimfe, ce sont mêmes.
THALIE.	THALIE.
Il n’eſt pas à propos que vous vous voyézte core, & il eſt juſte que vous leur laiſſiez la plice, leur tour;	Il n'est pas à propos que vous vous voyézte core, et il est juste que vous leur laissiez la pliée, leur tour;
allez donc vous delaſſer, belle Reyapour vous, o Tite, ſortéz auſſi;	allez donc vous délasser, belle Reyapour vous, ô Tite, sortéz aussi;
maſs ne ne eloignéz pas, je ſuis bien aiſe de reſter icy qui Titus & ſa Berenice ſeront ſortis, vous rentreitit je vous acheveray ceque j’avois encor à voustt	mass ne ne eloignéz pas, je suis bien aise de rester ici qui Titus et sa Berenice seront sortis, vous rentreit -je vous achèverai ceque j'avais encor à voust
SCENE TROISIEME THALIE, MELPOMENE, TITUS, BERENICE de TITUS.	SCÈNE -TROISIÈME -THALIE, MELPOMENE, TITUS, BERENICE de TITUS.
MELPOMENE.	MELPOMENE.
C’eſt icy genereux Princes, que vous dent eſtre jugez, voila le tribunal d’Apollon, & ce Mis nifique lieu s’appelle le Temple de memoire, llud pas que vous n’en ayez oüy parler, tout cequ paſſe icy dedans demeure eternellement, & ilt n’en peut effacer le ſouvenir voyéz donc combe grande eſt la faveur, que le ſort vous à faute vous ouvrir les voyés pour venir en ce lieu;	C'est ici généreux Princes, que vous dent être jugez, voilà le tribunal d'Apollon, et ce Mis nifique lieu s'appelle le Temple de mémoire, lud pas que vous n'en ayez ouï parler, tout cequ passe ici dedans demeure éternellement, et il n'en peut effacer le souvenir voyéz donc combe grande est la faveur, que le sort vous à faute vous ouvrir les voyez pour venir en ce lieu;
Pe que ſoit vainqueurs, ſoit vaincus la memoiſt vou otre nom y ſera eterniſée, avec celle de votre diferent.	Pe que soit vainqueurs, soit vaincus la mémoist vou tre nom y sera éternisée, avec celle de votre dièrent.
TITUS.	TITUS.
Nous tâcherons ſavante Muſe par notre conduie, & par nos diſcours, de rêpondre à une faveur ſi ignalée, en ne faiſant rien d’indigne de la Veneration, qui eſt déuë à ces lieux ſacrez, je parle pour cete belle Reine, comme pour moy, car je m’aſſeure qu’elle ne me dellvouera pas.	Nous tâcherons savante Muse par notre conduie, et par nos discours, de répondre à une faveur si ignalée, en ne faisant rien d'indigne de la Vénération, qui est déuë à ces lieux sacrés, je parle pour cette belle Reine, comme pour moi, car je m'assure qu'elle ne me déllvouera pas.
BERENICE de TITUS.	BERENICE de TITUS.
Oüi ſans doute, ſavante Nim he, & ſi tous les entimens de Titus m’ont toujours ſervi de Loy, ors mêſme que j’ay eu ſujet de les trouver les lus injuſtes, il n’y a pas apparence que je le deſaouë quand il m’en attribue d’auſſy raiſonnables que ceux là.	Oui sans doute, savante Nim hé, et si tous les entiments de Titus m'ont toujours servi de Loi, ors même que j'ai eu sujet de les trouver les lus injustes, il n'y a pas apparence que je le désaoue quand il m'en attribue d'aussi raisonnables que ceux -là.
THALIE.	THALIE.
I'ay bien de la joye, illuſtres Amans, de vous evoir dans un ſi bon accord, & tous ceux, que otre ſeparation avoit ſi fort affligéz, Juſques à les lire fondre en Larmes, ſeront bien conſolez, uand ils ſauront votre bonne intelligence prelen:	J'ai bien de la joie, illustres Amants, de vous évoir dans un si bon accord, et tous ceux, que outre séparation avait si fort affligés, Jusques à les lire fondre en Larmes, seront bien consolez, and ils sauront votre bonne intelligence prêlen:
vous vous étiéz pourtant ſeparéz avec aſſéz de eremonie, & votre à dieu avoit éſté aſſéz long, our tenir plus longtems, & pour ne vous pas reuIr ſi toſt.	vous vous étiez pourtant séparés avec assés de eremonie, et votre à dieu avait été asséz long, our tenir plus longtemps, et pour ne vous pas revIr si tôt.
BERENICE de TITUS.	BERENICE de TITUS.
Si les perils communs ont toujours reunis les plus rands, Ennemis, peut on trouver étrange aimable huſe que le danger qui nous menace l’un& l’autre & l’injure qui nous eſt faite à tous deux par les imoſteurs, qui uſu pent nos noms, étant auſſi grande qu'elle eſt, nous nous ſoyons réünis pour ear taiſon.	Si les périls communs ont toujours réunis les plus rands, Ennemis, peut -on trouver étrange aimable huse que le danger qui nous menace l'unet eautre et l'injure qui nous est faite à tous deux par les imosteurs, qui usu pent nos noms, étant aussi grande qu'elle est, nous nous soyons réunis pour épar taison.
MELPOMENE.	MELPOMENE.
En effet, ma ſœur n’a pas raiſon de vouſ cette raillerie, mais il ne faut pas que cela vousfraye:	En effet, ma sœur n'a pas raison de vous cette raillerie, mais il ne faut pas que cela vousfraie:
ear, outre que tout céqu’elle dit n’eſt leſouvent que pour rire, élle eſt obligée de défe vos Ennemis ayant ordre d'Apollon de les pie ger, comme il m’a chargée de vous conduire	épar, outre que tout céqu'elle dit n'est lesouvent que pour rire, élle est obligée de défe vos Ennemis ayant ordre d'Apollon de les pie ger, comme il m'a chargée de vous conduire
TITUS à THALIE.	TITUS à THALIE.
Aimable Muſe, vous auréz grand beſoin dets vos agréemens pour défendre Tite & ſa Bert ce, fi vous l’entreprenez:	Aimable Muse, vous auréz grand besoin déts vos agréments pour défendre Tite et sa Bert ce, fi vous l'entreprenez:
car pour des ni ſérieuſes, ſolides, & regulieres, quelque ingent que vous ſoyéz vous auréz bien dela peine a eatit ver en leur faveur, ſur tout avant que deluſparler, bandéz bien votre Eſprit, & augmenre s’il ſepeut, ſa penetration ordinaire:	car pour des ni sérieuses, solides, et régulières, quelque ingent que vous soyez vous auriez bien déla peine à eatit ver en leur faveur, sur tout avant que délusparler, banderez bien votre Esprit, et augmenre s'il séput, sa pénétration ordinaire:
eat, tuDeeſſe que vous eſtes, vous aurez bien deli pe i les entendre, & l’Edippe de la fable nemqruet plus degloire que vous, ſi vous ſavéz déchit leur jargon, & afinque vous ne croyez put je raille comme vous, voicy une êchantillon de ſtile, ſur lequel, pour vous preparer, vous por exercer votre ſagacité car on n’y comprendit que par conjecture;	eat, tuDesse que vous êtes, vous aurez bien déli pe y j' étendre, et l'Édippe de la fable nemqruet plus dégloire que vous, si vous savez déchit leur jargon, et afinque vous ne croyez put je raille comme vous, voici une âchantillon de style, sur lequel, pour vous préparer, vous por exercer votre sagacité car on n'y comprendit que par conjecture;
par exemple, ſavante The dittes de bonne foy ſi vous entendez ce vert, ſt endroit ou Tite ſe compare luy même à unt Endormi, ſurquoy il dit, que.	par exemple, savante The dites de bonne foi si vous entendez ce vert, st endroit ou Tite se compare au même à unt Endormi, surquoi il dit, que.
Son rêveil incertain fait du monde l'êtude.	Son rêveil incertain fait du monde l'étude.
THALIE.	THALIE.
Comment dittes vous ce vers;	Comment dites -vous ce vers;
Titus, redit vous prie.	Titus, redit vous prie.
TITUS.	TITUS.
Mon rè veil incertain fait du monde l’étude, I’Entendez vous à cette heure, dites vray.	Mon rè neil incertain fait du monde l'étude, J'Entendez -vous à cette heure, dites vrai.
THALIE.	THALIE.
Encor moins.	Encor moins.
te prens vôtre Maitreſſe, alléz prene;	te prends votre Maitresse, alléz prene;
la mienne, Epouſez la, mon Frere, & ne m’en parlez plus.	la mienne, Épousez la, mon Frère, et ne m'en parlez plus.
Et cet autre.	Et cet autre.
Car mon cœur fut ſonbien à cette belle Reine.	Car mon cœur fut sonbien à cette belle Reine.
Vous voyéz bien par là qu’il ſait bienſe faire ntendre quand il luy plait, & meſme quelque fois our un jeune Empereur amoureux, il fait de fort elles moralitéz comme par exemple, ſe peut il rien e plus Ediſiant quece deux vers?	Vous voyez bien par là qu'il sait biense faire nendre quand il était plaît, et même quelque fois our un jeune Empereur amoureux, il fait de fort elles moralitéz comme par exemple, se peut il rien e plus Édisiant que deux vers?
Nous mourons tous ſans ceſſe & par un triſte ſort, Cháque inſtant de la vie eſt un pas vers la mort.	Nous mourons tous sans cesse et par un triste sort, ChUque instant de la vie est un pas vers la mort.
Ils ſont pourtant de-luy:	Ils sont pourtant de-lui:
enfin c’eſt un fort joli uçon à tout prendre que vôtre Tite, &, ſi la luſe de la comedie aime autant à rire comme on dit, Elle s’en peut donner au cœur joye.	enfin c'est un fort joli uçon à tout prendre que votre Tite, et, si la luze de la comédie aime autant à rire comme on dit, Elle s'en peut donner au cœur joie.
THALIE.	THALIE.
C’en eſt aſſez Prince;	C'en est assez Prince;
& c’eſt porter laſui un peu loin:	et c'est porter lasui un peu loin:
certes vous entreprenez ſut pa droits avec trop d’hardieſſe en ma preſence;	certes vous entreprenez sut pa droits avec trop d'hardiesse en ma présence;
me ſur tout voila une grande Liberté d’eſprit pours homme auſſi amoureux que vous, & qui vientisfrâichement de ſe faire une violence auſſi doulreuſe que celle de quitter ce qu’il aime.	me sur tout voilà une grande Liberté d'esprit pours homme aussi amoureux que vous, et qui vientisfrâichement de se faire une violence aussi doulèuse que celle de quitter ce qu'il aime.
Je vours voüe, que ſi j’eſtois à la place de cette belle Reine & grand enjoüement me fairoit défier qu’il n’qux eu bien de la fourberie en vôtre fait, & que vôtieſparation d’avec elle ne fuſt, peut-être, dans leſt qu’une ingratitude, & un dêgout deguiſé ſous un apparence de gloire?	Je voit vue, que si j'étais à la place de cette belle Reine et grand enjoüement me fait défier qu'il n'qux eu bien de la fourberie en votre fait, et que vôtiesparation d'avec elle ne fût, peut-être, dans lest qu'une ingratitude, et un dêgout déguisé sous un apparence de gloire?
peut être ne ſerois je pult premiere qui auroit fait ce jugement là, de rout avanture:	peut être ne serais -je pult première qui aurait fait ce jugement -là, de rout aventure:
car enfin on n’eſt point ſi plaiſant qua on eſt bien amoureux;	car enfin on n'est point si plaisant qua on est bien amoureux;
& je gage que vouele renice, tendre comme elle eſt, & qui aime de bine foy.	et je gage que vouèle reniée, tendre comme elle est, et qui aime de bine foi.
MELPOMENE.	MELPOMENE.
C’en eſt auſſi trop à vôtre tour, ma ſœut, ſi n’eſt pas honneſte d’aller reveiller des ſoupçont des differens ſenſibles, vous éſtes auſſi trop mau cuſe, gardéz vous bien defaire de mêſme tantoit vant Apollon:	C'en est aussi trop à votre tour, ma sœut, si n'est pas honnête d'aller réveiller des soupçont des différents sensibles, vous ès aussi trop mau cuse, gardéz -vous bien défaire de même tantait vant Apollon:
car je m’en plaindrois tout de bout c’eſt une inhumanité d’aller ainſi, par des ſouren douloureux, troubler l’Eſprit des gens qui e à parler & à ſe défendre.	car je m'en plaindrais tout de bout c'est une inhumanité d'aller ainsi, par des souren douloureux, troubler l'Esprit des gens qui est à parler et à se défendre.
THALIE.	THALIE.
J’aime fort, Melpomene, à vous voir luit ton ſerieux & pitoyable, comme c’eſt vôtre naint le n’y trouve pas à redire;	J'aime fort, Melpomene, à vous voir luit ton sérieux et pitoyable, comme c'est votre naint le n'y trouve pas à redire;
faittes en de mêſmepe noy, je vous prie & me laiſſez railler & rire tour non ſoul;	faites en de mêsmepe noi, je vous prie et me laissez railler et rire tour non soul;
auſſi bien Apollon ny vous ne viendriez i5 au bout de m'en empêcher.	aussi bien Apollon ici vous ne viendriez j5 au bout de m'en empêcher.
MELPOMENE.	MELPOMENE.
Laiſſons, mes chers Princes, laiſſons cette mêhante qui ne cherche qu’a vous troubler, &, en atndant l’heure de vôtre jugement, venéz avec moy onſiderer les autres raretẽz de ce païs.	Laissons, mes chers Princes, laissons cette mêhante qui ne cherche qu'a vous troubler, et, en atndant l'heure de votre jugement, venez avec moi onsiderer les autres raretion de ce pays.
TITUS.	TITUS.
Auieu denc ramupac.	Avieu den ramupac.
BERENICE de TITE.	BERENICE de TITE.
Adicu ſavante Muſe.	Adicu savante Muse.
THALIE.	THALIE.
Si tous vos adieux avoient êté auſſi courts que celuy la, vous n'aurlezjamas ennuyés perſonne.	Si tous vos adieux avaient êté aussi courts que celui la, vous n'aurlezjamas ennuyez personne.
SCENE QUATRIEME.	SCÈNE QUATRIÈME.
THALIE, TITE.	THALIE, TITE.
THALIE.	THALIE.
