TNETIROL.	TNETIROL.
De bon œil voyeZ mes écris, Et ponppot mu urdeur nouuelle Mon ame aux labeurs entrepris.	De bon œil voyeZ mes écris, Et ponpot mu ouvrdeur nouvelle Mon âme aux labeurs entrepris.
Votre Deïté nous inſpire Vn art à qui tout doit ceder;	Votre Deïté nous inspire Un art à qui tout doit céder;
Ceux qu’il vous plaiſt de regarder Ne font rien que chacun n’admire:	Ceux qu'il vous plaît de regarder Ne font rien que chacun n'admire:
Par vous le ſçauoir eſt donné;	Par vous le savoir est donné;
L’homme eſt d’honneur enuironné Dès que votre flambeau l’éclaire;	L'homme est d'honneur environné Dès que votre flambeau l'éclaire;
Si j’ay quelque choſe de dous, Et ſi dans mes vers je ſçay plaire Toute la gloire en eſt à vous.	Si j'ai quelque chose de dous, Et si dans mes vers je sais plaire Toute la gloire en est à vous.
Priuilege du Roy.	Privilège du Roi.
OVIS PAR LA GRACE DE DIEV ROY DE FRANCE ET DE NAVARRE:	OUÏS PAR LA GRACE DE DIEU ROY DE FRANCE ET DE NAUARRRE:
A nos amez & feaux Conſeillers, les Gens tenans nos Cours de Parlemens, Maiſtres des Requeſtes ordinaires de noſtre Hoſtel, Baillifs, Seneſchaux, Preuoſts, leurs Lieutenans, & tous autres nos Iuſticiers & Officiers qu’il appartiendra, Salut:	À nos âmez et féaux Conseillers, les Gens tenants nos Cours de Parlements, Maîtres des Requêtes ordinaires de notre Hôtel, Baillifs, Sénéchaux, Preuôts, leurs Lieutenants, et tous autres nos Justiciers et Officiers qu'il appartiendra, Salut:
Noſtre bienamé IACQVES DVGAST Imprimeur & Libraire en noſtre bonne ville de Paris, Nous a fait remonſtrer qu’il deſireroit imprimer vn liure intitulé, L’entretien des Illuſtres Bergers, & de la Fidelle Bergere, meſlé de Proſe & de Vers, compoſé par le ſieur FRENICLE noſtre Conſeiller, & General en noſtre Cour des Monnoyes, S’il nous plaiſoit de luy accorder nos Lettres de permiſſion ſur ce neceſſaires, humblement nous requerant icelles:	Notre bienhamé ICQUES DUGAST Imprimeur et Libraire en notre bonne ville de Paris, Nous a fait remonstrer qu'il désirerait imprimer un livre intitulé, L'entretien des Illustres Bergers, et de la Fidèle Bergère, mêlé de Prose et de Vers, composé par le sieur FRENICLE nôtre Conseiller, et Général en notre Cour des Monnoyes, S'il nous plaisait de lui accorder nos Lettres de permission sur ce nécessaires, humblement nous requérant icelles:
A ces cauſes nous auons permis & permettons par ces preſentes à l’expoſant d’imprimer ou faire imprimer, vendre & diſtribuer en tous les lieux de noſtre obeyſſance ledit liure, en telles marges & caracteres, & autant de fois qu’il voudra, durant l’eſpace de cinq ans, à cõpter du iour qu’il ſera acheué d’imprimer pour la premierefois:	À ces causes nous avons permis et permettons par ces présentes à l'exposant d'imprimer ou faire imprimer, vendre et distribuer en tous les lieux de notre obéissance ledit livre, en telles marges et caractères, et autant de fois qu'il voudra, durant l'espace de cinq ans, à compter du jour qu'il sera achevé d'imprimer pour la premièrefois:
Faiſant deffences à toutes perſonnes de quelque qualité & condition qu’elles ſoient de l’imprimer, vẽdre ny diſtribuer en aucun endroit de nos Royaumes, ny d’en diſtraire aucune choſe, ſoit de la Proſe ou des Vers, n’y meſmes d’en prendre le tiltre, ou de le contre-faire en tout ou en partie en quelque maniere, & ſoubs quelque pretexte que ce puiſſe eſtre, ſans le conſentement dudit expoſant, à peine de mil liures d’amende, applicables vn tiers à nous, vn tiers à l’Hoſtel Dieu de Paris, & l’autre tiers au profit d'iceluy expoſant, de confiſcation de tous les exemplaires contrefaits, & de tous deſpens, dommages & intereſts:	Faisant défenses à toutes personnes de quelque qualité et condition qu'elles soient de l'imprimer, vendre ni attribuer en aucun endroit de nos Royaumes, ni d'en distraire aucune chose, soit de la Prose ou des Vers, n'y mêmes d'en prendre le titre, ou de le contrefaire en tout ou en partie en quelque manière, et sous quelque prétexte que ce puisse estre, sans le consentement dudit exposant, à peine de mil livres d'amende, applicables un tiers à nous, un tiers à l'Hôtel Dieu de Paris, et l'autre tiers au profit d'icelui exposant, de confiscation de tous les exemplaires contrefaits, et de tous dépens, dommages et intérêts:
A condition qu’il mettra deux exemplaires dudit Liure en noſtre Bibliotheque publique, auant que de l’expoſer en vente, A faute dequoy nous le declarons d’eſcheu de noſtre preſente grace & permiſſion, de laquelle en ce faiſant, Nous voulons & vous mandons que vous le faſſiez iouyr & vſer plainement & paiſiblement:	À condition qu'il mettra deux exemplaires dudit Livre en notre Bibliotheque publique, avant que de l'exposer en vente, A faute dequoy nous le déclarons d'escheu de notre présente grâce et permission, de laquelle en ce faisant, Nous voulons et vous mandons que vous le fassiez jouïr et vser et et paisiblement:
Faiſant ceſſer tous troubles & empeſchemens, ſi aucuns luy eſtoient donnez.	Faisant cesser tous troubles et empêchements, si aucuns lui était donnés.
Voulons auſſi qu’en mettant au commencement ou à la fin dudit Liure vn extraict des preſentes, elles ſoient tenuës pour deuement ſignifiées, & que foy y ſoit adiouſſée comme à l’original.	Voulons aussi qu'en mettant au commencement ou à la fin dudit Livre un extrait des présentes, elles soient tenues pour dévement signifiées, et que foi y soit adioussée comme à l'original.
MANDONS faire pour l’execution des preſentes tous exploicts neceſſaires, ſans demander autre permiſſion:	MANDONS faire pour l'exécution des présentes tous exploits nécessaires, sans demander autre permission:
CAR tel eſt noſtre plaiſir, Nonobſtant clameur de Haro, chartre Normande, & autres Lettres à ce contraires.	CAR tel est notre plaisir, Nonobstant clameur de Haro, chartre Normande, et autres Lettres à ce contraires.
Donné à Paris le vingt-quatrieſme iour de Nouembre, l’an de grace mil fix cens trenté trois, Et de noſtre regne le vingt-quatrieſme.	Donné à Paris le vingt-quatrième jour de Novembre, l'an de grâce mil six cens trenté trois, Et de nôtre règne le vingt-quatrième.
Par le Roy en ſon Conſeil.	Par le Roi en son Conseil.
CONRART.	CONRART.
Acheué d’imprimer le deuxieſme Ianuier mil ſix cens trente-quatre.	Achevé d'imprimer le deuxième Janvier mil six cents trente-quatre.
Fautes d’Impreßion.	Fautes d'Impression.
ge22.	ge22.
vers 9, peut, liſiz peu.	vers 9, peut, lisiz peu.
Pag.	Pag.
29, ligne 13, l’a liſez, laP Pag.	29, ligne 13, l'a lisez, laP Pag.
162, l.	162, l.
3, Amidor, liſez Amedor.	3, Amidor, lisez Amédor.
Pag.	Pag.
270, vers 1.	270, vers 1.
Paſheur, liſex Peſcheur.	Pasheur, lisex Pêcheur.
Pag-388, vers 7.	Pag-38, vers 7.
de, liſez par.	de, lisez par.
Pag.	Pag.
429, l.	429, l.
12.	12.
fleuts, uſez fleurs.	fleuts, usez fleurs.
L’ENTRETIEN DES ILEVSTRLS DERGERS.	L'ENTRETIEN DES ILEUSTRLS DERGERS.
LIIRE PRREMIER.	LIIRE PREMIER.
GREABLE jeuneſſe de l’année beau Printemps vous eſtiez de retour, & couronné d’un chapeau de fleurs vous auiez donné à la terre tant de beautez diuerſes qu’il ſembloit que vous l’euſſiez preparée pour y receuoir les Dieux;	GREABLE jeunesse de l'année beau Printemps vous étiez de retour, et couronné d'un chapeau de fleurs vous aviez donné à la terre tant de beautés diverses qu'il semblait que vous l'eussiez préparée pour y recevoir les Dieux;
le Ciel ſe plaiſant à la regarder paroiſſoit tout riant, & la belle Déeſſe qui nous donne les premieres nouuelles du iour, faiſant montre de ſes plus viues couleurs donnoit à connoiſtre tous les matins qu’elle vouloit debatre auecque elle le pris de la beauté;	le Ciel se plaisant à la regarder paraissait tout riant, et la belle Déesse qui nous donne les premières nouvelles du jour, faisant montre de ses plus vives couleurs donnait à connaître tous les matins qu'elle voulait débatre auecque elle le pris de la beauté;
déja la douceur de l’air auoit fait mettre en mer pluſieurs vaiſſeaux, & les hommes plus enclins à rechercher les richeſſes, qu’à les poſſeder, ne craignoient point de s’expoſer à la mercy des ondes pour augméter des tréſors dont toujours l’auarice les empeſche de joüir;	déjà la douceur de l'air avait fait mettre en mer plusieurs vaisseaux, et les hommes plus enclins à rechercher les richesses, qu'à les posséder, ne craignaient point de s'exposer à la merci des ondes pour augmêter des trésors dont toujours l'avarice les empêche de jouir;
le Soleil prenant ſon tour plus haut par le ſigne du Toreau faiſoit croiſtre les jours, & donnoit plus de tẽps à la jeuneſſe de s’entretenir en ſes plaiſirs;	le Soleil prenant son tour plus haut par le signe du Toreau faisait croître les jours, et donnait plus de temps à la jeunesse de s'entretenir en ses plaisirs;
les prez ſembloient rire à ſon leuer, & les claires ondes des ruiſſeaux n’étant plus ſujettes aux debordemans de l’hyuer couloient paiſiblemant entre leurs vertes riues;	les prés semblaient rire à son lever, et les claires ondes des ruisseaux n'étant plus sujettes aux débordemants de l'hiver coulaient paisiblemant entre leurs vertes rives;
L’Amour qui ne ſe laſſe jamais de bleſſer les cœurs remettoit en uſage ſon arc, & ſes fléches;	L'Amour qui ne se lasse jamais de blesser les cœurs remettait en usage son arc, et ses flèches;
l’hirondelle nous reuenoit voir, & les Roſſignols réjoüis des feuilles nouuelles que les arbres auoient repriſes faiſoient oüir nuit, & jour la plaiſante diuerſité de leurs chanſons;	l'hirondelle nous revenait voir, et les Rossignols réjouis des feuilles nouvelles que les arbres avaient reprises faisaient ouïrir nuit, et jour la plaisante diversité de leurs chansons;
Lors qu’Aminte ennuyé du bruit de la ville où les Muſes étoient mépriſées voulut deuenir berger, & attiré par les charmes d’vne ſaiſon ſi belle choiſit le ſejour de la campagne pour viure auecque plus de repos;	Lors qu'Aminte ennuyé du bruit de la ville où les Muses étaient méprisées voulut devenir berger, et attiré par les charmes d'une saison si belle choisit le séjour de la campagne pour vivre avec plus de repos;
ces belles Déeſſes qui ayant pris leur naiſſance de la Memoire font auſſi reuiure toutes choſes par ſon moyen, s’étoient retirées dãs une ſi belle demeure;	ces belles Déesses qui ayant pris leur naissance de la Mémoire font aussi revivre toutes choses par son moyen, s'étaient retirées dans une si belle demeure;
il ne peut s’empeſcher de les y ſuiure;	il ne peut s'empêcher de les y suivre;
la ſolitude de leurs antres luy plaiſt, & l’eſprit animé d’une ſainte ardeur il veut que les foreſts qui auoient eſté long-temps muëttes, & come endormies réſonnent au ſon de ſa Cornemuſe, & de ſes chalumeaux;	la solitude de leurs antres lui avait, et l'esprit animé d'une sainte ardeur il veut que les forêts qui avaient été longtemps mues, et come endormies résonnent au son de sa Cornemuse, et de ses chalumeaux;
il séble que l’âge d’or retourne auecque luy dedans les champs;	il séble que l'âge d'or retourne auecque deux dedans les champs;
l’innocence des paſſetemps s’y renouuelle;	l'innocence des passetemps s'y renouvelle;
les Amours accompagnent le Berger, & les Zephirs auecque leurs fraiſches haleines luy aident à faire ſon voyage:	les Amours accompagnent le Berger, et les Zéphirs avec leurs fraîches haleines était aident à faire son voyage:
il étoit aſſez prés de Sainct Germain;	il était assez près de Saint Germain;
déja l’aſpect de ſon ſuperbe Chaſteau auoit charmé ſes yeux, & ſe mettant à genous pour honnorer la Deïté du lieu, il auoit admiré les diuerſes beautez du païs qui l’enuironne;	déjà l'aspect de son superbe Château avait charmé ses yeux, et se mettant à genous pour honorer la Déiste au lieu, il avait admiré les diverses beautés du pays qui l'environne;
la Seine qui roule ſes paiſibles eaux au bas de cette maiſon Royale, glorieuſe d’un tel voiſinage, & paroiſſant plus belle à la veuë de tat de merueilles, auoit auſſi arreſté le Berger à contempler le riche émail des prairies qui tapiſſent ſes bords, & luy auoit fait éprouuer les rauiſſemans de mille douces penſées, quand d’aſſez loin il apperceut un homme qui peſchoit à la ligne;	la Seine qui roule ses paisibles eaux au bas de cette maison Royale, glorieuse d'un tel voisinage, et paraissant plus belle à la vue de tat de merveilles, avait aussi arrêté le Berger à contempler le riche émail des prairies qui tapissent ses bords, et et avait fait éprouver les ravissemands de mille douces pensées, quand d'assez loin il aperçut un homme qui pêchait à la ligne;
il auoit le pied droit auancé deſſus la ſouche d’vn vieux ſaule, & de l’autre il ſe tenoit ferme ſur la riue, & ſe panchant deuers la riuiere il étoit ſi attentif à ſurprendre le petit poiſſon qui ſe joüoit à fleur d’eau, qu’à peine euſt-il ozé remuer les yeux pour le regarder;	il avait le pied droit auancé dessus la souche d ' eau, et de l'autre il se tenait ferme sur la rive, et se penchant devers la rivière il était si attentif à surprendre le petit poisson qui se jouait à fleur d'eau, qu'à peine eût-il ozé remuer les yeux pour le regarder;
c’étoit Cerilas gentil berger qui ſur les riues de Seine où il auoit pris naiſſance, & à l’ombre des foreſts faiſoit.	c'était Cérilas gentil berger qui sur les rives de Seine où il avait pris naissance, et à l'ombre des forêts faisait.
dire des chanſons à ſa Cornemuſe que l’on n’auoit jamais oüyes auparauant;	dire des chansons à sa Cornemuse que l'on n'avait jamais ouïres auparavant;
pour lors il ſe diuertiſſoit à la peſche:	pour lors il se divertissait à la pêche:
Aminte s’approcha doucemant de luy ſans qu’il s’en priſt garde, & ſe retenant de faire du bruit, il demeura quelque temps à conſiderer ſon action;	Aminte s'approcha doucemant de Seigneur sans qu'il s'en prît garde, et se retenant de faire du bruit, il demeura quelque temps à considérer son action;
mais enfin l’extreme deſir qu’il auoit de ſalüer ſon amy luy fit interrompre ſon ſilence;	mais enfin l'extrême désir qu'il avait de saluer son amy y fit interrompre son silence;
il ſe découure à Cerilas, & s’étans tous deux étroittemant embraſſez, rauis de contentemant de ſe voir enſemble, ils ſe coucherent deſſus la verdure qui tapiſſoit le riuage;	il se découvre à Cérilas, et s'étans tous deux étroittemant embrassez, ravis de contentemant de se voir ensemble, ils se couchèrent dessus la verdure qui tapissait le rivage;
& Aminte le premier ſe tournant deuers ſon amy, commença à Imtenoger de la lorte;	et Aminte le premier se tournant devers son ami, commença à Imtenoger de la lorte;
EGLOGVE I.	ÉGLOGUE I.
AMINTE.	AMINTE.
CERILAS.	CERILAS.
ITES-moy CERILAS, quel ſujet vous ameine DAu plus ſauuage endroit des riuages de Seine?	ITES-moi CERILAS, quel sujet vous âmeine DAu plus sauvage endroit des rivages de Seine?
Quel plaiſir trouuez-vous à peſcher des poiſſons?	Quel plaisir trouvez-vous à pêcher des poissons?
MetteZ-vous en oubly vos diuines chanſons, De qui les airs fameux empliſſent les oreilles Des plus grands Potentas de douceurs nompareilles?	Mettez-vous en oubli vos divines chansons, De qui les airs fameux emplissent les oreilles Des plus grands Potentas de douceurs nompareilles?
Dites-moy d’où vous vient ce mépris de la Cour?	Dites-moi d'où vous vient ce mépris de la Cour?
Et pourquoy vous quittez un ſi pompeux ſejour Ou miut vtaux teris ouus cuffent patt pureſtre Auecque plus d’éclat que dans ce lieu champeſtre?	Et pourquoi vous quittez un si pompeux séjour Ou miut vtaux teris ouus cuffent patt purêtre Avec plus d'éclat que dans ce lieu champêtre?
CERILAS.	CERILAS.
Le luxe des Citez a corrompu les mœurs;	Le luxe des Cités a corrompu les mœurs;
Le peuple eſt agité de contraires humeurs;	Le peuple est agité de contraires humeurs;
La Conuoitiſe y régne, & la ſale Auarice Y contraint tout le monde à luy rendre ſeruice;	La Convoitise y règne, et la saleVarice Y contraint tout le monde à lui reste service;
Les Muſes dans ces lieux ne ſe reuerent plus, Et leurs dons precieux ſe trouuent ſuperflus;	Les Muses dans ces lieux ne se révèrent plus, Et leurs dons précieux se trouvent superflus;
Le riche qui s’eſtime eſtre un Dieu ſur la terre Mépriſe le Poëte, & le ſacré lierre Qu’il porte ſur la teſte, & n’eſt ambitieux Que de grands baſtimans qui menacent les Cieux, Ignorant qu’ici bas pour auoir de la gloire Il faut ſacrifier aux filles de Memoire:	Le riche qui s'estime être un Dieu sur la terre Méprise le Poète, et le sacré lierre Qu'il porte sur la tête, et n'est ambitieux Que de grands bâtimand qui menacent les Cieux, Ignorant qu'ici bas pour avoir de la gloire Il faut sacrifier aux filles de Mémoire:
Long-temps dedans Paris je me ſuis arreſté, Mais enfin le deſir de viure en liberté M’a fait abandonner cette ville ſuperbe Pour demeurer aux champs, & couché deſſus l’herbe Sans eſtre interrompu d’un tumulte ennuyeux Apprendre à ces foreſts les loüanges des Dieux, Chanter le nom des Rois, & comme une peinture De naines tonieni, detine la naime.	Longtemps dedans Paris je me suis arrêté, Mais enfin le désir de vivre en liberté M'a fait abandonner cette ville superbe Pour demeurer aux champs, et couché dessus l'herbe Sans être interrompu d'un tumulte ennuyeux Apprendre à ces forêts les loüanges des Dieux, Chanter le nom des Rois, et comme une peinture De naines tonieni, détine la naime.
AMINTE.	AMINTE.
C’eſt le meſme ſujet qui me conduit ici;	C'est le même sujet qui me conduit ici;
La ville eſt un ſejour tout comblé de ſouci, De trahiſons, de haine, & de peines diuerſes;	La ville est un séjour tout comblé de souci, De trahisons, de haine, et de peines diverses;
Les méchans ſont heureux,les bons ont des trauerſes;	Les méchants sont heureux, bons ont des traverses;
Le Vice eſt en honneur, on ſe rit des Vertus, Et par elles les pris ne ſont plus debatus;	Le Vice est en honneur, on se rit des Vertus, Et par elles les pris ne sont plus débatus;
La fraude les emporte, & l’engeance maudite Des filles de la Nuit opprime le merite;	La fraude les emporte, et l'engeance maudite Des filles de la Nuit opprime le mérite;
un ignorant Cherile aura le pris des vers, Et bien qu’il ſoit bani des ſommets toujours verts Du renommé Parnaſſe, il vogue à pleines voiles, Et ſe penſe éleuer au milieu des étoiles;	un ignorant Cherile aura le pris des vers, Et bien qu'il soit bani des sommets toujours verts Du renommé Parnasse, il vogue à pleines voiles, Et se pense élever au milieu des étoiles;
L’injuſtice domine, ainſi filles du Ciel Mouches deſſus les fleurs vous amaſſez le miel Auec un long trauail, & puis à l’auenture Les frelons pareſſeux en feront leur paſture.	L'injustice domine, ainsi filles du Ciel Mouches dessus les fleurs vous amassez le miel Avec un long trauail, et puis à l'aventure Les frelons paresseux en feront leur pâture.
CERILAS.	CERILAS.
Ie l’ay vu ce Poëte enflé de vain orgueil, Croire que les beaux arts ſeroient dans le cercueil Si ſon puiſſant genie auoit borné ſes veilles, Et priué l’uniuers de ſes rares merueilles;	Je l'ai vu ce Poète enflé de vain orgueil, Croire que les beaux arts seraient dans le cercueil Si son puissant génie avait borné ses veilles, Et privé ses uniuers de ses rares merveilles;
Il étoit l’autre jour deſſous quelques ormeaux Où comme par ébat il prit des chalumeaux,	Il était l'autre jour dessous quelques ormeaux Où comme par ébat il prit des chalumeaux,
A iiij Et donnant du relaſche à ſes chants magnifiques, Il voulut s’abaiſſer iuſqu’à nos jeux ruſtiques, Et faire comme nous les foreſts retentir Comme étant un ſujet propre à le diuertir, Inégal à ſa force, & qui n’euſt pu ſuffire A luy qui mille fois auoit touché la lyre:	À jij Mer donnant du relâche à ses chants magnifiques, Il voulut s'abaisser jusqu'à nos jeux rustiques, Et faire comme nous les forêts retentir Comme étant un sujet propre à le divertir, Inégal à sa force, et qui n'eût pu suffire A luiqui mille fois avait touché la lyre:
C’étoit un grand plaiſir que de voir ſon maintien, Et comme il ſe prenoit à ce dous entretien;	C'était un grand plaisir que de voir son maintien, Et comme il se prenait à ce dous entretien;
Luy voir enfler la jouë, & pluſieurs de ſes veines Großir autour du col de ſang noiraſtre pleines;	Lui voir enfler la joue, et plusieurs de ses veines Grossir autour du col de sang noirâtre pleines;
