PREFACE.	PRÉFACE.
Outre quelque grand Seigneur, que i'aurois eſté prendre malgré luy, pour Protecteur de mon Ouurage, & dont i’aurois tenté la liberalité, par vne Epiſtre dedicatoire bien fleurie;	Outre quelque grand Seigneur, que j'aurais été prendre malgré lui, pour Protecteur de mon Ouvrage, et dont j'aurais tenté la libéralité, par une Épître dédicatoire bien fleurie;
i’aurois taſché de faire vne belle & docte Preface, & ie ne manque point de Liures, qui m'auroiẽ fourny tout ce qu’on peut dire de ſçauant ſur la Tragedie, & la Comedie;	j'aurais tâché de faire une belle et docte Préface, et je ne manque point de Livres, qui m'auraient fourni tout ce qu'on peut dire de savant sur la Tragédie, et la Comédie;
l’Ethimologie de toutes-deux, leur origine, leur definition, & le reſte.	l'Ethymologie de toutes-deux, leur origine, leur définition, et le reste.
I’au rois parlé auſsi à mes amis, qui pour la recommandation de ma Piece, ne m’auroient pas refusé, ou des Vers Fran çois, ou des Vers Latins.	J'au rois parlé aussi à mes amis, qui pour la recommandation de ma Pièce, ne m'auraient pas refusé, ou des Vers Fran çois, ou des Vers Latins.
I’en ay meſmi qui m'auroient loüé en Grec, & l’on n’ignore pas, qu'vne loüange en Grec eſt d’vne merueilleuſe efficace à la teſt d’vn Liure:	J'en ai mêmi qui m'auraient loué en Grec, et l'on n'ignore pas, qu'une louange en Grec est d'une merveilleuse efficace à la test d' Liure:
Mais on me met au iour ſans me donner le loiſir de me reconnoi tre;	Mais on me met au jour sans me donner le loisir de me reconnais tre;
Et ie ne puis meſme obtenir la liberté de dire deux mots, pour iuſtifier mes intentions, ſur le ſuiet de cette Comedic.	Et ici ne puis même obtenir la liberté de dire deux mots, pour justifier mes intentions, sur le sujet de cette Comédic.
I’aurois voulu faire voir qu'ellu ſe tient par tout dans les bornes de la ſatyre honneſte, & permiſe;	J'aurais voulu faire voir qu'elle se tient par tout dans les bornes de la satire honnête, et permise;
Que le plus excellentes choſes ſont ſuiettes, eſtre copiées par de mauuais Singes, que meritent d’eſtre bernez;	Que le plus excellentes choses sont sujettes, être copiées par de mauvais Singes, que méritent d'être bernés;
que ces vicieuſes imitations de ce qu’il y a de plus parfait, ont eſté de tout temps la matiere de la Comedie, & que par la meſme raiſon, les veritables Sçauans, & les vrays braues, ne ſe ſont point encore aviſez de s’offenſer du Docteur de la Comedie, & du Capitan, non plus que les Iuges, les Princes, & les Rois, de voir Triuelin, ou quelque autre ſur le Theatre, faire ridiculement le Iuge, le Prince, ou le Roy:	que ces vicieuses imitations de ce qu'il y a de plus parfait, ont été de tout temps la matière de la Comédie, et que par la même raison, les véritables Savants, et les vrais braves, ne se sont point encore avisez de s'offenser du Docteur de la Comédie, et du Capitan, non plus que les Juges, les Princes, et les Rois, de voir Trivelin, ou quelque autre sur le Théâtre, faire ridiculement le Juge, le Prince, ou le Roi:
außi les veritables Precieuſes, auroient tort de ſe piquer, lors qu’on ioüe les Ridicules, qui les imitent mal:	aussi les véritables Précieuses, auraient tort de se piquer, lors qu'on joue les Ridicules, qui les imitent mal:
Mais enfin comme i’ay dit, on ne me laiſſe pmue temps de reſpirer, & Monſieur de Luynes veut m'aller relier de ce pas:	Mais enfin comme j'ai dit, on ne me laisse pmue temps de respirer, et Monsieur de Luynes veut m'aller relier de ce pas:
A la bonne heure, puis que Dieu l’a	À la bonne heure, puis que Dieu l'a
LES PERSONNAGES.	LES PERSONNAGES.
L A CR IIdoE, DVCROTSI, L Amans rebutez.	 À CR IIdoE, DUCROTSI, L Ans rebutez.
GORGIBVS, Bon Bourgeois.	GORGIBUS, Bon Bourgeois.
MAGDELON, fille ( de Gorgibus.	MAGDELON, fille ( de Gorgibus.
S Precieuſes CATHOS, Niece de) Ridicules.	 Srecieuses CATHÔ, Nièce de) Ridicules.
Gorgibus.	Gorgibus.
MAROTTE, Seruante des Precieuſes Mdicules.	MAROTTE, Servante des Précieuses Mdicules.
ALMANZOR, Laquais des Precieuſes Ridicules.	ÀLMANZOR, Laquais des Précieuses Ridicules.
LE MARQVIS DE MASCARILLE, Valet de la Grange.	LE MARQUIS DE MASCARILLE, Valet de la Grange.
LE VICOMTE DE IODELET, Valet de du Croiſy.	LE VICOMTE DE JODELT, Valet de du Croisy.
DEVXPORTEVRS de chaiſe.	DEUXPORTEURS de chaise.
VOISINES.	VOISINES.
VIOLONS.	VIOLONS.
LES	LES
LES PRECIEVSES 2 RIDICVLES.	LES PRÉCIEUSES 2 RIDICULES.
SCENE I.	SCÈNE I.
LA GRANGE, DV CROISI.	LA GRANGE, DU CROISY.
DV CROISI,	DU CROISY,
EIGNEVR la Grange.	EIGNEVR la Grange.
LA GRANGE.	LA GRANGE.
DV CROISI.	DU CROISY.
Regardez-moy vn peu ſans rire.	Regardez-moi un peu sans rire.
Et bien?	Et bien?
LA GRANGE.	LA GRANGE.
DV CROISI.	DU CROISY.
Que dites vous de noſtre viſite?	Que dites -vous de notre visite?
en eſtes vous fort ſatisfait?	en êtes -vous fort satisfait?
LA GRANGE.	LA GRANGE.
A voſtre auis, auons nous ſuiet de l’eſtre tous deux?	À votre avis, avons nous sujet de l'être tous deux?
DV CNOISI.	DU CNOISI.
Pas tout à fait, à dire vray.	Pas tout à fait, à dire vrai.
LA GRANGE.	LA GRANGE.
Pour moy ie vous auouë que i'et ſuis tout ſcandaliſé.	Pour moi ici vous avoue que j'et suis tout scandalisé.
A t’on iamais veu, dites moy, deux Pecques Prouinciales faire plus les rencheries que celles là, & deux hommes traitez auec plus de mépris que nous?	À t'on jamais vu, dites -moi, deux Pecque Provinciales faire plus les renchéries que celles -là, et deux hommes traités avec plus de mépris que nous?
A peine ont-elles pû ſe reſoudre à nous faire donner des ſieges.	À peine ont-elles pu se résoudre à nous faire donner des sièges.
Ie n’ay iamais veu tant parler à l’oreille qu’elles ont fait entre elles, tant baailler;	Je n'ai jamais vu tant parler à l'oreille qu'elles ont fait entre elles, tant baailler;
tant ſe frottér les yeux, & demander tant de fois quelle heure eſt-il?	tant se frottér les yeux, et demander tant de fois quelle heure est-il?
Ont elles repondu que oüy, & non, à tout ce que nous auons pû leur dire?	Ont elles répondu que oui, et non, à tout ce que nous avons pu leur dire?
Et ne m’auoüerez-vous pas enfin, que quand nous aurions eſté les dernieres perſonnes du monde, on ne pouuoit nous faire pis qu’elles ont fait?	Et ne m'auoüerez-vous pas enfin, que quand nous aurions été les dernières personnes du monde, on ne pouvait nous faire pis qu'elles ont fait?
DV CROISI.	DU CROISY.
Il me ſemble que vous prenez la choſe fort à cœur.	Il me semble que vous prenez la chose fort à cœur.
LA GRANDE.	LA GRANDE.
Sans doute ie l’y prens, & de telle A i façon que ie veux me vanger de cette impertinence.	Sans doute ici l'y prends, et de telle À y façon que tu veux me venger de cette impertinence.
Ie connoy ce qui nous a fait mépriſer.	Je connais ce qui nous a fait mépriser.
L’air precieux n’a pas ſeulement infecté Paris, il s’eſt auſſi répandu dans les Prouinces & nos Donzelles ridicules en ont humé leur bonne part.	L'air précieux n'a pas seulement infecté Paris, il s'est aussi répandu dans les Provinces et nos Donzelles ridicules en ont humé leur bonne part.
En vn mot, c’eſt vn ambigû de Precieuſe & de Coquette que leur perſonne;	En un mot, c'est un ambigu de Précieuse et de Coquette que leur personne;
le voy ce qu’il faut eſtre, pour en eſtre bien reçeu, & ſi vous m’en croyez, nous leur ioüerons tous deux vne piece, qui leur fera voir ſeur fottiſe, ce pouita ſeur apprendre à connoiſtre vn peu mieux leur monde.	le vois ce qu'il faut être, pour en être bien reçu, et si vous m'en croyez, nous leur jouerons tous deux jour pièce, qui leur fera voir sûr sottise, ce pouita sûr apprendre à connaître un peu mieux leur monde.
DV CROISI.	DU CROISY.
Et comment encore?	Et comment encore?
LA GRANGE.	LA GRANGE.
I’ay vn cer lIn valet nommé Maſcarille, qui palſe au ſentiment de beaucoup de gens pour vne maniere de bel eſprit, car il n’y a rien à meilleur marché que le bel eſprit maintenant C’eſt vn extrauagant, qui s’eſt mis dans la teſte de vouloir faire l’homme de condition.	J'ai un cer lIn valet nommé Mascarille, qui paleuse au sentiment de beaucoup de gens pour don maniere de bel esprit, car il n'y a rien à meilleur marché que le bel esprit maintenant C'est un extravagant, qui s'est mis dans la tête de vouloir faire l'homme de condition.
Il ſe pique ordinairement de galanterie, & de Vers, & dédaigne Olutaua.	Il se pique ordinairement de galanterie, et de Vers, et dédaigne Olutaua.
DV CROISI.	DU CROISY.
Et bien qu’en pretendez vous faire?	Et bien qu'en prétendez -vous faire?
LA GRANGE.	LA GRANGE.
Ce que i’en pretens faire!	Ce que j'en prétends faire!
il faut.	il faut.
mais ſortons d’icy auparauant.	mais sortons d'ici auparavant.
SCENE II.	SCÈNE II.
GORGIBVS, DV CROISI, LA GNANGE.	GORGIBUS, DU CROISY, LA GNANGE.
GORGIBVS.	GORGIBUS.
T bien vous auez veu ma niece, D'& manlle, les affaires iront-elles bien?	T bien vous avez vu ma nièce, D'en manlle, les affaires iront-elles bien?
quel eſt le reſultat de cette viſite?	quel est le résultat de cette visite?
LA GRANGE.	LA GRANGE.
C’eſt vne choſe que vous pourrez mieux aprendre d’elles, que de nous.	C'est une chose que vous pourrez mieux apprendre d'elles, que de nous.
Tout ce que nous pouuons vous dire, c’eſt que nous vous rendons graces de la faueur que vous nous auez faite, & demeurõs vos tres humbles ſeruiteurs.	Tout ce que nous pouvons vous dire, c'est que nous vous rendons grâces de la faveur que vous nous avez faite, et demeurons vos très humbles serviteurs.
GORGIBVS.	GORGIBUS.
Oüais il ſemble qu’ils ſortent mal ſatisfaits d’icy:	Ouais il semble qu'ils sortent mal satisfaits d'ici:
d’où pourroit venir leur mecententement?	d'où pourrait venir leur mecententement?
il faut ſçauoir vn peu ce que c’eſt.	il faut sçauoir un peu ce que c'est.
Hola.	Holà.
SCENE III.	SCÈNE III.
MAROTTE, GORGIBVS MAROTTE.	MAROTTE, GORGIBUS MAROTTE.
Ve deſirez vous Monſieur 18.	Ve désirez -vous Monsieur 18.
2	2
GORGIBVS.	GORGIBUS.
Où ſont vos Maiſtreſſes?	Où sont vos Maîtresses?
MIRCTTE.	MIRCTTE.
Dans leur cabinet.	Dans leur cabinet.
GORGIBVS.	GORGIBUS.
Que font elles?	Que font elles?
MAROTTE.	MAROTTE.
De la pommade pour les levres.	De la pommade pour les lèvres.
GORGIBVS.	GORGIBUS.
C’eſt trop pommadé:	C'est trop pommadé:
Dites-leut qu’elles deſcendent.	Dites-levut qu'elles descendent.
Ces pendardes-la auec leur pommade ont, ie penſe, enuie de me ruiner.	Ces pendardes-la avec leur pommade ont, ie encense, envie de me ruiner.
Ie ne voy par tout que blancs-d’œufs, lait virginal, & mille autres brinborions que ie ne connois point.	Je ne vois par tout que blancs-d'œufs, lait virginal, et mille autres brinborions que personne ne connais point.
Elles ont vſé, depuis que nous ſommes icy, le lard d’vne douzaine de cochons, pour le moins;	Elles ont usé, depuis que nous sommes ici, le lard d'une douzaine de cochons, pour le moins;
& quatre valets viuroient tous les iours des pieds de mouton qu’enes employent.	et quatre valets vivraient tous les jours des pieds de mouton qu'enes emploient.
SCENE IV.	SCÈNE IV.
MAGDELON, CATHOS GORGIBVS.	MAGDELON, CATHOS GORGIBUS.
GORGIBVS.	GORGIBUS.
L eſt bien neceſſaire, vrayement T de faire tant de dépence pour vous graiſſer le muſeau.	L est bien nécessaire, vraiment T de faire tant de dépense pour vous graisser le museau.
Dites moy vn peu ce que vous auez fait à ces Meſſieurs que ie les voy ſortir auec tant de froicenpous auois le puoeindé de les receuoir comme des perſonnes que ie voulois vous donner pour maris?	Dites -moi un peu ce que vous avez fait à ces Messieurs que je les vois sortir avec tant de froicenpous avais le puoeindé de les recevoir comme des personnes que je voulais vous donner pour maris?
MAGDELON.	MAGDELON.
Et quelle eſtime, mon pere, vou lez-vous que nous faſſions du procedé irregulier de ces gens-là?	Et quelle estime, mon père, vou lez-vous que nous fassions du procédé irrégulier de ces gens-là?
CATHOS.	CATHOS.
Le moyen, mon oncle, qu’vne fille vn peu raiſonnable ſe pûſt accommoder de leur pertonne?	Le moyen, mon oncle, qu'une fille un peu raisonnable se put accommoder de leur pertonne?
GORGIBVS.	GORGIBUS.
Et qu’y trouuez-vous à redire?	Et qu'y trouvez-vous à redire?
MAGDELON.	MAGDELON.
La belle galanterie que la leur!	La belle galanterie que la leur!
quoy debuter d’abord par le mariage?	quoi débuter d'abord par le mariage?
GORGIBVS.	GORGIBUS.
Et par où veux-tu donc qu’ils débutent?	Et par où veux-tu donc qu'ils débutent?
par le concubinage?	par le concubinage?
n’eſt-ce pas vn procedé, dont vous auez ſujet de vous loüer toutes deux, auſſi-bien que moy?	n'est-ce pas un procédé, dont vous avez sujet de vous louer toutes deux, aussi-bien que moi?
eſt-il rien de plus obligeant que cela?	est-il rien de plus obligeant que cela?
& ce lien ſacré où ils aſpiren n’eſt-il pas vn témoignage de leurs in tentions?	et ce lien sacré où ils aspiren n'est-il pas un témoignage de leurs in tentions?
MAGDELON.	MAGDELON.
Ah mon pere, ce que vous dites là eſt du dernier bourgeois.	Ah mon père, ce que vous dites là est du dernier bourgeois.
Cela me fait honte de vous oüir parler de la ſorte & vous deuriez vn peu vous faire apprendre le bel air des choſes.	Cela me fait honte de vous ouïrir parler de la sorte et vous devriez un peu vous faire apprendre le bel air des choses.
GORGIBVS.	GORGIBUS.
Ie n’ay que faire, ny d’air, ny de chanſon.	Je n'ai que faire, ni d'air, ni de chanson.
Ie te dis que le mariage eſt vne choſe ſainte & ſacrée, & que c’eſt faire en honneſtes gens que de débuter par là.	Je te dis que le mariage est une chose sainte et sacrée, et que c'est faire en honnêtes gens que de débuter par là.
MAGDELON.	MAGDELON.
Mon Dieu, que ſi tout le monde vous reſſembloit, vn Roman ſeroit bien-toſt finy:	Mon Dieu, que si tout le monde vous ressemblait, un Roman serait bientôt fini:
la belle choſe, que ce ſeroit, fi d’abord Cyrus eſpouſoit Mandane, & qu’Aronce de plein pied fuſt marié à Clelie.	la belle chose, que ce serait, fi d'abord Cyrus épousait Mandane, et qu'Aronce de plein pied fût marié à Clélie.
GORGIBVS.	GORGIBUS.
Que me vient conter celle-cy:	Que me vient conter celle-cy:
MAGDELON.	MAGDELON.
Mon pere, voilà ma couſine, qui vous dira auſſi-bien que moy, que le mariage ne doit iamais arriuer, qu’aprés les autres auantures.	Mon père, voilà ma cousine, qui vous dira aussi-bien que moi, que le mariage ne doit jamais arriver, qu'après les autres aventures.
Il faut qu’vn Amant, pour eſtre agreable, ſçache debiter les beaux ſentimens;	Il faut qu'un Amant, pour être agréable, sache débiter les beaux sentiments;
pouſſer le doux, le tendre, & le paſſionné, & que ſa recherche ſoit dans les formes.	pousser le doux, le tendre, et le passionné, et que sa recherche soit dans les formes.
Premierement il doit voir au Temple, ou à la promenade, ou dans quelque ceremonie publique, la perſonne dont il deuient amoureux;	Premièrement il doit voir au Temple, ou à la promenade, ou dans quelque cérémonie publique, la personne dont il devient amoureux;
ou bien eſtre conduit fatalement chez elle, par vn parent, ou vn amy, & ſortir de là tout reſueur & melancolique.	ou bien être conduit fatalement chez elle, par un parent, ou un ami, et sortir de là tout rêveur et mélancolique.
Il cache, vn temps, ſa paſſion à l’objet aymé, & cependant luy rend pluſieurs viſites, où l’on ne manque iamais de mettre ſur le tapis vne queſtion galante, qui exerce les eſprits de l’aſſemblée.	Il cache, un temps, sa passion à l'objet aimé, et cependant deux rend plusieurs visites, où l'on ne manque jamais de mettre sur le tapis une question galante, qui exerce les esprits de l'assemblée.
Le iour de la declaration arriue, qui ſe doit faire ordinairement dans vne allée de quelque iardin, tandis que la compagnie s’eſt vn peu éloignée:	Le jour de la déclaration arrive, qui se doit faire ordinairement dans une allée de quelque jardin, tandis que la compagnie s'est un peu éloignée:
& cette declaration eſt ſuiuie d’vn prompt courroux qui paroiſt à noſtre rougeur, & qui pour vn temps bannit l’Amant de noſtre preſence.	et cette déclaration est suivie d'un prompt courroux qui paraît à notre rougeur, et qui pour un temps bannit l'Amant de notre présence.
En ſuite il trouue moyen de nous appaiſer;	En suite il trouve moyen de nous apaiser;
de nous accouſtumer inſenſiblement au diſcours de ſa paſſion, & de tirer de nous cét aueu qui fait tant de peine.	de nous accoutumer insensiblement au discours de sa passion, et de tirer de nous cet aveu qui fait tant de peine.
Aprés cela viennent les auentures;	Après cela viennent les aventures;
les riuaux qui ſe iettent à la trauerſe d’vne inclination établie, les perſecutions des peres, les ialouſies conçeües ſur de fauſſes apparences, les plaintes, les deſeſpoirs, les enleuemens, & ce qui s’enſuit.	les rivaux qui se jettent à la traverse d'une inclination établie, les persécutions des pères, les jalousies conçues sur de fausses apparences, les plaintes, les désespoirs, les enlèvements, et ce qui s'ensuit.
Voila comme les choſes ſe traitent dans les belles manieres, & ce ſont des regles, dont en bonne galanterie on ne ſçauroit ſe diſpenſer;	Voilà comme les choses se traitent dans les belles manières, et ce sont des règles, dont en bonne galanterie on ne saurait se dispenser;
mais en venir de but en blanc à l’vnion coniugale!	mais en venir de but en blanc à l'exion conjugale!
ne faire l’amour qu’en faiſant le contract du mariage, & prendre iuſtement le Roman par la queüe!	ne faire l'amour qu'en faisant le contract du mariage, et prendre justement le Roman par la queue!
Encore vn coup, mon pere, il ne ſe peut rien de plus Marchand que ce procedé, & i’ay mal au cœur de la ſeule vilion que cela me fait.	Encore un coup, mon père, il ne se peut rien de plus Marchand que ce procédé, et j'ai mal au cœur de la seule vilion que cela me fait.
GORGIBVS, Querdiable de jaigoneneens je icyz voicy bien du haut ſtyle.	GORGIBUS, Querdiable de jaigoneneens je ic y bien du haut style.
CATHOS.	CATHOS.
En effet, mon oncle, ma couſine donne dans le vray de la choſe.	En effet, mon oncle, ma cousine donne ans le vrai de la chose.
Le moyen de bien receuoir des gens qui ſont tout à fait incongrus en galanterie?	Le moyen de bien recevoir des gens qui sont tout à fait incongrus en galanterie?
ie m’en vais gager qu’ils n’ont iamais veu la carte de tendre, & que billets dou, petits ſoins, billets galans & iolisx Vers, ſont des terres inconnuës pour eux.	Les m'en vais gager qu'ils n'ont jamais vu la carte de tendre, et que billets dou, petits soins, billets galants et jolisx Vers, sont des terres inconnues pour eux.
Ne voyez vous pas que toute leur perſonne marque cela & qu’ils n’ont point cét air qui donne d’abord bonne opinion des gens?	Ne voyez vous pas que toute leur personne marque cela et qu'ils n'ont point cet air qui donne d'abord bonne opinion des gens?
venir en viſite amoureuſe auec vne iambe toute vnie;	venir en visite amoureuse avec une jambe toute unie;
vn chapeau deſarmé de plumes;	Un chapeau désarmé de plumes;
vne teſte irreguliere en cheueux & vn habit qui ſouffre vne indigence de rubans!	une tête irrégulière en cheveux et un habit qui souffre une indigence de rubans!
mon Dieu quels Amans ſont-ce-là!	mon Dieu quels Amants sont-ce-là!
quelle frugalité d’ajuſtement, & qu’elle ſechereſſe de conuerſation!	quelle frugalité d'ajustement, et qu'elle sécheresse de conversation!
on n’y dure point, on n’y tient, pas.	on n'y dure point, on n'y tient, pas.
I’ay remarqué encore que leurs rabats ne ſont pas de la bonne faiſeuſe, & qu’il s’en faut plus d’vi grand demy-pied, que leurs hauts de chauſſes, ne ſoient aſſez larges.	J'ai remarqué encore que leurs rabats ne sont pas de la bonne faiseuse, et qu'il s'en faut plus d'vi grand demi-pied, que leurs hauts de chausses, ne soient assez larges.
GORGIBVS.	GORGIBUS.
Ie penſe qu’elles ſont folles toutes deux, & ie ne puis rien comprendre!	Je pense qu'elles sont folles toutes deux, et notre ne puis rien comprendre!
ce baragoin.	ce baragoin.
Cathos & vous Magde lon.	Cathos et vous Magde lon.
MAGDE	MAGDE
MAGDELON.	MAGDELON.
Eh de grace, mon pere, défaites vous de ces noms eſtranges, & nous l pohen autremene.	Eh de grâce, mon père, défaites -vous de ces noms étranges, et nous phen autremène.
GORGIBVS.	GORGIBUS.
Comment ces noms eſtranges?	Comment ces noms étranges?
ne ſont-ce pas vos noms de Bapteſme?	ne sont-ce pas vos noms de Baptême?
MAGDELON.	MAGDELON.
Mon Dieu, que vous eſtes vulgaire!	Mon Dieu, que vous êtes vulgaire!
pour moy vn de mes eſtonnemens, c’eſt que vous ayez pû faire vne fille ſi ſpirituelle que moy.	pour moi un de mes étonnements, c'est que vous ayez pu faire une fille si spirituelle que moi.
A-t’on iamais parlé dans le beau ſtyle, de Cathos ny de Magueion:	A-t-on jamais parlé dans le beau style, de Cathos ici de Magueion:
d ne in auouelez vous pas que ce ſeroit aſſez d’vn de ces noms, pour décrier le plus beau Roman du monde?	d ne in avouelez -vous pas que ce serait assez d'un de ces noms, pour décrier le plus beau Roman du monde?
ATHOS.	ATHOS.
Il eſt vray, mon oncle, qu’vne oreille vn peu delicate pâtit furieuſement à entendre prononcer ces mots là, & le nom de Polixene, que ma couſine a choiſi, & celuy d’Aminthe, que ie me ſuis donné, ont vne grace, dont il faut que vous demeurſenduccora.	Il est vrai, mon oncle, qu'une oreille peu délicate pâtit furieusement à entendre prononcer ces mots là, et le nom de Polixène, que ma cousine a choisi, et celui d'Aminthe, que je me suis donné, ont une grâce, dont il faut que vous demeursenduccora.
GORGIBVS.	GORGIBUS.
Eſcoutez;	Écoutez;
il n’y a qu’vn mot qui ſerue.	il n'y a qu'un mot qui serve.
Ie n’entends point que vous ayez d’autres nõs, que ceux, qui vous ont été donnez par vos parrains & marraines, & pour ces Meſſieurs, dont il eſt queſtion, ie connois leurs familles & leurs biens, & ie veux reſolument, que vous vous diſpoſiez à les receuoir pour maris.	Je n'entend point que vous ayez d'autres nus, que ceux, qui vous ont été donnez par vos parrains et marraines, et pour ces Messieurs, dont il est question, ie ais leurs familles et leurs biens, et je veux résolument, que vous vous disposiez à les recevoir pour maris.
Ie me laſſe de vous auoir ſur les bras, & la garde de deux filles eſt vne charge vn peu trop peſante, pour vi homme de mon âge.	Je me lasse de vous avoir sur les bras, et la garde de deux filles est une charge un peu trop pesante, pour vi homme de mon âge.
CATHOS.	CATHOS.
Pour moy, mon oncle, tout ce qu ie vous puis dire, c’eſt que ie treuue le mariage vne choſe tout à fait choquante.	Pour moi, mon oncle, tout ce qu' ie vous puis dire, c'est que je trouve le mariage une chose tout à fait choquante.
Comment eſt-ce qu’on peut ſouffrir la penſée de coucher contre vn Memda vly emclana e	Comment est-ce qu'on peut souffrir la pensée de coucher contre un Memda veuli emclana e
MAGDELON.	MAGDELON.
Souffrez que nous prenions vn peu haleine parmy le beau monde de Paris, où nous ne faiſons que d’arriuer.	Souffrez que nous prenions un peu haleine parmi le beau monde de Paris, où nous ne faisons que d'arriver.
Laiſſez-nous faire à lomt le tinu de noſtre Ncomian, ce n’en prenez point tant la concluſion.	Laissez-nous faire à lompt le tinu de notre Ncomian, ce n'en prenez point tant la conclusion.
GORGIBVS.	GORGIBUS.
Il n’en faut point douter, elles ſont acheuées.	Il n'en faut point douter, elles sont achevées.
Encore vn coup, ie n’entens rien à toutes ces baliuernes, ie veux eſtre Maiſtre abſolu, & pour trancher toutes ſortes de diſcours, ou vous ſerez mariées toutes deux, auant qu’il ſoit peu, ou, ma foy, vous ſerez Religieuſes, i’en fais vn bon ſerment.	Encore un coup, je n'entends rien à toutes ces balivernes, ie fait être Maître absolu, et pour trancher toutes sortes de discours, ou vous serez mariées toutes deux, avant qu'il soit peu, ou, ma foi, vous serez Religieuses, j'en fais un bon serment.
SCENE V.	SCÈNE V.
OAPIIOO, MIODELON	OAPIIO, MIODELON
On Dieu, ma chere, que ton M pere à la forme enfoncée dan la matiere!	On Dieu, ma chère, que ton M ère à la forme enfoncée dan la matière!
que ſon intelligence el épaiſſe, & qu’il fait ſombre dans ſon ame.	que son intelligence élel épaisse, et qu'il fait sombre dans son âme.
MAGDELON.	MAGDELON.
Que veux tu, ma chere?	Que veux tu, ma chère?
i’en ſuis en confuſion pour luy.	j'en suis en confusion pour lui.
I’ay peine à me perſuader que ie puiſſe eſtre veritable ment ſa fille, & ie croy que quelqu auanture, vn iour, me viendra deue loper vne naiſſance plus illuſtre.	J'ai peine à me persuader que je puisse être véritable ment sa fille, et notre crois que quelqu aventure, un jour, me viendra de loper une naissance plus illustre.
