A TARIS, Chez C.	À TARIS, Chez Ç.
Enfin apres beaucoup d’intrigues, on me la remit toute entiere entre les mains, avec la Lettre dédicatoire;	Enfin après beaucoup d'intrigues, on me la remit toute entière entre les mains, avec la Lettre dédicatoire;
mais comme les deux premiers Actes ſont Italiens, & que leurs agrémens dépendent de la Repréſentation, on m’a conſeillé de faire imprimer le troiſiéme ſeul, qui eſt la Comédie d’Arlequin Procureur.	mais comme les deux premiers Actes sont Italiens, et que leurs agrémens dépendent de la Représentation, on m'a conseillé de faire imprimer le troisième seul, qui est la Comédie d'Arlequin Procureur.
On l’attribuë à quatre ou cinq diférentes Perſonnes;	On l'attribue à quatre ou cinq diférentes Personnes;
mais de quelque endroit qu’elle vienne, les Italiens n’en ont guére repréſenté de meilleures;	mais de quelque endroit qu'elle vienne, les Italiens n'en ont guère représenté de meilleures;
car ſans parler du caractere de la Matrone, & de celuy du Grand-Preſtre de Diane, qui profane l’Autel de la Déeſſe par ſon avarice, celuy du Procureur eſt incomparable.	car sans parler du caractère de la Matrone, et de celui du Grand-Prêtre de Diane, qui profane l'Autel de la Déesse par son avarice, celui du Procureur est incomparable.
Arlequin qui le repréſente ſous le nom de Grapinian, ne dit qu’une fort petite partie des tours qui ſe font parmy ſes Confreres;	Arlequin qui le représente sous le nom de Grapinian, ne dit qu'une fort petite partie des tours qui se font parmi ses Confrères;
& me trouvant un jour à cette Comédie pres d’un Procureur, je le vis en colere contre l’Autheur de la Piece, aſſurant qu’il n’entendoit pas le Palais, & qu’un Clerc de trois mois en diroit dix fois davantage.	et me trouvant un jour à cette Comédie pres d'un Procureur, je le vis en colère contre l'Auteur de la Pièce, assurant qu'il n'entendait pas le Palais, et qu'un Clerc de trois mois en dirait dix fois davantage.
Son dépit doit faire juger des galanteries de ceux de ſa Profeſſion, quand ils ſont de mauvaiſe foy.	Son dépit doit faire juger des galanteries de ceux de sa Profession, quand ils sont de mauvaise foi.
Ce qu’on croit devoir ajoûter icy, eſt qu’on n’a jamais eu le moindre deſſein de joüer aucun Procureur en particulier;	Ce qu'on croit devoir ajouter ici, est qu'on n'a jamais eu le moindre dessein de jouer aucun Procureur en particulier;
mais on m’a dit qu’on avoit pris en ge néral les friponneries qu’on a faites autrefois, & qu’on fait peuteſtre encore aujourd’huy.	mais on m'a dit qu'on avait pris en ge néral les friponneries qu'on a faites autrefois, et qu'on fait peutestre encore aujourd'hui.
Arlequin dans ſon Etude, & ſa converſation avec fes Cliens, découvre l’adreſſe de pluſieurs Procureurs, qui parlant à leurs Parties, ſongent plutoſt à attraper leur argent, qu’à défendre leurs intéreſts.	Arlequin dans son Étude, et sa conversation avec fes Cliens, découvre l'adresse de plusieurs Procureurs, qui parlant à leurs Parties, songent plutôt à attraper leur argent, qu'à défendre leurs intérêts.
Nous autres Plaideurs, nous pouvons auſſi penſer que ce que nous voyons ſur le Théatre, ſe paſſe comme on nous le repréſente, & nous devons nous tenir ſur nos gardes avec d’autres Grapinians plus dangereux, qui nous peuvent faire des tours bien plus violens que ceux qu’on nous montre à l’Hôtel de Bourgogne.	Nous autres Plaideurs, nous pouvons aussi penser que ce que nous voyons sur le Théâtre, se passe comme on nous le représente, et nous devons nous tenir sur nos gardes avec d'autres Grapiniants plus dangereux, qui nous peuvent faire des tours bien plus violents que ceux qu'on nous montre à l'Hôtel de Bourgogne.
En effet, en voicy un qui peut eſtre raconté.	En effet, en voici un qui peut être raconté.
Il y a quelque temps qu’un ancien Procureur, qui autant qu’il avoit pû, avoit exercé la Profeſſion avec toute l’exactitude imaginable, ſe trouvant avec un de ſes Amis, & parlant de certaines petites facilitez qui ſe pratiquent dans les Affaires, dit, qu’eſtant Procureur d’un grand Seigneur dont tout le Bien eſtoit ſaiſy, & ayant obtenu pluſieurs Proviſions pour luy, il en voulut avoir une nouvelle de vingt mille francs.	Il y a quelque temps qu'un ancien Procureur, qui autant qu'il avait pu, avait exercé la Profession avec toute l'exactitude imaginable, se trouvant avec un de ses Amis, et parlant de certes petites facilités qui se pratiquent dans les Affaires, dit, qu'étant Procureur d'un grand Seigneur dont tout le Bien était saisi, et ayant obtenu plusieurs Provisions pour lui, il en voulut avoir une nouvelle de vingt mille francs.
Je le confirmay dans cette penſée, ajoûta ce Procureur, & je n’avois garde de m’y oppoſer, puis que j’avois part au Gâteau.	Je le confirmai dans cette pensée, ajouta ce Procureur, et je n'avais garde de m'y opposer, puis que j'avais part au Gâteau.
Je fis donc la demande, & on m’en debouta, parce que le plus ancien Procureur des Creanciers ſaiſiſſans, & celuy qui pourſuivoit les Criées, ſe défendirent en Gens d’honneûr;	Je fis donc la demande, et on m'en débouta, parce que le plus ancien Procureur des Créanciers saisissants, et celui qui poursuivait les Criées, se défendirent en Gens d'honneurer;
mais je fus bien ſur.	mais je fus bien sur.
pris, quand apres avoir perdu ma Cauſe, ces deux meſmes Procureurs me trouvant le lendemain à la Grand’ Chambre, me tirerent à part, & me dirent tout-bas à l’oreille, qu’il ne tenoit qu’à moy d’avoir les vingt mille francs que je voulois.	pris, quand après avoir perdu ma Causse, ces deux mêmes Procureurs me trouvant le lendemain à la Grand Chambre, me tirèrent à part, et me dirent tout-bas à l'oreille, qu'il ne tenait qu'à moi d'avoir les vingt mille francs que je voulais.
Je leur demanday le moyen.	Je leur demandai le moyen.
Pour un habile Homme comme vous, reprit l’un, s’y prend-on de la ſorte?	Pour un habile Homme comme vous, reprit l'un, s'y prend-on de la sorte?
Hé, morbleu, mon Amy, continua l’autre, radotez-vous, & n’entendezvous plus le Palais?	Hé, morbleu, mon Ami, continua l'autre, radotez-vous, et n'entendez pluseze Palais?
Ne faut il pas que tout vive?	Ne faut il pas que tout vive?
Il n’y a qu’un mot à cela, cent Piſtoles à chacun, & nous vous allons paſſer voſtre Proviſion.	Il n'y a qu'un mot à cela, cent Pistoles à chacun, et nous vous allons passer votre Provision.
Vous voyez bien, ajoûta-t-il, qu’on ſe met à la raiſon, & qu’il n’y a perſonne au monde aſſez ſtupide, qui refuſe dix-huit mille francs pour une ſi petite ſomme.	Vous voyez bien, ajouta-t-il, qu'on se met à la raison, et qu'il n'y a personne au monde assez stupide, qui refuse dix-huit mille francs pour une si petite somme.
Et alors ſe prenant tous deux à rire, ils me toucherent dans la main, & me dirent que ma maniere d’agir les avoit ſurpris.	Et alors se prenant tous deux à rire, ils me touchèrent dans la main, et me dirent que ma manière d'agir les avait surpris.
Je leur demanday fi ma procédure n’eſtoit pas réguliere.	Je leur demandai fi ma procédure n'était pas régulière.
Non, me dirent ils, elle ne l’eſtoit pas, puis que vous avez manqué voſtre Cauſe.	Non, me dirent ils, elle ne l'était pas, puis que vous avez manqué votre Causse.
On agit toûjours régulierement, quand on obtient ce qu’on pourſuit, de quelque façon qu’on l’attrape.	On agit toujours régulièrement, quand on obtient ce qu'on poursuit, de quelque façon qu'on l'attrape.
Mais, Meſſieurs, leur rẽpartis-je, que diront vos Parties, s’ils découvrent la choſe?	Mais, Messieurs, leur rempartis-je, que diront vos Parties, s'ils découvrent la chose?
N’entrez point dans ce détail, reprirent-ils, chacun ſçait ſon meſtier.	N'entrez point dans ce détail, reprirent-ils, chacun Sait son métier.
C’eſt à dire, ajoûtay-je, que vous me vendez tous deux leurs intéreſts pour deux cens Piſtoles.	C'est à dire, ajoutai-je, que vous me vendez tous deux leurs intérêts pour deux cens Pistoles.
Ma reflexion les fit éclater de rire, & ils me demanderent depuis quand j’eſtois devenu ſi ſcrupuleux, & qu’ils voyoient bien que ſur mes vieux jours je voulois faire ſemblant d’avoir de la conſcience.	Ma réflexion les fit éclater de rire, et ils me demandèrent depuis quand j'étais devenu si scrupuleux, et qu'ils voyaient bien que sur mes vieux jours je voulais faire semblant d'avoir de la conscience.
Ha, vieux Pecheur, dirent- ils, tu mourras dans ton peché auſſi-bien que les autres.	Ha, vieux Pécheur, dirent- ils, tu mourras dans ton péché aussi-bien que les autres.
Enfin je leur donnay deux cens Piſtoles, & ils m’accorderent dix-huit mille francs, dont je tiray ma part en Homme d’honneur.	Enfin je leur donnai deux cents Pistoles, et ils m'accordèrent dix-huit mille francs, dont je tirai ma part en Homme d'honneur.
I Ar Grace & Privilege du Roy, donné à Verſailles le 17.	I Ar Grâce et Privilège du Roi, donné à Versailles le 17.
jour de Decembre 1683.	jour de Décembre 1683.
Signé, Par le Roy en ſon Conſeil, D’ALENCE';	Signé, Par le Roi en son Conseil, D'ALENCE';
Il eſt permis au Sieur Darennes de faire imprimer une Comédie intitulée La Matrone d’Epheſe, où Arlequin Procureur, par tel Imprimeur ou Libraire qu’il voudra choiſir, pendant le temps de ſix années, à compter du jour qu’elle ſera achevée d’imprimer pour la premiere fois;	Il est permis au Sieur Darennes de faire imprimer une Comédie intitulée La Matrone d'Éphése, où Arlequin Procureur, par tel Imprimeur ou Libraire qu'il voudra choisir, pendant le temps de six années, à compter du jour qu'elle sera achevée d'imprimer pour la première fois;
Et défenſes ſont faites à toutes autres Perſonnes de l’imprimer, faire imprimer, vendre & debiter, fans le conſentement de l’Expoſant, ou de ceux qui auront droit de luy, à peine aux Contreve.	Et défenses sont faites à toutes autres Personnes de l'imprimer, faire imprimer, vendre et débiter, sans le consentement de l'Exposant, ou de ceux qui auront droit de lui, à peine aux Contreve.
nans de trois mille livres d’amende, confiſcation des Exemplaires contrefaits, & de tous dépens, dommages & intereſts, aitiii que plus au long il eſt porté par ledit Privilege.	nans de trois mille livres d'amende, confiscation des Exemplaires contrefaits, et de tous dépens, dommages et intérêts, aiti que plus au long il est porté par ledit Privilège.
Regiſtré ſur le Livre de la Communauté le 4.	Registré sur le Livre de la Communauté le 4.
Janvier 1684.	Janvier 1684.
Signé, ANGOT, Syndic.	Signé, ANGOT, Syndic.
Ledit Sieur Darennes a cedé ſon Privilege à C.	Ledit Sieur Darennes a cédé son Privilège à Ç.
Blageart Imprimeur-Libraire, pour en joüir ſuivant l’accord fait entr’eux.	Blageart Imprimeur-Libraire, pour en jouir suivant l'accord fait entr'eux.
Achevé d’impr'mer le 5.	Achevé d'imprimer le 5.
jour de fanvier1684.	jour de fanvier1684.
NE PLAIDEUSE.	NE PLAIDEUSE.
N MARQUIS.	 MARQUIS.
ARLEQUIN PROCUREUR COMEDIE.	ARLEQUIN PROCUREUR COMÉDIE.
SCENE I.	SCÈNE I.
COQUINIERE, GRAPINIAN.	COQUINIERE, GRAPINIAN.
COQUINIERE.	COQUINIERE.
2 Eseς OVS ne ferez jamais rien dans nôtre Meſtier, ſi vous n’avez a voſtre diſpoſition un Notaire, un Sergent, & un Greffier;	2 Eseς OUS ne ferez jamais rien dans notre Métier, si vous n'avez a toujours disposition un Notaire, un Sergent, et un Greffier;
mais un jeune Procureur, qui a ces trois cordes à ſon Arc, peut tout riſquer & tout entreprendre.	mais un jeune Procureur, qui a ces trois cordes à son Arc, peut tout risquer et tout entreprendre.
GRAPINIAN.	GRAPINIAN.
Voila trois dangereuſes Beſtes à gouverner.	Voilà trois dangereuses Bêtes à gouverner.
COQUINIERE.	COQUINIERE.
Hé, j’en ſuis bien venu a bout ſans miracle.	Hé, j'en suis bien venu a bout sans miracle.
Dans toute ſorte deProfeſſions, il y a des Eſprits revéches & farouches, qui vont toujours droit, & qui ſe ſont fait un calus de l’honneur de leur Mêtier.	Dans toute sorte deProfessions, il y a des Esprits revèches et farouches, qui vont toujours droit, et qui se sont fait un calus de l'honneur de leur Métier.
Fy, ce n’eſt pas ces Gens-là qu’il faut chercher, ce ſont des Brutaux qui ne ſont bons à rien;	Fi, ce n'est pas ces Gens-là qu'il faut chercher, ce sont des Brutaux qui ne sont bons à rien;
mais il y en a d’autres plus humains, & plus ſociables, qu'on peut aprivoiſer avec de l’argent.	mais il y en a d'autres plus humains, et plus sociables, qu'on peut apprivaiser avec de l'argent.
C’eſt à ceux-là qu’on doit s’adreſſer, & c’eſt ſur leur avidité qu’il faut regler le ſuccés de toutes les Affaires.	C'est à ceux-là qu'on doit s'adresser, et c'est sur leur avidité qu'il faut régler le succès de toutes les Affaires.
GRAPINIAN.	GRAPINIAN.
Bonne morale!	Bonne morale!
A i COQUINIERE.	A À JOQUINIÈRE.
Un Homme qui voudroit faire ſon Meſtier dans l’ordre, n’auroit pas mille écus de profit au bout de l’an.	Un Homme qui voudrait faire son Métier dans l'ordre, n'aurait pas mille écus de profit au bout de l'an.
Autrefois nous avions plus de Pratiques que nous ne voulions;	Autrefois nous avions plus de Pratiques que nous ne voulions;
mais à preſent il les faut aller chercher;	mais à présent il les faut aller chercher;
& encore ſi un Procureur n’eſt alerte, il ne gagne pas pour déſrayer ſa Maiſon.	et encore si un Procureur n'est alerte, il ne gagne pas pour désrayer sa Maison.
GRAPINIAN.	GRAPINIAN.
Il eſt vray qu’on ne plaide plus qu’a ſon corps dercildance	Il est vrai qu'on ne plaide plus qu'a son corps dercildance
IINIERE.	IINIÈRE.
Mr Grapinian, je m’aſſure que vous n’avez pas trente ans.	Mr Grapinian, je m'assure que vous n'avez pas trente ans.
lell a l lalla lvs Hé, environ.	lell a l lalla lus , environ.
O UINIERE.	Ô OÙINIERE.
Le pel age pour bien travailler !	Le pel age pour bien travailler !
GRAPINIAN.	GRAPINIAN.
Ho, laiſſez-moy faire.	Ho, laissez-moi faire.
COQUINIERE.	COQUINIERE.
Il faut que vous ſoyez une Balourde, ſi apres les Préceptes que je vay vous donner, vous n’avez dans quatre ans ruiné cent Familles, & acquis dix MaiIons dans l'aris.	Il faut que vous soyez une Balourde, si après les Prèceptes que je vais vous donner, vous n'avez dans quatre ans ruiné cent Familles, et acquis une BaiIons dans l'aris.
3RAPINIAN.	3RAPINIAN.
Dix Maiſons dans Paris!	Dix Maisons dans Paris!
COQUINIERE.	COQUINIERE.
Oüy, dix Maiſons dans Paris;	Oui, dix Maisons dans Paris;
& par deſſus cela, un bon Carroſſe pour võtre Periilllo.	et par -dessus cela, un bon Carrosse pour votre Périilllo.
GRAPINIAN.	GRAPINIAN.
L’habile Homme!	L'habile Homme!
COQUINIERE.	COQUINIERE.
Tel que vous me voyez, à l’âge de quarante ans, j’avois déja amaſſé deux cens mille livres de bon Bien;	Tel que vous me voyez, à l'âge de quarante ans, j'avais déjà amassé deux cens mille livres de bon Bien;
& ſi en ce tempsla, les Femmes de Procureur euſſent oſé porter de la dorure ſur leurs Habits, & avoir des Carroſſes, la mienne en auroit eu a bonnes enſeignes;	et si en ce tempsla, les Femmes de Procureur eussent osé porter de la dorure sur leurs Habits, et avoir des Carrosses, la mienne en aurait eu a bonnes enseignes;
mais la mode n’en eſtoit pas encore venuë.	mais la mode n'en était pas encore venue.
GRAPINIAN.	GRAPINIAN.
M’Coquiniere, de grûce, donnez-moy de bonnes Inſtructions pour ne plus aller a pied.	M'Coquinière, de grûce, donnez-moi de bonnes Instructions pour ne plus aller à pied.
Je ſçay déja tout le petit Manége de l’Etude;	Je sais déjà tout le petit Manège de l'Eude;
mais je ne ſçay pas encore les coups de Maiſtre, qui font aller en Carroſſe.	mais je ne sais pas encore les coups de Maître, qui font aller en Carrosse.
COQUINIERE.	COQUINIERE.
Doucement, doucement, on ne va pas ſi viſte dans noſtre Meſtier.	Doucement, doucement, on ne va pas si vite dans notre Métier.
Dites-moy auparavant, aimez vous bien l’argent?	Dites-moi auparavant, aimez -vous bien l'argent?
Vous ſentez-vous d’humeur a tout faire pour en amaſſer?	Vous sentez-vous d'humeur a tout faire pour en amasser?
GRAPINIAN.	GRAPINIAN.
Malepeſte, ſi j’aime l’archt.	Malepeste, si j'aime l'archaît.
COQUINIERE.	COQUINIERE.
Bon, tant-mieux, vous voila deja à demy Procureur.	Bon, tant-mieux, vous voilà déjà à demi Procureur.
Mon Fils, attachetoy aux Saiſies réelles, aux Préferences de deniers;	Mon Fils, attachetoy aux Saisies réelles, aux Préférences de deniers;
remue Ciel & Terre pour eſtre Procureur des bonnes Directions;	remue Ciel et Terre pour être Procureur des bonnes Directions;
& ſur tout, ne t’endors jamais turmaeConſignation;	et sur tout, ne t'endors jamais turmaeConsignation;
c’eſt le vray Patrimoine des Procureurs.	c'est le vrai Patrimoine des Procureurs.
Qu’on ne vous voye que rarement aux Audiances;	Qu'on ne vous voit que rarement aux Audiances;
apliquezvous aux Procés par écrit, & multipliez ſi adroitement les Incidens, & la Procédure, qu’uncAffaire blanchiſſe dans voſtre Etude, avant que d’eſtre jugée.	apliquezvous aux Procès par écrit, et multipliez si adroitement les Incidents, et la Procédure, qu'uncAffaire blanchisse dans votre Étude, avant que d'être jugée.
Sur tout, prenez garde de ne conſentir jamais à aucun Arreſt définitif, c’eſt la peſte des Etudes.	Sur tout, prenez garde de ne consentir jamais à aucun Arrest définitif, c'est la peste des Éudes.
GRAPINIAN.	GRAPINIAN.
On voit bien que vous l’entendez.	On voit bien que vous l'entendez.
COQUINIERE.	COQUINIERE.
Dans noſtre Meſtier, le vray talent & le grand gain, c’eſt de beaucoup ccrire.	Dans notre Métier, le vrai talent et le grand gain, c'est de beaucoup ccrire.
GRAPINIAN.	GRAPINIAN.
Mais que dire en tant d’Ecritures?	Mais que dire en tant d'Écritures?
COQUINIERE.	COQUINIERE.
Que dire?	Que dire?
Le pauvre Homme!	Le pauvre Homme!
Il faut dire des ſottiſes, des impertinences, des ſupoſitions, des fauſſetez;	Il faut dire des sottises, des impertinences, des supositions, des faussetés;
& quand on eſt à bout, on a recours aux invectives, & aux injures.	et quand on est à bout, on a recours aux invectives, et aux injures.
GRAPINIAN.	GRAPINIAN.
Cent lencemure, velde	Cent lencemure, velde
COQUINIERE.	COQUINIERE.
Tu vois que je te parle en Pere, & que je te decouvre les entrailles de noſtre Profeſſion.	Tu vois que je te parle en Père, et que je te découvre les entrailles de notre Profession.
Que je ſeray conſole en mourant, ſi je te vois ſuivre le bon chemin où je te meus!	Que je serai console en mourant, si je te vois suivre le bon chemin où je te meus!
Voila, mon Fils, les Preceptes les plus ſolides que mon honneur & ma conſcience m’obligent de te donner, ſi tu veux ẽtablir ta fortune.	Voilà, mon Fils, les Préceptes les plus solides que mon honneur et ma conscience m'obligent de te donner, si tu veux ẽtablir ta fortune.
GRAPINIAN.	GRAPINIAN.
Mr Coquiniere;	Mr Coquinière;
la, franchement, dites-moy combien voſtre Etude me vaudra-t-elle par an?	la, franchement, dites-moi combien votre Étude me vaudra-elle par an?
COQUINIERE.	COQUINIERE.
Hé, cela n’ira pas loin de deux iiie fralles;	Hé, cela n'ira pas loin de deux jiie fralles;
la Maiſon défrayee.	la Maison défraie.
GRAPINIAN.	GRAPINIAN.
Deux mille francs deux mille francs!	Deux mille francs deux mille francs!
Vous vous nis queuyrs n’eſt pas là dequoy avoir un Habit d’Eté pour maFemme.	Vous vous nis queurir n'est pas là dequoy avoir un Habit d'Été pour maFemme.
Je ne veux point de voſtre claendue.	Je ne veux point de votre clendue.
COQUINIERE.	COQUINIERE.
Voſtre Femme le porte donc bien haut!	Votre Femme le porte donc bien haut!
GRAPINIAN.	GRAPINIAN.
Haut, comme les autres Procureuſes.	Haut, comme les autres Procureuses.
COQUINIERE.	COQUINIERE.
He, mon Dieu, doucement, les deux mille francs ne ſont que le courant de l’Etude;	He, mon Dieu, doucement, les deux mille francs ne sont que le courant de l'Etude;
mais le tour du Baſton, & le ſçavoir faire, valent encore mille bonnes Piſtoles par an.	mais le tour du Bâton, et le savoir faire, valent encore mille bonnes Pistoles par an.
GRAPINIAN.	GRAPINIAN.
Ha, ſi cela eſt, l’Affaire change de face.	Ha, si cela est, l'Affaire change de face.
Hé-bien, M Coquiniere, retenez pour vous le courant de l’Etude, & vendez-moy le tour du Baſton, & le ſçavoir fairc.	Hé-bien, M Oquinière, retenez pour vous le courant de l'Etude, et vendez-moi le tour du Bâton, et le savoir fairc.
COQUINIERE.	COQUINIERE.
L’un ne va pas ſans l’autre;	L'un ne va pas sans l'autre;
& puis que vous avez ſigné le Contract, vous aurez le tout enſemble.	et puis que vous avez signé le Contrat, vous aurez le tout ensemble.
He, que vous me remercirez avant qu’il ſoit un an!	He, que vous me remercirez avant qu'il soit un an!
GRAPINIAN.	GRAPINIAN.
Que je feray de mal avant qu’il ſoit ſix mois!	Que je ferai de mal avant qu'il soit six mois!
Un Chien enrage n’eſt pas ſi dangereux qu’un jeun e Procureur.	Un Chien enrage n'est pas si dangereux qu'un jeun eu Procureur.
Malheur à coun quicemberone lous ma coupe.	Malheur à coun quicembérone lous ma coupe.
SCENE II.	SCÈNE II.
LA MATRONE, GRAPINIAN.	LA MATRONE, GRAPINIAN.
A MATRONE.	À MATRONE.
E’-bien?	E'bien?
eſtes-vous i content de la Char ge que jevous ay achetée?	êtes-vous y content de la Char ge que jevous ai achetée?
GRAPINIAN.	GRAPINIAN.
Je viens d’eſtre inſtruit par un vieux Routier qui m’a donné de bonnes leçons.	Je viens d'être instruit par un vieux Routier qui m'a donné de bonnes leçons.
Il m'a découvert i ſqu’aux entrailles de la Profeſſion.	Il m'a découvert y squ'aux entrailles de la Profession.
A préſent que vcy clair, je feray merVLiS.	À présent que vci clair, je ferai merULiS.
EMMMRII	EMMRII
4 21 LA MATRONE.	4 21 LA MATRONE.
iincriu Mn Be Mais quand prétendezvous m’épouſer?	jincriv Mn Be Mais quand prétendezvous m'épouser?
GRAPINIAN.	GRAPINIAN.
Ne vous mettez en peine de rien.	Ne vous mettez en peine de rien.
