ADVIS AV LECTEVR.	ADVIS AU LECTEUR.
Et deffences ſont faites à tous Libraires & Imprimeurs, d’imprimer, faire imprimer, vendre & debiter le- dit livre ſans le conſentement de l’Expoſant, ou de ceux qui auront droit de luy, à peine de ſix mille livres d’amende, confiſcation des Exemplaires contrefaits, & de tous deſpens, dommages & intereſts, ainſi qu’il eſt porté plus au long par ledit Privilege.	Et défens sont es à tous Libraires et Imprimeurs, d'imprimer, faire imprimer, vendre et débiter le- dit livre sans le consentement de l'Exposant, ou de ceux qui auront droit de Seigneur, à peine de six mille livres d'amende, confiscation des Exemplaires contrefaits, et de tous dépens, dommages et intérêts, ainsi qu'il est porté plus au long par ledit Privilège.
Et ledit Sieur Maſeré a cedé ſon droit de Privilege a Pierre le Monnier, pour en joüir, ſuivant l’accord fait entre eux.	Et ledit Sieur Maseré a cédé son droit de Privilège a Pierre le Monnier, pour en jouir, suivant l'accord fait entre eux.
Regiſtré ſur le Livre de la Communauté, ſuivant l'Arreſt de la Cour de Parlement, le 22.	Registré sur le Livre de la Communauté, suivant l'Arrêt de la Cour de Parlement, le 22.
Iuin 1671i Signé, L.	Juin 1671i Signé, L.
SEVESTRE, Syndic.	SEVESTRE, Syndic.
Achevé d’imprimer pour la premiere fois, le 4.	Achevé d'imprimer pour la première fois, le 4.
Septembre 1671.	Septembre 1671.
PIECES	PIÈCES
IVERSES ET GALANTES.	IVERSES ET GALANTES.
s' occupent les honneſtes Gens pendant l’Hyver, n’avoit pas encor engagé ſa liberté, lors que ſans deſſein de la perdre il entra un Dimanche à onze heures du matin dans S.	s' occupent les honnêtes Gens pendant l'Hiver, n'avait pas encor engagé sa liberté, lors que sans dessein de la perdre il entra un Dimanche à onze heures du matin dans S.
Germain de l’Auxer.	Germain de l'Auxer.
rois.	rois.
L’on ſçait que cette Egliſe eſt le lieu où les Belles;	L'on sait que cette Église est le lieu où les Belles;
autant attirées pour recevoir des hommages que pour en rendre, s’aſſemblent en plus grand nombre qu’en aucun autre.	autant attirées pour recevoir des hommages que pour en rendre, s'assemblent en plus grand nombre qu'en aucun autre.
Il en avoit déja parcouru des yeux les endroits meſme les plus écartez, & n’avoit pourtant point encon trouvé un Objet capable de fixer ſes y pun trrans dans la foule des aimables Perſonnes qui s’y rencontroient, quand il vit arriver une Dame maſquée, fort bien faite, richetageuſe, dont le port eſtoit plein de majeſté, & qui ſembloit à ſes yeux emporter le prix ſur toutes celles qui s’eſtoient preſentées à luy.	Il en avait déjà parcouru des yeux les endroits même les plus écartés, et n'avait pourtant point encon trouvé un Objet capable de fixer ses y pun trans dans la foule des aimables Personnes qui s'y rencontraient, quand il vit arriver une Dame masquée, fort bien faire, richetageuse, dont le port était plein de majesté, et qui semblait à ses yeux emporter le prix sur toutes celles qui s'étaient presentées à lui.
Il s’attacha particulierement à elle.	Il s'attacha particulièrement à elle.
& attendit quelque temps avec impatience qu’elle oſtât ſon maſque.	et attendit quelque temps avec impatience qu'elle ôtât son masque.
Ce qu’elle fit, car elle ne reſſentoit pas moins d’envie d’eſtre veuë, que noſtre Cavalier avole de deſir de la voir.	Ce qu'elle fit, car elle ne ressentait pas moins d'envie d'être vue, que notre Cavalier avole de désir de la voir.
Le Chevalier d’Ablancour (c’eſt le nom du Gentilhomme) ne fut pas trompé dans ſon attente, car elle ne parut pas moins belle à ſes yeux, qu’elle leur avoit ſemblé bien faite.	Le Chevalier d'Ablancour (c'est le nom du Gentilhomme) ne fut pas trompé dans son attente, car elle ne parut pas moins belle à ses yeux, qu'elle leur avait semblé bien faire.
Il remarqua ſur ſon viſage plus de beauté que ſon imagination ne s’en eſtoit pu former.	Il remarqua sur son visage plus de beauté que son imagination ne s'en était pu former.
Elle jetta d’abord quelques regards ſur luy, dont la douceur acheva l’ouvrage de ſes apas, & le rendit en un moment paſſionément amoureux.	Elle jeta d'abord quelques regards sur lui, dont la douceur acheva l'ouvrage de ses appas, et le rendit en un moment passionément amoureux.
Le Chevalier ne ceſſa point pendant quelque temps de la regarder, comme celle qui poſſedoit entierement ſon cœur.	Le Chevalier ne cessa point pendant quelque temps de la regarder, comme celle qui possédait entièrement son cœur.
La Dame Dargin (c’eſt le nom de noltre Galante yne le regarda pas moins:	La Dame Dargin (c'est le nom de noltre Galante yne le regarda pas moins:
Ainſi la ſimpathie agiſſant ſur leurs ames, ils ſembloient par leurs yeux que leurs deſirs eſtoïent d’intelligence, & que dans leur ardeur mutuelle ils ſe lendoient vœux pour vœux.	Ainsi la sympathie agissant sur leurs âmes, ils semblaient par leurs yeux que leurs désirs étaient d'intelligence, et que dans leur ardeur mutuelle ils se lendaient vœux pour vœux.
La Meſſe s’acheva, la Dame Dargin fut obligée de ſortir.	La Messe s'acheva, la Dame Dargin fut obligée de sortir.
Ablancourt la ſuivit, n’oſant l'aborder, dans l’incertitude où il eſtoit d’en eſtre favorablement reçeu;	Ablancourt la suivit, n'osant l'aborder, dans l'incertitude où il était d'en être favorablement reçu;
mais par malheur il la vit entrer dans ſon Carroſſe qui l’attendoit, & n’eût pour tout fruit de l’amour qu’il venoit de prendre, que la ſatisfaction de ſalüer celle qui la luy avoit donne.	mais par malheur il la vit entrer dans son Carrosse qui l'attendait, et n'eût pour tout fruit de l'amour qu'il venait de prendre, que la satisfaction de saluer celle qui la lui avait donne.
A iij 6 La Dame répondit à ſa civilité.	À jij 6 La Dame répondit à sa civilité.
Le Chevalier qui n’avoit point de Laquais alors, voulut ſuivre ſa Maiſtreſſe pour apprendre le lieu de ſa demeure:	Le Chevalier qui n'avait point de Laquais alors, voulut suivre sa Maîtresse pour apprendre le lieu de sa demeure:
mais quelle apparence qu’un Homme de pied, fort proprement chauſſé, euſt pû aller auſſi viſte qu’un Carroſſe?	mais quelle apparence qu'un Homme de pied, fort proprement chaussé, eût pu aller aussi vite qu'un Carrosse?
Il fut donc obligé de ſe déſiſter en meſme temps & de ſa pourſuite, & de l’eſperance de la revoir jamais.	Il fut donc obligé de se désister en même temps et de sa poursuite, et de l'espérance de la revoir jamais.
Triſte & réveur, il retourna à l’Hôtel de Montbaſon où il eſtoit logé:	Triste et rêveur, il retourna à l'Hôtel de Montbason où il était logé:
Y eſtant arrivé, il reçeut une Lettre de ſon Pere, dans laquelle il luy en envoyoit une autre adreſſante à un de ſes Amis, nommé Dorgemont, avec charge expreſſe de la porter luy-meſme, & de la rendre en main propre.	Y étant arrivé, il reçut une Lettre de son Père, dans laquelle il lui en envoyait une autre adressante à un de ses Amis, nommé Dorgemont, avec charge expresse de la porter lui-même, et de la rendre en main propre.
Ablancour ne ſe mettoit pas fort en peine d’executer l’ordre de ſon Pere;	Ablancour ne se mettait pas fort en peine d'exécuter l'ordre de son Père;
car ce ſoin eſt ce qui inquiete le moins les jeunes Gens.	car ce soin est ce qui inquiète le moins les jeunes Gens.
Toutefois deux jours apres il l’alla porter à ſon adreſſe.	Toutefois deux jours après il l'alla porter à son adresse.
Cer Amy nommé Dorgemont, logeoit dans la Ruë de Guenegaud, au bout du Pontneuf.	Cer Ami nommé Dorgemont, logeait dans la Rue de Guenégaud, au bout du Pontneuf.
Il fut fort étonné de voir qu’en entrant dans une Chambre où l’on luy avoit dit de monter, la premiere Perſonne qui ſe preſenta à ſes yeux, eſtoit cette Belle qui l’avoit charmé dans S.	Il fut fort étonné de voir qu'en entrant dans une Chambre où l'on lui avait dit de monter, la première Personne qui se présenta à ses yeux, était cette Belle qui l'avait charmé dans S.
Ger.	Ger.
5 ſu main de l’Auxerrois le Di v manche precedent.	5 su main de l'Auxerrais le Di v manche précèdent.
Il fût d’a.	Il fût d'a.
fa bord ſi ſurpris de ce bonheur ineſperé, qu’il demeura interdit.	fa bord si surpris de ce bonheur inespéré, qu'il demeura interdit.
La Dame le reconnut;	La Dame le reconnut;
& craignant, à cauſe de l'humeur fâcheuſe de ſon Mary, que l’amour qu’il avoit pâru prendre pour elle, ne fût le ſeul ſujet de ſa viſite, elle s’informa d’abord de ce qu’il demandoit;	et craignant, à cause de l'humeur fâcheuse de son Mari, que l'amour qu'il avait pâtru prendre pour elle, ne fût le seul sujet de sa visite, elle s'informa d'abord de ce qu'il demandait;
Il luy fit réponſe qu’il en vouloit à Monſieur Dorgemont.	Il a fit réponse qu'il en voulait à Monsieur Dorgemont.
Cette Belle le mena à ſon Mary;	Cette Belle le mena à son Mari;
car il avoit deux noms, tantoſt il ſe nommoit Dargin, & tantoſt Dorta ( I0 C.	car il avait deux noms, tantôt il se nommait Dargin, et tantôt Dorta ( I0 Ç.
d L I a n H ſ gemont.	d L I a n ' y gémont.
Ce fut une ſeconde ſurpriſe pour le Chevalier, de voir que le hazard luy avoit fait trouver un lieu qu’il avoit tant deſiré d’apprendre, & que ce Dorgemont, Amy de ſon Pere eſtoit l’Epoux, de celle qui faiſoit ſes plus tendres deſirs.	Ce fut une seconde surprise pour le Chevalier, de voir que le hasard lui avait fait trouver un lieu qu'il avait tant désiré d'apprendre, et que ce Dorgemont, Ami de son Père était l'Époux, de celle qui faisait ses plus tendres désirs.
Ayant ouvert la Lettre qu’il luy avoit apportée, cet Homme le reçeut avec toute la civilité imaginable.	Ayant ouvert la Lettre qu'il lui avait apportée, cet Homme le reçut avec toute la civilité imaginable.
Ablancour luy demanda par grace de ſouffrir qu’il le vinſt quelquefois viſiter, pour entretenir avec le Fils l’amitié qu’il avoit ſi étroitement liée à l’Armée avec le Pere.	Ablancour Seigneur demanda par grâce de souffrir qu'il le vinst quelquefois visiter, pour entretenir avec le Fils l'amitié qu'il avait si étroitement liée à l'Armée avec le Père.
Dorgemont prenoit ombrage de tout le monde.	Dorgemont prenait ombrage de tout le monde.
Il craignoit fort, & avec raiſon, que les viſites de ce jeune Blondin ne tendiſſent pas tant à le voir, qu'à cajoler la Femme.	Il craignait fort, et avec raison, que les visites de ce jeune Blondin ne tendissent pas tant à le voir, qu'à cajoler la Femme.
Il euſt bien voulu luy refuſer une faveur qu’i n’avoit encor accordée à per ſonne;	Il eût bien voulu autre refuser une faveur qu'y n'avait encor accordée à per sonne;
mais l’engagement qu’il avoit avec ſon Pere, ne luy ayant pû permettre, il luy dit d’un ton forcé, qu’il ſeroit le bien venu, mais qu’il n’en prît pas la peine.	mais l'engagement qu'il avait avec son Père, ne Vous ayant pu permettre, il lui dit d'un ton forcé, qu'il serait le bien venu, mais qu'il n'en prît pas la peine.
Le Chevalier ſortit fort réjoüy d’avoir en meſme temps ſatisfait à ſon devoir, & trouvé l’occaſion de voir celle qui l’avoit charmé.	Le Chevalier sortit fort réjoui d'avoir en même temps satisfait à son devoir, et trouvé l'occasion de voir celle qui l'avait charmé.
Retournama u mommunerge, il rencontra ſur le Pont-neuf un de ſes Amis, nommé Derville, qui eſtoit pareillement de Lyon.	Retournama u mommunerge, il rencontra sur le Pont-neuf un de ses Amis, nommé Derville, qui était pareillement de Lyon.
Ils s’embraſſerent;	Ils s'embrassèrent;
& pour renouveller connoiſſance, ils allerent diſner enſemble.	et pour renouveler connaissance, ils allèrent dîner ensemble.
Pendant le repas (comme il eſt aſſez ordinaire aux jeunes Gens de faire vanité de leurs bonnes fortunes) Derville fit confidence à Ablancour, qu’il aimoit tendrement une jeune Beauté mariée depuis peu de temps à un Vieillard, qui en eſtoit extrémement jaloux.	Pendant le repas (comme il est assez ordinaire aux jeunes Gens de faire vanité de leurs bonnes fortunes) Derville fit confidence à Ablancour, qu'il aimait tendrement une jeune Beauté mariée depuis peu de temps à un Vieillard, qui en était extrêmement jaloux.
Il luy dépeignit la belle Dargin, & luy marqua ſa demeure.	Il lui dépeignit la belle Dargin, et ton marqua sa demeure.
Le Chevalier fut bien étonné 12 d’apprendre que le hazard avoit fait rencontrer leur cœur en meſme lieu.	Le Chevalier fut bien étonné 12 d'apprendre que le hasard avait fait rencontrer leur cœur en même lieu.
Il ne luy découvrit pourtant rien de ſa paſſion naiſſante;	Il ne notre découvrit pourtant rien de sa passion naissante;
& feignant navoir autre intereſt dans cet entretien, que celuy de ſon Amy, il l’interrogeoit inſenſiblement ſur toutes les particularitez qu’il vouloit ſçavoir.	et feignant navoir autre intérêt dans cet entretien, que celui de son Ami, il l'interrogeait insensiblement sur toutes les particularités qu'il voulait avoir.
Il apprit de Derville que la belle Dargin eſtoit d’une humeur douce & engageante;	Il apprit de Derville que la belle Dargin était d'une humeur douce et engage;
qu’elle faiſoit beaucoup de juſtice au merite;	qu'elle faisait beaucoup de justice au mérite;
mais qu’il n’eſtoit pas poſſible de la voir autre-part que dans les Auguſtins, où elle alloit tous les matins à onze heures;	mais qu'il n'était pas possible de la voir autre-part que dans les Augustins, où elle allait tous les matins à onze heures;
& que & Galantes.	et que et Galantes.
13 pour ſon particulier, il n’avoit jamais eu de converſation avec elle que dans ce lieu.	13 pour son particulier, il n'avait jamais eu de conversation avec elle que dans ce lieu.
Son vieux Mary l’accompagnant par tout ailleurs, Ablancour ne tira pas une legere inſtruction du diſcours de ſon Rival, touchant ce qu’il avoit à faire.	Son vieux Mari l'accompagnant par tout ailleurs, Ablancour ne tira pas une légère instruction du discours de son Rival, touchant ce qu'il avait à faire.
Dans la premiere viſite qu’ilrendit quelque temps apres au Sieur Dargin, il affecta une froideur extréme pour ſa Femme.	Dans la première visite qu'ilrendit quelque temps après au Sieur Dargin, il affecta une froideur extrême pour sa Femme.
Ils tomberent ſur la converſation des Mariages.	Ils tombèrent sur la conversation des Mariages.
Dargin luy dit qu’il y avoit à Paris un nombre inſiny de Galants, dont l’approche eſtoit fort dangereux;	Dargin avait dit qu'il y avait à Paris un nombre insiny de Galants, dont l'approche était fort dangereux;
que les Maris y eſtoient ſi malheureux, qu’ils avoient toûjours quelques nouveaux ſujets de crainte;	que les Maris y étaient si malheureux, qu'ils avaient toujours quelques nouveaux sujets de crainte;
& qu’à moins d’eſtre ſans amour pour ſa Femme, ou ſans ſoin de ſon honneur, on ne pouvoit goûter aucun repos dans le Mariage.	et qu'à moins d'être sans amour pour sa Femme, ou sans soin de son honneur, on ne pouvait goûter aucun repos dans le Mariage.
Il ſemble, luy diſoit-il, à ces Meſſieurs, qu'on ne prend une Femme que pour la partager avec eux, & que l’Hymenée n’eſt qu’un voile dont on ne ſe couvre que pour entretenir ſon libertinage avec quelque ſorte d’honeſteté, & ſe parer des traits de la médiſance.	Il semble, lui disait-il, à ces Messieurs, qu'on ne prend une Femme que pour la partager avec eux, et que l'Hyménée n'est qu'un voile dont on ne se couvre que pour entretenir son libertinage avec quelque sorte d'honnêteté, et se parer des traits de la médisance.
Ablancour luy avoüa franchement, que ce qu’il diſoit eſtoit fort veritable, & qu’il ne devoit pas luy-meſme eſtre exempt de cette peur, ayant une Femme aimable comme eſtoit la ſienne;	Ablancour lui avoua franchement, que ce qu'il disait était fort véritable, et qu'il ne devait pas toujours-même être exempt de cette peur, ayant une Femme aimable comme était la sienne;
d’autant plus, qu’il ſçavoit de bonne part qu’un certain Derville ſuivoit par tout ſes pas, & que meſme il ſe rendoit tous les matins à onze heures aux Auguſtins pour la voir.	d'autant plus, qu'il savait de bonne part qu'un certain Derville suivait par tout ses pas, et que même il se rendait tous les matins à onze heures aux Augustins pour la voir.
Il luy conſeilla charitablement d’y donner ordre.	Il avait conseilla charitablement d'y donner ordre.
Le Jaloux ſe mit fort en colere;	Le Jaloux se mit fort en colère;
mais le Chevalier le rapaiſa, en l’aſſurant que ce meſme Derville luy avoit avoüé que la fierté de la belle Dargin s’eſtoit toûjours oppoſée aux tendres mouvemens de ſon amour.	mais le Chevalier le rapaisa, en l'assurant que ce même Derville avait avait avoué que la fierté de la belle Dargin s'était toujours opposée aux tendres mouvements de son amour.
Il luy di neantmoins que pour empeſcher les ſuites de cette paſſion illégitime, il devoit luy faire changer l’heure qu’elle alloit à la Meſſe.	Il avait di néanmoins que pour empêcher les suites de cette passion illégitime, il devait quelque faire changer l'heure qu'elle allait à la Messe.
Dargin réſolut dés ce moment, qu’au lieu de la Meſſe de onze heures, qui eſt l'heure du rendez-vous de ceux qui y vont moins pa devotion que par galanterie elle iroit doreſnavant à celle de neuf.	Dargin résolut dès ce moment, qu'au lieu de la Messe de onze heures, qui est l'heure du rendez-vous de ceux qui y vont moins pa dévotion que par galanterie elle irait dorénavant à celle de neuf.
Ablancour avoit donné ce conſeil à Dargin plutoſt pour ne point rencontrer Derville, & luy oſter tout moyen de partager avec luy la preſence de la belle Dargin, que pour l’intereſt qu’il I qu’il prenoit à l’honneur de ſon Mary.	Ablancour avait donné ce conseil à Dargin plutôt pour ne point rencontrer Derville, et lui ôter tout moyen de partager avec lui a présence de la belle Dargin, que pour l'intérêt qu'il I J'il prenait à l'honneur de son Mari.
Il ſentit une joye extrémne d’avoir obtenu ce qu’il ſouhaitoit ſi ardamment.	Il sentit une joie extrémne d'avoir obtenu ce qu'il souhait si ardamment.
Faiſant une reflexion morale.	Faisant une réflexion morale.
Je ne puis concevoir, luy dit-il, comment il y a des Perſonnes au monde capables de faire violer à une Femme la foy qu’elle a ſi ſolemnellement promiſe à ſon Mary.	Je ne puis concevoir, une dit-il, comment il y a des Personnes au monde capables de faire violer à une Femme la foi qu'elle a si solennellement promise à son Mari.
Ah!	Ah!
que ſi tout le monde eſtoit de mon humeur, s'écria-t-il, l’honneur des Maris ne ſeroit guere inquieté, puis que quand meſme malgré la repugnance que j’ay pour les Femmes mariées, mon cœur, par les charmes ſecrets de la 18 ſimpathie, deviendroit ſenſible pour une Perſonne de cette qualité, & qu’elle me voulût favoriſer d’une converſation ſecrette, je rejetterois une telle faveur, parce que je n’en pourois joüir que par une infidelité qui m'eſt odieuſe Ces beaux ſentimens charmerent le bon Homme;	que si tout le monde était de mon humeur, s'écria-t-il, l'honneur des Maris ne serait guère inquiété, puis que quand même malgré la répugnance que j'ai pour les Femmes mariées, mon cœur, par les charmes secrets de la 18 sympathie, deviendrait sensible pour une Personne de cette qualité, et qu'elle me voulut favoriser d'une conversation secrette, je rejetterais une telle faveur, parce que je n'en pourrais j' en pourrais amir que par unest odieuse Ces beaux sentiments charmèrent le bon Homme;
car de la maniere dont Ablancour parloit, il auroit perſuadé aux plus défians que ſon diſcour eſtoit ſincere.	car de la manière dont Ablancour parlait, il aurait persuadé aux plus défiants que son discour était sincère.
Dargin loüs fort ſa vertu, & bannit toutes défiances à ſon égard.	Dargin lous fort sa vertu, et bannit toutes défiances à son égard.
Il le pria, qu’en cas que Derville tramât quelque choſe contre ſon honneur, il l’en vinſt aver & Gliantes.	Il le pria, qu'en cas que Derville tramât quelque chose contre son honneur, il l'en vinst aver et Gliantes.
tir;	tir;
ce qu’Ablancour luy promit.	ce qu'Ablancour lui promit.
Il ne fut pas plutoſt ſorty, que noſtre dupe alla trouver ſa Femme, & luy conta leur entretien, avec tant d’éloges du Chevalier, que quand il n’auroit pas eu aſſez de charmes de luy-meſme, pour avoir plû à la Dame, le diſcours de ſon Mary euſt eſté capable de luy faire concevoir une forte eſtime pour ſa perſonne.	Il ne fut pas plutôt sorti, que notre dupe alla trouver sa Femme, et même conta leur entretien, avec tant d'éloges du Chevalier, que quand il n'aurait pas eu assez de charmes de m-même, pour avoir plu à la Dame, le discours de son Mari eût été capable de lui faire concevoir une forte estime pour sa personne.
Comme elle eſtoit déja épriſe des belles qualitez qu'elle voyoit briller en luy, & aſpiroit à en eſtre aimée;	Comme elle était déjà éprise des belles qualités qu'elle voyait briller en lui, et aspirait à en être aimée;
la converſation qu’il avoit euë avec le Sieur Dargin, la fâcha, croyant que ſa bouche avoit exprimé les ſentimens de ſon cœur;	la conversation qu'il avait eue avec le Sieur Dargin, la fâcha, croyant que sa bouche avait exprimé les sentiments de son cœur;
mais n’ayant pas moins d’eſprit que de paſſion, elle revint tout d’un coup de ſon erreur, & ſe flata que ce n’eſtoit qu’une ruſe dont il s’eſtoit ſervy pour si affranchir des ſoupçons du Jaloux.	mais n'ayant pas moins d'esprit que de passion, elle revint tout d'un coup de son erreur, et se flatta que ce n'était qu'une ruse dont il s'était servi pour si affranchir des soupçons du Jaloux.
Le lendemain a neuf heures, nos Amans ſe virent aux Auguſtins, où leurs yeux furent trop éloquens par leur langueur, pour ne pas rendre leurs cœurs certains de l’ardeur mutuelle dont ils brûloient l'un pour l’autre.	Le lendemain a neuf heures, nos Amants se virent aux Augustins, où leurs yeux furent trop éloquents par leur langueur, pour ne pas rendre leurs cœurs certains de l'ardeur mutuelle dont ils brûlaient l'un pour l'autre.
Ablancour aimoit la belle Dargin avec tant de tendreſſe, qu’il euſt bien ſouhaité l’entretenir nuit & jour:	Ablancour aimait la belle Dargin avec tant de tendresse, qu'il eût bien souhaité l'entretenir nuit et jour:
à peine l’avoit-il quittée, qu’il ne reſvoit qu’aux moyens de la revoir.	à peine l'avait-il quittée, qu'il ne rêvait qu'aux moyens de la revoir.
Sur l’apreſdiſnée il chercha un pretexte aupres du Mary, afin que ſes viſites fi frequentes ne luy parûſſent point ſuſpectes;	Sur l'apresdisnée il chercha un prétexte auprès du Mari, afin que ses visites fi fréquentes ne lui parussent point suspectes;
mais il fut inutile, car ſon honheur luy fit trouver cette Belle ſans témoins.	mais il fut inutile, car son honheur Seigneur fit trouver cette Belle sans témoins.
Il l’aborda d’un viſage où la joye la plus parfaite eſtoit peinte, & en peu de mots luy marqua la violence de ſon amour telle qu’il la reſſentoit.	Il l'aborda d'un visage où la joie la plus parfaite était peinte, et en peu de mots nous marqua la violence de son amour telle qu'il la ressentait.
La fauſſe Inſenſible luy demanda d’un air demy enjoüé & demy ſérieux, ſi de tels diſcours devoient s’adreſſer à une Femme 22 Pieces Ducerpes, engagée ſous les loix du Mariage.	La fausse Insensible lui demanda d'un air demi enjoüé et demi sérieux, si de tels discours devaient s'adresser à une Femme 22 Pièces Ducerpes, engagée sous les lois du Mariage.
Le Chevalier luy demanda à ſon tour, ſi pour eſtre mariée, une Perſonne auſſi aimable que la belle Dargin, avoit moins le don de charmer, & ſi l’on devoit eſtre moins ſenſible à l’éclat de ſes beaux yeux.	Le Chevalier lui demanda à son tour, si pour être mariée, une Personne aussi aimable que la belle Dargin, avait moins le don de charmer, et si l'on devait avoir moins sensible à l'éclat de ses beaux yeux.
Voſtre feu luy dit-elle, n’eſt pas legitime.	Votre feu Seigneur dit-elle, n'est pas légitime.
Hé pourquoy, Madame?	Hé pourquoi, Madame?
repartit Ablancour d’un ton radoucy.	répartit Ablancour d'un ton radouci.
Croyez-vous que l'on ſe marië pour renoncer au bonheur d’aimer, & d’eſtre aimée?	Croyez-vous que l'on se marie pour renoncer au bonheur d'aimer, et d'être aimée?
Non, non, c’eſt une erreur;	Non, non, c'est une erreur;
ſi le Mariage eſt un établiſſement pour les Perſonnes, il n’en eſt pas un pour les cœurs.	si le Mariage est un établissement pour les Personnes, il n'en est pas un pour les cœurs.
Vous voulez donc, repartit cette Belle, me pouſſer entierement a bout?	Vous voulez donc, répartit cette Belle, me pousser entièrement a bout?
