A PARIS M.	À PARIS M.
le Comte de Soiſſons.	le Comte de Soissons.
Monſieur le Comte de Soiſſons.	Monsieur le Comte de Soissons.
Eſt ce toy Cardinal que ton viſage eſt bleſme, Eſt-ce là ta Couleur	Est -ce toi Cardinal que ton visage est blême, Est-ce là ta Couleur
Le Cardinal.	Le Cardinal.
n Monſieur c’eſt moy meſmes Qui n’aiant peu flechir perſonne dans ces lieux, Quoi que voſtre bourreau me preſente à vos yeux, Vous Monſieur qui auez vne ame genereuſe Ayez quelque pitié de cette malheureuſe.	n Monsieur c'est moi mêmes Qui n'ayant peu fléchir personne dans ces lieux, Quoi que votre bourreau me présente à vos yeux, Vous Monsieur qui avez une âme généreuse Ayez quelque pitié de cette malheureuse.
Monſieur le Comte.	Monsieur le Comte.
M’oſe tu bien prier d’auoir pitié de toi, Impudent, inhumain, qui as veſcu ſans loi, Tu faiſois vanité de trahir tout le monde Et ta meſchanceté n’euſt iamais de ſeconde, Pour regner ſeurement, pour faire des threſors, Pour te faire valoir tu cauſois mille maux, Que la France à iamais en verſera des larmes, Tu as eſmeu l’Europe à deſrouiller leurs armes, Et reſpandre le ſang de beaucoup de mortels, Toi qui deuoit ſonger ſeulement aux Autels, Veux tu pas que le Ciel te pardonne ces crimes Qui ſont ſi bien peuplez de ſanglantes victimes.	M'ose tu bien prier d'avoir pitié de toi, Impudent, inhumain, qui as vécu sans lois, Tu faisais vanité de trahir tout le monde Et ta méchanceté n'eût jamais de seconde, Pour régner sûrement, pour faire des trésors, Pour te faire valoir tu causais mille maux, Que la France à jamais en versera des larmes, Tu as ému l'Europe à dérouiller leurs armes, Et répandre le sang de beaucoup de mortels, Toi qui devait songer seulement aux Autels, Veux Vers pas que le Ciel te pardonne ces crimes Qui sont si bien peuplez de sanglantes victimes.
Que tu as fait mourir en cent mille façons, Les uns par un poïgnard las dutres par poiſons, Les vns deſſus la mer les autres ſur la ierre,	Que tu as fait mourir en cent mille façons, Les uns par un poïgnard las dutres par poisons, Les uns dessus la mer les autres sur la jerre,
L Les uns en plaine paix les autres en la guerre, Bref les uns ſont paſſez par les mains des boureaux Les autres ont renda leurs ames dans les eaux, Pout et que te te uis n'oſt que trop veritable, Cardinal tu le ſçais & tu en eſt comptable,	L Les uns en plaine paix les autres en la guerre, Bref les uns sont passez par les mains des boureaux Les autres ont renda leurs âmes dans les eaux, Pout et que te te évis n'ost que trop véritable, Cardinal tu le sais et tu en est comptable,
UCENH.	UCENH.
IIII La Royne Mere & le Cardinal.	IIII La Royne Mère et le Cardinal.
La Royne Mere.	La Royne Mère.
Horreur de mes regards auorton de Enfers, Qui t’amene en ce lieu que n’eſt tu dans les fers,	Horreur de mes regards avorton de Enfers, Qui t'amène en ce lieu que n'est tu dans les fers,
Le Cardinal.	Le Cardinal.
Ie vous crie mercy ſi ie vous ay faſchee, Ie ſuis fort repentant de ma vie paſſee,	Je vous crie merci si ici vous ai fâchée, Je suis fort repentant de ma vie passe,
La Royne Mere.	La Royne Mère.
En eſt-ce la ſaiſon indigne Cardinal, Tu veux faire du bien ne pouuant plus de mal, Encore ne croy-ie par que tu en veille faire, Monſtre, Tigre, Inhumain, Leopard ſanguinaire:	En est-ce la saison indigne Cardinal, Tu veux faire du bien ne pouvant plus de mal, Encore ne crois-je par que tu en veille faire, Maître, Tigre, Inhumain, Léopard sanguinaire:
Auide des threſors;	Avide des trésors;
ambitieux d’honneur Remply de vanité ſans courage & ſans cœur, Moy qui auois eſte cauſe de ta fortune, T’ayant fait grand Seigneur ie t’eſtois importune.	ambitieux d'honneur Rempli de vanité sans courage et sans cœur, Moi qui avais este cause de ta fortune, T'ayant fait grand Seigneur ie t'étais importune.
T’ayant par ma bonté fait puiſſant à la Cour, Traiſtre tu as payé d’vn exil mon amour, Te faiſant des premiers en bien & en puiſſance Ie n’en eſperois pas aucune recompence, Eſtant dans vn eſtat bien loing d’en recepuoir, I'en preſentois à ceux, qui faiſoient leur deuoir, Mais ie l’aduouë auſſi ie n’auois pas la crainte, De te faire iamais vne ſi iuſte plainte, Entre pluſieurs Seigneurs de grande quuuité, Dont chacun aſpiroit à cette dignité, De Goduerner mon fils Maiſtre d’un grãd Empire, Penſant choiſir lomieux ie fus prendre le pire, Tu as iouy cruel de beaucoup de Treſont,	T'ayant par ma bonté fait puissant à la Cour, Traître tu as payé d'un exil mon amour, Te faisant des premiers en bien et en puissance Je n'en espérais pas aucune récompense, Étant dans un état bien loin d'en recepoir, J'en présentais à ceux, qui faisaient leur devoir, Mais ie l'avoue aussi soins n'avais pas la crainte, De te faire jamais une si juste plainte, Entre plusieurs Seigneurs de grande quuité, Dont chacun aspirait à cette dignité, De Goduerner mon fils Maître d'un grand Empire, Fils choisir lomieux d' un grand le pire, Pensant choisir iouy Seigneur le beaucoup de Tresont,
Pendant Pendant que ſans ceſſer ie ſouffrois mille maux, Pour tauoir fait heureux tu m’as fait malheureuſe Helas que l’amitiéſouuent eſt dangereuſe Roui des geno bomuro voy que uounenv ues tourmens Aceux qui ont cauſé, tous leurs contentemens,	Pendant Pendant que sans cesser ie souffrais mille maux, Pour tavoir fait heureux tu m'as fait malheureuse Hélas que l'amitiésouuent est dangereuse Roui des géno bomuro vois que uounenvnues tourments Aceux qui ont causé, tous leurs contentements,
Le Cardinal.	Le Cardinal.
Madame ie voullois par cete penitence, Vous faire auoir le Ciel tres digne recompence, De tant de niens iadis que i’ay receu de vous.	Madame fort voullais par cette pénitence, Vous faire avoir le Ciel très digne récompense, De tant de niens jadis que j'ai reçu de vous.
La Royne Mere.	La Royne Mère.
Traitre, ingrat, inhumain, obiect de mon couroux, Penſe-tu me tromper encore par des paroles, Il ne paut pax isy aeſplopertes ontulles?	Taitre, ingrat, inhumain, objet de mon courroux, Pense-tu me tromper encore par des paroles, Il ne paut pax izy aesplopertes ontulles?
Nous y ſomme, plus fins que tu n’y fus iamais, Et croy que nous ſçaurons tout au vray deſormais.	Nous y somme, plus fins que tu n'y fus jamais, Et crois que nous saurons tout au vrai désormais.
ACTE SECOND.	ACTE SECOND.
SCENE, I.	SCÈNE, I.
Mõſieur le Grãd, Monſieur de Thou, & le Cardinal.	Massieur le Grand, Monsieur de Thou, et le Cardinal.
Monſieur le Grand.	Monsieur le Grand.
J'Ien ta iuſques au Ciel exercer ta vengeance, V Et nous croy tu ſoumis encore à ta puiſſance, Penſe tu nous pounoir icy perſecuter, Apres nous auoir fait a tort decapiter, Tu n'eſt pas ſatisfait de fi cruelles peynes, Ayant fait eſcouler tout ie ſang de nos veynes, Tu nous y cherche encore afin de nous punir, Tu ne le peux pourtant, il faut t’en abstenir, Si tu en as toi meſme il faudra le reſpandre, Tous les Diables en bref te le feront entendre, Sauue toi malheureux (mais que diſ-ie ſaüuer, En quel-lieu que tu ſois ils te pourront troauer, Et tefaire ſenur la rigourezſeftame.	J'Ien ta jusques au Ciel exercer ta vengeance, VOit tu croyens soumis encore à ta puissance, Pense tu nous pounoir ici persécuter, Après nous avoir fait a tort décapiter, Tu n'est pas satisfait de fi cruelles peines, Ayant fait écouler tout le feront ente nos Tues, Tu nous y cherche encore afin de nous punir, Tu ne le peux pourtant, il faut t'en abstenir, Si tu en as toi -même il faudra le répandre, Tous les Diables en bref les Diables en entendre, Te le feront (mais que toi-ie toi, En quel-lieu que tu rois que tu tu sois, Et tefaire senurel rigourezseftame.
2 Iln’y a que deux lieux ou puiſſe aller noſtre ams, Dans les Cieux pour ſa gloire, entre les immortels:	2 Iln’y a que deux lieux ou puisse aller notre ams, Dans les Cieux pour sa gloire, entre les immortels:
Dans l'Enfer pour les flames auec les criminels, Toy qui a conſacré des victimes humaines, Toy qui as ſi ſouuent fait i’aillir des Fontaines, Des corps de tant de gens que tu as fait mourir, Ce ſeroit eſtre fol	Dans l'Enfer pour les flammes avec les criminels, Toi qui a consacré des victimes humaines, Toi qui as si souvent fait j'aillir des Fontes, Des corps de tant de gens que tu as fait mourir, Ce serait être fol
Le Cardinal.	Le Cardinal.
Veillez moy ſecourir Vous qui auez iouy d’vne grande puiſſance, Laiſſez moy retirer ſans ſonger à l’offence, Que i’ay par vn malheur exercé contre vous N’auois-ie pas ſubiect d’animer mon courroux Te vous auois aime preſque autant que moy meſme, Et nonobſtant cela par un fin ſtratageſme, Vous vouliez me priuer de l’amitié du Roy, Bien loing de m’affiſter me fauſſant voſtre foy,	Veillez moi secourir Vous qui avez joui d'une grande puissance, Laissez moi retirer sans songer à l'offense, Que j'ai par un malheur exercé contre vous N'avais-je pas sujet d'animer mon courroux Te vous avais aime presque autant que moi -même, Et nonobstant cela par un fin stratagème, Vous vouliez me priver de l'amitié du Roi, Bien loin de m'assister me faussant vôtre foi,
Monſieur de Thou & le Cardinal.	Monsieur de Thou et le Cardinal.
vous l’accuſez a tort Monſieur d’ingratitude, Il voulloit vous mener à la beatitude, Et vouloit ſabuenirá la calamité, Que nous faiſoit ſouffrir voſtre meſchanceté, Car vous voullant priuer de l’amitié du Prince, Et vous faire tenir dedans quelque Prouince, Il croyoit que le Ciel qui touiours nous attend Et qui ſe plaiſt de voir noſtre cœur repentant, Deplorer ſes pechez & deteſter ſon vice, Vous feroit recognoiſtre en fin voſtre malice, Et vous feroit choiſir le chemin des vertus Il voulloit ſoulager les peuples abbatus, Et greuez ſi long temps du tracas de la Guerre, Qui par voſtre malice eſt par toute la terre;	vous l'accusez a tort Monsieur d'ingratitude, Il voullait vous mener à la béatitude, Et voulait sabuenir la calamité, Que nous faisait souffrir votre méchanceté, Car vous voullant priver de l'amitié du Prince, Et vous faire tenir dedans quelque Province, Il croyait que le Ciel qui toujours nous attend Et qui se plaît de voir notre cœur repentant, Deplorer ses péchez et détester son vice, Vous ferait reconnaître en fin Vous ferai, Et choisir le choisir le chemin des vertus Il voudrait soulager les peuples abatus, Et gué si long ue si long te la Du, Qui par vôtre malice est par de la Guer;
Bien ie veux aduouer qu’il aye eu grand tort vous l’auez auſſi fait condamner à la mort;	Bien ie veux avouer qu'il aie eu grand tort vous l'avez aussi fait condamner à la mort;
Inhamain vous n'dueziamais donne de grate, Et vous en esperez il n’y a point de place:	Inhamain vous n'dueziamais donne de grâte, Et vous en espérez il n'y a point de place:
Iey pour les vengeurs & pour ſes propres affronts, Nous voullons nous venger des tors que nous ſouffrens Et prions cependant que Dieu nous le pardonne, Allez dans les enfers le Ciel vous abandonne.	Jei pour les vengeurs et pour ses propres affronts, Nous voullons nous venger des tors que nous souffrents Et prions cependant que Dieu nous le pardonne, Allez dans les enfers le Ciel vous abandonne.
Le Cardinal.	Le Cardinal.
Hé Monſieur;	Hé Monsieur;
donnez moy quelque petit ſecours.	donnez -moi quelque petit secours.
Monſieur le Grand.	Monsieur le Grand.
Il faudra malheureux que tu ſouffre touſiours, Pour auoir quelque temps eſclatté ſur la terre, Où tu as allumé le flambeau de la guerre, Si tu hayſſois tant la paix & le repos, Mal-heureux n’eust il pas eſté plus apropos, De combatre les Tures, & les autres barbares, Les chaſſer de leur troſnes & rauir leurs theares, Que par tes faux Conſeils faire marcher le Roy, Contre les Potentats qui ſont de meſme foy:	Il faudra malheureux que tu souffre toujours, Pour avoir quelque temps esclatté sur la terre, Où tu as allumé le flambeau de la guerre, Si tu haïssais tant la paix et le repos, Malheureux n'eût il pas été plus apropos, De combattre les Tures, et les autres barbares, Les chasser de leur trônes et ravir leurs théares, Que par tes faux Conseils faire marcher le Roi, Contre les Potentats qui sont de même foi:
Tu euſſe mis au Ciel quantité de beaux astres?	Tu eusse mis au Ciel quantité de beaux astres?
Leur faiſant par ta loy, ſuiure tous tes oracles, En eaſſe paſt des Sathets, lu as fait de, Demous,	Leur faisant par ta loi, suivre tous tes oracles, En easse pas des Sathets, lu as fait de, Demous,
Le Cardinal.	Le Cardinal.
N’ay-ie pas aſſez fait, par armes & par Sermons, Contre les Heretiques, n’a on pas pris leur villes, Par mes ſages aduis.	N'ai-je pas assez fait, par armes et par Sermons, Contre les Hérétiques, n'a on pas pris leur villes, Par mes sages avis.
Monſieur le Grand Dieu que tu es habille.	Monsieur le Grand Dieu que tu es habille.
Penſe tu nous tromper encore par tes diſcours, Ie ſçay bien que l’on a combatu quelques iours, Contre les Huguenots, qu’on a pris la Rochelle, S’eſtoit pour puis apres, Conſeiller infidelle, Mieux combatre le reſte, il eſtoit apropos, Puis que tu deſirois tronbler noſtre repos.	Pense tu nous tromper encore par tes discours, Je sais bien que l'on a combattu quelques jours, Contre les Huguenots, qu'on a pris la Rochelle, S'était pour puis après, Conseiller infidèle, Mieux combattre le reste, il était appropos, Puis que tu désirais tronbler notre repos.
De faire vne action qui fut conſiderable,	De faire une action qui fut considérable,
Le Cardinal.	Le Cardinal.
Helas que fera donc mon ame miſerable, Tu es chaſſé de tous?	Hélas que fera donc mon âme misérable, Tu es chassé de tous?
pauure de Richelieu, Tuneſcaurois trouver ge Ciet un petit lieuToy qui poſſedois tant de maiſons ſur la terre Tu te vois maintenant auſſi foible qu’vn verre, Sy au lieu d’eſleuer tant de beaux baſtiments, Four des biens paſſagers, cauſe des chaſtiments, Dont’apres le trepas, tu te vois afligee, Mon ame, à la vertu tu te fuſſe engagee, Et tu ne tiendrois pas le chemin des Enfers, Où on te va charger de chaiſnes & de fers, Pourſuinons hardiment i’en ay bien pris la voye, Suiuant ſes faux plaiſirs qui donnent courte ioye.	pauvre de Richelieu, Tunescaurais trouver ge Ciét un petit lieuToi qui possédais tant de maisons sur la terre Tu te vois maintenant aussi faible qu'al verre, Sy au lieu d'élever tant de beaux bâtiments, Four des biens passagers, cause des châtiments, Dont'après le trépas, tu te vois afflige, Mon âme, à la vertu tu te fusse engage, Et tu ne tiendrais pas le chemin des Enfers, on te a charger de chaînes et de fers, Poursuinons a en ay bien pris le che, Min des faux plaisirs qui donnent courte ioye,
SCENE.	SCÈNE.
II.	II.
La deſcente du Cardinal aux Enfers.	La descente du Cardinal aux Enfers.
L'Eſleu Charon, Nautonnier.	L'Eslu Charon, Nautonnier.
& le Cardinal.	et le Cardinal.
Charon qui eſt touſiours nauigeant ſur cette eau, Pour paſſer les aſprits dans ton petit baſteau.	Charon qui est toujours naviguant sur cette eau, Pour passer les asprits dans ton petit bâteau.
Meine dans les enfers cette ame malheureuſe.	Meine dans les enfers cette âme malheureuse.
Charon.	Charon.
Qu’il eſt bien employé de la voir langoureuſe.	Qu'il est bien employé de la voir langoureuse.
Ayant touſiours voulu regner chez les mortels.	Ayant toujours voulu régner chez les mortels.
Arα bon uo roubrer tos fuuuo, O bos Autels.	Ar bon uo roubrer tos fuinuo, Ô bô Autels.
Le Cardinal.	Le Cardinal.
Paſſe-moy ſeulement ce n’eſt pas ton affaire, De reprendre en ce lieu ce que i’ay voulu faire, Ie ſcay ce que i’ay fait.	Passe-moi seulement ce n'est pas ton affaire, De reprendre en ce lieu ce que j'ai voulu faire, Je sais ce que j'ai fait.
Charon.	Charon.
Ou tu le dois ſcauoir,	Ou tu le dois savoir,
Le Gardinal.	Le Gardinal.
Meyne moy chez Pluton puis que c’eſt ton deuoir Il ſcaït ce que i’ay fait ma recompenſe eſt preſte	Meinne moi chez Pluton puis que c'est ton devoir Il scaït ce que j'ai fait ma récompense est prête
Charon.	Charon.
Ta as auiourd’huy fait vne belle conqueſte;	Ta as aujourd'hui fait une belle conquête;
Au lieu de vers lauriers tu recherche des fers, du lieu d’aller aa Ciel iu deſcends aux enfers Il eſt temps de preſcher, cela m’eſt fort vtile	Au lieu de vers lauriers tu recherche des fers, du lieu d'aller a Fort ju descends aux enfers Il est temps de prêcher, cela m'est fort vtile
Charon Ie ſçay que s’eſt ſemer dans vn champ infertile, Mais c’eſt pour commencer à te perſecuter, Ayant dedans le monde ayme mieux eſouter Des diſcours amoureux comme des commedies.	Charon Je sais que s'est semer dans un champ infertile, Mais c'est pour commencer à te persécuter, Ayant dedans le monde aime mieux éouter Des discours amoureux comme des commedies.
Ou bien preſter l’oreille à quelque perfidie, Que d’aller en vn mois encendre deux Sermons, Pais qu'ainſtiu le veux le te lure aux demons, Qui te gouuerneront comme tu le merite, Nous verrons ſi chez eux iu feras l’hypocrite,	Ou bien prêter l'oreille à quelque perfidie, Que d'aller en un mois encendre deux Sermons, Pais qu'ainstivu le veux le te lure aux démons, Qui te gouverneront comme tu le mérite, Nous verrons si chez eux ju feras l'hypocrite,
Le Cardinal.	Le Cardinal.
Il fagdra marcher droit on m’y cognoiſttrop bien,	Il fagdra marcher droit on m'y cognoisttrop bien,
herons On t’y cognoiſt de vray;	hérons On t'y connaît de vrai;
mais non pas pour ton bięn.	mais non pas pour ton bin.
Le Cardinal.	Le Cardinal.
Te ſens fondre ſous moy la barque paſſagere.	Te sens fondre sous moi la barque passagère.
Charon Touron ſt grandejpruenein onpragere.	Charon Touron st grandejpruenein onpragère.
SCENE.	SCÈNE.
III.	III.
Pluton & le Cardinal.	Pluton et le Cardinal.
Pluton.	Pluton.
Ol te voyla mon fils?	Ol te voilà mon fils?
vient-ta pas heriter Des biens que ie t’ay fait ad monde meriter, Veux tu pas partager monSceptre & ma CouronneTu les merite bien faut que ie tę les donne.	vient-ta pas hériter Des biens que sans t'ai fait ad monde mériter, Veux -tu pas partager monSceptre et ma CouronneTu les mérite bien faut que je tendre les donne.
Qu’on luy donne vn chaire aupres de Cornuel, Ayant eu dans le monde vne amour mutuel?	Qu'on lui donne un chaire auprès de Cornuel, Ayant eu dans le monde une amour mutuel?
Ils ſerons fort contents d'eſtre logez enſemble:	Ils serons fort contents d'être logez ensemble:
Le veux-tu Cardinal, dis moy ceiqui t’en ſemble.	Le veux-tu Cardinal, dis -moi ceiqui t'en semble.
Le Cardinal Ie ſais voſtre ſuiet vous pouuez compander	Le Cardinal Je sais votre sujet vous pouvez compander
ACTE TROISIESME.	ACTE -TROISIÈME.
SCENE.	SCÈNE.
I, Cornuel & le Cardinal.	I, Cornuel et le Cardinal.
Cornuel.	Cornuel.
Re.	Re.
oions vu Surainaviey mc uomander, Retire-toy cruel, vilain, abominable, Ie ne te puis ſouffrir,	oyons vu Surainaviey mi uomander, Retire-toi cruel, vilain, abominable, Je ne te puis souffrir,
Le Cardinal N’eſt.	Le Cardinal N'est.
il pas raiſonnable, Qu’ayant eu dans le monde vne ſerme amitié, Nous partagions tous deux le lieu par la moitié,	il pas raisonnable, Qu'ayant eu dans le monde une serme amitié, Nous partagions tous deux le lieu par la moitié,
Cornuel.	Cornuel.
Ie ſuis aſſés preſſé ſans m’eſtreſſir encore:	Je suis assez pressé sans m'estressir encore:
Tu m’as aymé dis-tu, c’eſt ce que ie déplore, D’vn amour violent & ferme ce dis tu, L’on trouue Cardinal dans la ſeule vertu, Vne amitié bien noble vn amour veritable, Le tien bien loing de m’eſtre & bon & profitable.	Tu m'as aimé dis-tu, c'est ce que femme déplore, D'un amour violent et ferme ce dis tu, L'on trouve Cardinal dans la seule vertu, Une amitié bien noble un amour véritable, Le tien bien loin de m'être et bon et profitable.
M’a reduit à ſouffrir des tourments rigoureux Qui pour l’eternité me rendent malheureux Ie ne fuis pas fatbe ut ſçaubir que ton ame Eſt auſſi condamnee à ſouffrir dans la flame, Mimit ontage de voir tant de maux m’açabler Et les ſentir ſansceſſe accroiſtre & redoubler, Cherche ton Confeſſeur ce bon porte bezate, Qui fait à mon aduis vne laide grimace	M'a réduit à souffrir des tourments rigoureux Qui pour l'éternité me rendent malheureux Je ne fuis pas fatbe ut saubir que ton âme Est aussi condamnée à souffrir dans la flamme, Mimit age de voir tant de maux m'açabler Et les sentir sanscesse accroître et redoubler, Cherche ton Confesseur ce bon porte bezate, Qui fait à mon avis vne laide grimace
SCENE.	SCÈNE.
II.	II.
Le cardinal & le pere Ioſeph.	Le cardinal et le père Joseph.
Le Cardinal.	Le Cardinal.
Bon iour Pere Ioſoph.	Bon jour Père Iosoph.
Le pere Ioſeph.	Le père Ioseph.
Nous n’en auons iamais, Mal-heureux Cardinal, peux-tu bien deſormais Faire en ſorte que i’aye vne bonne iournee:	Nous n'en avons jamais, Malheureux Cardinal, peux-tu bien désormais Faire en sorte que j'aie une bonne journée:
Toy ſeul qui a cauſe ma ſeule deſtinee, Et qui me fait auoir vne eternelle nuict, Qui iamais ne me quitte, & qui touſiours me ſuit, Il falloit adiouſter, bon-iour par excellencé;	Toi seul qui a cause ma seule destine, Et qui me fait avoir éternelle nuit, Qui jamais ne me quitte, et qui toujours me suit, Il fallait ajouter, bon-jour par excellencé;
Comme ſi deſormais ta chetiue Eminence Pouuoit nous preſenter quelque choſe de bon, Sens un peu la chaleur de ce petit charbon, Pour voir ſi nous auons quelque minutɇ heureuſe, Endurant ſans ceſſer la flame rigoureuſe:	Comme si désormais ta chétive Eminence Pouvait nous présenter quelque chose de bon, Sens un peu la chaleur de ce petit charbon, Pour voir si nous avons quelque minut heureuse, Endurant sans cesser la flamme rigoureuse:
Va paſſe plus auant & cherche vn autre lieu, L'on te doit le meilleur,	Va passe plus avant et cherche un autre lieu, L'on te doit le meilleur,
Le Cardinal.	Le Cardinal.
Ie te dis donc adien.	Je te dis donc adien.
Le pere Ioſeph.	Le père Ioseph.
Parle icy que dis-tu, cauſe de ma miſere, Tu te mocque de moy, va, tu n’en riras guerre, Si su en as ſuiet, tu me trompe bien fort, Tous tes biens Cardinal ſon finis par la mort, Tu ſentiras bien-toſt le tourment qui m’accable, Tu me viens dire adieu lors que ie ſuis au diable.	Parle ici que dis-tu, cause de ma misère, Tu te moque de moi, va, tu n'en riras guerre, Si su en as sujet, tu me trompe bien tôt, Tous tes biens Cardinal son finis par la mort, Tu sentiras bientôt le tourment qui m'accable, Tu me viens dire adieu lors que ie suis au diable.
