E SUS MARIA.	 EUS MARIA.
Non, ſans diſſimuler leurs deſſeins leurs motifs, MIls diſent qu’ils ont fait leur penible voyage, Pour lui rendre à genoux le plus parfait hommage Qu’ils ſont à leur demande extrêmement ſurpris, Qu’on ne ſçai rien ici de ce qu’ils ont appris, Qu’un nouveau Roi chés nous avoit pris ſa naiſſance, Et qu’il les appelloit à ſon obéïſſance, Qu’ils viennent pour lui rendre à ſon petit berceau, A l’éclat du brillant de ſon aſtre nouveau, Rien n’eſt ſi ſurprenant, ſi difficile à croire, Que le recit des faits dont ils content l’hiſtoire;	Non, sans dissimuler leurs desseins leurs motifs, MIls disent qu'ils ont fait leur pénible voyage, Pour lui rendre à genoux le plus parfait hommage Qu'ils sont à leur demande extrêmement surpris, Qu'on ne sais rien ici de ce qu'ils ont appris, Qu'un nouveau Roi chez nous avait pris sa naissance, Et qu'il les appelait à son obéissance, Qu'ils viennent pour lui rendre à son petit berceau, A l'éclat du brillant de son âtre nouveau, Rien n'est si surprenant, si difficile à croire, Que le récit des faits dont ils contents l'histoire;
Ils le ſont beaucoup plus que celui de les voir, Sans que leur voyage on ait pû rien ſçavoir, Mais comment dire au Roi cette grande nouvelle?	Ils le sont beaucoup plus que celui de les voir, Sans que leur voyage on ait pu rien savoir, Mais comment dire au Roi cette grande nouvelle?
Elle va comme à nous lui troubler la cervelle;	Elle va comme à nous lui troubler la cervelle;
Je crains de l’aborder, il le faut cependant, Moi qui ſuis des Etats du Royaume Intendant, Peut-être entrera-t’il dans quelque défiance, Qu’avec eux je pourrois être d’intelligence.	Je crains de l'aborder, il le faut cependant, Moi qui suis des États du Royaume Intendant, Peut-être entrera-il dans quelque défiance, Qu'avec eux je pourrais être d'intelligence.
SCENE SECONDE.	SCÈNE SECONDE.
ARISTOBULE HYRCANUS.	ARISTOBULE HYYRCANS.
HYRCANUS.	HYRCANUS.
QUe vois je dans vos yeux qui paroit vous troubler,	QUe vois -je dans vos yeux qui parait vous troubler,
ARISTOBULE.	ARISTOBULE.
Ce qu’on debite ici doit nous faire trembler, Et pour l’apprendre au Roi, je ne ſçai comment faire,	Ce qu'on débite ici doit nous faire trembler, Et pour l'apprendre au Roi, je ne sais comment faire,
HYRCANUS.	HYRCANUS.
Je viens pour vous parler de cette même affaire, Quel tour ingenieux pourroit calmer le Roi?	Je viens pour vous parler de cette même affaire, Quel tour ingénieux pourrait calmer le Roi?
Pour un peu l’adoucir, il ſeroit bon, je crois, Et c’eſt là mon avis) de lui faire comprendre, Que ces Rois ſont venus dans la Ville ſe rendre, Pour marquer leurs reſpects au Prince nouveau né, Par qui l’état un jour doit être gouverne;	Pour un peu l'adoucir, il serait bon, je crois, Et c'est là mon avis) de lui faire comprendre, Que ces Rois sont venus dans la Ville se rendre, Pour marquer leurs respects au Prince nouveau né, Par qui l'état un jour doit être gouverne;
Que voulant publier ſa gloire & ſa puiſſance, On aidre lummeux leur apprit la naiſance, Leur fit connoître à tous cet admirable Enfant, Qui paroîtroit un jour glorieux triomphant;	Que voulant publier sa gloire et sa puissance, On aidre lummeux leur apprit la naisance, Leur fit connaître à tous cet admirable Enfant, Qui paraîtrait un jour glorieux triomphant;
Et que ce Prince enfin donnoit déja des marques, Qu’entre les Rois ſeroit le plus grand des Monarques,	Et que ce Prince enfin donnait déjà des marques, Qu'entre les Rois serait le plus grand des Monarques,
ARISTOBULE.	ARISTOBULE.
J’approuve cet avis;	J'approuve cet avis;
il pourra le calmer, Mais je crains que ſon cœur ne vienne à s’allarmer, S’il ſe met dans l’eſprit que ces illuſtres Mages, A d’autres qu’à ſon fils deſtinent leurs hommages.	il pourra le calmer, Mais je crains que son cœur ne vienne à s'alarmer, S'il se met dans l'esprit que ces illustres Mages, À d'autres qu'à son fils destinent leurs hommages.
SCENE TROISIE’ME.	SCÈNE -TROISIE'ME.
HERODE, ARISTOBULE, HYRCANUS.	HÉRODE, ARISTOBULE, HYRCANS.
Hurosss DE quel ſujet fâcheux vous entretenés-vous?	Hurosss DE quel sujet fâcheux vous entretenez-vous?
ARISTOBULE.	ARISTOBULE.
Grand Roi d’une nouvelle affligeante pour nous, Nous allions l’un & l’autre à preſent vous l’apprendre, Et nous ſommes certains qu’elle va vous ſurprendre;	Grand Roi d'une nouvelle affligeante pour nous, Nous allions l'un et l'autre à présent vous l'apprendre, Et nous sommes certains qu'elle va vous surprendre;
Vos fidéles Sujets déja trop allarmés, Sont prêts à vous deffendre, & ſe tiennent armés:	Vos fidèles Sujets déjà trop alarmés, Sont prêts à vous défendre, et se tiennent armés:
Trois Rois ſont arrivés des climats de l’Aurore, Mais ce qui nous ſurprend bien d’avantage encore, C’eſt ſans diſſimuler quels ſont leurs vrais motifs, Demandent le Palais du nouveau Roi des Juifs:	Trois Rois sont arrivés des climats de l'Aurore, Mais ce qui nous surprend bien d'avantage encore, C'est sans dissimuler quels sont leurs vrais motifs, Demandent le Palais du nouveau Roi des Juifs:
llo unt mous dnent-is, entreplis ce voyage, Pour lui rendre humblement le plus parfait hommage;	llo un mous dînent-is, entreplis ce voyage, Pour lui rendre humblement le plus parfait hommage;
Et que ne voulant pas ſeulement l’honorer, Ils viennent tout exprés afin de l’adorer.	Et que ne voulant pas seulement l'honorer, Ils viennent tout exprès afin de l'adorer.
HERODE.	HÉRODE.
Quel trouble furieux où mon ame eſt jettée, La mer partous les nots n'eit pas pius agnée, Le plus épais nuage offuſque mon eſprit, Et ne me connois plus à ce ſimple recit;	Quel trouble furieux où mon âme est jetée, La mer partous les nots n'éit pas pius agnée, Le plus épais nuage offusque mon esprit, Et ne me connais plus à ce simple récit;
Cette nouvelle eſt grande, elle doit me ſurprendre:	Cette nouvelle est grande, elle doit me surprendre:
En êtes-vous certain?	En êtes-vous certain?
parlés, je veux l’apprendre.	parlés, je veux l'apprendre.
ARISTOBULE.	ARISTOBULE.
Ils nous ont aſſeuré qu’ils ont vû depuis peu, Un aſtre des plus beaux, brillant comme du feu, Répandre en Orient ſa lumiere éclatante, Et ravir tous les ſens par ſa beauté charmante, Que c’eſt à la faveur de cet aſtre nouveau, Qu’ils viennent rendre hommage à ſon petit berceau, Qu’ils croyoient ſa naiſſance avoir renduë heureuſe, Cette grande Cité, cette Ville fameuſe;	Ils nous ont assuré qu'ils ont vu depuis peu, Un astre des plus beaux, brillant comme du feu, Répandre en Orient sa lumière éclatante, Et ravir tous les sens par sa beauté charmante, Que c'est à la faveur de cet astre nouveau, Qu'ils viennent rendre hommage à son petit berceau, Qu'ils croyaient sa naissance avoir rendue heureuse, Cette grande Cité, cette Ville fameuse;
Et qu’enfin conſternés de ne l’y point trouver, Comme ſi leur deſſein étoit de nous braver, IIls demandent tous trois avec beaucoup d’inſtances, A votre Majeſté l’honneur d’une Audiance.	Et qu'enfin consternès de ne l'y point trouver, Comme si leur dessein était de nous braver, IIls demandent tous trois avec beaucoup d'instances, A votre Majesté l'honneur d'une Audience.
HERODE.	HÉRODE.
Quoi donc?	Quoi donc?
aprés avoir par mille exploits guerriers, (Et par tant de travaux moiſſonné des lauriers, Avoir par ma valeur & ma ſage conduite, Mis dans les champs de Mars les Ennemis en fuite, La terreur de mon nom au bout de l’Univers.	après avoir par mille exploits guerriers, (Et par tant de travaux moissonné des lauriers, Avoir par ma valeur et ma sage conduite, Mis dans les champs de Mars les Ennemis en fuite, La terreur de mon nom au bout de l'Univers.
Avoir ſous mes drapeaux enchaîné la victoire, M’être acquis en tous lieux une immortelle gloire, Calmé dans mes états mille ſeditions, Réüni les eſprits dans leurs diviſions, Soûmis tous mes Sujets aux Loix de la Juſtice, Punis les Criminels par le dernier ſupplice;	Avoir sous mes drapeaux enchaîné la victoire, M'être acquis en tous lieux une immortelle gloire, Calmé dans mes états mille séditions, Réuni les esprits dans leurs divisions, Soumis tous mes Sujets aux Lois de la Justice, Punis les Criminels par le dernier supplice;
Lorſque je crois goûter les douceurs de la paix.	Lorsque je crois goûter les douceurs de la paix.
Et voir dans pluſieurs points mes deſirs ſatisfaits;	Et voir dans plusieurs points mes désirs satisfaits;
Faut-il que de ces Rois la facheuſe demande, Traverſe mon bonheur d’une peine ſi grande.	Faut-il que de ces Rois la fâcheuse demande, Traverse mon bonheur d'une peine si grande.
HYRCANUS.	HYRCANUS.
A Peine étiés-vous, Sire, à l'âge de quinze ans, Que vous fites briller des exploits éclatans.	À Peine étiez-vous, Sire, à l'âge de quinze ans, Que vous fîtes briller des exploits éclatants.
Vôtre pere, grand Roi, qui s’acquit tant de gloire, Dont la poſterité conſerve la memoire, Qu’Hyrcanus du Royaume avoit fait Intendant, Et mis dans tous les lieux un Chef pour Commandant, A vos vigilans ſoins donna la Galilée, Et l’on en voit par vous la borne reculée, Le fier Ezechias Partiſant des Voleurs, Qui cauſerent par tout mille & mille malheurs, Et dont la cruauté deſolant la Syrie, Lui fit aſſés ſouvent éprouver leur furie, Fut par vôtre valeur obligé de perir, Le Royaume ravi de l’avoir vû mourir, D'un encens precieux vous donna la fumée, De cet illuſtre exploit la prompte renommée, Le fit voler par tout pour vous en faire honneur, Vous en fûtes loüé même par l’Empereur, On vit Jeruſalem honorer vôtre pere, Par un tendre penchant elle aimoit vôtre frere, Leur conduite, leurs ſoins & leur attention Avoit gagné ſon cœur & ſon affection;	Votre père, grand Roi, qui s'acquit tant de gloire, Dont la postérité conserve la mémoire, Qu'Hircanus du Royaume avait fait Intendant, Et mis dans tous les lieux un Chef pour Commandant, À vos vigilants soins donna la Galilée, Et l'on en voit par vous la borne reculée, Le fier Ezéchias Partisant des Voleurs, Qui causèrent par tout mille et mille malheurs, Et dont la cruauté désolant la Syrie, Lui fit assez souvent éprouver leur furie, Fut a vôtre leur obligé de périr, Le Royaume ravi de avoir mourir, D'un encens precieux vous donna la fumée, De cet illustre exploit la prompte renommée, Le fit voler par tout pour vous en faire honneur, Vous en fûtes loüé même par Empereur, On vit Jerusalem honorer vôtre pere, Par un tendre penchant ' a vôtre frère, Leur conduite, leurs soins et leur attention Avoit gagné son cœur et son affection;
Dans ces deux grands Heros tout paroiſſoit aimable, Ils ſe montroient à tous obligeans comme affables.	Dans ces deux grands Héros tout paraissait aimable, Ils se montraient à tous obligéants comme affables.
ARISTOBULE.	ARISTOBULE.
Mais les plus grands Seigneurs, par un eſprit jaloux, Des faveurs que le Roi répandoit deſſus vous:	Mais les plus grands Seigneurs, par un esprit jaloux, Des faveurs que le Roi répandait dessus vous:
Jurerent vôtre perte, & lui firent comprendre, Que vôtre ambition alloit juſqu’à pretendre, De gouverner en Chef cette Principaâté, Lui laiſſant le ſeul titre en tout de Royauté, Que voulant lui ravir le Sceptre & la Couronne, Vous cherchiés les moyens de l’abattre du Tróne, Que pour vous attirer ſes fidéles Sujets, vous faies tous les jours mille & mille projets, Que cette paſſion ne ſeroit aſſouvie, Que quand vous trancheriés la trame de ſa vie.	Jurerent votre perte, et lui firent comprendre, Que votre ambition allait jusqu'à prétendre, De gouverner en Chef cette Principaâté, Lui laissant le seul titre en tout de Royauté, Que voulant lui ravir le Sceptre et la Couronne, Vous cherchiez les moyens de l'abattre du Tróne, Que pour vous attirer ses fidèles Sujets, vous faites tous les jours mille et mille projets, Que cette passion ne serait assouvie, Que quand vous trancheriez la trame de sa vie.
HERODE.	HÉRODE.
Oüi, que j'avois un ai de dommnation, Que je l’avois prouvé par ma belle action, Qui loin de meriter un éloge ſublime, Devoit d’un châtiment me rendre la victime.	Oui, que j'avais un ai de dommnation, Que je l'avais prouvé par ma belle action, Qui loin de mériter un éloge sublime, Devait d'un châtiment me rendre la victime.
HYRCANUS.	HYRCANUS.
Ils avançoient de plus que vôtre autorité N’alloit pas à punir qui l’avoit merité, Que les Loix nous en font une expreſſe deffenſe, Et qu’il faut en avoir obtenu la licence, ( Un ſentiment ſi faux nous a ſaiſi le cœur, Dans nos veines le ſang demeure ſans vigueur,) C’eſt donc pour ce ſujet que l’auguſte duemblée, Loin de s’en réjoüir s’en eſt ſi fort troublée, Qu’elle oſe vous citer devant ſon Tribunal, Pour connoître du fait & condamner le mal, Sans la précaution que vous avés ſçû prendre, De ces eſprits aigris que pouviés-vous attendre?	Ils avançaient de plus que votre autorité N'allait pas à punir qui l'avait mérité, Que les Lois nous en font une expresse défense, Et qu'il faut en avoir obtenu la licence, ( Un sentiment si faux nous a saisi le cœur, Dans nos veines le sang demeure sans vigueur,) C'est donc pour ce sujet que l'auguste duemblée, Loin de s'en réjouir s'en est si fort troublée, Qu'elle ose vous citer devant son Tribun, Pour connaître du trait et condamner le mal, Sans la précaution que vous ave sçû prendre, De ces esprits aigris aigris aigris aigris attendre?
HERODE.	HÉRODE.
Ils auroient ſans délai contre moi ſeurement Prononcé la Sentence en dernier Jugement;	Ils auraient sans délai contre moi sûrement Prononcé la Sentence en dernier Jugement;
Pour l’avoir diſoient ils, entrepris de moi-même, Sans en avoir reçû l’autorité ſuprême.	Pour l'avoir disaient ils, entrepris de moi-même, Sans en avoir reçu l'autorité suprême.
ARISTOBULE.	ARISTOBULE.
On ſçait qu’un General qui remplit ſon devoir, De punir pareils faits a toûjours le pouvoir, Qu’il ne doit pas attendre un ordre de ſon Prince, Non plus qu’un Gouverneur, ou Chef d’une Province;	On sais qu'un Général qui remplit son devoir, De punir pareils faits a toujours le pouvoir, Qu'il ne doit pas attendre un ordre de son Prince, Non plus qu'un Gouverneur, ou Chef d'une Province;
Mais ne pouvant ſouffrir vôtre élevation, On ſema contre vous de la diviſion;	Mais ne pouvant souffrir votre élévation, On sema contre vous de la division;
C’étoit là vous traiter avec ignominie, C’étoit renouveller une guerre finie:	C'était là vous traiter avec ignominie, C'était renouveler une guerre finie:
Vos Ennemis tâchoient par de nouveaux efforts, D’obtenir des voiſins contre vous des renforts, Vôtre genereux pere ami de la Patrie, Pour elle & vôtre frere ont prodigué leur vie;	Vos Ennemis tâchaient par de nouveaux efforts, D'obtenir des voisins contre vous des renforts, Votre généreux père ami de la Patrie, Pour elle et votre frère ont prodigué leur vie;
Mais par la plus infame & noire trahiſon, Le cruel Malichus fit joüer le poiſon, Et de cet ennemi bientôt la perfidie, Fut par un autre ſort également punie,	Mais par la plus infâme et noire trahison, Le cruel Malichus fit jouer le poison, Et de cet ennemi bientôt la perfidie, Fut par un autre sort également punie,
HERODE.	HÉRODE.
Je devois par les Juifs ſubir un pareil ſort, Si mon deſtin contre eux n’avoit été plus fort, Il m’a conduit à Rome où l’Empereur auguſte, Entreprit de deffendre une cauſe ſi juſte;	Je devais par les Juifs subir un pareil sort, Si mon destin contre eux n'avait été plus fort, Il m'a conduit à Rome où l'Empereur auguste, Entreprit de défendre une cause si juste;
Je pouvois me vanger aidé de ſon ſecours, Des plus noirs attentats auſquels ils ont recours, J’avois de ſes bontés une eclatante marque, En recevant de lui le titre de Tetrarque, Et pour comble d’honneur ſe confiant en moi, De toute la Judée il m’avoit fait le Roi;	Je pouvais me venger aidé de son secours, Des plus noirs attentats auxquels ils ont recours, J'avais de ses bontés une éclatante marque, En recevant de lui le titre de Tétrarque, Et pour comble d'honneur se confiant en moi, De toute la Judée il m'avait fait le Roi;
C’eſt donc par ma vertu plus que par la naiſſance, Que je tiens aujourd’hui mon ſceptre & ma puiſſance:	C'est donc par ma vertu plus que par la naissance, Que je tiens aujourd'hui mon sceptre et ma puissance:
Mais que ſert cet éclat que pour nous ébloüir?	Mais que sert cet éclat que pour nous éblouir?
Des Seigneurs qui voudroient comme nous en joüir, Ne pourroient contenter cette jalouſe envie, Qu’en retranchant nos jours pour la voir aſſouvie.	Des Seigneurs qui voudraient comme nous en jouir, Ne pourraient contenter cette jalouse envie, Qu'en retranchant nos jours pour la voir assouvie.
HYRCANUS.	HYRCANUS.
Hyrcanus a fini par ce funeſte ſort.	Hircanus a fini par ce funeste sort.
HERODE.	HÉRODE.
Je pourrois comme lui faire n’aufrage au port, Quoi!	Je pourrais comme lui faire n'aufrage au port, Quoi!
n’ai-je pas ſujet aujourd’hui de le craindre?	n'ai-je pas sujet aujourd'hui de le craindre?
Diſons plus, n’ai-je pas tout ſujet de m’en plaindre?	Disons plus, n'ai-je pas tout sujet de m'en plaindre?
Trois Princes d’Orient d’un air des plus actifs, Viennent voir un Enfant qu’ils nomment Roi des Juifs:	Trois Princes d'Orient d'un air des plus actifs, Viennent voir un Enfant qu'ils nomment Roi des Juifs:
N’eſt-ce pas outrager la Majeſté Royale, Juſques dans ſon Palais ſa Ville Capitale?	N'est-ce pas outrager la Majesté Royale, Jusque dans son Palais sa Ville Capitale?
Il faut bieiqu'on me caene un denein concerté, Mais j’en ſçaurai bientôt toute la verité.	Il faut biequ'on me caène un dènein concerté, Mais j'en sçaurai bientôt toute la vérité.
HYRCANUS.	HYRCANUS.
Sire, il faut l’avoüer, leur procedé m’étonne, Et j’en ſuis plus émû que nulle autre perſonne;	Sire, il faut l'avouer, leur procédé m'étonne, Et j'en suis plus ému que nulle autre personne;
Mais s’il faut raiſonner ſur cet évenement;	Mais s'il faut raisonner sur cet événement;
Je ne vois pas pourquoi l’on s’allarme aiſément:	Je ne vois pas pourquoi l'on s'alarme aisément:
