LESSAT DES IEIRCED.	LÉSÂT DES IEIRCÉD.
SCENE II.	SCÈNE II.
LE DOCTEUR, ET ARLEQUIN.	LE DOCTEUR, ET ARLEQUIN.
an Docrie da A peſte ſoit du butort il n’a tenu à rien L qu’il n’ait paſſé au travers de mon corps.	an Docrie da A peste soit du butort il n'a tenu à rien qu'il n'ait passé au travers de mon corps.
ARLEQUIN.	ARLEQUIN.
Que ne vous rangés vous auſſi du chemin, ſi j’avois été charrette j’aurois paſſé par deſſus vous & ç’auroit été vôtre faute.	Que ne vous rangez vous aussi du chemin, si j'avais été charrette j'aurais passé par -dessus vous et ç'aurait été votre faute.
EE DOCTEUR.	CE DOCTEUR.
Et où allois-tu ſi vîte?	Et où allais-tu si vite?
ARLEQUIN.	ARLEQUIN.
Je vous cherche mon Maître.	Je vous cherche mon Maître.
LE DOCTEUR.	LE DOCTEUR.
Et bien que me veux-tu?	Et bien que me veux-tu?
Aiann d olla Vrayement il eſt bien arrivé des choſes chez vous.	Aiann d olla Vraiment il est bien arrivé des choses chez vous.
LE DOCTEUR.	LE DOCTEUR.
Quoy ma femme ſeroit-elle morte?	Quoi ma femme serait-elle morte?
ARLEQUIN.	ARLEQUIN.
Elle ſe porte mieux que vous, & pretend vous faire crever le premier.	Elle se porte mieux que vous, et prétend vous faire crever le premier.
A iij	À jijà
LE DOCTEUR.	LE DOCTEUR.
ina Mihle peut etie:	ina Mihle peut étie:
ARLEQUIN.	ARLEQUIN.
Bon elle en a bien envie, je l’ay trouvée en venant qui joüoit à colin maillart à telles enſeignes qu’elle s’eſt laiſſé prendre.	Bon elle en a bien envie, je l'ai trouvée en venant qui jouait à colin maillart à telles enseignes qu'elle s'est laissé prendre.
LUDCCTEUR.	LUDCTEUR.
Mes Chevaux, ma Charrette?	Mes Chevaux, ma Charrette?
ARLEGUIN.	ARLEGUIN.
Non vous n’y eſtes pas.	Non vous n'y êtes pas.
LE DOCTEUR.	LE DOCTEUR.
Le feu eſt il à ma Maiſon?	Le feu est il à ma Maison?
ARLEQUIN.	ARLEQUIN.
de vous dis que non.	de vous dis que non.
LE DOCTEUR.	LE DOCTEUR.
Mor-diable veux-tu parſer.	Mor-diable veux-tu parser.
ARLEQUIN.	ARLEQUIN.
Vous le ſçavés?	Vous le savez?
Non.	Non.
LE DOCTEUR.	LE DOCTEUR.
ir 1eunO CIN.	ir 1eunO CIN.
Vous vous en doutés donc!	Vous vous en doutez donc!
LE DOCTEUR, Point du tout.	LE DOCTEUR, Point du tout.
ARLEQUIN.	ARLEQUIN.
Tortome ne vous en a parlé?	Tortome ne vous en a parlé?
LE DOCTEUR.	LE DOCTEUR.
Ie te dis que non.	Je te dis que non.
Jurés en.	Jurez -en.
ARLEQUIN.	ARLEQUIN.
LE DOCTEUR.	LE DOCTEUR.
Mais ce coquin;	Mais ce coquin;
veux-tu parler de par tous les Diables, bourreau que tu es,	veux-tu parler de par tous les Diables, bourreau que tu es,
ARLEQUIN.	ARLEQUIN.
vous le voures donc içavolr?	vous le voures donc içavolr?
LE DOCTEUR.	LE DOCTEUR.
Veux-tu finir & me dire.	Veux-tu finir et me dire.
ARLEQUIN.	ARLEQUIN.
Vôtre Vache a fait un Veau gros comme vous, pout l’amitié qu’elle vous porte elle ods à demande pius de cent rois & ne vouloit pas véler ſans vous.	Votre Vache a fait un Veau gros comme vous, pout l'amitié qu'elle vous porte elle ods à demande pius de cent rois et ne voulait pas véler sans vous.
LE DOCTEUR.	LE DOCTEUR.
Dlable ſoit de l’innocent, je croyois que c’étoit quelque grand malheur.	Dlable soit de l'innocent, je croyais que c'était quelque grand malheur.
ARLEQUIN.	ARLEQUIN.
Ne ſeroit ce pas un aſſés grand malheur de perute une bete d’une auſſi bonne amitié qu’elle, allés vous ne lui rendés pas le reciproque.	Ne serait ce pas un assez grand malheur de pervte une bête d'une aussi bonne amitié qu'elle, allez vous ne lui rendez pas le reciproque.
LE DOCTEUR.	LE DOCTEUR.
Je ſuis icy à rever à une affaire, de bien plus de conſequence.	Je suis ici à rêver à une affaire, de bien plus de conséquence.
ARLEQUIN.	ARLEQUIN.
Demandeseſ en mon avis, car je peus dire que pour un Païſan j’ay un tantinet d’eſprit.	Demandeses en mon avis, car je pussy dire que pour un Paysan j'ai un tantinet d'esprit.
LE DOCTEUR.	LE DOCTEUR.
Ma Fille qui veut ſe marier.	Ma Fille qui veut se marier.
ARLEQUIN.	ARLEQUIN.
Pargoüé il y a bien dequoy faire l’ébaubi.	Pargougé il y a bien dequoy faire l'ébaubi.
LE DOCTEUR.	LE DOCTEUR.
Je voudrois bien en être debarraſſé	Je voudrais bien en être débarrassé
ARLEQUIN.	ARLEQUIN.
Ecoutés nôtre Maître, nous ſommes dans un tems où les Filles ſe ſentent de bonne heure;	Écoutés notre Maître, nous sommes dans un temps où les Filles se sentent de bonne heure;
c’eſt une marchandiſe qui n’eſt pas de garde, il faut s’en deffaire dans ſa primeure, on attend icy des Officiers qui ne ſont pas ſcrupuleux, ces Meſſieurs là ſçavent empaumer l’eſprit d’une Fille, & menent ſon honneur ſi fort au galop qu’en moins de rien on le pert de vué.	c'est une marchandise qui n'est pas de garde, il faut s'en défaire dans sa primeure, on attend ici des Officiers qui ne sont pas scrupuleux, ces Messieurs là savent empaumer l'esprit d'une Fille, et mènent son honneur si fort au galop qu'en moins de rien on le pert de vé.
LE DOCTEUR.	LE DOCTEUR.
Polichinelle me la demande pour ſon grand beneit de Fis, il eſt n’iot, cependant il a du bien.	Polichinelle me la demande pour son grand bénit de Fis, il est n'iot, cependant il a du bien.
ARLEQUIN.	ARLEQUIN.
Il a du bien, hà nôtre Maître le bon titre de Nobleſſe & l’excellent merite, & vous dites qu’il eſt ſot, apprenés que quiconque a de l’argent a de l’eſprit plus lque tous les gueux enſemble, tenés voilà vôtre homme faite affaire.	Il a du bien, hà notre Maître le bon titre de Noblesse et l'excellent mérite, et vous dites qu'il est sot, apprenez que quiconque a de l'argent a de l'esprit plus lque tous les gueux ensemble, tenés voilà votre homme faite affaire.
SCENE III.	SCÈNE III.
POLICHINELLE, LE DOCTEUR, ET LEANDRE.	POLICHINELLE, LE DOCTEUR, ET LÉANDRE.
POLICHINELLE.	POLICHINELLE.
H!	H!
honneur Monſieur, ferons nous alA liance enfemble.	honneur Monsieur, ferons nous alA liance ensemble.
LE DOCTEUR.	LE DOCTEUR.
Dés aujourd’huy ſi vous voulés nous paſſerons Contract de Mariage, à quoy fert tant barguigné.	Dès aujourd'hui si vous voulez nous passerons Contrat de Mariage, à quoi sert tant barguigné.
POLICHINELLE Je le veux bien, voilà le Notaire, mais il me paroit bien ſoul.	POLICHINELLE Je le veux bien, voilà le Notaire, mais il me parait bien soul.
LEANDRE.	LÉANDRE.
Parbleu je me porte bien pas trop, car je ne ſçaurois me ſoûtenir, Alexandre eſt un grand ignorant de dire que le vin donne force, comme ces Medecins qui diſent que pour ſoûtenir le corps pendant un jour il ſuffit d'un demi ſeptier de vin, j’en ay bu plus de douze & ſi je ne peux changer de place ſans chanceler!	Parbleu je me porte bien pas trop, car je ne saurais me soutenir, Alexandre est un grand ignorant de dire que le vin donne force, comme ces Médecins qui disent que pour soutenir le corps pendant un jour il suffit d'un demi septier de vin, j'en ai bu plus de douze et si je ne peux changer de place sans chanceler!
ah le bourreau de vin!	ah le bourreau de vin!
an cu ailes voustous quaere,	an cv ailes voustous quaère,
LE DOCTEUR.	LE DOCTEUR.
Nous ne ſommes que deux.	Nous ne sommes que deux.
LEANDRE.	LÉANDRE.
Parbleu vous êtes pourtant quatre ou mes yeux voyent double (il les conte) que diable, c’eſt quaſi comme un certain jour que je voyois deux Lunes, & tout le monde ſe donnoit au Dlabre qu’il i'y en avoir qu’une?	Parbleu vous êtes pourtant quatre ou mes yeux voient double (il les conte) que diable, c'est quasi comme un certain jour que je voyais deux Lunes, et tout le monde se donnait au Dlabre qu'il j'y en avoir qu'une?
mais n’avés vous point mis les deux autres dans vôtre poche, qu’importe voilà une Chanſon.	mais n'avez -vous point mis les deux autres dans votre poche, qu'importe voilà une Chanson.
CHANSON.	CHANSON.
Quna te jort me cpagrine, Je bois tout mon ſou, Je jouë avec Catherine, Et fais avec elle le fou.	Quuna te jort me cagrine, Je bois tout mon sou, Je joue avec Catherine, Et fais avec elle le fou.
Le chagrin, l’inquietude, N’ont avec moy point d’habitude, Mes amis pour vivre contens, Il faut paſſer ainſi le tems.	Le chagrin, l'inquiétude, N'ont avec moi point d'habitude, Mes amis pour vivre contents, Il faut passer ainsi le temps.
LE DOCTEUR.	LE DOCTEUR.
Monſieur le Notaire laiſſés-là vôtre Chanſon, & faite un Contract de Mariage, pendant que vous barbouillerés vôtre papier je vais querir les parties les plus intereſſées,	Monsieur le Notaire laissez-là votre Chanson, et faite un Contrat de Mariage, pendant que vous barbouillerez votre papier je vais quérir les parties les plus intéressées,
EBARDRE.	EBARDRE.
Qui eſt-ce qui ſe marie bon homme.	Qui est-ce qui se marie bon homme.
LE DOCTEUR.	LE DOCTEUR.
Monſieur vous le dira.	Monsieur vous le dira.
Vôtre Nom.	Votre Nom.
LEANDRE.	LÉANDRE.
Jean.	Jean.
POLICHINELLE.	POLICHINELLE.
LEANDRE.	LÉANDRE.
Vous eſtes bien heureux de vous appeller Jean vous ne changerés pas de Nom;	Vous êtes bien heureux de vous appeler Jean vous ne changerez pas de Nom;
& celui de la Future.	et celui de la Future.
POLICHINELLE.	POLICHINELLE.
SFINETIL.	SFINETIL.
Le Notaire écrit deux lignes, & s’endort deſſus une Table.	Le Notaire écrit deux lignes, et s'endort dessus une Table.
SPINETTE.	SPINETTE.
Ouï mon Pere.	Ou mon Père.
LE DOCTEUR.	LE DOCTEUR.
En te ſatisfaiſant prend garde que pour une fille à ton âge la charge d’un maris eſt bien peſante.	En te satisfaisant prend garde que pour une fille à ton âge la charge d'un maris est bien pesante.
SPINETTE.	SPINETTE.
me vouy embunlunes pas mon Pere, je la ſoutiendray bien.	me voui embunlunes pas mon Père, je la soutiendrai bien.
LE DOCTEUR.	LE DOCTEUR.
Helas avancés donc, j’enrage d'avoir un Gendre ſi innocent.	Hélas avancez donc, j'enrage d'avoir un Gendre si innocent.
PIERROT.	PIERROT.
Eh bien me voilà, & pis bon jour Spinette, pargué vous n’étois îl y a quelque tems qu’une petite rave, preſentement vous ête un gros potiron, dame tu ris, eit-ce que tu te moques de moy, ſi je n’ay pas l’art de bien dire, je penſe beaucoup,	Eh bien me voilà, et pis bon jour Spinette, pargué vous n'étais ôl y a quelque temps qu'une petite rave, présentement vous ête un gros potiron, dame tu ris, eit-ce que tu te moques de moi, si je n'ai pas l'art de bien dire, je pense beaucoup,
SPINETTE.	SPINETTE.
Cand on eſt bien aiſe pourquoy ne pas rire.	Cand on est bien aise pourquoi ne pas rire.
PIERROT.	PIERROT.
C'eſt que tu-es bien aiſe que je t’aime.	C'est que tu-es bien aise que je t'aime.
SPINETTE.	SPINETTE.
Je n’en ſuis pas fâchée, puiſque cela eſt cauſe que je ſeraj maniee.	Je n'en suis pas fâchée, puisque cela est cause que je seraj ouïe.
PIERROT.	PIERROT.
na anne ta blen.	na anne ta blen.
Ouï SPINETTE.	Ouï SPINETTE.
PIERROT.	PIERROT.
Tu n’aimes que moy.	Tu n'aimes que moi.
Non.	Non.
SPINETTE.	SPINETTE.
PIERROT.	PIERROT.
Tu ne ſera pas mechante.	Tu ne sera pas méchante.
Non non.	Non non.
SPINETTE.	SPINETTE.
PIERROT.	PIERROT.
Et bonne menagere.	Et bonne ménagère.
SI INETTE.	SI INETTE.
Tu ſeras content.	Tu seras content.
PIERROT.	PIERROT.
Oh voila tout ce que je demande;	Oh voilà tout ce que je demande;
au moins ſi quelque Gallivarniaux vient te chiffonner cunle moy fuy le nes dred ton ſabot.	au moins si quelque Galivarniaux vient te chiffonner cunle moi fuis le nés dred ton sabot.
SPINETTE.	SPINETTE.
On n’a qu’à s’y venir frotter.	On n'a qu'à s'y venir frotter.
Baiſe moy.	Baise -moi.
PIERROT.	PIERROT.
SPINETTE.	SPINETTE.
Mais que je ſerons mariés.	Mais que je serons mariés.
PIENROR, He bien donne-moy ça davance.	PIENROR, He bien donne-moi ça davance.
ARLEQUIN.	ARLEQUIN.
CHANSON.	CHANSON.
Enfin Colas va eſpouſer Parrette, Dés aujour d’huy la nopce ſera faite, Par les Ecus la fortune luy rit, Car qui a de l’argent ne manque pas d’eſ prit.	Enfin Colas va épouser Parrette, Dès aujour d'hui la noce sera faite, Par les Écus la fortune lui rit, Car qui a de l'argent ne manque pas d'es prit.
Ioüiſſés du plaiſir que la nopce vous prepare, Aprés, ma foyil eſt bien rare, Tout au plus deux beuux joure, Etoufent les plus grands amours.	Jouissez du plaisir que la nopce vous prépare, Après, ma foiil est bien rare, Tout au plus deux bevux joure, Etoufent les plus grands amours.
SCENE	SCÈNE
SCENE V.	SCÈNE V.
LE DOCTEUR POLICHINELLE.	LE DOCTEUR POLICHINELLE.
PINETTE, ARLEQUIN, LEANDRE, OCTAVE, & PIERROT.	PINETTE, ARLEQUIN, LÉANDRE, OCTAVE, et PIERROT.
LEANDRE Jer bentum.	LÉANDRE Jer bentum.
Ca voulez-vous entendre, fut preſente * A Damoiſelle Spinette.	Ca voulez-vous entendre, fut présente * A Damoiselle Spinette.
OCTAVE.	OCTAVE.
Tout beau Notaire de village, qui eſt le Pere de cette Fille?	Tout beau Notaire de village, qui est le Père de cette Fille?
LE DOCTEUR.	LE DOCTEUR.
C’eſt moy.	C'est moi.
OCTAVE.	OCTAVE.
Eh bien j’en ſuis amoureux, cela t’eſtonne bon homme.	Eh bien j'en suis amoureux, cela t'étonne bon homme.
ARLEQUIN.	ARLEQUIN.
Morguïé Monſieur ne venés point troubler la relte de notre vilrage, ene ent promiſe à Pierrot, & il l’épouſera,	Morguïé Monsieur ne venez point troubler la relte de notre vilrage, ene ent promise à Pierrot, et il l'épousera,
OCTAVE.	OCTAVE.
Par bleu ce faquin eſt plaiſant, ſcais tu qui je ſuis?	Par bleu ce faquin est plaisant, sais tu qui je suis?
ARLEQUIN.	ARLEQUIN.
Eſt ce pour l’amour que vous avés une brette au côté que vous faite le Monſieur, vartigué je ne nous eſtonnons pas de ſi peu, allons Monſieur le Notaire eſcrivés, & c’eſt à moy à qui vous aurés affaire.	Est -ce pour l'amour que vous avez une brette au côté que vous faite le Monsieur, vartigué je ne nous étonnons pas de si peu, allons Monsieur le Notaire écrivez, et c'est à moi à qui vous aurez affaire.
OCTAVE.	OCTAVE.
Scais-tu maraut que ſi des antres affreux de ma colere j’en fais ſortir un tourbillon de feu, je te livre en poudre, & le joüet des vents, que de cẽt pas je vais ſouffler ton ame, de ton corps comme une chandelle, que je n’ay qu’à prononcer ta mort pour te mettre dans le neant, que je tiens ſous mes pieds l’intrepidité, & ne reçois de loy que de moy-méme, ce qu’on vante des Alexandres, des Ceſars, des Antoines, & des Pompées, n’eſt qu’un diminutif de ma force, & de ma valeur ſi l’ambition ſecondoit ce que je peus faire, je me ferois en 4.	Sais-tu pendant marauds si des antres affreux de ma colère j'en fais sortir un tourbillon de feu, je te livre en poudre, et le jet des vents, que de cẽt pas je vais souffler ton âme, de ton corps comme une chandelle, que je n'ai qu'à prononcer ta mort pour te mettre dans le néant, que je tiens sous mes pieds l'intrépidité, et ne reçois de loi que de moi-même, ce qu'on vante des Alexandres, des Césars, des Antoines, et des Pompées, n'est qu'un diminutif de ma force, et de ma valeur si fambition secondoit ce que je peus faire, et de ma en 4.
heures un empire de toute la terre.	heures un empire de toute la terre.
Si je ne craignois de fletrir la gloire de mes Anceſtres, en mettant la main ſur toy je te petrirois, & te redufrois en âtomes;	Si je ne craignais de flétrir la gloire de mes Ancêtres, en mettant la main sur toi je te petirais, et te rédufrais en âtomes;
ainſi croy moy ne cherche point à finir tes jours par une mort inſigne, ta temerité eſt genereuſe, je te la pardonne.	ainsi crois -moi ne cherche point à finir tes jours par une mort insigne, ta témérité est généreuse, je te la pardonne.
DE DOCTEUR.	DE DOCTEUR.
Pargué Monſieur pourquoy voulés vous eſpouſer ma fille malgré moy, & malgré elle, ce n’eſt pas rcomme cela qu’on eſpouſe le monde en ce païs-cy.	Pargué Monsieur pourquoi voulez vous épouser ma fille malgré moi, et malgré elle, ce n'est pas romme cela qu'on épouse le monde en ce pays-cy.
OCTAVE.	OCTAVE.
Je la connois il y a quinze jours, que jettant par hazard un regard ſur elle, elle fut ſenſible à l’aſpect de ma perſonne je m’en apperceu, & j’en fus touché.	Je la connais il y a quinze jours, que jetant par hasard un regard sur elle, elle fut sensible à l'aspect de ma personne je m'en aperçu, et j'en fus touché.
LE DOCTEUR.	LE DOCTEUR.
Connoiſſes vous, Monneur l’aimés-vous?	Connaisses -vous, Monneur l'aimez-vous?
2 INETTE.	2 INETTE.
Il m’a dit qu’il me feroit Madame.	Il m'a dit qu'il me ferait Madame.
CTAVE.	CTAUE.
Cela ne luy ſçauroit manquer.	Cela ne lui saurait manquer.
L Iuel Re Qu’il m’aimoit bien que je ſerois ſa femme.	 Luel Re Qu'il m'aimait bien que je serais sa femme.
LE DOCTEUR.	LE DOCTEUR.
Comment petite effrontée vous faite des amourettes ſans me le dire, voila un Contract de mariage avec Pierrot, que veux-tu que je faſſe, ſon Pere me va demander de gros domda ageaa mtcrets.	Comment petite effrontée vous faite des amourettes sans me le dire, voilà un Contrat de mariage avec Pierrot, que veux-tu que je fasse, son Père me va demander de gros domda agra monts.
OCTAVE.	OCTAVE.
Je vous en dedomageray.	Je vous en dédomagerai.
IERROT.	JERROT.
Pargué je vous en baille quittance auſſibien n’en voulois -je plus, aga la devergondée,	Pargué je vous en baille quittance aussibien n'en voulais -je plus, aga la devergondée,
LEANDRE.	LÉANDRE.
A voſtre air degagé Monſieur on voit que vous ſavés dançer.	À votre air dégagé Monsieur on voit que vous savez dançer.
TAVE.	TAUE.
Comment diable dançer, quand je fais une cabriole je m’ennuies en l’air.	Comment diable dançer, quand je fais une cabriole je m'ennuies en l'air.
B ij	B ij
SCENE VI.	SCÈNE VI.
MEZETIN, OCTAVESGIHETTE, & MREEQUII.	MEZETIN, OCTAUESGIHÉTTE, et MREQUII.
MEZETIN.	MEZETIN.
Ejoüiſſés-vous filles à marier voila un me negmmene de Dragons, qui vient pour vous eſpouſer ah!	Ejouissez-vous filles à marier voilà un me negmmene de Dragons, qui vient pour vous épouser ah!
bon jour Spinette eſt-tu manice:	bon jour Spinette est-tu maniée:
INETTE.	INETTE.
Non, mais je la ſeray bien-tôt.	Non, mais je la serai bientôt.
MEZETIN.	MEZETIN.
Au moins je retiens le droit du Seigneur pour mon Maître il m’a envoyé devant pour t’aneurer de ies bonnes graces;	Au moins je retiens le droit du Seigneur pour mon Maître il m'a envoyé devant pour t'aneurer de jes bonnes grâces;
mais comment appellés-vous ce Monſieur-là ah!	mais comment appelés-vous ce Monsieur-là ah!
c’eſt Monſieur Octave autrement dit la ramée.	c'est Monsieur Octave autrement dit la ramée,
SCTAVE.	SCTVE.
A Monſieur Mezetin ſauvés-moy la vie,ie n’ay quitté la compagnie que pour eſpouſer la fille que vous voyés, & de l’argent de ſon mariage en acheter mon congé.	À Monsieur Mezetin sauvez-moi la vie, n'ai quitté la compagnie que pour épouser la fille que vous voyez, et de l'argent de son mariage en acheter mon congé.
MEZETIN.	MEZETIN.
A qui diable te joüois-tu là, tous les hyvers elle eſt la maîtreſſe de mon Maître,	À qui diable te jouais-tu là, tous les hivers elle est la maîtresse de mon Maître,
mais toutes peines valent ſalaires, il n’eſt pas juſte que je te ſauve la vie gratis, & que je riſque que nôtre Capitaine le ſçachant ne me faſſe porter plus de coups de bâtons que l’arithimetique n’en ſauroit nombrer, vous ſçavez commemoy que ceux qu'il dome ſont bien conditionés.	mais toutes peines valent salaires, il n'est pas juste que je te sauve la vie gratis, et que je risque que notre Capitaine le sçachant ne me fasse porter plus de coups de bâtons que l'arithinetique n'en saurait nombrer, vous savez commemoi que ceux qu'il dôme sont bien condition.
ARLEQUIN.	ARLEQUIN.
Pargué Mezetin a bien fait de venir, il alloit tous nous petrir comme de la patre, & nous reduire en poudre.	Pargué Mezetin a bien fait de venir, il allait tous nous pétrir comme de la pâtre, et nous réduire en poudre.
SPINDTIE.	SPINDTIE.
Comment ſauver la vie, c’eſt Monſieur que je dois eſpouſer.	Comment sauver la vie, c'est Monsieur que je dois épouser.
MEZETIN.	MEZETIN.
Tu aurois fait là une belle fortune, il doit ſeulement étre pendu dans 15.	Tu aurais fait là une belle fortune, il doit seulement être pendu dans 15.
jours, il s’eſt engagé à mon Maître, il a deſerté, roy s’il en faut davantage, joint à cela quelque vol, aſſaſſin, & autre petite bagatelle pareille:	jours, il s'est engagé à mon Maître, il a déserté, roy s'il en faut davantage, joint à cela quelque vol, assassin, et autre petite bagatelle pareille:
au ſurplas n'ent nonnelte loinine.	au surplas n'ent nonnelte loinine.
DCTAVE.	DCTUE.
Tiens Mezetin voila 20.	Tiens Mezetin voilà 20.
loüis d’or que je te donne, & ma Maitreſſe que je te laiſſe.	louis d'or que je te donne, et ma Maîtresse que je te laisse.
ARLEQUIN.	ARLEQUIN.
Pargué Spinlette tu avois fait la une belle trouvaille.	Pargué Spinlette tu avais fait la une belle trouvaille.
SPINETTE.	SPINETTE.
A je ſuis trop malheureuſe je ne ſeray jamais mariée.	À je suis trop malheureuse je ne serai jamais mariée.
ARLEQUIN.	ARLEQUIN.
Il eſt arrivé depuis quelques jours un homme qui a du feu, qu’il nomme immortelle qui ne peut étre gardé que par des pucelles,	Il est arrivé depuis quelques jours un homme qui a du feu, qu'il nomme immortelle qui ne peut être gardé que par des pucelles,
ſi tu l’eſt va t’y en, cõme les filles de ce caractere ſont rares, & que la pluſpart dés hommes ont l’enteſtement d’en vouloir, tu n’y aurus pus eſté deux jours qu’au lieu d’un Amant tu en trouveras cinquante.	si tu l'est va -t-y en, comme les filles de ce caractère sont rares, et que la plupart dès hommes ont l'entêtement d'en vouloir, tu n'y aurus pût été deux jours qu'au lieu d'un Amant tu en trouveras cinquante.
STIRDTTE.	STIRDTTE.
Il n’eſt rien que je ne faſſe pour étre mariée.	Il n'est rien que je ne fasse pour être mariée.
MEZETIN.	MEZETIN.
Ma foy je croy qu’il ſera obligé de s’en retourner à Athenes:	Ma foi je crois qu'il sera obligé de s'en retourner à Athenes:
un jour en Hlandré, n’ayant point d’argent, je publiay dans la Ville, que j’eſtois le Concierge de l’Oracle d’Ap pollon, qui étoit autrefois à Delphes;	un jour en Hlandré, n'ayant point d'argent, je publiai dans la Ville, que j'étais le Concierge de l'Oracle d'Ap ollon, qui était autrefois à Delphes;
mais dans ce païs là comme dans d’autres qui a de l’argeut s’embarraſſe peu de l’avenir, les Oracles ont beau fulminer contr’eux, c’eſt un rempart contre les adverſités de la vie, outre que chacun ſe fait une prophetie en ſa faveur, le lacquais croit qu’aprés avoir couru le flambeau, il ſe repoſera dans le Carroſſe de ſon Maître;	mais dans ce pays là comme dans d'autres qui a de l'argut s'embarrasse peu de l'avenir, les Oracles ont beau fulminer contr’ elle, c'est un rempart contre les adversités de la vie, outre que chacun se fait une prophétie en sa faveur, le laçais croit qu'après avoir couru le flambeau, il se reposera dans le Carrosse de son Maître;
le Marchand conte ſur un gros gain pour acheter une charge qui l’annobliſſe;	le Marchand compte sur un gros gain pour acheter une charge qui l'annoblisse;
le Financier attend l’hermine pour depayſer ſa naiſſance;	le Financier attend l'hermine pour dépayser sa naissance;
l’Officier croit voir un jour de degré en degré en ſa main un bâton de Maréchal;	L'Officier croit voir un jour de degré en degré en sa main un bâton de Maréchal;
la Griſette eſtablit ſa fortune ſur la paſſion d’un grand Seigneur;	la Grisette établit sa fortune sur la passion d'un grand Seigneur;
