Source gallica.	Source galica.
apres la mort de leurs maris ont ils des circonſtances & des merueilles qui puiſſent eſtre iuſtemẽt comparées à celles que la force de voſtre Â mour nous a produites depuis ſept ans?	après la mort de leurs maris ont ils des circonstances et des merveilles qui puissent être iustemẽt comparées à celles que la force de votre Â mour nous a duites depuis sept ans?
Non certes, MADAME, car s’il eſt vray que l’Amour & la Vertu ſeules peuuent produire ces miracles, il eſt veritable auſſi que pour leur conſeruation & leur durée, elles ont encore beſoin d’vne certaine diſpoſition d’ame cõme la voſtre, & laquelle parauanture ne ſe rencontra pas toute entiere en celles de ces illuſtres Heroines.	Non certes, MADAME, car s'il est vrai que l'Amour et la Vertu seules peuvent produire ces miracles, il est véritable aussi que pour leur conservation et leur durée, elles ont encore besoin d'une certaine disposition d'âme cõme la vôtre, et laquelle paraventure ne se rencontra pas toute entière en celles de ces illustres Heroines.
Dans le vef ſentiment d’vn inſigne malhetr, La flame quelquefois eſtbien tostaualée Ayſement par le feron finit ſa douleur, On boit la cẽdre eſteinte, on dreſſe vn Mauſolée.	Dans le vef sentiment d'une insigne malhétr, La flamme quelquefois estbien tostaualée Aysement par le feron finit sa douleur, On boit la comdre éteinte, on dresse un Mausolée.
Mais viure de regrets, & nourrir vn tourment, Ougarderiour & nuict en parfaite Veſtale Cefeu dont vous bruſlez pour vn parfait Eſpoux;	Mais vivre de regrets, et nourrir un tourment, Ougarderiour et nuit en parfaite Vestale Cev dont vous brûlez pour un parfait Époux;
C’eſt vn acte d’Amour, & de foy coniugale Que nul autre n'eſgale, Dont la production n'appartenoit qu'à vous.	C'est un acte d'Amour, et de foi conjugale Que nul autre n'égale, Dont la production n'appartenait qu'à vous.
Il faut aduoüer (MADAME) que l’on remarque en vous depuis ſept années vne maniere de s’affliger ſi particuliere, que ſans participer où du deſeſpoir, où de la rage, elle a neantmoins toutes les marques eſſentielles d’vne tres-grande, & tres veritable douleur:	Il faut avouer (MADAME) que l'on remarque en vous depuis sept années h maniere de s'affliger si particulière, que sans particulier où du désespoir, où de la rage, elle a néanmoins toutes les marques essentielles d'une très-grande, et très véritable douleur:
vous auez apporté ce merueilleux temperament à ll’impetuoſité de voſtre dueïl, que de le maintenir touſiours dans toutes les reigles les plus eſtroites que la vertu, l’amour & le deuoir puiſſent preſcrire aux plus belles ames, en de pareilles infortunes, ſans toutesfois vous eſſoigner iamais de celles de la Philoſophié Chreſtienne, dont la rigueur ne s’eſtend pas iuſques à nous defendre de regreter les creatures, pourueu que nous le faſſions auec vne parfaite reſignation de nos volontés à celle du Createur:	Vous avez apporté ce merveilleux tempérament à l'impétuosité de votre dueïl, que de le maintenir toujours dans toutes les règles les plus étroites que la vertu, l'amour et le devoir puissent prescrire aux plus belles âmes, en de pareilles infortunes, sans toutefois vous essoigner jamais de celles de la Philosophié Chrétienne, dont la rigueur ne s'étend pas jusques à nous défendre de ré les créatures, pourvu que nous le fa ture vne parfaite résignation de nos volontés à celle du Créateur:
Auſſi dans les plus violents accez de ETTOIRE.	Aussi dans les plus violents accès de ÉTOIRE.
voſtre mal, on ne vous à point ouy murmurer ny, contre les decrets du Ciel;	votre mal, on ne vous a point oui murmurer ni, contre les décrets du Ciel;
ny contre les arreſts de la terre, & par des inuectiues inutiles, accuſer d’iniuſtice où de cruauté, les ordonnances de l’vn & de l’autre;	ni contre les arrêts de la terre, et par des invectiues inutiles, accuser d'injustice où de cruauté, les ordonnances de l'un et de l'autre;
au contraire de peur de rendre voſtre peine inſuportable à ceux qui vous approchent, vous auez la plus grand' partie du temps cette diſcretion, & cette bonté que de là renfermer au dedans, ſans en laiſſer paroiſtre au dehors, des teſmoignages plus importuns que les larmes, & les ſoûpirs:	au contraire de peur de rendre votre peine insuportable à ceux qui vous approchent, vous avez la plus grand partie du temps cette discrétion, et cette bonté que de là renfermer au dedans, sans en laisser paraître au dehors, des témoignages plus importuns que les larmes, et les soupirs:
De-là vient que voſtre ſouffrance eſtant preſque toute reſtrainte dans l’eſprit & dans le cœur, il eſt impoſſible qu’elle ne s’y faſſe beaucoup mieux ſentir qu’en ces courages ordinaires, de qui les plaintes immoderées en conſument vne partie;	De-là vient que votre souffrance étant presque toute restrainte dans l'esprit et dans le cœur, il est impossible qu'elle ne s'y fasse beaucoup mieux sentir qu'en ces courages ordinaires, de qui les plaintes immodérées en consument une partie;
vne choſe (MADAME) eſtonne tout le monde en voſtre aduanture, c’eſt de voir que les forces de voſtre corps ayent peû reſiſter tant de temps aux durs aſſauts que la triſteſſe donne à voſtre ame:	une chose (MADAME) étonne tout le monde en votre aventure, c'est de voir que les forces de votre corps aient pu résister tant de temps aux durs assauts que la tristesse donne à votre âme:
De moy ie confeſſe ingenument, quàmoins que de l’imputer à miracle, ie n’en puis deuiner la cauſe, ſi ce n’eſt peut eſtre que par vne longue habitude vous puiſſiez viure de douleurs, de la meſmne ſorte que Mitridate auoit pû viure de poiſons;	De moi était confesse ingénument, quàmoins que de l'imputer à miracle, quelque n'en puis deviner la cause, si ce n'est peut être que par une longue habitude vous puissiez vivre de douleurs, de la mesmne oins que Mitridate avait pu vivre de poisons;
au lieu de vous aller delaſſer comme il vous eſt encore permis, de l’ennuyeuſe cloſture du Chaſteau de Moulins, dans l’agreable liberté de celle du Chaſteau de Fere, de qui l’aſſiette pour le moins, & les promenoirs euſſent contribué quelque choſe au diuertiſſement de voſtre ennuy, vous vous eſtes choiſi vous meſme vne demeure ſieſtroite, & ſi peu ſortable à la grandeur de voſtre naiſſance, qu’on la peut iuſtement nommer vne volontaire priſon:	au lieu de vous aller délasser comme il vous est encore permis, de l'ennuyeuse clôture du Château de Moulins, dans l'agréable liberté de celle du Château de Fère, de qui l'assiette pour le moins, et les promenoirs eussent contribué quelque chose au divertissement de votre ennui, vous vous êtes choisi vous -même demeure siestroite, et si peu sortable à la grandeur de votre naissance, qu'on la peut iustement nommer une volontaire prison:
C’eſt dans cette retraite ſolitaire & ſaincte, qu’apres les exercices de pieté, tantoſt le ſouuenir des perfections de voſtre incomparable Eſpoux, tantoſt celuy de vos felicitez paſſées, & tantoſt la conſideration de vos miſeres preſentes vous deſrobent inſenſi blément toutes les fleures de voitre vie, à la reſerue de deuxoù trois que vous donnez chaque iour àvos domeſtiques, afin de les conſoler de voſtre preſence;	C'est dans cette retraite solitaire et sainte, qu'après les exercices de piété, tantôt le souvenir des perfections de votre incomparable Éspoux, tantôt celui de vos félicités passées, et tantôt la considération de vos misères présentes vous dérobent insensi blément toutes les fleures de voitre vie, à la réserve de deuxoù trois que vous donnez chaque jour àvos domestiques, afin de les consoler de votre présence;
Ie ne doute point ( MADAME) que ce diſcours ne ſemble eſtrange a pluſieurs & ne leur faſſe dire que i’ay mauuaiſe grace de r’affraichir vos douleurs, que ie reporte indiſcretement le fer dans voſtre playe, & qu’il me ſier oit mieux de me taire abſolument que de veus entretenir ſur vne funeſte matiere dont ceux qui cherchent voſtre repos ne vous deuroient iamais parler, afin de vous en laiſſer perdre inſenfiblement le ſouuenir & l’amertume, mais ſans offencer ces Critiques ne connoiſſant pas ſi parfaitement que moy la trempe & la nature de voſtre cœur, ils ont mauuaiſe grace eux meſme d’en meſurer la force, & les ſentimens à ceux des courages ordinaires.	Je ne doute point ( MADAME) que ce discours ne semble étrange a plusieurs et ne leur fasse dire que j'ai mauvaise grâce de raffraichir vos douleurs, que tu reporte indiscrètement le fer dans votre plaie, et qu'il me sier oit mieux de me taire absolument que de veux entretenir sur une funeste matière dont ceux qui cherchent votre repos ne vous devraient jamais parler, afin de vous en laisser perdre insensiblement le souvenir et l'amertume, mais sans offenser ces Critiques ne connaissant pas si parfaitement que moi la trempe et la nature de nouveaux cœur, ils ont mauuaise grace eux même en mesurer la force, et les ont ceux des ma ordinaires.
Il eſt certain que la plus grand’partie des plus affligez ne ſont pas marris d’obtenir du Temps, & de l’oubly qui l’accompagne la quietude oulindolence qu’ils n’oſer oient apparemment eſperer de la Raiſon;	Il est certain que la plus grand'partie des plus affligés ne sont pas marris d'obtenir du Temps, et de l'oubli qui l'accompagne la quiétude oulindolence qu'ils n'oser aient apparemment espérer de la Raison;
de la vient que non ſeulement ils ne ſouhaitent pas qu’on les entretienne de leur infortune mais encore OIRE.	de la vient que non seulement ils ne souhaitent pas qu'on les entretienne de leur infortune mais encore OYRE.
qu’ils euitent autant qu’ils peuuent rous les diſcours, & tous les obiects qui ſont capables de rebleſſer leur imagination & d’y repeindre ces triſtes images que la ſuitte des iours, & leur propre conſentement auoient finalement effacées, C’eſt ie l’auouë pour cette ſorte d’Eſprits, qu’il faut auoir la diſcretion de ne propoſer iamais que des matieres de ioye, où pour le moins de diuertiſſement.	qu'ils évitent autant qu'ils peuvent rous les discours, et tous les objets qui sont capables de reblesser leur imagination et d'y repeindre ces tristes images que la suitte des jours, et leur propre consentement avaient finalement effacées, C'est apprendre l'avoue pour cette sorte d'Esprits, qu'il faut avoir la discrétion de ne proposer jamais que des matières de joie, où pour le moins de divertissement.
C’eſt à ces yeux la plus las qu’affoiblis de pleurer, & de voir des chambres tendues de noir, qu'on ne doit offrir que du verd gay, des fleurs, & des roſes ſans eſpines, C’eſt ainſi qu’il eſt neceſſaire d’en vſer, pour s’acquerir leurs bonnes graces, mais ce n’eſt pas ainſi que ie veux traiter auec vous, ayant autrefois eſt:	C'est à ces yeux la plus las C'affoiblis de pleurer, et de voir des chambres tendues de noir, qu'on ne doit offrir que du verd gay, des fleurs, et des roses sans épines, C'est ainsi qu'il est nécessaire d'en user, pour s'acquérir leurs bonnes grâces, mais ce n'est pas ainsi que je veux traiter avec vous, ayant autrefois est:
lié trop ſoigneuſement voſtre naturel pour ignorer auiourd’huy que cette imprudente procedure me ſeroit pluſtoſt vn moyen de n’arriuer iamais aux voſtres.	lié trop soigneusement votre naturel pour ignorer aujourd'hui que cette imprudente procédure me serait plutôt un moyen de n'arriver jamais aux vôtres.
Non non (MADAME) ie ſuis trop bien inſtruit de l’exceſſiue grandeur de voſtre perte pour m’oppoſer en vous conſolant à celle de voſtre douleur, dont la longueur, la violence, & l’eſgalité tiennent les ſages de noſtre Siecle, en perpetuelle admiration de voſtre vertu, ouy, MADAME, il eſt hors de doute que vous auez perdu, le plus braue, le plus genereux, le plus liberal, le plus vaillant en vn mot le plus aymable, & le plus accomply Heros, ſoit pour la paix, iuit pour la guerre, de qui l’humaine imagination ſe pu iſſe faire vne parfaite Idée, & ie ſuis aſſeuré, que la nourriture qu’il m’a donnée, ne rendra point ſuſpectes à ceux qui l’ont bié connu, les merueilles que i’en eſcris, ny celles que i’en eſcriray, puiſque ce ſont des veritez que l’Enuie la plus impudente auroit honte de conteſter;	Non non (MADAME) ie suis trop bien instruit de l'excessive grandeur de votre perte pour m'opposer en vous consolant à celle de votre douleur, dont la longueur, la violence, et l'égalité tiennent les sages de notre Siècle, en perpétuelle admiration de votre vertu, ouï, MADAME, il est hors de doute que vous avez perdu, le plus brave, le plus généreux, le plus libéral, le plus vaillant en un mot le plus aimable, et le plus accompli Héros, soit pour la paix, j' pour ma guerre, de qui l'humaine imagination se pu isse faire parfaite Idée, et ie suis asseuré, que la nourriture il a donnée, ne rendra point suspectes ceux qui ont bié connu, les merveilles que en écris, ni celles que en escriray, puisque ce sont des vérité que Enuie la plus impudente auroit honte de contester;
de façon, MADAME, que loin d’arreſter des pleurs dont le cours eſt ſi legitime, ie vous exhorterois moymeſme à leur effuſion eternelle, ſi voſtre genereuſe triſteſſe auoit beſoin d’eſtre ſolicitée;	de façon, MADAME, que loin d'arrêter des pleurs dont le cours est si légitime, je vous exhorterais moymesme à leur effusion éternelle, si votre généreuse tristesse avait besoin d'être solicitée;
ne faites donc iamais de treue auec vos ennuis:	ne faites donc jamais de trouve avec vos ennuis:
mais regrettez encore dauantage s’il eſt poſſible vne ſibelle vie, & ſi regretable en ſon malheur, que la Iuſtice elle meſme contrainte qu’elle fut, de la ſacrifier à la rigueur de ſes loix, où pour mieux dire, aux plus ſeueres maximes de la raiſon d’Eſtat, ne peût s’empeſcher de moüiller ſon bandeau de larmes, elle qui dés la naiſſance des Republiques, des Monarchies & des Empires doit eſtre accouſtumée, & comme endurcie aux ſpectacles ſanglans que ſes balãces exigent tous les iours de ſon Eſpée:	mais regrettez encore davantage s'il est possible une sibelle vie, et si regretable en son malheur, que la Justice elle -même contrainte qu'elle fut, de la sacrifier à la rigueur de ses lois, où pour mieux dire, aux plus sévères maximes de la raison d'État, ne put s'empêcher de mouiller son bandeau de larmes, elle qui dés la naissance des Républiques, des Monarchies et des Empires doit été accoutumée, et comme endurcie aux spectacles sanglants que ses balãces exigent tous les jours de son Espée:
Et pour ce que les puiſſances de l’ame toutes ſpirituelles qu’elles ſont, ne laiſſent pas d’auoir beſoin du ſecours des sẽs, ſoit pour fortifier, ſoit pour entretenir l’exercice de leurs operations:	Et pour ce que les puissances de l'âme toutes spirituelles qu'elles sont, ne laissent pas d'avoir besoin du secours des sommes, soit pour fortifier, soit pour entretenir l'exercice de leurs opérations:
ie preſente à vos yeux l’ouurage de tous les miens le plus capable ce me ſemble de nourrir voſtre melancholie, & de vous donner vne plus viue apprehenſion de voſtre infortune, vous y remarque rez deux Amants ſi parfaits & neantmoïns ſi malheureux dans l’innocence de leurs A mours & de leurs vies, qu’ils nous feroient quaſi ſoupç onner le Ciel d’iniuſtice, ſi luy meſme ne nous auoit aduertis il y a long.	Les présente à vos yeux l'ouvrage de tous les miens le plus capable ce me semble de nourrir votre mélancolie, et de vous donner une plus vive appréhension de votre infortune, vous y remarque rez deux Amants Amants parfaits et neantmoïns si malheureux dans l'innocence de leurs A ours et de leurs vies, qu'ils nous feraient quasi soupç onner le Ciel d'injustice, si lui même ne nous avait avertis il y a long.
temps par la bouche de ſes Oracles, que ſes iugemens ſont des gouffres & des abiſmes;	temps par la bouche de ses Oracles, que ses jugements sont des gouffres et des abîmes;
vous y deſcouurirez des intriques & des meſchancetez de Cour, qui vous conſirmeront dans la ſage reſolution que vous auez priſe, de ne vous remettre iamais ſur vne Mer qui vous a teſmoigné ſon infidelité par vn ſi pitoyable naufrage, vous y verrez nager vn Throſne dans vn fleuue de sãg & de larmes, & par des accidens effroyables, la plus grande & la plus heureuſe Maiſon de tout l’Orient deuenir preſque en vn moment & le Theatre & le ſubiet des Tragedies de la fortune, enfin MADAME, vous y trouuerez des choſes des ſentimens & des paroles aſſez conformes à l’Eſtat preſent de voſtre eſprit & de voſtre condition, receuez-le donc s’il vous plaiſt aucc cette merueilleuſe bonté que i’ay tant de fois eſprouuée, en attendant que ie deſgage bien toſt ma parole enuers vous, par vne production de mon eſprit & de mon zele, plus noble & plus conſiderable que cette-cy, là certes ſi iene me trompe, ie parleray ſi bien des morts, ſans offencer les viuans, que de long-temps la memoire de leurs belles actions ne les ſuiura dans le Tombeau;	vous y découvrirez des intriques et des méchancetés de Cour, qui vous consirmeront dans la sage résolution que vous avez prise, de ne vous remettre jamais sur une Mer qui vous a témoigné son infidélité par un si pitoyable naufrage, vous y verrez nager un Thrône dans un fleuve de sãg et de larmes, et par des accidents effroyables, la plus grande et la plus heureuse Maison de tout l'Orient de presque en l' moment et on Sujet et le sujet des Tragédies de la fortune, enfin MADAME, vous y trouvelez des choses des sentimen et des paroles assez conformes Estat présent de vôtre esprit et se vôtre condition, receuez-le donc il vous plaît aucc cette me bonté que ay tant de fois esprouuée, en attendant que ie des bien tôt ma parole envers vous, par production de mon esprit et de mon zele, plus noble et plus considérable que cette-cy, certes si en me trompe, ie parlerai si bien des m, sans en les viuans, que de longts la mémoire de l' Es actions ne les a dans le Tombeau;
C'eſt iuſques où s’eſtendront aſſeurement le reſpect & la fidelité que doit auoir pour voſtre grandeur.	C'est jusques où s'étendront assurément le respect et la fidélité que doit avoir pour votre grandeur.
MADAME,	MADAME,
Son tres-humble, tres-obeyſſant.	Son très-humble, très-obéissant.
& tres-obligé ſeruiteur.	et très-obligé serviteur.
MAIRET, 2	MAIRET, 2
Aduertiſſement au Lecteur.	Aduertissement au Lecteur.
My où non amy Lecteur, cpuis qu’en fin tu peux-eſtre 63L I’vn & l’autre) afin que la reſſemblance du tiltre & du ſuiet de ce Poëme ne t’abuſe point, ie t’aduertis que le Solyman qu’on mit en lumiere il y a deux ans, n’eſt point de moy :	Mi où non ami Lecteur, cpuis qu'en fin tu peux-être 63L J'un et l'autre) afin que la ressemblance du titre et du sujet de ce Poème ne t'abuse point, tu t'avertis que le Solyman qu'on mit en lumière il y a deux ans, n'est point de moi :
Ce n’eſt pas que ſon Autheur quine s’eſt pas ſoucié d’y mettre ſon nom, ne ſoit plus honneſt-homme & plus aduancé dans le Parnaſſe que ie ne ſuis:	Ce n'est pas que son Auteur quine s'est pas soucié d'y mettre son nom, ne soit plus honnêt-homme et plus avancé dans le Parnasse que je ne suis:
mais quoy qu’il en ſoit, n’eſtant pas d’humeur à m’enrichir iniuſtement du bien d’auttuy:	mais quoi qu'il en soit, n'étant pas d'humeur à m'enrichir injustement du bien d'autui:
le te declare encor vn coup, que voicy le ſeul qui eſt veritablement de ma façon, poſſible ne l’en-eſtimeras-tu pas dauantage, n’importe, ſi tu n’as rien de meilleur à faire, donne toy la pucoilouubrbmtouute mpeu duteciition, & tuverrasqueie l’ay compoſé auec beaucoup de ſoin, & que ſi c’eſt vne imitation du Gomte Quido Baldi, au moins n’eſt elle pas des plus ſeruiles.	le te déclare encor un coup, que voici le seul qui est véritablement de ma façon, possible ne l'en-estimeras-tu pas davantage, n'importe, si tu n'as rien de meilleur à faire, donne toi la pucoilouubrbmtouute meute meuteciition, et tuverrasqueie l'ai composé avec beaucoup de soin, et que si c'est une imitation du Gomte Quido Baldi, au moins n'est elle pas des plus serviles.
EXTRAICT DV PRIVILEGE DV ROY.	EXTRAICT DU PRIVILÈGE DU ROY.
Ar grace & Priuilege du Roy, il eſt permis à AVGVSTIN COVRBE'.	Ar grâce et Privilège du Roi, il est permis à AUGUSTIN COURBE'.
I Marchand Libraire à Paris, d’imprimer,vendre & diſtribuer vn Liure intitulé, Le Grand & dernier Solyman, où la mort de Muſtapha, Tragedie par Monſieur de Mairet.	I Marchand Libraire à Paris, d'imprimer,vendre et distribuer un Livre intitulé, Le Grand et dernier Solyman, où la mort de Mustapha, Tragédie par Monsieur de Mairet.
Repreſentee par la trouppe Royale, Faiſant tres expreſſes inhibitions & defences à tous Libraires & Imprimeurs, ou aucres de nos Subjets, de quelque qualité & condition qu’ils ſoient, d’Imprimer, où faire Imprimer ledit Liure, le vendre, faire vendre,ny debiter par noſtre Royaume, durant le temps & eſpace de dix ans, à compter du iour qu’il ſera acheué d’imprimor;	Représente par la troupe Royale, Faisant très expresses inhibitions et défenses à tous Libraires et Imprimeurs, ou aucres de nos Subjets, de quelque qualité et condition qu'ils soient, d'Imprimer, où faire Imprimer ledit Livre, le vendre, faire vendre, débiter par notre Royaume, durant le temps et espace de dix ans, à compter du jour qu'il sera achevé d'imprimor;
ſi ce n’eſt de ceux dudit Expoſant:	si ce n'est de ceux dudit Exposant:
à peinc de quinze cens liures d’amende, & de tous deſpens, dommages & intereſts, comme il appert plus au long par les Lettres du Priuilege.	à peinc de quinze cens livres d'amende, et de tous dépens, dommages et intérêts, comme il appert plus au long par les Lettres du Privilège.
Donné à Paris, le 20.	Donné à Paris, le 20.
Feurier, l’An de grace 1639.	Février, l'An de grâce 1639.
Et de noſtre regne le 29.	Et de notre règne le 29.
Par le Roy en ſon Conſeil.	Par le Roi en son Conseil.
Signé CONRARD.	Signé CONRARD.
Et ſeellé du ſceau de cire jaune.	Et seellé du sceau de cire jaune.
LES ACTEVRS SOLTMAN, Roy de Thrace, où de Turquie.	LES ACTEURS SOLTMAN, Roi de Thrace, où de Turquie.
MVSTAPHA, Fils de Solyman.	MUSTAPHA, Fils de Solyman.
SConſeiller de Solyman, & amy	SConseiller de Solyman, et ami
BAIAZET, Lieutenant & amy de Muſtapha.	BAIAZET, Lieutenant et ami de Mustapha.
OICCIPBIE, Vicil eſclaue de la Sultane.	OICCIPBIE, Vicil esclave de la Sultane.
OSMAN, Confident de Ruſtan.	OSMAN, Confident de Rustan.
ALVANTE, Gouuerneur de Deſpine.	ALVANTE, Gouverneur de Despine.
DESPINE Fille du Roy de Perſe, Amazone, ( & Amante de Muſtapha.	DÉPINE Fille du Roi de Perse, Amazone, ( et Amante de Mustapha.
ROXELANE, Sultane eſt femme de Solyman.	ROXELANE, Sultane est femme de Solyman.
HERMINE, Eſclaue & fauorite de la Sultane.	HERMINE, Esclave et favorite de la Sultane.
ALICOLA Vieille eſtrangere qui fait la reconoiſſance de Muſtapha.	ÀLICOLA Vieille étrangère qui fait la reconaissance de Mustapha.
La SCENE eſt en Alep ville de Syrie, la piece eſt dans toutes les reigles de la Tragedie.	La SCÈNE est en Alép ville de Syrie, la pièce est dans toutes les règles de la Tragédie.
L E SOEA RETTE DV LA MORT DE MVSTAPHA.	L E TOEA RETTE DU LA MORT DE MUSTAPHA.
TRAGEDIE.	TRAGÉDIE.
ACTE PREMIER.	ACTE PREMIER.
SCENE PREMIERE LA SVLTANE, HERMINE,	SCÈNE PREMIÈRE LA SULTANE, HERMINE,
I SVLTANE.	I SULTANE.
Elas comment veux-tu chere & fidelle { Hermine .	Élas comment veux-tu chère et fidèle ô Hermine .
*.	*.
Qu'au Prince Muſtapha ie faſſe bonne mine?	Qu'au Prince Mustapha ici fasse bonne mine?
Luy qui de iour en iour s’eſleue triomphant Poitr le derniermalheur de mon dernier enfant, Luy qui preſque en naiſſant fut le meurtrier d’vn autre Et qui ne peut manquer d’eſtre encore le noſtre.	Lui qui de jour en jour s'esleue triomphant Poitr le derniermalheur de mon dernier enfant, Lui qui presque en naissant fut le meurtrier d'un autre Et qui ne peut manquer d'être encore le nôtre.
HERMINE.	HERMINE.
Madame ie ſçay trop que vous auez raiſon De craindre pour vous meſme, & pourvoſtre maiſon Puiſque la loy d'Eſtat, veut que les Rois de Thrace, Commencent de regner par la fin de leur race, Et que pour s’eſtablir, les barbares qu’ils ſont Perdent eſgallementtous les freres qu'ils ont, Mais comme ieune eſclaue ileſt vray que i’ignore Le ſort de l’autre fils que vous plaïngnez encore.	Madame ie sais trop que vous avez raison De craindre pour vous -même, et pourvotre maison Puisque la loi d'État, veut que les Rois de Thrace, Commencent de régner par la fin de leur race, Et que pour s'établir, les barbares qu'ils sont Perdent également les frères qu'ils ont, Mais comme jeune esclaue ilest vrai que j'ignore Le sort de l'autre fils que vous plaïngnez encore.
LTANE.	LTANE.
Le vingtieſme Soleil fait ſon cours maintenant Depuis qu'Haly Baſſa ce fameux Lieuténant, Entra dans la Rußie, & l’ayant ſaccagée M'offrit à Solyman de trois luſtres aagee, Dunc on piiong oſcoure min fouune ſuſfit A dire les honneurs & les biens qu’il me fit;	Le vingtième Soleil fait son cours maintenant Depuis qu'Hali Bassa ce fameux Lieutenant, Entra dans la Russie, et l'ayant saccagée M'offrit à Solyman de trois lustres aage, Dunc on piiong oscoure min fouune susfit À dire les honneurs et les biens qu'il me fit;
