ARG MENT DE LATRAGICOMEDIE.	ARG MENT DE LATRAGICOMEDIE.
Mais au lieu de ce ledit Medecin deliura audit Thomas vne phiole pleine d’vne compoſition dormitiue, laquelle eſtant receüe fut miſe dans vn voire ſur le buffet de la ſalle, penſant que ledit Fabrice reuenant de la chaſſe ne failliroit de la boire, comme eſtant alteré.	Mais au lieu de ce dit Médecin délivra audit Thomas une phiole pleine d'une composition dormitive, laquelle étant reçue fut mise dans un voire sur le buffet de la salle, pensant que ledit Fabrice revenant de la chasse ne faillirait de la boire, comme étant altéré.
Mais Dieu qui voit toutes nos actions permit que la choſe ne reuſſit comme elle s’eſtoit imaginé.	Mais Dieu qui voit toutes nos actions permit que la chose ne reussit comme elle s'était imaginé.
Ains au contraire ſon fils Anthoine ayant vne grande alteration print à l’improuiſte ceſte compoſition, & la beut, laquelle commença auſſi toſt à operer ſes effets, & tomba à la place comme mort.	Ain au contraire son fils Antoine ayant une grande altération prit à l'improuiste cette composition, et la but, laquelle commença aussi tôt à opérer ses effets, et tomba à la place comme mort.
La mere eſpouuentée auec ſa nourrice, & voyant l’inconuenient aduenu à ſon fils, fait accroire à ſon mary lequel eſtoit venu de ſadite metairie que ledit Fabrice l’auoit empoiſoné, pour lequel ledit breuuage auoit eſté apreſté, lequel eſt prins & lié par ſon pere, & mené deuant le Senat, auquel lieu apres auoir eſté accuſé par les ſuſdits teſmoins, eſt condamné d’auoir la teſte trenchee:	La mère espouuentée avec sa nourrice, et voyant l'inconvénient avenu à son fils, fait accroire à son mari lequel était venu de sadite métairie que ledit Fabrice l'avait empoisoné, pour lequel ledit breuage avait été apprêté, lequel est prins et lié par son père, et mené deuant le Sénat, auquel lieu après avoir été accusé par les susdits témoins, est condamné d'avoir la tête trenche:
le Medecin ſuruient ſur la prononciation de l’arreſt, lequel fait retarder l’execution, & conte audit Senat comme le tout s’eſtoit paſſé, & meine quelques Seigneurs dudit Senat au cercueil dudit Anthoine, luy frotte les temples de cerain onguent, lequel le fiſt reuenir en ſa preniere conualeſcence, & leur dit comme il a.	le Medecin survient sur la prononciation de l'arrêt, lequel fait retarder l'exécution, et conte audit Sénat comme le tout s'était passé, et mène quelques Seigneurs dudit Sénat au cercueil dudit Antoine, Seigneur frotte les temples de cerain onguent, lequel le fît revenir en sa prenière convalescence, et leur dit comme il a.
uoit pris ceſte compoſition.	uoit pris ceste composition.
Et par ce moyen fut deliuré ledit Fabrice, & ladite Dame Marfilie ſa belle Mere conuaincuë du fait, la nouririce & Thomas bannis (auec icelle ) comme faux teſmoins, Pour la fin, Fabrice rend graces a Dieu, lequel l’auoit ſi miraculeuſement deliuré de la mort, laquelle il eſtoit preſt de ſubir, ſans l’aduertiſſement du Medecin.	Et par ce moyen fut deliuré ledit Fabrice, et ladite Dame Marfilie sa belle Mère conuaincuë du fait, la nourririce et Thomas bannis (avec icelle ) comme faux témoins, Pour la fin, Fabrice rend grâces à Dieu, lequel l'avait si miraculeusement délivré de la mort, laquelle il était prêt de subir, sans l'avertissement du Médecin.
Noms des Acteurs de la Tragi-comedie.	Noms des Acteurs de la Tragi-comédie.
MARFILIE.	MARFILIE.
THOMAS SERVITEV	THOMAS SERVITEU
MEDECIN.	MÉDECIN.
FABRICE.	FABRICE.
PHOCVS MARI DE MARSILIE PERE	PHOCUS MARI DE MARSILIE PERE
ANTHOINE FTIS DE MARSILIE.	ANTHOINE FTIS DE MARSILIE.
LE PREMIER CONSEILLER.	LE PREMIER CONSEILLER.
LE SECOND CONSEILLER.	LE SECOND CONSEILLER.
LE IXGE.	LE IXGE.
IE BOVRREAT.	JE BOUREAT.
TRAGICOMEDIE.	TRAGICOMEDIE.
ACTE PREMIERE.	ACTE PREMIÈRE.
MARFILIE.	MARFILIE.
Vel feu rampe en mon cœur?	Vel feu rampe en mon cœur?
quelle flame cruelle,  RU.	quelle flamme cruelle, RU.
Ay Furetans dans mes os, conſume leur moüelle?	Ai Furetant dans mes os, consume leur mouelle?
Seroit-ce toy Amour, implacable boirreau, Sorcier ſeroit-ce toy qui d’vn philire nouueau Enſorcelle mes ſens?	Serait-ce toi Amour, implacable boirreau, Sorcier serait-ce toi qui d'un philire nouveau Ensorcelle mes sens?
non non ta chaude flame, Ne pourroit eſchauffer les glaces de mon ame:	non non ta chaude flamme, Ne pourrait échauffer les glaces de mon âme:
Mon Auril eſt paßé, ie courbe ſous le poix De mes ans eſcoulez à grand peine ma voix Exprime les conceps de mon eſprit languide, Ià mon front crystallin de mainte noire ride 0 N’est plus comme il ſouloit le louure & le ſeiour, Et le Corail beſſon de mes leures ſucrines, 417 Des graces, des heautez de Cypris & d’Amour:	Mon Auril est passé, Seigneur courbe sous le poix De mes ans écoulez à grand peine ma voix Exprime les conceps de mon esprit languide, Ià mon front crystin de main noire ride 0 N'est plus comme il soûlait le louvre et le séjour, Et le Corail besson de mes très sucrines, 417 Des grâces, des hautés de Cypris et d'Amour:
Mes iouës ne ſont plus neigeuſement pourprines,	Mes joues ne sont plus neigeusement pourprines,
Palle ne ſemond plus vn amoureux baiſer Qui pouuoit les plus froids doucemont embraſer, Bref ie ne ſemble plus qu'vne tronche animee, Qu'vn phantoſme ombrageux, qu'vne idole enfumee, Dont le moite cerueau diſtille inceſſamment Par ſes canaux communs vn fœtide excrement:	Palle ne semond plus un amoureux baiser Qui pouvait les plus froids doucemont embraser, Bref assez ne semble plus qu'une tronche animée, Qu'Un phantôme ombrageux, qu'une idole enfumée, Dont le moite cerveau distille incessamment Par ses canaux communs vn fœtide excrément:
Et toutesfois ie ſens vne flame traiſtreſſe Bruſler honteuſement ceſte morne vieilleſſe:	Et toutefois Seigneur Se vne flamme traîtresse Brôler honteusement cette morne vieillesse:
Ah!	Ah!
vrayement c’eſt Amour, ie recognoy ſes traits, Sa bleſſure, ſon feu, ſon amorce, & ſes rets, Reths, amorces, feu, traits donc cruel il fait guerre Au ciel & à l’Enfer, à l’air & à la terre.	vraiment c'est Amour, je reconnais ses traits, Sa blessure, son feu, son amorce, et ses retours, Reths, amorces, feu, traits donc cruel il fait guerre Au ciel et à l'Enfer, à l'air et à la terre.
Ah!	Ah!
traiſtre, foilloit il que ma foible raiſon Enhumaſt derechef ta lubrique poiſon?	traître, faillait -il que ma faible raison Enhumât derechef ta lubrique poison?
Falloit il que ce corps, ains ceſte vieille eſcorce Fuſt encor empeſtree au glu de ton amorce.	Fallait -il que ce corps, ains cette vieille écorce Fût encor emparée au glu de ton amorce.
Peſte de l’vniuers, la ſage antiquité, A bon droit t’a dépeint vn volage éuenté, Sans raiſon, ſans conſeil, ſans yeux, ſans prouidence, Hé ſi tu balançois au poids de ta prudence Tes effets inconſtans, aurois tu forcené Bleßé mon cœur vieillard de ton traict empenné, Ces membres mi-caſſez, ceſte panthoiſe haleine, Languiroyent-ils au ioug d’vne eſperance vaine?	Peste de l'Hivers, la sage antiquité, A bon droit t'a dépeint un volage éventé, Sans raison, sans conseil, sans yeux, sans providence, Hé si tu balançais au poids de ta prudence Tes effets inconstant, aurais tu forcené Blevé mon cœur vieillard de ton trait empenné, Ces membres mi-cassez, ceste panthoise haleine, Languiraient-ils au joug d'une espérance vaine?
Encor ſi mon vainqueur eſtoit ſortable à moy, Mais celuy-là qui eſt mon fils ſelon la loy, De qui l’âge recent inepte à ces alarmes De l’archer Paphien va rebouchant les armes,	Encor si mon vainqueur était sortable à moi, Mais celui-là qui est mon fils selon la loi, De qui l'âge récent inepte à ces alarmes De l'archer Paphien va rebouchant les armes,
Comme -vn ieune poulain qui encor ne ſent pas Les aiguillons d’Amour, foule d’vn libre pas Le riche émail des fleurs grauit ſur les montaignes, Trepigne en mille bods ſur les vertes campagnes, Ce pendant qu’apres luy vn gemiſſans troupeau De femelles aſpire au vain de ſon cerueau, Ainſi mon Adonis, mon Athis, mon Anchiſe Se mocque de l’amour ſes armes il meſpriſe.	Comme -vn jeune poulain qui encor ne sent pas Les aiguillons d'Amour, foule d'Homme libre pas Le riche émail des fleurs gravit sur les montagnes, Trépigne en mille bods sur les vertes campagnes, Ce pendant qu'après au vn gémissants troupeau De femelles aspire au vain de son cerveau, Ainsi mon Adonis, mon Athis, mon Anchise Se moque de l'amour ses armes il méprise.
Vne trompe, des reths, des pieges, des liens, Vn rapide eſperuier, vne meutte de chiens, Sont ſes ſeuls paſſetemps, ſes plaiſirs, ſes delices, Son amour ſon deſir, ſes plus doux exercices.	Une trompe, des reths, des pièges, des liens, Un rapide épervier, une meute de chiens, Sont ses seuls passetemps, ses plaisirs, ses délices, Son amour son désir, ses plus doux exercices.
Mais que dis tu pauurerte:	Mais que dis tu pauvrerte:
en quel profond ſommeil Languiſſent tes eſprits;	en quel profond sommeil Languissent tes esprits;
décille vn peu ton œil, Quelle morne ſtupeur te rettent engourdie?	décille un peu ton œil, Quelle morne stupeur te retent engourdie?
Voy voy qu’à ton malheur toy meſme t’es ourdie Vne trame de maux qui durera touſiours, Autant que dureront tes laſciues amours.	Vois voyant que ton malheur toi -même t'es ourdie Une trame de maux qui durera toujours, Autant que dureront tes lascives amours.
Helas quand!	Hélas quand!
bien d’Amour l’ineuitable fleche Au cœur de ton Fabrice auroit fait vne breche Ses ſens enamourez voudroyent ils pas auoir Vn ſubier ſuceptible à les bien receuoir, Ouy l’amour n’est amour ſans quelque ſymmetrie, Ces ieunes n’ayment point la vieilleſſe fleſtrie, Le chaud auec le froid ne peut ſymboliſer, Mais quand bien tu verrois ſon ame s’embrazer D'vn amou, mutuel & que la meſme flame Qui enflame tes ſens enflameroit ſon ame,	bien d'Amour l'inévitable flèche Au cœur de ton Fabrice aurait fait une brèche Ses sens enamourez voudraient ils pas avoir Un subier receptible à les bien recevoir, Oui l'amour n'est amour sans quelque symettrie, Ces jeunes n'aiment point la vieillesse flétrie, Le chaud auec le froid ne peut symboliser, Mais quand bien tu verrais son âme s'embrazer D'on amou, mutuel D' un la mutuel et Que la tes me enflameroit son me,
O folle auroit tu bien ſi peu de iugement Que d’vn deſir laſcif l’aimer laſciuement?	Ô folle aurait tu bien si peu de jugement Que d'un désir lascif l'aimer lascivement?
Quoy?	Quoi?
ſeroit-ce la foy que tu dois à ta couhe?	serait-ce la foi que tu dois à ta couhe?
Lors que tu cueillirois les roſes de ſa bouche, La neige de ſon front & qu’aux raiz de ſes yenx Tu purgerois des tiens l’excrement chaßieux Recognoiſſant en luy le naif charactere, Le pourtrait racourcy des beautez de ſon pere, Ne voudrois tu alors vertueuſe eſtouffer Ce deſir ains ce monſtre engeance de l’enfer.	Lors que tu cueillirais les roses de sa bouche, La neige de son front et qu'aux raiz de ses yenx Tu purgerais des tiens l'excrément chassieux Recognoissant en même le naïf charactère, Le port racourcy des beauté de son père, Ne voudrais tu alors vertueuse étouffer Ce désir ainsi ce montre engeance de l'enfer.
Que di-ie en quelle mer s’abyſme ma penſee?	Que di-je en quelle mer s'abîme ma pensée?
Ie ne ſçay que reſoudre en ces diuerſitez, Ie panche fluctueuſe en ces extremitez.	Je ne sais que résoudre en ces diversités, Je penche fluctueuse en ces extrémités.
Ainſi qu'vn pelerin qui ſur le ſoir chemine, S’il rencontre eſclairé des rayons de Lucine.	Ainsi qu'un pèlerin qui sur le soir chemine, S'il rencontre éclairé des rayons de Lucine.
Deux contraires ſentiers, tout preplex & douteux, Il s’arreſte & ne ſçait lequel prendre des deux L’amour & la raiſon ont en moy repugnance, Si à l’vn de ces deux ie preſte obeiſſance L’autre vient le contraire à mon cœur ſlimuler, L’amour eſt vn Milan qui va volant en l’air, Se iouë de ſa proye, or' il fait ſes approches, Ie recule tantoſt, puis de ſes ongles croches Fond à coup deſſus elle & la va deſchirant:	Deux contraires sentiers, tout préplex et douteux, Il s'arrête et ne sait lequel prendre des deux L'amour et la raison ont en moi répugnance, Si à l'un de ces deux grands prête obéissance L'autre vient le contraire à mon cœur slimuler, L'amour est un Milan qui va volant en l'air, Se joue de sa proie, or' il fait ses approches, Je recule tantôt, puis de ses ongles croches Fond à coup dessus elle et la va déchirant:
Helas ie n’en puis plus mon eſprit mi-mourant Palpite ſur ma leure, ô Dieu!	Hélas apprendre n'en puis plus mon esprit mi-mourant Palpite sur ma lèvre, ô Dieu!
Et quoy M idame, Qui vous cauſe ce trouble, & quel malheur vous traCe ſubit accident?	Et quoi M idame, Qui vous cause ce trouble, et quel malheur vous traCe subit accident?
quel eſt voſtre ſouci?	quel est votre souci?
Pour Dieu ne pleurez plus, ie pleureray außi, Destarmes t'eſpantray tongues, targes & groſſe;	Pour Dieu ne pleurez plus, ie pleurerai aussi, Destarmes t'espantrai tongues, targes et grosse;
Comme eſtront de porceau:	Comme étront de porceau:
me	me
Marfilie.	Marfilie.
Ah thomas, tu te goſſes Ce pendant qu’vn meurtrier aſſaßine mon cœur.	Ah thomas, tu te gosses Ce pendant qu'un meurtrier assassine mon cœur.
Eiries Thomas.	Eiriez Thomas.
Amour.	Amour.
Marfilie.	Marfilie.
Amour?	Amour?
Thomas.	Thomas.
Marfilie.	Marfilie.
Amour ce Dieu vainqueur.	Amour ce Dieu vainqueur.
Thomas.	Thomas.
Par bieu voicy pour rire & pleurer tout enſemble, Et vn vieil ferrement ma maistreſſe reſſemble, Qui tant plus eſt vſé & plus ſouuent il veut Repaſſer ſur la meule, A grand peine elle peut, De ſon neZ mor ſondu tourner la chante pleure, Et ſi elle tempeſte, elle enrage, elle pleure, S’elle n’eſt bricollée, & ſi quelque eueillé Ne fourbit bruſquement ſon harnois arroüillé.	Par bieu voici pour rire et pleurer tout ensemble, Et un vieil ferrement ma maîtresse ressemble, Qui tant plus est usé et plus souvent il veut Repasser sur la meule, A grand peine elle peut, De son nez mór sondu tourner la chante pleure, Et si elle tempête, elle enrage, elle pleure, S'elle n'est bricollée, et si quelque eueillé Ne fourbit brusquement son harnais arrouillé.
Marfilie.	Marfilie.
Helas qui donnera en l'ennuy qui me touche Des larmes à mes yeux, des ſouſpirs a ma bouche.	Hélas qui donnera en l'ennui qui me touche Des larmes à mes yeux, des soupirs à ma bouche.
La Nourrice de Marfilie.	La Nourrice de Marfilie.
Madame, le flambeau de ce grand Vniuers Trace l'oblique enceint de ſes globes diuers Pour la fois quarantieſme, & Cerés la feconde Par quatre fois dix ans panche ſa treſſe blonde, Depuis qu’à l’œil du Ciel vos yeux ont emprunté Les eſclairs foudroyant de leur viue clarté, Et qu’auez attiré de vos leures iumelles Le nectar nourricier de mes ieunes mamelles:	Madame, le flambeau de ce grand Univers Trace l'oblique enceint de ses globes divers Pour la fois quarantième, et Cerez la féconde Par quatre fois dix ans penche sa tresse blonde, Depuis qu'à l'œil du Ciel vos yeux ont emprunté Les éclairs foudroyant de leur vive clarté, Et qu'avez attiré de vos ju melles Le nectar nourricier de mes jeunes mamelles:
Depuis vos ſçauez bien par quelles actions I’ay conformé mon cœur à vu affections, I’en appelle à teſmoin mille & mille ſeruices Pour vous executeZ hé combien d’artifices, De ruſes, de fins tours ay-ie eſſayez pour vous:	Depuis vos savez bien par quelles actions J'ai conformé mon cœur à vu affections, J'en appelle à témoin mille et mille services Pour vous exécutez hé combien d'artifices, De ruses, de fins tours ai-je essayez pour vous:
Quand en vos ieunes ans le poiſon aigre, doux D'Amour petit ſorcier empoiſonnoit voſtre ame, Il m’en ſouuient encor:	Quand en vos jeunes ans le poison aigre, doux D'Amour petit sorcier empoisonnait votre âme, Il m'en souvient encor:
En ce temps la, Madame, Qu'vn cynabre vermeil vos leures rougiſſoit, Qu'vn arceau mi-bande voſtre ſourcil vouſtoit, Qu'vn zephir embaſmé couloit de voſtre bouche, Que voſtre voix charmoit l’eſprit le plus farouche, Et que les bouts vermeils de vos tetons polis Deux fraiſes reſſembloyent entees ſur des lys.	En ce temps la, Madame, Qu'Han cinabre vermeil vos leur rougissoit, Qu'un arceau m-bande votre sourcil voûtait, Qu'un zéphyr embasmé coulait de votre bouche, Que votre voix charmait l'esprit le plus farouche, Et que les bouts vermeils de vos tétons polis Deux fraises ressemblaient ente sur des lys.
I’eſtoy de vos amours fidelles ſecretaire Ie ſçauoy vos deſſeins & voſtre ſecrettaire, Dites moy donc le feu qui vous va conſumans, Q'el eſt ſon origine:	J'étoi de vos amours fidèles secrétaire Je sçauoy vos desseins et notre secrettaire, Dites moi donc le feu qui vous va consumants, Q elle est son origine:
& quel eſt cet amant Qui maiſtriſe vos ſens, dites le moy, Madame, Ie pourr ay apporter remede à voſtre flame.	et quel est cet amant Qui maîtrise vos sens, dites le moi, Madame, Je pourr ai apporter remède à votre flamme.
Marfilie.	Marfilie.
Frtius nomriet rhelas!	Frtius nomriet rhélas!
mon amoureux tourment Pour remede ne veut que la mort ſeulement.	mon amoureux tourment Pour remède ne veut que la mort seulement.
Roulllec.	Roullle.
Il n’y a mal ſi grand qu’il n’ait ſa medecine.	Il n'y a mal si grand qu'il n'ait sa médecine.
Marfilie.	Marfilie.
L’amour ne ſe guarit par ius ne par racine.	L'amour ne se garit par jus ne par racine.
Nourrice.	Nourrice.
Le mal par ſon contraire est touſiours expulſé.	Le mal par son contraire est toujours expulsé.
Marfilie.	Marfilie.
Au contraire en amour ceuty qui eſt bleßé, Ne reçoit guariſon que par la choſe meſme Qui est l’efficient de ſon martyre extreſme.	Au contraire en amour ceuti qui est blesié, Ne reçoit garison que par la chose même Qui est l'efficient de son martyre extrême.
Nourrice.	Nourrice.
Vostre mal donc pourra receuoir gueriſon.	Votre mal donc pourra recevoir guérison.
Miarmles Ouy par le ſeul pouuoir de ſon premier poiſon.	Miarmles Oui par le seul pouuoir de son premier poison.
Noulflec.	Noulflec.
En la cauſe du mal cerchez donc le remede.	En la cause du mal cherchez donc le remède.
Marfilie.	Marfilie.
Helas!	Hélas!
c’eſt de ce point que mon ennuy procede.	c'est de ce point que mon ennui procède.
Vos enigmes obſcurs expliquer ie ne peux Nommez moy ſeulement celuy de qui les feux, Embraze le fourneau qui recuit vostre plainte.	Vos énigmes obscurs expliquer Dieu ne peux Nommez moi seulement celui de qui les feux, Émbrase le fourneau qui recuit votre plainte.
Marfilie.	Marfilie.
Vn nuage honteux m'enueloppe de crainte, Fabrice mon beau fils me cauſe ce tourment,	Un nuage honteux m'enveloppe de crainte, Fabrice mon beau fils me cause ce tourment,
Nourrice.	Nourrice.
O Dieu que dites vous!	Ô Dieu que dites -vous!
Fabrice eſt voſtre amant!	Fabrice est votre amant!
Fabrice, de monſieur l’vnique geniture, Ce n’eſt le trait d’Amour qui fait ceſte pointure, C’eſt le flambeau ſouffreux d’vne demon enfumé, Vn feu contagieux en l’enfer allumé, Vne horr ible fureur, vne rage impudique, Las!	Fabrice, de monsieur l'unique géniture, Ce n'est le trait d'Amour qui fait cette pointure, C'est le flambeau souffreux d'une démon enfumé, Un feu contagieux en l'enfer allumé, orr ible fureur, une rage impudique, Las!
Madame, eſteignez ceſle flame lubrique, Offuſquez moy ce monſtre auant qu’il ſoit plus grand Le mal enueteré incurable ſe rend.	Madame, été cèle flamme lubrique, Offusquez moi ce monstre avant qu'il soit plus grand Le mal enveteré incurable se rend.
Marfilie.	Marfilie.
Comme vn feu enfermé aux mines ſoubterrenes Tonne petille, bruit, creue & briſe ſes veines, Afin des s’exaller:	Comme un feu enfermé aux mines soubterrenes Tonne petille, bruit, crève et brise ses veines, Afin des s'exaller:
ainſi tant plus i’enclos Ce turpide brazier au centre de mes os.	ainsi tant plus j'enclos Ce turpide brasier au centre de mes os.
M'efforçant de l’eſteindre, & plus ſa flame prompte, Fait eſclate.	M'efforçant de l'éteindre, et plus sa flamme prompte, Fait éclate.
jon tou auis ta nuit ue ma nonte.	jon tou avis ta nuit ue ma nonte.
Nourrice.	Nourrice.
L’inceſte est deſplaiſant aux hommes & aux dieux C’est vn vice execrable estrange & odieux.	L'inceste est déplaisant aux hommes et aux dieux C'est un vice exécrable étrange et odieux.
Marfilie.	Marfilie.
Quoy!	Quoi!
voudroit tu nommer mon Amour vn inceſte?	voudrait -tu nommer mon Amour un inceste?
Ha!	Ha!
que pluſtost mon corps ſoubs la tombe funeſte Soit aliment des vers:	que plutôt mon corps soubs la tombe funeste Soit aliment des vers:
Nourrice.	Nourrice.
La loy ne permet point De vous meſler au fils de cil qui vous est ioint Par vn hymen ſacré:	La loi ne permet point De vous mêler au fils de cil qui vous est joint Par un hymen sacré:
Marfilie.	Marfilie.
Ai te trompes, Nouie.	Ai te trompes, Novie.
L’Amour n’apoint de loy:	L'Amour n'appoint de loi:
Nourrice.	Nourrice.
Vous flatez voſtre vice, Madame, (eſcoutez moy) le grand Dieu ſouuerain Qui tient comme vn estœuf l’vniuers en ſa main, Lors qu’il eut deſmeſlé dedans ſix iours d’eſpace Du chaos embroüillé la repugnante maſſe, Par iuſte concordance accordant les deſcords, Et les effects diuers des quatre ſimples corps, Il crea l’homme apres ainſi qu'vn microcoſme, Vn vray compendion, vn parfait epitome De tout ce qui exiſte en ce grand vniuers:	Vous flattez votre vice, Madame, (écoutez moi) le grand Dieu souverain Qui tient comme un estœuf l'Hivers en sa main, Lors qu'il eut desmeslé dedans six jours d'espace Du chaos embrouillé la répugnante masse, Par juste concordance accordant les descords, Et les effets divers des quatre simples corps, Il créa l'homme après ainsi qu'un microcosme, Vais vrai compendion, un parfait épitomé De tout ce qui existe en ce grand homme:
Adam, regnoit ſur tout:	Adam, régnait sur tout:
les animaux diuers Ouient dejſons jon toug, & cott uints fans cõtrainte En ſa face adoroyent de Dieu l’image emprainte.	les animaux divers Ouient dejsons jon toug, et cott uints sans cõtrainte En sa face adoraient de Dieu l'image emprainte.
Thomas.	Thomas.
Ceſte vielle Sibille en à beaucoup appris.	Cette vielle Sibille en à beaucoup appris.
Nourrice.	Nourrice.
Tout viuoit à ſa ſolde & pour luy fut compris, Dans le ſein de Neptun mille troupes muettes De poiſſons écaillez, pour luy des on delettes Le gazoüil argentin doucement murmuroit, Pour luy de mol Zephir ſa Flore careſſoit, Pour luy les champs eſtoyent tapiſſe de verdure, Bref, en luy finiſſoit la fin de la nature, Mais cela n’estoit rien, c’estoit vn ſonge creux, Vn agreste animal de ſoy-meſme ennuyeux, St la douce amitié d’vne accorte partie N’eust alors adoucy l’abſynte de ſa vie.	Tout vivait à sa solde et pour lui fut compris, Dans le sein de Neptun mille troupes muettes De poissons écaillez, pour lui des on delettes Le gazoüil argentin doucement murmurait, Pour mieux de mol Zéphir sa Flore caressait, Pour lui es champs étaient tapisse de verdure, Bref, en lui finissait la fin de la nature, Mais cela n'était rien, c'était un songe ciel, Vn agreste animal de soi-même ennuyeux, St la douce amitié d'une accorte partie N'eût alors adouci absynte de sa vie.
Or cest hymen ſacré ioint ſi estroittement Les deux, qu’il n’en fait qu’vn c’eſt vn ferme ciment, Qui colle, qui vnit ces deux moitiez enſemble, Que la ſeule Cloton à tombe au deſaſſemble.	Or cet hymen sacré joint si étroittement Les deux, qu'il n'en fait qu'vn qu'est un ferme ciment, Qui colle, qui vnit ces deux moitiés ensemble, Que la seule Cloton à tombe au désassemble.
Si donc ces deux moitiez ne font qu'vn tout parfait, Qu'vn eſprit, qu'vne chair, qu'vn deſir, qu'vn effet, Voſtre mari estant chair de vostre chair propre, von fihenair de ja cmair ſerd außi ia vostre.	Si donc ces deux moitiés ne font qu'un tout parfait, Qu'un esprit, qu'une chair, qu'un désir, qu'un effet, Votre mari étant chair de votre chair propre, von fihenair de ja cmaird aussi aussi votre vôtre.
Ainſi vous ne pouuez ſans inceste acheuer Ce deſir qui vous bruſle au fonds de voſtre hyuer.	Ainsi vous ne pouvez sans ing acheuer Ce désir qui vous brûle au fond de votre hiver.
Marfilie.	Marfilie.
Comme or tvoid vn rocher qui butte par la rage Des flots Neptuniens, du vent & de l’orage Sans qu’il s’écroule rien de ſon feſte qui pend.	Comme or toid un rocher qui butte par la rage Des flots Neptuniens, du vent et de l'orage Sans qu'il s'écroule rien de son fête qui pend.
