ERIE, COMEDIE.	ERIE, COMÉDIE.
Leſtre beauEcoup granuement civimte, les Mondames deſti païs.	Lestre beaucoup granuement civimte, les Mondames desti aïs.
Ah bonjour vous Monſir, comment ſi portir vôtre perſonne?	Ah bonjour vous Monsir, comment si portir votre personne?
SBRIGANT.	SBRIGANT.
Fort à vôtre ſervice Monſieur, demandez-vous quelque choiti	Fort à votre service Monsieur, demandez-vous quelque choiti
LE FLAFAND.	LE FLAFAND.
Oüy, Monſir, moi venir faire un petite propoſition al Monſir qui fait ſa Lotterie.	Oui, Monsieur, moi venir faire un petite proposition al Monsir qui fait sa Lotterie.
SBRIGANY.	SBRIGANY.
C’eſt moi-même, Monſieur, de quoi s’agit-il?	C'est moi-même, Monsieur, de quoi s'agit-il?
LE FLAMAND.	LE FLAMAND.
Vous étrancher en ſti païs, Monſir.	Vous étrancher en sti pays, Monsieur,
SBRIGANY.	SBRIGANY.
Oüy, Monſieur, je ſuis originaire de Naples.	Oui, Monsieur, je suis originaire de Naples.
LE FLAMAND.	LE FLAMAND.
Naples bon Païs, mais grandement fripon.	Naples bon Pays, mais grandement fripon.
Un Marchand de ſti ville maure une fois emprunté cent piſtoles par maniere de banqueroutte.	Un Marchand de sti ville maure une fois emprunté cent pistoles par manière de banqueroutte.
SBRIGANY.	SBRIGANY.
je le crois oien, Momneur, il y a blen de la mauvaiſe foi dans le monde.	je le crois oyen, Momneur, il y a blen de la mauvaise foi dans le monde.
LE FLAMAND.	LE FLAMAND.
Et un autre Marchand de ſti Ville encor al Foire de Guibrai aure une autreſois troqué ſon valiſe pleine de rien contre mon vaſſſe à mor pleme d’aigriir, Ce uc Donnes baguetelles.	Et un autre Marchand de sti Ville encor al Foire de Guibrai aure une autres troqué son valise pleine de rien contre mon vassse à mór pleme d'aigriir, Ce Donnes baguetelles.
Vous connoiſtre point ces fripons-là de vôtre Païs, Monſir?	Vous connaître point ces fripons-là de votre Pays, Monsieur?
SBRIGANY.	SBRIGANY.
Non, Monſieur, je vous aſſure que je n’ai commerce qu’avec d’honnêtes gens.	Non, Monsieur, je vous assure que je n'ai commerce qu'avec d'honnêtes gens.
Je ſais proremionu uule meAucte probité.	Je sais proremionu ule meAute probité.
LE FLAMAND.	LE FLAMAND.
vous faire pourtant une Lotterie, Monſir.	vous faire pourtant une Lotterie, Monsir.
SBRIGANY.	SBRIGANY.
Oüy, Monſieur:	Oui, Monsieur:
Mais.	Mais.
LE FLAMAND.	LE FLAMAND.
Leſtre un fort bon marchandiſe qu’une Lotterie, & ſi vous vouloir bien permettre, Monſir, moi avoir intention de mettre Deaucoup ar vonte.	Lestre un fort bon marchandise qu'une Lotterie, et si vous vouloir bien permettre, Monsieur, moi avoir intention de mettre Deaucoup ar vonte.
SBRIGANY.	SBRIGANY.
Elle eſt fermée, Monſieur, mais cela n’empêche pas, ſi vous voulez, j’ai des boëtes de reſte, & dequoi faire de nouveaux lots.	Elle est fermée, Monsieur, mais cela n'empêche pas, si vous voulez, j'ai des boètes de reste, et dequoi faire de nouveaux lots.
Vous êtes le maiſtre, donnez toujours vôtie aigent;	Vous êtes le maître, donnez toujours vôtie aigent;
comoien vouiez-vous de billets?	compen vouiez-vous de billets?
LE ILAMAND.	LE ILAMAND.
Ah!	Ah!
Monſir.	Monsieur.
SBRIGANY.	SBRIGANY.
lls ſele cou mene paahorcequos,	 lâle cou mène pahorcequos,
LE FLAMAMD.	LE FLAMAMD.
Oüy, Monſir, mais.	Oui, Monsieur, mais.
SBRIGANY.	SBRIGANY.
Il n’y en a pas-un de blanc, Monſieur, autant de billets, autant de lots.	Il n'y en a pas-un de blanc, Monsieur, autant de billets, autant de lots.
Ie fais cela pour me divertir.	Je fais cela pour me divertir.
LE FLAMAND.	LE FLAMAND.
Moi le ſcavoir bien le divertiſſement bien on, mon ior, mais point vouioi auti billers noirs moi.	Moi le savoir bien le divertissement bien on, mon jor, mais point vouioi auty billers noirs moi.
Moi entendre un peu la manigance:	Moi entendre un peu la manigance:
moi neſtre pas un parilien, Monfir.	moi nêtre pas un parilien, Monfir.
SBRIGANY.	SBRIGANY.
Que voulez-vous donc dire, Monſieur, R comament l’entendez vous, s’il vous plaiti	Que voulez-vous donc dire, Monsieur, R comment l'entendez -vous, s'il vous plaiti
LE FLAMAND.	LE FLAMAND.
Avec vôtre permiſſion, Monſir, moi leſtre un Marchand de Bruxelles, & comme j’aure des bijoux, des montres, des diamans, des tabletieres, moi les preſter à vous pour montre ſeulement à la Lotterie, afin d’atraper les bonnes perſonnes de ſti grande come vme, ppres tous mne tendlctour, & me bailler mon part de l’attrapement.	Avec votre permission, Monsieur, moi lestre un Marchand de Brux, et comme j'aure des bijoux, des montres, des diamants, des tabletières, moi les prêter à vous pour montre seulement à la Lotterie, afin d'atraper les bonnes personnes de sti grande come vite, pères tous me ndlctour, et me bailler mon part de l'attrapement.
SBRIGANY.	SBRIGANY.
l'our qui me prenez-vous, Monſieur, je vous trouve admirable.	l'our qui me prenez-vous, Monsieur, je vous trouve admirable.
LE FLAMAND.	LE FLAMAND.
miuallalsyaiuis	mivallalsyaiuis
SBRIGANY.	SBRIGANY.
je ne iuis ponſ im iſpon.	je ne juis pons im ispon.
LE FLAMAND.	LE FLAMAND.
Moi ſaure bien que ſi Monſir;	Moi saure bien que si Monsieur;
mais.	mais.
SBRIGANY.	SBRIGANY.
Je ſuis homme d’honneur.	Je suis homme d'honneur.
LE FLAMAND.	LE FLAMAND.
Et moi leſtre bien auſſi tout de même, Monſir, & vous demande en grace de n’ypoint beaucoup trop attraper tout le monde dy Paris ſti fois-ci, afin que moi puiſſe l’autrefois encor attraper une bonne partie.	Et moi lestre bien aussi tout de même, Monsieur, et vous demande en grâce de n'ypoint beaucoup trop attraper tout le monde dis Paris sti fois-cy, afin que moi puisse l'autrefois encor attraper une bonne partie.
SCENE IV.	SCÈNE IV.
SBRIGANY.	SBRIGANY.
Ce que je puis voir les Etrangers ne IAſont pas trop dupes, & il n’y a pas de Païs au monde où une Lotterie comme la mienne rendiſt ſi bien qu’à Paris.	Ce que je puis voir les Étrangers ne IAsont pas trop dupes, et il n'y a pas de Pays au monde où une Lotterie comme la mienne rendît si bien qu'à Paris.
SCENE V.	SCÈNE V.
LISETTE, SBRIGANY.	LISETTE, SBRIGANY.
SBRIGANY.	SBRIGANY.
E' bien, Liſette, as-tu déterminé ma ae-siicane pius von Eluute, ec urecevoir ſavorablement Monſieur Desfourneaux le Commiſſaire:	E' bien, Lisette, as-tu déterminé ma ae-siicane pius von Élute, ec ouvrecevoir savorablement Monsieur Desfourneaux le Commissaire:
nous aurons peutêtre beſoin de lui, comme tu ſçais.	nous aurons peutêtre besoin de lui, comme tu sais.
LISETTE.	LISETTE.
Vous avez raiſon, Monſieur, & la Lorterie pouroit devenir tumultueuſe ſur les ſins:	Vous avez raison, Monsieur, et la Lorterie pourrait devenir tumultueuse sur les sins:
Mais voulez-vous que je vous diſe, outre que Mademoiſelle vôtre Fille eſt un peu retive à vos ordres, je doute que la ſeule protection de Monſieur Desfourneaux puiſſe vous garentir de l’orage qui ſe prépare.	Mais voulez-vous que je vous dise, outre que Mademoiselle votre Fille est un peu rétive à vos ordres, je doute que la seule protection de Monsieur Desfourneaux puisse vous garantir de l'orage qui se prépare.
SBRIGANY.	SBRIGANY.
Ne te mets pas en peine;	Ne te mets pas en peine;
il y a de bons lots dans de certaines boëtes.	il y a de bons lots dans de certaines boètes.
LISETTE.	LISETTE.
vous avezeu bien de la peſle a vous reſoudre d’y en mettre.	vous avez bien de la pèle à vous résoudre d'y en mettre.
SBRIGANY.	SBRIGANY.
Oh pour cela non:	Oh pour cela non:
il faut avoir de la conſcience.	il faut avoir de la conscience.
Je paſſe pour honnête homme, & je le ſuis dans le fonds.	Je passe pour honnête homme, et je le suis dans le fond.
LISETTE.	LISETTE.
On le voit bien.	On le voit bien.
Mais m’en croirez-vous, Monſieur, faites diſtribuer vos petits lors par Madame vôtre femme.	Mais m'en croirez-vous, Monsieur, faites distribuer vos petits lors par Madame votre femme.
Il y a longtemps qu’elle vous embaraſſe, c’eſt un vrai moyen pour vous en défaire.	Il y a longtemps qu'elle vous embarrasse, c'est un vrai moyen pour vous en défaire.
SBRIGANY.	SBRIGANY.
Tu crois donc, Liſette.	Tu crois donc, Lisette.
LISETTC.	LISETTC.
Je crois, Monſieur, que nous ſerions bien heureux tous tant que nous ſommes, d’en être quittes pour les eſtrivieres.	Je crois, Monsieur, que nous serions bien heureux tous tant que nous sommes, d'en être quittes pour les étrivières.
SBRIGANY.	SBRIGANY.
Tu prens l’alarme mal à -propos.	Tu prends l'alarme mal à -propos.
De quoi ſe plaindra-t’on.	De quoi se plaindra-t-on.
Je tiens ce que j’ai predanss iin y aque des omets nons ulle fois,	Je tiens ce que j'ai prédanss jin y aque des omets nons ulle fois,
LISETTE.	LISETTE.
Cela eſt vrai.	Cela est vrai.
Mais il y a bien de petits lots, que de mouchoirs!	Mais il y a bien de petits lots, que de mouchoirs!
Où diantre avezvous atrapé tout cela?	Où diantre avezvous atrapé tout cela?
SBRIGANY.	SBRIGANY.
magva, mon emane, je mur point mar fait de mettre tous ces mouchoirs-là.	magva, mon emane, je mur point mar fait de mettre tous ces mouchoirs-là.
LISETTE.	LISETTE.
Non, ſans doute, ceux qui pleureront la perte de leur argent, auront de quoi s’eſſuyer les yeux du moins.	Non, sans doute, ceux qui pleureront la perte de leur argent, auront de quoi s'essuyer les yeux du moins.
Cela ſera bien cemmode.	Cela sera bien cemmode.
SBRIGANY.	SBRIGANY.
Tu plaiſantes malà-propos.	Tu plaisantes malà-propos.
Mais dans le fonds le public ne ſera pas ſi lezé que tu te l’imagines.	Mais dans le fonds le public ne sera pas si lezé que tu te l'imagines.
LISETTE.	LISETTE.
Ouy da, ouy da, vous faites aſſez les choſes en conſcience, & pour un homme de vôtre païs vous ne prenez pas trop, aſſurément.	Oui da, oui da, vous faites assez les choses en conscience, et pour un homme de votre pays vous ne prenez pas trop, assurément.
Mais il ſe trouvera des médiſans qui diront le contraire.	Mais il se trouvera des médisants qui diront le contraire.
Il y aura des mal-intentionnez qui le croiront, & qui feront comme ſi cela étoit?	Il y aura des malintentionnés qui le croiront, et qui feront comme si cela était?
Le peuple a I’eſprit ſi mal tourné quelquefois.	Le peuple à J'esprit si mal tourné quelquefois.
Croyezmoi, Monſieur, précautionnez-vous un neu peu plus que vous ne faites;	Croyezmoi, Monsieur, précautionnez-vous un neu peu lus que vous ne faites;
cela ne ſçaulolt vous luite,	cela ne saulolt vous luite,
SBRIGANY.	SBRIGANY.
Quelles précautions veux-tu que je prenne?	Quelles précautions veux-tu que je prenne?
l’ai fait mettre à la porte une bonne barriere, bien garnie de pointes de fer, & deux gros Suiſſes avec des mouſtaches qui font plus d’effet que des halebardes.	l'ai fait mettre à la porte une bonne barrière, bien garnie de pointes de fer, et deux gros Suisses avec des moustaches qui font plus d'effet que des halèbardes.
LISETTE.	LISETTE.
N’auriez-vous point quelqu’Ingenieur de vos amis qui pût y faire quelques petites fortifications.	N'auriez-vous point quelqu'Ingénieur de vos amis qui pût y faire quelques petites fortifications.
Je crois que cela ne ſeroit pue inutile, & je me ſouviens que de certains Officiers cet Hyver, en vous donnant leur argent, vous firent entendre.	Je crois que cela ne serait pue inutile, et je me souviens que de certains Officiers cet Hiver, en vous donnant leur argent, vous firent entendre.
SBRIGANY.	SBRIGANY.
Ils ſont à l’Armée les Officiers.	Ils sont à l'Armée les Officiers.
Je prens bien mon temps, comme tu vois, s’ils ſont fâchez ils peſteront de loin, je n’en entendrai rien.	Je prends bien mon temps, comme tu vois, s'ils sont fâchez ils pesteront de loin, je n'en entendrai rien.
LISETTE.	LISETTE.
Vous deviez attendre auſſi les vacances pour laire peſter de ſoin les gens de robe.	Vous deviez attendre aussi les vacances pour laire pester de soin les gens de robe.
Mais, Monſieur, il y a de certains petits déterminez d’enfans de Paris qui pouroient bien.	Mais, Monsieur, il y a de certains petits déterminez d'enfants de Paris qui pourraient bien.
Source gallica.	Source galica.
bnffr ( Bil	bnffr ( Bil
SBRIGANY.	SBRIGANY.
Les plus mutins ſont de mes amis, j’ai fait un nota à leur numero, ils auront de B bons lots ceux-là;	Les plus mutins sont de mes amis, j'ai fait un nota à leur numéro, ils auront de B bons lots ceux-là;
je ſçai bien ce que je Tals, ſosle bailicle ſous iuimid.	je sais bien ce que je Tals, sôle bailicle sous juimid.
LISETTE.	LISETTE.
Nous en allons faire l’experienee.	Nous en allons faire l'expérience.
On a déja donné des boëtes ce matin.	On a déjà donné des boètes ce matin.
Nous vertons comment cela commencera.	Nous vertons comment cela commencera.
SBRIGANY.	SBRIGANY.
Aye un peu l’eril à tout, ma pauvre Lilette, & prens pien garde qu’on ne diſtribuẽ pas un lot pour l’autre.	Aye un peu l'éril à tout, ma pauvre Lilette, et prends pien garde qu'on ne distribuence pas un lot pour l'autre.
LISETTE.	LISETTE.
Hé que craignez-vous.	Hé que craignez-vous.
Vous ſçavez bien qu’il n’y a que de petits lots dans les boëtes d’aujourd’hui.	Vous savez bien qu'il n'y a que de petits lots dans les boètes d'aujourd'hui.
Comme c’eſt toujours la même -hoſe il n’y a point à s’y méprendre.	Comme c'est toujours la même hose il n'y a point à s'y méprendre.
SDRIOAN TE On pourtoit en donner deux pour un, ce ne ſeroit pas mon compte.	SDRIOAN TE On pourrtait en donner deux pour un, ce ne serait pas mon compte.
LISETTE.	LISETTE.
Hé mort de ma vie, laiſſez faire, de quoi vous embaraſſez-vous.	Hé mort de ma vie, laissez faire, de quoi vous embarrassez-vous.
Vous et donneriez quinhe pour quatle que vous;	Vous et donneriez quinhe pour quatle que vous;
gagheriez encore,	gagheriez encore,
SBRIGANY.	SBRIGANY.
Il n’importe, fais ce que je ſouhaite,	Il n'importe, fais ce que je souhaite,
LISETTE.	LISETTE.
y vais.	y vais.
Auſſi bien vona votte nue ne garçon de boutique qui a quelque choſe à vous dire.	Aussi bien vona votte nue ne garçon de boutique qui a quelque chose à vous dire.
SCENE VI.	SCÈNE VI.
I2ACONTERO, DHRIEINY.	J2ACONTERO, DHRIEINY.
SBRIGANY.	SBRIGANY.
Oes-ce que ceit quhavete, Sigifor Petronillo.	Oes-ce que ceit quavete, Sigifor Pettronillo.
TETNONILLO.	TETNONILLO.
E niente Signor, ê niente una bagatelle.	E niente Signor, é liente una bagatelle.
SBRIGANY.	SBRIGANY.
Que coſa ê que vol dire una bagatelle.	Que cosa êmes que vol dire una bagatelle.
TETRONTLLO.	TETRONTLLO.
Il m’a pris un remors de conſcience, Monſir, j’ai paour.	Il m'a pris un remors de conscience, Monsieur, j'ai payour.
SBRIGANY.	SBRIGANY.
Et de quoi paour?	Et de quoi paour?
SLO.	SLO.
D’eſtre pendu, Signor.	D'être pendu, Signor.
SBRIGANY.	SBRIGANY.
An l’animai, & perche pendu.	An l'animai, et perche pendu.
PETRONILLE.	PETRONILLE.
Perché, perché, voi ſiete un furbo Monſu.	Perché, perché, voi siète un furbo Monsieur.
SBRIGANY.	SBRIGANY.
Moi un fourbe!	Moi un fourbe!
B ij	B ij
PETRONILLO.	PETRONILLO.
Si ſignor, un fripon autrement tutt’ il mundo il dicé labas & mi que ſabbi ben qui ê la verſta ſon pollo dife I contraire.	Si signor, un fripon autrement tut -il mundo il dicé labas et mi que sabi ben qui êle la versta son pollo die I contraire.
SBRIGANY.	SBRIGANY.
Hé qui diantre peut déja ſe plaindre, à peine ont-ils eu le temps d’ouvrir leurs boëtes.	Hé qui diantre peut déjà se plaindre, à peine ont-ils eu le temps d'ouvrir leurs boètes.
PETRONILLO.	PETRONILLO.
Lé ſta barricada quhaveté fait mettre labas que fa marmurar tutt’il mundo & ſe non ſarai fourbarie, non larai biſongna di barticada.	Lé sita barricada quhaveté fait mettre labas que fa marmurar tutt-il mundo et se non sarai fourbarie, non larie bionna di articada.
SBRIGANY.	SBRIGANY.
Le beau prejugé va, va, va al tuo negotio.	Le beau préjugé va, va, va al tuo négotio.
TETRCONIELO.	TETRCONIELO.
Signor, ho una coſa avi dire auparavafit.	Signor, ho una cosa avi dire auparavafit.
SBRIGANY.	SBRIGANY.
Qué coſaé.	Qué cosaé.
PETRONILLO.	PETRONILLO.
Que imomminauoomommaparte detoutes les friponneries fatte & à fare non poſſo en conſcience, empedir mi d’en fare confidenza au public, & à la ſuſtice.	Que imomminaudomommapparte détoutes les friponneries fatte et à sare non posso en conscience, empédir mi d'en sare confidenza au public, et à la sustice.
SBRIGANY.	SBRIGANY.
Mais voila des tours qui ne ſe font point;	Mais voilà des tours qui ne se font point;
que veut dire cela?	que veut dire cela?
PETRONILLO.	PETRONILLO.
Ca vol dire que vo ſignorie ê un grand fripon, & mi un petit voi ſieté le maiſtre & mi ie garſon.	Ca vol dire que vous signorie êmes un grand fripon, et mi un petit voi siété le maître et mi ie garson.
Voi fourbaté toute la cita CIOVIUIDO.	Vois fourbaté toute la cita CIOUIUIDO.
SBRIGANY.	SBRIGANY.
Ma d’oue ê la tua conſcienza, ſigcor Petronillo.	Ma d'oue êtez la tua conscienza, sigcor Pétronillo.
PETRONILLO.	PETRONILLO.
Munautaconta voictu laro uncomno aux Antipodes.	Munautaconta voictu laro uncommno aux Antipodes.
SBRIGANY.	SBRIGANY.
Hé bien, finiſſons, je ne veux point de bruit, je vous donnerai cent piſtoles.	Hé bien, finissons, je ne veux point de bruit, je vous donnerai cent pistoles.
PETRONILLO.	PETRONILLO.
