A MONSEIGNEUR MONSEIGNEUR LE CARDINAL DUC E RICHELIEU.	À MONSEIGNEUR MONSEIGNEUR LE CARDINAL DUC E RICHELIEU.
Et certes, Monſeigneur, ce changement viſibile qu’on remarque en mes Ouurages, depuis que i’ay l’honneur d’eſtre à V.	Et certes, Monseigneur, ce changement visibile qu'on remarque en mes Ouvrages, depuis que j'ai l'honneur d'être à V.
E.	E.
qu’eſtce autre choſe qu’vn effet des grandes Idées qu’elle m’inſpire quand elle daigne ſouffrir que ie luy rende mes deuoirs;	qu'estce autre chose qu'un effet des grandes Idées qu'elle m'inspire quand elle daigne souffrir que de lui rende mes devoirs;
& a quoi peut.	et a quoi peut.
on attribuer ce qui s’y meſle de mauuais qu’aux teintures großieres que ie reprends quand ie demeure abandonné à ma propre foibleſſe?	on attribuer ce qui s'y mêle de mauvais qu'aux teintures grossieres que ie reprends quand deux demeure abandonné à ma propre faiblesse?
Il faut, Monſeigneur, que tous ceux qui donnent leurs veilles au Theatre, publient hautement auec moy que nous vous auons deux obligations tres ſignalées;	Il faut, Monseigneur, que tous ceux qui donnent leurs veilles au Théâtre, publient hautement avec moi que nous vous avons deux obligations très signalées;
l’vne d’auoir ennobly le but de l’Art, l’autre de nous en auoir facilité les connoiſſances.	l'une d'avoir ennobli le but de l'Art, l'autre de nous en avoir facilité les connaissances.
Vous aueZ ennobly le but de l’Art, puis qu’au lieu de celuy de plaire au peuple, que nous preſcriuent nos Maiſtres, & dont les deux plus honneſtes gens de leur ſiecle, Scipion & Lelie, ont autrefois proteſté de ſe contenter, vous nous aueZ donné celuy de vous plaire & de vous diuertir;	Vous avez ennobli le but de l'Art, puis qu'au lieu de celui de plaire au peuple, que nous prescrivent nos Maîtres, et dont les deux plus honnêtes gens de leur siècle, Scipion et Lelie, ont autrefois protesté de se contenter, vous nous avez donné celui de vous plaire et de vous divertir;
& qu’ainſi nous ne rendons pas un petit ſervice à l’Eſtat, puiſque contribuant à vos divertiſſemens, nous contribuons à l’entretien d’vne ſanté qui luy eſt ſi precieuſe & ſi neceſſaire.	et qu'ainsi nous ne rendons pas un petit service à l'État, puisque contribuant à vos divertissements, nous contribuons à l'entretien d'une santé qui lui est si précieuse et si nécessaire.
Vous nous en aueZ facilité les connoiſſanſances, puiſque nous n’auons plus beſoin d’autre eſtude pour les acquerir, que d’attacher nos yeux ſur V.	Vous nous en avez facilité les connoissansances, puisque nous n'avons plus besoin d'autre étude pour les acquérir, que d'attacher nos yeux sur V.
E.	E.
quand elle honore de ſa preſence & de ſon attention le recit de nos Poëmes.	quand elle honore de sa présence et de son attention le récit de nos Poèmes.
C’eſt la que liſant ſur ſon viſage ce qui luy plaiſt, & ce qui ne luy plaiſt pas:	C'est la que lisant sur son visage ce qui lui plaît, et ce qui ne porte plaît pas:
nous nous inſtruiſons auec certitude de ce qui eſt bon, & de ce qui eſt mauuais, & tirons des regles infaillibles de ce qu’il faut ſuiure & de ce qu’il faut euiter.	nous nous instruisons avec certitude de ce qui est bon, et de ce qui est mauvais, et tirons des règles infaillibles de ce qu'il faut suivre et de ce qu'il faut éviter.
C’eſt là que i’ay ſouuent appris en deux heures ce que mes liures n’euſſent pû m’apprendre en dix ans;	C'est là que j'ai souvent appris en deux heures ce que mes livres n'eussent pu m'apprendre en dix ans;
c’eſt là que i’ay puiſé ce qui m’à valu l’applaudiſſement du Public, & c’eſt là qu’auec voſtre faueur i’eſpere puiſer aſſeZ pour eſtre vn iour vne œuure digne de vos mains.	c'est là que j'ai puisé ce qui m'à valu l'applaudissement du Public, et c'est là qu'avec votre faveur j'espère puis asseZ pour être un jour une œuvre digne de vos mains.
Ne trouueZ donc pas mauuais, Monſeigneur, que pour vous remercier de ce que i’ay de reputation, dont ie vous ſuis entierement redeuable, i’emprunte quatre vers d’vn autre Horace que celuy que ie vous preſente, & que ie vous exprime par eux les plus veritables ſentimens de mon ame.	Ne trouvez donc pas mauvais, Monseigneur, que pour vous remercier de ce que j'ai de réputation, dont je vous suis entièrement recevable, j'emprunte quatre vers d'un autre Horace que celui que je vous présente, et que je vous exprime par eux les plus véritables sentiments de mon âme.
MONSEIGNEVR,	MONSEIGNEUR,
De V.	De V.
E.	E.
Le tres- humble, tres-obeïſſant & tresfidelle ſerviteur.	Le très- humble, très-obeïssant et tresfidelle serviteur.
CORNEILLE.	CORNEILLE.
A 3 LES	À 3 LES
LES ACTEURS.	LES ACTEURS.
Le vienl HORACE, Cheualier Romain.	Le vienl HORACE, Chevalier Romain.
CVRIACE, Gentil-homme d’Albe, Amant de Camille.	CURICE, Gentilhomme d'Albe, Amant de Camille.
VALERI enuatior rtomun umoureux de Camille.	VALÉRY envatior rtomun umoureux de Camille.
SADINE, femme a'Horace, & ſœur de Curiace.	SADINE, femme a'Horace, et sœur de Curiace.
CAMILLE, Amante de Curiace, & ſœur d’Horace.	CAMILLE, Amante de Curiace, et sœur d'Horace.
IVLIE, Dame Romaine, Confidente de Sabine & de Camille.	IVLIE, Dame Romaine, Confidente de Sabine et de Camille.
HORA	HORA
HORACE TRAGEDIE.	HORACE -TRAGÉDIE.
ACTE PREMIER.	ACTE PREMIER.
SCERE PREM IERE.	SCERE PREM JERE.
SABINE, IVLIE.	SABINE, IVLIE.
SABINE.	SABINE.
Pprouuez ma foibleſſe, & ſouffrez ma douleur, Elle n’eſt que trop juſte en vn ſi grand mal-heur;	Pprouvez ma faiblesse, et souffrez ma douleur, Elle n'est que trop juste en un si grand malheur;
Si prez de voir ſur ſoy fondre de tels orages, L’eſbranlement ſied bien aux plus fermes coura5, Et l’eſprit le plus maſle & le moins abbatu Ne ſçauroit ſans deſordre exercer ſa vertu.	Si prendrez de voir sur soi fondre de tels orages, L'ébranlement sied bien aux plus fermes coura5, Et l'esprit le plus mâle et le moins abattu Ne saurait sans désordre exercer sa vertu.
Quoy que le mien s’eſtonne à ces rudes alarmes, Le trouble de mon cœur ne peut rien ſur mes larmes, Et parmy les ſoûpirs qu’il pouſſe vers les Cieux, Ma conſtance du moins regne encor ſur mes yeux.	Quoi que le mien s'étonne à ces rudes alarmes, Le trouble de mon cœur ne peut rien sur mes larmes, Et parmi les soupirs qu'il pousse vers les Cieux, Ma constance du moins règne encor sur mes yeux.
Quand on arfeite la les deplaiſirs d’vne ame, Si l’on fait moins qu’vn homme, on fait plus qu’vne femme:	Quand on arféite la les déplaisirs d'une âme, Si l'on fait moins qu'un homme, on fait plus qu'une femme:
Commander à ſes pleurs en cette extremité, C’eſt monſtrer pour le ſexe aſſez de fermeté.	Commander à ses pleurs en cette extrémité, C'est montrer pour le sexe assez de fermeté.
VLIE.	VLIE.
C’en eſt aſſés, & trop pour vne ame commune, Qui du moindre peril n’attend qu’vne infortune, D’vn D'vn tel abaiſſement vn grand cœur eſt honteux.	C'en est assez, et trop pour une âme commune, Qui du moindre péril n'attend qu'une infortune, D'un D'un tel abaissement un grand cœur est honteux.
Il oſe eſperer tout dans vn ſuccés douteux.	Il ose espérer tout dans un succès douteux.
Les deux camps ſont rangez au pied de nos murailles, (batailles, Mais Rome ignore encor comme on perd des Loin de trembler pour elle, il luy faut applaudir, Puis qu’elle va combatre, elle va s’agrandir.	Les deux camps sont rangés au pied de nos murailles, (batailles, Mais Rome ignore encor comme on perd des Loin de trembler pour elle, il lui faut applaudir, Puis qu'elle va combattre, elle va s'agrandir.
Banniſſés, banniſſés e ne hayeur ii vailie, Et concevés des vœux dignes d’vne Romaine.	Bannissez, bannissez e ne haïeur ji vailie, Et concevez des vœux dignes d'une Romaine.
SABINE.	SABINE.
Ie ſuis Romaine, helas!	Je suis Romaine, hélas!
puiſque mon eſpous l’eſt;	puisque mon épous l'est;
L’Hymen me fait de Rome embraſſer l’intereſt, Mais il tiendroit mon ame en eſclaue enchaiſnée.	L'Hymen me fait de Rome embrasser l'intérêt, Mais il tiendrait mon âme en esclave enchaînée.
S’il m’oſtoit le penſer des lieux où ie ſuis née.	S'il m'ôtait le penser des lieux où tu suis née.
Albe où i’ay commencé de reſpirer le iour, Albe mon mon cher pays & mon premier amour, Quand entre nous, & toy, ie voy la guerre ouuerte, Ie crains noſtre victoire, autant que noſtre perte.	Albe où j'ai commencé de respirer le jour, Albe mon mon cher pays et mon premier amour, Quand entre nous, et toi, je vois la guerre ouuerte, Je crains notre victoire, autant que notre perte.
Rome, ſi tu te plains, que c’eſt là te trahir, Fay-toy des ennemis que ie puiſſe hair:	Rome, si tu te plains, que c'est là te trahir, Fais-toi des ennemis que ie puisse haïr:
ſtre, Quand ie voy de tes murs leur armée, & la noMes trois freres dans l’vne, & mon mary dans l’autre.	stre, Quand der vois de tes murs leur armée, et la noMes trois frères dans l'une, et mon mari dans l'autre.
Puiſ-je former des vœux, & ſans impieté Importuner le Ciel pour ta felicité?	Puis-je former des vœux, et sans impiété Importuner le Ciel pour ta félicité?
Ie ſçay que ton Eſtat encore en ſa naiſſance Ne ſçauroit, ſans la guerre, affermir ſa puiſſance:	Je sais que ton État encore en sa naissance Ne saurait, sans la guerre, affermir sa puissance:
Ie ſçay qu’il doit s’accroiſtre, & que tes bons Deſtins Ne le borneront pas chez les peuples Latins;	Je sais qu'il doit s'accroître, et que tes bons Destins Ne le borneront pas chez les peuples Latins;
Que les Dieux t’ont promis l’Empire de la terre, Et que tu n’en peux voir l’effet, que par la guerre.	Que les Dieux t'ont promis l'Empire de la terre, Et que tu n'en peux voir l'effet, que par la guerre.
Bien loin de m’oppoſer à cette noble ardeur Qui ſuit l’arreſt des Dieux, & court à ta grandeur, Ie voudrois déja voir tes troupes couronnées D’vn pas victorieux franchir les Pyrenees;	Bien loin de m'opposer à cette noble ardeur Qui suit l'arrêt des Dieux, et court à ta grandeur, Je voudrais déjà voir tes troupes couronnées D'un pas victorieux franchir les Pyrenees;
Va iuſqu’en l’Orient pouſſer tes bataillons, Va ſur les bords du Rhin planter tes pauillons, Fay trembler ſous tes pas les colomnes d’Hercule, Mais reſpecte vne ville à qui tu dois Romule;	Va jusqu'en l'Orient pousser tes bataillons, Va sur les bords du Rhin planter tes pavillons, Fais trembler sous tes pas les colomnes d'Hercule, Mais respecte une ville à qui tu dois Romule;
Ingrate, ſouuien toy que du ſang de ſes Rois Tu tiens ton nom, tes murs, & tes premieres loix:	Ingrate, souvien toi que du sang de ses Rois Tu tiens ton nom, tes murs, et tes premières lois:
Albe eſt ton origine, arreſte, & conſidere Que tu portes le fer dans le ſein de ta mere, Tourne ailleurs les efforts de tes bras triomphans, Sajoye eſclatera dans l’heur de ſes enfans, Et ſe laiſſant rauir à l’amour maternelle, Ses veux ſeront pour toy, ſi tu n’es plus contre elle.	Albe est ton origine, arrête, et considere Que tu portes le fer dans le sein de ta -mère, Tourne ailleurs les efforts de tes bras triomphants, Sajoie éclatera dans l'heur de ses enfants, Et se laissant ravir à l'amour maternelle, Ses veux seront pour toi, si tu n'es plus contre elle.
IVLIE.	IVLIE.
Ce diſcours me ſurprend, veu que depuis le temps Qu’on a contre ſon peuple armé nos combatans, Ie vous ay veu pour elle autant d’indifference, Que ſi dedans nos murs vous auiez pris naiſſance?	Ce discours me surprend, vu que depuis le temps Qu'on a contre son peuple armé nos combattants, Je vous ai vu pour elle autant d'indifférence, Que si dedans nos murs vous aviez pris naissance?
I’admirois la Vertu qui reduiſoit en vous Vos plus chers intereſts à ceux de voſtre eſpous, Et ie vous conſolois au milieu de vos plaintes, Comme ſi noſtre Rome euſt fait toutes vos craintes.	J'admirais la Vertu qui réduisait en vous Vos plus chers intérêts à ceux de votre épous, Et ie vous consolais au milieu de vos plaintes, Comme si notre Rome eût fait toutes vos craintes.
SABINE.	SABINE.
bats Tant qu’on ne s’eſt choqué qu’en de legers comTropfoible pour ietter vn des partis à bas, Tans qu’vn eſpoir de paix a peu flater ma peine, Ouy, i’ay fait vanité d’eſtre toute Romaine.	bats Tant qu'on ne s'est choqué qu'en de légers comTropfaible pour jeter un des partis à bas, Tans qu'un espoir de paix a peu flatter ma peine, Oui, j'ai fait vanité d'être toute Romaine.
Si i’ay veu Rome heureuſe auec quelque regret, Soudaîn i’ay condamné ce mouuement ſecret;	Si j'ai vu Rome heureuse avec quelque regret, Soudaîn ay condamné ce mouvement secret;
Et ſi i’ay reſſenty dans ſes deſtins contraires Quelque maligne joye en faueur de mes freres, Soudain pour l’eſtouffer rappellant ma raiſon, I’ay pleuré quand la gloire entroit dans leur maiſon.	Et si j'ai ressenti dans ses destins contraires Quelque maligne joie en faveur de mes frères, Soudain pour l'étouffer rappelant ma raison, J'ai pleuré quand la gloire entrait dans leur maison.
tombe, Mais auiourd’huy qu’il faut que l’vne ou l’autre Qu'Albe deuienne eſclave, où que Rome ſuccombe, Et qu’apres la bataille il ne demeure plus Ny d’obſtacle aux vainqueurs, ny d’eſpoir aux vaincus, I’aurois pour mon pays vne cruelle haine Si ie pouuois encore eſtre toute Romaine, Et ſi ie demandois voſtre triomphe aux Dieux, Au prix de tant de ſang qui m’eſt ſi precieux.	tombe, Mais aujourd'hui qu'il faut que l'une ou l'autre Qu'Albe devienne esclave, où que Rome succombe, Et qu'après la bataille il ne demeure plus Ni d'obstacle aux vainqueurs, ni d'espoir aux vaincus, J'aurais pour mon pays une cruelle haine Si ie promouvais encore être toute Romaine, Et si tu demandais votre triomphe aux Dieux, Au prix de tant de sang qui m'est si précieux.
Ie m’attache vn peu moins aux intereſts d’vn homme, (Rome, Ie ne ſuis point pour Albe, & ne ſuis plus pour Ie crains pour l’vne & l’autre en ce dernier effort, Et ſeray du party qu’affligera le ſort.	Je m'attache un peu moins aux intérêts d'un homme, (Rome, Je ne suis point pour Albe, et ne suis plus pour Je crains pour l'une et l'autre en ce dernier effort, Et serai du parti qu'affligera le sort.
Eſgale à tous les deux iuſques à la victoire, Ie prendray part aux maux, ſans en prendre à la gloire, Et garde, en attendant ies runeſtes rigueurs, Mes larmes aux vaincus, & ma haine aux vainqueurs.	Égale à tous les deux jusques à la victoire, Je prendrai part aux maux, sans en prendre à la gloire, Et garde, en attendant jes runestes rigueurs, Mes larmes aux vaincus, et ma haine aux vainqueurs.
IVLIE.	IVLIE.
Qu’on voit naiſtre ſouuent de pareilles trauerſes En des eſprits diuers des paſſions diverſes.	Qu'on voit naître souvent de pareilles traverses En des esprits divers des passions diverses.
Et qu’en cecy Camille agit bien autrement!	Et qu'en ceci Camille agit bien autrement!
Son frere eſt voſtre eſpous, le voſtre eſt ſon amant, Mais elle voit d’vn œil bien different du voſtre, Son ſang dans vne armée, & ſon amour dans l’autre.	Son frère est votre épous, le vôtre est son amant, Mais elle voit d'un œil bien différent du vôtre, Son sang dans une armée, et son amour dans l'autre.
Lors que vous conſeruiez vn eſprit tour Romain Le ſien irreſolu, tremblotant, incertain, De la moindre meſlée apprehendoit l’orage, De tous les deux partis deteſtoit l’auantage, Au malheur des vaincus donnoit touſiours ſes pleurs, Et nourriſſoit ainſi d’eternelles douleurs.	Lors que vous conserviez un esprit tour Romain Le sien irrésolu, tremblotant, incertain, De la moindre mêlée appréhendait l'orage, De tous les deux partis détestait l'avantage, Au malheur des vaincus donnait toujours ses pleurs, Et nourrissait ainsi d'éternelles douleurs.
née, Mais hier, quand elle ſceut qu’on auoit pris iourEt qu’en fin la bataille alloit eſtre donnée, Vne ſoudaine ioye elelata lur Ion froiſt.	née, Mais hier, quand elle sut qu'on avait pris jourEt qu'en fin la bataille allait être donnée, Une soudaine joie elelata lur Ion froist.
SABINE.	SABINE.
Ah!	Ah!
que ie crains, Iulie, vn changement ſi prompt!	que ici crains, Julie, un changement si prompt!
Hier dans ſa belle humeur elle entretint Valere, Pour ce riual, ſans doute, elle quitte mon frere, Son eſprit eſbranlé par les obiets preſens (ans.	Hier dans sa belle humeur elle entretint Valère, Pour ce rival, sans doute, elle quitte mon frère, Son esprit ébranlé par les objets presens (ans.
Ne trouue point d’abſent aymable apres deux Mais excuſez l’ardeur d’vne amour fraternelle, Le ſoin que i’ay de luy me fait craindre tout d’elle Ie forme des ſoupçons d’vn ſuiet trop leger, Le iour d’vne bataille eſt mal propre à changer, D’vn nouueau trait alors peu d’ames ſont bleſſées, Et dans vn ſi grand trouble on a d’autres penſées:	Ne trouve point d'absent aimable après deux Mais excusés l'ardeur d'une amour fraternelle, Le soin que j'ai de Seigneur me fait craindre tout d'elle Je forme des soupçons d'un sujet trop léger, Le jour d'une bataille est mal propre à changer, D'un nouveau trait alors peu d'âmes sont blessées, Et dans un si grand trouble on a d'autres pensées:
Mais on n’a pas auſſi de ſi gays entretiens, Ny de contentements qui ſoient pareils aux ſiens.	Mais on n'a pas aussi de si gais entretiens, Ni de contentements qui soient pareils aux siens.
IVLIE.	IVLIE.
obſcures, Les cauſes, comme à vous, m’en ſemblent fort	obscures, Les causes, comme à vous, m'en semblent fort
Ie ne me ſatisfais d’aucunes conjectures, C’eſt aſſez de conſtance en vn ſi grand danger Que de le voir, l’attendre, & ne point s’affliger, Mais certes c’en eſt trop d’aller iuſque à la ioye.	Je ne me satisfais d'aucunes conjectures, C'est assez de constance en un si grand danger Que de le voir, l'attendre, et ne point s'affliger, Mais certes c'en est trop d'aller jusque à la joie.
SABINE.	SABINE.
Voyez qu’vn bon Genie à propos nous l’enuoye.	Voyez qu'un bon Génie à propos nous l'envoie.
Eſſayez ſur ce poinct à la faire parler, Elle vous ayme aſſez pour ne vous rien celer.	Essayez sur ce point à la faire parler, Elle vous aime assez pour ne vous rien celer.
Ie vous fafſſe.	Je vous fafsse.
Ma ſœeur, entretener lulie, I’ay honte de monſtrer tant de melancolie, Et mon cœur accablé de mille déplaiſirs, Chelche la lontude a euener las ſouſpirs.	Ma sœeur, entretener lulie, J'ai honte de montrer tant de mélancolie, Et mon cœur accablé de mille déplaisirs, Chelche la lontude a évener las soupirs.
SCENE II.	SCÈNE II.
CAMILLE, IVLIE,	CAMILLE, IVLIE,
CAMILLE.	CAMILLE.
DOurquoy fuyr, & vouloir que ie vous entreT tienne?	DOurquoy fuir, et vouloir que je vous entreT tienne?
Croit-elle ma douleur mois vive que la ſienne, 3 Et que plus inſenſible à de ſi grands malheurs A mes triſtes diſcours ie mefle moins de pleurs?	Croit-elle ma douleur mois vive que la sienne, 3 Et que plus insensible à de si grands malheurs À mes tristes discours on mêle moins de pleurs?
De pareilles frayeurs mon ame eſt alarmée, Comme elle ie perdray dans l’vne & l’autre armée.	De pareilles frayeurs mon âme est alarmée, Comme elle avait perdrai dans l'une et l'autre armée.
Ie verray mon amant, mon plus vnique bien, Mourir pour ſon pays, ou deſtruire le mien:	Je verrai mon amant, mon plus unique bien, Mourir pour son pays, ou détruire le mien:
Et cét obiet d’amour deuemt pour ma peine	Et cet objet d'amour devemt pour ma peine
Ou digne de mes pleurs, ou dignie de ma haine.	Ou digne de mes pleurs, ou dignie de ma haine.
Helas!	Hélas!
IVLIE.	IVLIE.
Elle eſt portãt plus à plaindre que vous;	Elle est portant plus à plaindre que vous;
ſpous.	spous.
On peut changef d’amant, mais non changer d’eOubliez Curiacé, & receuez Valere, Vous ne tremblerez pius pour le party contraire, Vous ſerez toute noſtre, & voſtre eſprit remis N’aura plus rien à perdre au camp uclemnemis.	On peut changef d'amant, mais non changer d'OUbliez Curiacé, et recevez Valère, Vous ne tremblerez pius pour le parti contraire, Vous serez toute notre, et votre esprit remis N'aura plus rien à perdre au camp uclemèneis.
CAMILLE.	CAMILLE.
mes;	mes;
Donnez moy des conſeils qui ſoient plus legitiEt plaignez mes malheurs, ſans m’ordonner des crimes:	Donnez -moi des conseils qui soient plus légitiEt plaignez mes malheurs, sans m'ordonner des crimes:
Quoy qu’à peine à mes maux ie puiſſe reſiſter, I’ayme mieux les ſouffrir, que de les meriter.	Quoi qu'à peine à mes maux Prince puisse résister, J'aime mieux les souffrir, que de les mériter.
1111 AVLIE.	1111 AVLIE.
Quoy?	Quoi?
vous appellez crime vn chãge raiſonnable;	Vous appelez crime un chezge raisonnable;
CAMILLE.	CAMILLE.
ble?	blé?
Quoy?	Quoi?
le manque de foy vous ſemble pardonna	le manque de foi vous semble pardonna
IVLIE.	IVLIE.
Enuers vn ennemy qui nous peut obliger?	Envers un ennemi qui nous peut obliger?
CAMILLE.	CAMILLE.
D’vn ſerment ſolemnel qui nous peut deſgager?	D'un serment solennel qui nous peut dégager?
VLIE.	VLIE.
Vous deſguiſez en vain vn choſe trop claire, Ie vous vis encor hier entterenir Valere, Et l’accueil gracieux qu’il receuoit de vous Luy permet de nourrir vn eſpoir bien plus doux,	Vous déguisez en vain un chose trop claire, Je vous vis encor hier entterenir Valère, Et l'accueil grâce vail receuoit de vous Lui permet de nourrir un espoir bien plus doux,
CAMILLE.	CAMILLE.
Si ie l’entretins hier, & luy fis bon viſage, N'en	Si ici l'entretins hier, et lui fis bon visage, N'en
N’en imaginez rien qu’à ſon des-aduantage.	N'en imaginez rien qu'à son désavantage.
De mon contentement vn autre eſtoit l’obiet:	De mon contentement un autre était l'objet:
Mais pour ſortir d’erteur ſçachez en le ſuiet;	Mais pour sortir d'erteur sachez en le sujet;
Ie gatde à Curiace vne amitié trop pure (jure, Pout ſouffrir plus long temps qu’on m’eſtime parQuelques cinq ou ſix mois apres que de ſa ſœut L’Hymenée eut rendu mon frere poſſefſeur (Vous le fçauez Iulie) il obtint de mon pere Que de ſes chaſtes feux ie ſerois le ſalaire.	Je gatde à Curiace imitié trop pure (jure, Pout souffrir plus long temps qu'on m'estime parQuelques cinq ou six mois après que de sa sœut L'Hyménée eut rendu mon frère posssefseur (Uous le savez Julie) il obtint de mon père Que de ses chastes feux ici serais le salaire.
Ce iour nous fut propice & funeſte à la fois, Vniſſant nos maiſons il deſ-vnit nos Rois, (guerte Vn meſme inſtant conclud noſtre Hymen & la Fit naiſtre noſtre eſpoir & le ietta par terre, Nous oſta tout, ſi toſt qu’il nous eut tout promis, Et nous faiſant amants il nous fit ennemis, Combien nos deſplaiſirs parurent lors extremes, Combien contre le ciel il vomit de blaſphemes, Et combien de ruiſſeaux coulerent de mes yeux;	Ce jour nous fut propice et funeste à la fois, Unissant nos maisons il des-vnit nos Rois, (guerte Un même instant conclut enfin Hymen et la Fit naître notre espoir et le jeta par terre, Nous ôta tout, si tôt qu'il nous eut tout promis, Et nous faisant amants il nous fit ennemis, Combien nos déplaisirs parurent lors extrêmes, Combien contre le ciel il vomit de blasphères, Et combien de ruisseaux coulèrent de mes yeux;
Ie ne vous le dy point, vous viſtes nos Adieux, Vous auez veu depuis les troubles de mon ame, Vous ſçauez pour la paix quels vœux a fait ma flamme.	Je ne vous le dis point, vous vîtes nos Adieux, Vous avez vu depuis les troubles de mon âme, Vous savez pour la paix quels vœux a fait ma flamme.
Et quels pleurs i’ay verſés à chaque euenement, Tantoſt pour mon pays, tantoſt pour mon amant.	Et quels pleurs j'ai versés à chaque événement, Tantôt pour mon pays, tantôt pour mon amant.
En fin mon deſeſpoir parmy ces longs obſtacles M’a fait auoir recours à la voix des oracles.	En fin mon désespoir parmi ces longs obstacles M'a fait avoir recours à la voix des oracles.
Eſcoutés ſi celuy qui me fut hier renda Eut droit de r’aſſeurer mon eſprit eſperdu.	Écoutés si celui qui me fut hier renda Eut droit de rassurer mon esprit éperdu.
Ce Grec ſi renommé qui depuis tant d’années Au pied de l’Auentin predit nos deſtinées, Iuy qu’Appollon iamais n’afait patler à faux, Me promit par ces vers la fin de mes trauaux.	Ce Grec si renommé qui depuis tant d'années Au pied de l'Aventin prédit nos destinées, Jui qu'Apollon jamais n'afait patler à faux, Me promit par ces vers la fin de mes travaux.
Albe & Rome demain prendront vne autre face, Tes vœux ſont exaucés, elles auront la paix Et tu ſeras unie auec ton Curiace Sans qu’auçun mauuais ſort t’en ſepare iamais.	Albe et Rome demain prendront une autre face, Tes vœux sont exaucés, elles auront la paix Et tu seras unie était ton Curiace Sans qu'auçun mauvais sort t'en sépare jamais.
Ie pris ſur cet Oracle vne entiere aſſeurance, Et comme le ſuccés paſſoit mon eſperance, I’abandonnay mon ame à des rauiſſemens Qui paſſoiẽt les tranſports des plus heureux amãts.	Je pris sur cet Oracle un entière assurance, Et comme le succès passait mon espérance, J'abandonnai mon âme à des ravissements Qui passaient les transports des plus heureux amants.
Iugez de leur excés.	Jugez de leur excès.
