A MADAMOISELLE DE BOVRBON.	À MADAMOISELLE DE BOURBON.
Et croire que iamais on n’a veu dans les Cieux, Auec tant d’ornement diſcourir Vranie.	Et croire que jamais on n'a vu dans les Cieux, Avec tant d'ornement discourir Vranie.
L 1110 Ie ne fçay maintenant qui pourroit faire mieux, De tes vers excellans la rudeſſe eſt bannie, Et les meilleurs eſprits quelquesfois enuieux Ne les ſçauroirent blaſmer ſans grande tyrannie.	L 1110 Je ne fçai maintenant qui pourrait faire mieux, De tes vers excellants la rudesse est bannie, Et les meilleurs esprits quelquefois envieux Ne les saurait blâmer sans grande tyrannie.
Autant d’Alexandrins ſont autant de miracles, Ainſi parle Apollon quand il rend les Oracles, Mais n’ayant plus icy de Temples nyu brmeis.	Autant d'Alexandrins sont autant de miracles, Ainsi parle Apollon quand il rend les Oracles, Mais n'ayant plus ici de Temples niu bramis.
Ou bien ne pouuant pas à toute heure deſcendre, Il te laiſſe auec nous pour nous faire comprendre La pure volonté des grands Dieux immortels.	Ou bien ne pouvant pas à toute heure descendre, Il te laisse avec nous pour nous faire comprendre La pure volonté des grands Dieux immortels.
DAMOVRS.	DAMOURS.
AV LECTEVR.	AU LECTEUR.
nie en ſon vray luſtre, que l’ignorance de quelques vns luy auoit rauy par vn deffaut de memoire.	nie en son vrai lustre, que l'ignorance de quelques uns luitaît ravi par un défaut de mémoire.
Ie ſçay bien que quelques critiques, qui ne font profeſſion que de reprendre ce qu’ils ne peuuent imiter, ſe rauiſſent dans le contentement qu’ils s’imaginent receuoir, liſant mes vers pour y mordre, & que ces ames baſſes ne s’impatientent pas moins en l’attente de ce liure, que les Tygres en celle de la proye qu’ils eſperent pour deuorer.	Je sais bien que quelques critiques, qui ne font profession que de reprendre ce qu'ils ne peuvent imiter, se ravissent dans le contentement qu'ils s'imaginent recevoir, lisant mes vers pour y mordre, et que ces âmes basses ne s'impatient pas moins en l'attente de ce livre, que les Tigres en celle de la proie qu'ils espérèrent pour dévorer.
Mais n’importe que ces ſerpens, qui n’ont des yeux que pour tuer s’efforcent d’amoindrir l’eſtime que la renommee me donne (ie crains auſſi peu leur plume que leur langue) & n’apprehende point le blaſme de ceux qui ſont incapables de loüer vn honneſte homme.	Mais n'importe que ces serpens, qui n'ont des yeux que pour tuer s'efforcent d'amoindrir l'estime que la renommée me donne (ie crains aussi peu leur plume que leur langue) et n'appréhende point le blâme de ceux qui sont incapables de louer un honnête homme.
Si ceux-là par hazard font eſtat de mes œuures, croy qu’au lieu de reſſentiments de ioye, i’en auray de douleur, s’il eſt vray que leur approbation paſſe pour reproche chez les beaux eſprits.	Si ceux-là par hasard font état de mes œuvres, crois qu'au lieu de ressentiments de joie, j'en aurai de douleur, s'il est vrai que leur approbation passe pour reproche chez les beaux esprits.
Qu’ils ſoufflent donc leur venin dans mes eſcrits, qu’ils deſchirent leur autheur, qu’ils blaſment ma façon d’eſcrire, qu’ils tonnent contre moy?	Qu'ils soufflent donc leur venin dans mes écrits, qu'ils déchirent leur auteur, qu'ils blâment ma façon d'écrire, qu'ils tonnent contre moi?
mon liure n’en ſera pas moins priſé, & ma reputation plus choquee pour cela.	mon livre n'en sera pas moins prisé, et ma réputation plus choque pour cela.
Les fleurs qui plaiſent le plus à nos ſens ne perdent rien de leur eſclat, encore que des monſtres les ayent regardees, & le Soleil n’eſt pas moins beau, bien que ſouuent des rauages s’oppoſent à ſa lumiere:	Les fleurs qui plaisent le plus à nos sens ne perdent rien de leur éclat, encore que des monstres les aient regardées, et le Soleil n'est pas moins beau, bien que souvent des ravages s'opposent à sa lumière:
Certes pourueu qu’vne perſonne d’eſprit m’ait en quelque opinion, ie meſpriſe les cenſures & les loüanges de ces critiques à la douzaine.	Certes pourvu qu'une personne d'esprit m'ait en quelque opinion, pleins méprise les censures et les louanges de ces critiques à la douzaine.
Si mon ſtile n’eſt releué il eſt intelligible, ſi mes vers ont peu d’orgueil ils ont aſſez de politeſſe pour m’exempter du nom de Pedant, que mes enuieux poſſedent legitimement.	Si mon style n'est relevé il est intelligible, si mes vers ont peu d'orgueil ils ont assez de politesse pour m'exempter du nom de Pédant, que mes envieux possèdent légitimement.
I’ay hanté d’autres lieux que des Colleges, où i’ay appris à ne point faire du Latin & du François vne meſme langue.	J'ai hanté d'autres lieux que des Collèges, où j'ai appris à ne point faire du Latin et du Français une même langue.
Si ils ne leurs peuuent plaire, ie ſçay auec pluſieurs (dont le merite egale la Nobleſſe du ſang) qu’ils ont eu bonne grace en la bouche d’vne merueille de la Cour, d’où les moindres diſcours paſſent pour Oracles chez les plus polis;	Si ils ne leurs peuvent plaire, ie sçay avec plusieurs (dont le mérite égale la Noblesse du sang) qu'ils ont eu bonne grâce en la bouche d'une merveille de la Cour, d'où les moindres discours passent pour Oracles chez les plus polis;
Ie ne te dis pas ces choſes, Lecteur, pour forcer tes inclinatiõs à bien croire de moy, ſi i’ay beſoin de correction (ce que ie ne ſçay que trop) reprend moy doucement & non auec paſſion.	Je ne te dis pas ces choses, Lecteur, pour forcer tes inclination à bien croire de moi, si j'ai besoin de correction (ce que je ne sais que trop) reprend moi doucement et non seulement passion.
Toutesfois fay ce qu’il te plaira, Adieu.	Toutefois fais ce qu'il te plaira, Adieu.
E Roy de Phrigie dans ſon veufuage n’a pour ſa cõſolation qu’Vranie, parfaite en ce qui eſt de la beauté & de la vertu, ce pere paſſionné d’vne alliance aduantageuſe, fait des remonſtrances à cette belle Princeſſe, ſur ce qu’elle donnoit ſes affections au Prince Florilame, qui partageoit egalement la valeur & la bonne grace.	E Roi de Phrigie dans son veuvage n'a pour sa consolation qu'Vranie, parfaite en ce qui est de la beauté et de la vertu, ce père passionné d'une alliance avantageuse, fait des remonstrances à cette belle Princesse, sur ce qu'elle donnait ses affections au Prince Florilorme, qui partageait également la valeur et la bonne grâce.
Melante Souueraine d’Iſtande, à qui Florilame reſtoit vnique, treuuant mauuais que ſon fils ſe hazarde en ceſte recherche.	Mélante Souveraine d'Istande, à qui Florilame restoit unique, trouvant mauvais que son fils se hasarde en cette recherche.
Alcandre Magicien par le moyen d’vn charme l’aduertit de ne point trauerſer vne ſi belle amitié, que le Ciel n’a fait naiſtre que pour le bien de ces deux maiſons;	Alcandre Magicien par le moyen d' charme l'avertit de ne point traverser une si belle amitié, que le Ciel n'a fait naître que pour le bien de ces deux maisons;
& pour l’y porter d’auantage luy fait voir ce que les deſtins en ont ordonné, dans cinq tableaux, qui repreſentent ce qui ſera veu dans les cinq actes de ceſte paſtorale.	et pour l'y porter d'avantage avoir fait voir ce que les destins en ont ordonné, dans cinq tableaux, qui représentent ce qui sera vu dans les cinq actes de cette pastorale.
Ces Amants cependant ſe voyent ſecretement, ſe parlent, ſe donnent la foy, ſe reſoudent d’aller en Arcadie, & executent leur deſſein, laiſſent le Roy dans les mouuements que la haine & la douleur ſoufflent à vn pere offencé, qui enuoye des gens à leur recouſſe au meſme tẽps que les Ambaſſadeurs du Royaume de Pheacie qui venoient demander Vranie au nom de leur maiſtre, perdant leur vaiſſeaux dans la fureur de l’orage ſe ſauuent à la nage au port de Phrigie, qu’ils recognoiſſent par la repreſentation du plan qu’ils en ont.	Ces Amants cependant se voient secrètement, se parlent, se donnent la foi, se resoudent d'aller en Arcadie, et exécutent leur dessein, laissent le Roi dans les mouvements que la haine et la douleur soufflent à un père offensé, qui envoie des gens à leur recoutse au même tẽps que les Ambassadeurs du Royaume de Pheacie qui venaient demander Vranie au nom de leur maître, perdant leur vaisseaux dans la fureur de l'orage de sauuent à la nage au port de Phrigie, qu'ils reconnaissent par la représentation du plan qu'ils en ont.
Eſtant rencontrez par des ſeigneurs du pays, touchez de leur infortune, ils ſont conduits au Roy:	Étant rencontrez par des seigneurs du pays, touchés de leur infortune, ils sont conduits au Roi:
mais ſon viſage auec les yeux de tous ſes Courtiſans compoſez à la douleur & aux larmes, leur donne vne mauuaiſe eſperance de leur Ambaſſade, qui demeure ſans effet, apres que ſa Majeſté leur a fait expoſer le rauiſſement de ſa fille, cette fuitte fait aduancer le depart de ces Ambaſſadeurs, que Lycandre fait conduire honorablement au port.	mais son visage avec les yeux de tous ses Courtisans composés à la douleur et aux larmes, leur donne une mauvaise espérance de leur Ambassade, qui demeure sans effet, après que sa Majesté leur a fait exposer le ravissement de sa fille, cette fuite fait avancer le départ de ces Ambassadeurs, que Lycandre fait conduire honorablement au port.
Ces Amants d’autre coſté n’ayant pas moins de charmes dans l’Arcadie ſous les habits de Bergers, que d’eſclat dans la Cour;	Ces Amants d'autre côté n'ayant pas moins de charmes dans l'Arcadie sous les habits de Bergers, que d'éclat dans la Cour;
prennent inſenſiblement les cœurs & les libertez de Diane & Liſidor (frere & ſœur) qui dans la ruſe treuuent des inuentions pour des-vnir vne ſi conſtante affection, ce qui leur reüſſit par ce moyen.	prennent insensiblement les cœurs et les libertés de Diane et Lisidor (frère et sœur) qui dans la ruse trouvent des inventions pour des-unir ainsi si constante affection, ce qui leur réussit par ce moyen.
Diane apres auoir par ſes deſdains porté le pauure Philandre au dernier point de la folie, prie Vranie qu’elle frequentoit ſous l’apparence d’vne ſincere amitié, d’eſcrire pour elle à vn Berger importun qui la venoit rechercher apres auoir ſouſpiré pour vne moins belle qu’elle, ce que cette pauure Princeſſe fait auſſi innocement que malheureuſement pour elle:	Diane après avoir par ses dédains porté le pauvre Philandre au dernier point de la folie, prie Vranie qu'elle fréquentait sous l'apparence d'une sincère amitié, d'écrire pour elle à un Berger importun qui la venait rechercher après avoir soupiré pour une moins belle qu'elle, ce que cette pauvre Princesse fait aussi innocement que malheureusement pour elle:
Car eſtant venuë à l’endroit d’vn bois pour y attendre Florilame qui ne manquoit iamais de s’y treuuer à pareille heure, cette malicieuſe Diane l’attend au paſſage, l’arreſte, l’importune, le coniure d’auoir pitié de ſon mal, luy fait preſent d’vne couronne de laurir, qu’il reçoit pour la contenter, & tire de luy quelques baiſers par force au meſme temps qu’Vranie ſort d’vn ſommeil qui l’auoit entretenuë en l’attente de ſon Prince, qui voyant Florilame faire des careſſes à cette Bergere qu’elle appelle ſa compagne en amour, auſſi bien qu’en affection, s’eſcoule tout bellement derriere quelques taillis, d’où elle entend leurs diſcours à la façon d’vne fille ialouſe.	Car étant venue à l'endroit d'un bois pour y attendre Florilhame qui ne manquait jamais de s'y trouver à pareille heure, cette malicieuse Diane l'attend au passage, l'arrête, l'importune, le conjure d'avoir pitié de son mal, avait fait présent d'une couronne de laurir, qu'il reçoit pour la contenter, et tire de même quelques baisers par force au même temps qu'Vranie sort d'un sommeil qui l'avait entretenue en l'attente de son Prince, qui voyant Florilorme faire des caresses à cette Bergère elle appelle a compagne en amour, aussi bien qu'en affection, sécoule tout en amou taillis, au elle entend leurs discours la façon y bien ialouse.
Ce Prince apres s’eſtre deſgagé de cette importune Bergere, va treuuer Vranie, qui luy fait à l’abord vn ſi froid accueil, que ne luy donnant pas le temps de luy demander la cauſe d’vn ſi froid chãgement, elle s’eſchappe de ſes mains, laiſſant par mal-heur choir la letrre qu’elle auoit eſcrite pour Diane, Florilame tout confus de voir que la mort luy donnoit le treſpas auec des traits de plume, ſe laiſſe conduire par ſon deſeſpoir dans la nuict au haut d’vn rocher pour ſe precipiter, comme il ſe donne le branſſe, l’Echo qu’il prend pour le Demon du lieu ſe ſert de ſes plaintes, pour luy faire voir le peu de ſujet qu’il a de ſe plaindre:	Ce Prince après s'être dégagé de cette importune Bergère, va treuuer Vranie, qui lui fait à l'abord un si froid accueil, que ne avait donnant pas le temps de quelques demander la cause d'un si froid chamègement, elle s'échappe de ses mains, laissant par malheur choir la letrre qu'elle avait écrite pour Diane, Florilme tout confus de voir que la mort lui donnait le trépas était des traits de plume, se laisse conduire par son désespoir dans la nuit au haut d'une rocher pour se précipiter, comme il se donne le bransse, Echo il prend pour le Demon du lieu se sert de ses ane, l' il le Demon du lieu se se rail a de se plaindre:
mais connoiſſant ce que s’en eſtoit, & donnant au vent ce qui venoit de l’air, il ſe iette du roc en bas apres s’eſtre percé l’eſtomach d’vn poignard, où des eſpines plus ſenſible à la pitié que cette cruelle ialouſe, le retiennent & l’empeſchent de treuuer la mort au milieu des tombeaux, dont les montagnes d’alentour eſtoient affreuſes.	mais connaissant ce que s'en était, et donnant au vent ce qui venait de l'air, il se jette du roc en bas après s'être percé l'estomacacheur poignard, où des épines plus sensible à la pitié que cette cruelle jalouse, le retiennent et l'empêchent de trouver la mort au milieu des tombeaux, dont les montagnes d'alentour étaient affreuses.
Vranie cependant pouſſee du meſme deſſein de mourir, ſe rend dans la foreſt de Diane, d’où ſes cris font ſortir vn venerable vieillard qui ſeruoit la Deeſſe Diane, lequel luy oſtant les mains & la volonté de ſe nuire, la conduict dans le Temple, luy perſuade de conſulter l’Oracle qu’elle n’interprete qu’à ſon mal-heur au meſme inſtant que deux Peſcheurs portent rlorilame tout eſuanouy & couuert de ſang.	Vranie cependant poussée du même dessein de mourir, se rend dans la forêt de Diane, d'où ses cris font sortir un vénérable vieillard qui servait la Deesse Diane, lequel lui ôtant les mains et la volonté de se nuire, la conduit dans le Temple, lui persuade de consulter l'Oracle qu'elle n'interprète qu'à son malheur au même instant que deux Pêcheurs portent rlorilame tout évanoui et couvert de sang.
Vranie le recognoiſſant auſſi bien que le papier tout ſanglant qu’il auoit à la main, & ne doutant non plus de la malice de Diane que de la conſtance de ſon Amant, fait tant que ſes pleurs le font reuenir à ſoy, mais ſi eſtonné qu’il ne ſe peut croire viuant.	Vranie le reconnaissant aussi bien que le papier tout sanglant qu'il avait à la main, et ne doutant non plus de la malice de Diane que de la constance de son Amant, fait tant que ses pleurs le font revenir à soi, mais si étonné qu'il ne se peut croire vivant.
Et de meſme que les contentemens ne viennent iamais ſeuls ainſi que les trauerſes, Lucidant & Terſange arriuent en ce lieu, & les aſſeurent que le Roy & la Princeſſe Melante n’attendent que leur retour pour ſe rendre contens auecques eux, à peine ceux-cy ſont ils venus que Diane & Liſidor leur viennent demander pardon, qu’ils obtiennent librement, à condition que Diane eſpouſe Philandre qui eſtoit reuenu à ſon bon ſens, & Liſidor Doris qu’il auoit tant meſpriſee.	Et de même que les contentements ne viennent jamais seuls ainsi que les traverses, Lucidant et Tersange arrivent en ce lieu, et les assurent que le Roi et la Princesse Melante n'attendent que leur retour pour se rendre contents après eux, à peine ceux-cy sont ils venus que Diane et Lisidor leur viennent demander pardon, qu'ils obtiennent librement, à condition que Diane épouse Philandre qui était revenu à son bon sens, et Lisidor Doris qu'il avait tant mesprisee.
Ces choſes eſtãt faites, apres auoir remercié le ſage Adamante du bon traittement qu’ils en auoient receu, s’ambarquent & tirent vers la Phrigie, y eſtant arriuez ils treuuent le Roy & la Princeſſe Melante empeſchez à pleurer aupres de vains tombeaux, ſur leſquels le Roy auoit fait eſleuer leurs effigies, ſur vne croyance qu’il auoit de leur mort.	Ces choses étant faites, après avoir remercié le sage Adamante du bon traitement qu'ils en avaient reçu, s'ambarquent et tirent vers la Phrigie, y étant arrivés ils trouvèrent le Roy et la Princesse Melante empêchés à pleurer auprès de vains tombeaux, sur lesquels le Roi avait fait élever leurs effigies, sur une croyance qu'il avait de leur mort.
Ces Amants apres leur auoir demandé pardon de leur licence amoureuſe, le reçoiuent auec l’effect de leurs deſirs:	Ces Amants après leur avoir demandé pardon de leur licence amoureuse, le reçoivent avec l'effet de leurs désirs:
car le Roy apres auoir donné la foy d’eſpoux à Melante, la fait auſſi promettre à ces Amans, rendant ce iour heureux par la ſolennité de leurs mariages.	car le Roi après avoir donné la foi d'époux à Melante, la fait aussi promettre à ces Amants, rendant ce jour heureux par la solennité de leurs mariages.
Extraict du Priuilege du Roy.	Extrait du Privilège du Roi.
AR grace & priuilege du Roy, donné à I Sainct Germain en Laye le dernier iour de Nouembre 1630.	AR grâce et privilège du Roi, donné à I Saint Germain en Laye le dernier jour de Novembre 1630.
ſigné par le Roy en ſon Conſeil Chappelain, & ſeellé du grand Seau de cire iaulne, il eſt permis à IEAN MARTIN, Maiſtre Imprimeur & Marchand Libraire à Paris, d’imprimer ou faire imprimer, vendre & debiter par tout le Royaume, vn liure intitulé, Vranie Tragi-comedie Paſtoralle, dediee à Madamoiſelle de Bourbon, par le Sienr Bridard;	signé par le Roi en son Conseil Chapelain, et seelé du grand Seau de cire jaulne, il est permis à JEAN MARTIN, Maître Imprimeur et Marchand Libraire à Paris, d'imprimer ou faire imprimer, vendre et débiter par tout le Royaume, un livre intitulé, Vranie Tragi-comédie Pastorale, dédiée à Madamoiselle de Bourbon, par le Sienr Idard;
Et deffences à tous autres d’imptimer ou contrefaire ledit Liure pendant ſixannees, ſur peine de confiſcation des exemplaires, & de mille liures d’amende, comme plus amplement eſt porté par les lettres de priuilege.	Et défenses à tous autres d'imptimer ou contrefaire ledit Livre pendant sixanées, sur peine de confiscation des exemplaires, et de mille livres d'amende, comme plus amplement est porté par les lettres de privilège.
ANAXARTE, IDofermorb, Minbaſſadeurs de Phœacie.	ANAXARTE, IDofermorb, Minbassadeurs de Phœacie.
LIGDAMON	LIGDAMON
CLARINDOR, Gentils-hommes de Phrigie.	CLARINDOR, Gentilshommes de Phrigie.
LE CHANCELLIER.	LE CHANCELIER.
LVCIDAN, Capitaine des gardes du Rcoy.	LUCIDAN, Capitaine des gardes du Rcoi.
TITILANDRE, Deiger d’Arcadie, amoureux dé Diane.	TITILANDRE, Deiger d'Arcadie, amoureux dé Diane.
DIANE, Bergere.	DIANE, Bergère.
LISIDOR Berger, frere de Diane.	LISIDOR Berger, frère de Diane.
ADAMANTE, Sacrificateur.	ADAMANTE, Sacrificateur.
DORIS, Bergere.	DORIS, Bergère.
1.	1.
PESCHEVR.	PÉCHEUR.
2.	2.
PESCHEVR.	PÉCHEUR.
PAGE.	PAGE.
RA I I TRAGI-COMEDIE PASTORALE.	RA I I TRAGI-COMÉDIE PASTORALE.
ACTE PREMIER.	ACTE PREMIER.
LE ROY, VRANIE, MELANTE, TERSANGE, ALCANDRE.	LE ROY, VRANIE, MELANTE, TERSANGE, ALCANDRE.
SCENEI.	SCENEI.
LE ROY, VRAJ	LE ROY, VRAJ
LE ROY.	LE ROY.
Epuis le iour fatal, que la Reyne Aſtrauie Veit l’heure de ſa mort en vous donnant la vie, Vous ſçauez Vranie auecques quel ſoucy I'ay eu du ſoin de vous iuſqu’en cét âge icy, Où la meſme beauté nous conſacrant ſes veilles, Vous a fait vn preſent de toutes ſes merueilles;	Epuis le jour fatal, que la Reine Astravie Veit l'heure de sa mort en vous donnant la vie, Vous savez Vranie était quel souci J'ai eu du soin de vous jusqu'en cet âge ici, Où la même beauté nous consacrant ses veilles, Vous a fait un présent de toutes ses merveilles;
Que chacun vous adore, & que beaucoup de Roys S’eſtiment bien heureux de viure ſous vos Loix:	Que chacun vous adore, et que beaucoup de Rois S'estiment bien heureux de vivre sous vos Lois:
Que voſtre eſprit s’accorde auec voſtre naiſſance, Qu’il ne vous manque rien qu’vn peu d’obeyſſance:	Que votre esprit s'accorde avec votre naissance, Qu'il ne vous manque rien qu'un peu d'obéissance:
Dont l’inique deffaut par vn cours criminel Veut reduire au neant l’Empire paternel.	Dont l'inique défaut par un cours criminel Veut réduire au néant l'Empire paternel.
D’où vient que la rougeur au viſage vous monte?	D'où vient que la rougeur au visage vous monte?
Eſt-ce d’vn repentir que prouient ceſte honte?	Est-ce d'être repentir que provient cette honte?
Car vous ſçauez le point où ie pretens venir!	Car vous savez le point où ie prétends venir!
VRANIE.	VRANIE.
L’intention des Roys ne ſe peut preuenir;	L'intention des Rois ne se peut prévenir;
Ceux qui tiennent le Sceptre en ce temps où nous ſommes, Eſtans pareus aux Dieux n'oi que te jeut nõ d'hõmes;	Ceux qui tiennent le Sceptre en ce temps où nous sommes, Étant pareus aux Dieux n'ai que te jeut nõ d'hommes;
Sire, pardonnez moy, mon peu de iugement Ne va pas iuſque là,	Sire, pardonnez -moi, mon peu de jugement Ne va pas jusque -là,
LE ROY.	LE ROY.
c’eſt parler ſagement.	c'est parler sagement.
naui que pieust ie um ciena que ioſtre ame auſſi nuë, Que mon intention ne ſouffrit point de nuë, Qu'vn hypocrite fard n'euſt en vous des appas Qui vous font ſouhaitter chaque iour mon treſpas.	naui que pieut ainsi um ciena que jotre âme aussi nue, Que mon intention ne souffrit point de nue, Qu'un hypocrite fard n'eût en vous des appas Qui vous font souhaiter chaque jour mon trépas.
VRANIE.	VRANIE.
Sire, voſtre treſpas!	Sire, votre trépas!
Hé quel digne ſupplice Egaleroit mon crime?	Hé quel digne supplice Égalerait mon crime?
LE ROY.	LE ROY.
ô fille ſans malice!	ô fille sans malice!
N’eſt- ce pas abreger la courſe de mes iours Que de faire l’object de vos folles amours Vn homme que le ſort fit celuy de ma haine, Dont mon malheur ſe ſert pour augmenter ma peins, Voſtre humeur pourroit elle en venir à ce point?	N'est- ce pas abréger la course de mes iours Que de faire l'object de vos folles amours Venn homme que le sort fit celui de ma haine, Dont mon malheur se sert pour augmenter ma peins, Votre humeur pourrait -elle en venir à ce point?
VRANIE.	VRANIE.
Ces mots ſont ambigus, ie ne vous entens point.	Ces mots sont ambigus, Seigneur ne vous entends point.
LE ROY.	LE ROY.
Parlez!	Parlez!
n’eſt il pas vray que vous auez en l’ame Vn pourtraict animé du Prince Florilame, A qui vous auez fait vn preſent de vos vœux Dedans vn bracelet tiſſu de vos cheueux?	n'est il pas vrai que vous avez en l'âme Un pourtrait animé du Prince Florilame, À qui vous avez fait un présent de vos vœux Dedans un bracelet tissu de vos cheveux?
En vain l’on ſe diſpoſe à faire bonne mine, Ie ſuis auſſi ruſé comme vous eſtes fine.	En vain l'on se dispose à faire bonne mine, Je suis aussi rusé comme vous êtes fine.
A RANIE.	À RANIE.
Que i'aymaſſe, bons Dieux!	Que j'aimasse, bons Dieux!
voſtre ennemy mortel, I'aymerois mieux mourir:	votre ennemi mortel, J'aimerais mieux mourir:
LE ROY.	LE ROY.
Mais le bruit en eſt tel, Et ie ſçay bien de plus que ſouuent vn ſien Page S'eſt acquue nero touou mhumomeua meſſage, Cela n’eſt-il pas vray, parlez aſſeurément?	Mais le bruit en est tel, Et ie maire bien de plus que souvent un sien Page S'est acquue nero touou mhumeua message, Cela n'est-il pas vrai, parlez assurément?
VRANIE.	VRANIE.
Ony, qu’il faut qu’Vranie endure innocemment.	Oni, qu'il faut qu'Unanie endure innocemment.
LE ROY.	LE ROY.
Eſles vous tellement de reſpect deſpourueuë Que vouloir démentir mon oreille & ma veuë, Allez contentez-vous, ie n’en ay que trop vet	Esles vous tellement de respect dépourvue Que vouloir démentir mon oreille et ma vue, Allez contentez-vous, notre n'en ai que trop vêt
VRANIE.	VRANIE.
Icymes ennemum ont prije au depourueu.	Icimes ennemum ont prije au dépourvu.
EE ROY.	CE ROY.
Non, non, n’eſtimez pas que mon humeur s’accorde Auecque lés flateurs qui ſement la diſcorde;	Non, non, n'estimez pas que mon humeur s'accorde Avec lés flatteurs qui sèment la discorde;
Senſible à l’amitié de meſme qu'à la Loy Ie iuge de ce crime & en pere & en Roy.	Sensible à l'amitié de même qu'à la Loi Je juge de ce crime et en père et en Roi.
