PREFACE	PRÉFACE
Que le deſeſpoir d’une Mere qui apprend qu’elle l’a conduite au ſacrifice, lors qu’elle s’attendoit à la voir l’Epouſe du plus fameux Heros de la Grece:	Que le désespoir d'une Mère qui apprend qu'elle l'a conduite au sacrifice, lors qu'elle s'attendait à la voir l'Épouse du plus fameux Héros de la Grèce:
Que la conſtance de cette Fille qui s’offre ſi genereuſement à eſtre la Victime des Grecs quelque ſecrette joye qu’elle reſſentit à ſe voir aymée d’Achille:	Que la constance de cette Fille qui s'offre si généreusement à être la Victime des Grecs quelque secrète joie qu'elle ressentit à se voir aimée d'Achille:
Enfin que la juſte colere de cet Amant de qui le nom avoit ſervi pour la conduire à la mort.	Enfin que la juste colère de cet Amant de qui le nom avait servi pour la conduire à la mort.
J’ay jugé, disje, que toutes ces choſes ſuffiſoient pour attacher & pour remplir l’eſprit de l’Auditeur pendant cinq Actes, & pour y produire cette terreur & cette pitié ſi eſſentielles à la Tragedie, ſans qu’il fuſt beſoin d’y joindre des intrigues d’amour & des jalouſies hors d’œuvre, qui n’auroient fait que rompre le fil de l’action principale, dont la veritable beauté conſiſte dans ſa ſimplicité & dans l’union des parties qui la compoſent.	J'ai jugé, disje, que toutes ces choses suffisaient pour attacher et pour remplir l'esprit de l'Auditeur pendant cinq Actes, et pour y produire cette terreur et cette pitié si essentielles à la Tragédie, sans qu'il fût besoin d'y joindre des intrigues d'amour et des jalousies hors d'œuvre, qui n'auraient fait que rompre le fil de l'action principale, dont la véritable beauté consiste dont la simplicité et dans l'union des parties qui la composent.
Agamemnon ſe reſout icy à mou.	Agamemnon se résout ici à mou.
rir plûtoſt, & à perdre le commandement de l’Armée, qu’à livrer ſa Fille, & je rends Uliſſe, conformément à ſon caractere & à ce que Dictys de Crete nous en a laiſſé dans ſon Hiſtoire de la Guerre de Troye, l’auteur du piege qui eſt tendu à cette Princeſſe infortunée.	rir plutôt, et à perdre le commandement de l'Armée, qu'à livrer sa Fille, et je rends Ulisse, conformément à son caractère et à ce que Dictys de Cre nous en a laissé dans son Histoire de la Guerre de Troie, l'auteur du piège qui est tendu à cette Princesse infortunée.
En cela je quitte Euripide qu’il a ſuivi, mais je n’ay pas ſujet de m’en repentir, puis que c’eſt de cet incident que naiſſent enſuite naturellement toutes les ſurpriſes de la Mere & de la Fille, du Pere & de l’Amant qui ſe trouvent également trompez.	En cela je quitte Euripide qu'il a suivi, mais je n'ai pas sujet de m'en repentir, puis que c'est de cet incident que naissent ensuite naturellement toutes les surprises de la Mère et de la Fille, du Père et de l'Amant qui se trouvent également trompez.
Euripide non plus que M.	Euripide non plus que M.
Racine n’a point dit le ſujet de la colere de Diane, la Fable l’impute à Agamemnon pour avoir tué une Biche que cette Déeſſe cheriſſoit, il m’a ſemblé qu’elle auroit paru trop cruelle, de vouloir pour une faute ſi legere faire perir une innocente.	Racine n'a point dit le sujet de la colère de Diane, la Fable l'impute à Agamemnon pour avoir tué une Biche que cette Déesse chérissait, il m'a semblé qu'elle aurait paru trop cruelle, de vouloir pour une faute si légère faire périr une innocente.
Et quand j’ay feint que Clytemneſtre luy avoit conſacré ſa Fille dés le berceau, & qu’elle avoit violé ce vœu pour ſatisfaire à ſon ambition, ’ay cru donner à ſa colere un pretexte plus raiſonnable.	Et quand j'ai feint que Clytemnêtre lui avait consacré sa Fille dès le berceau, et qu'elle avait violé ce vœu pour satisfaire à son ambition, aay cru donner à sa colère un prétexte plus raisonnable.
Enfin j’ay conſervé avec Euripide une Cataſtrophe generalement receuë & que M.	Enfin j'ai conservé avec Euripide une Catastrophe généralement reçue et que M.
Racine traite d’abſurde dans ſa Preface ſans ſonger qu’il offenſe Euripide à qui il a quelque obligation.	Racine traite d'absurde dans sa Préface sans songer qu'il offense Euripide à qui il a quelque obligation.
Elle n’a pourtant choqué perſonne, & dans la repreſentation on a ſenti de la joye de voir cette Princeſſe innocente ſauvée par le ſecours de cette meſme Diane qui avoit demandé ſa mort.	Elle n'a pourtant choqué personne, et dans la représentation on a senti de la joie de voir cette Princesse innocente sauvée par le secours de cette même Diane qui avait demandé sa mort.
Cet évenement n’eſt pas plus incroyable que l’Oracle de Calcas.	Cet événement n'est pas plus incroyable que l'Oracle de Calcas.
Et pour me ſervir des propres termes de M.	Et pour me servir des propres termes de M.
Corneille dans le beau diſcours qu’il nous a donné de la Tragedie.	Corneille dans le beau discours qu'il nous a donné de la Tragédie.
Cette premiere ſuppoſition faite qu’il eſt des Dieux, & qu’ils ont quelque commerce avec les hommes, à quoy l’Auditeur vient tout reſolu quand le titre du Poëme l’y a preparé, il n’a aucune difficulté à ſe perſuader le reſte.	Cette première supposition faite qu'il est des Dieux, et qu'ils ont quelque commerce avec les hommes, à quoi l'Auditeur vient tout résolu quand le titre du Poème l'y a préparé, il n'a aucune difficulté à se persuader le reste.
Il ſuffit que nous n’inventions pas ce qui de ſoy n’eſt pas tout à fait vray-ſemblable, & qu’eſtant inventé de longue main il ſoit tellement connu de l’Auditeur qu’il ne s’effarouche point à le voir ſur la Scene.	Il suffit que nous n'inventions pas ce qui de soi n'est pas tout à fait vrai-semblable, et qu'étant inventé de longue main il soit tellement connu de l'Auditeur qu'il ne s'effarouche point à le voir sur la Scène.
Autrement on ne pourroit plus ſouffrir ny les Ocpides ny les Andromeues, ny les Mences ny les Alceſtes & les autres Tragedies de cette nature.	Autrement on ne pourrait plus souffrir Seigneur les Ocides ni les Andromeues, toujours les Mences ni les Alcêtes et les autres Tragédies de cette nature.
C’eſt encor une maxime établie, qu’il n’eſt pas permis de changer l’action principale des Sujets receus de la Fable, non plus que de ceux qui ſont tirez des Hiſtoires abſolument connuës, & nous ne ſommes veritablement maiſtres que des Incidens que l’Auditeur croit aiſément, quand il voit qu’ils le conduiſent à ce qu’il ſçait eſtre veritable & dont la Fable & l’Hiſtoire luy ont laiſſé une forte impreſſion.	C'est encor une maxime établie, qu'il n'est pas permis de changer l'action principale des Sujets reçus de la Fable, non plus que de ceux qui sont tirez des Histoires absolument connues, et nous ne sommes véritablement maîtres que des Incidents que l'Auditeur croit aisément, quand il voit qu'ils le conduisent à ce qu'il sçait être véritable et dont la Fable et l'Histoire lui ont laissé une forte impression.
En faiſant une Preface je ne veux pas m’engager inſenſiblement dans une Diſſertation, & je laiſſe au Lecteur à faire ſes reflexions ſur tout le reſte de l’Ouvrage.	En faisant une Préface je ne veux pas m'engager insensiblement dans une Dissertation, et je laisse au Lecteur à faire ses réflexions sur tout le reste de l'Ouvrage.
Je luy diray ſeulement comme je ne ſuis point d’humeur à m’enrichir du bien d’autruy, qu’il y a dans tout le corps de cette Tragedie environ une centaine de vers épars çà & là que je dois à Monſieur Coras, & que j’ay choiſis parmy quelques-autres qu’il avoit faits en quelques Scenes, dont je luy avois communiqué le deſſein.	Je crois dirai seulement comme je ne suis point d'humeur à m'enrichir du bien d'autrui, qu'il y a dans tout le corps de cette Tragédie environ une centaine de vers épars à et là que je dois à Monsieur Coras, et que j'ai choisis parmi quelques-autres qu'il avait faits en quelques Scères, dont je nous avais communiqué le dessein.
C’eſt ce qui a fait croire à celuy qui nous a donné des remarques fur les deux Iphigenies & à quelques autres, qu’il eſtoit l’auteur de l’ouvrage, je luy cederois volontiers toute la gloire, qu’on pourroit en eſperer, Si je ne croyois la devoir au changement e ay apporté par l’avis de perſonnes éclairées, & pour qui ’ay toute ſorte de deference.	C'est ce qui a fait croire à celui qui nous a donné des remarques fur les deux Iphigénies et à quelques autres, qu'il était l'auteur de l'ouvrage, je ne crois volontiers toute la gloire, qu'on pourrait en espérer, Si je ne croyais la devoir au changement é ay porté par l'avis de personnes éclairées, et pour qui ay toute sorte de déférence.
Extrait du niiuuoge un Roy.	Extrait du niivoge un Roi.
AR Lettres Patentes de ſa Majeſté.	AR Lettres Patentes de sa Majesté.
Y données à Verſailles le dix-huitiéme jour d’Aouſt 1675, ſignées BAu DoüIN, & ſcellées du grand Sceau de cire jaune:	Y données à Versailles le dix-huitième jour d'Août 1675, signées BAu DoüIN, et scellées du grand Sceau de cire jaune:
Il eſt permis au Sieur LECLERC de faire imprimer une piece de Theatre intitulée Iphigenie, pendant le temps de dix années;	Il est permis au Sieur LECLERC de faire imprimer une pièce de Théâtre intitulée Iphigénie, pendant le temps de dix années;
avee deffenſes à toutes perſonnes de quelque qualité & condition qu’elles ſoient, d’imprimer ou faire imprimer, vendre ny diſtribuer ladite Piece ſans le conſentement de l’Expoſant, ou de ceux qui auront droit de luy, à peine de quinze cens livres d’amende, ainſi qu’il eſt plus au long contenu eſdites Lettres.	Avée défenses à toutes personnes de quelque qualité et condition qu'elles soient, d'imprimer ou faire imprimer, vendre ni distribuer ladite Pièce sans le consentement de l'Exposant, ou de ceux qui auront droit de Seigneur, à peine de quinze cens livres d'amende, ainsi qu'il est plus au long contenu édites Lettres.
Ledit Sieur LECLERC a cedé ſon droit à Olivier de Varennes, pour en joüir ſuivant le contenu en iceluy.	Ledit Sieur LECLERC a cédé son droit à Olivier de Varennes, pour en jouir suivant le contenu en icelui.
Regiſtré ſur le Livre de la Communauté des Libraires & Imprimeurs de Paris le 26 Octobre1675, ſuivant l’Arreſt du Parlement du 8 Avril 1653, & celuy du Conſeil Privé du 27 Fevrier 1665.	Registré sur le Livre de la Communauté des Libraires et Imprimeurs de Paris le 26 Octobre1675, suivant l'Arrest du Parlement du 8 Avril 1653, et celui du Conseil Privé du 27 Février 1665.
ACTEVRS.	ACTEURS.
AGAMEMNON, Chef des Grecs.	AGAMEMNON, Chef des Grecs.
ACHILLE.	ACHILLE.
ULISSE.	ULISSE.
La Scene eſt dans le Camp d'Aulide ſur les bords de la mer, auprés de la Tente d’Agamemnon.	La Scène est dans le Camp d'Aulide sur les bords de la mer, auprès de la Tente d'Agamemnon.
IPHIGENIE	IPHIGENIE
HI 21 INAGEDIE.	HI 21 INAGEDIE.
EA	EA
SCENE FIEMIERE.	SCÈNE FIEMIÈRE.
AGAMEMNON.	AGAMEMNON.
ORONTE.	ORONTE.
ORONIE.	ORONIE.
UOY Seigneur, voulez-vous ſans ceſſe ſoûpirer?	OUI Seigneur, voulez-vous sans cesse soupirer?
AGAMEMNON.	AGAMEMNON.
Helas!	Hélas!
c’eſt bien aſſez de ne pas murmurer.	c'est bien assez de ne pas murmurer.
Tu vois toûjours les Vens malgré leur inconſtance Dans ce funeſte Port obſtinez au ſilence, Ce calme plus cruel que les flots irritez Tient avec nos vaiſſeaux nos deſſeins arreſtez, L’Oyſiveté forcée où la Flotte eſt reduite Fait gemir les Heros qui ſont ſous ma conduite;	Tu vois toujours les Viens malgré leur inconstance Dans ce funeste Port obstinez au silence, Ce calme plus cruel que les flots irrités Tient avec nos vaisseaux nos desseins arrêtés, L'Oisiveté forcée où la Flotte est réduite Fait gémir les Héros qui sont sous ma conduite;
J’ay redoublé mes ſoins, & j’ay fait mille efforts Pour donner un cours libre à leurs nobles tranſports, J’avois crû que mes vœux forçant cette barriere Pourroient aux grands exploits nous ouvrir la carriere, Mais j’ay perdu mes vœux, mes ſoins & mes travaun, Et ce n’eſt pas encor le plus grand de mes maux.	J'ai redoublé mes soins, et j'ai fait mille efforts Pour donner un cours libre à leurs nobles transports, J'avais crû que mes vœux forçant cette barrière Pourraient aux grands exploits nous ouvrir la carrière, Mais j'ai perdu mes vœux, mes soins et mes travaun, Et ce n'est pas encor le plus grand de mes maux.
ORONTE.	ORONTE.
Quelle infortune eſt jointe à ce calme funeſte, Où j’avois crû, Seigneur, que le couroux celeſte Avoit juſqu’à ce jour borné tous vos ennuis?	Quelle infortune est jointe à ce calme funeste, Où j'avais crû, Seigneur, que le courroux celeste Vait jusqu'à ce jour borné tous vos ennuis?
AGAMEMNON.	AGAMEMNON.
Ah!	Ah!
que je ſuis à plaindre en l’eſtat où je ſuis, Oronte, tu me vois le Chef de tant de Princes Que la Grece a choiſis de toutes ſes Provinces, Un Camp preſque innombrable obeït à mes loix, Lt iar eniant iur mes pas ſe regle par ma voix, Mais de tant de maineur certe gloire eſt luivic, Qu’elle devient fatale au repos de ma vie, Et j’achete bien cher l’éclat de ce haut rang, Puiſqu’il faut malgré moy le payer de mon ſang.	que je suis à plaindre en l'état où je suis, Oronte, tu me vois le Chef de tant de Princes Que la Grèce a choisis de toutes ses Provinces, Un Camp presque innombrable obeït à mes lois, Lt jar eniant jur mes pas se règle par ma voix, Mais de tant de maineur certe gloire est luivic, Qu'elle devient fatale au repos de ma vie, Et j'achete bien cher l'éclat le ce haut rang, Puisqu'il faut malgré moi le payer de mon sang.
ORONTE.	ORONTE.
De voſtre ſang, ô Dieux!	De votre sang, ô Dieux!
j’ay peine à vous entendre.	j'ai peine à vous entendre.
Quel crime ou quel malhour vous force à le répandre?	Quel crime ou quel malhour vous force à le répandre?
AGAMEMNON.	AGAMEMNON.
Eſcoute.	Écoute.
Quand les Grecs aſſemblez ſur ces bords M’eurent choiſi pour Chef de leur illuſtre Corps, Cet employ me fut cher, je l’acceptay ſans peine Pour vanger Menelas du raviſſeur d’Helene, Je brûlois du deſir d’achever ce deſſein;	Quand les Grecs assemblez sur ces bords M'eurent choisi pour Chef de leur illustre Corps, Cet emploi me fut cher, je l'acceptai sans peine Pour venger Ménélas du ravisseur d'Hélène, Je brûlois du désir d'achever ce dessein;
Mais helas!	Mais hélas!
qu’à moy-meſme il devient inhumain Puiſque par un revers funeſte à ma Famille Si je luy rends Helene, il m’en coûte ma Fille.	qu'à moi-même il devient inhumain Puisque par un revers funeste à ma Famille Si je sens rends Hélène, il m'en coûte ma Fille.
ORONTE.	ORONTE.
Voſtre Fille Seigneur?	Votre Fille Seigneur?
AGAMEMNON.	AGAMEMNON.
Oronte, apprens de moy Comment j’en ay receu la tyrannique Loy.	Oronte, apprends de moi Comment j'en ai reçu la tyrannique Loi.
Les Grecs preſts à partir brûloient d’impatience D’aller faire ſur Troye éclater leur vangeance, Lors qu’un calme ſoudain répandu ſur les eaux Dans ce triſte rivage arreſta nos vaiſſeaux:	Les Grecs prêts à partir brûlaient d'impatience D'aller faire sur Troie éclater leur vengeance, Lors qu'un calme soudain répandu sur les eaux Dans ce triste rivage arrêta nos vaisseaux:
Par mille & mille vœux contre cette infortune On brigua la faveur d’Æole & de Neptune, Mais ces Dieux, que preſſoient nos deſirs inquiets Furent à nos ſoûpirs des Dieux ſourds & muets, Et pour rendre les Vens & les flots plus propices Nous n’offriſmes jamais que de vains ſacrifices, Calcas enfin preſſé de l’eſprit furieux, Qui prononce aux mortels les répontes des Dieux, De la part de Diane a rendu cet Oracle, Qu’il nous faut accomplir pour ſurmonter l’obſtacle, Qui de noſtre vangeance arreſte le deſſein, Entens, Oronte, entens, cet Oracle inhumain, Pour voir finir le calme & vous conduire à Troye, Et pour y remporter un renom immortel, Du ſang d’Iphigenie arroſez mon Autel, O drres, u nin point d’autre voye.	Par mille et mille vœux contre cette infortune On brigua la faveur d'Æole et de Neptune, Mais ces Dieux, que pressaient nos désirs inquiets Furent à nos soupirs des Dieux sourds et muets, Et pour rendre les Vens et les flots plus propices Nous n'offrîmes jamais que de vains sacrifices, Calcas enfin pressé de l'esprit furieux, Qui prononce aux mortels les répontes des Dieux, De la part de Diane a rendu cet Oracle, Qu'il nous faut accomplir pour surmonter l'obstacle, Qui de notre vangeance arrête le dessein, Entens, Oronte, entens, cet Oracle inhumain, Pour voir finir le calme et vous conduire Troye, Et pour y remporter un renom immortel, Du sang Iphigenie arrosez mon Autel, Ô drres, point autre voie.
Quel Oracle!	Quel Oracle!
ORONTE.	ORONTE.
AGAMEMNON.	AGAMEMNON.
A ces mots mon courage abbatu Cher Oronte, eut beſoin de toute ma vertu, Je ne pûs qu’avec peine étouffer le murmure Que contre cet Oracle éleva la Nature, Et quand j’enviſageay l’excez de mon malheur Je me vis ſur le point d’expirer de douleur.	À ces mots mon courage abattu Cher Oronte, eut besoin de toute ma vertu, Je ne pus qu'avec peine étouffer le murmure Que contre cet Oracle éleva la Nature, Et quand j'envisageai l'excès de mon malheur Je me vis sur le point d'expirer de douleur.
Pour prevenir ce coup & pour mieux m’en défendre Au deſir de Calcas je feignis de me rendre, Et j’ay par mes détours juſqu’icy differé A luy livrer le ſang dont il eſt alteré.	Pour prévenir ce coup et pour mieux m'en défendre Au désir de Calcas je feignis de me rendre, Et j'ai par mes détours jusqu'ici différé A lui livrer le sang dont il est altéré.
Mais enfin Menelas qui ne ſent d’autre peine Que celle, que luy fait l’enlevement d’Helene, Du ſalut de l’Eſtat couvrant ſon intereſt Me preſſe d’obeïr à ce funeſte Arreſt, Et Calcas y joignant les terribles maximes Que ſon zele établit ſur le ſang des Victimes, Attend que j’y réponde, & preſente à mes yeux Si j’oſe y reſiſter la colere des Dieux;	Mais enfin Ménélas qui ne sent d'autre peine Que celle, que deux fait l'enlèvement d'Hélène, Du salut de l'État couvrant son intérêt Me presse d'obéir à ce funeste Arrêt, Et Calcas y joignant les terribles maximes Que son zèle établit sur le sang des Victimes, Attend que j'y réponde, et presente à mes yeux Si j'ose y résister la colère des Dieux;
el laut ſe rendre enfin.	elle laut se rendre enfin.
ORONTE.	ORONTE.
Quoy?	Quoi?
de ce Sacrifice Vous pouvez devenir le malheureux complice, Le Tyran de vos jours, & de voſtre repos?	de ce Sacrifice Vous pouvez devenir le malheureux complice, Le Tyran de vos jours, et de votre repos?
AGAMEMNON.	AGAMEMNON.
3 Je fais plus, dés ce jour je t’envoye en Argos.	3 Je fais plus, dès ce jour je t'envoie en Argos.
J’écris à Clytemneſtre, & feins qu’Iphigenie Doit au fils de Thetis par l’hymen eſtre unie, Qu’Achille a refuſé de partir avec nous S’il n’emporte avec luy le nom de ſon Eſpoux, Ainſi de cet Hymen l’amorce menſongere Amenera bientoſt & la Fille & la Mere, Et moy j’accompliray cette barbare loy Que nous cõnoiſſons ſeuls mon frere, Ulyſſe & moy.	J'écris à Clytemnaître, et feins qu'Iphigénie Doit au fils de Thétis par l'hymen être unie, Qu'Achille a refusé de partir avec nous S'il n'emporte avec lui le nom de son Époux, Ainsi de cet Hymen l'amorce mensongère Amenera bientôt et la Fille et la Mère, Et moi j'accomplirai cette barbare loi Que nous cõnoissons seuls mon frère, Ulysse et moi.
Aux tendreſſes du ſang ma gloire inexorable Change un Pere ſenſible en Juge impitoyable, Et d’un cruel effort tyranniſant mes vœux Fait à ce que je dois ceder ce que je veux.	Aux tendresses du sang ma gloire inexorable Change un Père sensible en Juge impitoyable, Et d'un cruel effort tyrannisant mes vœux Fait à ce que je dois céder ce que je veux.
Voicy l’écrit fatal, où Calcas & mon frere Trouvent à mes dépens dequoy ſe ſatisfaire, Voicy l’appaſt trompeur ma Fille, le voicy, Qui pour trancher tes jours doit t’attirer icy.	Voici l'écrit fatal, où Calcas et mon frère Trouvent à mes dépens dequoy se satisfaire, Voici l'appât trompeur ma Fille, le voici, Qui pour trancher tes jours doit t'attirer ici.
Pour ma Fille, je ſçay que ton cœur s’intereſſe, Mais tu n’aimes pas moins le ſalut de la Grece, Je ſçay que pour nous rendre heureux & triomphãs Toy-meſme tu voudrois immoler tes enfans.	Pour ma Fille, je sais que ton cœur s'intéresse, Mais tu n'aimes pas moins le salut de la Grèce, Je sais que pour nous rendre heureux et triomphants Toi-même tu voudrais immoler tes enfants.
ORONTE.	ORONTE.
Mais Seigneur, ſongez-vous que cet effort barbare De l’amitié d’Achille à jamais vous ſepare, Et rompant cet Hymen comment pre endez vous De ce jeune Heros appaiſer le couroux.	Mais Seigneur, songez-vous que cet effort barbare De l'amitié d'Achille à jamais vous sépare, Et rompant cet Hymen comment pré dé -vous De ce jeune Héros apaiser le courroux.
AGAMEMNON.	AGAMEMNON.
De ſon nom ſeulement nous couvrons ce myſtere, A iij Et pour luy, ce n’eſt pas un ſujet de colere, Amour comme tu ſçais n’en eſt pas le vainqueur, Et Mars ſeul eſt en droit de remplir tout ſon cœur.	De son nom seulement nous couvrons ce mystère, A j à pour lui, ce n'est pas un sujet de colère, Amour comme tu sais n'en est pas le vainqueur, Et Mars seul est en droit de remplir tout son cœur.
Si naguere on luy vid quitter Deidamie, Et réveiller pour nous ſa valeur endormie, Il verra ſans en eſtre irrité ny ſurpris La perte d’un Objet dont il n’eſt point épris.	Si naguère on lui vis quitter Didamie, Et réveiller pour nous sa valeur endormie, Il verra sans en être irrité était surpris La perte d'un Objet dont il n'est point épris.
ORONTE.	ORONTE.
Ne croyez pas qu’Achille aux combats invincible Aux artraits de l’Amour ait une ame inſenſible, I’ay ſçeu par un des ſiens, qu’à des ſoins genereux Son cœur meſle en ſecret des ſoûpirs amoureux, Que lors que dans Argos il vid Iphigenie Il ſentit de ſes yeux la douce tyrannie.	Ne croyez pas qu'Achille aux combats invincible Aux artraits de l'Amour ait une âme insensible, J'ai su par un des siens, qu'à des soins généreux Son cœur mêle en secret des soupirs amoureux, Que lors que dans Argos il vit Iphigénie Il sentit de ses yeux la douce tyrannie.
AGAMEMNON.	AGAMEMNON.
Pleuſt au Ciel, que Diane appaiſant ſon eouroux Il devint de ma Fille & l’Amant & l’Epoux, Mais un ſi doux eſpoir peut-il flatter l’envie De qui doit n’aſpirer qu’à conſerver ſa vie?	Plût au Ciel, que Diane apaisant son eourroux Il devint de ma Fille et l'Amant et l'Époux, Mais un si doux espoir peut-il flatter l'envie De qui doit n'aspirer qu'à conserver sa vie?
Pleins d’un zele indiſcret & mon Frere & Calcas Menacent d’éclater ſi je n’obeïs pas, Je dois rendre aujourd’huy ma derniere réponſe, Dés que je l’ay formée auſſi-toſt j’y renonce.	Pleins d'un zèle indiscret et mon Frère et Calcas Menacent d'éclater si je n'obéis pas, Je dois rendre n'hui ma dernière réponse, Dès que je l'ai formée aussitôt j'y renonce.
Que dois-je faire enfin?	Que dois-je faire enfin?
mais je voy Menelas, Laiſſe-nous ſeuls, Oronte, & ne t’éloigne pas.	mais je vois Ménélas, Laisse-nous seuls, Oronte, et ne t'éloigne pas.
L’ingrat vient redoubler l’ennuy qui me devore, Helas!	L'ingrat vient redoubler l'ennui qui me dévore, Hélas!
SCENE II.	SCÈNE II.
AGAMBHION.	AGAMBHION.
MENELAS.	MENELAS.
MENELAS.	MENELAS.
HE!	HÉ!
bien, Seigneur, bälancez-vous encore?	bien, Seigneur, blancez-vous encore?
Quand les Dieux dont vous ſeul attirez le couroux Deſolent tout un Camp pour ſe vanger de nous, Lors qu’au calme obſt.	Quand les Dieux dont vous seul attirez le courroux Désolent tout un Camp pour se venger de nous, Lors qu'au calme obst.
né d’où naiſſent nos miſeres Ils ſont preſts d’ajoûter les fleaux les plus ſeveres, Agamemnon croit-il pouvoir leur refuſer.	né d'où naissent nos misères Ils sont prêts d'ajouter les fléaux les plus sévères, Agamemnon croit-il pouvoir leur refuser.
La Victime & le Sang qui doit les appaiſer?	La Victime et le Sang qui doit les apaiser?
Voſtre Ame en ce malheur d’un beau zele animée La doit ainſi qu’aux Dieux au ſalut de l’Armée:	Votre Âme en ce malheur d'un beau zèle animée La doit ainsi qu'aux Dieux au salut de l'Armée:
Si je vous parle ainſi, Seigneur, c’eſt malgré moy, L’impatient Calcas m’impoſe cette loy, Et s’il en exigeoit le coup qu’il vous ordonne On m’auroit veu déja luy livrer Hermione;	Si je vous parle ainsi, Seigneur, c'est malgré moi, L'impatient Calcas m'impose cette loi, Et s'il en exigeait le coup qu'il vous ordonne On m'aurait vu déjà avait livrer Hermione;
Car enfin quelque grand que ſoit un Potentât, Il n’eſt pas à luy-meſme, il eſt à ſon Eſtat, Il ſe doit tout entier aux peuples qu’il commande, Il doit perir pour eux, ſi leur bien le demande:	Car enfin quelque grand que soit un Potentât, Il n'est pas à lui-même, il est à son État, Il se doit tout entier aux peuples qu'il commande, Il doit périr pour eux, si leur bien le demande:
Cependant vous oſez retarder nos exploits Chef de tant de Soldats, & Roy de tant de Rois?	Cependant vous osez retarder nos exploits Chef de tant de Soldats, et Roi de tant de Rois?
Bien que le Camp, Seigneur, ignore encor l’Oracle, Il croit qu’à ſon bonheur vous leul ſervez d’obſtacle, Ulyſſe, en nous quittant a fait mille mutins, Et ſi vous n’appaiſez ces troubles inteſtins, Je vous en avertis, à moins d’un prompt remede On met en voſtre place Ajax ou Diomede, A iiij	Bien que le Camp, Seigneur, ignore encor l'Oracle, Il croit qu'à son bonheur vous leu servez d'obstacle, Ulysse, en nous quittant a fait mille mutins, Et si vous n'apaisez ces troubles intestins, Je vous en avertis, à moins d'un prompt remède On met en votre place Ajax ou Diomède, A iiij
AGAMEMNON.	AGAMEMNON.
Vous ſçavés bien quel ſang me demandent les Dieux:	Vous savez bien quel sang me demandent les Dieux:
