68 Qis Aſ	68 Qis As
I’ay veſcu ſi esloigné de la flatterie que ie penſe eſtre en poſſeßion de me faire croire quand ie dis du bien de quelqu’vn, & lors que ie donne des loüanges, ce qui m'arriue aſſez rarement, c’eſt auec tant de retenuë, que ie ſuppri- - -0 me touſiours quantité de glorieuſes veritez pour ne me pas rendre ſuſpect d’eſtaler de ces menſonges obligeans, que beaucoup de nos modernes ſçauent debiter de ſi bonne grace.	J'ai vécu si éloigné de la flatterie que je pense été en possesiion de me faire croire quand ie dis du bien de quelqu'un, et lors que je donne des langes, ce qui m'arrive assez rarement, c'est avec tant de retenue, que sans suppris-à -m -0 me toujours quantité de glorieuses vérités pour ne me pas rendre suspect d'étaler de ces mensonges obligeants, que beaucoup de nos modernes soient de de si bonne grâce.
Auſſi ie ne diray rien des auantages de voſtre naiſſance, ny de voſtre courage qui l'a ſi dignement ſouſtenuë dans la profeſſion des armes à qui vous auez donné vos premieres annees, ce ſont des choſes trop cogneuës de tout le monde:	Aussi ici ne dirai rien des avantages de votre naissance, ni de votre courage qui l'a si dignement soutenue dans la profession des armes à qui vous avez donné vos premières années, ce sont des choses trop connus de tout le monde:
Ie ne diray 6 rien de ce prompt & puiſſant ſecours que reçoïuent châque iour de voſtre main tant de bonnes familles ruinées par les deſordres de nos guerres, ce ſont des choſes que vous voulez tenir cachees:	Je ne dirai 6 rien de ce prompt et puissant secours que reçoïuent châque jour de votre main tant de bonnes familles ruinées par les désordres de nos guerres, ce sont des choses que vous voulez tenir cachées:
Ie diray ſeulement vn mot de ce que vous auez particulierement de commun auec Auguſte.	Je dirai seulement un mot de ce que vous avez particulièrement de commun avec Auguste.
C’eſt que cette generoſité qui compo--- 8 - -- 2-- LIISIAL.	C'est que cette générosité qui compo- 8 -moi -- 2- LISIAL.
Je la meilleure partie de voſtre ame& regne ſur l’autre, & qu'à iuſte titre on peut nommer l'ame de voſtre.	Je la meilleure partie de votre ameet règne sur l'autre, et qu'à juste titre on peut nommer l'âme de votre.
ame, puis qu'elle en fait mouuoir toutes les puiſſances, c’eſt dis-je que cette generoſité à l’exemple de ca grand Empereur prend plaiſir à s’eſtendre ſur les gens de lettres, en vn temps où heaucoup penſent auoir trop recompenſé leurs trauaux quãd ils les ont honorez d’vne louange ſterile.	âme, puis qu'elle en fait mouvoir toutes les puissances, c'est dis-je que cette générosité à l'exemple de ca grand Empereur prend plaisir à s'étendre sur les gens de lettres, en un temps où heaucoup pensent avoir trop récompensé leurs travaux quand ils les ont honorez d'une louange stérile.
Et certes, vous auez traicté quelques-vnes de nos Muſes auec tant de magnanimité, qu’en elles vous auez obligé toutes les autres, & qu’il n’en eſt point qui ne vous en doiue vn remerciemẽt.	Et certes, vous avez traité quelques-je de nos Muses avec tant de magnanimité, qu'en elles vous avez obligé toutes les autres, et qu'il n'en est point qui ne vous en doive un remerciement.
Trouuez donc bon, MONSIEVR, que ie m'acquite de celuy que ie recognois vous en deuoir par le prejent que le ouus fais de ce Poeme, que i'ay choiſycõme le plus durable des miens pour apprendre plus long-temps à ceux qui le liront, que le genereux Monſieur de Montoron par vne liberalité inouye en ce ſiecle s’eſt rendu toutes les Muſes redeuables, & que ie prends tant part aux bien-faits dont vous auez ſurpris quelques-vnes d’elles, que ie m’en diray toute ma vie,	Trouvez donc bon, MONSIEUR, que sans m'acquite de celui que ici reconnais vous en devoir par le préjent que le ouus fais de ce Poème, que j'ai choisycomme le plus durable des miens pour apprendre plus longtemps à ceux qui le liront, que le généreux Monsieur de Montoron par une libéralité inouye en ce siècle s’est rendu toutes les Muses redevables, et que je prends tant part aux bienfaits dont vous avez surpris quelques-unes d'elles, que ie j'en dirai toute ma vie,
MONSIEVR,	MONSIEUR,
CORNEILLE.	CORNEILLE.
Ceπθγττωδιεηθβδθωβ* Sι εωS) SENECa ii.	Ceπθγττωδιεηθβδθωβ* Scip εωS) SENECa ji.
T ae ettmeninscap.	T ae ettmeninscap.
9.	9.
IVVS Auguſtus mitis fuit PrinDceps, ſi quis illum à Principatu ſuo æſtimare incipiat:	IUS Augustus mitis fuit PrinDceps, si quis illum à Principatu suo æstimare incipiat:
in communi quidem Republica, duodeuiceſimum egreſſus annum, iam pugiones in ſinu amicorũ abſcõderat, iaminſidijs M.	in communi quidem Républica, duodeuicesimum égressus annum, jam pugiones in sinu amicorũ abscõderat, jaminsidijis M.
Antonij Cõſulis latus petierat, iam fuerat Collega proſcriptionis:	Antonij Cõsulis latus petier, jam fuerat Collega proscriptionis:
ſed cum annum quadrageſimum tranſiſſet, & in Gallia moraretur, delatum eſt ad eum indiciũ L.	se cum annum quadragesum transisset, et in Galia moraretur, délatum est ad eum indicium L.
Cinnam ſtolidi ingenij virũ inſidias ei ſtruere.	Cinnam stolidi ingénij virũ insidias ei struère.
Dictum eſt & vbi, & quãdo, & quẽadmodum aggredi vellet.	Dictum est et vbi, et quand, et quẽadmodum agrédi vellet.
Vnus ex conſcijs deferebat, ſtatuit ſe ab eo vindicare.	Unus ex conscijs déférebat, statuit se ab ô vindicare.
Conſilium amicorũ aduocari iuſſit.	Consilium amicormé avocari jussit.
Nox illi inquieta erat, cum cogitaret adoleſcentem nobilem, hoc detracto integrum, Cn.	Nox illy inquiéta erat, cum cogitaret adolescentem nobilem, hoc détracto integrum, Cn.
Pompeij nepotem damnandum.	Pompeij nepotem damnandum.
Iam vnum hominem occidere non poterat, cum M.	Jam imum hominem occidere non poterat, cum M.
Antonio proſcriptionis edictum inter cœnam dictarat.	Antonio proscriptionis édictum inter cetnam dictarat.
Gemens ſubinde voces varias emittebat & inter ſe contrarias.	Gements subinde voces varias emittebat et inter se contrarias.
Quid ergo?	Quid ergo?
ego percuſſore meum ſecurũ ambulare patiar me ſolſ!	ego percussore meum securũ ambulare patiar me sols!
cito?	cito?
Ergo non dabit pœnas qui tot ciuilibus bellis fruſtra petitum caput, tot naualibus, tot pedeſtribus prælijs incolume poſtquam terra marique pax parta eſt, non occidere cõſtituat, ſed immolare?	Ergo non dabit pœnas qui tôt civilibus bellis frustra petitum caput, tôt navalibus, tôt édestribus prælijà incolume pôtquam terra marique pax parta est, non occidère commstituat, zed immolare?
Nam ſacrificantẽ placuerat adoriri.	Nam sacrificantẽ placuerat adoriri.
Rurſus ſilentio inter poſito maiore multo voce ſibi quã Cinnę iraſcebatur.	Rursus silentio inter posito maiore multo ce sibi quand Cinn irascebatur.
Quid viuis, ſi perire te tam multorũ intereſt?	Qui vivis, si périre te tam multorũ intérêt?
Quis finis erit ſuppliciorum?	Quis finis erit suppliciorum?
quis ſanguinis?	quis sangvinis?
Ego ſum nobilibus adoleſcẽtulis expoſitum caput in quod mucrones acuant.	Ego sum nobilibus adolescientulis expositum caput in quod mucrones acuant.
Non eſt tanti vita ſi vt ego non pereamtam multa perdenda ſunt.	Non est tanti vita si ait ego non pèreamtam multa perdenda sunt.
Interpellauit tandem illum Liuia vxor, & admittis, inquit, muliebre conſilium?	Interpellauit tandem illum Liva vxor, et admittis, inquit, muliebre consilium?
Fac quod Medici ſolent, vbi vſitata remedia non procedunt tentant contraria.	Fac quod Médici solent, vbi usitata remédia non procédunt tentant contraria.
Seueritate nihil adhuc profeciſti:	Seuéritate nihil adhuc profecti:
Saluidienũ Lepidus ſecutus eſt, Lepidum Muræna, Murænam Cepio, Cepionem Egnatius, vt alios taceam ques tantum auſos pudet, nunc tenta quomodo tibi cedat clementia.	Saluidienũ Lépidus secutus est, Lépidum Muræna, Murænam Cépio, Cépionem Egnatius, ut alios taceam ques tantum ausos pudet, nunc tenta quomodo tibi cédât clémentia.
Ignoſce L.	Ignosce L.
Cinnæ, depræhenſus eſt, iam nocere tibi non poteſt, prodeſſe - famæ tue poteſt.	Cinnæ, dépræhensus est, jam nocère tibi non potest, prodesse - famæ tue potest.
Gauiſus ſibi quod aduocatum inuenerat, vxori quidem gratias egit:	Gavisus sibi quod avocatum invenerat, vxori quidem gratias égit:
renuntiari autem ex templo amicis quos in conſilium rogauerat imperauit, & Cinnam vnumad ſe accerſit, dimiſſiſque omnibus è cubiculo, cum alteram poni Cinnæ cathedram iuſſiſſet:	renuntiari autem ex templo amicis quos in consilium rogaverat impéravit, et Cinnam vnumad se accersit, dimissque omnibus cubiculo, alteram poni Cinnæ cathedram iussisset:
Hoc, inquit, primum à te petone me loquentem interpelles, ne meo ſermone medio proclames, dabitur tibi loquendi liberũ tempus.	Hoc, inquit, primum à te petone me loquentem interpelles, ne me sermone médio proclames, dabitur tibi loquendi liberũ tempus.
Egote, Cimna, cum in hoſtium caſtris inueniſſem non factum tantum mihi inimicum, ſed natum, ſeruaui, patrimonium tibi omne conceſſi, hodie tam fœlix es & tam diues, vt victo victores inuideant:	Egote, Cimna, cum in hôtium castris invenissem non factum tant mihi inimic, zed servi, servi, patrimonium tibi omne concessi, hodie tam fœlix ès et tam dives, v icto victores invideant:
Sacerdotium tibi petenti præteritis compluribus, quorum parentes mecum militauerant, dedi.	Sacerdotium tibi petenti præteritis complibus, quorum parentes mecum militaverant, dedi.
Cum ſic de te meruerim, occidere me conſtituiſti.	Cum sic de te meruerim, occidere me constituisti.
Cum ad hanc vocẽ exclamaſſet Cinna procul hanc ab ſe abeſſe dementiã:	Cum ad hanc vocien exclamasset Cina procul hanc abesse dément toujours:
Non præſtas, inquit, fidem, Cinna, cõuenerat ne interloquereris.	Non prætas, inquit, fidem, Cinna, contuenerat ne interloquereris.
Occidere, inquam, me paras.	Occidère, inquam, me paras.
Adiecit locum, ſocios, diem, ordiné inſidiarum, cur cofnifnuiit enſet .	Adiecit locum, socios, diem, ordiné insidiarum, cur cofnifuiit enset .
.	.
conuentione iam, ſed ex conſcientia ta centem:	conventione jam, zed ex conscentia ta centem:
Quo, inquit, hoc animo facis?	Quo, inquit, hoc animo facis?
Vt ipſe ſis Princeps?	Vît ipse sis Princeps?
Male mehercule cum Republica agitur ſi tibi ad imperandum nihil preter me obſtat Domum tuam tueri non potes.	Male mehercule cum Républica agitur si tibi ad impérandum nihil prêter me obstat Dom tuam tueri non potes.
Nuper libertini hominis gratia in priuato iudicio ſuperatus es.	Nuper libertini hominis gratia in privato iudicio supératus es.
Adeo nihil facilius putas quam contra Cæſarẽ aduocare?	Adeo nihil facilius putas quam contra Cæsarence avocare?
Cedo, ſi ſpes tuas ſolus impedio, Pauluſne te & Fabius Maximus & Coſſi & Seruilij ferẽt, tantumque agmen nobilium non inania nomina præferentium, ſed eorum qui imaginibus ſuis decori ſunt.	Cédo, si spes tuas solus impédio, Paulusne te et Fabius Maximus et Cossi et Servilij serent, tantumque agen nobilium non inania nomina préférentium, zed eorum qui imaginibus suis décori sunt.
Ne totam eius orationem repetendo magnam partem voluminis occupem, diutius enim quam duabus horis locutũ eſſe conſtat, cum hanc pœnam qua ſola erat contentus futurus extẽderet.	Ne totam eius oration répétendo magnam partem voluminis occupérem, diutius enim quam duabus horis locutile ès constat, cum hanc pœnam qua zola erat contentus futurs extẽderet.
Vitamtibi, inquit, Cinna, iterum do, prius hoſti, nunc inſidiatori ac parricidæ.	Vitamtibi, inquit, Cina, iterum do, prius hôti, nunc insidiatori ac parricidæ.
Ex hodierno die inter nos amicitia incipiat.	Ex hodierno die inter nos amicitia incipiat.
Contenda mus vtrum ego meliore fide vitam tibi dederim an tu debeas.	Contenda mus vtrum ego méliore fide vit tibi dederim an tu debeas.
Poſthæc detulit vltro Conſulatum queſtus quod non au deret petere, amiciſſimum fideliſſimũ ---- - que habuit, hæres ſolus fuit illi, nullis ampliusmiuije de vnlo petitus eſt.	Posthæc détulit vlo Consulatum questus quod non au deret petère, amicissimum fidelissimũ -elle-m - que habuit, hæres solus fuit illy, nullis ampliusmius dé plo petitus est.
çoit d’vne voix plus forte & s’en prenoit a oy-meſme.	çoit d’vne voix plus forte & s’en prenoit a oy-mesme.
Pourquoy vis-tu, s’il importe!	Pourquoi vis-tu, s'il importe!
tant de gens que tu meures?	tant de gens que tu meures?
ny aura-il point de fin à tes vangeances & à tes cruaute.	ici aura-il point de fin à tes vengeances et à tes cruauté.
Ta vie vaut-elle que tant de dommage ſ face pour la conferuer?	Ta vie vaut-elle que tant de dommage s ace pour la conserver?
Liuia ſa femme le ſentant en ces angoiſſes:	Liva sa femme le sentant en ces angoisses:
& les conſeils des femmes y ſeront-ils receus, luy dit-elle?	et les conseils des femmes y seront-ils reçus, Seigneur dit-elle?
fay ce que font les Medecins, quand les receptes aecouſtumées ne peuuent ſeruir, ils en eſſayent de contraires.	fais ce que font les Médecins, quand les receptes aecoustumées ne peuvent servir, ils en essayent de contraires.
Par ſeuerité tu n’as iuſques à cette heure rien profité.	Par vérité tu n'as jusques à cette heure rien profité.
Lepidus a ſuiuy Saluidienus, Murena Lepidus, Capio Murenu Egnatius Cæpioc, ommence à experimenter sõment te ſuccederont la douceur & la clemence.	Lépidus a suivi Saluidienus, Murena Lépidus, Capio Murenu Egnatius Cæpioc, ommence à expérimenter cément te succéderont la douceur et la clémence.
Cinna eſt conuaincu, pardonne luy, de te nuire deformais il ne pourra, & profitera à ta gloire.	Cinna est convaincu, pardonne vertu, de te nuire déformais il ne pourra, et profitera à ta gloire.
Auguſte fut bien aiſe d’auoi trouué vn aduocat de ſon humeur, & ayant remercié ſa femme & contremandé ſes amis qu’i l auoit aſſigné au conſeil il commanda qu’on fiſt venir à luy Cinna tout ſeul:	Auguste fut bien aise d'avoi trouvé un avocat de son humeur, et ayant remercié sa femme et contremandé ses amis qu'y l loit assigné au conseil il commanda qu'on fît venir à lui Cina tout seul:
& ayant fait ſortir tout le monde de ſa cham bre, & fait donner vn ſiege à Cinna il lu par la en cette mantere.	et ayant fait sortir tout le monde de sa cham bre, et fait donner un siège à Cinna il lu par la en cette mystère.
En premier tieu, ie te 2.	En premier tieu, Seigneur te 2.
L– – romps pas mon parler, ie te donneray temps & loiſir d’y respondre.	L' y romps pas mon parler, on te donnerai temps et loisir d'y répondre.
Tu ſçais, Cinna que t’ayant pris au camp de mes ennemis;	Tu sais, Cina que t'ayant pris au camp de mes ennemis;
non ſeulement t’eſtant fait mon ennemy, mais eſtant né tel, ic te ſauuay, ie te mis entre les mains tous tes biens, & t’ay enfin rendu ſi eccommodé & ſi aiſé que les victorieux ſont enuieux de la condition du vaincu:	non seulement t'étant fait mon ennemi, mais étant né tel, j' te sauuay, ieurs mis entre les mains tous tes biens, et t'ai enfin rendu si eccommodé et si aisé que les victorieux sont envieux de la condition du vaincu:
l’office du ſacerdoce que tu me demandas, ie te l’ostroyay l’ayant refuſé à tant d’autres, deſquels les peres auoient touſiours combattu auec moy;	l'office du sacerdoce que tu me demandas, Elle te l'ôtroyai l'ayant refusé à tant d'autres, desquels les pères avaient toujours combattu avec moi;
t’ayant ſi fort obligé tu as entrepris de me tuër.	t'ayant si fort obligé tu as entrepris de me tuer.
A quoy Cinna s’eſtant eſcrié qu’il estoit bien eſloigné d'vne ſi meſchante penſée, tu ne me tiens pas Cinna, ce que tu m'auois promis, ſuiuit Augnste:	À quoi Cinna s'étant écrié qu'il était bien éloigné d'une si méchante pensée, tu ne me tiens pas Cinna, ce que tu m'avais promis, suivit Augnste:
tu m'auois aſſeuré que ie ne ſerois interrõpu:	tu m'avais assuré que ici ne serais interrontu:
oùy tu as entrepris de me tuër, en tel lieu, tel iour, en telle compagnie, & en telle façon:	où tu as entrepris de me tuer, en tel lieu, tel jour, en telle compagnie, et en telle façon:
& le voyant tranſi de ces nouuelles & en ſilence non plus pour tenir le marché de ſe taire, mais de la preſſe de ſa conſcience.	et le voyant transi de ces nouvelles et en silence non plus pour tenir le marché de se taire, mais de la presse de sa conscience.
Pourquoy, adiouſta-il le fais-tu?	Pourquoi, ajouta-il le fais-tu?
Eſt-ce pour eſtre Empereur?	Est-ce pour être Empereur?
Vraiment il va bien mal à la choſe publique s’il n'y a que moy qui t'empeſche d’arriuer à l’Empire.	Vraiment il va bien mal à la chose publique s'il n'y a que moi qui t'empêche d'arriver à l'Empire.
Tu ne peux pas - -------------- A --- -- -- F ſeutement defendre ta maiſon, & perdis dernierement vn procez par la faueur d’rvn ſimple libertin.	Tu ne peux pas maison , et PERDIS -à- -- -fou- F seutement défendre ta maison, et perdis dernièrement un procès par la faveur d'rô simple libertin.
Quoy?	Quoi?
n'as tu pas moyen ni pouuoir en autre choſe qu'à entreprendre Cæſar?	n'as tu pas moyen ni pouvoir en autre chose qu'à entreprendre Cæsar?
Ie le quitte s’il n'y a que moy qui empeſche tes eſperances.	Je le quitte s'il n'y a que moi qui empêche tes espérances.
Penſes-tu que Paulus que Fabius, que les Coſſéens & Scruiliens te ſouffrent & vne ſi grande troupe de nobles non ſeu lement nobles, mais qui par leur vertu honorent leur nobl'eſſe?	Penses-tu que Paulus que Fabius, que les Cosséens et Scruiliens te souffrent et une si grande troupe de nobles non lement nobles, mais qui par leur vertu honorent leur noblesse?
Apres pluſieurs autres propos, (car il par la à lui plus de deux heures entieres.	Après plusieurs autres propos, (car il par la à lui plus de deux heures entières.
Or va, lui dit-il, ie te donne, Cinna, la vie à traiſtre & à parricide, que ie donnai autrefois à ennemi:	Or va, lui dit-il, ie te donne, Cinna, la vie à traître et à parricide, que enfin donnai autrefois à ennemi:
que l’amitié commence de ce iour d’hui entre-nous:	que l'amitié commence de ce jour d'hui entre-nous:
eſſayons qui de nous deux de meilleure foy moi taye donné la vie ou tu l’ayes receuë.	essayons qui de nous deux de meilleure foi moi taie donné la vie ou tu l'aies reçue.
Etſe départit d’auec lui en cette manieree Quelque temps apres il lui donna le Conſulat, ſe plaignant dequoi il ne lui auoit oſe demander, il l’eut depuis pour fort ami & fut ſeul fait par lui heritier de ſes biens.	Etse départit d'avec lui en cette manière Quelque temps après il lui donna le Consulat, se plaignant dequoi il ne lui avait ose demander, il l'eut depuis pour fort ami et fut seul fait par lui héritier de ses biens.
Or depuis cét accident qui aduint à Auguſte au quarantieſme an de ſon âge il n'y eut iamais de coniuration ni d’entrepriſe contre lui & receut vne iuſte recompenſe de cette ſier  4 εωθνοεπδνβπδ εδδεε*δεS Extraict du Priuilegé du Roy.	Or depuis cet accident qui advint à Auguste au quarantième an de son âge il n'y eut jamais de conjuration ni d'entreprise contre lui et reçut une juste récompense de cette si 4 * εδδεε*δεS Extrait du Priuilegé du Roi.
L eſt permis à noſtre amé & feal IPIERRE CORNEILLE noſtre Conſeiller & Aduocat General au ſiege de la Table de Marbre des Eauës & Foreſts de Roüen, de faire imprimer vne Tragedie de ſa compoſition intitulée.	L est permis à notre amé et féal IPIÈRE CORNEILLE notre Conseiller et Aduocat Général au siège de la Table de Marbre des Eauës et Forêts de Rouen, de faire imprimer une Tragédie de sa composition intitulée.
CINN A, ou La Clemence d’Auguſte, durant le temps de vingt ans, à compter du iour que ladite piece ſera acheuée d’imprimer.	CINN A, ou La Clémence d'Auguste, durant le temps de vingt ans, à compter du jour que ladite pièce sera achevée d'imprimer.
Et deffenſes ſont faites à tous Imprimeurs & Libraires d’en imprimer, vendre & diſtribuer d’autre impreſſiõ que celle qu’aura fait faire ledit Corneille, ou ſes ayans cauſe, ſur peine de 1500.	Et défenses sont faites à tous Imprimeurs et Libraires d'en imprimer, vendre et distribuer d'autre impressions que celle qu'aura fait faire ledit Corneille, ou ses ayant cause, sur peine de 1500.
liures d’amende, confiſcation des exẽplaires, & de tous deſpens, dõmages & intereſts, ainſi qu’il eſt porté par les lettres de Priuilege.	livres d'amende, confiscation des explaires, et de tous dépens, dõmages et intérêts, ainsi qu'il est porté par les lettres de Privilège.
Donné à Fontainebleau le 1.	Donné à Fontainebleau le 1.
Aouſt 1642.	Août 1642.
ſigné, CLIER.	signé, CLIÈR.
Et ſcellé du grand ſceau de cire jaune.	Et scelé du grand sceau de cire jaune.
T ledit ſieur CURNBIELE à cedé & trãſporté tous Lles droits dudit Priuilege par luy obtenu du preſent liure à Touſſainct Quinet Marchand Libraire,	TOUS ledit sieur CURNBIELE à cédé et transporté tous Lles droits dudit Privilège par mieux obtenu du présent livre à Toussaint Quinet Marchand Libraire,
pour jouyr du contenu en iceluy, ainſi qu’il a eſté accordé entr’eux.	pour jouir du contenu en icelui, ainsi qu'il a été accordé entr'eux.
Acheué d’imprimer pour la premiere fois	Achevé d'imprimer pour la première fois
le 18.	le 18.
Ianuier 1643.	Janvier 1643.
ACTEVRS.	ACTEURS.
OCTAVE CESAR AVGVSTE Empereur de Rome.	OCTAVE CÉSAR AUGUSTE Empereur de Rome.
LIVIE Imperatrice.	LIVIE Impératrice.
a lavAvis Fils d’vne fille de Pompée, Chef de la Conjuration contre Auguſte.	a lavis Fils d'une fille de Pompée, Chef de la Conjuration contre Auguste.
MAXIME Autre Chef de la coniuration, ÆMILIE Fille de C.	MAXIME Autre Chef de la conjuration, ÆMILIE Fille de Ç.
Toranius tuteur d’Auguſte & proſcrit par luy durantle Trium-virau	Toranius tuteur d'Auguste et proscrit par deux durantle Triumdirau
EVPHORBE Affranchy de Maxime,	EUPHORBE Affranchi de Maxime,
La Scene eſt à Rome.	La Scène est à Rome.
E- - e 27	E- - e 27
N N A TRAGEDIE.	 NE NOMME TRAGÉDIE.
ſcxsvtπδ δεπςοεtωςοt*ς	scxsvtπδ δεπςοεtωςοt*ς
ACTE PREMIER.	ACTE PREMIER.
SCENE PREMIERE.	SCÈNE PREMIÈRE.
D ÆMILIE.	DE UMILIE.
MPATIENS deſirs d’vne illuſtre vangeance, A qui la mort d’vn pere a donné la naiſſance, Enfans impetueux de mon reſſentiment Que ma douleur ſeduite embraſſe aueuglement.	MPATIENS désirs d'une illustre vengeance, À qui la mort d'un père a donné la naissance, Enfants impétueux de mon ressentiment Que ma douleur séduite embrasse aveuglement.
Vous regnez ſur mon amę auecque trop d’empites Pour le moins vn moment ſouffrez que ie teſpircę Et que ie conſidere en l’eſtat où ie ſuis, Et ce que ie hazarde, & ce que ie pourſuis.	Vous régnez sur mon am auecque trop d'empites Pour le moins un moment souffrez que ie tespircendRe que sans considère en l'état où je suis, Et ce que pr hazarde, et ce que je suis.
Quand ie regarde Auguſte en ſon trône de gloire Et que vous reprochez à ma triſte memoire Que par ſa propre main mon pere maſſacré, Du trône où ie le voy fait le premier degré;	Quand notre regarde Auguste en son trône de gloire Et que vous reprochez à ma triste mémoire Que par sa propre main mon père massacré, Du trône où on le vois fait le premier degré;
Quand vous me preſentez cette ſanglante imag La cauſe de ma haine, & l’eſfet de ſa rage, Ie m’abandonne toute à vos ardens tranſports- Et croy pour vne mort luy deuoir mille morts:	Quand vous me présentez cette sanglante imag La cause de ma haine, et l'esfet de sa rage, Je m'abandonne toute à vos ardents transports- Et crois pour une mort lui devoir mille morts:
Au milieu toutefois d’vne fureur ſi fuſte, I’ayme encor plus Cinna que ie ne hais Auguſte Et ie ſens refroidir ce boüillant mouuement Quand il faut pour le perdre expoſer mõ amant Ouy, Cinna, contre moy moy meſme ie m’irrites Quand ie ſonge aux dangers où ie te precipite, Quoy que pour me ſeruir tu n’apprehendes rient Te demander ſon ſang, c’eſt expoſer le tien, D’vne ſi haute place on n’abat point de teſtes, Sans attiter ſur ſoy mille & mille tempeſtes, L’iſſuë en eſt douteuſe, & le peril certaint Vn amy déloyal peut trahir ton deſſein, L’ordre mal concerté, l’occaſion mal priſe, Peuuent deſſus ton chef renuerſer l’entrepriſe, Porter ſur toy les coups dont tu le veux frapper, Dans ſa ruine meſme il peut t’enuelopper, Et quoy qu’en ma faueur ton amour execute, Il te peut en tombant accabler ſous ſa cheute.	Au milieu toutefois d'une fureur si fuste, J'aime encor plus Cinna que deux ne haine Auguste Et ie sens refroidir ce bannant mouvement Quand il faut pour le perdre exposer mon amant Oui, Cinna, contre moi -moi -moi -mirrites Quand ie songe aux dangers où tu te précipite, Quoi que pour me servir tu n'appréhendes rient Te demander son sang, c'est exposer le tien, D'une si haute place on n'abat point de têtes, Sans attiter sur soi mille et mille tempêtes, L' en est douteuse, et le per eût amy déloyal peut trahir ton dessein, ordre mal concerté, rui mal prise, Peuuent dessus ton chef renverser entreprise, Et sur toi le coups dont tu le veux frapper, Dans sa re , il se denvelopper, Et quoi en ma faueur ton amour execute, Il te peut en tombant accabler sous sa cheute,
Ah!	Ah!
ceſſe de courir à ce mortel danger, Te perdre en me vangeant, ce n’eſt pas me vanger.	cesse de courir à ce mortel danger, Te perdre en me vengeant, ce n'est pas me venger.
