NCTEVRS.	NCTEURS.
Comme pour cet ingrat i’ay quitté Dorothée, De meſme cet ingrat m’a pour elle quittée.	Comme pour cet ingrat j'ai quitté Dorothée, De même cet ingrat m'a pour elle quittée.
Mon forfait eſt puni par vn pareil forfait, Et par le meſme encor pour qui ie l’auois fait.	Mon forfait est puni par un pareil forfait, Et par le même encor pour qui était l'avais fait.
Afin de m’acquerir cet inconſtant que i’aime, Ie fus comme ma ſœur inconſtante moy meſme:	Afin de m'acquérir cet inconstant que j'aime, Je fus comme ma sœur inconstante mo y:
Ie quittay Dorothée & Dieu tout à la fois;	Je quittai Dorothée et Dieu tout à la fois;
Mais pour n’en pas perd re vn, las!	Mais pour n'en pas perd re vîn, las!
ie les perds tous trois.	On les perds tous trois.
A qui m’addreſſeray-ie en cette conioncture Qui deſtruit mon bonheur & cauſe ma torture?	À qui m'adresserai-je en cette conioncture Qui détruit mon bonheur et cause ma torture?
Sera-ce à ce cruel que ma riuale a pris?	Sera-ce à ce cruel que ma rivale a pris?
Helas!	Hélas!
ie ſuis deſia l’obiet de ſes meſpris.	Il suis déjà l'objet de ses mépris.
Sera-œ à ſon Amante autresfois mon amie?	Sera-œ à son Amante autrefois mon amie?
En aimant ce pariure, elle eſt mon ennemie.	En aimant ce parjure, elle est mon ennemie.
Sera-ce au Preſident que l’amour de ma ſœur Par ſes liens de flame enchaine auec douceur?	Sera-ce au Président que l'amour de ma sœur Par ses liens de flamme enchaine auec douceur?
Puis qu’il n’a point d’ami plus cher ni plus intime, Il fera moins pour moy que non pas pour ſon crime.	Puis qu'il n'a point d'ami plus cher ni plus intime, Il fera moins pour moi que non pas pour son crime.
Sera-ce à cette ſœur, qui m’a fait lachement Abandonner vn Dieu pour ce perfide Amant?	Sera-ce à cette sœur, qui m'a fait lâchement Abandonner un Dieu pour ce perfide Amant?
Ha!	Ha!
non, il eſt certain que pour l’amour d’Aprice, De cet Amant perfide elle ſera complice.	non, il est certain que pour l'amour d'Aprice, De cet Amant perfide elle sera complice.
Sera-ce au fier Amour, qu’en mon cœur ie maintiens, Et qu'encor ie prefere au grand Dieu des Chreſtiens, Hé?	Sera-ce au fier Amour, qu'en mon cœur homme maintiens, Et qu'encor ie préfère au grand Dieu des Chrétiens, Hé?
Hé!	Hé!
que dois-ie eſperer de cet enfant volage Qui de mon infidelle a changé le courage?	que dois-je espérer de cet enfant volage Qui de mon infidèle a changé le courage?
Enfin ſera-ce au Dieu, que i’ay quitté pour luy?	Enfin sera-ce au Dieu, que j'ai quitté pour lui?
Il ſera mon bourreau loin d’eſtre mon appuy.	Il sera mon bourreau loin d'être mon appui.
Il eſt à preſumer que mon crime effroyable Ou me le rendra ſourd ou bien impitoyable, Et qu’au lieu de m’aider à r’anoir mon Amant, Le deſir que i’en ay l’arme à mon chaſtiment.	Il est à présumer que mon crime effroyable Ou me le rendra sourd est bien impitoyable, Et qu'au lieu de m'aider à ranoir mon Amant, Le désir que j'en ai l'arme à mon châtiment.
Que feras-tu Chriſtine en cette conioncture, Qui deſtruit ton bonheur & cauſe ta torture?	Que feras-tu Christine en cette conjure, Qui détruit ton bonheur et cause ta torture?
Theophile, mon cœur.	Théophile, mon cœur.
ha!	ha!
non, lache, leger, Mas-tu pû pour vn autre aueuglement changer?	non, lache, léger, Mas-tu pu pour un autre aveuglement changer?
Quoy cette Dorothée eſt elle ſi charmante, Qu'elle t’ait fait haïr tes Dieux & ton Amante?	Quoi cette Dorothée est elle si charmante, Qu'elle t'ait fait haïr tes Dieux et ton Amante?
Il faut qu’elle ait vſé d’vn charme bien ſubtil.	Il faut qu'elle ait usé d'être charme bien subtil.
N'eſt-elle pas Chreſtienne & n’es-tu pas gentil?	N'est-elle pas Chrétienne et n'es-tu pas gentil?
Peux-tu bien adorer auec ces Dieux ſupremes Celle qui ne veut pas qu’on les adore eux meſmes?	Peux-tu bien adorer était ces Dieux suprêmes Celle qui ne veut pas qu'on les adore eux -mêmes?
Teut-elle receuoir pour ſon adorateur Celuy qui des Chreſtiens eſt le perſecuteur?	Teut-elle recevoir pour son adorateur Celui qui des Chrestiens est le persécuteur?
Es-tu donc Theophile?	Es-tu donc Théophile?
eſt elle Dorothée?	est elle Dorothée?
Quel intrigue eſt.	Quel intrigue est.
c’eſt trop.	c'est trop.
SCENE	SCÈNE
SCENE II.	SCÈNE II.
CALISTE.	CALISTE.
CHRISTINE.	CHRISTINE.
CALISTE.	CALISTE.
QVe ne l'ay-ie eſcoutée?	QUe ne l'ai-je écoutée?
C’eſt trop, oüy oüy, ma fœur, c’eſt enfin trop réuer.	C'est trop, oui oui, ma fœur, c'est enfin trop réuer.
C’eſt trop cacher vn mal qu’on vous voit éprouuer.	C'est trop cacher un mal qu'on vous voit éprouver.
Toutes vos actions parlent de voſtre peine;	Toutes vos actions parlent de votre peine;
Ce mal m’eſt auſſi clair que ſa cauſe incertaine.	Ce mal m'est aussi clair que sa cause incertaine.
camno mentur de cons vuis unce ouen uu regret Redoubler voſtre ennuy pour m’en faire vn ſeeret.	camno mentur de cons vis unce ouen u regret Redoubler votre ennui pour m'en faire un seèret.
CHRISTINE.	CHRISTINE.
Ma ſœur iniuſtement voſtre bouche me blâme De vous faire vn ſecret du tourment de mon ame.	Ma sœur injustement votre bouche me blâme De vous faire un secret du tourment de mon âme.
Puis que mes actions en parlent hautement, Ie n’ay pas tant de ſoin de cacher ce tourment.	Puis que mes actions en parlent hautement, Je n'ai pas tant de soin de cacher ce tourment.
C ALIOTEe C’eſtoit de vos diſcours que ie deuois l’apprendre.	Ç CLIOTEe C'était de vos discours que tu devais l'apprendre.
CHRISIINE.	CHRISINE.
Qu'importe comme quoy ie vous le face entendre?	Qu'importe comme quoi ie vous le face entendre?
CALISTE.	CALISTE.
Que touſiours le ſujet m’en demeure inconnû.	Que toujours le sujet m'en demeure inconnu.
CHRISTINE.	CHRISTINE.
Vous ne ſçauez que trop d’où ce mal m’eſt venu.	Vous ne savez que trop d'où ce mal m'est venu.
CALISTE.	CALISTE.
N’eſtes-vous point encor dans voſtre réuerie?	N'êtes-vous point encor dans votre réuerie?
Ie le ſçay?	Je le sais?
Ha!	Ha!
ma ſœur, vous en ſeriez guerie.	ma sœur, vous en seriez guérie.
CHRIS	CHRIS
CHRISTINE.	CHRISTINE.
N’eſtes-vous pas Caliſte?	N'êtes-vous pas Caliste?
CALISTE.	CALISTE.
AcheueZ.	Achevez.
CHRISTINE.	CHRISTINE.
& ejr dijjees Vous le ſçauez tres-bien ſi vous la connoiſſez.	et éjr dijjees Vous le savez très-bien si vous la connaissez.
ALISIE.	ÀLISIE.
Quoy donc i’en ſuis la ſource?	Quoi donc j'en suis la source?
oſez-vous bien le dire.	osez-vous bien le dire.
KISTINE.	§ISTINE.
Vous l’eſtes de l’amour qui cauſe mon martire.	Vous l'êtes de l'amour qui cause mon martyre.
ALISTE.	ÀLISTE.
Ce martire eſt ſi doux, qu’il ſe fait deſirer.	Ce martyre est si doux, qu'il se fait désirer.
Non non ce n’eſt pas luy qui vous fait ſouſpirez.	Non non ce n'est pas lui qui vous fait soupirés.
ANTSTINE.	ANTSTINE.
Ce martire eſt cruel, lors qu’il eſt inutile Et qu’il n’a pour objet qu’un cruel Theophile.	Ce martyre est cruel, lors qu'il est inutile Et qu'il n'a pour objet qu'un cruel Théophile.
ALISTE.	ÀLISTE.
Theophile cruel?	Théophile cruel?
Chriſtine, hé reuez-vous?	Christine, hé rêvez-vous?
Fut-il iamais Amant plus aimable & plus doux?	Fut-il jamais Amant plus aimable et plus doux?
HRISTINE.	HRISTINE.
Si c’eſtoit vn Amant moins doux & moins aimable, Il ſeroit moins cruel & moins impitoyable.	Si c'était un Amant moins doux et moins aimable, Il serait moins cruel et moins impitoyable.
On l’en aimeroit moins, s’il auoit moins d’apas;	On l'en aimerait moins, s'il avait moins d'appas;
Sans ſa molle douceur il ne changeroit pas.	Sans sa molle douceur il ne changerait pas.
Il ſeroit mon Amant, ie ſerois ſon Amante;	Il serait mon Amant, ie serais son Amante;
Il ſeroit plus conſtant, ie ſerois plus contente.	Il serait plus constant, ie serais plus contente.
Il ne trahiroit pas celle qu’il feint d’aimer, Il ne ſe lairoit pas ſi promptement charmer, Ie ne le verrois pas pour vne autre Maiſireſſe Rompre les beaux liens dont mon amour le preſſe.	Il ne trahirait pas celle qu'il feint d'aimer, Il ne se lairoit pas si promptement charmer, Je ne le verrais pas pour une autre Maisiresse Rompre les beaux liens dont mon amour le presse.
CALIS	CALIS
CALISTE.	CALISTE.
Mais connoiſſeZ-vous bien la fatale beauté Qui vous ranit voſtre heur anec ja liberte?	Mais connaissez-vous bien la fatale beauté Qui vous ranit votre heur anec ja liberté?
CHRISTINE.	CHRISTINE.
Ha!	Ha!
Caliſte, ha!	Caliste, ha!
ma ſœur, c’eſt cette connoiſſance Qui croit également ma peine & ma creance.	ma sœur, c'est cette connaissance Qui croit également ma peine et ma créance.
Ses attraits nompareils, ſes charmes tout-puiſſans M'empeſchent de douter du malheur que ie ſens, Et dans le meſme inſiant qu’ils irritent ma peine, Ils eſtouffent dans moy les mouuemens de haine.	Ses attraits nompareils, ses charmes tout-puissants M'empêchent de douter du malheur que ie sens, Et dans le même insiant qu'ils irritent ma peine, Ils étouffent dans moi les mouvements de haine.
L'ay deteſié ce coup dez lors que ie l’ay ſceu, Et i’aime encor le bras de qui ie l’ay receu, Enfin la paſſion dont ie ſuis tranſportée Condamne Tneophile, excuſe Dorothée.	L'ai détesié ce coup de lors que sans l'ai su, Et j'aime encor le bras de qui esprit l'ai reçu, Enfin la passion dont tu suis transportée Condamne Tinophile, excuse Dorothée.
CALISTE.	CALISTE.
Dorothée?	Dorothée?
Ha!	Ha!
ma ſœur, la ſotte paſſion!	ma sœur, la sotte passion!
Que vous trauailleZ bien à voſtre affliction!	Que vous travaillez bien à votre affliction!
Il eſt vray, cette fille a des traits bien aimables, Ses apas ſont charmans, ils ſont incomparables;	Il est vrai, cette fille a des traits bien aimables, Ses appas sont charmants, ils sont incomparables;
dy daa guute jabout dle cos upue citters, Elle peut triompher de tout cet vniuers:	dy da gute jabout dle cos upue citters, Elle peut triompher de tout cet univers:
Mais ne ſeauez-vous pas, qu’vn Eſpoux inuiſible Pour tout cet vniuers l’a renduë inſenſible?	Mais ne seavez-vous pas, qu'un Époux invisible Pour tout cet univers l'a rendue insensible?
CHRISTINE.	CHRISTINE.
Que l’amour, tout enfant comme on nous le dépeint, Se ſouſmet puiſſamment tous les cœurs qu’il arteint, Et lors que de quelqu’vn il ſe veut faire craindre!	Que l'amour, tout enfant comme on nous le dépeint, Se met puissamment tous les cœurs qu'il arteint, Et lors que de quelqu'un il se veut faire craindre!
Tout aueugle qu’il eſt, qu’il le ſçait bien atteindre!	Tout aveugle qu'il est, qu'il le sait bien atteindre!
Mais quoy que pour ce traiſtre elle n'euſt point d’amour, Ce traiſtre en a pour elle, & l’accroiſt chaque iour.	Mais quoi que pour ce traître elle n'eût point d'amour, Ce traître en a pour elle, et l'accroît chaque jour.
Depuis aſſez long temps que ie connois qu’il l’aime, I'ay	Depuis assez long temps que ie connois qu'il l'aime, J'ai
I’ay fait tous mes efforts pour me trõper moy meſme, I’ay cent fois dementi le rapport de mes yeux, Ie n’ay rien oublié pour m’en aſſeurer mieux;	J'ai fait tous mes efforts pour me tréper moi -même, J'ai cent fois démenti le rapport de mes yeux, Je n'ai rien oublié pour m'en assurer mieux;
Enfin i’en ay tiré de telles aſſeurances.	Enfin j'en ai tiré de telles assurances.
Qu'elles ont ruïné toutes mes eſperances;	Qu'elles ont ruiné toutes mes espérances;
Et i'en dois moins douter apres ce que i’ay veu, Que ſi cet inconſtant m’en auoit fait l’aueu.	Et j'en dois moins douter après ce que j'ai vu, Que si cet inconstant m'en avait fait l'aveu.
Celuy qu’il m’enuoyoit lors qu’il m'eſtoit fidelle.	Celu qu’il m'envoyait lors qu'il m'était fidèle.
Ne manque pas vn iour de s’en aller chez elle.	Ne manque pas un jour de s'en aller chez elle.
Ie l’ay veu pluſieurs foit luy parler à l’eſcart, Luy porter tres-ſouuent des ſaluts de ſa part, Luy rendre ſes poulets, qu’elle lit, qu’elle baiſe, Qui ſeruont d’alimens à leur ſecraitte braiſe, Et qui font bien connoiſtre au moins ſpirituel, Que leur amour eſt grand & qu’il eſt mutuel.	Je l'ai vu plusieurs soit lui parler à l'écart, Lui porter très-souuent des saluts de sa part, Lui rendre ses poulets, qu'elle lit, qu'elle baise, Qui servont d'aliments à leur secraite braise, Et qui font bien connaître au moins spirituel, Que leur amour est grand et qu'il est mutuel.
Mais depuis vn moment auant voſtre venuë Leur pratique d’amour m'eſt encor mieux connné, Dorothée a conduit auec empreſſement Ce ſeruiteur chez elle, & fait ce compliment.	Mais depuis un moment avant votre venue Leur pratique d'amour m'est encor mieux connné, Dorothée a conduit avec empressement Ce serviteur chez elle, et fait ce compliment.
Allons, entrons chez moy, fidelle Athemodore.	Allons, entrons chez moi, fidèle Athémodore.
pren uigne jerniteur ue t'Amant que t'adore.	pren gne jerniteur ue t'Amant que t'adore.
CALISTE.	CALISTE.
Dieux!	Dieux!
que me dites-vous?	que me dites-vous?
ſi vous l’anez oüy, Toeophile eſt coupable & doit eſtre haï.	si vous l'anez oui, Toéophile est coupable et doit être haï.
IRISTINE.	JRISTINE.
Ce n’eſt pas tout, ma ſœur, eſcoutez la replique Du digne entremetteur de leur lache pratique.	Ce n'est pas tout, ma sœur, écoutez la réplique Du digne entremetteur de leur lache pratique.
Madame, ie vous ſuis auec rauiſſement Comme m’a commandé voſtre adorable Amant, Que peut on ajouſter à ces belles paroles?	Madame, Seigneur vous suis toujours ravissement Comme m'a commandé votre adorable Amant, Que peut on ajouter à ces belles paroles?
CALISTE.	CALISTE.
Des effets genereux qui les rendent friuoles.	Des effets généreux qui les rendent frivoles.
Ceſt	Cest
C’eſt aſſez, c’eſt aſſez, ſongeons à nous vanger.	C'est assez, c'est assez, songeons à nous venger.
HRISTINE.	HRISTINE.
SongeZ pluſtoſt, Caliſte, à ne pas m’affliger Tout deſſein violent me paroiſt temeraire.	Songez plutôt, Caliste, à ne pas m'affliger Tout dessein violent me paraît téméraire.
Et t'aime beaucoup mieux & ſouffrir & me taire.	Et t'aime beaucoup mieux et souffrir et me taire.
CALISTE.	CALISTE.
Vous taire ?	Vous taire ?
ô laſcheté!	ô lâcheté!
i’en paleray ſi haut, Qu'ils ſeront abatus de ce premier aſſaut.	j'en paleray si haut, Qu'ils seront abattus de ce premier assaut.
de vena quvctjuree e que s Caphaoce Aprenne à leur malheur de quel fiel ie ſuis groſſe.	de vena quvctjuree e que t Caphaoce Apprenne à leur malheur de quel fiel ie suis grosse.
CHRISTINE.	CHRISTINE.
Helas!	Hélas!
ma ſœur.	ma sœur.
CALISTE.	CALISTE.
C’eſt trop me choquer ſur ce point, quemey uu ſuneunnt vons eſconte point.	C'est trop me choquer sur ce point, quemey u suneunt vons éconte point.
CHRISTINE.	CHRISTINE.
Mais c’eſt mon intereſt.	Mais c'est mon intérêt.
CALISTE.	CALISTE.
Mais ie n’en ay point d’autre, Et i’eſtendray leur feu pour conſeruer le voſtre Allez, retirez vous, voicy le Gouuerneur.	Mais était n'en ai point d'autre, Et j'étendrai leur feu pour conserver le vôtre Allez, retirez vous, voici le Gouverneur.
SHRISTINE.	SHRISTINE.
Fille deſeſperée, eſpargne mon bonheur.	Fille désespérée, épargne mon bonheur.
SCENE III.	SCÈNE III.
CAEASIE AIRICE.	CAEASIE AIRICE.
CALISTE.	CALISTE.
J Oicy de vous venger l’heure tres-opportune.	 Jici de vous venger l'heure très-opportune.
APRICE.	APPRICE.
He!	He!
Madamé, excuſez ſi ie vous importune.	Madamé, excusez si ici vous importune.
Vous ſçauez qu’en venant dans ces aimables lieux, Ie ſuy les mouuemẽs d’vn Dieu qui n’a point dyeux.	Vous savez qu'en venant dans ces aimables lieux, Je suis les mouvements d'un Dieu qui n'a point dieux.
CDEISIE.	CDEISIE.
Quelque aueugle que ſoit le Dieu qui vous y meine, Il le fait à propos, c’eſt pour m'oſter de peine.	Quelque aveugle que soit le Dieu qui vous y mène, Il le fait à propos, c'est pour m'ôter de peine.
APRICE.	APPRICE.
S’il me fait vous donner quelque contentement, Ie benis ſa conduite & ſon aueuglement.	S'il me fait vous donner quelque contentement, Je bénis sa conduite et son aveuglement.
Commandez, rurcoujetequoy que vejetut extréme, Qui ſort de vos beaux yeux, m’ait aueuglé moy méme, Tout ce pourquoy ce Dien m’a pû conduire icy, Il me le peut bien faire executer auſſi.	Commandez, rurcoujetequoy quoique vejetut extrême, Qui sort de vos beaux yeux, m'ait aveuglé moi -même, Tout ce pourquoi ce Dien m'a pu conduire ici, Il me le peut bien faire exécuter aussi.
CALISTE.	CALISTE.
Il ne vous y conduit, incomparable Aprice, Que pour vous demander par ma bouche Iuſtice.	Il ne vous y conduit, incomparable Apprice, Que pour vous demander par ma bouche Justice.
Lors que dedans nos cœurs, il ſonge à triompher, C’eſt là qu’iniuſtement l’on ſonge à l’eſtouffer.	Lors que dedans nos cœurs, il songe à triompher, C'est là qu'injustement l'on songe à l'étouffer.
APRICE.	APPRICE.
O Dieu!	Ô Dieu!
declarez moy l'Autheur d'vn ſi grand crime.	déclarez -moi l'Auteur d'un si grand crime.
Pour luy la cruauté doit eſtre legitime, Et ce ſeroit trahir la querelle des Di eux, De ne veger cetuy qui s’en rend maiſtre aux cieux.	Pour ici la cruauté doit être légitime, Et ce serait trahir la querelle des Di eux, De ne veuger celui qui s'en rend maître aux cieux.
CALISTE.	CALISTE.
Vous ſçauez deſia bien, ſans que ie vous le die, Comme quoy i’ay paſſé la plus part de ma vie;	Vous savez déjà bien, sans que je vous le die, Comme quoi j'ai passé la plus part de ma vie;
Comme i’eſtois Chreſtienne auant cet heureux iour, Auquel ie reconnus les Dieux & voſtre amour;	Comme j'étais Chrétienne avant cet heureux jour, Auquel ie reconnus les Dieux et votre amour;
Et comme dans l’erreur dont i’eſtois aueuglée I'auois la volonté tellement deſreglée, Qu'on ne m’euſt iamais vû libre de cette loy, Si vous n'euſſiez iamais ietté les yeux ſur moy.	Et comme dans l'erreur dont j'étais aveuglée J'avais la volonté tellement déréglée, Qu'on ne m'eût jamais vu libre de cette loi, Si vous n'eussiez jamais jeté les yeux sur moi.
En ce temps malheureux i’aimois vne Chreſiienne, Dont l’agreable humeur reuenoit à la mienne.	En ce temps malheureux j'aimais une Chésiienne, Dont l'agréable humeur revenait à la mienne.
Mes deſirs & les ſiens eſtoient touſiours égaux, Nous partagions enſemble & nos biens & nos maux.	Mes désirs et les siens étaient toujours égaux, Nous partagions ensemble et nos biens et nos maux.
Encore que ma ſœur ne fuſt pas de noſtre âge, Elle entroit toutesfois dans le meſme partage;	Encore que ma sœur ne fût pas de notre âge, Elle entroit toutefois dans le même partage;
Et l’amour ne ſembloit l’y faire interuenir, Qu’afin de nous pouuoir plus fortement vnir.	Et l'amour ne semblait l'y faire intervenir, Qu'afin de nous pouvoir plus fortement unir.
Nous veſcumes ainſi durant pluſieurs années Ennemies des Dieux comme nous l’eſtions nées La haine neantmoins de ces diuinitez Ne peut pas diuertir l’effet de leurs bontez.	Nous vécûmes ainsi durant plusieurs années Ennemies des Dieux comme nous l'étions nées La haine néanmoins de ces divinités Ne peut pas divertir l'effet de leurs bontés.
Aux iours ſacrez à Mars au milieu d’vn ſpectacle Elles firent par vous & pour nous vn miracle.	Aux jours sacrés à Mars au milieu d'Hô spectacle Elles firent par vous et pour nous un miracle.
Vn ſeul de vos regards eſt alors ſi puiſſant, Qu'il vous bleſſe du coup dont il me va bleſſant, Et que par vn ſecret qui tient du vray prodige, Cette bleſſure plaiſt bien plus qu’elle n’afflige;	Un seul de vos regards est alors si puissant, Qu'il vous blesse du coup dont il me va blessant, Et que par un secret qui tient du vrai prodige, Cette blessure plaît bien plus qu'elle n'afflige;
Ou pour vous en parler encor plus proprement, Nons fait mourir & viure en vn meſme moment Par l’effet merueilleux d’vne meſme auenture, Theophile & ma ſœur ont auſſi leur bleſſure;	Ou pour vous en parler encor plus proprement, Nons fait mourir et vivre en un même moment Par l'effet merveilleux d'une même aventure, Théophile et ma sœur ont aussi leur blessure;
Et tout aueugle qu’eſt ce ſouuerain des Dieux, En nous perçant le cœur, il nous ouure les yeux, Nous fait deſauoüer par ſa toute puiſſance Ieſus-Chriſt ce beau Die.	Et tout aveugle qu'est ce souverain des Dieux, En nous perçant le cœur, il nous ouvre les yeux, Nous fait desauoüer par sa toute puissance Jésus-Christ ce beau Die.
de corde & de potence, Et nous fait embraſſer, au lieu des vains autels De ce luif mort en Croix, ceux des Dieux immortels.	de corde et de potence, Et nous fait embrasser, au lieu des vains autels De ce luif mort en Croix, ceux des Dieux immortels.
Noſtre Amie n’a pas vn ſort ſi deſirable, Son obſtination rend ſon mal incurable;	Notre Amie n'a pas un sort si désirable, Son obstination rend son mal incurable;
Et ialouſe qu’elle eſt de noſtre propre bien, Pour nous en infecter elle n’oublie rien.	Et jalouse qu'elle est de notre propre bien, Pour nous en infecter elle n'oublie rien.
Sur ce beau changement ſans ceſſe elle me blaſme, Condamne impudemment noſtre amoureuſe flame, Vous traite de trompeur, & vos affections De crimes deſguiſez, d’iniuſtes paſſions.	Sur ce beau changement sans cesse elle me blâme, Condamne impudemment notre amoureuse flamme, Vous traite de trompeur, et vos affections De crimes déguisez, d'injustes passions.
En vn mot il n’eſt pas iuſqu’aux choſes plus ſaintes, Qui puiſſent éuiter ſes mordantes atteintes.	En un mot il n'est pas jusqu'aux choses plus saintes, Qui puissent éviter ses mordantes atteintes.
Iugez s’il m’a falu iuſqu’à preſent ſouffrir.	Jugez s'il m'a fallu jusqu'à présent souffrir.
I'ay touſiours balancé pour vons le découurir, D’vn coſté mon amour me pouſſant à le faire, De l’autre l’amitié m’obligeant à me taire.	J'ai toujours balancé pour vons le découvrir, D'un côté mon amour me poussant à le faire, De l'autre l'amitié m'obligeant à me taire.
Mais enfin cet amour plus fort que l’amitié, Eſtouffe dans mon ame & douceur & pitié, Et vient encore vn coup vons demander Iuſtice, Par ſa conuerſion ou bien par ſon ſupplice.	Mais enfin cet amour plus fort que l'amitié, Étouffe dans mon âme et douceur et pitié, Et vient encore un coup vons demander Justice, Par sa conversion ou bien par son supplice.
APRICE.	APPRICE.
Madame, oüy ſon ſupplice ou ſa conuerſion Scélera noſtre amour ou noſtre auerſion.	Madame, oui son supplice ou sa conversion Scélera notre amour ou notre aversion.
Pour vne occaſion & ſi iuſte & ſi forte Ma baine deffendra l’amour que ie vous porte.	Pour une occasion et si juste et si forte Ma baine défendra l'amour que ie vous porte.
Ce monſtre, qui dément voſtre ſexe ſi doux, Ployra pour cet amour ou bien par mon courroux.	Ce montre, qui dément votre sexe si doux, Ployera pour cet amour ou bien par mon courroux.
CALIS	CALIS
CALISTE.	CALISTE.
C’eſt vn monſtre, il eſt vray, puis que ſous vn viſage Sur lequel la beauté regne auec auantage, Elle cache vn eſprit dont la difformité Ne ſe peut égaler qu’auec cette beauté.	C'est un monstre, il est vrai, puis que sous un visage Sur lequel la beauté règne avec avantage, Elle cache un esprit dont la difformité Ne se peut égaler qu'avec cette beauté.
Mais penſant la ployer à noſtre amour extréme, Prenez garde qu'au ſien vous ne ployez vous meſme, A qu'au iien d'exercer voſtre iuſte rigneur, Uous n’eſprouuiez la ſienne & n’en perdieZ le cœur.	Mais pensant la ployer à notre amour extrême, Prenez garde qu'au sien vous ne ployez vous rendre, A qu'au jien d'exercer votre juste rigneur, Uous n'éprouviez la sienne et n'en perdiez le cœur.
APRICE.	APPRICE.
Miracle incomparable, adorable Caliſte, C’eſt en vous ſeulement que mon bonheur conſiſte, Mon cœur n’eſt plus à moy, c’eſt vous qui le gardeZ;	Miracle incomparable, adorable Caliste, C'est en vous seulement que mon bonheur consiste, Mon cœur n'est plus à moi, c'est vous qui le gardez;
Je ne perdray iamais ce que vous poſſedez.	Je ne perdrai jamais ce que vous possédez.
Ce monſtre eſt touſiours monſtre, ô beauté nompareille, Il ne peut l’emporter deſſus vne merueille.	Ce montre est toujours montre, ô beauté nompareille, Il ne peut l'emporter dessus une merveille.
Outre que ſon forfait, nos Dieux & l'emgpereur Me rendent ſeulement capable de fureur.	Outre que son forfait, nos Dieux et l'emgereur Me rendent seulement capable de fureur.
Dites donc hardiment ſon nom & ſa demeure, Il faut abſolument ou qu’il change ou qu’il meure.	Dites donc hardiment son nom et sa demeure, Il faut absolument ou qu'il change ou qu'il meure.
CALISTE.	CALISTE.
Grands Dieux, que doy-ie faire en ces extremitez!	Grands Dieux, que dois-je faire en ces extrémités!
Perdray-ie cette amie, helas!	Perdrai-je cette amie, hélas!
