A MONSEIGNEVR MONSEIG.	À MONSEIGNEUR MONSEIG.
C’eſt aſſez que ie die, que ce grand hõme que ie vo' offre auiourd’huy n’eſt pas plus digne d’eſtre protegé –-- 17 par ve es digne de le protege, que ie reconnoiſſe Fobligation que ie vous ay par vne proteſtation eternelle d’eſtre,	C'est assez que ie Dieu, que ce grand homme que je vo' offre aujourd'hui n'est pas plus digne d'être protegé Ué - 17 par ve ès digne de le prote, que je reconnaisse Fobligation que je vous ai par une protestation éternelle d'être,
MONSEIGNEVR,	MONSEIGNEUR,
Voſtre tres-humble, tres-obeiſſant &ltres obligé Seruiteur,	Votre très-humble, très-obéissant etltres obligé Serviteur,
I.	I.
VILLEMOT.	VILEMOT.
E n’empeſche pour le Roy, que Tle preſent liure intitulé la Conuerſion de S.	ELLE n'empêche pour le Roi, que Tle présent livre intitulé la Conversion de S.
Paul Tragi-Comedie, ne ſoit mis en lumiere par GLAVDE LA RIVIE RE Marchand Libraire;	Paul Tragi-Comédie, ne soit mis en lumière par GLAUDE LA RIVIE RE Marchand Libraire;
Auecy les deffenſes en tel cas requiſes.	Aveci les défenses en tel cas requises.
Fait ce vingt-neufiéme Iuin mil ſix cens oinquante-cin 192 .	Fait ce vingt-neuvième Juin mil six cents oinquante-cin 192 .
2AIOMAM	2AIOMAM
DV SAVZEY.	DU SAUZEY.
SILAS:	SILAS:
VLE.	VLE.
Capitaines.	Capitaines.
MARSIAS.	MARSIAS.
ANANIE Preſtré Chreſtien.	ANANIE Prestré Chrétien.
BARNABE' Chreſtien.	BARNABE' Chrétien.
2.	2.
SOLDATS.	SOLDATS.
2.	2.
PAGES.	PAGES.
LA CONVERSION DE S.	LA CONVERSION DE S.
PAVL.	PAUL.
TRAGI-COMEDIE.	TRAGI-COMÉDIE.
ACIE IXEMIER,	ACIE IXEMIÈR,
SCENE PREMIERE.	SCÈNE PREMIÈRE.
LA I STICE DIVINE	LA I STICE DIVINE
DANS VN CIEL.	DANS VN CIEL.
L'eſt temps, il eſt temps que ma Iuſtice éclatte, Preuenant le delay dont ce pecheur ſe flatte;	L'est temps, il est temps que ma Justice éclatte, Prévenant le délai dont ce pécheur se flatte;
Il eſt temps que mon bras faſſe ſentir les coups Que reſerue à ſes faits mon tres-iuſte courroux, Sont de nouueaux degrez où va ſon inſolences Vn mal apres vn autre estant ſans châtiment Authorize vn pecheur en ſon aueuglement,	Il est temps que mon bras fasse sentir les coups Que réserve à ses faits mon très-iuste courroux, Sont de nouveaux degré où va son insolences Un mal après un autre étant sans châtiment Autorise un pécheur en son aveuglement,
qnẽ apx polupiez vne foïs adonnée, L.	Un entends polupiés une foïs adonnée, L.
Plus on a de bonté, plus elle eſt obſtinée.	Plus on a de bonté, plus elle est obstinée.
Ce Lyon rugiſſant dont là fiere rigueur De tant de ſang versé ne peut ſaouller ſon cœur, Ne conſidere point la grandeur de ſes crimes:	Ce Lyon rugissant dont là fière rigueur De tant de sang versé ne peut saouller son cœur, Ne considère point la grandeur de ses crimes:
Il les void impunis, il les croit legitimes:	Il les voit impunis, il les croit légitimes:
Aueugle en ſon malheur il court dans les plaiſirs, Et ſans autre ſucceZ ne ſuit que ſes deſirs C’eſt en vain que l’amour fondé ſur l’eſperance Croit par vn repentir le voir en aſſeurance:	Aveugle en son malheur il court dans les plaisirs, Et sans autre succès ne suit que ses désirs C'est en vain que l'amour fondé sur l'espérance Croit par un repentir le voir en assurance:
Son mal de iour en iour deuient plus violent, Sa malice s’accroiſt, & le rend inſolent, Ainſi ce cœur aueugle au crime s’abandonne, Et croid qu’on l'authorize, alors qu’on le pardonne.	Son mal de jour en jour devient plus violent, Sa malice s'accroît, et le rend insolent, Ainsi ce cœur aveugle au crime s'abandonne, Et croid qu'on l'autorise, alors qu'on le pardonne.
.	.
.	.
.	.
.	.
.	.
.	.
.	.
.	.
.	.
Eſtrange aueuglement de ce perſecuteur!	Étrange aveuglement de ce persécuteur!
S’il ſe perd, le pardon en ſera-t’il l’autheur?	S'il se perd, le pardon en sera-t-il l'auteur?
Non, il éprouuera par vn iuste ſupplicé Apres tant de dolais, ce que peut ma iustice, Et mon brai retenu, doit punir ſes forfaits Puiſque tant de bontez ſont toutes ſans effets C'eſt trop, c’eſt trop ſouffrir, les erreurs, deſon ame, Ne s’expieront iamais qu’au milieu de la flamme, Ses crimes ont atteint le comble de l’horreur, Qu’il n’eſpere plus rien de ma iuſte rigueur.	Non, il éprouvera par un juste supplicé Après tant de dolais, ce que peut ma justice, Et mon brai retenu, doit punir ses forfaits Puisque tant de bontés sont toutes sans effets C'est trop, c'est trop souffrir, les erreurs, déson âme, Ne s'expieront jamais qu'au milieu de la flamme, Ses crimes ont atteint le comble de l'horreur, Qu'il n'espère plus rien de ma juste rigueur.
SCENE	SCÈNE
CENNE II.	CENNE II.
L'ANGE TVTELAIRE, ET LA IVSTICE.	L'ANGE TVTELAIRE, ET LA USTICE.
ANGE.	ANGE.
H!	H!
pardon ie vous prie, écoutez moy, de IY grace.	pardon ici vous prie, écoutez -moi, de JY grâce.
A STICE.	À STICE.
Quy, pur tant ue puruons reuonoler ſon andace, C’en eſt fait.	Qui, pur tant ue ouvruons révonoler son andace, C'en est fait.
L’ANGE.	L'ANGE.
Suſpendez voſtre iuſte courroux, I’implore vos bontez, i’embraſſe vos genoux, Pardon encor pardon, vn peu de patience Dont foumettre et camn vostre obeïſſance.	Suspendez votre juste courroux, J'implore vos bontés, j'embrasse vos genoux, Pardon encor pardon, un peu de patience Dont soumettre et camnés votre obéissance.
TICE.	TICE.
Qui pourroit vaincre vn cœur de marpre & de rocher.	Qui pourrait vaincre un cœur de marpre et de rocher.
L’ANGE.	L'ANGE.
La Grace qui peut tont,	La Grâce qui peut tont,
LA STICE.	LA STICE.
Rien ne le peut toucher La Grace quoy que forte en cette ame perduë, Fut vaine autant de fois qu’elle y fut reſpanduë, C’eſt irriter vn mal que pardonner touſiours, Qu'on ne m'en parle plus, la Grace a fait ſon cours, Sen orime eſt trop connu, l’exemple le doit eſtre	Rien ne le peut toucher La Grâce quoi que forte en cette âme perdue, Fut vaine autant de fois qu'elle y fut répandue, C'est irriter un mal que pardonner toujours, Qu'on ne m'en parle plus, la Grâce a fait son cours, Sen orime est trop connue, l'exemple le doit être
L’ANGE.	L'ANGE.
DiffereZquelques temps, il peut ſe reconnoiſtre.	Différezquelques temps, il peut se reconnaître.
A STICE.	À STICE.
Il ſeruira d’exemple au reſte des mortels, Si ie le ſacrifie au pied de mes Autels.	Il servira d'exemple au reste des mortels, Si tu le sacrifie au pied de mes Autels.
ANGE.	ANGE.
Luiffez viure plutoſt cette indigne victime, Et ſignez d’vn ſeul mot le pardon de ſon crime.	Luiffez vivre plutôt cette indigne victime, Et signez d'un seul mot le pardon de son crime.
A 1 STICE.	À 1 STICE.
Ainſi ce criminel pour auoir tout oſé, Verroit le ſang Chreſtien à ſa rage expoſé, La Iuſtice en ce cas ne ſeroit plus lustice, De ſouffrir la vertu ſuccomber ſous le vice, Elle tient la balance & le poids en ſes mains, Pour peſer iustement les actes des humains, Aux actes genereux elle doit recompenſe, Et la peine aux forfaits ſans aueune diſpenſe, Ainſi Saul abuſé d’vn eſpoir deceuant Qui hait tous les Chrestiens, qui les va pourJuinnii 3 Doit trouuer ſon malheur dans l’objet de ſa haine, Et les Chreſtiẽs vainqueurs ioüiront de ſa peine.	Ainsi ce criminel pour avoir tout osé, Verrait le sang Chrétien à sa rage exposé, La Justice en ce cas ne serait plus lustice, De souffrir la vertu succomber sous le vice, Elle tient la balance et le poids en ses mains, Pour peser justement les actes des humains, Aux actes généreux elle doit récompense, Et la peine aux forfaits sans aveune dispense, Ainsi Saul abusé d'avoir de recevant Qui hait tous les Chrétiens, qui les va pourJuinnii 3 Doit trouver son malheur dans l'objet de sa haine, Et les Chrestiẽs j' ioüiront à sa peine.
L’ANGE.	L'ANGE.
Estienne a donc en vain, fait tant de vœux pour luy, Puiſque vous prononcez ſon Arreſt aniourd'huy,	Étienne a donc en vain, fait tant de vœux pour lui, Puisque vous prononcez son Arrêt anjourd'hui,
A VSTTCE.	À VSTCE.
Son ſang dont ſa fureur s’eſt fait vn ſacrifice, D’vn langage muet me demande iuſtice, Sa perte ineuitable & ſon eſpoir détruit, Seront de ſes deſſeins le deplorable fruit.	Son sang dont sa fureur s'est fait un sacrifice, D'un langage muet me demande justice, Sa perte inévitable et son espoir détruit, Seront de ses desseins le déplorable fruit.
L’ANGE.	L'ANGE.
L’ANGE.	L'ANGE.
Ne precipitez rien, ſoyez plus pitoyat.	Ne précipitez rien, soyez plus pitoyat.
Rendez vous à ſes vœux, comme aux motexoruble, ConſidereZ enfin, mais d’vn œil maternel, Qu'vn tel coup eſt ſuiuy d’vn malheur eternel.	Rendez -vous à ses vœux, comme aux modètexoruble, ConsidereZ enfin, mais d'un œil maternel, Qu'un tel coup est suivi d'un malheur éternel.
4T AVOIICS Ie dois pour le punir cette peine à ſon crime.	4T AVOIICS Je dois pour le punir cette peine à son crime.
L’ANGE.	L'ANGE.
Ce crime qu’il commet il le croit legitime, Pour deffendre ſa loy tout luy ſemblant permis, Il pourſuit les Chreſtiens comme ſes ennemis, Et voyant que la leur à la ſienne s’oppoſe, Son Zele pour les perdre entreprend toute choſe.	Ce crime qu'il commet il le croit légitime, Pour défendre sa loi toutjours semblant permis, Il poursuit les Chrétiens comme ses ennemis, Et voyant que la leur la sienne s'oppose, Son Zèle pour les perdre entreprend toute chose.
LATVSIIOL.	LATUSIIOL.
Mais la droitte raiſon dont-il eſt éclairé, Ne luy fait que trop voir qu’il s’eſtoit égaré.	Mais la droitte raison dont-il est éclairé, Ne lui fait que trop voir qu'il s'était égaré.
L’ANGE.	L'ANGE.
La raiſon le conduit, c’eſt elle qui l’emporte, Aereit eſiicobige denaxa de la jalta Pourtant ſon crime eſt grand.	La raison le conduit, c'est elle qui l'emporte, Aèreit esiicobige denaxa de la jalta Pourtant son crime est grand.
STICE.	STICE.
Peut on le Jurpaſſer?	Peut on le Jurpasser?
ZANG.	ZANG.
E.	E.
Eſt-il crime aſſez noir qu'on ne puiſſe effacer, Vn foible repentir, la moindre de ſes larmes, Auroit bien le pouuoir de vous oster les armes, Triomphez de vous meſme en arrestant vos coups, Et ne permettes pas qu’il triomphe de vous, Si tous les criminels eſtoient punis du foudre, Tout le vaſte Pniuers ſeroit bien-toſt en pondre.	Est-il crime assez noir qu'on ne puisse effacer, Un faible repentir, la moindre de ses larmes, Aurait bien le pouvoir de vous ôter les armes, Triomphez de vous même en arrêtant vos coups, Et ne permettes pas qu'il triomphe de vous, Si tous les criminels étaient punis du foudre, Tout le vaste Pnivers serait bientôt en pondre.
A IVSTICE.	À IUSTICE.
Dant n'a que des tranſports d'vn eſprit aueuglé,	Dant n'a que des transports d'vn esprit aveuglé,
L'ANGE.	L'ANGE.
Mais ſon zele eſt feruent quoy qu’il ſoit dereglé.	Mais son zèle est fervent quoi qu'il soit dereglé.
LA IVSTICE.	LA IVSTICE.
Ce zele eſt criminel, ce zele eſt homicide.	Ce zèle est criminel, ce zèle est homicide.
L''AN GIE.	L''AN GYE.
Tempioiray tous mes ſoins, pour changer ce perfide,	Tempioirai tous mes soins, pour changer ce perfide,
LA IVST CIE.	LA IVST CIE.
C'eſt en vain, & malgré tant d’inſpirations, Ne ſuit-il pas touſiours ſes folles paſſions?	C'est en vain, et malgré tant d'inspirations, Ne suit-il pas toujours ses folles passions?
Il ne ſçait ce qu’il fait.	Il ne sait ce qu'il fait.
GE.	GE.
LA IVSTICE.	LA IVSTICE.
Sa lumiere eſt trop haute, Pour ne connoiſtre pas iuſques où va ſa faute.	Sa lumière est trop haute, Pour ne connaître pas jusques où va sa faute.
A 1G E.	À 1G E.
Vn eſprit aueuglé comme auroit-il des yeux.	Un esprit aveuglé comme aurait-il des yeux.
I ICE.	I ICE.
Il en à pour la Terre & non pas pour les Cieux.	Il en a pour la Terre et non pas pour les Cieux.
L’ANGE.	L'ANGE.
Souffrez doncques ſouffrez que ſon amc obſcurcie Par vn rayon de foy ſoit enfin éclaircie, Qu’il connoiſſe l’erreur dont on veut l’affrãchir, Et que par ſes remords il vous puiſſe flechir, Que ie ne perde pas le fruit de tant de peines.	Souffrez donc souffrez que son amc obscurcie Par un rayon de foi soit enfin éclaircie, Qu'il connaisse l'erreur dont on veut l'affrãchir, Et que par ses remords il vous puisse fléchir, Que ie ne perde pas le fruit de tant de peines.
A STICE.	À STICE.
C’eſt conceuoir en vain des eſperances vaines.	C'est concevoir en vain des espérances vaines.
L’ANGE.	L'ANGE.
Conſiderez vn peu le prix qu’il a coûté, E la grandeur du ſang dont-il eſt rachepté, Ce que l’amour a fait dans le Si.	Considérez un peu le prix qu'il a coûté, E la grandeur du sang dont-il est rachepté, Ce que l'amour a fait dans le Si.
ſommes Comme il a payé cher la malice des homm.	sommes Comme il a payé cher la malice des homm.
Au nombre des mortels n’estoit-il pas compz Lors que pour leur rachapt il vous offrit ce pria.	Au nombre des mortels n'était-il pas comps Lors que pour leur rachappt il vous offrit ce pria.
Il ne me reste rien, ſi cela ne vous touche, Ie demeure interdy, vous me fermez la bouche, Ie ceſſe en ſa faueur d’eſperer auiourd’huy, Mais i’implore à genoux quelque pitié pour luy.	Il ne me reste rien, si cela ne vous touche, Je demeure interdi, vous me fermez la bouche, Je cesse en sa faveur d'espérer aujourd'hui, Mais j'implore à genoux quelque pitié pour lui.
S TICE.	 SIÉE.
Que l'amour eſt puiſſant, tout luy paroiſt poſſible, A cet aymable nom mon cœur deuient ſenſible, Ie ne puis reſister, ma lustice ſe rend, Elle n’a point d’effort contre vn pouuoir ſi grãd;	Que l'amour est puissant, tout même paraît possible, À cet aimable nom mon cœur devient sensible, Je ne puis résister, ma lustice se rend, Elle n'a point d'effort contre un pouvoir si grãd;
C’eſt luy qui me cõtraint à vous rendre les armes;	C'est Seigneur qui me coûtraint à vous rendre les armes;
A l’amour ie l’octroye, & non pas à vos larmes, Qu’il vſe bien du temps, Ange m’entendez vous?	À l'amour Seigneur l'octroie, et non pas à vos larmes, Qu'il use bien du temps, Ange m'entendez vous?
Ie luy pardonne encor, ie ſuſpens mon courroux;	Je veux pardonne encor, ie suspens mon courroux;
Mais ſi cette bonté ne change ſa malice, Rien ne peut deſormais appaiſer ma lustice.	Mais si cette bonté ne change sa malice, Rien ne peut désormais apaiser ma lustice.
CENE III.	CÈNE III.
L’ANGE.	L'ANGE.
Auy dans mes tranſports ie ne me conR nois pa Lors que i’apprens ſa grace au lieu de ſon trepas, Quel heureux changement?	Aui dans mes transports ie ne me conR nois pa Lors que j'apprends sa grâce au lieu de son trépas, Quel heureux changement?
O bonté ſans pareille !	Ô bonté sans pareille !
mphe auiourd’huy ſuiura cette merneile!	méphe aujourd'hui suivra cette merneile!
Quel ſujet de plaiſir!	Quel sujet de plaisir!
mes vœux ſont exaucez Tu viens de vaincre, amour, mais ce n’eſt pas aſſez.	mes vœux sont exaucés Tu viens de vaincre, amour, mais ce n'est pas assez.
Si i’ay de ce coſté tout ce que ie demande, Auec iuſte ſujet de l’autre i’apprehende, Ie crains ſa liberté dont il ſe peut ſeruir, C’eſt vn don precieux qu’on ne peut luy rauir;	Si j'ai de ce côté tout ce que ie demande, Avec juste sujet de l'autre j'appréhende, Je crains sa liberté dont il se peut servir, C'est un don précieux qu'on ne peut ton ravir;
Et cette faculté n’eſt iamais plus à craindre, Qu’à connoiſtre le bién ſans y vouloir attaindre, Ie luy feray bien voir l’exez de ſa fureur, A qu’elle extremité le porte ſon erreur, Mais ſi la connoiſſant cet eſprit ne me cede, Son mal eſt dangereux, ſon mal eſt ſans remede.	Et cette faculté n'est jamais plus à craindre, Qu'à connaître le bién sans y vouloir attaindre, Je lui ferai bien voir l'exez de sa fureur, À qu'elle extrémité le porte son erreur, Mais si la connaissant cet esprit ne me cède, Son mal est dangereux, son mal est sans remède.
Suſcitons luy plûtoſt cheZ luy meſme vn combat, Ou l’on donne le prix à celuy qui s’abbat, Et faiſons que ſon cœur renonçant à la gloire, En obtienne le prix & gaigne la victoire;	Suscitons homme plutôt chez lui mesme un combat, Ou l'on donne le prix à celui qui s'abat, Et faisons que son cœur renonçant à la gloire, En obtienne le prix et gagne la victoire;
Le Ciel ſe ſert ſouuent de ſemblables moyens, Pour auoir quel que lieu de prodiguer ſes biens, Il attache la perte, ou le ſalut d’vne ame A quelque action digne ou de gloire, ou de blâme;	Le Ciel se sert souvent de semblables moyens, Pour avoir quel que lieu de prodiguer ses biens, Il attache la perte, ou le salut d'une âme A quelque action digne ou de gloire, ou de blâme;
Il eſt temps d’y penſer, nous n’auons plus qu’vn iour;	Il est temps d'y penser, nous n'avons plus qu'un jour;
Mais enfin, s’il s’oppoſe aux effets de l’amour, Pour tirer ſon eſprit d’vne telle impoſture, I'y feray tout feruir le Oier o tumute, Ie feray ſucceder à l’amour la rigueur, Et par mille remords i’ébranleray ſon cœur.	Mais enfin, s'il s'oppose aux effets de l'amour, Pour tirer son esprit d'une telle imposture, J'y ferai tout férir le Oier ô tumute, Je ferai succéder à l'amour la rigueur, Et par mille remords j'ébranlerai son cœur.
Si ce n’eſt pas aſſez, les éclairs & la foudre Par leur feux deuorãs reduiront tout en poudre;	Si ce n'est pas assez, les éclairs et la foudre Par leur feux dévorants recuiront tout en poudre;
Enfin, il faut qu’il meure, ou qu’il ve lieu, En ces extremitez il n’eſt point de milieu.	Enfin, il faut qu'il meure, ou qu'il v lieu, En ces extrémités il n'est point de milieu.
Que ſi ie recuilliois quelque fruict de ma peine?	Que si ici recuilliais quelque fruit de ma peine?
CENE IV.	CÈNE IV.
L’ANGE, BARNABE,	L'ANGE, BARNABÉ,
L’ANGE.	L'ANGE.
Anuor qu'a propos te Ciet ieytamene.	Anuor qu'a propos te Ciét ieytamene.
A RNABE Cette voix me ſurprend ie ne la connois pas.	À RNABE Cette voix me surprend ici ne la connais pas.
GE.	GE.
Raſſure tes eſprits, le Ciel guide tes pas, Celuy qui regit tout, qui marque tes vestiges, En faueur des Chreſtiens vent faire des prodiges.	Rassure tes esprits, le Ciel guide tes pas, Celui qui régit tout, qui marque tes vestiges, En faveur des Chrétiens vent faire des prodiges.
L Ou Juis-ie?	L Ou Juis-je?
ANNADE	ANNADE
1 NGE.	1 NGE.
Que crains-tu?	Que crains-tu?
BARNABE'.	BARNABE'.
Ie demeure ſurpris,	Je demeure surpris,
11 SL.	11 SL.
Ie te le dis encor, raſſeure tes eſprits, Cette voix vient du Ciel.	Je te le dis encor, rassure tes esprits, Cette voix vient du Ciel.
BARNABE’.	BARNABE'.
Ie dors,	Je dors,
A GE.	À GE.
Non non, tu veilles, ras bien-toſt l’effet de ces merueilles, Iu dois ſeruir toy meſme en cet euenement.	Non non, tu veilles, ras bientôt l'effet de ces merveilles, Ju dois servir toi -même en cet événement.
BARNABE'.	BARNABE'.
Ie ſuis pour ces effets, un trop foible inſtrument.	Je suis pour ces effets, un trop faible instrument.
ANGE.	ANGE.
Pour les plus grãds effets quãd le Ciel i’intereſſe, Lors la foibleſſe eſt force, & la force foibleſſe;	Pour les plus grands effets quand le Ciel j'intéresse, Lors la faiblesse est force, et la force faiblesse;
Enfin detrompe toy, connoy ce que ie ſuis, Uois ce que tu peux faire, & tout ce que ie puis Ioins tes efforts aux miens, ton ardeur à la mienne,  740 Et qu’en faueur de Saul ce noble feu reuienne.	Enfin détrompe toi, connais ce que je suis, Uais ce que tu peux faire, et tout ce que ie puis Joins tes efforts aux miens, ton ardeur à la mienne, 740 Et qu'en faveur de Saul ce noble feu revienne.
BARNABE'.	BARNABE'.
En faueur d’vn cruel & d’un tigre alteré, Qui ne veut que nous perdro & qui l’a coniuré, Que pourray-ie ſur luy ſi ie n’ay point de forces?	En faveur d'un cruel et d'un tigre altéré, Qui ne veut que nous perdro et qui l'a conjuré, Que pourrai-je sur lui si personne n'ai point de forces?
Si la verité meſme eſt pour luy ſans amorces, S’il creuſe vn precipice à qui le veut ſauuer, Et s’il veut ruiner qui le veut conſeruer.	Si la vérité même est pour lors sans amorces, S'il creuse un précipice à qui le veut sauver, Et s'il veut ruiner qui le veut conserver.
ANGE.	ANGE.
Si le Ciel te conduit, ſi le Ciel te commande Eſt-il quelque peril que ton cœur apprehende?	Si le Ciel te conduit, si le Ciel te commande Est-il quelque péril que ton cœur appréhende?
Apprends ce que i’ay leu dans les ſecrets diuins, Sçache que Saul eſt né pour de nobles deſſeins, Il a des ſentimens éloignez de la rage, Mais vn zele indiſcret l’allume en ſon courage, Ce zele toutesfois ſera recompenſé, Ou s’il ne change enfin il ſera renuerſé, Vn vertueux remords qu’il produira luy meſme, Le pourra garantir de ce malheur extreme, C’eſt de là que depend le bon-heur de ſon ſort, Et dont il faut attendre ou ſa vie, ou ſa mort.	Apprends ce que j'ai lu dans les secrets divins, Sache que Saul est né pour de nobles desseins, Il a des sentiments éloignez de la rage, Mais avoir zèle indiscret ume en son courage, Ce zèle toutefois sera récompensé, Ou s'il ne change enfin il sera renversé, Vén vertueux remords qu'il produira lui même, Le pourra garantir de ce malheur extrême, C'est de là que dépend le bonheur de son sort, Et dont il faut attendre ou sa vie, ou sa mort.
BAR	BAR
BARNABÉ.	BARNAB.
Mais parmy tant d’excez ou ſon ame s’emporte, Sa raiſon eſt trop foible,& ſon ardeur trop forte, Pour attendre de luy dans vn meſme moment, Apres vn tel deſordre vn noble mouuement.	Mais parmi tant d'excès ou son âme s'emporte, Sa raison est trop faible, son ardeur trop forte, Pour attendre de Seigneur dans un m moment, Après un tel désordre un noble mouvement.
ANGE.	ANGE.
La douceur dans vne ame eſt touſiours ſans limite, Elle peut captiuer ce que la force irrite, Sers toy de ce moyen, il eſt commode à tous;	La douceur dans une âme est toujours sans limite, Elle peut captiver ce que la force irrite, Sers toi de ce moyen, il est commode à tous;
