I v LECIEVN	I v LECIEUN
EL eſt mort, s'en eſt faict, on voit emmy la place, QESon corps couuert de ſang, deſia froid comme glace, Son pourpoint d’vn coſté, de l’autre, ſon manteau, Le fourreau d’vn eſpée, vn eſcharpe, vn couſteau, O cruel poinct d’honneur, mais plutoſt barbarie, Rage, deſpit, horreur, infernalle furie, 1 S’eſgorger ſeul à ſeul, s’jurer de ſang humain, Vn Tygre en ſa fureur n’eſt pas plus inhumain;	ELLE est mort, s'en est fait, on voit emmy la place, QESon corps couvert de sang, déjà froid comme glace, Son pourpoint d'un côté, de l'autre, son manteau, Le fourreau d'un épée, un écharpe, enfin couteau, Ô cruel point d'honneur, mais plutôt barbarie, Rage, dépit, horreur, infernalle furie, 1 S'égorger seul à seul, s'jurer de sang humain, S' Humain sa fureur s'est pas plus inhumain;
Se maſſacrer ainſi pour vne fantezie, Pour vn branſler de pied, pour en jalouſie.	Se massacrer ainsi pour une fantezie, Pour un branler de pied, pour en jalousie.
D'vn mot mal entendu, d'vn triſte compliment, D'vn Atome, d'vn rien, d’vn ie ne ſçay comment, Eſt-ce pas eſtre fol, François eſt-tu ſans honte, Et de l’ame & du corps tu faicts bien peu de conte, Que diſent tes voiſins, apprenant tes combats;	D'un mot mal entendu, d'un triste compliment, D'un Atome, d'un rien, d'Hommes ne sais comment, Est-ce pas être fol, Français est-tu sans honte, Et de l'âme et du corps tu faits bien peu de conte, Que disent tes voisins, apprenant tes combats;
Qu'eſtre ſage & françois ne ſe rencontrent pas:	Qu'être sage et français ne se rencontrent pas:
Si ta valeur t'eſtouffe & le ſang dans tes vaines, Boüillonne de fureur, ſi tu ſouffre des paines, De viure en patience, & ne peux t’empeſcher D'vn eſclarciſſement, que ne vas tu chercher Le giſte de l’honneur, de Prouince en Prouince, Pour y ſeruir ton Dieu, ton Pays, & ton Prince, Là tu le trouuerras, & dans ces nations, Tu pourras contenter tes chaudes paſſions, Eterniſant ton nom, & la gloire de France.	Si ta valeur t'étouffe et le sang dans tes vaines, Boüillonne de fureur, si tu souffre des paines, De vivre en patience, et ne peux t'empêcher D'un éclarcissement, que ne vas tu chercher Le gîte de l'honneur, de Province en Province, Pour y servir ton Dieu, ton Pays, et ton Prince, Là tu le trouverras, et dans ces nations, Tu pourras contenter tes chaudes passions, Eternisant ton nom, et la gloire de France.
Bien mieux que d’eſtre en Cour eſcrimeur par outrance.	Bien mieux que d'être en Cour escrimeur par outrance.
ACTE PREMIER.	ACTE PREMIER.
SCENE SECONDE, L’ESCVYER ONOMASTE SONNANT NE TROMPE.	SCÈNE SECONDE, L'ESCYVER ONOMASTE SONNANT NE TROMPE.
L’ORDINAIRE ARIMAND.	L'ORDINAIRE ARIMAND.
LE MAISTRE D’HOSTEL MAIORDOME ENTAEROIVT.	LE MAÎTRE D'HÔTEL MAIORDOME ENTAROIVT.
L’ESCVYER.	L'ÉCUYER.
Et bien ſommes nous preſis, le Roy s'en va partir, Chacun eſt à Cheual, mais tu viens de ſortir Du lict!	Et bien sommes nous présis, le Roi s'en va partir, Chacun est à Cheval, mais tu viens de sortir Du lit!
L’ORDINAIRE.	L'ORDINAIRE.
i'ay trop vueillé, le ſommeil m’importune,	j'ai trop vueillé, le sommeil m'importune,
L’ESCVYER.	L'ÉCUYER.
A Cheual à Cheual, c’eſt par trop ſommeiller, C’eſt couuer ſes linceuls, il faut ſe reſueiller, I’entends de tous coſtez l’Arondelle gaillarde Nous annoncer le jour, & la trouppe mignarde Des petits Oyſillons, font raiſonner les boys Les vallons & les eaux de gazoüillantes voix.	À Cheval à Cheval, c'est par trop sommeiller, C'est couver ses linceuls, il faut se réveiller, J'entends de tous côtés l'Arondelle gaillarde Nous annoncer le jour, et la troupe mignarde Des petits Oysillons, font raisonner les bois Les vallons et les eaux de gazoüillantes voix.
L’aurore au front d’argent, ordinaire courriere.	L'aurore au front d'argent, ordinaire courrière.
Nous offuſque les yeux de ſa viue lumiere, Voyez vous ce broüillats qui couuroit ces Eſtangs, S’eſleuant peu à peu, nous promet du beau temps?	Nous offusque les yeux de sa vive lumière, Voyez -vous ce brouillats qui couvrait ces Étangs, S'élevant peu à peu, nous promet du beau temps?
Allez prendre la botte, & vous Monſieur le Maiſtre, Voullez vous aujourd’huy rude picqueur pareſtre.	Allez prendre la botte, et vous Mon le Maître, Voullez -vous aujourd'hui rude piqueur paraître.
LE M.	LE M.
D’HOSTEL.	D'HÔTEL.
Tamuis ne fit fi veau, t'atr, le vent & les Cieux, N’ont point encor parû cét an ſi gratieux Haſtons nous, car du lict ceſte plume mollace, Dediée à Venus eſt contraire à la Chaſſe, Noſtre Roy diligent accuſe vos langueurs, Et cherit entre tous, ceux qui ſont bons picqueurs, Ie vay faire l’eſſay, & puis couurir ſur table.	Tamuis ne fit fi veau, t'atr, le vent et les Cieux, N'ont point encor paru cet an si gratieux Hâtons nous, car du lit cette plume mollace, Dédiée à Venus est contraire à la Chasse, Notre Roy diligent accuse vos langueurs, Et chérit entre tous, ceux qui sont bons piqueurs, Je vais faire l'essai, et puis couvrir sur table.
L’ORDINAIRE.	L'ORDINAIRE.
Moy d'vn ieune coureur, ie vay taſter le rable,	Moi d'un jeune coureur, Seigneur vais tâter le rable,
4	4
LVY DIRA.	LUI DIRA.
Sans a dieu Caualier	Sans a dieu Cavalier
L’ESCVYER.	L'ÉCUYER.
Tantoſt nous nous verrons Mon braue ie vous ſuis,	Tantôt nous nous verrons Mon brave ers vous suis,
L'ORDINAIRE.	L'ORDINAIRE.
Seruiteur ie vous ſuis.	Serviteur Seigneur vous suis.
BRILELANCE DVELLISTE REGARDANT L’ESCVYER.	BRILELANCE DUELLISTE REGARDANT L'ÉSCUYER.
L’ESCVYER DIRA A DEMY VOIX.	L'ÉCUYER DIRA A DEMI VOIX.
Hé qu’eſt-ce Rodomont qu’eſt ce nouueau viſage, Il n’a point l’air de Cour, il ſent bien ſon village,	Hé qu'est-ce Rodomont qu'est ce nouveau visage, Il n'a point l'air de Cour, il sent bien son village,
LE DVELLISTE L’ARRESTANT.	LE DUELLISTE L'ARRÊTANT.
Quoy vous me regardez me cognoiſſez vous pas.	Quoi vous me regardez me connaissez vous pas.
Vous ſuis-ie rauiſſant, admirez vous mes pas, Mon port, mon action, n’ay-ie pas bonne mine, Croyez vous que ie ſois vn mignon de courtine, Pourquoy me regarder?	Vous suis-je ravissant, admirez -vous mes pas, Mon port, mon action, n'ai-je pas bonne mine, Croyez vous que sans sois un mignon de courtine, Pourquoi me regarder?
L’ESCVYER.	L'ÉCUYER.
Parce que i'ay des yeux, Ie ne peux les ouurir ſans voir en diuers lieux.	Parce que j'ai des yeux, Je ne peux les ouvrir sans voir en divers lieux.
Et ne les ferme point, ſinon quand ie ſommeille, Affecter de vous voir, ce n'eſt grande merueille;	Et ne les ferme point, sinon quand Elle sommeille, Affecter de vous voir, ce n'est grande merveille;
LE DVELLISTE.	LE DUELLISTE.
Mais ie croy qu’à me voir prenez contentement.	Mais quelque crois qu'à me voir prenez contentement.
L’ESCVYER PAR MESPRIS, Il eſt vray, vous touchez au point tout iuſtement, C’eſt vn de mes penſers, ie m’en mets fort en peine, Pour vous voir ie courrois mille pas d’vnchaleïne;	L'ÉCUYER PAR MÉPRIS, Il est vrai, vous touchez au point tout justement, C'est un de mes pensers, Seigneur m'en mets fort en peine, Pour vous voir ainsi courrais mille pas d'vnchaleïne;
LE DVELLISTE.	LE DUELLISTE.
Mau ſemble qu’à deſſain voulez me regarder,	Mau semble qu'à dess voulez me regarder,
L’ESCVYER.	L'ÉCUYER.
Mon deſſein pour vous voir, eſt de fort peu tarder, on regarde le Roy, les Dames & les Princes, Pour voir, pour regarder, on court maintes Prouinces, Quelques fois ie regarde vn papamt incongnû Vn pauure, vn miſerable, vn gueux allant tout nû, Quelque fois vn galland quand il a bonne mine, Ie vous eſtime tel, non, mignon de courtine,	Mon dessein pour vous voir, est de fort peu tarder, on regarde le Roi, les Dames et les Princes, Pour voir, pour regarder, on court maintes Provinces, Quelques fois rien regarde un papamt inconnu Vn pauvre, un misérable, un gueux allant tout nu, Quelque fois vn galland quand il a bonne mine, Je vous estime tel, on, mignon de courtine,
LE DVELEIS IE.	LE DUELEIS IE.
I'ay bien meilleure mine ayant l'eſpée en main,	J'ai bien meilleure mène ayant l'épée en main,
L’ESCVYER.	L'ÉCUYER.
Ie le croy maintenant, ſans attendre à demain Et le croy ſans le voir, vous voyant en preſence	Je le crois maintenant, sans attendre à demain Et le crois sans le voir, vous voyant en présence
LE DVELLISTE.	LE DUELLISTE.
Doutter de mon courage, en ne le croyant pas, L’eſt meſpriſer ſa vie & courir au treſpas,	Donter de mon courage, en ne le croyant pas, L'est mépriser sa vie et courir au trépas,
L’ESCVYER.	L'ÉCUYER.
TEAM MAI DE Croire à beſoin de foy, mais voyant quelque choſe  ne femmc on encuut, en voutton, onc roſe, La foy n’y ſert de rien, car certes nous croyons, Ce qui nous eſtabſent;	TEAM MAI DE Croire à besoin de foi, mais voyant quelque chose ne femmc on encut, en vouton, onc rose, La foi n'y sert de rien, car certes nous croyons, Ce qui nous estabsent;
non ce que nous voyons :	non ce que nous voyons :
LE DVELLISTE.	LE DUELLISTE.
Ce ſont ſubtilitez qu’on apprend à l'eſcolle, Pour moy ie ſuis gend’arme, & meſpriſe Bartolle, Ariſtote, Iaſon, Philoſephes, Docteurs, Aduocats, Procureurs, Sacs, Procez, & Plaideurs, Mes eſclarciſſements, ſe font pour l’ordinaire, Quand i’ay l’eſpée en main contre mon aduerſaire, Demain nous nous verrons tous deux au champ Mars, Mon braue ou legez vous?	Ce sont subtilités qu'on apprend à l'écolle, Pour moi ie suis gend’aire, et méprise Bartolle, Aristote, Iason, Philosephes, Docteurs, Aduocats, Procureurs, Sacs, Procès, et Plaideurs, Mes éclarcissements, se font pour l'ordinaire, Quand j'ai l'épée en main contre mon adversaire, Demain nous nous verrons tous deux au champ Mars, Mon brave ou légez -vous?
’ESCVYER.	ESCVYER.
Tout proche des remparts.	Tout proche des remparts.
Ton arrogance en bref de toy ſera bannie, C’eſt vlcere preſſant ſurmontant ta raiſon, Ne te faict eſperer qu’en ta mort gueriſon, Mais qu'elle extrauagance?	Ton arrogance en bref de toi sera bannie, C'est vlcère pressant surmontant ta raison, Ne te fait espérer qu'en ta mort guérison, Mais qu'elle extravagance?
aller chercher querelle, Pour vn clain d’œil, pour vn mouuemént de prunelle, Iamais ie ne l’ay veu, ny cogneu iuſqu’icy, Et ſe forme vn ſubject d’ennuys & de ſoucy, Bien ſouuent la colere eſt d’angereuſe hoſteſſe, Car dans les repentirs elle engendre triſteſſe, Donittomne tuuuno nous, nous eſleuant ſi loin, Qu'en vain nous reclamons la raiſon au beſoin:	aller chercher querelle, Pour un clain d'œil, pour un mouvement de prunelle, Jamais homme ne l'ai vu, ni connu jusqu'ici, Et se forme un sujet d'ennui et de souci, Bien souvent la colère est d'angereuse hôtesse, Car dans les repentirs elle engendre tristesse, Donitomne tuuuno nous, nous esleuant si loin, Qu'en vain nous réclamons la raison au besoin:
ACIDIEEMIER.	ACIDIEMIÈR.
12 SCENE TROISIESME.	12 SCÈNE -TROISIÈME.
9me L’ESCVYER.	9me L'ÉCUYER.
DVRACIER, SECOND, Caualier, Brizelance attend icy tout proche, De ce lieu eſcarté, derriere ceſte roche, Ou l’on peut librement contenter ſon deſir, Le voir l’eſpée au poing, vous aurez du plaiſir, Receuez ce Cartel, ie ſuis de la partie, D’auoir les bras croiſez, ie n'en a point d’enuie.	DURACIER, SECOND, Cavalier, Brizélance attend ici tout proche, De ce lieu écarté, derrière cette roche, Ou l'on peut librement contenter son désir, Le voir l'épée au poing, vous aurez du plaisir, Recez ce Cartel, tu suis de la partie, D'avoir les bras croissez, Seigneur n'en a point d'envie.
Choiſiſſez vn ſecond vous luy ferez ſaueur, D'auoir affaire à luy te le teens à bou-heur.	Choisissez un second vous avoir ferez saveur, D'avoir affaire à notre te le teens à bouheur.
CARTEL	CARTEL
AVALIER puiſque vous auez des yeux pour me Aregarder, vous verrez preſentement combien i’ay bonne mine l’eſpée à la main, & croy tant de voſtre courage, que non content de le croire, vous m’y voudrez voir afin de ne le croire plus, nous eſclarcirons noſtre pourparler à la lueur de nos eſpées, n’oubliez la plus longue pour le deſir que i’ay de la meſurer conrre la mienne.	AUALIÈR puisque vous avez des yeux pour me Aregarder, vous verrez présentement combien j'ai bonne mine l'épée à la main, et crois tant de votre courage, que non content de le croire, vous m'y voudrez voir afin de ne le croire plus, nous esclarcirons quelque pourparler à la lueur de nos épées, n'oubliez la plus longue pour le désir que j'ai de la mesurer conrre la mienne.
DVRACIER.	DURACIER.
Vous auez vn ſecond	Vous avez un second
L’ESCVYER.	L'ÉCUYER.
ie m’y rends dans vne heure, Ie ne veux pas icy faire longue demeure, Mais:	Ne m'y rends dans une heure, Je ne veux pas ici faire longue demeure, Mais:
dans mes deriom te jun momme ſecret, L’Euenté me deſplaiſt, i’eſtime le diſcret:	dans mes deriom te jun momme secret, L'Euenté me déplaît, j'estime le discret:
Ie hay ces fanfarons, plains de vent & de gloire, Qui ceutent que leur, fatcts fotent couchez dans l’hiſtoire, I'iray ſeul, & ſans bruict.	Je hais ces fanfarons, plains de vent et de gloire, Qui cutent que leur, fatcts fotent couchés dans l'histoire, J'irai seul, et sans bruit.
RACIER.	RACIER.
moy que feray-je la?	moi que ferai-je la?
L’ESCVYER.	L'ÉCUYER.
En tuant voſtre amy, vous ferez le hola, Ie maudits les Duels, les combats ie deteſte Autant comme ie faicts le poiſon & la peſte, Mais i’aborre bien plus l’vſage des ſeconds, Pour celuy quis’en s’ert Dieu n’a point de pardons;	En tuant votre ami, vous ferez le holà, Je maudits les Duels, les combats ie deteste Autant comme ie faicts le poison et la peste, Mais j'aborre bien plus l'usage des seconds, Pour celui qu'en s'ert Dieu n'a point de pardons;
Son parent, ſon amy, conuier au carnage, C’eſt plus qu’eſtre inhumain ô le maudit vſage!	Son parent, son ami, convier au carnage, C'est plus qu'être inhumain ô le maudit usage!
A quoy;	À quoi;
pour quel ſubject, rendrons nous partiſants, Nos amis pour vn faict où ils n’eſtoient preſents, C’eſt ſans occaſion que voſtre amy m’appelle Il faict de fantaſie vn ſubject de querelle, Ie ne ſçay quel il eſt, ie ne le cognois pas, T omauuijuuey puſuutout à ſon treſpas;	pour quel sujet, rendrons nous partisants, Nos amis pour un fait où ils n'étaient présents, C'est sans occasion que votre ami m'appelle Il fait de fantaisiblé sujet de querelle, Je ne sais quel il est, ie ne le connais pas, T omauuijuuey pusuutout à son trépas;
Acceptant ce Cartel, ſur ce poinct ie me fonde,	Acceptant ce Cartel, sur ce point Ne me fonde,
Sur quel?	Sur quel?
DVRACIER.	DURACIER.
L’ESCVYER.	L'ÉCUYER.
Pour contenter l’opinion du monde, Qui met dans les combats l’vnique point d’honneur, Pluſtoſt que d’y placer la rage & la fureur:	Pour contenter l'opinion du monde, Qui met dans les combats l'unique point d'honneur, Plutôt que d'y placer la rage et la fureur:
I’ay tant & tant d’amis, ie ne ſçay lequel prendre, Puis vn trop long ſejour, le feroit trop attendre, Comme ce ſont mes yeux qui ſeuls l’ont offencé Ie veux que de ce bras il meure ou ſoit bleſsé;	J'ai tant et tant d'amis, je ne sais lequel prendre, Puis un trop long séjour, le ferait trop attendre, Comme ce sont mes yeux qui seuls l'ont offensé Je veux que de ce bras il meure ou soit blessé;
Vous verrez le combat teſmoignant ma franchiſe, D’aller ſeul le trouuer ſans craindre vne ſurpriſe, Puis que de ma parolle il n’euſt contentement, Auecque mon eſpée il l'aura promptement:	Vous verrez le combat témoignant ma franchise, D'aller seul le trouver sans craindre une surprise, Puis que de ma parole il n'eût contentement, Avec mon épée il l'aura promptement:
Que ſi vous ne voulez vous tenir ſans rien faire, Ayant faict auec luy ie peux vous ſatisfaire, I'y vay tout de ce pas, mais te le vois venir;	Que si vous ne voulez -vous tenir sans rien faire, Ayant fait avec lui ie peux vous satisfaire, J'y vais tout de ce pas, mais te le vois venir;
BRIZELANCE L’ESPE'E EN MAI Viſte l’eſpée au poing, il faut s’entretenir St vos yeux font ſi bons regardez ma démarche Parez ceſte estoccade, 1	BRIZELANCE L'ÉPE'E EN MAI Vite l'épée au poing, il faut s'entretenir St vos yeux font si bons regardez ma démarque Parez cette étoccade, 1
L’ESCVYER.	L'ÉCUYER.
Arrogant ton panache, N’offuſque pas mes yeux, tu faus le Rodomont, Arreſte, ou ie te mets, teſte & pieds contremont, Ha!	Arrogant ton panache, N'offusque pas mes yeux, tu faus le Rodomont, Arrête, ou autre te mets, tête et pieds contremont, Ha!
donc tu veux mourir ieune fol temeraire,	donc tu veux mourir jeune fol téméraire,
LE DVELLISTE.	LE DUELLISTE.
Fay mieux & ne d'y mot	Fais mieux et ne d'y mot
L’ESCVYER.	L'ÉCUYER.
Ta mort eſt volontaire.	Ta mort est volontaire.
VRACIER.	VRACIER.
Caualier il ſe rend, il met les armes bas,	Cavalier il se rend, il met les armes bas,
L’ESCVYER REMPORTA	L'ÉCUYER REMPORTA
L EFEE.	L ESSE.
Pour le faire penſer, prenez le ſoubs le bras.	Pour le faire penser, prenez le soubs le bras.
ACTE PREMIER.	ACTE PREMIER.
SCENE QVATRIESME.	SCÈNE QUATRIÈME.
S CERE.	SEIGNEUR CERE.
Ll Mu.	Ll Mu.
I'en auray la raiſon, affronter vne dame, Ie n’ay point eu depuis de repos dans mon ame, Offencer mon honneur, ma reputation, Ie ſuis fille de bien, & de condition;	J'en aurai la raison, affronter une dame, Je n'ai point eu depuis de repos dans mon âme, Offenser mon honneur, ma réputation, Je suis fille de bien, et de condition;
Vn Poëte médiſant, menteur et ſatyrique, Dire du mal de moy?	Un Poète médisant, menteur et satyrique, Dire du mal de moi?
que ie ſuis impudique, Qu’il me voit en cachette, & que les courtiſans, Sont bien venus chez moy, qu’ils me font des preſens, Il à menty tout ſeul, i'en attends la vengeance, Du Ciel & des humains, il n'aura l’aſſeurance, De vouloir maintenir ſes menſongers diſcours, Ie l'en feray punir, croyez en pou de jours:	que je suis impudique, Qu'il me voit en cachette, et que les courtisans, Sont bien venus chez moi, qu'ils me font des présents, Il à menti tout seul, j'en attends la vengeance, Du Ciel et des humains, il n'aura l'assurance, De vouloir maintenir ses mensongers discours, Je l'en ferai punir, croyez en pou de jours:
Faire en vers contre moy;	Faire en vers contre moi;
eſcrire vne ſatyre, La publier par tout, & n’en faire que rire, Se vanter d’vn baiſer, d’vn fauorable accueil, D'vn toucher de teton, d’vn regard, d'vn bon œil, Ne ſcachant quel il eſt, n’ayant veu ſon viſage, Ie meurs ( d’vntel affront) de dépit & de rage;	écrire une satire, La publier par tout, et n'en faire que rire, Se vanter d'un baiser, d'un favorable accueil, D'un toucher de téton, d'un regard, d'un bon œil, Ne sachant quel il est, n'ayant vu son visage, Je meurs ( d'vntel affront) de dépit et de rage;
Des Poëtes médiſans le fruict de leurs labeurs, Le Laurier qui les couure au mont de leurs honneurs, Leur Lierre, leur Couronne, eſt mainte Baſtonnade, Il en orra parler, il en aura l’aubade;	Des Poètes médisants le fruit de leurs labeurs, Le Laurier qui les couvre au mont de leurs honneurs, Leur Lierre, leur Couronne, est mainte Bastonnade, Il en orra parler, il en aura l'aubade;
Vn ieune Caualier, nouueau dans ceſie Cour, Pourra ſi ie le veux luy ioüer d’vn bon tour, Vengeant ma paſſion, repouſſer ſon injure, A beaux coups de baſton, ie le veux, ie le jure, Temen ouy te ireuer, nat le oouy (oenire.	Un jeune Cavalier, nouveau dans cesie Cour, Pourra si tu le veux toujours jouer d'un bon tour, Vengeant ma passion, repousser son injure, A beaux coups de bâton, je le veux, ie le jure, Témen oui te jureuer, nat le oui (oenire.
Ma Dame dictes moy quel eſt le ſouuenir, Qui vous rend ſi chagrine & ſi melancholique, Qui vous attriſte tant, qui vous ronge & vous picque?	Ma Dame dictes moi quel est le souvenir, Qui vous rend si chagrine et si mélancolique, Qui vous attriste tant, qui vous ronge et vous pique?
Qu'elle douleur vous preſſe, & romp voſtre repos, Vous à t’on offenceé, en faicts, ou en propos, Dictes le moy de grace;	Qu'elle douleur vous presse, et romp votre repos, Vous à t'on offenseé, en faits, ou en propos, Dictes le moi de grâce;
& croyez d’aſſeurance, Que ie vous vengeray pluſtoſt qu’homme de France, Quel qu’il ſoit, vous verrez qu’elle punition, Ie luy feray ſouffrir pour ſa preſomption:	et croyez d'assurance, Que je vous vengerai plutôt qu'homme de France, Quel qu'il soit, vous verrez qu'elle punition, Je lui ferai souffrir pour sa présomption:
LE DVELLISTE LE BRAS EN eſcharpe s’appuyant d’vn baſton.	LE DUELLISTE LE BRAS EN écharpe s'appuyant d'Hô bâton.
GLYCERE.	GLYCÈRE.
Monſieur voſtre faueur me rend voſtre obligée, Ie n’ay pas merité d’eſtre par vous vengée, Et n’oſe me promettre vn tel honneur de vous, Pour accepter voſtre offre, à venger mon courroux, Puis;	Monsieur votre faveur me rend votre obligée, Je n'ai pas mérité d'être par vous vengée, Et n'ose me promettre un tel honneur de vous, Pour accepter votre offre, à venger mon courroux, Puis;
de vous mettre en peine, hazardant voſtre vie, Ie ne veux pas le faire, et n’en ay nulle enuie, Encore qu’à iamais vous pourriez diſpoſer, De moy;	de vous mettre en peine, hasardant votre vie, Je ne veux pas le faire, et n'en ai nulle envie, Encore qu'à jamais vous pourriez disposer, De moi;
comme l’honneur me permet propoſer:	comme l'honneur me permet proposer:
Si vous m’auiez vengée, hà!	Si vous m'aviez vengée, hà!
ie n’oſe le dire, Vn Poëte contre moy!	Elle n'ose le dire, Un Poète contre moi!
faire en vers & médire!	faire en vers et médire!
Vn Poëte!	Un Poète!
quel eſt-il?	quel est-il?
il mourra de ma main, Qu'il fuye ou il voudra, croyez que dans demain, Vous en orrez parler, & que cent baſtonnades, Luy feront compoſer Sonnets, Oddes, Ballades:	il mourra de ma main, Qu'il fuie ou il voudra, croyez que dans demain, Vous en orrez parler, et que cent bastonnades, Lui feront composer Sonnets, Odes, Balades:
Eſt-ce pas luy qui loge à la ville d’Anuers?	Est-ce pas homme qui loge à la ville d'Anvers?
GLYCERE.	GLYCÈRE.
C’eſt luy meſme monſieur, c'eſt mon faiſeur de vers;	C'est ç mesme monsieur, c'est mon faiseur de vers;
LE DVELLISTE.	LE DUELLISTE.
C'en eſt faict ie l’ay dit;	C'en est faict Je l'ai dit;
à Dieu ma belle aurore, Permets moy de baiſer ce bel œil que j’adore, Il ſent deſia les coups ſur la place estendu, Il voudroit eſtre mort, ie veux qu’il ſoit pendu, I'y vay tout de ce pas , tu repouſſe ma main.	à Dieu ma belle aurore, Permets moi de baiser ce bel œil que j'adore, Il sent déjà les coups sur la place étendu, Il voudrait être mort, je veux qu'il soit pendu, J'y vais tout de ce pas , tu repousse ma main.
GLYCERE SORTANT.	GLYCÈRE SORTANT.
Ie ſuis voſtre ſeruante, à Dieu iuſqu’à demain.	Je suis votre servante, à Dieu jusqu'à demain.
LE DVELLISTE AMOVREVX.	LE DUELLISTE AMOUREUX.
Mon ame eſt dans ſes lacs ſi fortement preſsée, Qu'en elle eſt tout mon heur & n’ay d’autre pensée, Que de la bien ſeruir, ne m’eſtimant heureux, Qu'en mettant en effect ſes deſir & ſes vœux, Auſſi la beauté ſeulle en elle ſe reſſerre, C’eſt la diuinité qui reſide ſur terre, Qua reud par ſes regards mon eſprit enchanté,	Mon âme est dans ses lacs si fortement pressée, Qu'en elle est tout mon heur et n'ai d'autre pensée, Que de la bien servir, ne m'estimant heureux, Qu'en mettant en effect ses désir et ses vœux, Aussi la beauté seulle en elle se resserre, C'est la divinité qui reside sur terre, Qua reud par ses regards mon esprit enchanté,
