PAR MONSIEVR BORÉE,	PAR MONSIEUR BORE,
mais encore à vous le preſenter, comme à celuy, à qui toutes les Nations doiuent la loüange de faire plus d’eſtat de la vertu & des grands courages, que tous les Princes dé la terre.	mais encore à vous le présenter, comme à celui, à qui toutes les Nations doivent la louange de faire plus d'état de la vertu et des grands courages, que tous les Princes dé la terre.
Cequi me fait croire, que que voſtre ALTESSE, le receura de bon cœur, c’eſt qu’il vient reuoir ſes Nepueux;	Cequi me fait croire, que que votre ALTESSE, le recevra de bon cœur, c'est qu'il vient revoir ses Népueux;
qu’enleur apportant les plus beaux lauriers du Mõde, il s’eſt obligẽtoute la Chreſtiẽté;	qu'enleur apportant les plus beaux lauriers du Momme, il s'est obligtoute la Chrestiẽté;
& qu’vn de ſes ſubiects le fait reuiure, qui n’aura iamais autre en uie que de mourir.	et qu'un de ses sujets le fait reuiure, qui n'aura jamais autre en ujet que de mourir.
Voſtre tres humble, tres-fidelle & tres-obeyſſant ſubject & ſeruiteur,	Votre très humble, très-fidelle et très-obéissant sujet et serviteur,
BOREE.	BORE.
ODE.	ODE.
Ource viue de toute gloire, Grand Miracle de l’Vniuers, Quels monumens à ta memoire Dois-ie laiſſer dedans mes vers?	Ource vive de toute gloire, Grand Miracle de l'Univers, Quels monuments à ta mémoire Dois-je laisser dedans mes vers?
Ie voy que le Chantre d’Auguſte N’auroit vn ſtile aſſez robuste;	Je vois que le Chantre d'Auguste N'aurait un style assez robuste;
Elle eſtonne tous les Eſprits;	Elle étonne tous les Esprits;
Et merite tant de louanges, u' autre ne ſçauroit, que les Anges, La guerdonner d’vn iuste prix.	Et mérite tant de louanges, u' autre ne saurait, que les Anges, La guerdonner d'un juste prix.
A fin de me rendre capable De poſſeder vn tel honneur, I’ay d’vn labeur infatigable Recherché long-temps ce bon-heur, En frequentant mille Prouinces:	A Afin de me rendre capable De posséder un tel honneur, J'ai d'un labeur infatigable Récherché longtemps ce bonheur, En fréquent mille Provinces:
I’ay chanté des Roys & des Princes, Pour en apprendre le meſtier:	J'ai chanté des Rois et des Princes, Pour en apprendre le métier:
I’ay deſcrit les faicts d’Alexandre;	J'ai décrit les faits d'Alexandre;
Mais ie n’ay peû iamais apprendre eli ti dauer 3qujajvensler.	Mais ici n'ai pu jamais apprendre elle ty daver 3qujajvensler.
Auſſi la gloire n’eſt pas grande, Et librement faut l’aduouër, Qui trouue icy ſa digne offrande, Et que l’on peut aſſez louër:	Aussi la gloire n'est pas grande, Et librement faut l'avouer, Qui trouve ici sa digne offrande, Et que l'on peut assez louer:
La tienne d’eternelle marque, Qui ne craint point la dure Parque, En excuſe tous les mortels, Et n'en veut point d’autres hommages, Que des temples & des images, Qu’ils dreſſeront à tes autels.	La tienne d'éternelle marque, Qui ne craint point la dure Parque, En excuse tous les mortels, Et n'en veut point d'autres hommages, Que des temples et des images, Qu'ils dresseront à tes autels.
Depuis le iour de ta naiſſance Que n’as-tu fait contre le ſort, Qui t’a monſtré tant de puiſſance, Et t’a trouué touſiours plus fort?	Depuis le jour de ta naissance Que n'as-tu fait contre le sort, Qui t'a montré tant de puissance, Et t'a trouvé toujours plus fort?
Comme vn Athlete inesbranſlable A ce monstre reformidable, Tu n’as iamais quitté le lieu:	Comme un Athlète inébranlable À ce monstre réformidable, Tu n'as jamais quitté le lieu:
Tu t'es faict voir plus qu’vn Hercule, Si que l’homme eſt trop ridicule,	Tu t'es fait voir plus qu'un Hercule, Si que l'homme est trop ridicule,
Ainſi qu’vn bon Nocher ſur l’onde Ne craint les vagues de la mer, Ta valeur a faict voir au monde, Qu'on ne te peut faire abyſmer:	Ainsi qu'un bon Nocher sur l'onde Ne craint les vagues de la mer, Ta valeur a fait voir au monde, Qu'on ne te peut faire abîmer:
En deſpit de mille tempeſtes, Que l’on a veu deßus nos teſtes, Dont nous menaçoit l’Eſtranger, Pilote expert par ton courage Tatalmes teſjort de lorage, Et nous as mis hors de danger.	En dépit de mille tempêtes, Que l'on a vu dessus nos têtes, Dont nous menaçait l'Étranger, Pilote expert par ton courage Tatalmes tesjort de lorage, Et nous as mis hors de danger.
Je ne veux autre que l’Eſpagne, Pour m’aduouër en ce diſcours, Qui t’a veu parmy la campagne, De ſes destins rompre le cours:	Je ne veux autre que l'Espagne, Pour m'avouer en ce discours, Qui t'a vu parmi la campagne, De ses destins rompre le cours:
Son Monarque, quoy qu’aduerſaire, I Repenſant ne s’en peut taire:	Son Monarque, quoi qu'adversaire, I Repensant ne s'en peut taire:
L’Aigle meſme apres tes lauriers, Malgré ſon enuie, ſouſpire, T'offrant le droict de ſon Empire, Comme au plus Grand des grands Guerriers.	L'Aigle même après tes lauriers, Malgré son envie, souspire, T'offrant le droit de son Empire, Comme au plus Grand des grands Guerriers.
Tandis que cent mille Furier Semoient les flammes & le fer, Et qu’en nouuelles barbaries Elles nous vouloient estouffer, Auec quelle extreme vaillance N’as-tu repouſſe l’inſolence De ceux, qui penſoient t’engloutir, Et qui cognoiſſant ta prouëſſe efroronn cemttames uauns la peije D’en receuoir le repentir?	Tandis que cent mille Furier Semaient les flammes et le fer, Et qu'en nouvelles barbaries Elles nous voulaient étouffer, Avec quelle extrême vaillance N'as-tu repousse l'insolence De ceux, qui pensaient t'engloutir, Et qui connaissant ta prouësse éfroronn cemttames œuauns la péije D'en recevoir le repentir?
Plus genereux dans la meſlée Cent mille fois meſme que Mars, Lors que ſa Sœur eſcheuelée Allume les plus grands hazars, Ne t’a-t’on veu pendant la guerre Ioncher de morts toute la terre?	Plus généreux dans la mêlée Cent mille fois même que Mars, Lors que sa Sœur escheuelée Allume les plus grands hasards, Ne t'a-t-on vu pendant la guerre Ioncher de morts toute la terre?
Et ſans redouter les boulés, Qui mettoient nos rampars en poudre, Te mocquer, ardant comme foudre, De ceux qui les auoient moulez.	Et sans redouter les boulés, Qui mettaient nos ramarts en poudre, Te moquer, ardant comme foudre, De ceux qui les avaient moulés.
Touſiours d’vn cœur incomparable Tu le monſtras deuant Verſeil, Qui vid ton bras eſpouuantable N’auoir icy bas de pareil:	Toujours d'un cœur incomparable Tu le montras devant Verseil, Qui vit ton bras épouvantable N'avoir ici bas de pareil:
Ne fis-tu pas, que l’aduerſaire Pria ton Ange tutelaire De ne vouloir te ſecourir, Et de ſauuer ſa renommée, Que ta valeur tant eſtimée Alloit bien toſt faire mourir?	Ne fis-tu pas, que l'adversaire Pria ton Ange tutélaire De ne vouloir te secourir, Et de sauver sa renommée, Que ta valeur tant estimée Allait bien tôt faire mourir?
Mais depuis vn tel aduantage, Qui rend ton Nom ſi glorieux, Que n’as-tu fait deuant Oſtage, Que defendoient des demy-dieux?	Mais depuis un tel avantage, Qui rend ton Nom si glorieux, Que n'as-tu fait devant Ostage, Que défendaient des demi-dieux?
Au plus haut poinct de l’hemiſphere Le Dieu du iour, qui touteſclaire, Contemplant ta iuſte fureur, Endrresta jà courſe ronde, Tant qu’il t’eust veu vainqueur au Monde De deux Roys & d’vn Empereur.	Au plus haut point de l'hémisphère Le Dieu du jour, qui toutesclaire, Contemplant ta juste fureur, Endrresta jà course ronde, Tant qu'il t'eût vu vainqueur au Monde De deux Rois et d'un Empereur.
Et que diray-ie de C’erruë, Qu'on t’a veu ſi bien ſouſtenir,	Et que dirai-je de C'errue, Qu'on t'a vue si bien soutenir,
Contre l’Ennemy de la nuë, Qui vouloient ta gloire ternir?	Contre l'Ennemi de la nue, Qui voulaient ta gloire ternir?
A la fin tu leur fis apprendre, Que pour aſſaillir & defendre Tu ſçais les infaillibles loix;	À la fin tu leur fis apprendre, Que pour assaillir et défendre Tu sais les infaillibles lois;
Et que ton ſublime courage, Qui des destins ne craint la rage, Te rend eſgal aux plus grands Rois.	Et que ton sublime courage, Qui des destins ne craint la rage, Te rend égal aux plus grands Rois.
En fin nos ennemis de crainte, Voyans ton cœur ſi genereux, Ont tous d’accord auec contrainte Dit, que leur Aſtre eſt malheureux:	En fin nos ennemis de crainte, Voyant ton cœur si généreux, Ont tous d'accord avec contrainte Dit, que leur Astre est malheureux:
Et remplis de tant de merueilles, Loüans tes armes nompareilles, Aduouënt pendant leur effroy Que s’il faloit auoir Solyme, Autre Prince ſi magnanime Ne la ſçauroit auoir que toy.	Et remplis de tant de merveilles, Lans tes armes nompareilles, Adueouennt pendant leur effroi Que s'il fallait avoir Solyme, Autre Prince si magnanime Ne la saurait avoir que toi.
Mais où m’emporte, temeraire, L’ardeur, qui s’en va m’animant?	Mais où m'emporte, téméraire, L'ardeur, qui s'en va m'animant?
Ta valeur aux fins de te plaire M’attire ainſi comm'vn aimant:	Ta valeur aux fins de te plaire M'attire ainsi comm'un aimant:
Ma Muſe voudroit vagabonde Aller plus auant deſſus l’onde:	Ma Muse voudrait vagabonde Aller plus avant dessus l'onde:
Mais ie crains trop de te faſcher:	Mais ainsi crains trop de te fâcher:
Outre que tenter l’impoſſible Est vne faute irremiſſible, Ou ie ne veux pas tresbucher.	Outre que tenter l'impossible Est une faute irrémissible, Ou On ne veux pas trébucher.
L’vnique bien que ie demande, C’eſt qu’il te plaiſe ſeulement De voir mon cœur en ceſte offrande, Que ie te fais deuotement:	L'vnique bien que Seigneur demande, C'est qu'il te plaise seulement De voir mon cœur en cette offrande, Que ie te fais dévotement:
Si i’ay ceſt heur plein d’allegreſſe,	Si j'ai cet heur plein d'allégresse,
Ie parleray de ſon ALTESSE Auec des termes ſi puiſſans, Que l’Eſcriuain du grand Achile, Dont l’eloquence eſt ſi fertile, Ne ſçauroit mieux charmer les ſens.	Je parlerai de son ALTESSE Avec des termes si puissants, Que l'Écrivain du grand Achille, Dont l'éloquence est si fertile, Ne saurait mieux charmer les sens.
Alors en retragantl a vie, Et la ſuite de tes ayeux, Je feray voir, malgré l’enuie, Que tu deſcens des plus grands Dieux:	Alors en retragantl a vie, Et la suite de tes aïeux, Je ferai voir, malgré l'envie, Que tu descends des plus grands Dieux:
Que ta race tant renommée	Que ta race tant renommée
Prouient des Rois de l’Idumée.	Provient des Rois de l'Idumée,
Et que deſſous le firmament Dés l’Occident iuſqu’à l’Aurore On n’en trouue point, qui s’honore D’vn ſi ſuperbe fondement.	Et que dessous le firmament Dès l'Occident jusqu'à l'Aurore On n'en trouve point, qui s'honore D'vn si superbe fondement.
BORE'H.	BORE'H.
VINCENT DE COEVRSILLY AV LECTEVR.	VINCENT DE COURSILLY AU LECTEUR.
E te fay preſent d’vn Ouurage, mon cher Lecteur, que l’Auteur veut qu’on apelle Les Princes Uictorieux:	E te fais présent d'on Ouurage, mon cher Lecteur, que l'Auteur veut qu'on appelle Les Princes Uictorieux:
peut-étre parce qu’ils ont été les plus genereux du monde:	peut-être parce qu'ils ont été les plus généreux du monde:
quoy qu’il en ſoit, ie t’aſſeure, que ce n’et pas ſans beaucoup de prieres, que ie leur ay fait voir le iour, veu que c’etoit la moindre de ſes penſées.	quoi qu’il en soit, je t'assure, que ce n'et pas sans beaucoup de prières, que ie leur ais fait voir le jour, vu que c'était la moindre de ses pensées.
Ce qui m’y a le plus obligé, c’ét la reputation, que les meilleurs Eſpris donnent à ſes labeurs, & par conſequent l’eſperance que i’ay, que tu en receuras du contentement.	Ce qui m'y a le plus obligé, c'est la réputation, que les meilleurs Espris donnent à ses labeurs, et par conséquent l'espérance que j'ai, que tu en recevras du contentement.
Reçoisles doncques, en attendant que nous le puiſſions flechir à produire cet Alexandriade tant atenduë, & tant renommée de ceux, qui en ont veu quelque parcelle.	Reçoisles donc, en attendant que nous le puissions fléchir à produire cet Alexandriade tant atendue, et tant renommée de ceux, qui en ont vue quelque parcelle.
Si tu prens plaiſir à voir ſur le Teatre les Princes, qui ne ſont nez que pour les vi ctoires, & que tu faces quelque état de ſes veilles, peut-etre pourrons-nous faire en ſorte de te la faire voir quelque iour.	Si tu prends plaisir à voir sur le Téâtre les Princes, qui ne sont nés que pour les vi toires, et que tu faces quelque état de ses veilles, peut-être pourrons-nous faire en sorte de te la faire voir quelque jour.
Cependant reçois de bon cœur, ce que ie te preſente, & iuge par là, ce que l’on doit eſpërer de ce grand Ouurage.	Cependant reçois de bon cœur, ce que ie te présente, et juge par là, ce que l'on doit espërer de ce grand Ouvrage.
B	B
A MONSIEVR BOREE,	À MONSIEUR BORE,
SONNET.	SONNET.
DErſonne ne parloit, dans le fiecle où nous ſommes, I De ce qu’on doit tenir celebre en l’Vniuers:	DErsonne ne parlait, dans le siècle où nous sommes, I De ce qu'on doit tenir célèbre en l'Univers:
Ces Heros, dont les faicts paroiſſent dans tes vers, Ne viuoient dé-ia plus au ſouuenir des hommes.	Ces Héros, dont les faits paraissent dans tes vers, Ne vivaient déjà plus au souvenir des hommes.
Leur inſigne valeur, qui fit voir des meruellles, N’a rien d’aßez puiſſant pour euiter l’oubly, Leur nom auec leurs corps ſeroit enſeuely, Sans ces rares Eſcrits, qui naiſſent de tes veille.	Leur insigne valeur, qui fit voir des mervelles, N'a rien d'assez puissant pour éviter l'oubli, Leur nom avec leurs corps serait enseveli, Sans ces rares Écrits, qui naissent de tes veille.
Aux Princes c’eſt bien peu que la gloire & l’honneur:	Aux Princes c'est bien peu que la gloire et l'honneur:
Sans les bons Eſcriuains on voit tout leur bon-heur, Qui s’en va confondant auecque les années.	Sans les bons Écrivains on voit tout leur bonheur, Qui s'en va confondant avec les années.
Ton Prince, braue Eſprit, doit faire cas de toy:	Ton Prince, brave Esprit, doit faire cas de toi:
Sa valeur le peut faire Empereur, ou grand Roy:	Sa valeur le peut faire Empereur, ou grand Roi:
Mais toy, tu luy feras vaincre les deſtinées.	Mais toi, tu lui feras vaincre les destinées,
CONNAIN, Conſeiller du Roy en la Senechauſsée & Siege preſidial de Lyon.	CONNAIN, Conseiller du Roi en la Sénéchaussée et Siège présidial de Lyon.
GALLICAS TRAGOEDIAS DOMINI BOREI,	GALLICAS TRAGODIAS DOMINI BOREY,
JDE.	JDE.
Audat Tragœdos Itala gens ſuos;	Audat Tragœdos Itala gens suos;
EVerſus ſuorum iactat Iberia;	EUersus suorum iactat Ibéria;
Gallis placent Galli Poëtæ:	Gallis placent Galli Poîtæ:
Sed BOREVS rapit vnus omnes.	Sed BOREUS rapit unus omnes.
Seu e ſepulcro cùm Tomyrim trahit, Vel cum Sabaudûm carmine Principum Laudes, Alexandríque Magni Geſta canit celebranda Muſis.	Seu eu épulcro cùm Tomirim trahit, Vel cum Sabaudu carmine Principum Laudes, Alexandrque Magni Gesta canit célébranda Musis.
Præſtat Poëtis omnibus, vt rubos Excedit vlmus:	Prætat Poîtis omnibus, ut rubos Excédit vlmus:
celſiùs vt volat Inter volucres vnica ales, Sólque velut micat inter aſtra.	celsiùs ut volât Inter volucres unica ales, Slque velut micat inter astra.
Per cuncta ſœlix, cui BOREUS fauet, Eſt ſæcla;	Per cuncta sœlix, cuy BOREUS favet, Est æcla;
non hunc Muſa mori ſinens, Cælo beabit;	non hunc Musa mory sinents, Cælo beabit;
nec mouebit Ore virûm ſeries dierum.	nec mouebit Ore virûm series dierum.
B 4	 4
Nam dum micabunt cælica ſydera, Phœbúſque terræ proiiciet diem, Non ignis inuadet, nec ætas, Tam celebris Monumenta Vatis.	Nam du micabunt cælica sidéra, Phœbúsque terræ proyiciét diem, Non ignis invadet, ne ætas, Tam celebris Monumentsa Tis.
Ergo perennes viuere Principes Siqui peroptent, non ſibi ſegniter Vnius inſignis Poëtæ Concilient BOREI fauorem.	Ergo pérennes vivre Principes Siqui peroptent, non sibi segniter Unius insignis Poîtæ Concilient BOREY favorem.
CATHAR.	CATHAR.
BLANC, Theologus.	BLANC, Théologus.
AR	AR
ARGVMENT.	ARGUMENT.
L y a enuiron 327.	L y a environ 327.
années, que Foulques de Villaret, grand Maiſtre des Freres Hoſpitaliers de S.	années, que Foulques de Villaret, grand Maître des Frère Hospitaliers de S.
Iean de Hieruſalem, aſſiegeoit la ville de Rhodes contre Othoman premier Empereur des Turcs, qui la defendoit.	Jean de Hierusalem, assiègeait la ville de Rhodes contre Othoman premier Empereur des Turcs, qui la défendait.
En ce temps-là les Princes de la Chreſtienté ne ſe mettoient pas trop en deuoir contre l’ennemy commun de noſtre foy:	En ce temps-là les Princes de la Chrétienté ne se mettaient pas trop en devoir contre l'ennemi commun de notre foi:
il n’y eut qu’Amé le Grand, quatrieſme Comte de Sauoye, qui vouluſt teſmoigner le zele d’vn Prince Chreſtien.	il n'y eut qu'Amé le Grand, quatrième Comte de Savoie, qui voulût témoigner le zèle d'un Prince Chrétien.
A ces fins il ſe diſpoſe à ce voyage:	À ces fins il se dispose à ce voyage:
ce qui eſtonna grandement l’Empereur des Infidelles.	ce qui étonna grandement l'Empereur des Infidèles.
Apres donc qu’il eut aſſemblé le meilleur de ſes Eſtats, & composé vne armée digne de ſon courage, il s’embarque & nauige en telle ſorte, qu’en peu de temps il arriue à Rhodes.	Après donc qu'il eut assemblé le meilleur de ses États, et composé une armée digne de son courage, il s'embarque et navige en telle sorte, qu'en peu de temps il arrive à Rhodes.
Foulques auoit eſté deſia repouſsé cinq ou ſix fois, & auec des pertes incomparables.	Foulques avait été déjà repoussé cinq ou six fois, et avec des pertes incomparables.
On peut doncques s’imag ner, quelle ioye il receut de voir à ſon ſecours vn Prince le plus genereux, don l’hiſtoire euſt encore parlé, & nommément ſur le poinct que ſes affaires eſtoiẽt deſeſperez, & qu’il ſe voyoit contraint de leuer honteuſement le ſiege.	On peut donc s'imag ner, quelle joie il reçut de voir à son secours un Prince le plus généreux, donc l'histoire eût encore parlé, et nommément sur le point que ses affaires étaient désespérez, et qu'il se voyait contraint de leuver honteusement le siège.
Toute la Chreſtiẽté en paſliſſoit:	Toute la Chrétienté en plissait:
& de faict, ſans les hauts faicts de guerre de ce Prince, ie ne ſçay ce qu’il en ſeroit maintenant.	et de fait, sans les hauts faits de guerre de ce Prince, tu ne sais ce qu'il en serait maintenant.
Othoman eſtoit vn torrent, qui entrainoit tout ce qu’il trouuoit deuant ſoy;	Othoman était un torrent, qui entraînait tout ce qu'il trouvait devant soi;
ou pluſtoſt vn foudre, qui briſoit ce qui reſiſtoit le plus.	ou plutôt un foudre, qui brisait ce qui résistait le plus.
Mais en fin comme Dieu ſe laſſe de voir touſiours proſperer le meſchant, il luy oppoſe le plus vaillant Prince de ſon aage & du paſsé:	Mais en fin comme Dieu se lasse de voir toujours prospérer le méchant, il était oppose le plus vaillant Prince de son âge et du passé:
l’effect le monſtra bientoſt.	l'effet le montra bientôt.
Apres qu’il fut arriué, Foulques luy voulut à l’inſtant deferer la ſupreme authorité:	Après qu'il fut arrivé, Foulques était voulut à l'instant déférer la suprême autorité:
ce qu’il ne voulut accepter:	ce qu'il ne voulut accepter:
ains ſe contenta de combatre en ſoldat, le ſuppliant de vouloir ſeulement commander, & de ne ſe commettre plus aux hazards ordinaires, qui arriuent aux combats.	ains se contenta de combattre en soldat, le suppliant de vouloir seulement commander, et de ne se commettre plus aux hasards ordinaires, qui arrivent aux combats.
A quoy Foulques ne voulut entendre.	À quoi Foulques ne voulut entendre.
On recommence doncques auec de nouueaux courages, & auec de nouuelles forces, à vouloir aſſaillir la ville.	On recommence doncques avec de nouveaux courages, et auec de nouvelles forces, à vouloir assaillir la ville.
Othoman le preuient;	Othoman le prévient;
il fait de grandes ſorties:	il fait de grandes sorties:
mais il trouue ſi bien à qui parler, qu’il ne peut croire, que le Chef du ſecours ne ſoit vn ſecond Hercule.	mais il trouve si bien à qui parler, qu'il ne peut croire, que le Chef du secours ne soit un second Hercule.
A la fin Foulques meurt au combat, laiſſant des preuues memorables de ſon courage:	À la fin Foulques meurt au combat, laissant des preuves mémorables de son courage:
ce Prince le pleure, & apres l’auoir pleuré ſe reueſt de ſes armes, de peur que l’ennemy ne recogneuſt ceſt accident:	ce Prince le pleure, et après l'avoir pleuré se revêt de ses armes, de peur que l'ennemi ne reconnut ce accident:
puis commanda au Comte de Verruë, vn des plus grands Seigneurs de ſes Eſtats, & des plus genereux courages du monde, de ſe reueſtir des ſiennes.	puis commanda au Comte de Verrue, un des plus grands Seigneurs de ses États, et des plus généreux courages du monde, de se revêtir des siennes.
La mort ainſi cachée du grand Maiſtre, il commence à recharger le Barbare, & luy defait par deux, ou trois fois, le ſecours qu’il fait arriuer de tous coſtez.	La mort ainsi cachée du grand Maître, il commence à recharger le Barbare, et lui défait par deux, ou trois fois, le secours qu'il fait arriver de tous côtés.
A la fin il le fait reſoudre à ne faire plus de ſorties.	À la fin il le fait résoudre à ne faire plus de sorties.
Ce que cognoiſſant le Prince, il commence à donner des aſſauts à la ville ſi frequens & ſi rudes, qu’en fin il s’en rend le maiſtre, & met en fuite le Barbare, au grand coniouyſſement de toute la Chreſtienté.	Ce que connaissant le Prince, il commence à donner des assauts à la ville si fréquents et si rudes, qu'en fin il s'en rend le maître, et met en fuite le Barbare, au grand conjouissement de toute la Chrétienté.
Pour les accidens remarquables, qui ſuruindrent pendant le cours d’vn ſiege ſi memorable, ie les laiſſe à voir dans les Hiſtoires, ou dans la preſente piece, à ceux, qui ſeront curieux de voir le tout par le menu.	Pour les accidents remarquables, qui survindrent pendant le cours d'un siège si mémorable, Seigneur les laisse à voir dans les Histoires, ou dans la présente pièce, à ceux, qui seront curieux de voir le tout par le menu.
Au reſte, les Freres Hoſpitaliers ne voulans point que le Prince s’en retournaſt ſans auoir d’eux quelque choſe, en memoire du bien-faict, qu’ils auoient receu de luy, le prierent de porter ces quatre lettres, F.	Au reste, les Frères Hospitaliers ne voulans point que le Prince s'en retournât sans avoir d'eux quelque chose, en mémoire du bienfait, qu'ils avaient reçu de Seigneur, le prièrent de porter ces quatre lettres, F.
E.	E.
R.	R.
T.	T.
en ſes armes, qui veulent autant à dire en Latin, que Fortitudo eius Rhodum tenuit:	en ses armes, qui veulent autant à dire en Latin, que Fortitudo eius Rhodum tenuit:
c’eſt à dire, que ſa force a obtenu Rhodes.	c'est à dire, que sa force a obtenu Rhodes.
Ce Q ie ce grand Amé leur promit de faire:	Ce Q Roi ce grand Amé leur promit de faire:
d’où vient, que nous les voyons à l’entour de l’eſcu de ceſte ſi noble, ſi puiſſante, & ſi ancienne Maiſon.	d'où vient, que nous les voyons à l'entour de l'écu de cette si noble, si puissante, et si ancienne Maison.
N I LE PAR AME' QVATRIESME COMTE DE SAVOYE, SVR Cenonſan premer Empereur des Turcs.	 I LE PAR ÂME QUATRIÈME COMTE DE SAVOIE, SUR Cenonsan prêmer Empereur des Turcs.
ACTE PREMIER.	ACTE PREMIER.
SCENE PREMIERE.	SCÈNE PREMIÈRE.
OMBRE DE GERARD.	OMBRE DE GERARD.
Leide des Chreſtiens, Prince don t les loüanges	Lide des Chrétiens, Prince don t les louanges
Volent à tous momens aux pays plus eſtranges, Qu’attends-tu plus long-temps d’aßister nos autels, 12 D’accroistre le renom de tes faicts immortels?	Volent à tous moments aux pays plus étranges, Qu'attends-tu plus longtemps d'assister nos autels, 12 D'accroître le renom de tes faits immortels?
Pourſuis ſans differer ta louable entrepriſe, Et fais voir au beſoin ton courage à l’Egliſe.	Poursuis sans différer ta louable entreprise, Et fais voir au besoin ton courage à l'Église.
Elle attend ton ſecours, te prie à ioinctes mains, De vouloir l’affrãchir du monſtre des humains.	Elle attend ton secours, te prie à jointes mains, De vouloir l'affrãchir du monstre des humains.
5 Un Prince genereux ne ceſſe de pourſuyure 5 La gloire en tous endroits, tant qu’il ceſſe de viure.	5 Un Prince généreux ne cesse de poursuivre 5 La gloire en tous endroits, tant qu'il cesse de vivre.
16 H100 Jl s’en offre à ce coup vn tres-ample ſubject, Autre que toy ne peut accomplir ce proiect, Seul elle te cognoiſt de ceſt effect capable:	16 H10 Il s'en offre à ce coup très très-ample sujet, Autre que toi ne peut accomplir ce proiect, Seul elle te connaît de cet effet capable:
L’a donc la deliurer de ſa perte palpable.	L'a donc la délivrer de sa perte palpable.
Aggrandis ta maiſon deſia grande de ſoy, Et fais ce que ne peut autre Prince que toy.	Aggrandis ta maison déjà grande de soi, Et fais ce que ne peut autre Prince que toi.
Ainſi par ceſt exploict ta belle renommée Se va renouuellant par le monde ſemée:	Ainsi par cet exploit ta belle renommée Se va renouvelant par le monde semée:
Ainſi plus que iamais ta ſublime grandeur Se va multipliant en nouuelle ſplendeur:	Ainsi plus que jamais ta sublime grandeur Se va multipliant en nouvelle splendeur:
Ainſi tu vas fleſtrir les lauriers magnifiques Du plus grand des guerriers par tes faicts heroiques:	Ainsi tu vas flétrir les lauriers magnifiques Du plus grand des guerriers par tes faits héroïques:
Ainſi Dieu, qui du Ciel nous regarde touſiours, Augmente pour guerdon le nombre de tes iours.	Ainsi Dieu, qui du Ciel nous regarde toujours, Augmente pour guerdon le nombre de tes jours.
Othoman dechaſsé de Rhodes qu’il poſſede, Hercule tout ſoudain ſa loüange te cede:	Othoman déchassé de Rhodes qu'il possède, Hercule tout soudain sa louange te cède:
Tu t’obliges ainſi le reste des Chreſtiens, Outre le grand honneur qu’en receurõt les tiens:	Tu t'obliges ainsi le reste des Chrétiens, Outre le grand honneur qu'en reçut les tiens:
