mniluil du Prveuca duxcer.	mniluil du Préveuca duxcer.
Je ne fais point faire de marché à vie, c’eſt un métier trop perilleux.	Je ne fais point faire de marché à vie, c'est un métier trop périlleux.
Une mile cre dile murchanarre qu'on he ſçauroit garantir, & l’on n’en a pas plutoſt fait l’emplette, qu’on voudroit en eſtre défait a moitié de perte.	Une mile cre dile murchanarre qu'on hé saurait garantir, et l'on n'en a pas plutôt fait l'emplette, qu'on voudrait en être défait à moitié de perte.
MARINE.	MARINE.
Ouy, mais ceux qui font des mariages ne s’embaraſſent guere du ſuecés;	Oui, mais ceux qui font des mariages ne s'embarrassent guère du suecés;
& quand ils ont receu leur pot de vin, & que le poiſſon eſt dans la naſſe, ſauve qui peut.	et quand ils ont reçu leur pot de vin, et que le poisson est dans la nasse, sauve qui peut.
Vous connoiſſez du moins l’homme qu’on iuy deſtine, puiſque vous luy avez vendu un colier.	Vous connaissez du moins l'homme qu'on jui destine, puisque vous lui avez vendu un colier.
Mr MATHIEU.	Mr MATHIEU.
Je vay le luy livrer, & en recevoir de l’argent.	Je vais le Seigneur livrer, et en recevoir de l'argent.
MARINE.	MARINE.
Ce n'eit pas la ce que je demandt, quel homme eſt-ce?	Ce n'éit pas la ce que je demandt, quel homme est-ce?
Mr MATHIEU.	Mr MATHIEU.
C’eſt un fort honneſte homme, fort riche, fort vieux, & fort gouteux.	C'est un fort honnête homme, fort riche, fort vieux, et fort goûteux.
MARINE.	MARINE.
Que la peſte te créve.	Que la peste te crève.
Mr MATHIEU.	Mr MATHIEU.
Sa figure n’eſt peut eſtre pas des plus ragoutantes;	Sa figure n'est peut être pas des plus ragoutantes;
mais comme vous ſçavez entre l’utile & l’agreable, il n’y a pas à balancer.	mais comme vous savez entre l'utile et l'agréable, il n'y a pas à balancer.
MARINE.	MARINE.
Ouy pour des ladres comme vous, qui ne connoiſſent d’autre bon-heur que celuy d’amaſſer du bien, & de faire travailler leur argent à gros, & tres gros intereſt:	Oui pour des ladres comme vous, qui ne connaissent d'autre bonheur que celui d'amasser du bien, et de faire travailler leur argent à gros, et très gros intérêt:
mais pour une jeune perſonne, comme Leonore, qui cherche à paſſer ſes jours dans le plaiſir, vous trouverez bon, s’il vous plaiſt, vous & Madame ſa mere, qu’elle préfere l’agreable à l’utile, & que moy de mon coſté je faſſe tout mon poſſible pour rompre un mariage auſſi biſcornu que celuy-là.	mais pour une jeune personne, comme Leonore, qui cherche à passer ses jours dans le plaisir, vous trouverez bon, s'il vous plaît, vous et Madame sa mère, qu'elle préfère l'agréable à l'utile, et que moi de mon côté je fasse tout mon possible pour rompre un mariage aussi biscornu que celui-là.
Mr MATHIEU.	Mr MATHIEU.
Helas ma pauvre enfant, romps, caſſe, briſe le mariage en mille pieces , je m’en ſoucie comme de cela.	Hélas ma pauvre enfant, romps, casse, brise le mariage en mille pièces , je m'en soucie comme de cela.
Je t’aideray meſme en cuy de beton, pourveu que tume faſſes payer de mes peines un peu graſſement.	Je t'aiderai même en celui de béton, pourvu que tume fasses payer de mes peines un peu grassement.
MARINE.	MARINE.
Un peu graſſement!	Un peu grassement!
Eh mort de ma vie n’eſtes-vous pas déja aſſez gras?	Eh mort de ma vie n'êtes-vous pas déjà assez gras?
allez, vous devriez mourir de honte d’avoir une face qui a pour le moins deux aunes de tour.	allez, vous devriez mourir de honte d'avoir une face qui a pour le moins deux aunes de tour.
Mr MATHIEU.	Mr MATHIEU.
Marine eſt toujours railleuſe;	Marine est toujours railleuse;
mais je ne ſonge pas que mon homme m’attend.	mais je ne songe pas que mon homme m'attend.
Il veut donner tantoſt une Serenade à ſa Maîtreſſe, Muſiciens & fille de chambre ont volontiers commerce enſemble, n’y en a-t’il point quelqu’un de tes amis a qui tu voulusiane gagner cet argent la?	Il veut donner tantôt une Serenade à sa Maîtresse, Musiciens et fille de chambre ont volontiers commerce ensemble, n'y en a-t-il point quelqu'un de tes amis à qui tu voulusiane gagner cet argent la?
MARINE.	MARINE.
Qu’il aille au diable avec ſa Serenade.	Qu'il aille au diable avec sa Sérenade.
Je vay ſonger à luy donner l’aubade moy.	Je vais songer à lui donner l'aubade moi.
Mr MATHIEU.	Mr MATHIEU.
Ce mariage te met de mauvaiſe humeur.	Ce mariage te met de mauvaise humeur.
Je voudrois bien reſter plus long-temps avec toy, je ne m’y ennuye jamais.	Je voudrais bien rester plus longtemps avec toi, je ne m'y ennuie jamais.
MARINE.	MARINE.
Et moy je m’y ennuye toujours.	Et moi je m'y ennuie toujours.
Adieu.	Adieu.
Mr MATHIEU.	Mr MATHIEU.
MARINE ſeule.	MARINE seule.
Je prie le Ciel qu’il te conduiſe, & que tu te puiſſe caſſer le cou.	Je prie le Ciel qu'il te conduise, et que tu te puisse casser le cou.
Il n’y auroit pas grand mal quand tous ces maquignons de mariages là ſeroient au fond de la riviere avec une bonne pierre au cou.	Il n'y aurait pas grand mal quand tous ces maquignons de mariages là seraient au fond de la riviere a une bonne ure au cou.
Que je plains le pauvre Valere, il ne ſçait pas ſon malheur.	Que je plains le pauvre Valère, il ne sait pas son malheur.
J’ay une lettre à luy rendre de la pait de ma ihaitrene.	J'ai une lettre à lui rendre de la paît de ma jhaitrène.
voicy ion valet à propos.	voici ion valet à propos.
SCENE II.	SCÈNE II.
SCAPIN, MARINE.	SACPIN, MARINE.
SCAPIN.	SACPIN.
On jour ma charmante.	On jour ma charmante.
MARINE.	MARINE.
Bon jour mon adorable.	Bon jour mon adorable.
CAPIN.	CAPIN.
Comment ſe porte ta Maîtreſſe.	Comment se porte ta Maîtresse.
Mal.	Mal.
MARINE.	MARINE.
SCAPIN.	SACPIN.
Il y a toujours quelque choſe à refairẽ aux filles.	Il y a toujours quelque chose à refairẽ aux filles.
MARINE.	MARINE.
Et ton Maître?	Et ton Maître?
SCAPIN.	SACPIN.
Il le portéroit aſſez bien s’il avoit un peu plus d’argent.	Il le porterait assez bien s'il avait un peu plus d'argent.
MARINE.	MARINE.
Je n’ay jamais connu un Gentilhomme plus gueux que celuy-là.	Je n'ai jamais connu un Gentilhomme plus gueux que celui-là.
CAPIN.	CAPIN.
Monſieur Grifon, ſon pere, eſt bien riche, maisil eit bien ladre.	Monsieur Grifon, son père, est bien riche, maisil eit bien ladre.
MARINE.	MARINE.
Nous nous en apercevons.	Nous nous en apercevons.
SCAPIN.	SACPIN.
Tel que tu me vois, je ſers mon Maître ſans gages & incognito.	Tel que tu me vois, je sers mon Maître sans gages et incognito.
MARINE.	MARINE.
Comment incognito?	Comment incognito?
CAPIN.	CAPIN.
Ouy, Monſieur Grifon ne ſçait pas que ſon fils a l’honneur d’eſtre à moy, il ne me connoiſt pas meſme, je loge en ville, & je vis d’emprunt.	Oui, Monsieur Grifon ne sçait pas que son fils a l'honneur d'être à moi, il ne me connaît pas même, je loge en ville, et je vis d'emprunt.
MARINE.	MARINE.
Tu fais ſouvent mauvaiſe chere.	Tu fais souvent mauvaise chère.
APIN.	APIN.
Aſſez.	Assez.
Cela n’empeſche pas que je ne notirinle queijuelbis mon Maître quand ileſt mal avec ſon Pere.	Cela n'empêche pas que je ne notirinle queijuelbis mon Maître quand ilest mal avec son Père.
AMTINE.	AMTINE.
Voila un beau ménage.	Voilà un beau ménage.
SCAPIN.	SACPIN.
Hé dis moi un peu.	Hé dis -moi un peu.
MARINE.	MARINE.
Je n’ay rien à te dire.	Je n'ai rien à te dire.
Tien, rends cette lettre là à ton maître,	Tiens, rends cette lettre là à ton maître,
TTIN.	TTIN.
Comme tu fais Marine, regarde-moy un peu.	Comme tu fais Marine, regarde-moi un peu.
MARINE.	MARINE.
Hé bien que me veux-tu?	Hé bien que me veux-tu?
AP IN.	AP IN.
Vous plairoit-il ſeulement, ô beauté Leuparue ?	Vous plairait-il seulement, ô beauté Leuparue ?
me dire le contend de cette lettre.	me dire le compend de cette lettre.
MARINE.	MARINE.
Je n’ay pas le temps.	Je n'ai pas le temps.
N.	N.
Tu me romps ſi ſouvent la teſte de ton babil, quand je te prie de ne dire mot.	Tu me romps si souvent la tête de ton babil, quand je te prie de ne dire mot.
MARINE.	MARINE.
J’aime à faire le contraire de ce qu’on ſouhaite.	J'aime à faire le contraire de ce qu'on souhaite.
APIN.	APIN.
Le beau naturel!	Le beau naturel!
je te prie donc de té taire Marine, c’eſt le moyen de te faire parler.	je te prie donc de té taire Marine, c'est le moyen de te faire parler.
MARINE.	MARINE.
Je parleray s’il me plaiſt.	Je parlerai s'il me plaît.
CAPIN.	CAPIN.
Et tant qu’il te plaira.	Et tant qu'il te plaira.
MARINE.	MARINE.
Et me tairay ſi je veux.	Et me tairai si je veux.
e dlEllis Dis ſi tu peux mon enfant cela eſt difficile.	 élÉllis Dis si tu peux mon enfant cela est difficile.
MARINE.	MARINE.
Mais voyez cet animal qui veut m’empêcher de parler.	Mais voyez cet animal qui veut m'empêcher de parler.
SCAPIN.	SACPIN.
ye day oaider	ie dai oaider
MARINE.	MARINE.
vona encore un plaiant vnlage pour fermer la bouche à une femme.	vona encore un plaiant vnlage pour fermer la bouche à une femme.
Fort bien.	Fort bien.
SCAPIN.	SACPIN.
MARINE.	MARINE.
Fcycoy;	Fcicoi;
ay ton pete, ny ta mere, ny toute ta peſte de generation ne me feroit pas rabattre une ſil labe.	ai ton pete, ni ta mère, Seigneur toute ta peste de génération ne me ferait pas rabattre une sil labe.
CAPIN.	CAPIN.
Qu’elle eſt agreable.	Qu'elle est agréable.
MARINE.	MARINE.
Quand on parle bien on ne parle jamais trop.	Quand on parle bien on ne parle jamais trop.
Cnil Ala Tu ne devrois pas parler ſouvent.	Cnil Ala Tu ne devrais pas parler souvent.
MARINE.	MARINE.
Va, va, quand je leray morte je me tairay aſſez.	Va, va, quand je lerai morte je me tairai assez.
CAPIN.	CAPIN.
Jamais tant que tu auras parlé.	Jamais tant que tu auras parlé.
dli ni le la es Tu voudrois donc ſçavoir le contenu de la lettre.	dli ni le la es Lu voudrais donc sçavoir le contenu de la lettre.
APIN, Moy, point du tout, je ne veux rien ſçavoir.	APIN, Moi, point du tout, je ne veux rien savoir.
MARINE & SCAPIN parlent enſemble.	MARINE et SCAPIN parlent ensemble.
MARINE.	MARINE.
Oh tu ſçauras pourtant malgré que tu en ayes, que ma maîtreſſe ſe marie aujourd’huy avec un homme qu’elle n’a jamais veu, que ſa mere a terminé l’affaire, qu’elle prie Valere.	Oh tu sauras pourtant malgré que tu en aises, que ma maîtresse se marie aujourd'hui avec un homme qu'elle n'a jamais vu, que sa mère a terminé l'affaire, qu'elle prie Valere.
Que la peſte te créve, adieu.	Que la peste te crève, adieu.
CAPIN.	CAPIN.
Oh tu auras menti, & il ne ſera pas dit que tu me feras entendre malgré moy.	Oh tu auras menti, et il ne sera pas dit que tu me feras entendre malgré moi.
Je ne veux rien ſçavoir, laiſſe-moy en repos, garde tes nouvelles pour un autre.	Je ne veux rien savoir, laisse-moi en repos, garde tes nouvelles pour un autre.
Le diable puiſſe t’étrangler, adieu.	Le diable puisse -tétrangler, adieu.
SCENE III	SCÈNE III
SCAPIN ſeul.	SACPIN seul.
Ar ma foy c’eſt une charmante choſe I qu’une femme!	Ar ma foi c'est une charmante chose I J'une femme!
quelle docilité d’eſprit?	quelle docilité d'esprit?
quelle complaiſance?	quelle complaisance?
Voila une des plus raiſonnables que je connoiſſe.	Voilà une des plus raisonnables que je connaisse.
Mais je m’amuſe icy, & je dois aller promptement porter cette lettre à mon maître, car il eſt diablement amoureux, qui dit ainoureun, uit mipatient, & qui dit impatient, ſupoſe un homme qui a plûtôt donné un coup de pied au cul que le bon jour;	Mais je m'amuse ici, et je dois aller promptement porter cette lettre à mon maître, car il est diablement amoureux, qui dit ainoureun, uit mipatient, et qui dit impatient, supose un homme qui a plutôt donné un coup de pied au cul que le bon jour;
mais le voila.	mais le voilà.
SCENE IV.	SCÈNE IV.
VALERE, SCAPIN.	VALÈRE, SCAPIN.
VALERE.	VALÈRE.
E' bien Scapin, aprens-moy des nouI Ivelles de Leonore, l’as-tu veuë?	E' bien Scapin, apprends-moi des nouvI Ivelles de Leonore, l'as-tu vue?
que t’a dit Marine?	que t'a dit Marine?
APIN.	APIN.
Marine rien du tout.	Marine rien du tout.
C’eſt une fille dont on ne ſçauroit tirer une parole.	C'est une fille dont on ne saurait tirer une parole.
V ALERE.	V ALÈRE.
Marine ne t’a rien dit, & elle qui parle tant.	Marine ne t'a rien dit, et elle qui parle tant.
APIN.	APIN.
C’eſt juſtement ce qui fait qu’elle ne dit rien ;	C'est justement ce qui fait qu'elle ne dit rien ;
mais tout ce que j’ay pû comprendre de la volubiliré de ſon diſcours, c’eſt qu’il faut renoncer à Leonore;	mais tout ce que j'ai pu comprendre de la volubiliré de son discours, c'est qu'il faut renoncer à Leonore;
& le pis que j’y trouve, c’eſt que nous n’avons pas un ſou pour nous en conſoler.	et le pis que j'y trouve, c'est que nous n'avons pas un sou pour nous en consoler.
A LERE.	À LERE.
Quoy, que dis-tu?	Quoi, que dis-tu?
parle, explique-toy.	parle, explique-toi.
Renoncer à Leonore.	Renoncer à Leonore.
CAPIN.	CAPIN.
Ouy Monſieur.	Oui Monsieur.
VALERE.	VALÈRE.
Et Marine ne t’a point dit la cauſe de ſon refroidiſſement.	Et Marine ne t'a point dit la cause de son refroidissement.
TFIN.	TFIN.
Non Monſieur.	Non Monsieur.
VALERE.	VALÈRE.
Quoy tu n’as pû penetrer.	Quoi tu n'as pu pénétrer.
APIN.	APIN.
Oh Monſieur, Marine eſt une fille impemetrumiere	Oh Monsieur, Marine est une fille impemetrumiere
V ALERE.	V ALÈRE.
Que je ſuis malheureux.	Que je suis malheureux.
CAPIN.	CAPIN.
Elle m’a ſeulement donné une petite lettce qui vous expliquera peut-eſtte mieux la choſe.	Elle m'a seulement donné une petite lettce qui vous expliquera peut-estte mieux la chose.
VALERE.	VALÈRE.
Eh donne donc, maraut, donne donc.	Eh donne donc, maraud, donne donc.
Il lit.	Il lit.
Si vous m’aimez autant que je vous aime, nous ſommes les plus malheureuſes perſonnes du monde.	Si vous m'aimez autant que je vous aime, nous sommes les plus malheureuses personnes du monde.
Ma mere pretend me marier à un homme que je ne connois point.	Ma mère prétend me marier à un homme que je ne connais point.
Dét ournez le malheur qui nous menace, & ſoyez certain que je choiſiray plutoſt la mort, que d’eſtre jamais à d’autres qu’à vous.	Det ournez le malheur qui nous menace, et soyez certain que je choisirai plutôt la mort, que d'être jamais à d'autres qu'à vous.
Scapin!	Scapin!
SCAPIN.	SACPIN.
Monſieur.	Monsieur.
SCAPIN.	SACPIN.
TALERE.	TALÈRE.
Que dis-tu de cette lettre-là?	Que dis-tu de cette lettre-là?
APIN.	APIN.
je dis, Monſſeur, que ce n’eit pas là une lettre de change.	je dis, Monsieur, que ce n'éit pas là une lettre de change.
ALERE.	ALÈRE.
Et je me laiſſeray enlever Leonore?	Et je me laisserai enlever Leonore?
non, non Scapin, à quelque prix que ce ſoit il faut empeſcher.	non, non Scapin, à quelque prix que ce soit il faut empêcher.
N.	N.
Monſieur, le Ciel m’a donné des talens merveilleux pour faire des mariages;	Monsieur, le Ciel m'a donné des talents merveilleux pour faire des mariages;
& je puis dire, ſans vanité, qu’il n’y a guere de jour qu’il ne m’en paſſe quelqu’un par les mains.	et je puis dire, sans vanité, qu'il n'y a guère de jour qu'il ne m'en passe quelqu'un par les mains.
J’en aymeſme ébauché plus de mmle enma vie qui nont jamais eſte achevez;	J'en aymesme ébauché plus de mémle enma vie qui nont jamais este achevez;
mais j’aime trop la propagation de l’eſpece pour avoir le courage d’en rompre aucun.	mais j'aime trop la propagation de l'espèce pour avoir le courage d'en rompre aucun.
VALERE.	VALÈRE.
Que tu fais mal-à-propos le mauvais plaiſant.	Que tu fais mal-à-propos le mauvais plaisant.
Il faut.	Il faut.
CAPIN.	CAPIN.
Paix, voicy voſtre pere, le vilain uſurier qui nous vendit ſi cher l’argent l’année paſſée eſt avec luy.	Paix, voici votre père, le vil usurier qui nous vendit si cher l'argent l'année passée est avec mieux.
VALERE.	VALÈRE.
Vient il luy demander te que je luy dois.	Vient il lui demander te que je lui dois.
CAPIN.	CAPIN.
I ieront mal adrene, ecoutons.	I jeront mal adrène, écoutons.
SCENE V.	SCÈNE V.
RIl GRIFON,MrMATHIEU, VALERE, SCAPIN.	RIl GRISON,MATHIEU, VALÈRE, SCAPIN.
MrGRIFON.	MrGRIFON.
E vous donnay il y a huit jours un ſac de mille francs à faire valoir dont j’ay voſtre billet Monſieur Mathieu.	E vous donnai il y a huit jours un sac de mille francs à faire valoir dont j'ai votre billet Monsieur Mathieu.
Mr MATHIEU.	Mr MATHIEU.
Cela eſt vray Monſieur Grifon.	Cela est vrai Monsieur Grifon.
LAPIN.	LAPIN.
Le bon homme negocie avec les uſuriers auſſi bien que nous, mais ce n’eſt pas de la meſme maniere.	Le bon homme négocie avec les usuriers aussi bien que nous, mais ce n'est pas de la même manière.
Mr GRIFON.	Mr GRISON.
Nous ſommes convenus à trois mille huit cens livres, ce ſont encore deux cens Louis qu’il faut vous donner pour le colier Monſieur Mathieu.	Nous sommes convenus à trois mille huit cens livres, ce sont encore deux cents Louis qu'il faut vous donner pour le colier Monsieur Mathieu.
Mr MATHIEU.	Mr MATHIEU.
Ouy Monſieur Grifon.	Oui Monsieur Grifon.
SCAPIN.	SACPIN.
Cela nous accommoderoit bien	Cela nous accommoderait bien
d nEE IeEo Paix, tay toy.	dE nE JeE Paix, tai toi.
Mr GRIFON.	Mr GRISON.
Paſſez tantoſt chez moy, ou envoyez-y quelqu’un de voſtre part, avec un billet de voſtre main, cela ſuffira;	Passez tantôt chez moi, ou envoyez-y quelqu'un de votre part, avec un billet de votre main, cela suffira;
c’eſt de l’argent comptant Monſieur Mathieu.	c'est de l'argent comptant Monsieur Mathieu.
Rle MIIIIIIEO.	Rle MIIIIIEO.
Je n’en ſuis point en peine, & je vous laiſſe le colier Monſieur Grifon.	Je n'en suis point en peine, et je vous laisse le collier Monsieur Grifon.
APIN.	APIN.
Un colier de trois mille huit cens livres, le friant morceau.	Un colier de trois mille huit cens livres, le friant morceau.
SCENE VI.	SCÈNE VI.
Mr GRIFON, VALERE, SCAPIN.	Mr GRISON, VALÈRE, SCAPIN.
Mr GRIFON.	Mr GRISON.
H vous voila, mon fils, que faites- A vous là?	H vous voilà, mon fils, que faites- A vous là?
y a-t’il long-temps que vous y eſtes.	y a-t-il longtemps que vous y êtes.
VALERE.	VALÈRE.
Je ne fais que d’arriver.	Je ne fais que d'arriver.
Mr GRIFON.	Mr GRISON.
Qui eſt cet homme là?	Qui est cet homme là?
TALERE.	TALÈRE.
C’eſt mon pere.	C'est mon père.
Mr GRIFON.	Mr GRISON.
Quoy!	Quoi!
c’eſt,	c'est,
VALERE.	VALÈRE.
Un Muſicien de l’Opera.	Un Musicien de l'Opéra.
Mr GRIFON.	Mr GRISON.
hraurvane connomanee qu'ui Muſicien de l’Opera, ils meinent les gens au cabaret, & il faut toujours payer pour eux.	hraurane connomane qu'hui Musicien de l'Opera, ils meinent les gens au cabaret, et il faut toujours payer pour eux.
CAPIN.	CAPIN.
Dequoy diantre vous aviſez-vous de me faire Muſicien?	Dequoy diantre vous avisez-vous de me faire Musicien?
j’aimerois mieux eſtre toute autre choſe.	j'aimerais mieux être toute autre chose.
Tay toy.	Tais -toi.
VALERE.	VALÈRE.
Mr GRIFON.	Mr GRISON.
O ç’a mon fils j’ay une nouvelle à vous apprendre, la preſence du Muſicien ne gâtera rien, & peut-eſtre pourra-t’il nous Piule dulles,	Ô ç'a mon fils j'ai une nouvelle à vous apprendre, la présence du Musicien ne gâtera rien, et peut-être pourra-t-il nous Pivle dulles,
CAPIN.	CAPIN.
Voſtre imagination m’a fait Muſicien par hazard, vous verrez qu’il faudra que je le devienne par neceſſité.	Votre imagination m'a fait Musicien par hasard, vous verrez qu'il faudra que je le devienne par nécessité.
Mr GRIFON.	Mr GRISON.
Je vais me marier.	Je vais me marier.
VALERE.	VALÈRE.
Vous marier, vous mon pere.	Vous marier, vous mon père.
MTARITON.	MTARITON.
Moy-meſme en propre perſonne.	Moi-même en propre personne.
APIN.	APIN.
Je ne m’attendois pas à celuy-là.	Je ne m'attendais pas à celui-là.
Mr GKTFON.	Mr GKTFON.
Que dit Monſieur le Muſicien.	Que dit Monsieur le Musicien.
CAPIN.	CAPIN.
Je ne puis que vous loüer Monſieur, de former une entrepriſe ſi hardie.	Je ne puis que vous louer Monsieur, de former une entreprise si hardie.
Vous avez eu le bon-heur d’enterrer une premiere femme, vous hazardez d’en prendre une ſeconde, le peril ne vous rebute point, cela eſt fier, cela eſt grand, cela eſt heroïque;	Vous avez eu le bonheur d'enterrer une première femme, vous hasardez d'en prendre une seconde, le péril ne vous rebute point, cela est fier, cela est grand, cela est héroïque;
& pour ma part, je n’ay garde de manquer d'aplauun à une ſelolution auſſi genereuſe que la voſtre.	et pour ma part, je n'ai garde de manquer d'applavun à une selolution aussi généreuse que la vôtre.
Mr GRIFON.	Mr GRISON.
Voila un joly garçon.	Voilà un joli garçon.
ALERE.	ALÈRE.
Ce que j’en ay dit, mon pere, n’eſt que par l’intereſt que je prens à voſtre ſanté.	Ce que j'en ai dit, mon père, n'est que par l'intérêt que je prends à votre santé.
Mr GRIFON.	Mr GRISON.
Ne t’en mets point en peine, ce ſont mes affaires.	Ne t'en mets point en peine, ce sont mes affaires.
CAPIN.	CAPIN.
Ouy Monſieur, que Monſieur voſtre pere vous donne ſeulement une belle-mere bien faite, belle, jeune, & laiſſez-le faire vouo leten tury qu'i le toit temarié ſur ma parole.	Oui Monsieur, que Monsieur votre père vous donne seulement une belle-mère bien faite, belle, jeune, et laissez-le faire vouo leten turi qu'y le toit temarié sur ma parole.
Mr GRIFON.	Mr GRISON.
Oh je ſuis ſeur qu’il en ſera content.	Oh je suis sûr qu'il en sera content.
C’eſt une fille à qui il ne manque rien.	C'est une fille à qui il ne manque rien.
Ce que je voudrois de vous maintenant Monſieur de l’Opera, ce ſeroit que vous m’aidaſſiez à donner une petite Serenade à ma Maîtreſſe.	Ce que je voudrais de vous maintenant Monsieur de l'Opéra, ce serait que vous m'aidassiez à donner une petite Sérenade à ma Maîtresse.
CAPIN.	CAPIN.
Une Serenade, dites-vous.	Une Serenade, dites-vous.
Vous ne pouvez mieux vous adreſſer qu’à moy.	Vous ne pouvez mieux vous adresser qu'à moi.
Muſique Italienne, Hrançoiſe, je ſuis un homme à deux mains.	Musique Italienne, Hrançoise, je suis un homme à deux mains.
Mr GRIFON.	Mr GRISON.
Tout de bon.	Tout de bon.
CAPIN.	CAPIN.
Demandez à Monſieur voſtre fils.	Demandez à Monsieur votre fils.
Je ſuis le premier homme du monde pour les Serenades, il m’en doit encore deux ou trois.	Je suis le premier homme du monde pour les Sérénades, il m'en doit encore deux ou trois.
VALERE.	VALÈRE.
Ouy mon pere.	Oui mon père.
CAPIN.	CAPIN.
Ce n’eſt pas pour me vanter, mais en cas de Chanteurs ſimphoniſtes, Violiſtes, Theorbiſtes, Claveſſiniſtes, Operas, Operateurs, Operatrices.	Ce n'est pas pour me vanter, mais en cas de Chanteurs symphonistes, Violistes, Theorbistes, Clavessinistes, Ôpéras, Opérateurs, Opératrices.
Madeloniſtes, Catiniſtes, Margotiſtes ſi difficiles qu’elles ſoient, j’ay tout cela dans ma manche.	Madelonistes, Catinistes, Margotistes si difficiles qu'elles soient, j'ai tout cela dans ma manche.
Mr GRIFON.	Mr GRISON.
Je vouurois une serenade a bon marché.	Je vourais une sérénade a bon marché.
CAPIN.	CAPIN.
Je ménageray voſtre bourſe, ne vous mettez pas en peine.	Je ménagerai votre bourse, ne vous mettez pas en peine.
