A R 1.	À R 1.
Je borne là l’ambition de mes ſouhaits;	Je borne là l'ambition de mes souhaits;
& je croi qu’en quelque façon ce n'eſt pas être inutile à la Francé, que de contribuer quelque choſe au divertißement de ſon Roi.	et je crois qu'en quelque façon ce n'est pas être inutile à la Francé, que de contribuer quelque chose au divertissement de son Roi.
Quand je n'y reüſſirai pas, ce ne ſera jamais par un defaut de zele, ni d’étude;	Quand je n'y réussirai pas, ce ne sera jamais par un défaut de zèle, ni d'étude;
mais ſeulement par un mauvais deſtin, qui ſuit aſſez ſouvent les meilleures intentions, qui ſans doute affligeroit ſenſiblement,	mais seulement par un mauvais destin, qui suit assez souvent les meilleures intentions, qui sans doute affligerait sensiblement,
IRE, De Vôtre Majeſté,	IRE, De Votre Majesté,
Le tres-humble, tres-obeïſſant, & tres-fidelle ſerviteur & ſujet,	Le très-humble, très-obeïssant, et très-fidelle serviteur et sujet,
B.	B.
P.	P.
DE MOLIERE.	DE MOLIÈRE.
AO	ÀO
AU LECTEUR.	AU LECTEUR.
R AMAIS entrepriſe au Theatre ne fut ſi precipitée que celle-ci;	R AMAIS entreprise au Théâtre ne fut si précipitée que celle-cy;
& or c’eſt une choſe, je croi.	et or c'est une chose, je crois.
toute nouvelle, qu’une Comedie ait eſté conçuë, faite, appriſe, & repreſentée en quinze jours.	toute nouvelle, qu'une Comédie ait été conçue, faite, apprise, et représentée en quinze jours.
Je ne dis pas cela pour me piquer de l’imprompiu, & en pretendre de la gloire;	Je ne dis pas cela pour me piquer de l'imprompiv, et en prétendre de la gloire;
mais ſeulement pour prevenir certaines gens, qui pourroient trouver à redire, queje n’aie pas mis ici toutes les eſpeces de Fâcheux, qui ſe trouvent.	mais seulement pour prévenir certes gens, qui pourraient trouver à redire, queje n'aie pas mis ici toutes les espèces de Fâcheux, qui se trouvent.
Je ſçai que le nombre en eſt grand, & à la Cour, & dans la Ville, & que ſans Epiſodes, j’euſſe bien pû en compoſer une Comedie de cinq Actes bien fournis & avoir encor de la matiere de reſte.	Je sais que le nombre en est grand, et à la Cour, et dans la Ville, et que sans Épisodes, j'eusse bien pu en composer une Comédie de cinq Actes bien fournis et avoir encor de la matière de reste.
Mais dans le peu de temps qui me fut donné, il m’étoit impoſſible de faire un grand deſſein, & de rêver beaucoup ſur le choix de mes Perſonnages, & ſur la diſpoſition de mon ſujet.	Mais dans le peu de temps qui me fut donné, il m'était impossible de faire un grand dessein, et de rêver beaucoup sur le choix de mes Personnages, et sur la disposition de mon sujet.
Je me reduiſis donc à ne toucher qu’un petit nombre d’Importuns;	Je me réduis donc à ne toucher qu'un petit nombre d'Importuns;
& je pris ceux qui s’offrirent d’abord à mon eſprit, & que je crus les plus propres à réjoüir les auguſtes perſonnes devant qui j’avois à paroître;	et je pris ceux qui s'offrirent d'abord à mon esprit, et que je crus les plus propres à réjouir les augustes personnes devant qui j'avais à paraître;
& pour lier plomptement toutes ces choſes enſemble, je me ſervis du premier nœud que je pus trouver.	et pour lier plomptement toutes ces choses ensemble, je me servis du premier nœud que je pus trouver.
Ce n’eſt pas mon deſſein d’examiner maintenant ſi tout cela pouvoit étre mieux, & ſi tous ceux qui s’y ſont divertis, ont ri ſélon les regles:	Ce n'est pas mon dessein d'examiner maintenant si tout cela pouvait être mieux, et si tous ceux qui s'y sont divertis, ont ri selon les règles:
Le temps viendrà de faire imprimer mes remarques ſur les Pieces que j’aurai faites;	Le temps viendrà de faire imprimer mes remarques sur les Pièces que j'aurai faites;
& je ne deſeſpere pas de faire voir un jour, en grand Autheur, que je puis citer Ariſtote, & Horace.	et je ne désespère pas de faire voir un jour, en grand Auteur, que je puis citer Aristote, et Horace.
En attendant cet examen, qui peut-étre ne viendra point, je m’en remets aſſez aux deciſions de la multitude;	En attendant cet examen, qui peut-être ne viendra point, je m'en remets assez aux décisions de la multitude;
& je tiens auſſi difficile de combattre un Ouriape que le public approuve, que d’en deffendre un qu’il condamne.	et je tiens aussi difficile de combattre un Ouriape que le public approuve, que d'en défendre un qu'il condamne.
Il n’y a perſonne qui ne ſçache pour quelle réjoüiſſance la Piece fut compoſée, & cette fête a fait un tel éclat, qu’il n’eſt pas neceſſaire d’en parler;	Il n'y a personne qui ne sache pour quelle réjoüissance la Pièce fut composée, et cette fête a fait un tel éclat, qu'il n'est pas nécessaire d'en parler;
mais il ne ſera pas hors de propos de dire deux paroles des ornemens qu’on a melcz avce la comedie.	mais il ne sera pas hors de propos de dire deux paroles des ornements qu'on a melcès au la comédie.
Le deſſein étoit de donner un Ballet auſſi;	Le dessein était de donner un Ballet aussi;
& comme il n’y avoit qu’un petit nombre choiſi de Danceurs excellens, on fut contraint de ſeparer les Entrées de ce Ballet, & l’avis fut de les jetter dans les Entre-Actes de la Comedie, afin que ces intervalles donnaſſent temps aux mêmes Baladins de revenir ſous d’autres habits.	et comme il n'y avait qu'un petit nombre choisi de Danceurs excellents, on fut contraint de séparer les Entrées de ce Ballet, et l'avis fut de les jeter dans les Entre-Actes de la Comédie, afin que ces intervalles donnassent temps aux mêmes Baladins de revenir sous d'autres habits.
De ſorte que pour ne point rompre auſſi le fil de la Piece, par ces manieres d’intermedes, on s’aviſa de les coudre au ſujet du mieux que I’on pût, & de ne faire qu’une ſeule choſe du Ballet, & de la Comedie:	De sorte que pour ne point rompre aussi le fil de la Pièce, par ces manières d'intermèdes, on s'avisa de les coudre au sujet du mieux que J'on pût, et de ne faire qu'une seule chose du Ballet, et de la Comédie:
mais comme le temps étoit fort precipité, & que tout cela ne fut pas reglé entierement par une mê me tête, on trouyera peut-étre quelques endroits du Ballet, qui n’entrent pas dans la Comedie auſſi naturellement que d’autres.	mais comme le temps était fort précipité, et que tout cela ne fut pas réglé entièrement par une mêmes me tête, on trouiera peut-être quelques endroits du Ballet, qui n'entrent pas dans la Comédie aussi naturellement que d'autres.
Quoi qu’il en ſoit, c’eſt un mêlange qui eſt nouveau pour nos Theatres, & dont on pourroit chercher quelques authoritez dans l’Antiquité;	Quoi qu'il en soit, c'est un mêlange qui est nouveau pour nos Théatres, et dont on pourrait chercher quelques autorités dans l'Antiquité;
& comme tout le monde l’a trouvé agreable, il peut ſervir d’idée à duuereochoito;	et comme tout le monde l'a trouvé agréable, il peut servir d'idée à duuereochoito;
quipuuirelent être meditées avec plus de loiſir.	quipuirelent être méditées avec plus de loisir.
D’abord que la toille fut levée, un des Acteurs, comme vous pourriez dire moi, parut ſur le Theatre en habit de Ville, & s’adreſſant au Roy avec le viſage d’un homme ſurpris, fit des excuſes en deſordre ſur ce qu’il ſe trouvoit là ſeul, & manquoit de temps, & d’Acteurs pour donner à ſa Majeſté le divertiſſement qu’elle ſembloit attendre.	D'abord que la toille fut levée, un des Acteurs, comme vous pourriez dire moi, parut sur le Théâtre en habit de Ville, et s'adressant au Roi avec le visage d'un homme surpris, fit des excuses en désordre sur ce qu'il se trouvait là seul, et manquait de temps, et d'Acteurs pour donner à sa Majesté le divertissement qu'elle semblait attendre.
En même temps, au milieu de vingt jets d’eau naturels, s’ouvrit cette coquille, que tout le monde a veuë;	En même temps, au milieu de vingt jets d'eau naturels, s'ouvrit cette coquille, que tout le monde a vue;
& l’agreable Naïade qui parut dedans s’avança au bord du Theatre, & d’un air heroique prononça les Vers, que Monſieur Peliſſon avoit faits, & qui ſervent de Prologue.	et l'agréable Naïade qui parut dedans s'avança au bord du Théâtre, et d'un air héroïque prononça les Vers, que Monsieur Pélisson avait faits, et qui servent de Prologue.
PRO	PRO
FNOLOGOL.	FNOLOGOL.
D'Our voir en ces lieux le plus grand Roi du Monde, Mortels, je viens à vous de ma grotte proſonde.	D'Our voir en ces lieux le plus grand Roi du Monde, Mortels, je viens à vous de ma grotte prosonde.
Faut-il en ſa faveur, que la Terre ou que l’Eau Produiſent à vos yeux un ſpectacle nouveau?	Faut-il en sa faveur, que la Terre ou que l'Eau Produisent à vos yeux un spectacle nouveau?
Qu’il parle, ou qu’il ſouhaitte:	Qu'il parle, ou qu'il souhaite:
Il n’eſt rien d’imposſible:	Il n'est rien d'impossible:
Lui-même n’eſt-il pas un miracle viſible?	Lui-même n'est-il pas un miracle visible?
Son regne ſi fertile en miracles divers, N’en demande-t-il pas à tout cet Univers?	Son règne si fertile en miracles divers, N'en demande-t-il pas à tout cet Univers?
Jeune, Victorieux, Sage, Vaillant, Auguſte, Ausſi doux que ſevere, ausſi puiſſant que juſte, Regler, & ſes Etats, & ſes propres deſirs, Joindre aux nobles travaux les plus nobles plais En ſes juſtes projets jamais ne ſe méprendre, Agir inceſſamment, tout voir, & tout entendre, Qui peut cela, peut tout;	Jeune, Victorieux, Sage, Vaillant, Auguste, Aussi doux que sévère, aussi puissant que juste, Regler, et ses États, et ses propres désirs, Joindre aux nobles travaux les plus nobles plais En ses justes projets jamais ne se méprendre, Agir incessamment, tout voir, et tout entendre, Qui peut cela, peut tout;
il n’a qu’à tout oſer;	il n'a qu'à tout oser;
Et le Ciel à ſes vœux ne peut rien refuſer.	Et le Ciel à ses vœux ne peut rien refuser.
Eer lermes marcheront, & ſt Louis l'ordon	Éter lermes marcheront, et st Louis l'ordon
ne Ces Arbres parleront mieux que ceux de Dodone:	ne Ces Arbres parleront mieux que ceux de Dodone:
Hoſteſſes de leur tronc, moindres Divinitez, C’eſt Louïs qui le veut, ſortez Nymphes, ſortez;	Hôtesses de leur tronc, moindres Divinités, C'est Louis qui le veut, sortez Nymphes, sortez;
* Je vous montre l’exemple, il s’agit de lui plaire, Quittez pour quelque temps vôtre forme ordinaire, Et paroiſſons enſemble aux yeux des ſpectateurs;	* Je vous montre l'exemple, il s'agit de lui plaire, Quittez pour quelque temps votre forme ordinaire, Et paraissons ensemble aux yeux des spectateurs;
Pour ce nouveau Theatre, autant de vrais Acteurs.	Pour ce nouveau Théâtre, autant de vrais Acteurs.
Vous, ſoin de ces ſujets, ſa plus charmante etude, Heroïque ſouci, Royale inquietude, Laiſſez-le reſpirer, & ſouffrez qu’un moment Son grand cœur s’abandonne au divertiſſement:	Vous, soin de ces sujets, sa plus charmante étude, Héroïque souci, Royale inquiétude, Laissez-le respirer, et souffrez qu'un moment Son grand cœur s'abandonne au divertissement:
Vous le verrez demain d’une force nouvelle Sous le fardeau penible, où vôtre voix l’appelle, Faire obeïr les loix, partager les bien faits, Par ſes propres conſeils prevenir nos ſouhaits, Maintenir l’Univers dans une paix profonde, Et s’ôter le repos pour le donner au monde.	Vous le verrez demain d'une force nouvelle Sous le fardeau pénible, où votre voix l'appelle, Faire obéir les lois, partager les bien faits, Par ses propres conseils prévenir nos souhaits, Maintenir l'Univers dans une paix profonde, Et s'ôter le repos pour le donner au monde.
Q'aujourd’hui tout lui plaiſe, & ſemble conſentir A l’unique deſſein de le bien divertir.	QU'aujourd'hui tout lui plaise, et semble consentir A l'unique dessein de le bien divertir.
Fâcheux * Plufieurs Dryades accompagnées de Faunes & de Satyres ſortent des Aibres & des Termes, Fâcheux retirez-vous;	Fâcheux * Plufieurs Dryades accompagnées de Faunes et de Satyres sortent des Aibres et des Termes, Fâcheux retirez-vous;
ou s’il faut qu’il vous voie, Que ce ſoit ſeulement pour exciter ſa joie.	ou s'il faut qu'il vous voie, Que ce soit seulement pour exciter sa joie.
La Nayade emmene avec elle, pour la Comedie, une partie des gens qu’elle a fait paroître, pendant que le reſte ſe met à danſer au ſon des Haut-bois, qui ſe joignent aux Violons.	La Nayade emmene avec elle, pour la Comédie, une partie des gens qu'elle a fait paraître, pendant que le reste se met à danser au son des Haut-bois, qui se joignent aux Violons.
LES PERSONNAGES.	LES PERSONNAGES.
ARI TIDES.	ARI TIDES.
ORMIN.	ORMIN.
LINTE.	LINTE.
AMIS.	AMIS.
LES FASCHEUX.	LES FÂCHEUX.
COMEDIE.	COMÉDIE.
ACTE PREMIER.	ACTE PREMIER.
SCENE PREMIERE.	SCÈNE PREMIÈRE.
ERASTE, LA MONTAGNE.	ERASTE, LA MONTAGNE.
2 9 ERASTS.	2 9 ERASTS.
OUS quel aſtre, bon Dieu, faut i!	OUS quel astre, bon Dieu, faut y!
que je ſois né, Pour étre de Fâcheux toûjours aſſaſfiné !	que je sois né, Pour être de Fâcheux toujours assassiné !
il ſemble que par tout le ſort me les adreſſe, Et j'en vois, chaque jour, quelque nouvelle eſpeceMais il n’eſt rien d’égal au Fâcheux d’aujourd’hui;	il semble que par tout le sort me les adresse, Et j'en vois, chaque jour, quelque nouvelle espèceMais il n'est rien d'égal au Fâcheux d'aujourd'hui;
J’ai crû n’étre jamais débarraſſé de lui;	J'ai cru n'être jamais débarrassé de lui;
Et, cent fois, j’ai mauditcette innocente envieQui m’a pris à diſné, de voir la Comedie, Où penſant m’égayer, j’ay miſerablement, Trouvé de mes pechez le rude chaſtiment.	Et, cent fois, j'ai mauditcette innocente envieQui m'a pris à dîné, de voir la Comédie, Où pensant m'égayer, j'ai misérablement, Trouvé de mes péchés le rude châtiment.
Il faut que je te faſſe un recit de l’affaire;	Il faut que je te fasse un récit de l'affaire;
Car je m’en ſens encore tout émû de colere.	Car je m'en sens encore tout ému de colère.
J’étois ſur le Theatre, en hurneur d’écouter.	J'étais sur le Théâtre, en hurneur d'écouter.
La Piece, qu’a pluſieurs j’avois ou’ï vanter;	La Pièce, qu'a plusieurs j'avais ou vanter;
Les Acteurs commençoient, chacun prêtoit ſilence, Lors que d’un air bruyant, & plein d’extravagance, Un homme à grands canons eſt entré bruſquement, En criant, hola-ho, un ſiege promptement;	Les Acteurs commençaient, chacun prêtait siège, Lors que d'un air bruyant, et plein d'extravagance, Un homme à grands canons est entré brusquement, En criant, hola-ho, un siège promptement;
Et de ſon grand fracas ſurprenant l’aſſemblée, Dans le plus bel endroit a la piece troublée.	Et de son grand fracas surprenant l'assemblée, Dans le plus bel endroit à la pièce troublée.
Hé mon Dieu!	Hé mon Dieu!
nos François ſi ſouvent redreſſez, Ne prendront-ils jamais un air de gens ſenſez, Ai-je dit, & faut-il, ſur nos défauts extrémes, Qu’en theatre public nous nous joüions nous-mêmes, Et confirmions ainſi, par des éclats de foux, Ce que chez nos voiſins on dit par tout de nous !	nos Français si souvent redressez, Ne prendront-ils jamais un air de gens sensé, Ai-je dit, et faut-il, sur nos défauts extrêmes, Qu'en théâtre public nous nous jouions nous-mêmes, Et confirmions ainsi, par des éclats de foux, Ce que chez nos voisins on dit par tout de nous !
Tandis que là deſſus je hauſſois les eſpaules, Les Acteurs ont voulu continuer leurs Rôles :	Tandis que là dessus je haussais les épaules, Les Acteurs ont voulu continuer leurs Rôles :
Mais l’homme, pour s’aſſeoir, a fait nouveau fracas, Et traverſant encor le Theatre à grands pas.	Mais l'homme, pour s'asseoir, a fait nouveau fracas, Et traversant encor le Théâtre à grands pas.
Bien que dans les côtez il pût étre à ſon aiſe, Au milieu du devant il a planté ſa chaiſe, Et de ſon large dos morguant les Spectateurs, Aux trois quarts du parterre a caché les Acteurs.	Bien que dans les côtés il pût être à son aise, Au milieu du devant il a planté sa chaise, Et de son large dos morguant les Spectateurs, Aux trois quarts du terre a caché les Acteurs.
Un bruit s’eſt élevé, dont un autre eut eu honte;	Un bruit s'est élevé, dont un autre eut eu honte;
Mais lui, ferme & conſtant, n’en a fait aucun conte;	Mais lui, ferme et constant, n'en a fait aucun compte;
Et ſe ſeroit tenu comme il s’étoit poſé, Si, pour mon infortune, il ne m’eut aviſé.	Et se serait tenu comme il s'était posé, Si, pour mon infortune, il ne m'eut avisé.
Ha Marquis, m’a-t-il dit, prénant prés de moi place, Comment te portes-tu ?	Ha Marquis, m'a-t-il dit, prénant près de moi place, Comment te portes-tu ?
Souffre, que je t’embraſſe.	Souffre, que je t'embrasse.
Au viſage, ſur l’heure, un rouge m’eſt monté Que l'on me vît connu d’un pareil eventé, Je l’étois peu pourtant, mais on en voit paroître, De ces gens qui de rien veulent fort vous connoître, Dont il faut au ſalut les baiſers eſſuyer,	Au visage, sur l'heure, un rouge m'est monté Que l'on me vont connu d'un pareil éventé, Je l'étais peu pourtant, mais on en voit paraître, De ces gens qui de rien veulent fort vous connaître, Dont il faut au salut les baisers essuyer,
Et qui ſont familiers juſqu’à vous tutoyer.	Et qui sont familiers jusqu'à vous tutoyer.
Il m’a fait, à l’abord, cent queſtions frivoles, Plus haut que les Acteurs élevant ſes paroles.	Il m'a fait, à l'abord, cent questions frivoles, Plus haut que les Acteurs élevant ses paroles.
Chacun le maudiſſoit, & moi pour l’arrêter, Je ſerois, ai-je dit, bien aiſe d’eſcouter.	Chacun le maudissait, et moi pour l'arrêter, Je serais, ai-je dit, bien aise d'écouter.
Tu n’as point vû ceci, Marquis;	Tu n'as point vu ceci, Marquis;
ah!	ah!
Dieu me danne, Je le trouve aſſez drole, & je n’y ſuis pas âne;	Dieu me danne, Je le trouve assez drôle, et je n'y suis pas âne;
Je ſçais par quelles loix un Ouvrage eſt parfait, Et Corneille me vient lire tout ce qu’il fait.	Je sais par quelles lois un Ouvrage est parfait, Et Corneille me vient lire tout ce qu'il fait.
Là-deſſus de la piece il m’a fait un ſommaire, Scene à Scene, averti de ce qui s’alloit faire, Et juſques à des vers qu’il en ſçavoit par cœur, Il me les recitoit tout haut avant l’Acteur.	Là-dessus de la pièce il m'a fait un sommaire, Scène à Scène, averti de ce qui s'allait faire, Et jusques à des vers qu'il en savait par cœur, Il me les récitait tout haut avant l'Acteur.
J’avois beau m'en deffendre, il a pouſſé ſa charEt s’eſt, devers la fin.	J'avais beau m'en défendre, il a poussé sa charEt s'est, devers la fin.
levé long-temps d’avance;	levé longtemps d'avance;
Car les gens du bel air pour agir galamment Se gardent bien, ſur tout, d’ouir le dénoûment, Je rendois grace au Ciel, & croiois de juſtice, Qu’avec la Comedie eut fini mon ſuplice, Mais, comme ſi c’en eût été trop bon marché, Sur nouveaux frais mon homme à moi s’eſt attaché:	Car les gens du bel air pour agir galamment Se gardent bien, sur tout, d'ouïr le dénoûment, Je rendais grâce au Ciel, et crois de justice, Qu'avec la Comédie eut fini mon supplice, Mais, comme si c'en eût été trop bon marché, Sur nouveaux frais mon homme à moi s'est attaché:
M’aconté ſes exploits, ſes vertus non communes, Parlé de ſes chevaux, de ſes bonnes fortunes, Et de ce qu’à la Cour il avoit de faveur, Diſant, qu’à m’y ſervir il s’offroit de grand cœur!	M'aconté ses exploits, ses vertus non communes, Parlé de ses chevaux, de ses bonnes fortunes, Et de ce qu'à la Cour il avait de faveur, Disant, qu'à m'y servir il s'offrait de grand cœur!
Je le remerciois doucement de la tête, Minutant à tous coups quelque retraite honnête;	Je le remerciais doucement de la tête, Minutant à tous coups quelque retraite honnête;
Mais lui, pour le quitter, me voyant ébranlé, Sortons, ce m’a-t-il dit, le monde eſt écoulé :	Mais lui, pour le quitter, me voyant ébranlé, Sortons, ce m'a-t-il dit, le monde est écoulé :
Et ſortis de ce lieu me la donnant plus ſeche, Marquis, allons au Cours faire voir ma galeche;	Et sortis de ce lieu me la donnant plus seche, Marquis, allons au Cours faire voir ma galeche;
Elle eſt bien entenduë, & plus d’un Duc & Pair, En fait, à mon faiſeur, faire une du même air.	Elle est bien entendue, et plus d'un Duc et Pair, En fait, à mon faiseur, faire une du même air.
Moi de lui rendre grace, & pour mieux m’en défendre,	Moi de lui rendre grâce, et pour mieux m'en défendre,
Ah parbleu j’en veux étre, étant de tes amis, Et manque au Mareſchal à qui j’avois promis.	Ah parbleu j'en veux être, étant de tes amis, Et manque au Maréchal à qui j'avais promis.
De la chere, ai-je fait, la doze eſt trop peu forte Pour oſer y prier des gens de vôtre ſorte.	De la chère, ai-je fait, la dose est trop peu forte Pour oser y prier des gens de votre sorte.
Non, m’a-t-il répondu, je ſuis ſans compliment, Et j’y vais pour cauſer avec toi ſeulement?	Non, m'a-t-il répondu, je suis sans compliment, Et j'y vais pour causer avec toi seulement?
Je ſuis des grans repas fatigué, je te jure:	Je suis des grans repas fatigué, je te jure:
12 Mais ſi l’on vous attend, ai-je dit, c’eſt injure.	12 Mais si l'on vous attend, ai-je dit, c'est injure.
Tu te moques, Marquis, nous nous connoiſſons tous;	Tu te moques, Marquis, nous nous connaissons tous;
Et je trouve avec toi des paſſe-temps plus doux.	Et je trouve avec toi des passetemps plus doux.
Je peſtois contre moi, l’ame triſte & confuſe, Du funeſte ſuccés qu’avoit eu mon excuſe, Et ne ſçavois à quoi je devois recourir, Pour ſortir d’une peine à me faire mourir;	Je pétais contre moi, l'âme triste et confuse, Du funeste succès qu'avait eu mon excuse, Et ne savais à quoi je devais recourir, Pour sortir d'une peine à me faire mourir;
Lors qu’un caroſſe fait de ſuperbe maniere, Et comblé de laquais, & devant, & derriere;	Lors qu'un carosse fait de superbe manière, Et comblé de laquais, et devant, et derrière;
S’eſt avec un grand bruit devant nous arrêté!	S'est avec un grand bruit devant nous arrêté!
D’où ſautant un jeune homme amplement ajuſté, Mon importun & lui courant à l’embraſſade ( Ont ſurpris les paſſans de leur bruſque incartade;	D'où sautant un jeune homme amplement ajusté, Mon importun et lui courant à l'embrassade ( Ont surpris les passants de leur brusque incartade;
Et tandis que tous deux étoient precipitez Dans les convulſions de leurs civilitez, 1 e me ſuis doucement eſquivé ſans rien dire;	Et tandis que tous deux étaient précipités Dans les convulsions de leurs civilités, 1 me suis doucement esquivé sans rien dire;
Non ſans avoir long-temps gemi d’un tel martyEt maudit ce Fâcheux dont le zele obſtiné M’ôtoit au rendez-vous qui m’eſt ici donné.	Non sans avoir longtemps gémi d'un tel martyEt maudit ce Fâcheux dont le zèle obstiné M'ôtait au rendez-vous qui m'est ici donné.
LA MONTAGNR.	LA MONTAGNR.
Ce ſont chagrins mêlez aux plaiſirs de la vie.	Ce sont chagrins mêlés aux plaisirs de la vie.
Tout ne va pas, Monſieur, au gré de nôtre enie.	Tout ne va pas, Monsieur, au gré de notre enie.
Le Ciel veut qu’ici bas chacun ait ſes Fâcheux;	Le Ciel veut qu'ici bas chacun ait ses Fâcheux;
Et les hommes ſeroient, ſans cela, trop heureux.	Et les hommes seraient, sans cela, trop heureux.
E RASTE.	E RASTE.
Mais de tous mes Fâcheux, le plus fâcheux encoC’eſt Damis, le tuteur de celle que j’adore;	Mais de tous mes Fâcheux, le plus fâcheux encoC'est Damis, le tuteur de celle que j'adore;
10.	10.
Qui rompt ce qu’à mes vœux elle donne d’eſpoir, Et fait qu’en ſa preſence elle n’oſe me voir.	Qui rompt ce qu'à mes vœux elle donne d'espoir, Et fait qu'en sa présence elle n'ose me voir.
* Je crains d’avoir déja paſſé l’heure promiſe, Et c’eſt dans cette allée, ou devoit etre Orphiſe.	* Je crains d'avoir déjà passé l'heure promise, Et c'est dans cette allée, ou devait et Orphise.
LA MONTAGNE.	LA MONTAGNE.
Eheure d’un rendez vous d’ordinaire s’étend;	Eheure d'un rendez -vous d'ordinaire s'étend;
Et n’eſt pas reſſerrée aux bornes d’un inſtant.	Et n'est pas resserrée aux bornes d'un instant.
ERASTE.	ERASTE.
2 Il eſt vrai;	2 Il est vrai;
mais je tremble, & mon amour extréme D'un rien ſe fait un crime envers celle que j’aime.	mais je tremble, et mon amour extrême D'un rien se fait un crime envers celle que j'aime.
LA MONTAGNE, Si ce parfait amour, que vous prouvez ſibien, Se fait vers vôtre objet un grand crime de rien, ce que ion cœur, pour enas;	LA MONTAGNE, Si ce parfait amour, que vous prouvez sibien, Se fait vers votre objet un grand crime de rien, ce que ion cœur, pour enas;
ſent de feux legitimes, En revanche, lui fait un rien de tous vos crimes.	sent de feux légitimes, En revanche, lui fait un rien de tous vos crimes.
ERASTE.	ERASTE.
Mais, tout de bon, crois-tu que je ſois d’elle aimé?	Mais, tout de bon, crois-tu que je sois d'elle aimé?
LA MONTAGNE.	LA MONTAGNE.
Quoi?	Quoi?
vous doutez encor d’un amour confirmé.	vous doutez encor d'un amour confirmé.
CRASTE.	CRASTE.
Ah!	Ah!
c'eſt mal aiſément qu’en pareille matiere Un cœur bien enflammé prend’affeurance entiere.	c'est mal aisément qu'en pareille matière Un cœur bien enflammé prend'affeurance entière.
Ireraint de ſe flatter, & dans les divers ſoins, Ce que plus il ſouhaite, eſt ce qu’il croit le moins, mais fougeons a trouvenune ueauté ſi rare.	Ireraint de se flatter, et dans les divers soins, Ce que plus il souhaite, est ce qu'il croit le moins, mais fougeons a trouvenune ueauté si rare.
LA MONTAGNE.	LA MONTAGNE.
Monſieur, vôtre rabat par devant ie lepure	Monsieur, votre rabat par devant Seigneur lepure
N’importe.	N'importe.
ERASTE.	ERASTE.
LA MONTAQNE.	LA MONTAQNE.
Laiſſez moi l’ajuſter, s’il vous plaît.	Laissez -moi l'ajuster, s'il vous plaît.
ERASTE.	ERASTE.
Ouf, tu m’étrangles, fat, laiſſe le, comme il eſt.	Ouf, tu m'étrangles, fat, laisse le, comme il est.
LA MOVTAGNE.	LA MOUTAGNE.
Souffrez qu’on peigne un peu.	Souffrez qu'on peigne un peu.
E RAST E.	E RAST E.
