L’IM.	L'IM.
Mais comment ferons-nous, Marton ?	Mais comment ferons-nous, Marton ?
MARTON.	MÁRTON.
Il faut tromper vôtre Tante & nous débaraſſer de vôtre Eſpagnol, les Eſpagnols gardent mieux les Femmes que les Villes.	Il faut tromper votre Tante et nous débarrasser de votre Espagnol, les Espagnols gardent mieux les Femmes que les Villes.
MENLIN.	MENLIN.
Mais s’il y a des François pour prendre leurs Villes, il y a des Martons pour enlever leurs Femmes.	Mais s'il y a des Français pour prendre leurs Villes, il y a des Martons pour enlever leurs Femmes.
MARTON.	MÁRTON.
Mais toi qui fais le raiſonneur, és-tu bon à quelque choſe?	Mais toi qui fais le raisonneur, es-tu bon à quelque chose?
MERLIN.	MERLIN.
Tu n’as qu’à me mettre à l’épreuve.	Tu n'as qu'à me mettre à l'épreuve.
Je m’appelle Merlin afin que tu le ſaches.	Je m'appelle Merlin afin que tu le saches.
MARTON.	MÁRTON.
Tu és un de ces Merlins?	Tu ès un de ces Merlins?
MERLIN Tu vois le Chef de la Famille, mon Enfant!	MERLIN Tu vois le Chef de la Famille, mon Enfant!
Tout retentit de mon ſavoir faire.	Tout retentit de mon savoir faire.
Faut-il épuiſer la bourſe d’un Vieillard, c’eſt à Merlin à qui l’on s’adreſſe?	Faut-il épuiser la bourse d'un Vieillard, c'est à Merlin à qui l'on s'adresse?
Voit on des Tantes attrapées par de jeunes Niéces, c’eſt Merlin qui a fait le coup?	Voit on des Tantes attrapées par de jeunes Nièces, c'est Merlin qui a fait le coup?
lot a rheure qu’il eſt j’ay à Paris vingt Garçons qui travaillent en mon abſence.	lot a rheure qu'il est j'ai à Paris vingt Garçons qui travaillent en mon absence.
MARTON.	MÁRTON.
Retirez-vous, nous n’avons pas de temps à perdre.	Retirez-vous, nous n'avons pas de temps à perdre.
SCENEIV.	SCENEIV.
MERLIN, MARTON.	MERLIN, MÁRTON.
MERLIN.	MERLIN.
E ſuis heureux, Madame Marton, d’étre employé dans une affaire que O vous prenez ſi fort à cœur.	E suis heureux, Madame Marton, d'être employé dans une affaire que Ô vous prenez si fort à cœur.
A 5	A 5
MAR	MAR
MARTON.	MÁRTON.
Mon bonheur eſt grand, Monſieur Merlin, d’avoir à travailler ſous une perſonne comme vous:	Mon bonheur est grand, Monsieur Merlin, d'avoir à travailler sous une personne comme vous:
mes lumiéres ont beſoin des vôtres, Monſieur Merliu.	mes lumières ont besoin des vôtres, Monsieur Merliv.
MERLIN.	MERLIN.
Nous travaillerons à frais communs, & par parentheſe, vous avez receu déja trente piſtoles.	Nous travaillerons à frais communs, et par parenthèse, vous avez reçu déjà trente pistoles.
Il faut.	Il faut.
MARTON.	MÁRTON.
Oh!	Oh!
Monſieur Merlin, je iais vôtre Servante, je les garde.	Monsieur Merlin, je jais votre Servante, je les garde.
C’eſt ſur nouvcaus hais quon nous emipioye.	C'est sur nouvcaus hais quon nous emipioie.
MERLIN.	MERLIN.
Mais vous voyez bien.	Mais vous voyez bien.
MARTON.	MÁRTON.
Oh!	Oh!
mon Enfant, point de méſintelligence entre des Alliez;	mon Enfant, point de mésintelligence entre des Alliés;
cela fait nianqueries emteprites, rongeons à nos deſſeins.	cela fait nianqueries emteprites, rongeons à nos desseins.
MERLIN.	MERLIN.
Qu’eſt-ce que la Tante en queſtion?	Qu'est-ce que la Tante en question?
MARTON.	MÁRTON.
C’eſt une vieille Fille de mauvaiſe humeur qui ſe croit jolie;	C'est une vieille Fille de mauvaise humeur qui se croit jolie;
elle veut étre mariée.	elle veut être mariée.
MERLIN.	MERLIN.
Ouy!	Oui!
vous voulez bruſquer les Nôces, Madame nôtre Tante, oh !	vous voulez brusquer les Nôces, Madame notre Tante, oh !
par ma foy!	par ma foi!
j'en ſuis bien aiſe.	j'en suis bien aise.
Laiſſe moi moi faire.	Laisse -moi moi faire.
Je veux attraper ſon bien & la faire mourir fille de plus.	Je veux attraper son bien et la faire mourir fille de plus.
Un des habits de mon Maître!	Un des habits de mon Maître!
L’affaire eſt dans le ſac.	L'affaire est dans le sac.
Venons à l’Eſpagnol.	Venons à l'Espagnol.
Quel homme eſt-ce ?	Quel homme est-ce ?
MARTON.	MÁRTON.
C’eſt un Eſpagnol qui s’appelle Dom Julien Officier de nôtre défunte Garniſon;	C'est un Espagnol qui s'appelle Dom Julien Officier de notre défunte Garnison;
Voicy notre Tante.	Voici notre Tante.
SCENE V.	SCÈNE V.
ARAMINTE, MARTON.	ARAMINTE, MÁRTON.
MERLIN.	MERLIN.
ARAMINTE.	ARAMINTE.
Ve veut ce Garçon, Marton?	Ve veut ce Garçon, Marton?
MARTON.	MÁRTON.
Il ne veut rien, Madame, c’eſt vous qu’il demande.	Il ne veut rien, Madame, c'est vous qu'il demande.
MERLIN.	MERLIN.
Ouy, Madame, je venois voir, ſi vous étiez viſible;	Oui, Madame, je venais voir, si vous étiez visible;
puis que vous voilà, je comprens bien qu’ouy.	puis que vous voilà, je comprends bien qu'oui.
Je vais rendre réponſe.	Je vais rendre réponse.
ARAMINTE.	ARAMINTE.
C’eſt le Valet de quelque Officier FraliFrançois, Marton, je ne ſuis point fâchée que les François ſoient icy.	C'est le Valet de quelque Officier FraliFrançois, Marton, je ne suis point fâchée que les Français soient ici.
Nous aurons toûjours nouvelle compagnie.	Nous aurons toujours nouvelle compagnie.
MARTON.	MÁRTON.
miu fond Macanie, je les trouve fort jolies gens.	mive fond Macanie, je les trouve fort jolies gens.
ANAMINIE.	ANAMINIE.
Ah!	Ah!
ma pauvre Marton !	ma pauvre Marton !
MARTON.	MÁRTON.
Seriez-vous amoureuſe de quelque François?	Seriez-vous amoureuse de quelque Français?
LARIIAINTE.	LARIIAINTE.
Je ne ſuis amoureuſe de perſonne en particulier.	Je ne suis amoureuse de personne en particulier.
MARTON.	MÁRTON.
Ah!	Ah!
j’entends, vous en voulez à toute la Nation.	j'entends, vous en voulez à toute la Nation.
Tenez-vous un peu, Madame;	Tenez-vous un peu, Madame;
Ah!	Ah!
la belle phiſionomie de Femme!	la belle physionomie de Femme!
tenez, Madame, vous reſſemblez à l Empereur Ilajan comme deux goutes d’eau.	tenez, Madame, vous ressemblez à l' Empereur Ilajan comme deux goutes d'eau.
ARAMINTE.	ARAMINTE.
Eſt il poſſible ?	Est -il possible ?
MARTON.	MÁRTON.
Si vous vouliez ſeulement faire un petit brin de barbe, vous deviendriez Marquiſe Françoiſe.	Si vous vouliez seulement faire un petit brin de barbe, vous deviendriez Marquise Française.
Montrez-moy vôtre main, j’ay été Bohémienne.	Montrez-moi votre main, j'ai été Bohémienne.
Ah!	Ah!
que vous étes menacée d’une belle fortune.	que vous êtes menacée d'une belle fortune.
Vous ſerez Marquiſe, & & Marquite Françoiſe, avant qu’il ſoit vingt-quatre heures Cette ligne s’appeſle une ligne de dignitez.	Vous serez Marquise, et et Marquite Française, avant qu'il soit vingt-quatre heures Cette ligne s'appêle une ligne de dignités.
ARAMINTE.	ARAMINTE.
je mavois jamais ouy dire que tu euſſes de ſi beaux talens.	je mavais jamais ouï dire que tu eusses de si beaux talents.
MARTON.	MÁRTON.
Vôtre Dom Julien, Madame, que vous voulez donner a votre Niéce, ſera pendu, Madame.	Votre Dom Julien, Madame, que vous voulez donner à votre Nièce, sera pendu, Madame.
ARAMINTE.	ARAMINTE.
Es-tu folle ?	Es-tu folle ?
MARTON.	MÁRTON.
Non, Madame, il ſera pendu.	Non, Madame, il fera pendu.
c’eſt pourtant un honnête homme, il mourra innocent ;	c'est pourtant un honnête homme, il mourra innocent ;
mais pendu, je l’ai condamné à cela, & de tous ceux que i’ay pendus en ma vie, il ne m’en eſt pas échapé un.	mais pendu, je l'ai condamné à cela, et de tous ceux que j'ai pendus en ma vie, il ne m'en est pas échappé un.
Le voicy!	Le voici!
ne luy en parlez point Madame.	neeste en parlez point Madame.
ARAMINTE.	ARAMINTE.
Ce ſeroit un beau compliment à luy faire, je n’ay garde.	Ce serait un beau compliment à lui faire, je n'ai garde.
SCE	SCE
SCENE VI.	SCÈNE VI.
DOM JULIEN, ARAMINTE, MANPON.	DOM JULIEN, ARAMINTE, MANPON.
DOM JULIEN.	DOM JULIEN.
7 Ous voyez, Madame, ce que yT'aſſſout peut fane, je reſte icy quand tous les autres vont au Château.	7 Ous voyez, Madame, ce que yT-assout peut fane, je reste ici quand tous les autres vont au Château.
ARAMINTE.	ARAMINTE.
Je ſuis ſurpriſe que vous n’y ſoyez pue avco rcene dampegdie.	Je suis surprise que vous n'y soyez pue auco reene dampègdie.
MARTON.	MÁRTON.
Avec ſa Compagnie, il y a deux ans qu’il n’y a que trois Soidats.	Avec sa Compagnie, il y a deux ans qu'il n'y a que trois Soidats.
DOM JULIEN.	DOM JULIEN.
Il eſt vray que j’ay bien perdu du Mendce	Il est vrai que j'ai bien perdu du Mendce
MARTON.	MÁRTON.
Les uns ſont morts de faim, les autres de peur, & les autres de maladie.	Les uns sont morts de faim, les autres de peur, et les autres de maladie.
DOM JULIEN.	DOM JULIEN.
Je veux donner tout mon bieu à vôtre	Je veux donner tout mon bieu à votre
votre Niéce.	votre Nièce.
Il m’eſt deû vingt années de paye & des millions de récompenſe.	Il m'est de vingt années de paye et des millions de récompense.
MARTON.	MÁRTON.
nu nene renouree pounſunc Veuve !	nu néné renoure pounsunc Veuve !
ARAMINTE.	ARAMINTE.
Croirez-vous un conſeil que je vous veux donner?	Croirez-vous un conseil que je vous veux donner?
Entrez dans le Chãteau, & tâchez de vous faire tuer.	Entrez dans le Chouteau, et tâchez de vous faire tuer.
MRJOBISI Vous moquez vous de moy, Madame?	MROBISI Vous moquez -vous de moi, Madame?
ANAMINTE.	ANAMINTE.
Non, le plûtot c’eſt le meilleur.	Non, le plûtot c'est le meilleur.
DOM JULIEN.	DOM JULIEN.
Elle extravague.	Elle extravague.
Voyons ſa Niéce.	Voyons sa Nièce.
ARAMINTE.	ARAMINTE.
On vous conſeille de vous faire tuer de peur d’accideut, & vous ne reconnoiſſez pas les bontez qu’on a pour vous.	On vous conseille de vous faire tuer de peur d'accideut, et vous ne reconnaissez pas les bontés qu'on a pour vous.
Allez, Monſieur, je romps avec vous tout commerce.	Allez, Monsieur, je romps avec vous tout commerce.
SCENE VII.	SCÈNE VII.
MARTON, AXAMINTE.	MÁRTON, AXAMINTE.
MARTON.	MÁRTON.
Ivat, Madame, préparez-vous v drecevon un Marquis de conſé quence.	Juat, Madame, préparez-vous drevon un Marquis de consé quence.
ARAMINTE.	ARAMINTE.
Eſt-ce un joly homme?	Est-ce un joli homme?
MARTON.	MÁRTON.
Le voicy.	Le voici.
AC.	AC.
ACTE II.	ACTE II.
SCENE PREMIERE.	SCÈNE PREMIÈRE.
MERLIN, ARAMINTE, MARTON.	MERLIN, ARAMINTE, MÁRTON.
MERLIN déguiſé.	MERLIN déguisé.
E me donne au Diable, Madame, ſi je regrette les Belles de Paris, V puis qu’on trouve en ce Pays-cy des auorables comme vous.	E me donne au Diable, Madame, si je regrette les Belles de Paris, V puis qu'on trouve en ce Pays-cy des avorables comme vous.
On!	On!
pal ſambleu, je veux faire ſouche en Flandre, Madame, cela eſt réſolu.	pal sambleu, je veux faire souche en Flandre, Madame, cela est résolu.
ARAMINTE.	ARAMINTE.
Voilà un Diſcours des plus obligeans, Monſieur.	Voilà un Discours des plus obligeants, Monsieur.
MERLIN.	MERLIN.
La peſte m’étouffe, tout l’eſprit du monde n’eſt pas à Paris.	La peste m'étouffe, tout l'esprit du monde n'est pas à Paris.
On en trouve en Flandre.	On en trouve en Flandre.
ARA	ARA
ARAMINTE.	ARAMINTE.
Il eſt déja charmé de moi, Marton.	Il est déjà charmé de moi, Marton.
MERLIN.	MERLIN.
Mais que vois-je?	Mais que vois-je?
C’eſt Marton!	C'est Marton!
Tu as donc fait banqueroute à la France.	Tu as donc fait banqueroute à la France.
Ali!	Ali!
tu as déſerté, Marton, je te ferai une affaire.	tu as déserté, Marton, je te ferai une affaire.
MARTON.	MÁRTON.
Onu ſonneus, on ne panſt point te les Deſertrices.	Onu sonnus, on ne pût point te les Désertrices.
MERLIN.	MERLIN.
Cela ſe devroit.	Cela se devrait.
Une Fille de ta ci force quaud elle déſerte fait plus de p tort au ſervice de l’Amour que vingt Soldats au ſervice du Roy.	Une Fille de ta cy force quaud elle dèserte fait plus de tort au service de l'Amour que vingt Soldats au service du Roi.
Mille pardons, ma Princeſſe, où en étions n nous, Marton?	Mille pardons, ma Princesse, où en étions n nous, Marton?
Tu as là une Maſ̂treſſe incomparable.	Tu as là une Mastresse incomparable.
Elle eſt ſuperlativement aimable.	Elle est superlativement aimable.
Je vous aime, u Madame, je meurs, Madame, je vous en avertis, Madame, je vous n prie.	Je vous aime, nu Madame, je meurs, Madame, je vous en avertis, Madame, je vous prie.
ARAMINTE.	ARAMINTE.
Qu’avez vous, Monſieur?	Qu'avez -vous, Monsieur?
MERLIN.	MERLIN.
’ay le cœur vivement attaqué.	’ay le cœur vivement attaqué.
ſuis frappé là, ſur mon honneur, Madaine.	suis frappé là, sur mon honneur, Madaine.
ARAMINTE.	ARAMINTE.
Quoi!	Quoi!
Monſieur?	Monsieur?
MERLIN.	MERLIN.
Il n’y a pas de milieu, il faut que je meure, où que je vous épouſe.	Il n'y a pas de milieu, il faut que je meure, où que je vous épouse.
ARAMINTE.	ARAMINTE.
Que les François ſont preſſans, Marton.	Que les Français sont pressants, Marton.
MARTON.	MÁRTON.
Ils ſont tous comme cela.	Ils sont tous comme cela.
Dés qu’ils voyent une belle Femme, ils créveroient plûtôt que de ne la pas épouſer.	Dès qu'ils voient une belle Femme, ils crèveraient plutôt que de ne la pas épouser.
MERLIN.	MERLIN.
Ouy, ma Reine!	Oui, ma Reine!
ce ſont nos mas.	ce sont nos mas.
niéres.	nières.
ARAMINTE.	ARAMINTE.
Mais vraîmeut, cela eſt extraordinaire.	Mais vraîmeut, cela est extraordinaire.
Je n’ay pas l’honneur de vous connoître;	Je n'ai pas l'honneur de vous connaître;
vous venez icy pour la preis' miére fois, & vous voulez déjà que je vous épouſe.	vous venez ici pour la préis mièvre fois, et vous voulez déjà que je vous épouse.
MERLIN.	MERLIN.
Demandez à Marton, nous autres jeunes gens nous aimons les mariages e de rencontres.	Demandez à Marton, nous autres jeunes gens nous aimons les mariages eu de rencontres.
AKA	ALL
ARAMINTE.	ARAMINTE.
Mais cet Amour eſt bien prompt, Monſieur.	Mais cet Amour est bien prompt, Monsieur.
MERLIN.	MERLIN.
Que voulez-vous que je vous di ſe, c’eſt un Impromptu de vos char mes & un effet de ma deſtinée.	Que voulez-vous que je vous di se, c'est un Impromptu de vos char mes et un effet de ma destinée.
ARAMINTE.	ARAMINTE.
S’il diſoit vray, ma pauvre Mar ton.	S'il disait vrai, ma pauvre Mar ton.
MARTON Je croy qu’il eſt ſincére.	MÁRTON Je crois qu'il est sincère.
ARAMINTE.	ARAMINTE.
Il faut qu’il y ait de la deſtinée!	Il faut qu'il y ait de la destinée!
tout cecy.	tout ceci.
MERLIN.	MERLIN.
Se pourroit-il, mon Adorable?	Se pourrait-il, mon Adorable?
ARAMINTE.	ARAMINTE.
Un peu de trêve, Monſieur le euar jais, je vous en conjure.	Un peu de trêve, Monsieur le évar jais, je vous en conjure.
MARTON.	MÁRTON.
Ne tirez plus, Monſieur, le cœu de Madame bat la chamade.	Ne tirez plus, Monsieur, le cœu de Madame bat la chamade.
ARA.	ARA.
ni.	ni.
ARAMINTE.	ARAMINTE.
Je me rends, voilà qui eſt fi	Je me rends, voilà qui est fi
MARTON.	MÁRTON.
La Place capitule, Monſieur, dreſlolls les Articies.	La Place capitule, Monsieur, dreslolls les Articies.
MERLIN.	MERLIN.
Il n’eſt pas ſous le Ciel un plus infortuné Mortel, Madame.	Il n'est pas sous le Ciel un plus infortuné Mortel, Madame.
MARTOI.	MARTOI.
A qui en avez-vous?	À qui en avez-vous?
ARAMINTE.	ARAMINTE.
On ſe rend, Monſieur le Marquis, que voulez-vous de plus?	On se rend, Monsieur le Marquis, que voulez-vous de plus?
On ſe rend, vous dis-je.	On se rend, vous dis-je.
MENLIN.	MENLIN.
Eh!	Eh!
çe n’eſt point aſſez, Madame, ce n’eſt point aſſez.	çe n’est point assez, Madame, ce n’est point assez.
MARTON.	MÁRTON.
Comment donc, Monſieur, on capitule, & vous n’étes pas content.	Comment donc, Monsieur, on capitule, et vous n'êtes pas content.
Eſt-ce que vous voudriez nous prendre d’aſſaut, de par tous les Diantres?	Est-ce que vous voudriez nous prendre d'assaut, de par tous les Diantres?
MER	MER
MERLIN.	MERLIN.
Ce n’eſt pas cela Marton;	Ce n'est pas cela Marton;
ma j’ay un Cadet qui voudra étre com plis dans la Cupimavoſſ.	ma j'ai un Cadet qui voudra être com plis dans la Cupimavoss.
MARTON.	MÁRTON.
Vous avez un Frére qui eſt auſt amoureux de Madame?	Vous avez un Frère qui est aussit amoureux de Madame?
ARAMINTE.	ARAMINTE.
Mais jone pourrai jamais voi épouſer deux, comment faudra-t-i faire?	Mais jone pourrai jamais voi épouser deux, comment faudra-t-y faire?
MERLIN.	MERLIN.
Vous ne comprenez pas la choſe;	Vous ne comprenez pas la chose;
ma Princeſſe, le vieux fou d’Oncle avec ſon Teſtament.	ma Princesse, le vieux fou d'Oncle avec son Testament.
MAATON Que parlez-vous d’Oncle, de Teſtament?	MATON Que parlez-vous d'Oncle, de Testament?
Que voulez-vous dire 2	Que voulez-vous dire 2
ARAMINTE.	ARAMINTE.
Expliquez-vous, Monſieur le Mar quis.	Expliquez-vous, Monsieur le Mar quis.
MERLIN.	MERLIN.
C’eſt le Teſtament d’un Oncle mon Adorable, qui fait obſtacle à mot bonheur.	C'est le Testament d'un Oncle mon Adorable, qui fait obstacle à mot bonheur.
ARA	ARA
ARAMINTE.	ARAMINTE.
Comment?	Comment?
MERLIN.	MERLIN.
Le maudit Oncle!	Le maudit Oncle!
C’étoit un Seigneur des plus riches, qui en mourant s’eſt aviſé pour nos pechez de nous faſle les nerſtieis, men Prere & moi.	C'était un Seigneur des plus riches, qui en mourant s'est avisé pour nos péchés de nous fâle les nerstie, men Prére et moi.
ARAMINTE.	ARAMINTE.
* Mais je ne voy pas, Monſieur le Marquis, que ce Teſtament ait rien de commun avec vôtre mariage.	* Mais je ne vois pas, Monsieur le Marquis, que ce Testament ait rien de commun avec votre mariage.
MERLIN.	MERLIN.
Ha!	Ha!
il renferme une condition bien terrible, le maudit Teſtament.	il renferme une condition bien terrible, le maudit Testament.
MARTON.	MÁRTON.
Quelle condition, quoy?	Quelle condition, quoi?
MERLIN.	MERLIN.
Il ordonne que les Héritiers ſe maB sieron t rieront tous deux en même jour, ſinos celuy qui ſera le plus preſſé, je le dés nentas	Il ordonne que les Héritiers se maB sieron t ieront tous deux en même jour, sinos celui qui sera le plus pressé, je le dés entas
ARAMINTE.	ARAMINTE.
ſlais vonla unie ciaule bien extraordi d’e naire.	slais vonla unie ciaule bien extraordi d'e naire.
MERLIN.	MERLIN.
Ah!	Ah!
Madame, feu Monſieur mo Oncle, eſt l’Oncle le plus bizarre & le plus hétéroclite qu’on ait jamais vî	Madame, feu Monsieur mo Oncle, est l'Oncle le plus bizarre et le plus hétéroclite qu'on ait jamais vî
ARAMINTE.	ARAMINTE.
Hé!	Hé!
ne pourroit-on point faire caſſe ſon Teſtament, Monſieur le Marquis?	ne pourrait-on point faire casse son Testament, Monsieur le Marquis?
MERLIN.	MERLIN.
Le faire caſſer, mon Incomparable que c’eſt le Teſtament le plus dur &l ch moins caſſable qu’il y ait en France.	Le faire casser, mon Incomparable que c'est le Testament le plus dur etl ch moins cassable qu'il y ait en France.
ARAMINTE.	ARAMINTE.
Ah!	Ah!
Marton, que je ſuis malhe reuſe !	Marton, que je suis malhe reuse !
MAR	MAR
MARTON.	MÁRTON.
Attendez, ne vous affligez point.	Attendez, ne vous affligez point.
Il me paſſe dans la tête de petites leices quu pourroient bien nous titer d’embarras.	Il me passe dans la tête de petites leices quu pourraient bien nous titer d'embarras.
Quy :	Qui :
E R1	E R1
ARAMINTE.	ARAMINTE.
Qu’imagines-tu, ma pauvre Marton?	Qu'imagines-tu, ma pauvre Marton?
MERLIN.	MERLIN.
Laiſſons-là faire, ma Princeſſe, c’eſt une fille impayable, & qui a des idées tout à fait juſtes.	Laissons-là faire, ma Princesse, c'est une fille impayable, et qui a des idées tout à fait justes.
MARTON.	MÁRTON.
Ouï, fort bien, juſtement le Contract d’Angelique & de Dom Julien eſt tout dreſſé depuis quinze jours, il n’y a eu que l’impromptu du Siége qui a empêché de le ſigner.	Ouï, fort bien, justement le Contrat d'Angelique et de Dom Julien est tout dressé depuis quinze jours, il n'y a eu que l'impromptu du Siège qui a empêché de le signer.
ARAMINTE.	ARAMINTE.
Hé!	Hé!
bien, Marton!	bien, Marton!
MARTON.	MÁRTON.
Il n’y a pas d’autre moyen, Madame, B 2 vous vous avez une Niéce qu’il faut donner a Cadet, vous épouſerez l’aîné vous, & condition du Teſtament ſera ſuivie.	Il n'y a pas d'autre moyen, Madame, B 2 vous vous avez une Nièce qu'il faut donner à Cadet, vous épouserez l'aîné vous, et condition du Testament sera suivie.
