A MONSIEVR DE MONTORON.	À MONSIEUR DE MONTORON.
C’eſt que cette generoſité qui compoſe la meilleure partie de voſtre ame, & regne ſur l’autre, & qu’à iuſte titre on peut nommer l’ame de voſtre ame, puis qu’elle en fait mouuoir toutes les puiſſances, c’eſt dis-ie, que cette generoſité à l’exemple de ce grand Empereur prend plaiſir à s’eſtendre ſur les gens de lettres, en vn temps où beaucoup penſent auoir trop recompenſé leurs trauaux quand ils les ont honorez d’vne loüange ſterile.	C'est que cette générosité qui compose la meilleure partie de votre âme, et règne sur l'autre, et qu'à juste titre on peut nommer l'âme de votre âme, puis qu'elle en fait mouvoir toutes les puissances, c'est dis-je, que cette générosité à l'exemple de ce grand Empereur prend plaisir à s'étendre sur les gens de lettres, en un temps où beaucoup pensent avoir trop récompensé leurs travaux quand ils les ont honorez d'une loüange stérile.
Et certes, vous auez traicté quelques-vnes de nos Muſes auec tant de magnanimité, qu’en elles vous auez obligé toutes les autres, & qu’il n’en eſt point qui ne vous en doiue vn remerciement.	Et certes, vous avez traité quelques-vnes de nos Muses avec tant de magnanimité, qu'en elles vous avez obligé toutes les autres, et qu'il n'en est point qui ne vous en doive un remerciement.
Trouuez donc bon, MONSIEVR, que ie m’acquite de celuy qui ie reconnoy vous en deuoir, par le preſent que ie vous fais de ce Poëme, que i’ay choiſy comme le plus durable des miens, pour apprendre plus long-temps à ceux qui le liront, que le genereux Monſieur de Montoron par vne liberalité inoüye en ce ſiecle s’eſt rendu toutes les Muſes redeuables, & que le prends cant de part aua bien-faits dont vous auez ſurpris quelques-vnes d’elles, que ie m’en diray toute ma vie,	Trouvez donc bon, MONSIEUR, que sans m'acquite de celui qui le reconnais vous en devoir, par le présent que je vous fais de ce Poème, que j'ai choisi comme le plus durable des miens, pour apprendre plus longtemps à ceux qui le liront, que le généreux Monsieur de Montoron par une libéralité infinie en ce siècle s’est rendu toutes les Muses redevables, et que le prends cant de part au bonts dont vous avez surpris quelques-faites d'elles, que ie j'en dirai toute ma vie,
MONSIEVR, Voſtre tres-humble, & tresColigé ſeruiteur,	MONSIEUR, Votre très-humble, et trèsColigé serviteur,
CORNEILLE.	CORNEILLE.
MON	MON
MONTAGNE liu.	MONTAGNE liv.
I.	I.
de ſes Enldls, chapae3.	de ses Enls, chapae3.
Empereur Auguste estant en la Gaule receut certain aduertiſſement d’vne coniuration que luy braſſoit L.	Empereur Auguste étant en la Gaule reçut certain avertissement d'une conjuration que Seigneur brassait L.
Cinna, il delibera de s’en venger, & manda pour cet effet au lendemain le conſeil de ſes amis:	Cinna, il délibéra de s'en venger, et manda pour cet effet au lendemain le conseil de ses amis:
mais la nuict d’entre-deux il la paſſa auec grande inquietude, conſiderant qu’il auoit à faire mourir vn ieuns homme de bonne maiſon, nepueu du grand Pompée, & produiſoit en ſe plaignant diuers diſcours.	mais la nuit d'entre-deux il la passa avec grande inquiétude, considérant qu'il avait à faire mourir un jeuns homme de bonne maison, nepueu du grand Pompée, et produisait en se plaignant divers discours.
Quoy donc, faiſoit-il, ſera-il dit que ie demeureray en crainte & en alarme, & que ie lairray mon meurtrier ſe promener cependant à ſon aiſe?	Quoi donc, faisait-il, sera-il dit que personne demeurerai en crainte et en alarme, et que ie lairray mon meurtrier se promener cependant à son aise?
S’en ira-il quitte ayant aſſailly ma teſte, que i’ay ſauuée de tant de guerres ciuiles, de tant de batailles par mer & par terre?	S'en ira-il quitte ayant assailli ma tête, que j'ai sauvée de tant de guerres civiles, de tant de batailles par mer et par terre?
& apres auoir eſtably la paix vniuerſelle du monde, ſera-il abſous ayant deliberé non de me tuër ſeulement, mais de me ſacrifier?	et après avoir établi la paix universelle du monde, sera-il absous ayant délibéré non de me tuer seulement, mais de me sacrifier?
Car la coniuration eſtoit faicte de le tuër comme il feroit quelque ſacrifice.	Car la conjuration était faite de le tuer comme il ferait quelque sacrifice.
Apres cela s’estant tenu coy quelque eſpace de temps, il recommençoit d’vne voix plus forte & s’en prenoit à ſoy-meſme.	Après cela s'étant tenu coi quelque espace de temps, il recommençait d'une voix plus forte et s'en ait à soi-même.
Pourquoy vis-tu, s’il importe à tant de gens que tu meures?	Pourquoi vis-tu, s'il importe à tant de gens que tu meures?
ny aura-il point de fin a tes vengeances & à tes cruautez?	Ne aura-il point de fin à tes vengeances et à tes cruautés?
Ta vie vaut-elle tant que tant de dommage ſe face pour la conſeruer?	Ta vie vaut-elle tant que tant de dommage se face pour la conserver?
Liuia ſa femme le ſentant en ces angoiſſes:	Liva sa femme le sentant en ces angoisses:
& les conſeils des femmes y ſeront-ils receus, luy dit-elle?	et les conseils des femmes y seront-ils reçus, Seigneur dit-elle?
fay ce que font les Medecins, quand les receptes accouſtumées ne peuuent ſeruir, ils en eſſayent de contraires.	fais ce que font les Médecins, quand les receptes accoutumées ne peuvent servir, ils en essaient de contraires.
Par ſeuerité tu n’as iuſques a cette heure rien profité.	Par vérité tu n'as jusques a cette heure rien profité.
Lepidus a ſuiuy Saluidienus, Murena Lepidus, Cæpio Murena, Egnatius Cæpio, commence à experimenter comment teſuccederont la douceur & la clemence.	Lépidus a suivi Saluidienus, Murena Lépidus, Cæpio Murena, Egnatius Cæpio, commence à expérimenter comment tesucéderont la douceur et la clémence.
Cinna eſt conuaincu, pardonne luy, de te nuire deſormais il ne pourra, & profitera à ta gloire.	Cinna est convaincu, pardonne vertu, de te nuire désormais il ne pourra, et profitera à ta gloire.
Auguſte fut bien aiſe d’auoir trouué vn Aduocat de ſon humeur, & ayant remercié ſa femme & contremandé ſes amis qu’il auoit aßigné au Conſeil il commanda qu’on fit venir à luy Cinna toutſeul:	Auguste fut bien aise d'avoir trouvé un Aduocat de son humeur, et ayant remercié sa femme et contremandé ses amis qu'il avait assigné au Conseil il commanda qu'on fit venir à lu Iinna toutsevul:
& ayant fait ſortir tout le monde de ſa chambre, & fait donner vn ſiege à Cinna il luy parla en cette maniere.	et ayant fait sortir tout le monde de sa chambre, et fait donner un siège à Cinna il avait parla en cette manière.
En premier lieu, ie te demande, Cinna, paiſible audiance:	En premier lieu, Seigneur te demande, Cinna, paisible audience:
n’interromps pas mon parler, ie te donneray temps à loiſir d’y reſpondre.	n'interromps pas mon parler, on te donnerai temps à loisir d'y répondre.
Tu ſçais, Cinna, que t’ayant pris au camp de mes ennemis, non ſeulement t’eſtant fait mon ennemy, mais eſtant né tel, ie te ſauuay, ie te mis entre les mains tous tes biens, & t’ay enfin rendu ſi accommodé & ſi aiſé que les victorieux ſont enuieux de la condition du vaincu:	Tu sais, Cina, que t'ayant pris au camp de mes ennemis, non seulement t'étant fait mon ennemi, mais étant né tel, ie te sauvai, ie te mis entre les mains tous tes biens, et t'ai enfin rendu si accommodé et si aisé que les victorieux sont envieux de la condition du vaincu:
l’office du Sacerdoce que tu me demandas, ie te l’octoyay l’ayant refuſé à tant d’autres, deſquels les Peres auoient touſiours combattu auec moy:	l'office du Sacerdoce que tu me demandas, Elle te l'octoyai l'ayant refusé à tant d'autres, desquels les Pères avaient toujours combattu avec moi:
t’ayant ſi fort obligé tu as entrepris de me tuër.	t'ayant si fort obligé tu as entrepris de me tuer.
A quoy Cinna s’eſtant eſcrié quil eſtoit bien eſloigné d’vne ſi meſchante penſée, tu ne me tiens pas Cinna, ce que tu m’auois promis, ſuiuit Auguſte:	À quoi Cinna s'étant écrié quil était bien éloigné d'une si méchante pensée, tu ne me tiens pas Cinna, ce que tu m'avais promis, suivit Auguste:
tu m’auois aſſeuré que ie ne ſerois interrompu:	tu m'avais assuré que ici ne serais interrompu:
oüy, tu as entrepris de me tuër, en tel lieu, tel iour, en telle compagnie, & en telle façon:	oui, tu as entrepris de me tuer, en tel lieu, tel jour, en telle compagnie, et en telle façon:
& le voyant tranſi de ces nouuelles & en ſilence non plus pour tenir le marché de ſe taire, mais de la preſſe de ſa conſcience.	et le voyant transi de ces nouvelles et en silence non plus pour tenir le marché de se taire, mais de la presse de sa conscience.
Pourquoy, adiouſta-il, le fais-tu?	Pourquoi, ajouta-il, le fais-tu?
Eſt-ce pour eſtre Empereur?	Est-ce pour être Empereur?
Vrayement il va bien mal à la choſe publique s’il n’y a que moy qui t’empeſche d’arriuer à l'Empire.	Vraiment il va bien mal à la chose publique s'il n'y a que moi qui t'empêche d'arriver à l'Empire.
Tu ne peux pas ſeulement defendre ta maiſon, & perdis dernierement vn procez, par la faueur d’vn fimple libertin.	Tu ne peux pas seulement défendre ta maison, et perdis dernièrement un procès, par la faveur d'un simple libertin.
Quoy?	Quoi?
n’as-tu pas moyen ny pouuoir en autre choſe qu’a entreprendre Ceſar?	n'as-tu pas moyen Un pouvoir en autre chose qu'a entreprendre César?
Ie le quitte s’il n’y a que moy qui empeſche tes eſperances.	Je le quitte s'il n'y a que moi qui empêche tes espérances.
Penſes tu que Paulus, que Fabius, que les Coſſéens & Seruiliens te ſouffrent & vne ſi grande troupe de nobles, non ſeulement nobles, mais qui par leur vertu honorent leur nobleſſe?	Penses tu que Paulus, que Fabius, que les Cosséens et Serviliens te souffrent et une si grande troupe de nobles, non seulement nobles, mais qui par leur vertu honorent leur noblesse?
Apres pluſieurs autres propos.	Après plusieurs autres propos.
Car il parla à luy plus de deux heures entieres.	Car il parla à lui plus de deux heures entières.
Or va, luy dit-il, ie te donne, Cinna, la vie a traiſtre & à parricide, que ie donnay autrefois à ennemy:	Or va, Seigneur dit-il, ie te donne, Cinna, la vie a traître et à parricide, que enfin donnai autrefois à ennemi:
que l’amitié commence de ce iourd’huy entre nous:	que l'amitié commence de ce iourd’hui entre nous:
eſſayons qui de nous deux de meilleure foy, moy t’aye donné la vie, ou tu l’ayes receuë.	essayons qui de nous deux de meilleure foi, moi t'aie donné la vie, ou tu l'ai reçue.
Et ſe departit d’auec luy en cette maniere.	Et se départit d'avec venir en cette manière.
Quelque temps apres il luy donna leConſulat, ſe plaignant de quoy il ne luy auoit oſé demander, il l’eut depuis pour fort amy & fut ſeul fait par luy heritier de ſes biens.	Quelque temps après il lui donna leConsulat, se plaignant de quoi il ne lui avait osé demander, il l'eut depuis pour fort ami et fut seul fait par un héritier de ses biens.
Or depuis cét accident qui aduint à Auguſte au quarantieſme an de ſon âge il n’y eut iamais de coniuration ny d’entrepriſe contre luy, & receut vne iuſte recompenſe de cette ſienne elemence.	Or depuis cet accident qui advint à Auguste au quarantième an de son âge il n'y eut jamais de conjuration ni d'entreprise contre lui, et reçut une juste récompense de cette sienne élémence.
AC.	AC.
ACTEURS.	ACTEURS.
OCTAVE CESAR AVGVSTE Empereur de Rome.	OCTAVE CÉSAR AUGUSTE Empereur de Rome.
LIVIE Imperatrice.	LIVIE Impératrice.
Critrein inoo vno mhe de rompée, Chef de laconiuration contre Auguſte.	Critrein ino imo te de rompée, Chef de laconiuration contre Auguste.
MAXIME Autre Chef de la coniuration.	MAXIME Autre Chef de la conjuration.
ÆMILIE Fille de C.	ÆMILIE Fille de Ç.
Toranius tuteur d’Auguſte & proſcrit par luy durant le Triumdiiute	Toranius tuteur d'Auguste et proscrit par deux durant le Triumdivte
FVLVIE Confidente d’Æmilie.	FULVIE Confidente d'Emilie.
POLYCLETE Affranchy d’Auguſte.	POLYCLETE Affranchi d'Auguste.
EVANDRE Affranchy de Cinna.	EVANDRE Affranchi de Cinna.
EVPHORBE Affranchy de Maxime.	EUPHORBE Affranchi de Maxime.
La Scene eſt à Rome.	La Scène est à Rome.
I T A TRAGEDIE.	I A TRAGÉDIE.
ACTE I.	ACTE I.
SCENE PREMIERE.	SCÈNE PREMIÈRE.
Q BAme.	Q BAme.
ÆMILIE.	NEMILIE.
mpatiens deſirs d’vne illuſtre vengeance A qui la mort d’vn pere a donné la naiſſance, Enfans impetueux de mon reſſentiment Que ma douleur ſeduite embraſſe aueuglement, Vous regnés ſur mon ame auecque trop d’empire, Pour le moins vn moment ſouffrés que ie reſpire, Et que ie conſidere en l’eſtat où ie ſuis, Et ce que ie hazarde, & ce que ie pourſuis.	matiens désirs d'une illustre vengeance À qui la mort d'un père a donné la naissance, Enfants impétueux de mon ressentiment Que ma douleur séduite embrasse aveuglement, Vous regnés sur mon âme avec trop d'empire, Pour le moins un moment souffrés que deux respire, Et que mille considère en l'état où je suis, Et ce que ie hasarde, et ce que je poursuis.
Quand ie regarde Auguſte en ſon trône de gloire, Et que vous reprochés a ma triſte memoire Que par ſa propre main mon pere maſſacré, Du trône où ie le voy fait le premier degré;	Quand notre regarde Auguste en son trône de gloire, Et que vous reprochez à ma triste mémoire Que par sa propre main mon père massacré, Du trône où on le vois fait le premier degré;
Quand vous me preſentés cette ſanglante image, La cauſe de ma haine, & l’effet de ſa rage.	Quand vous me présentez cette sanglante image, La cause de ma haine, et l'effet de sa rage.
Ie m’abandonne toute à vos ardens tranſports, Et croy pour vne mort, luy deuoir mille morts:	Je m'abandonne toute à vos ardents transports, Et crois pour une mort, lui devoir mille morts:
Au milieu toutefois d’vne fureur ſi iuſte.	Au milieu toutefois d'une fureur si juste.
I’ayme encor plus Cinna que ie ne haïs Auguſte, Et ie ſens refroidir ce boüillant mouuement Quand il faut pour le perdre expoſer mon amant.	J'aime encor plus Cinfua que je ne haïs Auguste, Et ie sens refroidir ce bouillant mouvement Quand il faut pour le perdre exposer mon amant.
Ouy, Cinna, contre moy moy-meſme ie m’irrite, Quand ie ſonge aux dangers où ie te precipite.	Oui, Cinna, contre mo y-même ie m'irrite, Quandaires songe aux dangers où grande te précipite.
Quoy que pour me ſeruir tu n’apprehendes rien, Te demander ſon ſang, c’eſt expoſer le tien.	Quoi que pour me servir tu n'appréhendes rien, Te demander son sang, c'est exposer le tien.
D’vne ſi haute place on n’abat point de teſtes, Sans attirer ſur ſoy mille & mille tempeſtes, L’iſſuë en eſt douteuſe, & le peril certain:	D'une si haute place on n'abat point de têtes, Sans attirer sur soi mille et mille tempêtes, L'issue en est douteuse, et le péril certain:
Vn amy déloyal peut trahir ton deſſein, L’ordre mal concerté, l’occaſion mal priſe, Peuuent deſſus ton chef renuerſer l’entrepriſe, Porter ſur toy les coups dont tu le veux frapper, Dans ſa ruine meſme il peut t’enuelopper, Et qu’oy qu’en ma faueur ton amour execute, Il te peut en tombant accabler ſous ſa cheute.	Un ami déloyal peut trahir ton dessein, L'ordre mal concerté, l'occasion mal prise, Peuvent dessus ton chef renverser l'entreprise, Porter sur toi les coups dont tu le veux frapper, Dans sa ruine même il peut t'envelopper, Et quô qu’en ma faveur ton amour exécuite, Il te peut en tombant accabler sous sa chute.
Ah!	Ah!
ceſſe de courir à ce mortel danger, Te perdre en me vengeant, ce n’eſt pas me venger, Vn cœur eſt trop cruël quand il trouue des charmes (mes, Aux douceurs que corrompt l’amertune des larEt ie tiens qu’il faut mettre au rang des grands mal-heurs La mort d’vn ennemy qui nous couſte des pleurs.	cesse de courir à ce mortel danger, Te perdre en me vengeant, ce n'est pas me venger, Un cœur est trop cruelle quand il trouve des charmes (mes, Aux douceurs que corrompt l'amertune des larEt -je tiens qu'il faut mettre au rang des grands malheurs La mort d'un ennemi qui nous coûte des pleurs.
Mais peut-on en verſer alors qu’on venge vn pere?	Mais peut-on en verser alors qu'on venge un père?
Eſt-il perte à ce prix qui ne ſemble legere?	Est-il perte à ce prix qui ne semble légère?
Et quand ſon aſſaſſin tombe ſous noſtre effort.	Et quand son assassin tombe sous notre effort.
Doit-on conſiderer ce que couſte ſa mort?	Doit-on considérer ce que coûte sa mort?
Ceſſez vaines frayeurs, ceſſez laſches tendreſſes De ietter dans mon cœur vos indignes foibleſſes, Et toy qui les produis par tes ſoins ſuperflus, Amour, ſers mon deuoir, & ne le combats plus, Luy ceder c’eſt ta gloire, & le vaincre, ta honte, Monſtre toy genereux, ſouffrant qu’il te ſurmonte, Plus tu luy donneras, plus il te va donner, Et ne tiiomphana que pour te couronner.	Cessez vaines frayeurs, cessez lâches tendresses De jeter dans mon cœur vos indignes faiblesses, Et toi qui les produis par tes soins superflus, Amour, sers mon devoir, et ne le combats plus, Lui céder c'est ta gloire, et le vaincre, ta honte, Montre toi généreux, souffrant qu'il te surmonte, Plus tu lui donneras, plus il te va donner, Et ne tiomphan que pour te couronner.
SCENE II.	SCÈNE II.
ÆMILIE, FVLVIE.	ÆMILIE, FULVIE.
ÆMILIE.	NEMILIE.
Le l’ay iuré, Fuluie, & ie le iure encore, (l’adore, IQuoy que i’ayme Cinna, quoy que mon cœur S’il me veut poſſeder, Auguſte doibt perir, Sa teſte eſt le ſeul prix dont il peut m’acquerir, Ie luy preſcris la loy que mon deuoir m’impoſe.	Le l'ai juré, Fuluie, et ainsi le jure encore, (l'adore, IQuoi que j'aime Cina, quoi que mon cœur S'il me veut posséder, Auguste doibt périr, Sa tête est le seul prix dont il peut m'acquérir, Je peut prescris la loi que mon devoir m'impose.
FVLVIE.	FULVIE.
Elle a pour la blaſmer vne trop iuſte cauſe, Par vn ſi grand deſſein vous vous faites iuger Digne ſang de celuy que vous voulez venger, Mais encor vne fois ſouffrez que ie vous die Que cette paſſion dûſt eſtre refroidie, Auguſte chaque iour à force de bien-faits Semble aſſez reparer les maux qu’il vous a faits, Calcucur elluels vousparclle ll acelaree, Que vous eſtes chez luy la plus conſiderée, Et de ſes courtiſans ſouuent les plus heureux Ont encore beſoin que vous parliez pour eux.	Elle a pour la blâmer trop juste cause, Par un si grand dessein vous vous faites juger Digne sang de celui que vous voulez venger, Mais encor une fois souffrez que je vous die Que cette passion dût été refroidie, Auguste chaque jour à force de bienfaits Semble assez réparer les maux qu'il vous a faits, Calcucur éluels vous ll acelaree, Que vous êtes chez lui a plus considérée, Et de ses courtisans souvent les plus heureux Ont encore besoin que vous parliez pour eux.
ÆMILIE.	NEMILIE.
Toute cette faueur ne me rend pas mon pere.	Toute cette faveur ne me rend pas mon père.
Et de quelque façon que l’on me conſidere, Abondante en richeſſe ou puiſſante en credit, Ie demeure touſiours la fille d’vn proſcrit.	Et de quelque façon que l'on me considère, Abondante en richesse ou puissante en crédit, Je demeure toujours la fille d' proscrit.
ſes, Les bien-faits ne font pas touſiours ce que tu penD’vne main odieuſe ils tiennent lieu d’offences, Plus nous en prodiguons à qui nous peut haïr, Plus d’armes nous dõnons à qui nous veut trahir.	ses, Les bienfaits ne font pas toujours ce que tu penD'une main odieuse ils tiennent lieu d'offenses, Plus nous en prodiguons à qui nous peut haïr, Plus d'armes nous dõnons à qui nous veut trahir.
Il m’en fait chaque iour ſans changer mon couraIe ſuis ce que i’eſtois, & ie puis dauantage, (ge, Et des meſmes preſens qu’il verſe dans mes mains I’achepte contre luy les eſprits des Romains.	Il m'en fait chaque jour sans changer mon couraIe suis ce que j'étais, et ton puis davantage, (ge, Et des mêmes presens qu'il verse dans mes mains J'achepte contre lui les esprits des Romains.
Ie receurois de luy la place de Liuie, Comme vn moyen plus ſeur d’attenter à ſa vie, Pour qui venge ſon pere il n’eſt point de forfaits, Et c’eſt vendre ſon ſang que ſe rendre aux bien	Je recevrais de gloire la place de Livie, Comme un moyen plus sûr enter à sa vie, Pour qui venge son père il n'est point de forfaits, Et c'est vendre son sang que se rendre aux bien
FVLVIE.	FULVIE.
faits.	faits.
Quel beſoin toutefois de paſſer pour ingrate?	Quel besoin toutefois de passer pour ingrate?
Ne pouuez-vous haïr ſans que la haine eſclatte?	Ne pouvez-vous haïr sans que la haine éclatte?
Aſſez d’autres ſans vous n’ont pas mis en oubly Par quelles cruautez ſon trône eſt eſtably;	Assez d'autres sans vous n'ont pas mis en oubli Par quelles cruautés son trône est établi;
Tant de braues Romains, tant d’illuſtres victimes, Qu’a ſon ambition ont immolé ſes crimes, Laiſſent à leurs enfans d’aſſez viues douleurs Pour venger voſtre perte en vengeant leurs malheurs, Beaucoup l’ont entrepris, mille autres vont les ſuiure, Qui vit haï de tous ne ſçauroit long-temps uiure, Remettez à leurs bras les communs intereſts, Et n’aydez leurs deſſeins que par des vœux ſecrets.	Tant de braves Romains, tant d'illustres victimes, Qu'a son ambition ont immolé ses crimes, Laissent à leurs enfants d'assez vives douleurs Pour venger votre perte en vengeant leurs malheurs, Beaucoup l'ont entrepris, mille autres vont les suivre, Qui vit haï de tous ne saurait longtemps ouvre, Remettez à leurs bras les communs intérêts, Et n'aidez leurs desseins que par des vœux secrets.
ÆMILIE.	NEMILIE.
Quoy, ie le haïray ſans taſcher de luy nuire?	Quoi, Seigneur le haïrai sans tâcher de notre nuire?
I’attendray du hazard qu’il oſe le deſtruire?	J'attendrai du hasard qu'il ose le détruire?
Et ie ſatisferay des deuoirs ſi preſſans Par vne haine obſcure & des vœux impuiſſans!	Et ici satisferai des devoirs si pressants Par une haine obscure et des vœux impuissants!
Sa perte que ie veux me deuiendroit amere Si quelqu’vn l’immoloit à d’autres qu’à mon pere, Et tu verrois mes pleurs couler pour ſon treſpas Qui le faiſant perir ne me vengeroit pas.	Sa perte que je veux me deviendrait âme Si quelqu'amour l'immolait à d'autres qu'à mon père, Et tu verrais mes pleurs couler pour son trépas Qui le faisant périr ne me vengerait pas.
C’eſt vne laſcheté que de remettre à d’autres Les intereſts publics qui s’attachent aux noſtres, Ioignons à la douceur de venger nos parens La gloire qu’on t’emporte à punir les tyrans, Et faiſons publier par toute l’Italie, La liberté de Rome eſt l’œuure d’Æmilie, On a touché ſon ame & ſon cœur s’eſt eſpris, Mais elle n’a donné ſon amour qu’a ce prix.	C'est assez lâcheté que de remettre à d'autres Les intérêts publics qui s'attachent aux nôtres, Joignons à la douceur de venger nos parents La gloire qu'on t'emporte à punir les tyrans, Et faisons publier par toute l'Italie, La liberté de Rome est l'œuvre d'Ilie, On a touché son âme et son cœur s'est épris, Mais elle n'a donné son amour qu'a ce prix.
FVLVIE.	FULVIE.
Voſtre amour à ce prix n’eſt qu’vn preſent funeſte, Qui porte à voſtre amant ſa perte manifeſte.	Votre amour à ce prix n'est qu'un présent funeste, Qui porte à votre amant sa perte manifeste.
Penſez mieux, Æmilie, à quoy vous l’expoſez, Comoien à cét eſcueil ſe ſont deſia briſez, Ne vous aueuglez point quand ſa mort eſt viſible.	Pensez mieux, Immilie, à quoi vous l'exposez, Comoyen à cet écueil se sont déjà brisez, Ne vous aveuglez point quand sa mort est visible.
ÆMILIE.	NEMILIE.
Ah!	Ah!
tu ſçais me frapper par où ie ſuis ſenſible, Quand ie ſonge aux hazards que ie luy fais courir, La crainte de ſa mort me fait deſia mourir, Mon eſprit en deſordre à ſoy-meſme s’oppoſe, Ie veux & ne veux pas, ie m’emporte & ie n’oſe, Et mon deuoir confus, languiſſant, eſtonné, Cede aux rebellions de mon cœur mutiné.	tu sais me frapper par où je suis sensible, Quand Je songe aux hasards que ie ans fais courir, La crainte de sa mort me fait déjà mourir, Mon esprit en désordre à soi-même s'oppose, Je veux et ne veux pas, Seigneur m'emporte et Seigneur n'ose, Et mon devoir confus, languissant, étonné, Cède aux rebellions de mon cœur mutiné.
Tout beau, ma paſſion, deuiens vn peu moins fort Tu vois bien des hazards, ils ſont grands, mais n’importe, Cinna n’eſt pas perdu pour eſtre hazardé De quelques legions qu’Auguſte ſoit gardé, Quelque ſoin qu’il ſe donne, & quelque ordre qu’il tienne, Qui meſpriſe ſa vie eſt maiſtre de la ſienne, Plus le peril eſt grand, plus doux en eſt le fruit, La vertu nous y iette, & la gloire le ſuit.	Tout beau, ma passion, deviens un peu moins fort Tu vois bien des hasards, ils sont grands, mais n'importe, Cina n'est pas perdu pour être hasardé De quelques légions qu'Auguste soit gardé, Quelque soin qu'ils se donne, et quelque ordre qu'il tienne, Qui méprise sa vie est maître de la sienne, Plus le péril est grand, plus doux en est le fruit, La vertu nous y jette, et la gloire le suit.
Quoy qu’il en ſoit, qu’Auguſte, ou que Cinna periſſe, Aux Manes paternels ie doibs ce ſacrifice, Cinna me l’a promis en receuant ma foy, Et ce coup ſeul auſſi le rend digne de moy.	Quoi qu'il en soit, qu'Auguste, ou que Cinna périsse, Aux Manes paternels ie doibs ce sacrifice, Cinna me l'a promis en recevant ma foi, Et ce coup seul aussi le rend digne de moi.
