RRII I TRAGEDIE.	RRII I TRAGÉDIE.
Sans nul ſentiment de pitié, Dédaigne le eruel martyre Que ſans ceſſer endure Pyrrhe Piur ſa uehemiente artitié, Et qui ne ſçauroit, quoy qu’il face, Aunir part en ſa bonnc grace.	Sans nul sentiment de pitié, Dédaigne le ervel martyre Que sans cesser endure Pyrrhe Pivr sa uehémiente artitié, Et qui ne saurait, quoi qu’il face, Aunir part en sa bonnace grâce.
Mais n'iſt ce point que, commme amouin Rend les vns ennemis au mmde, Canime les tenebres au iour, La terre à l’air, le feu à l'onde:	Mais n'ist ce point que, commme amouin Rend les uns ennemis au mède, Canime les ténèbres au jour, La terre à l'air, le feu à l'onde:
Puur mettre les autres en paix, * Soue vne amitié mutuelle, Dont la cheſue perpetuelle Les accouple enſcmble à iamais Conome l’on voit la terre dure 11 Sedoindre à l'eaupar ſa froidure, Et l'eau à l’air par an humeur, Et l'air couſequenament I'aceorde.	Puvr mettre les autres en paix, * Soue une amitié mutuelle, Dont la chesue perpétuelle Les accouple enscmble à jamais Conome l'on voit la terre dure 11 Sedoindre à l'eaupar sa froidure, Et l'eau à l'air par an humeur, Et l'air couquenament J'acorde.
Sous vne paiſible concorde.	Sous une paisible concorde.
Auec le ſeu par ſa chaleur, Qui par ſe viſteſſe de meſie S’aſſenible aues le ciel ſupréma Ainſi fait-il pareillerem, Cet amour une rude amie Eſtre contraire à vn amæni, Pour la reudre à vne αutrοvmις,, Ce eſt la uraye eccaſion:	Avec le seu par sa chaleur, Qui par se vîtes de mesie S'assenible êtes le ciel supréma Ainsi fait-il pareillerem, Cet amour une rude amie Estre contraire à un amæni, Pour la revdre à une αutrοvmις, Ce est la uraie eccasion:
Ceſte Hermions, qui meſtriſe L'amcitié de Pyrrhe, eſt eſpriſe D'unoſemblable affection, Pour les beautez de ſon Oreſti, Qui luy fait eſtre ſi moleſte Enuers le Prince Achilli.	Cette Hermions, qui métrise L'amcitié de Pyrrhe, est éprise D'unosemblable affection, Pour les beautés de son Oréti, Qui lui fait être si moleste Envers le Prince Achilli.
a, Source gallica.	a, Source galica.
bnf.	bnf.
fr (Bibliothèque nationale de France	fr (Bibliothèque nationale de France
Qui deuroit, s’il eſtoit bien ſage, Deſlier du tout ſon courage D’un frpernicieux lien, Puis que l’amoureuſe pentée, De ſa Dame ailleuurs eſt placée.	Qui devrait, s'il était bien sage, Déslier du tout son courage D'un frpernicieux lien, Puis que l'amoureuse pentée, De sa Dame aillurs est placée.
hacichine AAndlomaees;	hacichine AAndlomaees;
i co¬u Helenin.	y coù Hélenin.
QAmmytant de malheuri, q'autour de ſes cortez  Dant le tomnean ſaral Iupin tient appreſlez;	QAmitant de malheuri, q autour de ses cortez Dant le tomnean saral Jupin tient appreslez;
Et qu'avo& ſur nous d’une main courroucée, Alors que nous auoniſa grandeur oſſinct́e, Pour mous faire par fois perir entieremerit, Et pour nous corriger d’autres fois ſeulcment:	Et qu'avo sur nous d'une main courroucée, Alors que nous avonisa grandeur ossinctée, Pour mous faire par fois périr entièremerit, Et pour nous corriger d'autres fois seulcment:
Il ne luy reſte pas encore une autre peſte, Qu'on regard ſi terril le, vn abord feſuneſte Face craindre aux hunaains,comme ce monſtre affreum Engendré dans l'Erebe, aux gouffres les plus creux:	Il ne notre reste pas encore une autre peste, Qu'on regard si terril le, un abord funeste Face craindre aux hunaains,comme ce monstre affreum Engendré dans l'Erebe, aux gouffres les plus creux:
Ce monstre contreſait qu’an va nommant la guerres Qii met hommes, citez, & royaumes par terre:	Ce montre contres qu'an va nommant la guerres Qi met hommes, cités, et royaumes par terre:
Qui dißipe le monde, & qui de ſa poiſon Enſercelle ſi bien la diuine raiſon De ceux meſmes qui ſont bien nez de leur nature, Qu elle les fait ietter ſans yeux, à l’auanture, Daus le mocurtre ſanglant leur empliſſans le cœur, Pour ſalide repas, d’un nuare d’honneuer, Qui leur fait meſpriſer pleins de fiere arrogance Le doux fruit dela vie, & l’alme iouyſſance De la paro clanl qo reſpadluclercimnr,	Qui dissipe le monde, et qui de sa poison Ensercelle si bien la divine raison De ceux mêmes qui sont bien nés de leur nature, Quel elle les fait jeter sans yeux, à l'aventure, Daus le mocurtre sanglant leur emplissants le cœur, Pour salide repas, d'un nuare d'honnuer, Qui leur fait mépriser pleins de fière arrogance Le doux fruit déla vie, et l'alme jouissance De la para clanl eure,
Penſez qu’il y a bien de l’honneur ie vous pris, A fairedes humains vne grand' boncherie?	Pensez qu'il y a bien de l'honneur je vous pris, À fairedes humains une grand boncherie?
Et s’entremaſſacrer, comme font dans les boiLes animaux felons ſans police & ſans loix?	Et s'entremassacrer, comme font dans les boiLes animaux felons sans police et sans lois?
Et qui detesteroient tontesſois le carnage, Quelques brutaux qu’ils ſoient, s’ils auoient cen vſagt De la voix ſeulement, ainſi que mouis auons, Qui peuſt mettre quelque ordre à leurs diſſenſions?	Et qui détesteraient tontessois le carnage, Quelques brutaux qu'ils soient, s'ils avaient cen usagt De la voix seulement, ainsi que mouis avons, Qui pût mettre quelque ordre à leurs dissensions?
Or les combats de ſoy eſtans ſi deteflables, S’ils efloicut neanmoins quelquesfois proſitables, Ie ne les dirois pas du tout à reietter:	Or les combats de soi étant si déteflables, S'ils éloicut néanmoins quelquefois prositables, Je ne les dirais pas du tout à rejetter:
Mais on ne vit iamais la guerre profiter:	Mais on ne vit jamais la guerre profiter:
Car ceux, qui meſurement remporiem le victonre, Auecques trop de perte acheieut cette gloire.	Car ceux, qui mesurément remporie le victonre, Avecques trop de perte achieut cette gloire.
Et bien voilà les Grecs qui nous ont déconfits, Quel bien leur eſt venn de nous auoir deſtraits?	Et bien voilà les Grecs qui nous ont déconfits, Quel bien leur est venn de nous avoir détraits?
Qu’ont -ils pour auoir vnis nostre ville au pillage, Tout nostre pcuple à mort, ou en triſte ſeruages Ils y ont à la ſin autant perdn que nous, Et le mal a esté rantacieux à tous.	Qu'ont -ils pour avoir unis Seigneur ville au pillage, Tout notre puple à mort, ou en triste servages Ils y ont à la sin autant perds que nous, Et le mal a été rantacieux à tous.
Tandis qu'Agamemnon eſt ailleurs en aliere Bien loin de ſon royamue à venger l’adultere, Dans ſa propre maiſon l’aduliere eſl commis:	Tandis qu'Agamemnon est ailleurs en alière Bien loin de son royamue à venger l'adultère, Dans sa propre maison l'adulière él commis:
Et alors qu’il reuiens vainqueur des ennemis, Il ſe trouue vaineu par les mains de ſa femms, Qui meſchante luy paſſe une meurtriere lame Au trauers l’estomach, aſin qu’à ſon deſir De ſon mignon Egiſthe elle prenne plaiſir.	Et alors qu'il reviens vainqueur des ennemis, Il se trouve vainé par les mains de sa femms, Qui méchante-même passe une meurtrière lame Au travers l'estomac, asin qu'à son désir De son mignon Egisthe elle prenne plaisir.
Et or' que mal cmntent au creux de l'enfer ſembre Ce Roy eſt denalé, qui eſt-il plus que l'omabre De Priam ſon égal, pour lequel accabli Il a fait en vn camp tant de gens aſſabeler?	Et or' que mal cmntent au creux de l'enfer sembre Ce Roi est denalé, qui est-il plus que l'omabre De Priam son égal, pour lequel accabli Il a fait en un camp tant de gens assabeler?
Que ſont les deux Aiax, & Patrecle & AAchile,	Que sont les deux Ajàx, et Pattrecle et AAchille,
Maintenant plus qu'Hector, Sarpedon, c Traïle?	Maintenant plus qu'Hector, Sarpédon, ç Traïle?
Et encor fe l’on vent de prés y aduiſer, Les noſtres ſont bien plus que les Grecs à priſer:	Et encor se l'on vent de près y aviser, Les nôtres sont bien plus que les Grecs à priser:
Car ils ont enduré la mort pour leur patrie, Et les Grecs au contraire auenglez de ſurie Se ſent violemnment ou d’eux meſme tuez, Uu les grands Dieux les ont itſtement fondroyez, Ou l’amoureuſe ardeur de leur laſeine flams Les a denant le temps mis ſisus la jroide lame, Et ſi quelques Gregeois ont retardí l’effort, Pour vn perit de temps, d’une prochaine mori, C’eſt pour ſoitffrir :	Car ils ont enduré la mort pour leur patrie, Et les Grecs au contraire autenglez de surie Se sent violemnment ou d'eux même -tués, Uu les grands Dieux les ont itstement fondroyez, Ou l'amoureuse ardeur de leur seine flams Les a denant le temps mis sisans la jroide la, Et si quelques Grègeais ont retard l'effort, Pour un périt de temps, d'une prochaine mory, C'est pour soitffrir :
andis en region lointaine Banis de leurs mæiſons dauantage de peine Que nous, qui ſirinans au destin du pays, Sommes deſſous leur main eſclaurs aſſeruis.	andis en région lointaine Banis de leurs mæisons davantage de peine Que nous, qui sirinants au destin du pays, Sommes dessous leur main éclaurs asservis.
Trdide relegné aux confins d'Auſonie Transformée en oyſeau pleure ſa compagnie, Menelas par le monde eſtranger vagabond A venie croy l'Artique & l’.	Tride relegné aux confins d'Ausonie Transformée en oiseau pleure sa compagnie, Ménélas par le monde étranger vagabond A venie crois l'Artique et l'.
Antartique gond, Et le traiſtre Itaquois a ſenty ſous l'orage Deux ou trois fois ſa neſ faire t:	Antartique gond, Et le traître Itaquais a senti sous l'orage Deux ou trois fois sa nés faire t:
iſte naufrage, Dont luy mefme à grand' peine a il peu s'échapper, Il a ven le Cyclope horriblement frapper Le chef de ſes ſoldais contre vne groſſe pitrre, Et en faire rouler la cerurlle pur terre, La ceruelle meſlíe au ſang qui rougiſſoit, Et de pourpre & deblanc la terre tapiſſoit, Spectacle miſerable au reſte de la bande, Qui ne s’attendoit plus qu’à ſeruir de viandi, Iuy voyan denorer ſons ſer ſanglantes dents, Leurs corps qui duoy vifs trembloieient an dedans.	ôte naufrage, Dont nous -même à grand' peine a il peu s'échapper, Il a ven le Cyclope horriblement frapper Le chef de ses soldais contre notre grosse pitrre, Et en faire rouler la cerurlle pur terre, La cervelle mêlée au sang qui rougissait, Et de pourpre et déblanc la terre tapissait, Spectacle misérable au reste de la bande, Qui ne s'attendait plus qu'à servir de viandi, Juy an denorer sons s sanglantes dents, Leurs corps qui du vifs trembloieient an van.
Bref, il n'rperſonne en repos ſinon Pyrrhe, S’il ſe trouue clivipos quand d'amour il foupire, D'eſpandre tour le ſang dans ſes veines enclos.	Bref, il n'rpersonne en repos sinon Pyrrhe, S'il se trouve clivipos quand d'amour il foupire, D'épandre tour le sang dans ses veines enclos.
Mais ie vois, ce tue ſemble, arriuer Andromache, PEMuumje MmMMancamquass	Mais ie vois, ce tue semble, arriver Andromache, PEMuumje MémMancamquass
Andromache Sonffrirons nous touſiours cette captiuité?	Andromache Sonffrirons nous toujours cette captivité?
Ne r'auront-nous iamæis la douce liberté?	Ne rauront-nous jamæis la douce liberté?
Las!	Las!
ne pourrons-nous poins de noſtre ſeruitude Secouer quelque iour le ious peſamiuent rude, Qui nous preſſe le col, comme à des pauures bæufs, Qui tirent læ charruë accouplez deux à deux?	ne pourrons-nous poins de notre servitude Secouer quelque jour le jous pesamivent rude, Qui nous presse le col, comme à des pauvres bæufs, Qui tirent læ charrue accouplez deux à deux?
O trois & quatre fois plus que treſ-foriunée Celle qui au pays ſa iniſere a bornis, Sur la tombe enemrie arant ſouffert la mort, Et qui n’a comne nout eſté lotie au ſort, Pour entrer par apres captiue dans la couche D'vn ſuperbe vainqueur, & Seigneur trop faronche, Et lequel pour vn autre estant ſoulé de nous Serue nous a baillee à vn eſclane eſpoux.	Ô trois et quatre fois plus que très-foriunée Celle qui au pays sa inisère a bornis, Sur la tombe enemrie arant souffert la mort, Et qui n'a comne nout été lotie au sort, Pour entrer par après captive dans la couche D'un superbe vainqueur, et Seigneur trop faronche, Et lequel pour un autre étant soulé de nous Serve nous a bailleée à un esclane époux.
Helenin.	Hélenin.
Et quoy dont qu’auez-vous, Andromache, à vous Biallalrer.	Et quoi dont qu'avez-vous, Andromache, à vous Biallalrer.
Quel accident nouueau vous eſt uenu Attaindre, Pour faire deſployer voſtre voix aux ſanglots, Es vous faire tenir de ſi triftes propos.	Quel accident nouveau vous est ouvenu Attaindre, Pour faire déployer votre voix aux sanglots, Es vous faire tenir de si tristes propos.
Andromache.	Andromache.
Quoy?	Quoi?
nos malheurs paſſez ſont-ils ſi peu de choſe, Qu’il vous faille enquerir encore de la cauſe Qui me fait lamenter, en vn ſi grand eſmoy?	nos malheurs passez sont-ils si peu de chose, Qu'il vous faille enquérir encore de la cause Qui me fait lamenter, en un si grand émoi?
Helas!	Hélas!
voyez-vous pas aſſez, & trop dequoy Taire à ban droit encors une plus grande plainte, Parmy tãt de malheurs, dont ler Dieux m'õt attainte?	voyez-vous pas assez, et trop dequoy Taire à ban droit encors une plus grande plainte, Parmi tant de malheurs, dont ler Dieux m'õt attainte?
Et demander que i’ay, voudriez-vons qu’auourd'hny Il nous ſuruins encor' qualque nonmel tanuy?	Et demander que j'ai, voudriez-vons qu'auourd'hni Il nous survins encor qualque nonmel tanui?
