AT.	AT.
Tu deurois libremant, du moins à tes amis, Ne receler ton nom, ains d’vne voix hardie Te declarer icy, afin qu’il fût permis Te loüer en loüant ta Tragi-comedie.	Tu devrais libremant, du moins à tes amis, Ne receler ton nom, ains d'une voix hardie Te déclarer ici, afin qu'il fût permis Te louer en loüant ta Tragi-comédie.
L.	L.
G.	G.
2 2	2 2
A L'AVTHEVR.	À L'AUTHÉVR.
Bien qu'vne emperlée Coronne Ia tõ noble Chef enuirõne, Tu te rẽs encor par tes Vers Fauory du fils de Latonne, Qui pour recõpẽſe te dõne La Guirlande de Lauriers Vers.	Bien qu'une emperlée Coronne Ia tendre noble Chef environne, Tu te re encor par tes Vers Favori du fils de Latonne, Qui pour recõpẽse te dõne La Guirlande de Lauriers Vers.
LES amour aſſubiectiſſoit aux volontés de ce Berger.	LES amour assubiectissait aux volontés de ce Berger.
Cette piece eſt intitulée, Les TROPHEES DE LA FIDELITE':	Cette pièce est intitulée, Les TROPHÉES DE LA FIDÉLITÉ:
en effet chacun de ces quatre principaux perſonnages y fait paroître cette vertu à l’enui.	en effet chacun de ces quatre principaux personnages y fait paraître cette vertu à l'envi.
Cleogene ne pouuant flechir l’eſprit de Silaire par les promeſſes;	Cléogène ne pouvant fléchir l'esprit de Silaire par les promesses;
nullemant rebuté de ſes froides réponces, ſans ſe ſeruir du priuilege de ſa qualité, qui ſembloit authoriſer la violence dans l’accompliſſemant de ſes deſirs, eut recours à l’autorité paternelle, qu’il donna pour caution de la pureté de ſon amour à la vertu de Silaire, la iugeant iuſtemant ſcrupuleuſe & retenuë dans vn pas ſi gliſſant :	nullemant rebuté de ses froides réponces, sans se servir du privilège de sa qualité, qui semblait autoriser la violence dans l'accomplissemant de ses désirs, eut recours à l'autorité paternelle, qu'il donna pour caution de la pureté de son amour à la vertu de Silaire, la jugeant justemant scrupuleuse et retenue dans un pas si glissant :
Il employe Hermante, ſien confidant, à propoſer ſon deſſein à Palemon & Gynecie pere & mere de Silaire, qui les trouuant faciles à ſes intentions, leur laiſſe entre les mains la charge de diſpoſer l’eſprit de leur fille à l’obeyſſance:	Il emploie Hermante, sien confidant, à proposer son dessein à Palemon et Gynécie père et mère de Silaire, qui les trouvant faciles à ses intentions, leur laisse entre les mains la charge de disposer l'esprit de leur fille à l'obéissance:
mais Amour qui l’exige de tout le monde, ne la leur voulut pas rendre, comme ne recognoiſſant point de ſuperieur.	mais Amour qui l'exige de tout le monde, ne la leur voulut pas rendre, comme ne reconnaissant point de supérieur.
Silaire apres auoir longuemant combatu leurs raiſons, accablee de douleur & de laſſitude s’endort ſur le gaſon.	Silaire après avoir longuemant combattu leurs raisons, accable de douleur et de lassitude s'endort sur le gazon.
Eliſe cependant n’ayant pas treuué moins de reſiſtance dans l’eſprit de Timandre, apprend de lui méme que l’engagemant de ſa foy, deſia donnee à Silaire, l’oblige à cette cruauté.	Élise cependant n'ayant pas trouvé moins de résistance dans l'esprit de Timandre, apprend de lui -même que l'engagemant de sa foi, déjà donnée à Silaire, l'oblige à cette cruauté.
Cette Princeſſe, conſeillee de ſon ſeul déſeſpoir, n’eſpere ſon ſalut que par la perte de ſa riuale:	Cette Princesse, conseille de son seul désespoir, n'espère son salut que par la perte de sa rivale:
Pour la faire reüſſir auec moins de ſoupçon, elle reſout de ſe ſeruir d’vne pomme empoiſonnee, dont l’odeur aſſoupiſſoit le cerueau d’vne mortelle l’etargie.	Pour la faire réussir avec moins de soupçon, elle résout de se servir d'une pomme empoisonnée, dont l'odeur assoupissait le cerveau d'une mortelle l'étargie.
Endurcie dans ce mauuais deſſein, elle part pour le mettre en execution, & treuue tout à propos Silaire endormie.	Endurcie dans ce mauvais dessein, elle part pour le mettre en exécution, et trouve tout à propos Silaire endormie.
Aprés auoir vaincu toutes les reſiſtances, que l’horreur de ſon crime, la crainte de Dieu, & ſon propre naturel oppoſoyent à cette fureur, elle met cette pomme ſur le ſein de Silaire.	Après avoir vaincu toutes les résistances, que l'horreur de son crime, la crainte de Dieu, et son propre naturel opposaient à cette fureur, elle met cette pomme sur le sein de Silaire.
Auſſi tôt qu’Eliſe ſe fut retiree, Cleogene arriue, qui s’étant ſaiſi de cette pomme, LES IROPHEES pendant le ſommeil de ſa maîtreſſe, lui fait part à ſon reueil des nouuelles eſperances, qu’il a conçeües ſut le conſentemant de ſes parens:	Aussi tôt qu'Élise se fut retirée, Cleogene arrive, qui s'étant saisi de cette pomme, LES IROPHEES pendant le sommeil de sa maîtresse, lui fait part à son réveil des nouvelles espérances, qu'il a conçues sut le consentement de ses parens:
mais la froideur de Silaire lui faiſant voir, qu’il étoit bien loing de ſon conte, il s’opiniâtre à la reduire par ſes raiſons.	mais la froideur de Silaire lui faisant voir, qu'il était bien loin de son conte, il s'opiniâtre à la réduire par ses raisons.
Timandre ſuruient, qui le voyant dans cette entrepriſe, preſsé d’vne ialouſie bien fondee, craignant que l’aſſiduité & l’ambition ne preualuſſent ſur la fermeté de Silaire, apoſte le paſteur Damon, pour donner vn faux aduis à Cleogene, de l’embraſemant du chateau de Capiante, lieu de ſa demeure ordinaire dépuis la naiſſance de ſa paſſion, & de la priſe de la ville par les ſoldats du Tyran de Meſſine, ennemi capital de Cleogene.	Timandre survient, qui le voyant dans cette entreprise, pressé d'une jalousie bien fondée, craignant que l'assiduité et l'ambition ne prévalussent sur la fermeté de Silaire, aposte le pasteur Damon, pour donner un faux avis à Cleogene, de l'embrasemant du château de Capiante, lieu de sa demeure ordinaire depuis la naissance de sa passion, et de la prise de la ville par les soldats du Tyran de Messine, ennemi capital de Cléogéne.
Damon debite ſa nouuelle auec la frayeur neceſſaire à la repreſentation de ce deſordre, ne cognoiſſant nullemant le Prince, qui ſe retire pour pouruoir à la ſuite de cét accidant.	Damon débite sa nouvelle avec la frayeur nécessaire à la représentation de ce désordre, ne connaissant nullemant le Prince, qui se retire pour voir à la suite de cet accidant.
Il emporte auec ſoy par mégarde cette pomme fatale, qui ioüe ſi bien ſon ieu, que Cleogene tumbe malade, & perſuadé aux derniers abois par ſon amour, que ſon corps auoit ſuccombé ſous l’agitation de ſon eſprit, & que la violance de ſa paſſion cauſoit ſa mort:	Il emporte avec soi par mégarde cette pomme fatale, qui joue si bien son jeu, que Cleogene tombe malade, et persuadé aux derniers abois par son amour, que son corps avait succombé sous l'agitation de son esprit, et que la violance de sa passion causait sa mort:
idolatre de la cauſe, il en benit l’effet, & dans ſes derniers ſouſpirs, pour témoignage de ſa perſeuerance, il commanda à Philandre d’aller porter ſon ſceptre, & ſa couronne aux pieds de ſa Bergere, & luy rendre cette pomme, dont il ignoroit la vertu, que l’air auoit rendue incapable de nuire d’auantage, Cleogene en ayant beu tout le venin, comme extremement ſubtil & delicat.	idolâtre de la cause, il en bénit l'effet, et dans ses derniers soupirs, pour témoignage de sa persévérance, il commanda à Philandre d'aller porter son sceptre, et sa couronne aux pieds de sa Bergère, et lui rendre cette pomme, dont il ignorait la vertu, que l'air avait rendue incapable de nuire d'avantage, Cleogene en ayant bu tout le venin, comme extrêmement subtil et délicat.
Philandre, apres auoir fermé les yeux à ſon maître, part pour obeïr à ſes dernieres volontés, & rencontrant Silaire, luy fait le recit de la mort de Cleogene, & des preuues qu’ir auole domie de lon amour en mourant.	Philandre, après avoir fermé les yeux à son maître, part pour obéir à ses dernières volontés, et rencontrant Silaire, lui fait le récit de la mort de Cleogene, et des preuves qu'ir avole domie de lon amour en mourant.
Apres le Sceptre & la Couronne, il met encore à ſes pieds ceſte pomme empeſtée, luy diſant, comme étoit alors auec Silaire & Timandre, où attendant le tragique effet de ſa malice, pour deceuoir l’eſprit de Timandre, & ietter les premieres ſemances d’affection inſenſiblemant dans ſon cœur, elle feignoit que ſon amour s’étoit changee en vne amitié eſgale pour tous deux, dont elle leur demandoit le reciproque:	Après le Sceptre et la Couronne, il met encore à ses pieds cette pomme empestée, Seigneur disant, comme était alors avec Silaire et Timandre, où attendant le tragique effet de sa malice, pour décevoir l'esprit de Timandre, et jeter les premières semances d'affection insensiblement dans son cœur, elle feignait que son amour s'était change en une amitié égale pour tous deux, dont elle leur demandait le reciproque:
mais voyant vn contraire ſuccés à ſes intentions, agitee des remors de ſa mauuaiſe conſcience, elle découurit ſa méchanceté, & la crainte du ſupplice ſe ioignant à cette ſyndereſe, par vne punition exemplaire de la main de Dieu, elle deuint frenetique, & mourut dans des illuſions étranges, s’imaginant d’auoir reçeu vn coup de maſſe, de l’ombre du défunct.	mais voyant un contraire succès à ses intentions, agitée des remors de sa mauvaise conscience, elle découvrit sa méchanceté, et la crainte du supplice se joignant à cette synderese, par une punition exemplaire de la main de Dieu, elle devint frénétique, et mourut dans des illusions étranges, s'imaginant d'avoir recev un coup de masse, de l'ombre du défunt.
Cleogene, Palemon, & Gynecie accourus aux cris de cette mourante deſeſperee, apres auoir adoré la iuſtice des Dieux, & cogneu par le recit de cette hiſtoire tragique, que le Berger & la Bergere étoyent ſous leur protection, pliant leurs ſens ſous les volontés diuines, accorderent leur conſentemant au mariage de Timandre & de Silaire, à qui ils firent donner les paroles reciproques en leur preſence.	Cléogène, Palemon, et Gynecie accourus aux cris de cette mourante désespère, après avoir adoré la justice des Dieux, et connu par le récit de cette histoire tragique, que le Berger et la Bergère étaient sous leur protection, pliant leurs sens sous les volontés divines, accordèrent leur consentemant au mariage de Timandre et de Silaire, à qui ils firent donner les paroles reciproques en leur présence.
LES  tt E LESACIEVRS.	LES toit E LESACIEURS.
SILAIRE Bergere.	SILAIRE Bergère.
TIMANDRE Berger.	TIMANDRE Berger.
PALEMON pere de Silaire.	PALÉMON père de Silaire.
GYNECIE mere de Silaire.	GYNECIE mère de Silaire.
DAMON autre Berger.	DAMON autre Berger.
ELISE Princeſſe de Palerme.	ÉLISE Princesse de Palerme.
AGATHIE ſa confidante.	AGATHIE sa confidante.
CLEOGENE Roy de Syracuſe.	CLÉGENE Roi de Syracuse.
HERMANTE ſon confidant.	HÉRMANTE son confidant.
PiriDi Dier autre confidant.	PiriDi Dier autre confidant.
ESCVLAPE Medecin.	ECULAPE Médecin.
FLORESTAN.	FLORÊTAN.
LLSERSTIIEES DE LA FIDELITÉ, TRAGE-COMEDIE PASTORALE.	LLSERSTIIES DE LA FIDÉLITÉ, TRAGE-COMÉDIE PASTORALE.
ACTE PREMIER.	ACTE PREMIER.
TIMANDRE, SILAIRE, CLEOGENE.	TIMANDRE, SILAIRE, CLÉGENE.
SCENE PREMIERE.	SCÈNE PREMIÈRE.
TIMANDRE, SILAIRE.	TIMANDRE, SILAIRE.
TIMANDRE SEVL.	TIMANDRE SEUL.
OLEIL, pere du iour, depuis que l’vniuers Reçoit de ta clarté tant de bienfaicts diuers:	OLEIL, père du jour, depuis que l'univers Reçoit de ta clarté tant de bienfaits divers:
De toutes les beautés, que ta lumiere éclaire, En as-tu veù qui ſoit comparable à Silaire?	De toutes les beautés, que ta lumière éclaire, En as-tu vue qui soit comparable à Silaire?
As-tu bien remarqué l’ardeur de ſes beaux yeux, Toi qui es le plus grand de tous les feux des cieux?	As-tu bien remarqué l'ardeur de ses beaux yeux, Toi qui es le plus grand de tous les feux des cieux?
Encor que ta chaleur, & ta douce influance Donne à toute la terre, & l’ame, & l’abondance, Que l’enfer ſoit ialoux de ce que ſur ſes bors Ta	Encor que ta chaleur, et ta douce influance Donne à toute la terre, et l'âme, et l'abondance, Que l'enfer soit jaloux de ce que sur ses bors Ta
26 Ta puiſſance nous fait recueillir des treſors:	26 Ta puissance nous fait recueillir des trésors:
Tu n'eus iamais pourtant de ſi puiſſantes flâmes Que celles que Silaire alume dans les ames;	Tu n'eus jamais pourtant de si puissantes flammes Que celles que Silaire alume dans les âmes;
Vne œillade pour moi fauorable vaut mieux, Que l’éclat enchanteur d’vn treſor pretieux:	Une œillade pour moi favorable vaut mieux, Que l'éclat enchanteur d'un trésor prétieux:
C’eſt d'vn fidele Amant la iuſte recompance, Apres infinis maux ſoufferts dans ſa conſtance:	C'est d'un fidèle Amant la juste récompense, Apres infinis maux soufferts dans sa constance:
Ses yeux clos, ou ouuers font la nuit, ou le iour, Ils rendent, comme toy, le plus rude ſejour Agreable par force, à quiconque eſt ſenſible Au pouuoir abſolu d’vne beauté viſible, Comme le premier trait de ta belle clarté Donne aux fleurs la couleur, la grace, & la beauté, Et puis ſur le midi ta chaleur violente, Faniſſant leur beau tein rend leur face mourãte.	Ses yeux clos, ou uers font la nuit, ou le jour, Ils rendent, comme toi, le plus rude séjour Agréable par force, à quiconque est sensible Au pouvoir absolu d'une beauté visible, Comme le premier trait de ta belle clarté Donne aux fleurs la couleur, la grâce, et la beauté, Et puis sur le midi a chaleur violente, Fanissant leur beau tein rend leur face mourante.
Ainſi lors que ie ſors de l’effroyable nuit D’vne abſence odieuſe, & que ſon œil me luit, Ce fauorable éclat épanoüit mon ame, Et flatte mon eſprit d’vne ſi douce flâme, Que bien que mes deſirs ſoient aprés biẽ preſſans, Dans ce premier abord leurs traits sõt languißãs, Et pour plaire à mon cœur lui preſentent l’amorce:	Ainsi lors que ie sors de l'effroyable nuit D'une absence odieuse, et que son œil me luit, Ce favorable éclat épanoüit mon âme, Et flatte mon esprit d'une si douce flamme, Que bien que mes désirs soient après bien pressans, Dans ce premier abord leurs traits sont languissãs, Et pour plaire à mon cœur lui présent l'amorce:
Mais dés que ſes raions ont déploié leur force, Ie ſens par mes deſirs accroiſtre mes tourmans, Ie perds la liberté de tous mes ſentimans;	Mais dès que ses rayons ont déployé leur force, Je sens par mes désirs accroître mes tourmants, Je perds la liberté de tous mes sentimants;
Ma raiſon ſe retire, & mon ame embrasée N’a plus de fonction qui lui demeure aisée, Et ſans plus diſputer de la comparaiſon Que d’elle auecque toy ie fais auec raiſon, Te ſuffiſe que c'eſt le Soleil de mon ame, Que ie ſuis en tenebre éloigné de ſa flâme, Que bien que ta bonté nous ait donné le iour, Il eſt encore nuit ſur l’horizon d’Amour, Qui d’auiourd’hui n’a veû ſon aimable preſance:	Ma raison se retire, et mon âme embrasée N'a plus de fonction qui lui demeure aisée, Et sans plus disputer de la comparaison Que d'elle approuve toi ie a auec raison, Te suffise que c'est le Soleil de mon âme, Que ie suis en ténèbre éloigné de sa flamme, Que bien que ta bonté nous ait donné le jour, Il est encore nuit sur l'horizon d'Amour, Qui d'aujourd'hui n’a vu son aimable présance:
Mais l’ombre ſe retire, & ma belle s’auance.	Mais l'ombre se retire, et ma belle s'avance.
Oui:	Oui:
ſans doute c’ét elle, vn autre n’auroit pas, Tant d’éclat dans ſes yeux, ni de grace en ſes pas.	sans doute c'est elle, un autre n'aurait pas, Tant d'éclat dans ses yeux, ni de grâce en ses pas.
Il la faut ſalüer:	Il la faut saluer:
D’où vient belle Silaire, Qauiourà my vous aues cotre voſtre ordinaire s’auãEté ſi pareſſeuſe?	D'où vient belle Silaire, Qaujourà mi vous avez cotre vôtre ordinaire s'auãEté si paresseuse?
SILAIRE.	SILAIRE.
A ne t’en point mentir, Cétte faute n’a pas eté ſans repentir;	À ne t'en point mentir, Cette faute n'a pas été sans repentir;
Ainſi que ſur le point que l’Aurore ſe leue, Tu ſçais que mon ſommeil en ce temps-là s’acheue, I'étois préte à ſortir;	Ainsi que sur le point que l'Aurore se lève, Tu ais que mon sommeil en ce temps-là s'achève, J'étais préte à sortir;
ma mere, à qui les ans Ont oté la ſanté qui ſuit les ieûnes gens, A fait vn cry fort haut, moi ſans étre inhumaine, Ie n'ay peû refuſer mon ſecours, ni ma paine A ſa nature foible, à qui les traits perçans D'vne colique aigue auoyent touché les ſens, I’ay tâché d’aleger ſa douleur & ſa plainte, Mon aide a r’alumé ſa chaleur preſque étainte;	ma mère, à qui les ans Ont oté la santé qui suit les ieûnes gens, A fait un cri fort haut, moi sans être inhumaine, Je n'ai pu refuser mon secours, ni ma paine À sa nature faible, à qui les traits perçans D'une colique aigue avaient touché les sens, J'ai tâché d'alléger sa douleur et sa plainte, Mon aide à ralumé sa chaleur presque étainte;
Comme-on voit peu durer ce qui ét violent, Son mal en peu de temps ét deuenu plus lent, Et luy ayant permis de repoſer encore, M’a laiſsé reuenir vers celuy que i’adore.	Comme-on voit peu durer ce qui est violent, Son mal en peu de temps est devenu plus lent, Et lui ayant permis de reposer encore, M'a laissé revenir vers celui que j'adore.
Berger, tiens pour certain que ce retardemant M’a beaucoup aporté de mécontentemant:	Berger, tiens pour certain que ce retardemant M'a beaucoup apporté de mécontentemant:
Nas-tu point cepenuuni eu querquempatiances	Nas-tu point cepenuuni eu querquempatiances
TIMANDRE.	TIMANDRE.
Croy que dés le moment que ie pers ta preſance, Ie ſuis vn corps ſans ame, & mon ardant amour Souſpire inceſſammant la mort ou ton retour.	Crois que dès le moment que je pers ta presance, Je suis un corps sans âme, et mon ardant amour Souspire incessammant la mort ou ton retour.
SILAIRE.	SILAIRE.
Tu ne peus founmitentmtintcur cette enuie M’offenceroit par trop, puis que ie ſuis ta vie.	Tu ne peux founmitentmîtintcur cette envie M'offenserait par trop, puis que ie suis ta vie.
TIMANDRE.	TIMANDRE.
Außi loin de tes yeux, ſans poux, ſans mouuement, Ie ne differe en rien des corps d’vn monument.	Aussi loin de tes yeux, sans poux, sans mouvement, Je ne diffère en rien des corps d'un monument.
SILAIRE.	SILAIRE.
Mu prefence pem uonureſuciter vne ombre.	Mu présence pém uonuresuciter une ombre.
TIMANDRE.	TIMANDRE.
Tu fais en mon fujet des miruetes fans nombre.	Tu fais en mon sujet des miruetes fans nombre.
ILAIRE.	ILAIRE.
Tu me feras paſſer pour vne deïte.	Tu me feras passer pour une deïte.
TIMANDRE.	TIMANDRE.
Ta puiſſance n'ét pas moindre que ta beauté, Qui diuine me fait ſous cét habit profâne Croire de voir Iunon, ou Venus, ou Diane,	Ta puissance n'est pas moindre que ta beauté, Qui divine me fait sous cet habit profâne Croire de voir Junon, ou Venus, ou Diane,
ILATRE.	ILATRE.
Ne ſois point complaiſant par des impietés:	Ne sois point complaisant par des impiétés:
Crains-tu point le courroux de ces trois Deïtés, Que ta comparaiſon offence trop honteuſe?	Crains-tu point le courroux de ces trois Deïtés, Que ta comparaison offense trop honteuse?
TIMANDRE.	TIMANDRE.
Pardonne cette erreur à ma langue amoureuſe, Qui ne ſçauroit aßés éleuer tes appas:	Pardonne cette erreur à ma langue amoureuse, Qui ne saurait assez élever tes appas:
Non Non:	Non Non:
tu n’és point Iunon, ie ne le voudroy pas, Tu ſerois trop ialouſe, & ferois trop d’injure A ma fidelité, m’eſtimant vn parjure:	tu n'avez point Junon, Seigneur ne le voudrais pas, Tu serais trop jalouse, et ferais trop d'injure À ma fidélité, m'estimant un parjure:
Si tu eſtois außi la deeſſe Venus, Ie verrois pres de toy les Cupidons tous nus:	Si tu étais aussi la déesse Venus, Je verrais pres de toi les Cupidons tous nus:
Ie ne le voudroy pas;	Je ne le voudrais pas;
car tu ſerois comme elle Facile aux appetits d’vne amitié nouuelle:	car tu serais comme elle Facile aux appétits d'une amitié nouvelle:
Tu es encore moins la Deeſſe des bois;	Tu es encore moins la Déesse des bois;
Les Dieux ne veulent pas que tu ſuiues ſes loix:	Les Dieux ne veulent pas que tu suives ses lois:
Elle tient à vertu d’auoir vn cœur ſauuage, Chés qui iamais l’amour n'a peû trouuer paſſage;	Elle tient à vertu d'avoir un cœur sauvage, Chez qui jamais l'amour n'a pu trouver passage;
Et i'aprens de tes yeux, où mon pourtraict ie voy, Qu'Amour te rend ſenſible aux mémes traits que moy:	Et j'apprends de tes yeux, où mon pourtrait ie cy, Qu'Amour te rend sensible aux mêmes traits que moi:
Et s’il eſt vray, qu’en fin Endymion pour elle Se rencontra plus beau qu'elle ne fût cruelle, ene ſuiſou ioujours aormin te pauure Amant.	Et s'il est vrai, qu'en fin Endymion pour elle Se rencontra plus beau qu'elle ne fût cruelle, ene suisou jours àormin te pauvre Amant.
Au lieu que tu me fais veiller inceſſammant, Et ne donnes inmais du repos à mon ame.	Au lieu que tu me fais veiller incessammant, Et ne donnes inmais du repos à mon âme.
SILAIRE.	SILAIRE.
Voudrois-tu biẽ m’aymer auecque moins de flâme?	Voudrais-tu bien m'aimer auecque moins de flamme?
TIMANDRE.	TIMANDRE.
Non ie te le proteſte, & i'en iure tes yeux;	Non ici te le proteste, et j'en jure tes yeux;
Ie veus bien, s’il ſe peut, t’aymer encore mieux:	Je veux bien, s'il se peut, t'aimer encore mieux:
Mais Amour m’a aprins le fons de ſa ſcience;	Mais Amour m'a apprins le fonds de sa science;
Le mien ne reçoit plus augment ni defaillance:	Le mien ne reçoit plus augment ni défaillance:
Que ſi iamais mon cœur receuoit d’autres traits, Ce qu’il ne peut pourtant, bleſsé de tes attraits, Afin que mon eſprit recognoiſſe ſon crime, Qu'vn iuſte chaſtiment le tire de labyme, Ie conſens que le loup rauage inpunément Le parcs où mes agneaux belent innocemment, Que mõ troupeau iamais ne treuue de l’herbage, Que languiſſant de ſoif il periſſe de rage, Et qu'Iris, la brebis que tu cheris ſi fort, Tumbe deuant mes yeux aux ombres de la mort.	Que si jamais mon cœur recevait d'autres traits, Ce qu'il ne peut pourtant, blessé de tes attraits, Afin que mon esprit reconnaisse son crime, Qu'un juste châtiment le tire de labyme, Je consens que le loup age inpunément Le parcs où mes agneaux bêlent innocemment, Que mon troupeau jamais ne trouve de l'herbage, Que languissant de soif il périsse de rage, Et qu'Iris, la brebis que la brebis si fort, Tu che mes si aux ombres de la mort.
SILAIRE.	SILAIRE.
Tiens außi pour certain, qu’auant que ma penſee, Quelque mauuais demon dont elle ſoit pouſſee, Souſpire quelque fois d’autre mal que du tien, Et de ton amitié treuue ennuyeux le bien, Les plaines & les mons ſeront la meſme choſe, Le Soleil du midy conſeruera la roſe, Toutes les fleurs naîtront au milieu de l’Hyuer, Et la terre au Prin-temps perdra ſon tapis ver.	Tiens aussi pour certain, qu'avant que ma pensée, Quelque mauvais demon dont elle soit poussée, Souspire quelque fois d'autre mal que du tien, Et de ton amitié trouve ennuyeux le bien, Les plaines et les mons seront la même chose, Le Soleil du midi conservera la rose, Toutes les fleurs naîtront au milieu de l'Hiver, Et la terre au Printemps perdra son tapis ver.
Bref auant que Silaire oublie ſon Timandre, Aux eternelles nuits on le verra deſcendre, Et garder méme encor parmi les trépaſſez, Le plaiſant ſouuenir de ſes deſirs paſſez.	Bref avant que Silaire oublie son Timandre, Aux éternelles nuits on le verra descendre, Et garder même encor parmi les trépassez, Le plaisant souvenir de ses désirs passez.
TIMANDRE.	TIMANDRE.
Que puis-ie ſouhaitter apres cette aſſeurance?	Que puis-je souhaiter après cette assurance?
Bergere, ſi tu veus cherir cette constance, Et ſi tu prens le ſoin d’eterniſer mon heur, Ie défie hardiment tous les traits du malheur, Et dans ce grand excés de ma bonne fortune, Où ma felicité ne ſera pas commune, Mes yeux aüec dédain trouueroient vn treſor, Ie foulerois aux pieds l’éclat d’vn Sceptre d’or:	Bergère, si tu veux chérir cette constance, Et si tu prends le soin d'éterniser mon heur, Je défie hardiment tous les traits du malheur, Et dans ce grand excès de ma bonne fortune, Où ma félicité ne sera pas commune, Mes yeux avec dédain re dédire, Je foulerais aux pieds l'éclat d'un Sceptre d'or:
Mais, que noſtre bon-heur a bien peu de duree, Et que la conſiſtance en eſt mal aſſeuree!	Mais, que notre bonheur a bien peu de dure, Et que la consistance en est mal heure!
Que le deſtin ſe plait à nous perſecuter, Alors que i’ay du bien, il me le faut quiter;	Que le destin se plaît à nous persécuter, Alors que j'ai du bien, il me le faut quitter;
Parce que ie me plais à ta chere preſence, Le ſort pour m'affliger m’oblige à vne abſence.	Parce que je me plais à ta chère présence, Le sort pour m'affliger m'oblige à une absence.
Mon ame i’oubliois à te dire qu’il faut, Que ma peine ſupplee où la fortune faut, Que ie dois aller voir vn peu nôtre ménage, Ou bien mon pere, à qui la foibleſſe de l’áage Fait craindre viuement les incommodités, Qui veut que ie pouruoye à nos neceßités, Me blameroit ſans doute;	Mon âme j'oubliais à te dire qu'il faut, Que ma peine supplée où la fortune faut, Que ie dois aller voir un peu notre ménage, Ou bien mon père, à qui la faiblesse de l'age Fait craindre vivement les incommodités, Qui veut que sans envoie à nos necessités, Me blâmerait sans doute;
adieu:	adieu:
dans vn quari d’heure Ie reuien en ce lieu, au moins ſi tu demeure.	dans un quari d'heure Je revien en ce lieu, au moins si tu demeure.
SILAIRE.	SILAIRE.
Je tutens uont tet auet beaucoup a amour, D'vn deſir inquiet ſouſpirant ton retour.	Je tends ouvont tet auet beaucoup à amour, D'un des inquiet soupirant ton retour.
SCENE SECONDE.	SCÈNE SECONDE.
CLEOGENE, SILAIRE.	CLÉGENE, SILAIRE.
CLEOGENE.	CLÉGENE.
