JOLIENNE, ia ſemme.	JOLIENNE, ja semme.
Hé fi done, Monſieur, c’eſt bien à moi qu’il faut dite cela.	Hé fi donce, Monsieur, c'est bien à moi qu'il faut dite cela.
CLITANDRE.	CLITANDRE.
Je te dis vrai.	Je te dis vrai.
LEPINE.	LEPINE.
Quoi!	Quoi!
vous qui avez paſſé de ſi doux momens dans les plus agréables compagnics de la Province;	vous qui avez passé de si doux moments dans les plus agréables compagnics de la Province;
vous qui êtes la coqueluche de tout le amnois, & les delſces de toutes les coquettes de Montargis;	vous qui êtes la coqueluche de tout le amnois, et les délsces de toutes les coquettes de Montargis;
vous allez vous borner ici, & vous amuſer à filer le parfait amour dans un moulin!	vous allez -vous borner ici, et vous amuser à filer le parfait amour dans un moulin!
Vous vous mocquez, je penſe.	Vous vous moquez, je pense.
CLITANDRE.	CLITANDRE.
Je ne me moque point, je m’abandonne à ma deſtinée.	Je ne me moque point, je m'abandonne à ma destinée.
Je n’ai jamais rien vâ dè plus aimable que voiette, es falnais je Taimerar qu’elle.	Je n'ai jamais rien vas dène plus aimable que voiette, es falnais je Taimerar qu'elle.
LEPINE.	LEPINE.
C'eſt-à-dire, que vous voilà déterminé à ne vous point marier;	C'est-à-dire, que vous voilà déterminé à ne vous point marier;
car apparemment vous ne voulez pas faire de la petite Meûnière autre choſe qu’une Maîtreſſe?	car apparemment vous ne voulez pas faire de la petite Meûnière autre chose qu'une Maîtresse?
CLITANDRE.	CLITANDRE.
Pourquoi non ?	Pourquoi non ?
Eſt-ce la naiſſance qui doit déterminer au choix d’une femme?	Est-ce la naissance qui doit déterminer au choix d'une femme?
c’eſt le mérite & la vertu qui font des mariages, & je trouve dans la perſonne de Golette tout ce qu’il faut pour me rendre heureux.	c'est le mérite et la vertu qui font des mariages, et je trouve dans la personne de Golette tout ce qu'il faut pour me rendre heureux.
LEPINE.	LEPINE.
Puiſque vous étes abſolument dans ce goûtda, Monneur, pen iuis ravi, je vous aſſure:	Puisque vous êtes absolument dans ce goûtda, Monneur, pen juis ravi, je vous assure:
je vous on félieite, & je pourrai bien avoir l’honneur de devenir votre onele!	je vous on félieite, et je pourrai bien avoir l'honneur de devenir votre onèle!
CLITANDRE.	CLITANDRE.
Comment, mon onele!	Comment, mon onèle!
Ma MXAAM.	Ma MXAM.
Oui, Monſieur, Madame Julienne la Menniere elt, comme vous ſearez;	Oui, Monsieur, Madame Julienne la Menniere ellet, comme vous séparez;
la tante de votro charmante Colette.	la tante de voctro charmante Colette.
CLITANDRE.	CLITANDRE.
Hé bien?	Hé bien?
LEPINE.	LEPINE.
Hé!	Hé!
bien, Monſieur, je trouve dans la perſonne de la tante tout ce que vous trouvez dans celle de	bien, Monsieur, je trouve dans la personne de la tante tout ce que vous trouvez dans celle de
a2 et.	a2 et.
la niéce:	la nièce:
& comme je ne m’oppoſe point à votre ſatisfaction, vous ne voudrez pus mettre obſtacle A ma petite tortune, peut-être.	et comme je ne m'oppose point à votre satisfaction, vous ne voudrez pus mettre obstacle À ma petite tortune, peut-être.
CLITANDRE.	CLITANDRE.
Quelles viſions tu te mets dans la tête!	Quelles visions tu te mets dans la tête!
Toi, poudon duuduude cunoudo ven daue uuparauans qu’elle devienne veuve.	Toi, poudon duudude cunoudo ven dave uuparauans qu'elle devienne veuve.
LEPINE.	LEPINE.
On Ielle l'eſt, Monſieur, le Meunier eſt défunt, ſur ma parole.	On Ielle l'est, Monsieur, le Meunier est défunt, sur ma parole.
CLITANDRE.	CLITANDRE.
Tu ne ſçais ce que tu dis, cela n’eſt point.	Tu ne sais ce que tu dis, cela n'est point.
LEPINE.	LEPINE.
Que diantre ſeroit-il donc devenu?	Que diantre serait-il donc devenu?
On l'a aſſommé quelque part, ſur ma parole;	On l'a assommé quelque part, sur ma parole;
tout le monde le ctoit du moins:	tout le monde le ctait du moins:
& il faut que Madame Julienne en ſoit bien sure, elle, ear depuit quelques jours elle eſt d’un contentement, d’une ayeté.	et il faut que Madame Julienne en soit bien sure, elle, eu dépuit quelques jours elle est d'un contentement, d'une aieté.
CLITANDRE.	CLITANDRE.
ve lul paruonnerois de ne le pas ragretter:	ve lul parvonnerais de ne le pas ragretter:
un fou, un imbéeille, qui, ſans la réſiſtance de ſi ſemme, auroit rendu ſa pauvre petite niéce malheureuſe.	un fou, un imbéeille, qui, sans la résistance de si semme, aurait rendu sa pauvre petite nièce malheureuse.
LEPINE.	LEPINE.
Il prétendoit la marier à Monſieur le Bailli, & ce Monſieur le Bailli n’a pas encore renoncé tout-à-fait à ſes prétentions.	Il prétendait la marier à Monsieur le Bailli, et ce Monsieur le Bailli n'a pas encore renoncé tout-à-fait à ses prétentions.
CLITANDRE.	CLITANDRE.
Il peut ſe flatter tant qu’il lui plaira, mais la tante eſt dans mos intérets.	Il peut se flatter tant qu'il lui plaira, mais la tante est dans mos intérets.
LEPINE.	LEPINE.
Vos affaires ſont en bonnes mains, c’eſt une maîtreſſe femme.	Vos affaires sont en bonnes mains, c'est une maîtresse femme.
La voiei, Monſieur.	La voiei, Monsieur.
SCENE II.	SCÈNE II.
por dhumuvuru y uuoudecmdE:	por dhumuvru y uuoudecmdE:
JULIENNE, J'Otre ſaryante, Monſieu Clitandre.	JULIENNE, J'Otre sarysante, Monsieur Clitandre.
He Ibian, Y qu’oſt ce l êtes-vous toujours bian amoureux de ma niéce?	He Ibian, Y qu'ost ce l êtes-vous toujours bian amoureux de ma nièce?
terminerons-je cette affaire-là!	terminerons-je cette affaire-là!
il ne faut point tant barguig.	il ne faut point tant barguig.
u,oiutiu le Con?	u,oiutiu le Con?
trat quand vous voudrez.	trat quand vous voudrez.
A quand la nôce!	À quand la nôce!
que j'y danſerai de bon cour!	que j'y danserai de bon cour!
je ne me ſuis jamais ſentle ſi tort en joye,	je ne me suis jamais sentle si tort en joie,
LEPINE.	LEPINE.
Oh!	Oh!
le bon-homme Julien eſt trépaſſé, il n’y a point de milieu.	le bon-homme Julien est trépassé, il n'y a point de milieu.
CLITANDRE.	CLITANDRE.
Que je ſuis ravi, ma chêre Madame Julienne, de vous trouver dans ces ſentimens!	Que je suis ravi, ma chère Madame Julienne, de vous trouver dans ces sentiments!
ſi ceux de votre charmante niéce m’étoient auſſi favorables.	si ceux de votre charmante nièce m'étaient aussi favorables.
JULIENNE.	JULIENNE.
Serinis-vous encore à vous en appercevoir ?	Serinis-vous encore à vous en apercevoir ?
& depuis un mois que ſon boutru d’onele a quitté le Moulin, n’avez-vous pas eu tout le toms & toute la commodité de lui conter vos raiſons, & de ſçavoir ce qu’elle a dans l’aine!	et depuis un mois que son boutru d'onèle a quitté le Moulin, n'avez-vous pas eu tout le temps et toute la commodité de lui conter vos raisons, et de savoir ce qu'elle a dans l'aine!
CLITANDRE.	CLITANDRE.
Je crois lire dane ſes yeux & dans ſes maniéres qu’elle n’eſt pas inſenſible à ma tendreſſe:	Je crois lire dane ses yeux et dans ses manières qu'elle n'est pas insensible à ma tendresse:
maie j’ai beau là preſſer de conſentir à l’union que vous voulez ſaire, l'éloignement de votre mari, le deſſein qu’il avoit de lui fail.	maie j'ai beau là presser de consentir à l'union que vous voulez zaïre, l'éloignement de votre mari, le dessein qu'il avait de lui fail.
ureux Bailli, la etainte où elle eſt qu’à ſon retour il ne *2	Çureux Bailli, la étainte où elle est qu'à son retour il ne *2
JUTTENNE.	JUTENNE.
De quoi ſe mele-t-elle!	De quoi se mele-t-elle!
ſont-ce-la ſes aſſaires?	sont-ce-la ses assaires?
Je veux le ficher, moi, je veux qu’il me querelle, en eus qu’il me revienne, dà, car.	Je veux le ficher, moi, je veux qu'il me querelle, en eus qu'il me revienne, dà, car.
PAPINE.	PAPINE.
Ou!	Ou!
Madame Jullenne ſçait blen ce qu’elle fait, Monſieur.	Madame Jullenne sait blen ce qu'elle fait, Monsieur.
JULIENNE.	JULIENNE.
Oh!	Oh!
pour celal, oui, j'ai toulours voulu être la maſtreſſe.	pour celal, oui, j'ai toulours voulu être la mastresse.
Quand Julian me faiſoit l’amour, il m’a tant dit qu’il étoit mon ſarviteur, que je n’en ai jamais voulu démordre.	Quand Julian me faisait l'amour, il m'a tant dit qu'il était mon sarviteur, que je n'en ai jamais voulu démordre.
Du depuis que je ſommes marlés, il a voulu faire le maître, oh!	Du depuis que je sommes marlés, il a voulu faire le maître, oh!
dame, je nous ſommes trouvés deux, je nous ſommes querellés, je nous ſommes battue, auſſi ça fait que je ne nous aimons guéres.	dame, je nous sommes trouvés deux, je nous sommes querellz, je nous sommes battue, aussi ça fait que je ne nous aimons guère.
A la parfin je l’y ai fait déſarter la maiſon;	À la parfin je l'y ai fait désarter la maison;
& de cette magnière-là, je ſuis demeurée la maitreſſe, moi, comme vous voyez.	et de cette magnière-là, je suis demeurée la maîtresse, moi, comme vous voyez.
LEPINE.	LEPINE.
Orla nicec iauroncmpie celes leçons de la tante, vous allez faire un beau mariage, Monſieur,	Orla nicec ici celes leçons de la tante, vous allez faire un beau mariage, Monsieur,
CLIIANDAEe Faix, tais-toi.	CLIIANDAJEe Faix, tais-toi.
JULIENNE.	JULIENNE.
M'en croirez-voue, Monſieu Clitandre?	M'en croirez-voue, Monsieu Clitandre?
Sarvez-vous de l’occaſion:	Sarvez-vous de l'occasion:
vous aimez Colette, alle eſt gentille, alle a de bon bian:	vous aimez Colette, allé est gentille, allé a de bon bian:
j'ons vingt mille ſtans à elle, ça eſt bon à prendre:	j'ons vingt mille stant à elle, ça est bon à prendre:
je vous la veux bailler, paree que Julian la vouloit bailler à un autre.	je vous la veux bailler, parée que Julian la voulait bailler à un autre.
Si par aventure je navois plus perſonne qui m’obſtinit, je changerois d’avis, peut-être, & vous on enrageriais, je gage.	Si par aventure je navais plus personne qui m'obstinit, je changerais d'avis, peut-être, et vous on enrageriais, je gage.
CLTTANDRE.	CLTANDRE.
Qui, je ſerois au déſeſpoir, ſi vous doveniez contrane à mon auour.	Qui, je serais au désespoir, si vous doveniez contrane à mon auour.
Jauore vorre ainable niece, je fais tout mon bonheur de la poſſéder:	Jauore vorre ainable nièce, je fais tout mon bonheur de la posséder:
diſpoſez-la ſeulement à ce mariage;	disposez-la seulement à ce mariage;
nous en ferons, quand il vous plaira, la cérémonie.	nous en ferons, quand il vous plaira, la cérémonie.
JULIENN.	JULIENN.
E.	E.
Dame, acoutez, je prétends que ça faſſe fracas:	Dame, acoutez, je prétends que ça fasse fracas:
dans le païs, & que tour le monde ſçache quevous ſerez mon noveu.	dans le pays, et que tour le monde sache quevous serez mon novu.
da ve	da ve
CLITANDRE.	CLITANDRE.
Je m’en ſaïs trop de plaiſir pour ne m’en pas taire honneur, je vous aſſure.	Je m'en saïs trop de plaisir pour ne m'en pas taire honneur, je vous assure.
JULIENNE.	JULIENNE.
Bon, tant mieux, le Bailli en crévera de dépit, & je m’en vais faire prier de la nôce toutes les Meûnières des environe, pour qu’alles ayent la rage au cour ue von Colette uevonir groſſe Madame.	Bon, tant mieux, le Bailli en crèvera de dépit, et je m'en vais faire prier de la nôce toutes les Meûnières des environe, pour qu'allés aient la rage au cour ue von Collette ouvonir grosse Madame.
LEPINE.	LEPINE.
La bonne perſonne, que Madame Julienne!	La bonne personne, que Madame Julienne!
JULIENNE.	JULIENNE.
un tuuy laue lue amaquace dros dujourd’hui, Monſieu Clitandre, je baillerai le feſtin, moi, Ayezenous des Menetrieis tant-ſeulemente	un tuui laue lue amaquace dros dujourd'hui, Monsieur Clitandre, je baillerai le festin, moi, Ayezenous des Menetrieis tant-seulemente
LEPINE.	LEPINE.
C'eſt me naffaire, à moi, je m’en charge.	C'est me naffaire, à moi, je m'en charge.
CLITANDRE.	CLITANDRE.
Et moi, je vais avertir ma famille de la réſoIucion quy pus pinle, les lititer a veut prendre part à mon bonheur, & je me rends enſuite auprès de votre charmante niéce, pour ne la quitter de ma vie.	Et moi, je vais avertir ma famille de la résoIucion quy pus pinle, les litter a veut prendre part à mon bonheur, et je me rends ensuite auprès de votre charmante nièce, pour ne la quitter de ma vie.
JULIENNE.	JULIENNE.
L’aimable petit homme!	L'aimable petit homme!
Adieu, mon neveu.	Adieu, mon neveu.
SCENE III.	SCÈNE III.
JULIENNE, LETINE,	JULIENNE, LETINE,
JULIENNE.	JULIENNE.
IEtte paremeela no lera pomt de deshonneus  à la profeſſion, Monſieu de Lépeine.	IEtte paremeela nô lera pompt de déshonnus à la profession, Monsieu de Lépeine.
LEPINE.	LEPINE.
Non vraiment, & voilà votre Moulin illuſtré, Madame Julienne.	Non vraiment, et voilà votre Moulin illustré, Madame Julienne.
oe de Ny Gv Vous ne ſçauriais croire le plaiſir que ça me laſt, & il pourtant je ne ns pas glorſeuie.	oe de Ni Gv Vous ne sauriais croire le plaisir que ça me last, et il tant je ne ns pas glorsévie.
LEPINE.	LEPINE.
Un peu d’ambition n’eſt pas blâmable.	Un peu d'ambition n'est pas blâmable.
JULIENNE.	JULIENNE.
Ca ne me tourmente point, & je voudrois que mon pauvre mari ſût mort, on verroit bian que es nenpas la ammte dur me guuvanee.	Ca ne me tourmente point, et je voudrais que mon pauvre mari sut mort, on verrait bian que es npas la amte dur me guvane.
LEPINE.	LEPINE.
Vous ne ſeriez pas fachée d'être veuve, Madame Julienne?	Vous ne seriez pas fâchée d'être veuve, Madame Julienne?
JULIENNE.	JULIENNE.
Il m’eſt avis que non, Monſſeu de Lépoine, je crois que ça eſt drôle:	Il m'est avis que non, Monsseu de Lépoine, je crois que a est que:
je ne l'ai jamais été, ca me ſeroit nouviau, & los femmes ne haïſſont pala nouviauté, comme vous ſçavez.	je ne l'ai jamais été, ca me serait nouviau, et los femmes ne haïssont pála nouviauté, comme vous savez.
Avj.	Avj.
LEPINE.	LEPINE.
Non vraiment.	Non vraiment.
JU LIENNE.	JU LIENE.
S'il étoit vrai, comme ehacun dit, que Julian fût défunt.	S'il était vrai, comme ehacun dit, que Julian fût défunt.
je ne lui ſouhaite point de mal, le Ciel m’en préſerve.	je ne lui souhaite point de mal, le Ciel m'en préserve.
LEPINE.	LEPINE.
vous avez le coeur trop bon pour cela, aſſiirément:	vous avez le coeur trop bon pour cela, assiirément:
mais ſi le mal étoit arrlvé-par aventure?	mais si le mal était arrêvé-par aventure?
JULIENNE.	JULIENNE.
Oh!	Oh!
Dame, en cas de ça, Dieu veuille avoir ſon dinioy cot nomle-là m’a bian tourmentée.	Dame, en cas de ça, Dieu veuille avoir son dinioi cot nomle-là m'a bian tourmentée.
LEPINE.	LEPINE.
vous ne vous remarierlez pas, je gagés	vous ne vous remarierlez pas, je gagnez
JULIENNE.	JULIENNE.
Vous eroyez cela, Monſieu de Lépeine?	Vous irez cela, Monsieur de Lépeine?
LEPINE.	LEPINE.
Oui, vous vous êtes ſi mal trouvée de ce mari-là.	Oui, vous vous êtes si mal trouvée de ce mari-là.
JULIENNE.	JULIENNE.
Ile voneniont, ce ſeroit pour être mieux, que je voudrois en prendre un autre.	Ile voniont, ce serait pour être mieux, que je voudrais en prendre un autre.
Rlca.	Rlca.
DETIN R.	DETIN R.
Cela eſt de fort bon ſens.	Cela est de fort bon sens.
JULIENNE.	JULIENNE.
N’eſt-il pas vrai?	N'est-il pas vrai?
Il faudroit bien prondre garde au choix que vous feriez.	Il faudrait bien prondre garde au choix que vous feriez.
JULIENNE.	JULIENNE.
Il eſt déſa tout fait, Monſſeur de Lepeinet.	Il est dès tout fait, Monsieur de Lépeinet.
LEPINE.	LEPINE.
Il eſt déjà fait!	Il est déjà fait!
quelle précaution de femme!	quelle précaution de femme!
J'ULIENNE.	J'ULIENNE.
Oh!	Oh!
dame, je ne ſis pas une barguineuſe, moi	dame, je ne sis pas une barguineuse, moi
LEPINE, à part.	LEPINE, à part.
Parbieu, c’eſt a mor qu’eſle en veut, je l’avois;	Parbieu, c'est a mór qu'éle en veut, je l'avais;
bien prévû, je ſerai l’oncle de mon maître.	bien prévu, je serai l'oncle de mon maître.
JULIENNE.	JULIENNE.
Drès que je ſuis menacée de queuque accident, je fonge d’abord au reméde, voyez-vous!	Drès que je suis menacée de queuque accident, je fonge d'abord au remède, voyez-vous!
LEPINE.	LEPINE.
C’en tort prudemmient fait.	C'en tort prudemmient fait.
Et quel neureux mortel, Madame Julienne, ſeroit l’antidote de votre veuvage?	Et quel neureux mortel, Madame Julienne, serait l'antidote de votre veuvage?
JULIENNE.	JULIENNE.
Un bon garçon, de qui je ferai la forteune;	Un bon garçon, de qui je ferai la forteune;
Monſieur de Lépeine.	Monsieur de Lépeine.
DEPIN Es à part.	DÉPIN Es à part.
C'eſt moi.	C'est moi.
JULTENNE.	JULTENE.
Jeune, & de bonne himeur.	Jeune, et de bonne himeur.
LEPINE, à part.	LEPINE, à part.
Juſtement, c’eſt moi.	Justement, c'est moi.
Beau, bien fait.	Beau, bien fait.
LEPINE, à part.	LEPINE, à part.
Oh!	Oh!
c’eſt moi ſans contredit.	c'est moi sans contredit.
JULIENNE.	JULIENNE.
Et de qui je ſis ſûre que je ferai ce que je voudrate	Et de qui je sis sure que je ferai ce que je voudrate
LEPINE.	LEPINE.
Oui, Madame Julienne, je vous en réponds, & vous me verrez toujours l’homme du monde le plus amoureurt & le plus reconnoiſſant.	Oui, Madame Julienne, je vous en réponds, et vous me verrez toujours l'homme du monde le plus amoureurt et le plus reconnaissant.
JULIENNE.	JULIENNE.
1 Je vous varrai amoureux!	1 Je vous varrai amoureux!
de qui t& reconnoiſſant l'de quoi?	de qui tel reconnaissant l'de quoi?
LEPINE.	LEPINE.
De toutes les bontés que vous avez pour moi.	De toutes les bontés que vous avez pour moi.
Mu MaMva.	Mu MaMa.
Hé!	Hé!
voirement, je n’en ai point, ce n’eſt pas vons que va fegaide.	voirement, je n'en ai point, ce n'est pas vont que va fégaide.
LEPINE.	LEPINE.
Ce n’eſt pas moi.	Ce n'est pas moi.
JULIENNE.	JULIENNE.
Hé fy done, vous vous gauſſez, je penſe.	Hé fi donce, vous vous gaussez, je pense.
Oh!	Oh!
vous n’êtes pas d’une corpulance à devenir Meûnier, le Moulin dépériroit entre vos mains.	vous n'êtes pas d'une corpulance à devenir Munier, le Moulin dépérirait entre vos mains.
Je ſis bian votre ſarvante, je ne veux pas quitter la profeſſion.	Je sis bian votre sarvante, je ne veux pas quitter la profession.
Allez nous chercher des Menêtriers.	Allez nous chercher des Ménétriers.
Juſqu’au revoir, Monſieur de Lépeine.	Jusqu'au revoir, Monsieur de Lépeine.
LEPINE ſeul.	LEPINE seul.
Augrebleu de la maſque, avec ſon Moulin.	Augrébleu de la masque, avec son Moulin.
NICe ſera quelque jeune Meûnier du voiſinage qui lui aura donné dans la vd̂e;	NICe sera quelque jeune Munier du voisinage qui lui aura donné dans la vd̂e;
A la peinture qu’elle a faite pourtant, je me ſuis reconnu trair pour trait, beau, bien fait.	À la peinture qu'elle a faite pourtant, je me suis reconnu trair pour trait, beau, bien fait.
Il eſt vrai qu’elle n’a point parlé de l’eſprit & du mérite, c'eſt quelque manant dont elle eſt coeffée, & voilà l'erreur de la plûpart des ſemmes;	Il est vrai qu'elle n'a point parlé de l'esprit et du mérite, c'est quelque manant dont elle est cossée, et voilà l'erreur de la plupart des semmes;
ce n’eſt ni le mérite, ni l'eſprit, c’eſt la taille & la figure qui ſont aujourd’hui la fortune des hommes.	ce n'est ni le mérite, ni l'esprit, c'est la taille et la figure qui sont aujourd'hui la fortune des hommes.
SUENE V.	SUENE V.
Me AGATHE, LEPINE.	Me AGATHE, LEPINE.
M AGATHE.	M AGATHE.
n jour, Monſieai de Logmie, comment D vous en va?	n jour, Monsieai de Logmie, comment D vous en va?
LEPINE.	LEPINE.
Votre valet, Madame Agathe:	Votre valet, Madame Agathe:
fort à votre ſerviee.	fort à votre servie.
Me AGATHE.	Me AGATHE.
N’auriez-vous point vû la commére Julienne, par aventure?	N'auriez-vous point vu la commère Julienne, par aventure?
LEPINE.	LEPINE.
La voilà qui s’en va de ce côté:	La voilà qui s'en va de ce côté:
Me AGATHE.	Me AGATHE.
ve ſt en vaiscourit apres elle, j’ai une plaiſante?	ve st en vaiscourit après elle, j'ai une plaisante?
nouvelle à lui apprendre.	nouvelle à lui apprendre.
Et quelle?	Et quelle?
h.	h.
E.	E.
PANE.	PANE.
Me AGATHE.	Me AGATHE.
Son mari n’eſt pas mort, Monſieur de L'épine:	Son mari n'est pas mort, Monsieur de L'épine:
d, is nrsla Cette nouvelle-là ne lui plaira point, Madame:	d, is nrsla Cette nouvelle-là ne lui plaira point, Madame:
Agathe, ne vous preſſez point de la lui donner.	Agathe, ne vous pressez point de la lui donner.
MAGATHE.	MAGATHÉ.
Hé!	Hé!
le plaiſant n’eſt pas qu’il ſoit en vie, c’eſt:	le plaisant n'est pas qu'il soit en vie, c'est:
qu’il va ſe marier.	qu'il va se marier.
LEPINE.	LEPINE.
270.	270.
varene, ju la lolillle .	varène, ju la lolillle .
Me AGATHE.	Me AGATHE.
Oüi vraiment, il ne t’embarraſſe pas de ça, & il faut y mettre empechement, n’eſt-ce pas?	Oui vraiment, il ne t'embarrasse pas de ça, et il faut y mettre empêchement, n'est-ce pas?
LEPINE.	LEPINE.
Oh!	Oh!
point du tout, il n'y a qu’à le laiſſenfaire, elle lui rendra bien le change, ſur ma parole.	point du tout, il n'y a qu'à le laissenfaire, elle lui rendra bien le change, sur ma parole.
Me AGATHE.	Me AGATHE.
Je ſçai blen qu’ils ne s’aiment guéres:	Je sais blen qu'ils ne s'aiment guère:
mais ça ne fait rien, une femme a beau ne ſe pas ſoucier de ſon mari, elle aime toujours bien mieux qu’il ſoit mort, que non pas qu’il en épouſe d’autres.	mais ça ne fait rien, une femme a beau ne se pas soucier de son mari, elle aime toujours bien mieux qu'il soit mort, que non pas qu'il en épouse d'autres.
LEPINE.	LEPINE.
Mais vous êtes bien ſûre de cette nouvelle-là, Madame Agathe?	Mais vous êtes bien sure de cette nouvelle-là, Madame Agathe?
Me AGATHE.	Me AGATHE.
Si j'en ſuis ſûre?	Si j'en suis sure?
c’eſt le couſin Vincent qui me l’à dit;	c'est le cousin Vincent qui me l'à dit;
il revient de Nemours, comme vous Mavet.	il revient de Nemours, comme vous Mavet.
He!	He!
bien?	bien?
LEPINE.	LEPINE.
M AGATHE.	M AGATHE.
Hé!	Hé!
bien eil a trouvé là le Meunier qui s’eſt fait Rat de cave.	bien eil a trouvé là le Meunier qui s'est fait Rat de cave.
Ils ont ſoué bouteille à la boule enſemble, & en buvant, le Meûnier lui a tout conté;	Ils ont sou teille à la boule ensemble, et en buvant, le Meûnier lui a tout conté;
qu’il eſt amoureux de la fille d’un Cabaretier;	qu'il est amoureux de la fille d'un Cabaretier;
qu'il y a trois ans que cet amour-là lui trotte dans la cervelle, yy queconiuioulauuo pom Mladame Julienne, & que Madame Julienne ne l'eime point, il à trouvé à propos de devenir veuf, ſans qu’il mourſt perſonne, & de ſe remarier en ſurvivance,	qu'il y a trois ans que cet amour-là lui trotte dans la cervelle, yy queconiuioulauuo pom Mladame Julienne, et que Madame Julienne ne l'ime point, il a trouvé à propos de devenir veuf, sans qu'il mourst personne, et de se remarier en survivance,
LEPINE.	LEPINE.
Cela eſt fort commode:	Cela est fort commode:
mais le Meûnier eſt fort indiſeret.	mais le Meûnier est fort indisèret.
Me AGATHE.	Me AGATHE.
Oh!	Oh!
il a bien recommandé le ſecret au couſin.	il a bien recommandé le secret au cousin.
Auſſt le couſin ne l'a dit qu’à moi, je ne l'ai dit qu’à vous, je ne le ditai plus qu’à la commére Julienne.	Ausst le cousin ne l'a dit qu'à moi, je ne l'ai dit qu'à vous, je ne le dit plus qu'à la commère Julienne.
LEPINE.	LEPINE.
Et je n’en ferai confidence qu’à trois ou quatre, de mes amis, moi	Et je n'en ferai confidence qu'à trois ou quatre, de mes amis, moi
Me AGATHE.	Me AGATHE.
Priez-les bien de n’en point parler, Monſieur Lépine.	Priez-les bien de n'en point parler, Monsieur Lépine.
Je meurs d’impatience de le conter à la commere;	Je meurs d'impatience de le conter à la commere;
il eſt bon qu’elle prenne un peu l’avie de ſa famille là-deſſus;	il est bon qu'elle prenne un peu l'avie de sa famille là-dessus;
je crois qu’elle ne ſeroit pas mal de faire avertir celle de ſon mari, qu’en dites.	Je crois qu'elle ne serait pas mal de faire avertir celle de son mari, qu'en dites.
vous?	vous?
LEPINE Oui, oui, vous avez raiſon, un ſecret eſt bien entre vos mains, Madame Agathe.	LEPINE Oui, oui, vous avez raison, un secret est bien entre vos mains, Madame Agathe.
M AGATHE.	M AGATHE.
Oh, je ne manque ni de diſcrétion, ni de jugement, n de conanitor ve vous dis adieu, Monſieut le Lépine.	Oh, je ne manque ni de discrétion, ni de jugement, n de conanitor ve vous dis adieu, Monsieut le Lépine.
MENETI 7Oilà un ineident qui change la ſituation de ynos affaires;	MENETI 7Oilà un inident qui change la situation de ynos affaires;
il faut en ſaire part à mon Maltre.	il faut en zaïre part à mon Maltre.
Je n’ai que faire de me preſſer de retenir les Menêtriers juſqu’à nouvel ordre;	Je n'ai que faire de me presser de retenir les Ménétriers jusqu'à nouvel ordre;
les fiançailles & le ſeſtin pourront bien être retardés, & Madame Julienne ne danſera pas de ſi bon cœur qu’elle etoyoit, ſur ma parole.	les fiançailles et le sestin pourront bien être retardés, et Madame Julienne ne dansera pas de si bon cœur qu'elle étoyait, sur ma parole.
SCENE VII.	SCÈNE VII.
JVIEN, LRIINE.	JVIEN, LRINE.
JULIEN, à part.	JULIEN, à part.
