Chez BARBIN, au Palais, vis à vis le grand Portail de lu Sainté Chapelle, au ſigne de la Croix.	Chez BARBIN, au Palais, vis -à -vis le grand Portail de lu Sainté Chapelle, au signe de la Croix.
A de ſi noirs forfaits, preſtes-tu tes rayons, Et peus-tu ſans horreur voir ce que nous voyons?	À de si noirs forfaits, prêtes-tu tes rayons, Et pussy-tu sans horreur voir ce que nous voyons?
Mais ces Monſtres, helas!	Mais ces Monstres, hélas!
ne t’eſpouuantent gueres, Le ſeul ſang de Lajus les a rendus vulgaires;	ne t'épouvantent guère, Le seul sang de Lajus les a rendus vulgaires;
Tu peus voir ſans frayeur les crimes de mes Fils, Apres ceux que le Pere & la Mere ont commis:	Tu peuxs voir sans frayeur les crimes de mes Fils, Apres ceux que le Père et la Mère ont commis:
Tu ne t’eſtonnes pas ſi mes Fils ſont perfides, S’ils ſont tous deux méchans, & s’ils ſont parri des, Tu ſçais qu’ils ſont ſortis d’vn ſang inceſtueux, Et tu t’eſtonnerois s’ils eſtoient vertueux.	Tu ne t'étonnes pas si mes Fils sont perfides, S'ils sont tous deux méchants, et s'ils sont parry des, Tu sais qu'ils sont sortis d'un sang incestueux, Et tu t'étonnerais s'ils étaient vertueux.
Ce ſang en leur donnant la lumiere céleſte, Leur donna pour le crime vne pente funeſte, leurs cœurs infectez de ce fatal poiſon, uurirent à la haine auant qu’à la raiſon.	Ce sang en leur donnant la lumière céleste, Leur donna pour le crime une pente funeste, leurs cœurs infectez de ce fatal poison, ouvrirent à la haine avant qu'à la raison.
SCENE II.	SCÈNE II.
OCASTE, ANTIGONE, OLTMMPE.	OCASTE, ANTIGONE, OLTMPE.
IOCASTE.	JOCASTE.
A Fiſle, auez vous igeur excer de lios miſeres.	À Fîle, avez -vous igeur excer de lios misères.
A ANTIGONE.	A ANTIGONE.
üy, Madame, on m’a dit la fureur de mes freres.	Oui, Madame, on m'a dit la fureur de mes frères.
IOCASTE.	JOCASTE.
llons, chere Antigone, allons tout de ce pas, rreſter s’il ſe peut leur parricide bras, hom leur luile von ce qu no ont de pius tendre;	llons, chère Antigone, allons tout de ce pas, rester s'il se peut leur parricide bras, hom leur luile von ce qu' ô ont de pius tendre;
oyons ſi contre nous ils pourront ſe défendre, u s’ils oſeront bien dans leur noire fureur eſpandre noſtre ſang pour attaquer le leur.	oyons si contre nous nous pourront se défendre, u s'ils oseront bien dans leur noire fureur épandre notre sang pour attaquer le leur.
ANTIGONE.	ANTIGONE.
Iadame, c’en eſt fait, voicy le Roy luy meſme.	Jadame, c'en est fait, voici le Roi lui -même.
SCENE III.	SCÈNE III.
IOCASTE, ANTIGONI ETEOCLE, OLYMPE.	JOCASTE, ANTIGONI ETEOCLE, OLYMPE.
IOCASTE.	JOCASTE.
Lympe, ſouſtiens moy, ma douleur eſt extré,	Lympe, soutiens -moi, ma douleur est extré,
ETEOCLE.	ETECLE.
Madame qu’auez vous?	Madame qu'avez -vous?
Et quel mal ſi caché.	Et quel mal si caché.
POonoIH.	POonoIH.
Ah!	Ah!
mon Fils, de quel ſang eſtes vous-là taché, !	mon Fils, de quel sang êtes -vous-là taché, !
Eſt-ce de voſtre Frere, ou n’eſt-ce point du voſtre?	Est-ce de votre Frère, ou n'est-ce point du vôtre?
ETEOCLE.	ETECLE.
Non Madame, ce n’eſt ny de l’vn ny de l’autre, Polinice à mes yeux ne s’eſt point preſenté, Et l’on s’eſt peu battu d’vn & d’autre coſté.	Non Madame, ce n'est ny de l'un ni de l'autre, Polinice à mes yeux ne s'est point présenté, Et l'on s'est peu battu d et 'autre côté.
Domemenequerques Crcesd vn Moient courage, M’ayant oſé d’abord diſputer le paſſage, I’ay fait mordre la poudre à ces audacieux, Et leur ſang eſt celuy qui paroiſt à vos yeux.	Domemènequerques Crcesd celui Moient courage, M'ayant osé d'abord disputer le passage, J'ai fait mordre la poudre à ces audacieux, Et leur sang est celui qui paraît à vos yeux.
IOC ASTE.	JOC ASTE.
Mais pourquoy donc ſortir auecque voſtre Armée, Quel eſt ce mouuement qui m’a tant alarmée?	Mais pourquoi donc sortir auecque votre Armée, Quel est ce mouvement qui m'a tant alarmée?
ETÉOCLE.	ETÉOCLE.
Madame il eſtoit temps que j’en vſaſſe ainſi, Et je perdois ma gloire à demeurer icy.	Madame il était temps que j'en usasse ainsi, Et je perdais ma gloire à demeurer ici.
Ie n’ay que trop languy derriere vne muraille, Ie brûlois de me voir en vn champ de bataille, Lors que l’on peut paroiſtre au milieu des hazards, Vn grand cœur eſt honteux de garder des remparts, I’eſtois las d’endurer que le fier Polinice Me reprochaſt tout haut cét indigne exercice, 'Et criaſt aux Thebains, afin de les gaigner, Que je laiſſois aux fers ceux qui me font regner.	Je n'ai que trop langui derrière autre muraille, Je brûlais de me voir en un champ de bataille, Lors que l'on peut paraître au milieu des hasards, Un grand cœur est honteux de garder des remparts, J'étais las d'endurer que le fier Polinice Me reprochât tout haut caut indigne exercice, 'Et criât aux Thebains, afin de les gaigner, Que je laissois aux fers ceux qui me font régner.
Le Peuple à qui la faim ſe faiſoit déja craindre, De mon peu de vigueur commençoit à ſe plaindre, Me reprochant déja qu’il m’auoit couronné, Et que j’occupois mal le rang qu’il m’a donné.	Le Peuple à qui la faim se faisait déjà craindre, De mon peu de vigueur commençait à se plaindre, Me reprochant déjà qu'il m'avait couronné, Et que j'occupais mal le rang qu'il m'a donné.
Il le faut ſatisfaire, & quoy qu’il en arriue, Thebes dés aujourd’huy ne ſera plus captiue, Ie veux, en n’y laiſſant aucun de mes ſoldats, Qu'elle ſoit ſeulement juge de nos combats.	Il le faut satisfaire, et quoi qu'il en arrive, Thebes dès aujourd'hui ne sera plus captive, Je veux, en n'y laissant aucun de mes soldats, Qu'elle soit seulement juge de nos combats.
I’ay des forces aſſez pour tenir la campagne, Mel querque con iuul dovurmamhetompigne, L’inſolent Polinice & ſes Grecs orgüeilleux, Laiſſeront Thebes libre, ou mouront à ſes yeux.	J'ai des forces assez pour tenir la campagne, Mel querque con juul dovurmamhetompigne, L'insolent Polinice et ses Grecs orgueilleux, Laisseront Thebes libre, ou mouront à ses yeux.
IOCASTE.	JOCASTE.
Vous preſerue le Ciel d’vne telle Victoire, Thebes ne veut point voir vne action ſi noire, Laiſſez là ſon ſalut & n’y ſongez jamais;	Vous preserve le Ciel d'une telle Victoire, Thebes ne veut point voir une action si noire, Laissez là son salut et n'y songez jamais;
La Guerre vaut bien mieux que cette affreuſe Paix.	La Guerre vaut bien mieux que cette affreuse Paix.
Dure t’elle à iamais cette cruelle Guerre, Dont le flambeau fatal deſole cette terre.	Dure t'elle à jamais cette cruelle Guerre, Dont le flambeau fatal désole cette terre.
Prolongez nos mal-heurs, augmentez-les touſiours, Vous-meſme d’vn tel ſang ſoüilleriez vous vos Armes?	Prolongez nos malheurs, augmentez-les toujours, Vous-même d'un tel sang souilleriez vous vos Armes?
La Courone pour vous a t’elle tant de charmes?	La Courone pour vous a -t-elle tant de charmes?
Si par vn parricide il la falloit gaigner am.	Si par un parricide il la fallait gagner am.
monmim ace pha vouurlez vous fegir!	monmim ace pha vouurlez vous fégir!
Mais il ne tient qu’à vous ſi l’honneur vous anime, De nous donner la Paix, ſans le ſecours d’vn crime, Vous pouuez-vous montrer genereux tout a fait, Contenter voſtre Frere, & regner en effet.	Mais il ne tient qu'à vous si l'honneur vous anime, De nous donner la Paix, sans le secours d'un crime, Vous pouvez-vous montrer généreux tout a fait, Contenter votre Frère, et régner en effet.
ETEOCLE.	ETECLE.
Appellez-vous regner luy ceder ma Couronne, Quand le ſang, & le Peuple à la fois me la doune?	Appelez-vous régner amour céder ma Couronne, Quand le sang, et le Peuple à la fois me la doune?
IOCASTE.	JOCASTE.
Vous ſçauez bien, mon Fils, que le choix & le ſang Luy donnent comme à vous ſa part à ce haut rang.	Vous savez bien, mon Fils, que le choix et le sang Lui donnent comme à vous sa part à ce haut rang.
Oedipe en acheuant ſa triſte deſtinée Ordonna que chacun regneroit ſon année, Et n’ayant qu’vn Eſtat à mettre ſous vos Lois, Il voulut que tous deux vous en fuſſiez les Rois, A ces conditions vous vouluſtes ſouſcrire, Le ſort vous appella le premier à l’Empire, vous montaſtes au Troſne, il n’en fut point jaloux.	Oedipe en achevant sa triste destinée Ordonna que chacun régnerait son année, Et n'ayant qu'un État à mettre sous vos Lois, Il voulut que tous deux vous en fussiez les Rois, À ces conditions vous voulûtes souscrire, Le sort vous appela le premier à l'Empire, vous montâtes au Trône, il n'en fut point jaloux.
Et vous ne voulez pas qu’il y monte apres vous?	Et vous ne voulez pas qu'il y monte après vous?
ETEOCLE.	ETECLE.
Il eſt vray, je promis, ce que voulut mon Pere, Pour vn Troſne eſt-il rien qu’on refuſe de faire?	Il est vrai, je promis, ce que voulut mon Père, Pour Trône est-il rien qu'on refuse de faire?
On promet tout, Madame, afin d’y paruenir, Mais on ne ſonge apres qu’à s’y bien maintenir.	On promet tout, Madame, afin d'y parvenir, Mais on ne songe après qu'à s'y bien maintenir.
I'eſtois alors ſujet, & dans l’obeïſſance, Et je tiens aujourd’huy la ſupréme puiſſance:	J'étais alors sujet, et dans l'obéissance, Et je tiens aujourd'hui la suprême puissance:
Ce que je fis alors ne m’eſt plus vne Loy, Le deuoir d’vn Sujet n’eſt pas celuy d’vn Roy.	Ce que je fis alors ne m'est plus une Loi, Le devoir d'un Sujet n'est pas celui d'un Roi.
D'abord que fun la terte miegont la courome, Vn Roy ſort à l’inſtant de ſa propre perſonne, L’intereſt du public doit deuenir le ſien, Il doit tout à l’Eſtat, & ne ſe doit plus rien.	D'abord que fun la terte mégont la courome, Un Roi sort à l'instant de sa propre personne, L'intérêt du public doit devenir le sien, Il doit tout à l'État, et ne se doit plus rien.
IOCASTE.	JOCASTE.
Au moins doit il, mon Fils, quelque choſe à ſa gloir Dont le ſoin ne doit pas ſortir de ſa memoire, Et quand ce nouueau rang l’affranchiroit des Lois, Au moins doit il tenir ſa parole à des Rois.	Au moins doit il, mon Fils, quelque chose à sa gloir Dont le soin ne doit pas sortir de sa mémoire, Et quand ce nouveau rang l'affranchirait des Lois, Au moins doit il tenir sa parole à des Rois.
ETEOCLE.	ETECLE.
Polinice à ce titre auroit tort de pretendre, Thebes ſous ſon pouuoir n’a point voulu ſe rendre, Hulors que ſur le Troſne il s’eſt voulu placer, C’eſt elle & non pas moy qui l’en a ſçeû chaſſer.	Polinice à ce titre aurait tort de prétendre, Thebes sous son pouvoir n'a point voulu se rendre, Hulors que sur le Trône il s'est voulu placer, C'est elle et non pas moi qui l'en a su chasser.
Thebes doit elle moins redouter ſa puiſſance, Apres auoir ſix mois ſenty ſa violence?	Thebes doit elle moins redouter sa puissance, Apres avoir six mois senti sa violence?
Voudroit elle obeïr à ce Prince inhumain 8 Qui vient d’armer contr'-elle & le fer & la faim?	Voudrait -elle obéir à ce Prince inhumain 8 Qui vient d'armer contr'elle et le fer et la faim?
Prendroit-elle pour Roy l’Eſclaue de Mycéne Qui pour tous les Thebains n’a plus que de la haine, Qui s’eſt au Roy d’Argos indignement ſoûmis, Et que l’Hymen attache à nos fiers ennemis?	Prendrait-elle pour Roi l'Esclave de Mycéne Qui pour tous les Thébains n'a plus que de la haine, Qui s'est au Roi d'Argos indignement soumis, Et que l'Hymen attache à nos fiers ennemis?
Lors que le Roy d’Argos l’a choiſi pour ſon Gendre, Il eſperoit par luy de voir Thebes en cendre, L’amour eût peu de part à cét hymen honteux, Et la ſeule fureur en alluma les feux.	Lors que le Roi d'Argos l'a choisi pour son Gendre, Il espérait par deux de voir Thebes en cendre, L'amour eût pu de part à cet hymen honteux, Et la seule fureur en alluma les feux.
Thebes m’a couronné pour éuiter ſes chaiſnes;	Thebes m'a couronné pour éviter ses chaînes;
e, Elle s’attend par moj de tonibtes pemes, Il la faut accuſer ſi je manque de Foy, Et je ſuis ſon Captif, ie ne ſuis pas ſon Roy.	e, Elle s'attend par moj de tonibtes pères, Il la faut accuser si je manque de Foi, Et je suis son Captif, Seigneur ne suis pas son Roi.
IOCASTE.	JOCASTE.
Dites, dites plutoſt, cœur ingrat & farouche, Qu’auprés du Diadême il n’eſt rien qui vous touche;	Dites, dites plutôt, cœur ingrat et farouche, Qu'auprès du Diadme il n'est rien qui vous touche;
Mais je me trompe encor ce rang ne vous plaiſt pas, Et le crime tout ſeul a pour vous des appas.	Mais je me trompe encor ce rang ne vous plaît pas, Et le crime tout seul a pour vous des appas.
Hé!	Hé!
bien, puis qu’à ce point vous en eſtes auide, Ie vous offre à commettre vn double parricide, Verſez le ſang d’vn Frere:	bien, puis qu'à ce point vous en êtes auide, Je vous offre à commettre un double parricide, Versez le sang d'un Frère:
Et ſi c’eſt peu du ſien, Ie vous inuite encore à reſpandre le mien.	Et si c'est peu du sien, Je vous invite encore à répandre le mien.
Vous n’aurez plus alors d’ennemis à ſouſmettre, D’obſtacle à ſurmonter ny de crime à commettre, Et n’ayant plus au Troſne vn faſcheux concurrent, De tous les Criminels vous ſerez le plus grand,	Vous n'aurez plus alors d'ennemis à sousmettre, D'obstacle à surmonter ni de crime à commettre, Et n'ayant plus au Trône un fâcheux concurrent, De tous les Criminels vous serez le plus grand,
ETBOCLE.	ETBOCLE.
Hé bien, Madame, hé bien, il faut vous ſatisfaire, Il faut ſortir du Troſne & couronner mon frele, Il faut pour ſeconder voſtre injuſte projet, De ſon Roy que j’eſtois deuenir ſon ſujet.	Hé bien, Madame, hé bien, il faut vous satisfaire, Il faut sortir du Trône et couronner mon frêle, Il faut pour seconder votre injuste projet, De son Roi que j'étais devenir son sujet.
Et pour vous éleuer au comble de la joye, Il faut à ſa fureur que je me liure en proye, A uiij Hinat parmondepao.	Et pour vous élever au comble de la joie, Il faut à sa fureur que je me livre en proie, A uiij Hinat parmondepao.
IOCASTE.	JOCASTE.
Ah Ciel!	Ah Ciel!
quelle rigueu Que vous penetrez mal dans le fonds de mon cœur!	quelle rigu Que vous pénétrés mal dans le fond de mon cœur!
Ie ne demande pas que vous quittiez l’Empire, Regnez touſiours, mon Fils, c’eſt ce que je deſire, Mais ſi tant de mal-heurs vous touchent de pitié, Et ſi vous prenez ſoin de voſtre gloire meſme, Aſſociez vn Frere à cét honneur ſupréme;	Je ne demande pas que vous quittiez l'Empire, Reinez toujours, mon Fils, c'est ce que je désire, Mais si tant de malheurs vous touchent de pitié, Et si vous prenez soin de votre gloire même, Associez un Frère à cet honneur suprême;
Ce n’eſt qu’vn vain éclat qu’il receura de vous, Voſtre regne en ſera plus puiſſant & plus doux.	Ce n'est qu'un vain éclat qu'il recevra de vous, Votre règne en sera plus puissant et plus doux.
Les Peuples admirant cette vertu ſublime, Voudront touſiours pour Prince vn Roy ſi magnanime Et cét illuſtre effort, loin d’affoiblir vos droits, Vous rendra le plus juſte & le plus grand des Rois.	Les Peuples admirant cette vertu sublime, Voudront toujours pour Prince un Roi si magnanime Et cet illustre effort, loin d'affaiblir vos droits, Vous rendra le plus juste et le plus grand des Rois.
Ou s’il faut que mes vœux vous treuuent inflexible, Si la Paix à ce prix vous paroiſt impoſſible, Et que le Diadéme ait pour vous tant d’attraits, Au moins conſolez-moy de quelque heure de Paix, Accordez quelque tréue à ma douleur amere, Et cependant, mon Fils, j’iray voir voſtre Frere, La pitié dans ſon ame aura peut eſtre lieu, Ou du moins pour jamais j’iray luy dire Adieu.	Ou s'il faut que mes vœux vous trouvent inflexible, Si la Paix à ce prix vous paraît impossible, Et que le Diadème ait pour vous tant d'attraits, Au moins consolez-moi de quelque heure de Paix, Accordez quelque trêve à ma douleur âme, Et cependant, mon Fils, j'allai voir votre Frère, La pitié dans son âme aura peut être lieu, Ou du moins pour jamais j'ira y dire Adieu.
Dés ce meſme moment permettez que ie ſorte, I’iray juſqu’à ſa tente, & j’iray ſans eſcorte, Dans cette occaſion rien ne peut m’émouuoir.	Dès ce même moment permettez que Un sorte, J'irai jusqu'à sa tente, et j'irai sans escorte, Dans cette occasion rien ne peut m'émouvoir.
ETEOCLE.	ETECLE.
Madame, ſans ſortir vous le pouuez bien voir.	Madame, sans sortir vous le pouvez bien voir.
Et ſi cette entreueüe à pour vous tant de charmes, Il ne tiendra qu’à luy de ſuſpendre nos armes, Vous pouuez dés cette heure accomplir vos ſouhaits, Et le faire venir juſques dans ce Palais.	Et si cette entrevue à pour vous tant de charmes, Il ne tiendra qu'à reste de suspendre nos armes, Vous pouvez dès cette heure accomplir vos souhaits, Et le faire venir jusque dans ce Palais.
Ie feray plus encore, & pour faire connoiſtre, Qu’il a tort en effet de me nommer vn traiſtre, Et que ie ne ſuis pas vn tyran odieux, Que l’on faſſe parler & le Peuple & les Dieux.	Je ferai plus encore, et pour faire connaître, Qu'il a tort en effet de me nommer un traître, Et que Ne ne suis pas un tyran odieux, Que l'on fasse parler et le Peuple et les Dieux.
Si le Peuple le veut, je luy cede ma place, Mais qu’il ſe rende auſſi ſi le Peuple le chaſſe, Ie ne force perſonne, & j’engage ma foy De lanliel aua Inebammaieenom Macoy.	Si le Peuple le veut, je lui cede ma place, Mais qu'il se rende aussi si le Peuple le chasse, Je ne force personne, et j'engage ma foi De lanliel ava Inebammaieenom Macoi.
SCENE IV.	SCÈNE IV.
IOCASTE, ETEOCLE, AMIICORESORDONO OLYMPE.	JOCASTE, ETEOCLE, AMICORESORDONO OLYMPE.
CREON, au Roy.	CREON, au Roi.
Eigneur, voſtre ſortie a mis tout en allarmes, Thebes qui croitvous perdre eſt déja toute en larmes, L’épouuante & l’horreur regnent de toutes parts, Et le Peuple effrayé tremble ſur ſes rempars.	Eigneur, votre sortie a mis tout en alarmes, Thebes qui croitvous perdre est déjà toute en larmes, L'épouvante et l'horreur règnent de toutes parts, Et le Peuple effrayé tremble sur ses rempars.
ETEOCLE.	ETECLE.
Cette vaine frayeur ſera bien-toſt calmée.	Cette vaine frayeur sera bientôt calmée.
Madame, je m’en vais retrouuer mon Armée, Cependant vous pouuez accomplir vos ſouhaits, Creon, la Reyne icy commande en mon abſence, Diſpoſez tout le monde à ſon obeyſſance, Laiſſez pour receuoir & pour donner ſes loys, Voſtre Fils Ménécée, & j’en ay fait le choix.	Madame, je m'en vais retrouver mon Armée, Cependant vous pouvez accomplir vos souhaits, Creon, la Reine ici commande en mon absence, Disposez tout le monde à son obéissance, Laissez pour recevoir et pour donner ses lois, Votre Fils Ménécée, et j'en ai fait le choix.
Comme il a de l’honneur autant que du courage, Ce choix aux Ennemis oſtera tout ombrage, Et ſa vertu ſuffit pour les rendre aſſurez, Commandez luy, Madame.	Comme il a de l'honneur autant que du courage, Ce choix aux Ennemis ôtera tout ombrage, Et sa vertu suffit pour les rendre assurés, Commandez Seigneur, Madame.
à Crlon,	à Crlon,
Et vous, vous me ſuiurez.	Et vous, vous me suivrez.
Quoy Seigneur.	Quoy Seigneur.
CREON.	CREON.
ETEOCLE.	ETECLE.
Oüy Créon, la choſe eſt reſolue	Oui Créon, la chose est résolue
CREON.	CREON.
Et vous quittez ainſi la puiſſance abſoluë?	Et vous quittez ainsi la puissance absolue?
ETEOCLE.	ETECLE.
Que je la quite ou non ne vous tourmentez pas, Faites ce que j’ordonne, & venez ſur mes pas.	Que je la quite ou non ne vous tourmentez pas, Faites ce que j'ordonne, et venez sur mes pas.
SCENEV.	SCENEU.
TOCASTE, ANTTGONE, CREON, OLYMPE.	TOCASTE, ANTTGONE, CREON, OLYMPE.
CREON.	CREON.
V’auez-vous fait, Madame, & par quelle conduite QForcez vous vn Vainqueur à prendre ainſi la fuite Ce conſenva tout perdre.	V'avez-vous fait, Madame, et par quelle conduite QForcez -vous un Vainqueur à prendre ainsi la fuite Ce consenva tout perdre.
IOCASTE.	JOCASTE.
Il va tout conſeruer Et par ce ſeul conſeil Thebes ſe peut ſauuer.	Il va tout conserver Et par ce seul conseil Thebes se peut sauver.
CREON mouoy, Madane, & quoy, dalis reſtat ou nous ſom mes, Lors qu’auec vn renfort de plus de ſix mille homme La Fortune promet toute choſe aux Thebains, Le Roy ſe laiſſe oſter la Victoire des mains?	CREON mouoi, Madane, et quoi, dalis restât ou nous som mes, Lors qu'avec un renfort de plus de six mille homme La Fortune promet toute chose aux Thébains, Le Roi se laisse ôter la Victoire des mains?
IOCASTE.	JOCASTE.
La Victoire Creon n’eſt pas touſiours ſi belle, La honte & les remords vont ſouuent apres elle, Quand deux Freres armez vont s’égorger entr’eux, Ne les pas ſeparer, c’eſt les perdre tous deux.	La Victoire Creon n'est pas toujours si belle, La honte et les remords vont souvent après elle, Quand deux Frères armés vont s'égorger entr'eux, Ne les pas séparer, c'est les perdre tous deux.
Peut-on faire au Vainqueur vne injure plus noire, Que luy laiſſer gaigner vne telle Victoire?	Peut-on faire au Vainqueur une injure plus noire, Que tu laisser gagner une telle Victoire?
CREON.	CREON.
Leur couroux eſt trop grand.	Leur courroux est trop grand.
le ella ln.	le ella ln.
Il peut eſtre adoucy.	Il peut être adouci.
CREON.	CREON.
Tous deux veulent regner.	Tous deux veulent régner.
IOCASTE.	JOCASTE.
Ils regneront auſſi:	Ils régneront aussi:
CREON.	CREON.
On ne partage point la grandeur ſouueraine;	On ne partage point la grandeur souveraine;
Et ce neit pas vn bien qu’on quitte & qu’on reprenne.	Et ce neit pas un bien qu'on quitte et qu'on reprenne.
IOCASTE.	JOCASTE.
L’intereſt de l’Eſtat leur ſeruira de Loy.	L'intérêt de l'État leur servira de Loi.
CREON.	CREON.
L’intereſt de l’Eſtat eſt de n’auoir qu’vn Roy, Qui d’vn ordre conſtant gouuernant ſes Prouinces, Accouſtume à ſes Loys & le Peuple & les Princes.	L'intérêt de l'État est de n'avoir qu'un Roi, Qui d'un ordre constant gouvernant ses Provinces, Accoutume à ses Lois et le Peuple et les Princes.
Ce regne interrompu de deux Rois differens, En luy dounant deux Rois luy donne deux tyrans.	Ce règne interrompu de deux Rois différents, En lui dounant deux Rois Seigneur donne deux tyrans.
