A GENEROSITE ARESIILNNI TRAGEDIE.	À GÉNÉROSITÉ ARESILNNI TRAGÉDIE.
oſtre tres-humble, & tres- obëiſſant ſeruîteur MONTGAVDIER,	ôtre très-humble, et très- obéissant seruîteur MONTGAUDIER,
L	L
ADRIAN, I li.	ADRIAN, I li.
pemiers Officiers de Maximian, VII	pemiers Officiers de Maximian, VII
hbrilail, leumne dAdrian	hbrilail, leumne dAndrian
IGTD, Valet de chambre d’Adrian.	IGTD, Valet de chambre d'Adrian.
THEODOR E Couſine de Natalie.	THEODOR E Cousine de Natalie.
JAXIMIAN, Empereur Romain	JAXIMIAN, Empereur Romain
LACIDE, de l'Empereur.	LACIDE, de l'Empereur.
LS IIOTE 1 SCENE PREMIERE.	LS IIOTE 1 CÈNE PREMIÈRE.
ATALIE.	ATALIE.
Vſques à quand seigneux verrous nous des eſpéts, I Dans le ſang des chreſſiens eruellement trimpées, Et leurs membres pourris ſous la charge des fers, Seruiz auant la mert de nourriture aux vers?	Vsques à quand seigneux verrous nous des espêts, I Dans le sang des chressiens ervellement trimpées, Et leurs membres pourris sous la charge des fers, Serviz avant la mert de nourriture aux vers?
Et ne verray-je poiut vos br as armez de ſoudre, Donner ſur les faüx Dieux & les reduire en poudre, Perray-je point crouler par monceaux eſcartez, Les temples abbattus ſur leurs diainitez, A l'eſclat de la foy l’idolatrie eſteinte, Et l’Vniuers ſoubmis la profeſſer ſans crainte?	Et ne verrai-je poiut vos br as armés de soudre, Donner sur les saïs Dieux et les réduire en poudre, Perrai-je point crouler par monceaux écartés, Les temples abattus sur leurs diainitez, À l'éclat de la foi l'idolâtrie éteinte, Et l'Univers soumis la professer sans crainte?
Que ſi pour l’eſtablir il faut encore du ſang, A quelle fin Seigneur eſpargnez vous mon flant, Paurquoy retentz voas mon ame infortunée, Dans les triſtes liens d’vn cruel Hymenée,	Que si pour l'établir il faut encore du sang, À quelle fin Seigneur épargnez -vous mon flant, Paurquoi retentz vœas mon âme infortunée, Dans les tristes liens d'un cruel Hyménée,
Car enfin tout ſupplice a pour moy des appas, Au reſpect d vn eſpoux qui ne vous aime pas, Queὶque h.	Car enfin tout supplice a pour moi des appas, Au respect d' int époux qui ne vous aime pas, Queὶque heure.
ute vertu dont l’eſclat l’enuironne, Son erreur à mes yeux deſrobs ſa per ſonne, Et ce faſcheux pbiect qui me ſuit en tout lieu.	Ute vertu dont l'éclat l'environne, Son erreur à mes yeux dérobs sa per ne, Et ce fâcheux piect qui me suit en tout lieu.
Ne me deſcouure en luy qu’vn ennemy de Dieu.	Ne me découvre en lui qu'un ennemi de Dieu.
Source des veritez, Ocean de lumieres, Seigneur, vous luy pouuez faire ouurir les paupieres, Vous pouuez l’eſciairer de ces rayons d’amour, Qui dißipent la nuict & ramenent le iour, Qui portent nos eſprits au deſſus de nous meſmes, Qui nous traiſnent à vοꝰ par des douceurs extrémes, Et ſans nous aduertir ſe gliſſants dans nos cœurs, Font ſouuent des martots de nos perſecuteurs.	Source des vérités, Ocean de lumières, Seigneur, vous lui pouvez faire ouvrir les paupières, Vous pouvez l'éciairer de ces rayons d'amour, Qui dissipent la nuit et ramèrent le jour, Qui portent nos esprits au dessus de nous mêmes, Qui nous traînent à vien par des douceurs extrêmes, Et sans nous avertir se glissants dans nos cœurs, Font souvent des martôts de nos persécuteurs.
Ie vous prie, o grand Dieu, pere de toute choſe, De faire en Adrian cetse Metamorphoſe.	Je vous prie, ô grand Dieu, père de toute chose, De faire en Adrian cetse Métamorphose.
Qu’il ſoit chreſtien, Seigueur, car apres cet effors Ie verray d’vn meſme œil, & ſa vie & ſa mort, L’vne & l’autre pour moy ſera pleine de charmes, On verſera ſon ſang ſans attirer mes larmes, Et tout éuenement me pourra ſembler doux, Apprenant qu’il exgire & reſpire pour vous.	Qu'il soit chrétien, Seigueur, car après cet efforts Ie verrai d'un même œil, et sa vie et sa mort, L'une et l'autre pour moi sera pleine de charmes, On versera son sang sans attirer mes larmes, Et tout événement me pourra sembler doux, Apprenant qu'il exgire et respire pour vous.
Genereux priſonniers, inuincibles eſclaues, Qui brauez les tyrans qu milieu des entraues, Vous aont le Ciel propice entend tous les ſouſpirs, Ioigniz des vœux preſſans à mes iuſtes deſirs.	Généreux prisonniers, invincibles esclaues, Qui bravez les tyrans qu' milieu des entraves, Vous aont le Ciel propice entend tous les soupirs, Joignis des vœux pressants à mes justes désirs.
De vos Seinctes ferſeeurs.	De vos Seinctes ferseeurs.
SCENE.	SCÈNE.
SCENE NATALIE, & THEODORE, fourniès de linges & d’Onguents, vont viſiter & panſer les prifonniers Chreſtiens.	SCÈNE NATALIE, et THEODORE, fourniès de linges et d'Onguents, vont visiter et panser les prisonniers Chrétiens.
THEODORE.	THÉODORE.
Llons-nous ma couſine!	Llons-nous ma cousine!
NATALIE.	NATALIE.
Acons, ie vous attends.	Acons, Seigneur vous attends.
TIIEOEORE.	TIIEORE.
I'apporte vne eau diuine Dont ie veux faire eſſay, c’eſt vn ſecret nouuueas,	J'apporte une eau divine Dont ieprès faire essai, c'est un secret nouveas,
NATALIE.	NATALIE.
Puis qu’il a voſtre aucu ſans doubte il eſt fort beau, Ce n’eſt pas d’auiouid huy qu’on louë vos receptes, Un uo a fant gruia reves ues enres que rous faites, Et voſtre Cabinet, qu'vn chacun m’a vanté, Allume tous les iours ma curioſité;	Puis qu'il a votre aucu sans doute il est fort beau, Ce n'est pas d'aujouid hui qu'on loue vos receptes, Un a fant gruia reves enres que rous faites, Et vôtre Cabinet, qu' chacun a vanté, Allume tous les iours ma curiosité;
Ie to veux aller voir, on en dit des merueilles.	Je to veux aller voir, on en dit des merveilles.
THEODORE.	THÉODORE.
Tous verrez ſeulement vn amas de bouteilles, Du vaſes & ſachets placez con fuſement;	Tous verrez seulement un amas de bouteilles, Du vases et sachets placés con fusement;
S’il vous plaiſt toute, fois d’y paſſer vn momeat.	S'il vous plaît toute, fois d'y passer un momeat.
Au ſortit des priſons vous ſerez ſatisfaite.	Au sortit des prisons vous serez satisfaite.
NATALIE.	NATALIE.
Ma ſatis faction ſeroit bien plus parfaite, Et ie receurous bien des plaiſirs plus entiers, Si vous marthiez vn tour par de malleurs ſentiers;	Ma satî faction serait bien plus parfaite, Et ici receurous bien des plaisirs plus entiers, Si vous marthiez un tour par de malleurs sent;
Vn motif different dans la priſon nous meine, Vous ſuiuez les appas d'vne tendreſſe humaine, Et la compaßion qui vous touche le cœur, Auroit deſia ceſſe ſi vous n’eſtiez plus ſœur, Tous ces empreſſements naiſſent de la nature, La mienne a pour agir vne cauſe plus pure, Au deſſus des attraits de la chair & du ſang, Elle a le cœur trop bon pour marcher en ce rang.	Un motif different dans la prison nous mène, Vous suivez les appas d'une tendresse humaine, Et la compassion qui vous touche le cœur, Aurait déjà cesse si vous n'étiez plus sœur, Tous ces empressements naissent de la nature, La mienne a pour agir une cause plus pure, Au des des attraits de la chair et du sang, Elle a le cœur trop bon pour marcher en ce rang.
Et tiendroit à meſprus d’eſtre eſtimée eſgale Au plus haut ſentiment d'vnt vertu morale, Elle eſt Chreſtienne en fin, & voyant les liens.	Et tiendrait à méprus d'être estimée égale Au plus haut sentiment d'unt vertu morale, Elle est Chrétienne en fin, et voyant les liens.
Qui preſſent voſtre fitre & tes autres Chreſtitns, E!	Qui pressent votre fitre et tes autres Chrétitns, E!
le n’a pas pour luy de plus fortts attaintes, Tous luy ſont außi chers, tous reſucillent ſes craintes, Ces linges ſont pour tous, & touss ſgalemeut Vont eſtre ſicourus de ce medicament.	le n'a pas pour venir de plus forts attaintes, Tous sens sont aussi chers, tous resucillent ses craintes, Ces linges sont pour tous, et touss ségalemut Vont chang sicourus de ce médicament.
THEODORE.	THÉODORE.
Ainſi mes ſendimens ſont con formis aux vôrreς Mon frere plus ſoigneux de la fanti-es autres Que de la ſienne propre eſtoit inciſſioment A me ſolliciter pour leur ſoulagemim.	Ainsi mes sendiments sont con formis aux vôrreς Mon frère plus soigneux de la fanti-es autres Que de la sienne propre était incissioment À me solliciter pour leur soulagements.
Malgré la pourriture & puanteus extréme, Ie les ſeruis en ſœur & depuis ielis ayme, Et ne puis ſans douleur perdre leur entictien	Malgré la pourriture et puanteus extrême, Je les servis en sœur et depuis jelis aime, Et ne puis sans douleur perdre leur entictien
NATALIE.	NATALIE.
Courage cette humeur tient beaucoup du Chreſtien, Il ne vous manque plus que d’eſtre baptiſée.	Courage cette humeur tient beaucoup du Chrétien, Il ne vous manque plus que d'être baptisée.
Railleuſe.	Railleuse.
THEODORE	THÉODORE
NATALIE.	NATALIE.
Ie dis vray.	Je dis vrai.
THEODORE.	THÉODORE.
Si i'eſtois moins ruſée, Vous pourriez me ſeduire;	Si j'étais moins rusée, Vous pourriez me séduire;
helas c’eſt bien en vain, Si vous auez conçeu ce criminel deſſein, Mon frere a m'en parler a perdu ſes eſcrimes, dinuecrs itgons, le raius tii maximes;	hélas c'est bien en vain, Si vous avez conçu ce criminel dessein, Mon frère a m'en parler a perdu ses escrimes, dinuecrs itgons, le raius tijà maximes;
Car vos ſonges plaſtrez ont trop de vanité, Pour abiiſer iamais de ma credulité.	Car vos songes plâtrez ont trop de vanité, Pour abiiser jamais de ma crédulité.
4	4
NATALIE.	NATALIE.
In iour ces veritez que vous nommez des ſonges, Et qui paſſent chez vous pour de feiues menſonges, Stront entierement l’obiet de voſtre amour.	In jour ces vérités que vous nommez des songes, Et qui passent chez vous pour de féjues mensonges, Stront entièrement l'objet de votre amour.
THEODORE.	THÉODORE.
Ie croy que de long-temps ie ne verray ce iour.	Je crois que de longtemps ici ne verrai ce jour.
NATALIE.	NATALIE.
Non uon quand Dieu nous veut, quelque combat qu’on faſſe, C’eſt en vain qu’on reſiſte aux efforts de ſa grace, C’eſt peut-eſtre aujourd’huy c’eſt peut-eſtre demain, Qu’il a determiné ce vous tendre la main.	Non uon quand Dieu nous veut, quelque combat qu'on fasse, C'est en vain qu'on résiste aux efforts de sa grâce, C'est peut-être aujourd'hui c'est peut-être demain, Qu'il a déterminé ce vous tendre la main.
las Fauſte rient à nous & patit, ce me ſemble.	las Fauste rient à nous et patit, ce me semble.
SCENE III.	SCÈNE III.
NATALIE, THEODORE, FAVSTE,	NATALIE, THEODORE, FAUSTE,
NATALIE.	NATALIE.
veus nounthe raujie ?	vus nounthe raujie ?
FAVSTE.	FAUSTE.
Ha Madame ie tremble, La grandeur du peril eſtonne ma raiſon, Mon Maiſtre ne vit plus, ou reſpire en priſon, Madame, il eſt Chreſtien:	Ha Madame ie tremble, La grandeur du péril étonne ma raison, Mon Maître ne vit plus, ou respire en prison, Madame, il est Chrétien:
mais.	mais.
NATALIE.	NATALIE.
Quel mais peux tu dirt?	Quel mais peux -tu dirt?
Qu’à preſent tout le monde aſſemblé pour me nuite, Ioigne effort ſur efforts, Adrian eſt Chreſtiin, Ie n’ay plus vien à craindre, & ne pretens plus rien, L’excez de ce bon-heur a mon ame rauie, Ha men cher Adrian!	Qu'à présent tout le monde assemblé pour me nuite, Joigne effort sur efforts, Adrian est Chrétiin, Je n'ai plus viens à craindre, et ne prétends plus rien, L'excès de ce bonheur a mon âme ravie, Ha men cher Adrian!
vous me rendez lavie.	vous me rendez lavie.
TANVOTEe Ce tranſport me ſurprend, Madame, il va moueis, Et loing de vous en plaindre ou de le ſecourir, Loing de vous employer enuirs l’Imperatrice.	TANVOTEe Ce transport me surprend, Madame, il va mouis, Et loin de vous en plaindre ou de le secourir, Loing de vous employer envirs l'Impératrice.
NATALIE.	NATALIE.
Dis plus, ie voudrois meſme aduancer ſon ſupplice, Irreter contre luy moy-meſme l’Empereur, Et ſi ce ſentimens te donne de l'horreuz.	Dis plus, Seigneur voudrais même avancer son supplice, Irèter contre notre moi-même l'Empereur, Et si ce sentiments te donne de l'horreuz.
THEODORE.	THÉODORE.
Quoſs vous doutez encor, cruelle, s’il en donne;	Quoss vous doutez encor, cruelle, s'il en donne;
NATALIE.	NATALIE.
Ouy i'en doubte en effet, & la raiſon l'ordonne;	Oui j'en doute en effet, et la raison l'ordonne;
Puiſque ie parle à Fauſte, & qu’il ne doubie pas Que l’immortalité ne ſuiue vn tel treſpas, Au in momint ut uoulturs n'enfante pour la gloir.	Puisque ie parle à Fauste, et qu'il ne doute pas Que l'immortalité ne suive un tel trépas, Au in ut ut oulturs n'enfante pour la gloir.
Des treſors infinu.	Des trésors infinu.
FAVSTE.	FAUSTE.
Madame, il le faut croire, Mais quand perdant vn maiſtre on perd tout ſon ſoûtien, Celuy la qui le pleure en eſt il moins Chreſtion?	Madame, il le faut croire, Mais quand perdant un maître on perd tout son soutien, Celui la qui le pleure en est il moins Chrétion?
NATALIE.	NATALIE.
Ie ſçay bien que la Foy pent ſouffris la Nature, Mais qui pour l’affrranchir & la vendre plus pure, Eſtouffe des ſoûpirs qu’il a droit de former.	Je sais bien que la Foi pense souffris la Nature, Mais qui pour l'affranchir et la vendre plus pure, Étouffe des soupirs qu'il a droit de former.
Mtreſte des tranſports que nul ne peur blaſnis, Et void la mort des ſiens du meſme œil qu'vn voyage Ne teſmoigne-t’il pas en ſçauoir mieux l’vſage?	Mtreste des transports que nul ne peur blânis, Et voit la mort des siens du même œil qu'H voyage Ne témoigne-t-il pas en savoir mieux l'usage?
Efuje dunt tes pieurs, e toing de r'afſiiger, Pour la mort d’Adrian, dont iu vois le danger, Porte tes yeux au Ciil ſur la gloire éternelle, Dont Dieu couronnera ſa conſtance & ſon zele.	Efuje dunt tes pieurs, eu toin de rafiger, Pour la mort d'Adrian, dont ju vois le danger, Porte tes yeux au Ciil sur la gloire éternelle, Dont Dieu couronnera sa constance et son zèle.
THEODORE.	THÉODORE.
Comment s’eſt-il rendu?	Comment s'est-il rendu?
fay nous en le diſcours.	fais nous en le discours.
FAVSTE.	FAUSTE.
Maximian, Maüame, eſtant ſorti du cours.	Maximian, Majame, étant sorti du cours.
oulut ſur vn chreſtien donner cours à ſa rage n vain s'efforça t’on d’esbranler ſon courag lus ferme qu’vn rocher il braüe les bourrȩaux.	oulut sur un chrétien donner cours à sa rage n vain s'efforça t'on d'ébranler son courag lus ferme qu'un rocher il braue les bourraux.
voit ſans s'eſfrayez ſon ſang ſoubs leurs couteaux, ouler de toutes parts, & ſa cher entamẽe endre ſur lis charbons vnte eſpaiſſe fnmée, oute la Cour s’eſſonne, & mon maiſtre ſur tous, emble ſouffrir ſus ſoy le contrecoùp des coug?	voit sans s'efrayez son sang sous leurs couteaux, ouler de toutes parts, et sa cher entamène endre sur lis charbons unte épaisse fnmée, oute la Cour s'essonne, et mon maître sur tous, emble souffrir sus soi le contrecoù des coug?
ant de ſouſpirs preſſez ſortent de ſa poictriné, ant il verſe de pleurs, tant ſa facetbagrine  ſt peinte de douleuz, il a l'œιl artaché, antoſt ſur ce biau ſang qui vient d'eſtre eſpanthé;	ant de soupirs pressez sortent de sa poitriné, ant il verse de pleurs, tant sa facetbagrine st peinte de douleuz, il a l'œl artaché, antôt sur ce biau sang qui vient d'être espanthé;
antoſt ſur l’empeur, & touſiours vn nuagé, ouvre le toint vermeil de ſon triſte viſage.	antôt sur l'empeur, et toujours un nuagé, ouvre le toint vermeil de son triste visage.
tient le front panché ſur ſon bras tacourci endant que ſon eſprit flotre dans le ſouci, que ſon μαιν ſe partage, & ce rude diuors e briſe de ſouſpirs & l'eſpuiſe de force, ne moite ſueur luy court par tout le corps, t læfeu qu’il couuoit gagne cnfin le debors, lembraze ſes yeux, allume ſon teint paſte, mprime ſux ſon front vne couleur plus maſte, uy raſſeure le cœur & l’anime ſi fort.	tient le front penché sur son bras tacourci endant que son esprit flotre dans le souci, que son μαιν se partage, et ce rude divors eu brise de soupirs et l'épuise de force, ne moite sueur même court par tout le corps, t æfu qu'il couvait gagne cnfin le débors, lembraze ses yeux, allume son teint pâte, mprime sux son front une couleur plus mâte, ui rassure le cœur et l'anime si fort.
ta te brahelappurret Empereur & la mort, lais qui peut raporter ſes ardentes paroles?	ta te brahelappurret Empereur et la mort, lais qui peut rapporter ses ardentes paroles?
* ſuis Chreſtien dit-il i’abborre les Idoles, en dateſte latalir, puuauspemgi tuquet pour l'abalis iene vuide mon flane.	* suis Chrétien dit-il j'aborre les Idoles, en dattes latalir, puuauspemgi tuquet pour l'abalis iene vide mon flamne.
O Genertux martir qui m'en donnez l’exemple, Vous que ſur les braſiers le fils de Dieu coutemipie Les couronnes en main, iettez les yeux ſur moy Du ſejour de la gloire & ſouſtenez ma foy Cependant que ſans crainte il deſcouure ſa flame.	Ô Génertux martyr qui m'en donnez l'exemple, Vous que sur les brasiers le fils de Dieu coutemipie Les couronnes en main, jetés les yeux sur moi Du séjour de la gloire et soutenez ma foi Cependant que sans crainte il découvre sa flamme.
Maximian l'entend & enrage dans l’am, It jeinte mub te veity qui vons apprindra tout.	Maximian l'entend et enrage dans l'am, It jeinte mub te viti qui vont apprindra tout.
NE ADECIAN, TAVSIE IIICODURE.	NE ADECIAN, TAUSIE IICODURE.
APOLLINAIRE.	APOLLINAIRE.
ADRIAI 2 Nfin voſtre conſtancs en eſt venuë à bout, L I’abandonne les dieux & le ſoing de ma vis.	ADRIAI 2 Nfin votre constancs en est venue à bout, L 'abandonne les dieux et le soing de ma vis.
NATALIE.	NATALIE.
Ha mon cher Adrian!	Ha mon cher Adrian!
ADRIAN.	ADRIAN.
Ma ihere Natalie!	Ma jhère Natalie!
NATALIE.	NATALIE.
Source de mes plaο͂ſirς que ce nouuel eſtat A vos yeux dόtrompez donne vn aimable eſclat, Et que ſur vous la grace a reſpandu de charmes!	Source de mes plaο͂sirς que ce nouvel état À vos yeux dόtrompez donne un aimable éclat, Et que sur vous la grâce a répandu de charmes!
C’eſt vous, c’eſt vous Seigneur, qui tariſſez mus darmes, Qui m’auez exaucίς, & d'auεα pεû ſouſpir Og vn mary tant pleuré vins to ſin à Perix.	C'est vous, c'est vous Seigneur, qui tarissez mus darmes, Qui m'avez exaucίς, et d'au pu soupir Og un mari tant pleuré vins to sin à Perix.
Ious priſez trop les pleurs d’vne ame qui ſouſpire.	Jous prisez trop les pleurs d'une âme qui soupire.
Et ſur vous nos douleurs exercent trop d’impire, Pour eſtre inexorable à mes inſtes deſirs, Quand voſtre ſeul amour enfantoit mes ſouſpirs.	Et sur vous nos douleurs exercent trop d'impire, Pour être inexorable à mes instes désirs, Quand votre seul amour enfant mes soupirs.
Enfin il eſt Chreſtien, enfin l’enfer enrage, De le voir deſormais hors de ſen eſclauage, Et le Ciel, & la terre au ſeul bruit de ſa foy Prendront part à ma ioje, & diront auec moy, Beny ſoit le Seigneur que tout Chreſtien adore, Que depuis l’aſtre froia tuſqu’au riuage more, Et de la mer d’Eſpâgne aux peuples du leuant Echo porte ſon nou ſur les aiſles du vent, Pour apprendre aux mortels que Dieu nous à fait grace, Que tous nos ennemis ont fuy deuant ſa face, Qu’il a leué le bras & briſé nos liens, Et qu’il n’eſt point dè Dieu que le Dieu des Chreſtiẽs, Qu’il eſt Dieu d’Adrian & de ſa Natalie, Qu’il eſt le Dieu de Rome & de Nicomοdie.	Enfin il est Chrétien, enfin l'enfer enrage, De le voir désormais hors de sen esclavage, Et le Ciel, et la terre au seul bruit de sa foi Prendront part à ma joïs, et diront avec moi, Béni soit le Seigneur que tout Chrétien adore, Que depuis l'astre froia tusqu'au rivage more, Et de la mer d'Espâgne aux peuples du luant Écho porte son nouv sur les ailes du vent, Pour apprendre aux mortels que Dieu nous à fait grâce, Que tous nos ennemis ont fui deuant sa face, Qu'il a lué le nos et brisé nos liens, Et 'il n'est point d Dieu que le ' es Chrestiẽs, Pôil est Dieu Adrian et de sa Natalie, d' est le Dieu de Rome et de Nicomοdie.
APOLLINAIRE.	APOLLINAIRE.
Monſieur ie vous ay dit auec ſincerité, Tout ce qu’vn amy peut en cette extremité, Et vous iugez aſſez que Maximian meſme, Tout irrité qu’il eſt vous honore & vous aime, Et ſçachant à quel point ie veus ſuis ſeruiteur, Qu’il ne m’auroit iamais fait voſtre conducteur, Sans l’eſpoir qu’il a ta quenpie torroveine.	Monsieur ie vous ai dit avec sincérité, Tout ce qu'Han ni peut en cette extrémité, Et vous jugez assez que Maximian même, Tout irrité qu'il est vous honore et vous aime, Et sachant à quel point ie uns suis serviteur, Qu'il ne m'aurait jamais fait votre conducteur, Sans l'espoir qu'il a ta quenpie torroveine.
Et qu'vn prompt repentir vois deſtone à ſa baise.	Et qu'un prompt repentir vois détone à sa baise.
ADRIAN Monſieht n'en parlons plus, ie veux mouris Chreſtien.	ADRIAN Monsieht n'en parlons plus, tu veux mouris Chrétien.
APOLLINAIRE.	APOLLINAIRE.
Monſieur encor va coup ne precipitez rien, Cette mort gentreuſe où vous trouuez des charmes Vous paroiſtra bien-toſt commne vn ſujet de larmes, Et cette prompte ardeur s’eſteignant peu à peu, Plus elle approchęra moins vous aurez de feu, Vous la verrez alors dans ſes atours funebres, Dans l’eſfroy du ſileuce & l'horisur dis tenebręs, Dans le trouble, la crointe, & la confuſion, L’oubly, le deſeſpoir, & la priuation:	Monsieur encor va coup ne précipitez rien, Cette mort gentreuse où vous trouvez des charmes Vous paraîtra bientôt commne un sujet de larmes, Et cette prompte ardeur s'éteignant pu à peu, Plus elle approchra moins vous aurez de feu, Vous la verrez alors dans ses atours funèbres, Dans l'esfroi du sileuce et l'horisur dis tenebręs, Dans le trouble, la crointe, et la confusion, L'oubli, le désespoir, et la privation:
Eſt-il à ces obiets fermeté qui ne plit?	Est-il à ces objets fermeté qui ne plit?
Iu gement qui reſiſte à la melancolie, Conſtance qui ne branl.	Ju gement qui résiste à la mélancolie, Constance qui ne branl.
& tourage aſſez fort, Pour oſer ſans frayeur enuiſager la mort?	et tourage assez fort, Pour oser sans frayeur envisager la mort?
Non il n’en fut iamais cette funeſte image Ne frappe point les ſens ou change le courage	Non il n'en fut jamais cette funeste image Ne frappe point les sens ou change le courage
ADRIAN.	ADRIAN.
Ie porte ma penſée encor plus loing que vous, Et ſans faire à la mort vn viſage trop doux.	Je porte ma pensée encor plus loing que vous, Et sans faire à la mort un visage trop doux.
Sans preſumer de moy i’aduogẽ ma foibleſſe, Et connois ſa rigueur ſans que mon zele ceſſe:	Sans présumer de moi j'aduogẽ ma faiblesse, Et connais sa rigueur sans que mon zèle cesse:
Ouy, quelque cruauté qu’on forge à mon trépas.	Oui, quelque cruauté qu'on forge à mon trépas.
Si Ieſus me ſouflient ie ne trembleray pas, Puus-qu’il eſt ma valeur ie dois eſtre inuincible, Et s’il eſt mon appuy ma cheute eſt impoßible.	Si Jésus me souflient femme ne tremblerai pas, Puus-qu'il est ma valeur ici dois être invincible, Et s'il est mon appui ma chute est imposible.
APOLLINAIRE.	APOLLINAIRE.
Teſtre ardeur vous ſeduit.	Têtre ardeur vous séduit.
ADRIAN.	ADRIAN.
Ma puiſſance eſt mon Dieu.	Ma puissance est mon Dieu.
din e dull asaan d e Et contre Iupiter croiriez vous qu’elle eut lieu?	din eût dull an d e Et contre Jupiter croiriez -vous qu'elle eut lieu?
ADRIAN.	ADRIAN.
Iupiter fut vn homme & le poids de ſes crimes L’accãble ſans repos dans le fond des abyſmes, Gemiſſant ſous la main du Seigneur que it ſers, Sans que tous vos encens adouciſſent ſes fers.	Jupiter fut un homme et le poids de ses crimes L'accãble sans repos dans le fond des abîmes, Gémissant sous la main du Seigneur que it sers, Sans que tous vos encens adoucissent ses fers.
APOLLINAIRE.	APOLLINAIRE.
Vous vous emportez trop, s’il auoit pris ſa foudre, La croix de voſtre Dieu ſeroit reduite en poudre, Et tout Chreſtien prendroit la terre auec lès dents, Ul roule dans le Ciel ſes chariots ardents Genereux ſucceſſeur de Saturne ſon pere.	Vous vous emportez trop, s'il avait pris sa foudre, La croix de votre Dieu serait réduite en poudre, Et tout Chrétien prendroit la terre avec l' dents, Ul roule dans le Ciel ses chariots ardents Généreux successeur de Saturne son père.
ADRIAN.	ADRIAN.
