A MONSIEVR DE MOLIER, CHEF DE LA TROVPPE DES COMEDIENS DE MONSIEVR, FRERE VNIQVE DV ROY.	À MONSIEUR DE MOLIER, CHEF DE LA TROUPE DES COMÉDIENS DE MONSIEUR, FRÈRE VIQUE DU ROY.
& comme il y alloit de voſtre gloire & de la mienne, que l’on ne l’imprimaſt pas de la ſorte, à cauſe des Vers que vous auez faits, & de la Proſe que i’y ay adjouſtée, i’ay crû qu’il falloit aller au deuant de ces Meſſieurs, qui impriment les gens malgré qu’ils en ayent, & donner vne copie qui fuſt correcte (ie puis parler ainſi, puis que ie croy que vous trouuerez voſtre Piece dans les formes) i’ay pourtant combattu longtemps auant que de la donner;	et comme il y allait de votre gloire et de la mienne, que l'on ne l'imprimât pas de la sorte, à cause des Vers que vous avez faits, et de la Prose que j'y ai ajoutée, j'ai cru qu'il fallait aller au devant de ces Messieurs, qui impriment les gens malgré qu'ils en aient, et donner une copie qui fût correcte (ie puis parler ainsi, puis que je crois que vous trouverez votre Pièce dans les formes) j'ai pourtant combattu longtemps avant que de la donner;
mais enfin i’ay veu que c’eſtoit vne neceſſité que nous fuſſions imprimez, & ie m’y ſuis refolu d’autant plus volontiers, que i’ay veu que cela ne vous pouuoit apporter aucun dommage, non plus qu’à voſtre Trouppe, puiſque voſtre Piece a eſté joüée prés de cinquante lois.	mais enfin j'ai vu que c'était une nécessité que nous fussions imprimez, et et ty ou jours m'autant plus volontiers, que j'ai vu que cela ne vous pouvait apporter aucun dommage, non plus qu'à votre Troupe, puisque votre Pièce a été jouée prés de cinquante lois.
Ie ſuis,	Je suis,
MONSIEVR,	MONSIEUR,
Voſtre tres-humble ſeruiteur *	Votre très-humble serviteur *
A VN AMY.	À VN AMY.
NSIEVR, Vous ne vous eſtes pas trompé dans voſtre penſée, lors que vous auez dit auant que l’on le ioüaſt) que ſi le COCV IMAGINAIRE, eſtoit traité par vn habile homme, ce deuoit eſtre vne parfaitement belle Piece:	NSIEUR, Vous ne vous êtes pas trompé dans votre pensée, lors que vous avez dit avant que l'on le jouât) que si le COCU IMAGINAIRE, était traité par un habile homme, ce devait été parfaitement belle Pièce:
C’eſt pourquoy ie croy qu’il ne me ſerai pas difficile de vous faire tomber d’accord de la beauté de cette Comedie, meſme auant que de l’auoir veuë, quand ie vous auray dit qu’elle part de la plume de l’Ingenteux Autheur des Pretieuſes Ridicules- Iugez aprés cela, ſi cuvnoit pas eſtre vn Ouurage tout à fait galand & tout à fait ſpirituel, puiſque ce ſont deux choſes que ſon Autheur poſſede auantageuſement.	C'est pourquoi votre crois qu'il ne me serai pas difficile de vous faire tomber d'accord de la beauté de cette Comédie, même avant que de l'avoir vue, quand tu vous aurai dit qu'elle part de la plume de l'Ingenteux Auteur des Pretieuses Ridicules- Iugez après cela, si cuvnoit pas été un Ouvres tout à fait galant et tout à fait spirituel, puisque ce sont deux choses que son Auteur possède avantageusement.
Elles y brillent außi auec tant d’éclat, que cette Piece ſurpaſſe de beaucoup toutes celles qu’il a faites, quoy que le ſuiet de ces Pretieuſes Ridicules ſoit tout à fait ſpirituel, & celuy de ſon Dépit Amoureux, tout à fait galand.	Elles y brillent aussi avec tant d'éclat, que cette Pièce surpasse de beaucoup toutes celles qu'il a faites, quoi que le sujet de ces Pretieuses Ridicules soit tout à fait spirituel, et celui de son Dépit Amoureux, tout à fait galant.
Mais vous en allez vous-meſme eſtre iuge dés que vous l’aurez leuë, & ie ſuis aſſeuré que vous y trouuerez quantité de Vers qui ne ſe peuuent payer, que plus vous relireZ, plus vous connoiſtrez auoir eſté profondement penſez.	Mais vous en allez vous-même ici juge dès que vous l'aurez lue, et votre suis assuré que vous y trouverez quantité de Vers qui ne se peuvent payer, que plus vous relirez, plus vous connaîtrez avoir été profondément pensez.
En effet le ſens en eſt ſi myſterieux, qu’ils ne peuuent partir que d’vn homme conſommé dans les Compagnies, & i’oſe meſme auancer que SGANARELLE n’a aucun mouuement ialoux, ny ne pouſſe aucuns ſentimens, que l’Autheur n’ait peut-eſtre ouys luymeſme de quantité de gens au plus fort de leur ialouſie, tant ils ſont ex primez naturellement;	En effet le sens en est si mystérieux, qu'ils ne peuvent partir que d'un homme consommé dans les Compagnies, et j'ose même avancer que SGANARELLE n'a aucun mouvement jaloux, ni ne pousse aucuns sentiments, que l'Auteur n'ait peut-être ou luymesme de quantité de gens au plus fort de leur jalousie, tant ils sont ex primez naturellement;
ſi bien que l’on peut dire que quand il veut mettre quel que choſe au iour, il le lit premierement dans le monde (s’il eſt permis de parler ainſi) ce qui ne ſe peut faire ſans auoir vn diſcernement außi bon que luy, & außi propre a choiſir ce qui plaiſt.	si bien que l'on peut dire que quand il veut mettre quel que chose au jour, il le lit premièrement dans le monde (s'il est permis de parler ainsi) ce qui ne se peut faire sans avoir un discernement aussi bon que tu, et aussi propre à choisir ce qui plaît.
On ne doit donc pas s’eſtonner apres cela, ſi ſes Pieces ont vne ſi extraordinaire reüßite, puiſque l’on n’y voit rien de forcé, que tout y eſt naturel, que tout y tombe ſous le ſens, & qu’enfin les plus ſpirituels confeſſent, que les paßions produiroient en eux les meſmes effets qu'ils produiſent en ceux qu’il introduit ſur la Scene.	On ne doit donc pas s'étonner après cela, si ses Pièces ont avoir si extraordinaire reüssite, puisque l'on n'y voit rien de forcé, que tout y est naturel, que tout y tombe sous le sens, et qu'enfin les plus spirituels confessent, que les passions produiraient en eux les mêmes effets qu'ils produisent en ceux qu'il introduit sur la Scène.
Ie n’aurois iamais fait, ſi ie prétendois vous dire tout ce qui rend recommandable l’Autheur des Pretieuſes Ridicules, & du COCV IMAGINAIRE.	Je n'aurais jamais fait, si tu prétendais vous dire tout ce qui rend recommandable l'Auteur des Prétieuses Ridicules, et du COCU IMAGINAIRE.
C’eſt ce qui fait que ie ne vous en entretiendray pas dauantage, pour vous dire que quelques beautez que cette Piece vous faſſe voir ſur le papier, elle n'a pas encor tous les agrémens que le Theatre donne d’ordinaire à ces ſortes d’ouurages.	C'est ce qui fait que ie ne vous en entretiendrai pas davantage, pour vous dire que quelques beautés que cette Pièce vous fasse voir sur le papier, elle n'a pas encor tous les agrémens que le Théâtre donne d'ordinaire à ces sortes d'ouvrages.
Ie taſcheray toutefois d'e	Je tâcherai toutefois d'e
vous en faire voir quelque choſe aux endroits où il ſera neceſſaire pour l’intelligence des Vers & du ſuiet, quoy qu’il ſoit aſſez difficile de bien exprimer ſur le papier ce que les Poëtes appellent Ieux de Theatre, qui ſont de certains endroits où il faut que le corps.	vous en faire voir quelque chose aux endroits où il sera nécessaire pour l'intelligence des Vers et du sujet, quoi qu'il soit assez difficile de bien exprimer sur le papier ce que les Poètes appellent Jeux de Théâtre, qui sont de certains endroits où il faut que le corps.
& le viſage joüent beaucoup, & qui dé pendent plus du Comedien que du Poëte, conſiſtant pre ſque touſiours dans l’action:	et le visage jouent beaucoup, et qui dé pendent plus du Comédien que du Poète, consistant pré que toujours dans l'action:
C’eſt pourquoy ie vous conſeille de venir à Paris, pour voir repre ſenter le COCV IMAGINAIRE par ſon Autheur, & vous verrez qu’il y fait des choſes qui ne vous donneront pas moins d’admiration, que vous en aura donné la lecture de cette Piece;	C'est pourquoi votre vous conseille de venir à Paris, pour voir repre sentre le COCU IMAGINAIRE par son Auteur, et vous verrez qu'il y fait des choses qui ne vous donneront pas moins d'admiration, que vous en aura donné la lecture de cette Pièce;
mais ie ne m'apperçois pas que ie vous viens de promettre de ne vous plus entretenir.	mais ici ne m'aperçois pas que je vous viens de promettre de ne vous plus entretenir.
de l’eſprit de cét Autheur, puiſque vous en découurirez plus dans les Vers que vous allez lire, que dans tous les diſcours que ie vous en pourrois faire.	de l'esprit de cet Auteur, puisque vous en découvrirez plus dans les Vers que vous allez lire, que dans tous les discours que je vous en pourrais faire.
Ie ſçay bien que ie vous ennüye, & ie	Je sais bien que je vous ennue, et notre
m’imagine vous voir paſſer les yeux auec chagrin par deſſus cette longue Epiſtr;	m'imagine vous voir passer les yeux avec chagrin par dessus cette longue Epistr;
mais prenez vous-en a l’Autheur.	mais prenez vous-en a l'Auteur.
Foin, ie voudrois bien éuiter ce mot d’Autheur;	Foin, Seigneur voudrais bien éviter ce mot d'Auteur;
car ie croy qu’il ſe rencontre preſque dans chaque line, & i’ay deſia eſté tenté plus de ſix fois de mettre MONSIEVR DE MOLIER en ſa place.	car pu crois qu'il se rencontre presque dans chaque line, et j'ai déjà été tenté plus de six fois de mettre MONSIEUR DE MOLIER en sa place.
Prenez vous-en donc à MONSIEVR DE MOLIER, puiſque le voilà.	Prenez vous-en donc à MONSIEUR DE MOLIÈR, puisque le voilà.
Nou, laiſſez le-là toutefois, & ne vous-en prenez qu'à ſon eſprit, qui m’a fait faire vne lettre plus longue que ie n’aurois voulu, ſans toutesfois auoir parlé d’autres perſonnes que de luy, & ſans auoir dit le quart de ce que i’auois à dire à ſon auantage.	Nou, laissez le-là toutefois, et ne vous-en prenez qu'à son esprit, qui m'a fait faire une lettre plus longue que ie n’aurais voulu, sans toutefois avoir parlé d'autres personnes que de tour, et sans avoir dit le quart de ce que j'avais à dire à son avantage.
Mais ie finis, de peur que cette Epiſtre n’attire quelque maudiſſon ſur elle, & ie gage que dans l’impatience où vous eſtes, vous ſerez bien aiſe d’en voir la fin & le comment ement de cette Piece.	Mais quelque finis, de peur que cette Épître n'attire quelque maudisson sur elle, et ie mage que dans l'impatience où vous êtes, vous serez bien aise d'en voir la fin et le comment ement de cette Piece.
ACTEVRS.	ACTEURS.
GORGIBVS, Bourgeois de Paris.	GORGIBUS, Bourgeois de Paris.
e ll lE, la lio.	 él lE, la lio.
LELIE, Amant de Celie.	LELIE, Amant de Celie.
GROS RENE', Valet de Lelie.	GROS RENE', Valet de Lélie.
SGANARELLE, Bourgeois de Paris, & Cocu Imaginaire.	SGANARELLE, Bourgeois de Paris, et Cocu Imaginaire.
SA FEMME.	SA FEMME.
VILLEBREQVIN, Pere de Valere.	VILEBREQUIN, Père de Valère.
LA SVIVANTE de Celie.	LA SVIVANTE de Celie.
VN PARENT de Sganarelle.	UN PARENT de Séganarelle.
La Scene eſt à Paris.	La Scène est à Paris.
SGANARELLE LE COCV IMAGINAIRE.	SGANARELLE LE COCU IMAGINAIRE.
COMEDIE.	COMÉDIE.
SCENE PREMIHRE.	SCÈNE PREMIHRE.
GORGIBVS, CELIE, SA SVIVANTE.	GORGIBUS, CÉLIE, SA SVIVANTE.
ETTE premiere Scene, où Gorgibus entre auecque ſa Fille, fait voir à l’Auditeur que l’auarice eſt la paſſion la plus ordinaire aux Vieillards, de meſme que l’amour eſt celle qui regne le plus ſouuent dans vn ieune cœur, & principalement dans celuy d’vne fille:	ETTE première Scène, où Gorgibus entre prendre sa Fille, fait voir à l'Auditeur que l'avarice est la passion la plus ordinaire aux Vieillards, de même que l'amour est celle qui règne le plus souvent dans un jeune cœur, et principalement dans celui d'une fille:
car l’on y voit Gorgibus, malgré le choix qu’il auoit fait de Lelie, pour ſon Gendre, preſLE COCV ſer ſa Fille d’agréer vn autre Eſpoux nommé Valere, incomparablement plus mal fait que Lelie, ſans donner d’autre raiſon de ce changement, ſinon que le dernier eſt plus riche.	car l'on y voit Gorgibus, malgré le choix qu'il avait fait de Lélie, pour son Gendre, presLE COCU ser sa Fille d'agréer un autre Époux nommé Valère, incomparablement plus mal fait que Lelie, sans donner d'autre raison de ce changement, sinon que le dernier est plus riche.
L’on voit d’vn autre.	L'on voit d'un autre.
coſté que l’amour ne ſort pas facilement du cœur d’vne fille, quand vne fois il en a ſceu prendre:	côté que l'amour ne sort pas facilement du cœur d'une fille, quand une fois il en a su prendre:
c’eſt ce qui fait vn agreable combat dans cette Scene entre le pere & la fille, le pere luy voulant perſuader qu’il faut eſtre obeïſſante, & luy propoſant pour la deuenir, au lieu de la lecture de Clelie, celle de quelques vieux Liures qui marquent l’antiquité du bon homme, & qui n’ont rien qui ne parût barbare, ſi l’on en comparoit le ſtyle à celuy des ouurages de l’illuſtre Sapho.	c'est ce qui fait un agréable combat dans cette Scène entre le père et la fille, le père Je voulant persuader qu'il faut être obéissante, et lui proposant pour la devenir, au lieu de la lecture de Clélie, celle de quelques vieux Livres qui marquent l'antiquité du bon homme, et qui n'ont rien qui ne parut barbare, si l'on en comparait le style à celui des ouvrages de l'illustre Sapho.
Mais que tout ce que ſon pere luy dit la touche peu, elle abandonneroit volontiers la lecture de toutes ſortes de Liures pour s’occuper à repaſſer ſans ceſſe en ſon eſprit les belles qualitez de ſon Amant, & les plaiſirs dont ioüiſſent deux perſonnes qui ſe marient quand ils s’aiment mutuellement:	Mais que tout ce que son père avait dit la touche peu, elle abandonnerait volontiers la lecture de toutes sortes de Livres pour s'occuper à repasser sans cesse en son esprit les belles qualités de son Amant, et les plaisirs dont jouissent deux personnes qui se marient quand ils s'aiment mutuellement:
mais las!	mais las!
que ce cruel pere luy donne ſuiet d’auoir bien de plus triſtes penſées, il la preſſe ſi fort que cette fille affligée n’a plus de recours qu’aux larmes, qui ſont les armes ordinaires de ſon ſexe, qui ne ſont pas toutesfois aſſez puiſſantes pour vaincre l’auarice de cét inſenſible Pere, qui la laiſſa toute eſplorée.	que ce cruel père avait donne sujet d'avoir bien de plus tristes pensées, il la presse si fort que cette fille affligée n'a plus de recours qu'aux larmes, qui sont les armes ordinaires de son sexe, qui ne sont pas toutefois assez puissantes pour vaincre l'avarice de cet insensible Père, qui la laissa toute esplorée.
Voicy les Vers de cette Scene qui vous feront voir ce que ie vous viens de alte, mreux que le n'ay lale dans cette Proſe.	Voici les Vers de cette Scène qui vous feront voir ce que je vous viens de alte, mreux que le n'ai lale dans cette Prose.
CELIE ſortant toute eſplorée, & ſon Pere la ſuiuant.	CELIE sortant toute esplorée, et son Père la suivant.
H!	H!
n’eſperez iamais que mon cœur y conA ſente.	n'espérez jamais que mon cœur y conA sente.
GORGIBVS.	GORGIBUS.
Que marmottez-vous la petite impertinente?	Que marmottez-vous la petite impertinente?
Vous pretendez choquer ce que i’ay reſolu, Ie n’auray pas ſur vous vn pouuoir abſolu, Et par ſottes raiſons voſtre ieune ceruelle Voudroit regler icy la raiſon paternelle?	Vous prétendez choquer ce que j'ai résolu, Je n'aurai pas sur vous un pouvoir absolu, Et par sottes raisons votre jeune cervelle Voudrait régler ici la raison paternelle?
Qui de nous deux à l’autre a droit de faire loy, A voſtre aduis, qui mieux, ou de vous, ou de moy, O ſotte, peut iuger ce qui vous eſt vtile?	Qui de nous deux à l'autre a droit de faire loi, À votre avis, qui mieux, ou de vous, ou de moi, Ô tte, peut juger ce qui vous est utile?
Par la corbleu, gardez d’eſchauffer trop ma bile, Vous pourriez éprouuer ſans beaucoup de lõgueur Si mon bras ſçait encor montrer quelque vigueur, Voſtre plus court ſera, Madame la mutine, D’accepter ſans façõs l’époux qu’on vous deſtine.	Par la corbleu, gardez d'échauffer trop ma bile, Vous pourriez éprouver sans beaucoup de lõgueur Si mon bras sait encor montrer quelque vigueur, Votre plus court sera, Madame la mutine, D'accepter sans façõs l'époux qu'on vous destine.
I'ignore, dites-vous, de quelle humeur il eſt, Et dois auparauant conſulter s’il vous plaiſt.	J'ignore, dites-vous, de quelle humeur il est, Et dois auparavant consulter s'il vous plaît.
Informé du grand bien qui luy tombe en partage, Dois-je prendre le ſoin d’en ſçauoir dauantage, Et cét eſpoux ayant vingt mi le bons Ducats, Pour eſtre aimé de vous doit-il manquer d’appas?	Informé du grand bien qui était tombe en partage, Dois-je prendre le soin d'en savoir davantage, Et cet époux ayant vingt mi le bons Ducats, Pour ç aimé de vous doit-il manquer d'appas?
Allez, tel qu’il puiſſe eſtre auecque cette ſomme, 1e vous luis caution qu’il eſt tres-hõneſte homme.	Allez, tel qu'il puisse chang auecque cette somme, 1e vous luis caution qu'il est très-honneur homme.
Helas!	Hélas!
CELIE.	CELIE.
GORGIBVS.	GORGIBUS.
Et bien helas!	Et bien hélas!
que veut dire cecy?	que veut dire ceci?
Voyez le bel helas!	Voyez le bel hélas!
quelle nous donne icy.	quelle nous donne ici.
Hé!	Hé!
que ſi la colere vne fois me tranſporte, Ie vous feray chanter helas!	que si la colère homme me transporte, Je vous ferai chanter hélas!
de belle ſorte.	de belle sorte.
Voila, voila le fruit de ces empreſſemens, Qu’on vous voit nuit & iour à lire vos Romans, De colibets d’amour voſtre teſte eſt remplie, Et vous parlez de Dieu, bien moins que de Clelie.	Voilà, voilà le fruit de ces empressements, Qu'on vous voit nuit et jour à lire vos Romans, De colibets d'amour vôtre teste est remplie, Et vous parlez de Dieu, bien moins que de Clelie:
Iettez-moy dans le feu tous ces méchans écrits Qui gaſtent tous les iours tant de ieunes eſprits, Liſez-moy comme il faut au lieu de ces ſornettes Les Quatrains de Pibrac, & les doctes Tablettes Du Conſeiller Mathieu, ouurage de valeur Et plein de beaux dictons à reciter par cœur.	Jettez-moi dans le feu tous ces méchants écrits Qui gâtent tous les jours tant de jeunes esprits, Lisez-moi comme il faut au lieu de ces sornettes Les Quatrains de Pibrac, et les doctes Tablettes Du Conseiller Mathieu, ouvrage de valeur Et plein de beaux dictons à réciter par cœur.
La Durde des peeneurs en clcore jal boirliure;	La Durde des péeneurs en clcore jal boirlivre;
C'eſt-là qu’en peu de temps on apprẽd à bien viure, Et ſi vous n’auiez leu que ces Moralitez, Vous ſçauriez vn peu mieux ſuiure mes volontez.	C'est-là qu'en peu de temps on apprend à bien vivre, Et si vous n'aviez lu que ces Moralités, Vous sauriez un peu mieux suivre mes volontés.
CELIE.	CELIE.
Quoy vous pretendez dõc mon pere, que i’oublie La conſtante amitié que ie dois à Lelie?	Quoi vous prétendez dois du père, que j'oublie La constante amitié que ie dois à Lelie?
I’aurois tort ſi ſans vous ie diſpoſois de moy;	J'aurais tort si sans vous . disposais de moi;
Mais vous meſme à ſes vœux engageaſtes ma foy.	Mais vous -même à ses vœux engageâtes ma foi.
GORGIBVS.	GORGIBUS.
Luy fut-elle engagée encore dauantage, Vn autre eſt ſuruenu dont le bien l’en dégage.	Lui fut-elle engagée encore davantage, Un autre est survenu dont le bien l'en dégage.
Lelie eſt fort bien fait;	Lélie est fort bien fait;
mais apprens qu’il n’eſt rien Qui ne doiue ceder au ſoin d’auoir du bien, Que l’or donne aux plus laids certain charme pour plaire, Et que ſans luy le reſte eſt vne triſte affaire.	mais apprends qu'il n'est rien Qui ne doive céder au soin d'avoir du bien, Que l'or donne aux plus laids certain charme pour plaire, Et que sans lui le reste est une triste affaire.
Valere, ie croy bien n’eſt pas de toy chery;	Valère, Seigneur crois bien n'est pas de toi chéri;
Mais s’il ne l’eſt amant, il le ſera mary.	Mais s'il ne l'est amant, il le sera mari.
Plulque l’on ne le croit, ce nom d’epoux engage Et l’amour eſt ſouuent vn fruit du mariage.	Plulque l'on ne le croit, ce nom d'époux engage Et l'amour est souvent un fruit du mariage.
Mais ſuis-je pas bien fat de vouloir raiſonner, Où de droit abſolu i’ay pouuoir d’ordonner?	Mais suis-je pas bien fat de vouloir raisonner, Où de droit absolu j'ai pouvoir d'ordonner?
Treue donc ie vous prie à vos impertinences, Que ie n’entende plus vos ſottes doleances:	Treve donc je vous prie à vos impertinences, Que ie n'entende plus vos sottes doléances:
Ce gendre doit venir vous viſiter ce ſoir, Manquez vn peu, manquez, à le bien receuoir, Si ie ne vous luy vois faire fort bon viſage Ie vous.	Ce gendre doit venir vous visiter ce soir, Manquez un peu, manquez, à le bien recevoir, Si grande ne vous lui vois faire fort bon visage Je vous.
ie ne veux pas en dire dauantage.	aires ne veux pas en dire davantage.
SCENE II.	SCÈNE II.
CELIE, SA SVIVANTE.	CELIE, SA SUIVANTE.
Vi comparera cette ſeconde Scene à  la premiere, confeſſera d’abord que l’Autheur de cette Piece a vn genie tout particulier pour les Ouurages de Theatre, & qu’il eſt du tout impoſſible que ſes pieces ne reüſſiſſent pas, tant il ſçait bien de quelle maniere il faut attacher l’eſprit de l’Auditeur.	Vi comparera cette seconde Scène à la première, confessera d'abord que l'Auteur de cette Pièce a un génie tout particulier pour les Ouvrages de Théâtre, et qu'il est du tout impossible que ses pièces ne réussissent pas, tant il sait bien de quelle manière il faut attacher l'esprit de l'Auditeur.
En effet, nous voyons qu’apres auoir fait voir dans la Scene precedente, vn pere pedagogue, qui taſche de perſuader à ſa fille que la richeſſe eſt préferable.	En effet, nous voyons qu'après avoir fait voir dans la Scène précédente, un père pédagogue, qui tâche de persuader à sa fille que la richesse est préférable.
à l’amour, il fait parler dans celle-cy) afin de diuertir l’Auditeur par la varieté de la matiere) vne veufue ſuiuante de Celie, & confidente tout enſemble, qui s’eſtonne de quoy ſa Maiſtreſſe reſpond par des larmes à des offres d’Hymen, & apres auoir dit qu’elle ne feroit pas de meſme ſi l'on la vouloit marier, elle trouue moyen de deſcrire toutes les douceurs du mariage;	à l'amour, il fait parler dans celle-cy) afin de divertir l'Auditeur par la variété de la matière) une veuve suivante de Celie, et confidente tout ensemble, qui s'étonne de quoi sa Maîtresse répond par des larmes à des offres d'Hymen, et après avoir dit qu'elle ne ferait pas de même si l'on la voulait marier, elle trouve moyen de décrire toutes les douceurs du mariage;
ce qu’elle execute ſi bien, qu’elle en fait naiſtre l’enuie à celles qui n’en ont pas tâté.	ce qu'elle execute si bien, qu'elle en fait naître l'envie à celles qui n'en ont pas tâté.
Sa maiſtreſſe, comme font d’ordinaire celles qui n’ont iamais eſté mariées, l’eſcoute auec attention & ne recule le temps de ioüir de ſes douceurs, que parce qu’elle les veut gouſter auec Lelie, qu’elle ayme parfaitement, & qu’elles ſe changent toutes en amertumes, lors que l’on les gouſte auec vne perſonne que l'on n’aime pas;	Sa maîtresse, comme font d'ordinaire celles qui n'ont jamais été mariées, l'écoute a attention et ne recule le temps de jouir de ses douceurs, que parce qu'elle les veut goûter avec Lélie, qu'elle aime parfaitement, et qu'elles se changent toutes en amertumes, lors que l'on les goûte avec une personne que l'on n'aime pas;
c’eſt pourquoy elle montre à ſa Suiuante le Portraict de Lelie, pour la faire tomber d’accord de la bonne mine de ce Galand, & du ſuiet qu’elle a de l’aimer.	c'est pourquoi elle montre à sa Suivante le Portrait de Lelie, pour la faire tomber d'accord de la bonne mine de ce Galant, et du sujet qu'elle a de l'aimer.
Vous m’objecterez peut-eſtre que cette fille le doit connoiſtre, puis qu’elle demeure auecque Celie, & que ſon pere l’ayanz promiſe à Lelie, cét Amant eſtoit ſouuent venu voir ſa Maiſtreſſe;	Vous m'objecterez peut-être que cette fille le doit connaître, puis qu'elle demeure avec Celie, et que son père l'ais promise à Lélie, cet Amant était souvent venu voir sa Maîtresse;
mais ie vous répondray que Lelie eſtoit à la Campagne deuant qu’elle demeuraſt auec elle.	mais ici vous répondrai que Lélie était à la Campagne devant qu'elle demeurât toujours elle.
Apres cette diſgreſſion, pour la iuſtification de noſtre Autheur, voyons quels effects ce Portrait produit.	Après cette disgréssion, pour la justification de notre Auteur, voyons quels effets ce Portrait produit.
