Q Source gallica.	Q Source galica.
Et voila le ſuiet qui a pû m’obliger, puiſqu’il nous ſommes tous dans vn meſme danger, A tenir auiourd’huy la preſente aſſemblée, Affin que dans le tems que la France eſt troublée, Nous puiſsions ſeurement faire noſtre pacquet De peur d’eſtre bientoſt pris dans le trébuchet, Dittes donc ſur ce point qu’elle eſt voſtre penſée, D’autant que voſtre vie en eſt intereſſée.	Et voilà le sujet qui a pu m'obliger, puisqu'il nous sommes tous dans un même danger, A tenir aujourd'hui la présente assemblée, Affin que dans le temps que la France est troublée, Nous puissions sûrement faire notre pacquet De peur d'être bientôt pris dans le trébuchet, Dites donc sur ce point qu'elle est votre pensée, D'autant que votre vie en est intéressée.
Usis.	Oùsis.
Yremed.	Yreméd.
Orſus, puis qu’auiourd'huy vous me faites l’honneur De dire mon aduis ſur le preſent malheur.	Orsus, puis qu'aujourd'hui vous me faites l'honneur De dire mon avis sur le présent malheur.
Ie d’iray en deux mots, Iules, ce que ie penſe, Quoy que ie craigne vn peu que cela vous offenſe;	Je d'irai en deux mots, Jules, ce que sans pense, Quoi que deux craigne un peu que cela vous offense;
Or donc, pour commencer ma petite oraiſon 41.	Or donc, pour commencer ma petite oraison 41.
4	4
Dvne meſme fortune a eſté enſuiuie:	Dune même fortune a été ensuivie:
Car vous confeſſerez que ſon commencement N’eſt iamais prouenu que du cul ſeulement, Or ça, ſi maintenant la breneuſe fortune Vous retourne le cul ſans eſperance aucune, C’eſt qu’il ſe fait en vous, ce qu’on n’a iamais veu Car le prouerbe dit ( ſi i’ay bien retenu) Du moins ie l’ay apris de ma bonne nourrice, Qui le liſoit eſcritdans vn cornet d’épice, Que le tabourin rend ce que la flute prend:	Car vous confesserez que son commencement N'est jamais provenu que du cul seulement, Or ça, si maintenant la breneuse fortune Vous retourne le cul sans espérance aucune, C'est qu'il se fait en vous, ce qu'on n'a jamais vu Car le proverbe dit ( si j'ai bien retenu) Du ) Du moiay promis de ma bonne nourrice, Qui le lisait écritdans un cornet d'épice, Que le tabourin rend ce que la flute prend:
Et en vous nous voyons que voſtre fluté rend Ce que voſtre ieuneſſe vn peu trop amoureuſe Mettoit dans ſon tabour d vne flute pleureuſe.	Et en vous nous voyons que votre fluté rend Ce que votre jeunesse un peu trop amoureuse Metait dans son tabour d une flute pleureuse.
Auſſi ne doit-on point deſormais s’eſtonner Si ſouuent en vn iour vous pouuez chapponer, Car vous auez cuvé tant de liqueur contable Que voſtre magazin doit eſtre ineſpuiſable, Et vous ayant ſouuent ſeringué le balon Il doit eſtre à iamais enflé tout de ſon long.	Aussi ne doit-on point désormais s'étonner Si souvent en un jour vous pouvez chaponer, Car vous avez cuvé tant de liqueur contable Que votre magazin doit être inépuisable, Et vous ayant souvent servingué le balon Il doit être à jamais enflé tout de son long.
Or, comme de tout tems on vous afait aprendre De receuoir, de prendre, & rarement de rendre, Si, à vne perſonne on vous à veu donner, Vous auez bien ozé mil autres ruiner;	Or, comme de tout temps on vous afait apprendre De recevoir, de prendre, et rarement de rendre, Si, à une personne on vous à veu donner, Vous avez bien osé mil autres ruiner;
et c’eſt de cela ſeul que les femmes de France Pourſuiuent voſtre flute auecques tant d’outrance:	et c'est de cela seul que les femmes de France Poursuivent votre flute avec tant d'outrance:
Que, ſi elles pouuoient, ſans aucune pitié elles enmangeroient vne double moitjé, Cal clles laauentuienquevous eltes latouice Qui des pauuies marits a eſpuiſé la bourſe, et nous neuiterons noſtre malheur preſent Qu’én gaignant le taillis, ou en rendant l’argent.	Que, si elles pouvaient, sans aucune pitié elles enmangeraient une double moitjé, Cal clles laauentuienquevous éltes latouice Qui des pauuies marits a épuisé la bourse, et nous neuiterons jamais malheur présent Qu'en gagnant le taillis, ou en rendant l'argent.
I’ay trop bon cœur.	J'ai trop bon cœur.
Nirazam.	Nirazam.
Naletac.	Naletac.
Et moy, Meſſieurs, ie m’y oppoſe, Mais ſeulement icy, ie diray vne choſe, Qu'il faut plus que iamais armer de tous coſtez, at lors vous les verrez bientoſt eſpouuentez, Quand vous meſme à la teſte & auecques main forte, Porterez là terreur iuſques dedans leur porte.	Et moi, Messieurs, Seigneur m'y oppose, Mais seulement ici, j' diray toujours chose, Qu'il faut plus que jamais armer de tous côtés, at lors vous les verrez bientôt espouuentez, Quand vous -même à la tête et avec main forte, Porterez là terreur iusques dedans leur porte.
Nira zam.	Nira zam.
Ah!	Ah!
Monſieur, ie ſuis bien voſtre humble ſeruiteur Il faudroit n’eſtre point ſuſceptible de peur Pour chercher l’ennemy au hazard de ma vie, Tar ila Io y le crais trop qu'’ene ne ioit rauie:	Monsieur, je suis bien votre humble serviteur Il faudrait n'être point susceptible de peur Pour chercher l'ennemi au hasard de ma vie, Tar ila Io y le crais trop qu'ène ne jait ravie:
On ne m’a iamais veu ſi grand traiſtre à mon corps Que de le vouloir mettre au Royaume des morts.	On ne m'a jamais vu si grand traître à mon corps Que de le vouloir mettre au Royaume des morts.
Nalctac.	Nalctac.
Vous ne pouuez en rien riſquer voſtre perſonne, C’eſt ſeulement pour vous que la France s’eſtonne, et quand elle verra que cent milles foldats Sous vn terrible mars chercheront les combats:	Vous ne pouvez en rien risquer votre personne, C'est seulement pour vous que la France s'étonne, et quand elle verra que cent milles soldats Sous un terrible mar chercheront les combats:
Vous trouuerez bientoſt que deſſous voſtre empire Le monde tremblera ſans plus ozer mot dire.	Vous trouverez bientôt que dessous votre empire Le monde tremblera sans plus oser mot dire.
Nirazam.	Nirazam.
Ie vous repete encor, & vous redis Monſieur, Qué foy d’homme, ie ſuis voſtre humble ſeruiteur Mais que ie ne ſçais pas ce que c’eſt de me battre:	Je vous répète encor, et vous redis Monsieur, Qué foi d'homme, ie suis votre humble serviteur Mais que venir ne sais pas ce que c'est de me battre:
en effet ie ſçais bien de l’eſpée combattre, Et ie l’apris aſſez à l’aage de dix ans, Mais pour n’en point mentir ceſtoit ames deſpens, Car lors que tout petit ie commençois d’apprendre Ie ne pouuois encor fortement me deffendre.	en effet ie appris bien de l'épée combattre, Et ici l'apris assez à l'âge de dix ans, Mais pour n'en point mentir cetait âmes dépens, Car lorsque tout petit petit esprit commençais d'apprendre Je ne pouvais encor fortement me défendre.
Ie vous laiſſe à penſer ſi des coupeiarets Qui depuis vn long-tems manioient les fleurets, Ne mettoient point à cul vn enfant de mon age.	Je vous laisse à penser si des coupeiarets Qui depuis un longtemps maniaient les fleurets, Ne mettaient point à cul un enfant de mon age.
Il eſt vray que d'abordrauois canit de courage Que difficilement portoient ils vn bon coupz Mais iefus ſi preſſé, qu’il falut apres tout Ceder à des Laquais qui prenans vne Lance Me portoient vne botte en telle violence Qu'enfin ne pouuant plus tant de beaux coups parer Il fallut me reſoudre à me laiſſer bourrer.	Il est vrai que d'abordravais canit de courage Que difficilement portaient ils un bon coups Mais iefus si pressé, qu'il fallut après tout Céder à des Laquais qui prenants une Lance Me portaient une botte en telle violence Qu'enfin ne pouvant plus tant de beaux coups parer Il fallut me résoudre à me laisser bourrer.
Dans ces extremitez, ce que ie pouuois faire Eſtoit de ſuccomber & tourner le derriere, Et ie ne ſçaurois point le moien d’attaquer Si ie n’eſtois icy venu le pratiquer, Iamais en Italie on ne m’a ſçeu apprendre Comme il faut attaquer, mais blen à me deffendre Ou meſmes, ſuppoſons que ie ſois bien vaillant Car du moiens ie vaux bien quelque paſſe-volant, Ou prendre des Soldats?	Dans ces extrémités, ce que femme pouvais faire Était de succomber et tourner le derrière, Et beau ne saurais point le moyen d'attaquer Si tu n'étais ici venu le pratiquer, Jamais en Italie on ne m'a su apprendre Comme il faut attaquer, mais blen à me défendre Ou mêmes, supposons que soins sois bien vaillant Car du moyens était vaux bien quelque passevolant, Ou prendre des Soldats?
qui de par tous les Diables, Seront ceux qui voudront nous eſtre ſecourables?	qui de par tous les Diables, Seront ceux qui voudront nous être secourables?
Naletac.	Naletac.
Mouneur louuenez vous que vontre argent peut tout.	Mouneur louvenez vous que vontre argent peut tout.
Nirazam.	Nirazam.
Vous ſçauez mon humeur.	Vous savez mon humeur.
c’eſt l’argent qui me fout.	c'est l'argent qui me fout.
Naletac.	Naletac.
Hé bien ie d’iray mieux, que cela ne vous tienne, Vous poſſedez du tout la race Italienne Vous connoiſſez auſſi vn millon de farceurs, De fols, de baſteleurs, de ſauteurs, de danſeurs, En vn mot vous auez par tout la renommée D'en eſtre l’intendant, faites en vne armée.	Hé bien ie d'irai mieux, que cela ne vous tienne, Vous possédez du tout la race Italienne Vous connaissez aussi un millon de farceurs, De fols, de bâteleurs, de sauteurs, de dans, Un mot vous avez par tout la renommée D'en être l'intendant, faites en une armée.
Et puis eſtant le chef de tous ces gens d’honneurs, Aydez que vous ſerez des troupes de voleurs Que vous auez touſiours maintenus dans la France Perſonne ne pourra vous faire reſiſtance.	Et puis étant le chef de tous ces gens d'honneurs, Aidez que vous serez des troupes de voleurs Que vous avez toujours maintenus dans la France Personne ne pourra vous faire résistance.
Il faut faire au beſoing des fleches de tout bois, Prenez Italiens, des Normans, des François, Armez ſi vous pouuez toure la Picardie, C’eſt bien des nations toute la plus hardie, Faltes vil Regimeul de preitres Hibernois, D’allobroges, Lorrains, Bas Bretons, Albanois.	Il faut faire au besoing des flèches de tout bois, Prenez Italiens, des Normants, des Français, Armés si vous pouvez toure la Picardie, C'est bien des nations toute la plus hardie, Faltes vil Regimeul de prégitres Hibernois, Dallobroges, Lorrains, Bas Bretons, Blbanois.
Et ayant ramaſſé tant de braues Gens-d armes Vous mettrez dans Paris de cruelles allarmes, Vous les affamerez, & dedans peu de tems Vous les verrez ſoûmis à tous vos combattans.	Et ayant ramassé tant de braves Gensrd armes Vous mettrez dans Paris de cruelles alarmes, Vous les affamés, et dedans peu de temps Vous les verrez soumis à tous vos combattants.
Nir.	Nir.
szim.	szim.
Il eſt bien vray, Monſieur, que i’ay grand connoiſſance Auec tous les pendarts d’Italie & de France, I en ay bien trente mille qui me rendent tribût Et i'ay deſſus eux tous vn pouuoir abſolu, Mais apres tout ce ſont des forces bien debiles Pour pouuoir reſiſter contre quatre cens milles.	Il est bien vrai, Monsieur, que j'ai grand connaissance Avec tous les pendards d'Italie et de France, I en ai bien trente mille qui me rendent tribût Et j'ai dessus eux tous un pouvoir absolu, Mais après tout ce sont des forces bien débiles Pour pouvoir résister contre quatre cens milles.
Vreme'd, Ie donne pour ma part vingt cinq milles Laquais Et l’armeray encor autant deporte-faiz, Moy meſme conduiray ce petit corpsdl’armée, Par ainſi nous pourrons aller à main armée Mettre à feu & à ſang, ce qui eſt dans Paris E Que ſans doutte d’abord nous verrons bien ſurpris Qüand nos deſeſperés incapables de crainte Feront à ces frondeurs vne ſi lourde atteinte.	Vreme, Je donne pour ma part vingt cinq milles Laquais Et l'armerai encor autant déporte-faiz, Moi -même conduirai ce petit corpsdl’armée, Par ainsi nous pourrons aller à main armée Mettre à feu et à sang, ce qui est dans Paris Que sans doutte d'abord nous verrons bien surpris Qüand notre désespérés incapables de crainte Feront à ces frondeurs une si lourde atteinte.
Naletac.	Naletac.
Et moy, lors que i’eſtois vn reuerend vacher, Parmy mes compagnons, tant bouvier que porcher, Ie fis tant en ſix mois de bonnes connoiſſances Que ie me promets bien d’auoir leurs aſſiſtances.	Et moi, lors que j'étais un révérend vacher, Parmi mes compagnons, tant bouvier que porcher, Je fis tant en six mois de bonnes connaissances Que on me promets bien d'avoir leurs assistances.
Ie ny ſçaurois penſer ſans regreter ce tems, Car pour nen point mentit i’eſtois des plus contens:	Ie Je sçaurois penser sans regreter ce temps, Car pour nen point mentit j'étais des plus contents:
I’eſtois vn petit Roy entre ceux de mon aage, I’eſtois vn Roy de toile hab'llé de village, Des ſoüillers ſans couſture auec vn grand chapeau Qui eſtoit à dentelle & percé par le haut, Ie n’auois pas beſoing d’auoir vne chemiſe Car mon habit eſtoit d’vne eſtoffe de miſe Qui pouuoit aiſément me ſeruir pour les deux.	J'étais un petit Roi entre ceux de mon âge, J'étais un Roi de toile hab'llé de village, Des souillers sans couture avec un grand chapeau Qui était à dentelle et percé par le haut, Je n'avais pas besoin d'avoir une chemise Car mon habit était d'une étouffe de mise Qui pouvait aisément me servir pour les deux.
Et i’eſtois pour le moins autant honnoré d’eux Que de tous les voleurs vous pourriez iamais eſtre Helas!	Et j'étais pour le moins autant honoré d'eux Que de tous les voleurs vous pourriez jamais été Hélas!
ce ſouuenir ne peut pas me permettre Depenſer d’auantage à ce bon tems paſſé:	ce souvenir ne peut pas me permettre Dépenser davantage à ce bon temps passé:
Neantmoins faut encor, puiſque i’y ay penſez, Que ie die en vn mot comme ie pûs atteindre A ce degrez d’honneur que ie ne ſçais trop plaindre.	Néanmoins faut encor, puisque j'y ai pensez, Que ie die en un mot comme apprendre pu atteindre À ce degré d'honneur que je ne sais trop plaindre.
Lors que de porte en porte vn baſton à la main I’allongeois l’eſtocade en demandant du pain, Vn iour il me ſuruint vne offlce vacante	Lors que de porte en porte un bâton à la main J'allongeais l'estocade en demandant du pain, Un jour il me survint une offlce vacante
Pour	Pour
Pour conduire des pores enuiron vingt ou trente?	Pour conduire des pores environ vingt ou trente?
Et par ce que i’auois de grans competiteurs, Qui malgré moy vouloient en eſtre conducteurs, I’allay tout de ce pas ſans tarder d’auantage Trouuer l’archiuacher aſſis deſſus l’herbage;	Et par ce que j'avais de grans compétiteurs, Qui malgré moi voulaient en être conducteurs, J'allai tout de ce pas sans tarder davantage Trouver l'archivacher assis dessus l'herbage;
et puis ayant paſſe mon chapeau dans mon col, Ie luy plus tant d’abord qu’il rioit comme vn fol, I’eſtois emmitouflé en attrape ſcience, Et en ce bel eſtat ie fis la reuerence Grand Prince des vachers, qui ſous voſtre pouuoir Auez tant de ſuiets rangez en leur deuoir.	et puis ayant passe mon chapeau dans mon col, Je lui plus tant d'abord qu'il riait comme d fol, J'étais emmitoufflé en attrape science, Et en ce bel état ainsi fis la révérence Grand Prince des vachers, qui sous votre pouvoir Avez tant de sujets rangez en leur devoir.
Qui par vn tour de main pouuez tous lés ſoumettre D’vn pouuoir abſolu aux coups de voſtre ſceptre, Vous à qui appartient toute collation D'vne charge vacante en voſtre dition :	Qui par un tour de main pouvez tous lés soumettre D'Un pouvoir absolu aux coups de votre sceptre, Vous à qui appartient toute collation D'une charge vacante en votre dition :
mrte d'an Ie viens vous rendre hommage, auec humble requeſte De vouloir me ſouffrir pour garder quelque beſte.	mrte d'an Je viens vous rendre hommage, avec humble requête De vouloir me souffrir pour garder quelque bête.
Monſieur, mon gros bouuier, mon Prince à nez crotté Roy de bœufs, de cochons, riche en neceſſité.	Monsieur, mon gros bouvier, mon Prince à nez crotté Roi de bœufs, de cochons, riche en nécessité.
I’ay bon bras, bonne voix, pour bien me faire entendre, Si i’ignore mon art, ie pourray bien l’apprendre.	J'ai bon bras, bonne voix, pour bien me faire entendre, Si j'ignore mon art, ie pourrai bien l'apprendre.
Ma requeſte entenduë, il me dit auſſitoſt, Mon fils, ie vous reçois, baiſſez-moy les ſabot, (Car c’eſt en ce faiſant que l’on merend hommage) Deſormais vous pourrez paiſtre autour du village.	Ma requête entendue, il me dit aussitôt, Mon fils, je vous reçois, baissez-moi les sabot, (Car c'est en ce faisant que l'on mend hommage) Désormais vous pourrez paître autour du village.
Mepiaffant tout ainſi qu’vn poux ſur vn teignon, Ie cours au meſme inſtant prendre poſſeſſion, Et peu de tems apres ie veois comme vne armée Qui venoit droit à moy lagueule enfarinée.	Mépiaffant tout ainsi qu'autre poux sur un teignon, Je cours au même instant prendre possession, Et peu de temps après avoir veais comme une armée Qui venait droit à moi lagule enfarinée.
Moy, ſur pris de cela, ie fais gille ſoudain, Mais vn drille me dit m’arreſtant par la main, Hugues, pourquoy s’enſuir quand cette compaguie Vient pour vous ſaluër en grand ceremonie?	Moi, sur pris de cela, je fais gille soudain, Mais un drille me dit m'arrêtant par la main, Hugues, pourquoi s'ensuir quand cette compaguie Vient pour vous saluer en grand cérémonie?
Tout beau, tout beau.	Tout beau, tout beau.
et moy encore que de peur en chauſſes ie chiaſſe, il falut par honneur.	et moi encore que de peur en chausses avoir chiasse, il fallut par honneur.
Attendre en patience vne telle embaſſade:	Attendre en patience une telle embassade:
Auſſi toſt vn d’entr’eux auec vne accolade C.	Aussi tôt un d'entr'eux Se vne accolade Ç.
Me dit ie ſuis venu de par tous les vachers Sans oublier icy les reuerens porchers, Pour vous congratuler, & donner aſſeurance Que nous ſerons à vous auec noſtre aſſiſtance:	Me dit ici suis venu de par tous les vachers Sans oublier ici les révérents porchers, Pour vous congratuler, et donner assurance Que nous serons à vous se nôtre assistance:
Si quelqu'vn vient troubler voſtre contentement Alors de mon coſtez i’en promis tout autant, Et apres le Iefment ſure ſans contredite Ie me promets d'auoir vingt mil hommes d’elite.	Si quelqu'un vient troubler votre contentement Alors de mon côtés j'en promis tout autant, Et après le Iefment ré sans contredite Je me promets d'avoir vingt mille hommes d'élite.
Mtrazam.	Mtrazam.
Nous ſçauons maintenant qui nous ſecondera, Et il ne reſte plus qu'a içauoir qui ſera Qui voudra desbourſer & faire la deſpenſe Pour payer les ſoldats & pour leur ſubſiſtance.	Nous Cavons maintenant qui nous secondera, Et il ne reste plus qu'a içauoir qui sera Qui voudra débourser et faire la dépense Pour payer les soldats et pour leur subsistance.
Ce n’eſt pas moy.	Ce n'est pas moi.
Yreme'd.	Yreme'd.
Naletac.	Naletac.
Niragam.	Niragam.
Meſſieurs vous ſçauez bien Qu'en France maintenant ie ne poſſede rien, Car preuoyant de loing que pour quelque folie Ie ſerois obligé d’aller en Italie, Ce que i’ay deſrobé par voſtre ſeul moyen I'ay voulu de Francois le faire Italien, Si ie n’auois donné bonne ordre à mon affaire Aurois-ie fur la terre vn aſſeuré repaire, Puis que le fondement de noſtre ſeureté Prend pied deſſus l’argent qu’en France ou m’a preſte Nous deuons des demain plier noſtre bagage Depeur d’eſtre punis de noſtre brigandage.	Messieurs vous savez bien Qu'en France maintenant je ne possède rien, Car prévoyant de loin que pour quelque folie Je serais obligé d'aller en Italie, Ce que j'ai dérobé par votre seul moyen J'ai voulu de Francais le faire Italien, Si apprendre n'avais donné bonne ordre à mon affaire Aurais-je fur la terre enfin assuré repaire, Puis que le fondement de notre sûreté Prend pied dessus l'argent qu'en France ou m'a prête Nous devons des demain plier quelque bagage Depeur d'être punis de notre brigandage.
Yreme d.	Yreme d.
2 Vous vous troublez l'eſprit ſans beaucoup de raiſon, Si vous voulez ne craindre aucune trahiſon, Donnons à nos ſoldats liberté de tout prendre:	2 Vous vous troublez l'esprit sans beaucoup de raison, Si vous voulez ne craindre aucune trahison, Donnons à nos soldats liberté de tout prendre:
Chacun par ce moyen priera de nous deffendre, Et ainſi ces voleurs ſans qu’il nous couſte rien, Deſſendans les voleurs amaſſeront debien.	Chacun par ce moyen priera de nous défendre, Et ainsi ces voleurs sans qu'il nous coûte rien, Dessendant les voleurs amasseront débien.
Nirazam.	Nirazam.
Il eſt vray:	Il est vrai:
nous ſçauons à noſtre experience Que quand on ne craint point ny rouë ny potence:	nous savons à notre expérience Que quand on ne craint point ni roueairés potence:
On ſe fait ſi l’on veut riche tout en vn iour, lFaites donc que demain on batte le tabour.	On se fait si l'on veut riche tout en un jour, lFaites donc que demain on batte le tabour.
CCLIE SECONDE.	CCLIE SECONDE.
DRACIP, TERVOBAT, TELBVOD.	DRACIP, TERVOBAT, TELBVOD.
DRACIP.	DRACIP.
Vs donc, chers compagnons d’vne meſme fortune, Et tous participans d’vne meſmeinfortune, O Vous ſcauez que des gens qui par leurs actions Se ſont mis en horreur parmy les nations, Ne trouueront iamais en terre d’aſſeurance, Et principalement au Royaume de France:	Vs donc, chers compagnons d'une même fortune, Et tous participants d'une mesmeinfortune, Ô Vous savez que des gens qui par leurs actions Se sont mis en horreur parmi les nations, Ne trouveront jamais en terre d'assurance, Et principalement au Royaume de France:
Ou ſi impunement par d’inſignes larcins Au deſpens du bon homme auons graïſſé nos mains, Il importe beaucoup en l’affaire preſente, Deplier noſtre voile & de fuir la tourmente.	Ou si impunément par d'insignes larcins Au dépens du bon homme avons graïssé nos mains, Il importe beaucoup en l'affaire présente, Déplier nôtre voile et de fuir la tourmente.
Teruobat, Il ſeroit à propos que chez quelque eſtr anger Nous allaſſions bientoſt nos larcins deſgorger:	Tervobat, Il serait à propos que chez quelque étr anger Nous allassions bientôt nos larcins dégorger:
De peur que ſi long tems nous demeurons en France cOn ne nous.	De peur que si long temps nous demeurons en France cOn ne nous.
Telbuod.	Telbuod.
Ah i'enrage!	Ah j'enrage!
ou auoir aſſeurance De trouueraucun lieu propre à nous retirer?	ou avoir assurance De trouveraucun lieu propre à nous retirer?
Quel ſera le pays qui voudra tolerer Que des maiſtres voleurs y prennent leur demeurs, Croyez-moy, c’eſt bien là, la voye la moins ſeure.	Quel sera le pays qui voudra tolérer Que des maîtres voleurs y prennent leur demeurs, Croyez-moi, c'est bien là, la voie la moins sûre.
Qui nous connoit?	Qui nous connaît?
Teruobat.	Tervobat.
Telbubd.	Telbud.
Quoy donc vous eſtes à ſcauoir Quemeſmes les meſchans ne veulent pas nous voir?	Quoi donc vous êtes à savoir Quemêmes les méchants ne veulent pas nous voir?
Et que noſtre preſence eſt ſi fort odieuſe Que la main d’vn bourreauſe trouueroit peureuſe S’il falloit (comme bien nous auons meritez) Qu’il ſerra le licol à nos meſchancetez?	Et que notre présence est si fort odieuse Que la main d'un bourreause trouverait peureuse S'il fallait (comme bien nous avons mérités) Qu'il serra le licol à nos méchancetés?
Dracip.	Dracip.
Mais, foy de Maltotier, comme on nous fait entendre L’Allemand volle aſſez ſans qu’on le faſſe pendre, Allons en leur pays.	Mais, foi de Maltôtier, comme on nous fait entendre L'Allemand volle assez sans qu'on le fasse pendre, Allons en leur pays.
Telbuod.	Telbuod.
Voylà bien debuté, Ceux dont nous encourons toute l’indignité Voudront nous receuoir apres nos voleries?	Voilà bien débuté, Ceux dont nous encourons toute l'indignité Voudront nous recevoir après nos voleries?
A pres tant de larcins, rapines, pilleries?	À pres tant de larcins, rapines, pilleries?
Apres auoir volé leurs monſtres ordinaires!	Apres avoir volé leurs monstres ordinaires!
Leurs payemens, leurs pains, leurs munitions de guerres?	Leurs paiements, leurs pains, leurs munitions de guerres?
Quoy?	Quoi?
apres tout cela vous ozez eſperer De pouuoir ſeurement chez eux vous retirer?	après tout cela vous osez espérer De pouvoir sûrement chez eux vous retirer?
Teruobat.	Tervobat.
Ou donc ſerons nous bien?	Ou donc serons -nous bien?
Telbuod.	Telbuod.
.	.
.	.
.	.
i Allons à tous les Diables Allez, ſi vous voulez comme des miſerables Chercher quelques aſſeurance aux pays eſtrangers, Pour moy, ie ne veux point memettre en ces dangers.	y Allons à tous les Diables Allez, si vous voulez comme des misérables Chercher quelques assurance aux pays étrangers, Pour moi, ils ne veux point mémettre en ces dangers.
Si i’auois bien enuy qu’on me caſſaſt la teſte Ie ne voudrois ailleurs chercher dautre retraite, Encor ne ſçais ie pas ſi parmy les Demons Nous pourrons bien trouuer quelques conditions, Car nous ne ſommes bons à boüillir n’y a frire.	Si j'avais bien envi qu'on me cassât la tête Je ne voudrais ailleurs chercher dautre retraite, Encor ne sais rie pas si parmi les Demons Nous pourrons bien trouver quelques conditions, Car nous ne sommes bons à bannir n'y a frire.
Et vne choſe encor qui nous pourra bien nuire C'eſt que ſi nous venons à eſtre reconnus Il faut nous aſſeurer que nous ſommes perdus;	Et une chose encor qui nous pourra bien nuire C'est que si nous venons à être reconnus Il faut nous assurer que nous sommes perdus;
Car ces damnez richards ialoux de l’opulence Nous connoiſſans farcis de tout l’argent de France:	Car ces damnés richards jaloux de l'opulence Nous connaissants farcis de tout l'argent de France:
