A TRESILLVSTRE ET TRES-GENEREVX Prince Monſeigneur de Vaudemont.	À TRESILLVSTRE ET TRÈS-GÉNÉREUX Prince Monseigneur de Vaudemont.
My Lecteur ſi iamais la renommée du R.	Mi Lecteur si jamais la renommée du R.
P.	P.
Pierre Mouſſon de la Cõpagnie de IESVS, a arriué à tes oreilles, tu as ouy parler d'vn des doctes perſonnages de noſtre temps, tant en ce qui eſt de l’eloquence, que de la Poëſie, il à quelquesfois ſur le Theatre Latin de noſtre Vniuerſité du.	Pierre Mousson de la Comagnie de JESUS, a arrivé à tes oreilles, tu as dis parler d'un des doctes personnages de notre temps, tant en ce qui est de l'éloquence, que de la Poésie, il a quelquefois sur le Théâtre Latin de notre Université du.
Pont à Mouſſon faict marcher pluſieurs belles Hiſtoires Tragiques dont l’vne fuſt ce deſaſtre de Maurice l’Empereur que i’ay touſiours grandement priſé pour estre vn ſubiect fort lamantable, & pris d’vne Hiſtoire Eccleſiaſtique, i’ay taſché en quelque endroict de ſuiure ſes traces, & inſiſter ſur ſes briſées Latines, tu prendras en gré ſ'il te plaiſt ma bonne volõté, & ſi ie ne les ay ſi bien ſuiuies tu en reietteras benignement la faute tant ſur la debilité de mon petit eſprit, que ſur le temps qui m’eſt retranché à cauſe du ſeruice ordinaire que ie dois à ſon ALTESSE Monſeigneur & maistre, en l’exercice de ma charge.	Pont à Mousson fait marcher plusieurs belles Histoires Tragiques dont l'une fût ce désastre de Maurice l'Empereur que j'ai toujours grandement prisé pour avoir sujet fort lamantable, et pris d'une Histoire Eccclésiastique, j'ai tâché en quelque endroict de suivre ses traces, et insister sur ses brisées Latines, tu prendras en gré s'il te plaît ma bonne volonté, et si beau ne les ai si bien suiuies tu en reietteras bénignement la saute tant sur la débilité de mon petit esprit, que sur le temps qui m'est retranché à cause du service ordinaire que ie dois son ALTESSE m et aire, en quexercice se ma A.
Adieu.	Adieu.
I	I
EXTRAICT DV a le li la do de	EXTRAICT DU a le li la do de
M BFAR grace & Priuilege de ſon ALTESSE, l eſt permis à Melchior Bernard Imprimeur juré en ſon Vniuerſité du Põt à Miouſſon, d’imprimer ou faire imprimer, vendre & diſtribuer la Tragedie de Maurice l’Empereur, compoſée par Nicolas Romain ( en ſuite du tranſport qu’il luy en à faict, ayant ſadicte ALTESSE donné pouuoir audict Romain de la faire Imprimer par qui bon luy ſembleroit ) auec deffence à tous autres Imprimeurs de l’imprimer dans le terme de dix ans, à conter du iour qu’elle ſera acheuée d’imprimer, ſur peine d’amende arbitraire, & de confiſcation deſdicts exemplaires, ainſi qu’il eſt porté plus au long au Decret de ſon ALTESSE.	M MEFAR grâce et Privilège de son ALTESSE, l' est permis à Melchior Bernard Imprimeur juré en son Université du Pont à Miousson, d'imprimer ou faire imprimer, vendre et distribuer la Tragédie de Maurice l'Empereur, composée par Nicolas Romain ( en suite du transport qu'il lui en a fait, ayant sadicte ALTESSE donné pouvoir audit Romain de la faire Imprimer par qui bon lui semblerait ) avec défense à tous autres Imprimeurs de imprimer dans le terme de dix ans, conter du iour elle se acheuée m, sur peine amende arbitraire, et de confiscation desdicts le,rai il est porté plus au long au Decret de son ALTESSE.
Donné à Nancy le 2o.	Donné à Nancy le 2o.
iour du mois de Feurier.	jour du mois de Février.
1606.	1606.
Ainſi ſigné CHARLES.	Ainsi signé CHARLES.
Et pour Secretaire	Et pour Secrétaire
MAIMBOVRG.	MAIMBOURG.
A iuj CLARISSIMO VIRO Domino N.	À juj LARISSIMO VIRO Domino N.
Romano I.	Romano I.
V.	V.
Doctori, ac Prætori Pontimuſſano vigilantiſſimo compatriotæ ſuo C.	Doctori, ac Prætori Pontimussano vigilantissimo compatriotæ suo Ç.
Chriſtophorinus I.	Christophorinus I.
V.	V.
Doctor, ac in inclyta Academia Pontimuſſana iuris Profeſſor ordinarius, hoc Anagramma dicabat.	Doctor, ac in inclyta Académia Pontimussana jurys Professor ordinarius, hoc Anagramma dicat.
NICOPAVS ROMANVS.	NICOPAUS ROMANUS.
ANAGRAMMA.	ANAGRAMMA.
MVSIS NON VI CLAROS.	MUSIS NON VI CLAROS.
& Vm tua Mauricij fatum lugubre ruentis L Principibus ſacro pectore Muſa refert, MVSA ſocer NON VI fit CLAROS, hoc Anagrãma Neminis arcanum hinc noueris eſſe tui.	et V tua Mauricijà fatum lugubre ruentis L Principibus sacro pectore Musa refert, MUSA socer NON VI fit CLAROS, hoc Anagrãma Neminis arcanum hinc noueris esse tui.
AV MESME.	AU MÊME.
SIE Cygne contrefaict vne fois la Syrene, QLE En chantant ſur ſa fin vn chant armonieux Geluy que tu nourris au ruiſſeau d’Hippocrene.	SIE Cygne contrefait une fois la Syrène, QLE En chant sur sa fin un chant armonieux Gelui que tu nourris au ruisseau d'Hipocrène.
Faict enyr en tout temps ton chant melodieux.	Fait enyr en tout temps ton chant mélodieux.
A LVY MESME.	À LUI MÊME.
Quatrain de Monſieur Bruneſaux Abbé de Rangeual.	Quatrain de Monsieur Brunesaux Abé de Rangual.
Ar toy Maurice meurt, perdant toute ſa gloire Sa femme, ſes enfans, ſon Empire Romain, Par Maurice mourant, tu vis docte Romain, Ton nom marbre-graué au temple de memoire.	Ar toi Maurice meurt, perdant toute sa gloire Sa femme, ses enfants, son Empire Romain, Par Maurice mourant, tu vis docte Romain, Ton nom marbre-gravé au temple de mémoire.
A LVY MESME.	À LUI MÊME.
Nacreon diſoit que ſa lyre dorée Ne pouuoit rien ſonner qui ne ſente l'amoue Et que ſi le Dieu Mars ſe trouuoit à l’entour, Il eſtoit repoußé des mains de Cytherée, Mais ta Muſe touſiours porte la renommée Du Prince Vaudemont ſur l’eſtoilé ſeiour, Ou ſoit quand tu fais veoir à Maurice le iour, Ou quand tu nous monſtrois la Bergere Salmée Puiſſe braue ROMAIN, puiſſe à iamais le Ciel Dans ta bouche confire vne ruche de miel, Et ce Tige Lorrain ton merite guerdonne.	Nacreon disait que sa lyre dorée Ne pouvait rien sonner qui ne sente l'amoue Et que si le Dieu Mars se trouvait à l'entour, Il était repouvé des mains de Cytherée, Mais ta Muse toujours porte la renommée Du Prince Vaudemont sur l'étoilé seiour, Ou soit quand tu fais voir à Maurice le jour, Ou quand tu nous montrais la Bergère Salmée Puisse brave ROMAIN, puisse à jamais le Ciel Dans ta bouche confire une ruche de miel, Et ce Tige Lorrain ton mérite guerdonne.
Puiſſe tu tellement le chanter que tes dois Soient priſez comme ceux du Cygne Vandomois, A qui le Ciel donna des Muſes la couronne.	Puisse tu tellement le chanter que tes dois Soient prisés comme ceux du Cygne Vandomois, A qui le Ciel donna des Muses la couronne.
François Terrel.	Français Terrel.
A v	À v
SONNET DE MONSIEVR ESTIENNE Subſtitut de Monſieur le Procureur General de Barois, en la ville & Marquiſat du Pont-à Mouſſon.	SONNET DE MONSIEUR ÉTIENNE Substitut de Monsieur le Procureur Général de Barois, en la ville et Marquisat du Pont-à Mousson.
A MONSIEVR ROMAIN Docteur és droicts, Cõſeiller de Monſeigneur de Vaudemont, Capitaine, Preuoit, & Gruyes dudict Pont.	À MONSIEUR ROMAIN Docteur ès duroits, Cõseiller de Monseigneur de Vaudemont, Capitaine, Preuoit, et Gruyes dudict Pont.
Ieu Moſellan qui faictes par neuf portes Soubs noſtre Pont couler voſtre ruiſſeau, Puis en lechant au pied noſtre Chaſteau Lachez vos flots ou le flux les emportes, Monſtrez le front, monſtrez le d’autre ſorte De voſtre corne eſleuez le plus beau Ne le cachez au derrier d’vn roſeau Regardez l’heur que le Ciel vous apporte, Doreſnauant vostre ſuperbe nom, mefuyroangmemra le renoms, Vous les paſſez en grandeur ce me ſemble Le Tybre vante vn Poëte Romain, Pour vn François le Loir hauſſe la mainLe voſtre l’eſt, & Romain tout enſemble,	Jeu Mosellan qui faites par neuf portes Sourbs notre Pont couler votre ruisseau, Puis en léchant au pieds le Château Lachés vos flots ou le flux les emportes, Montrez le front, montrez le d'autre sorte De votre corne élevez le plus beau Ne le cachés au derrier d'un roseau Regardés l'heur que le Ciel vous apporte, Doresnauant votre superbe nom, mefuyroangmemra le renoms, Vous les passez en grandeur ce me semble Le Tybre vante avait Poète Romain, Pourqu' Est le Loir hausse la mainLe votre l'est, et Romain tout ensemble,
SONNET De Monſieur Mauljean Licentié es Eera, faduocat au Pone.	SONNET De Monsieur Mauljean Licentié es Era, favocat au Pone.
Omain, & le Printemps ſont preſque d’vne ſorte,  L’vn eſmaille les prez de cent mille couleurs, L’autre, reſuſeitant des Muſes les honneurs En façõne vn bouquet d’ou Muſc & ambre ſorte, Celuy la, l’incarnat des roſes nous apporte, Ceſtuy cy, espanchant le ſang d’vn Empereur En faict ſoudainement naiſtre vne rouge fleur Qui la meſme beauté deſſus ſes fueilles porte.	Omain, et le Printemps sont presque d'une sorte, L'un émaille les pré se cent de couleurs, L'autre, résuseitant des Mûres les honneurs En façõne En bouquet d'ou Musc et ambre sorte, Celui la, l'incarnat des roses nous apporte, Cestui cy, épanchant le sang d'un Empereur En fait soudainement naître une rouge fleur Qui la même beauté dessus ses fueilles porte.
L’vn embeliſt Ceres, & l’autre le renomD’vn des Princes Lorrain Frãçois de Vaudemõt, Mais ils ſont differens ſeulement d’vne choſe, Le Printemps par l’Hyuer eſt de fleurs despoüillé, Et dedans peu de temps ſon honneur eſt ſoüillé:	L'un embelist Ceres, et l'autre le renomD'un des Princes Lorrain Frãçois de Vaudement, Mais ils sont différents seulement d'une chose, Le Printemps par l'Hiver est de fleurs dépouillé, Et dedans peu de temps son honneur est souillé:
Mais ceſtuy ne crainct nulle metamorphoſe.	Mais celui ne craint nulle métamorphose.
ODE De Monſieur Noirel Chanoine de l’Egliſe Cathedrale de Toul.	ODE De Monsieur Noirel Chanoine de l'Église Cathédrale de Toul.
JVand Romain d'vn docte artifice, SEt d’vn vers coulant de ſa main Esyanehetejanx de Maainte Penſe tu qu’il ſoit inhumain?	JUand Romain d'Han docte artifice, SEt d'un vers coulant de sa main Esanehètejanx de Maainte Pense tu qu'il soit inhumain?
Et quand d’vne veine plus douce Il faict diſtiler les liqueurs D'vne belle argentée courſe D'vn œil tout moüillé de douleurs.	Et quand d'une veine plus douce Il fait distiler les liqueurs D'une belle argentée course D' œil tout mouillé de douleurs.
Il n’a pour cela la poitrine, N'y le cœur de deſdain frappé, Ce n’eſt pas vn mal qui le mine D’vn malheur qui l’aye attrappé.	Il n'a pour cela la poitrine, N'y le cœur de dédain frappé, Ce n'est pas un mal qui le mine D'un malheur qui l'aie attrapé.
Mais de ce ſang il en compoſe, Comme dans vn iardin fleuris Le bel incarnat d’vne roſe, Et des pleurs il en faict des lys.	Mais de ce sang il en compose, Comme dans un jardin fleuris Le bel incarnat d'une rose, Et des pleurs il en fait des lys.
AV SIEVR ROMAIN ſur ſa Tragœdie de MauIRelEipereur.	AU SIEUR ROMAIN sur sa Tragœdie de MauIRelEipereur.
Vi voudra voir le cours de l'humaine incõſtance, Ses demarches, ſes ſauts, ſes perilleux faux-bont, Comment elle nous faict ſans ceſſe vagabons Volter au mouuement de ſa triſte cadance.	Vi voudra voir le cours de l'humaine incontance, Ses demarches, ses sauts, ses périlleux faux-bont, Comment elle nous fait sans cesse vagabons Volter au mouvement de sa triste cadance.
Qui voudra d’vn eſtat bien voir la decadence, D’un Diademe cheut les fleſtriſſans fleurons, Vn chetif Empereur apres ſes enfançons Meurtry cruellement d’vne iuſte vengeante.	Qui voudra d'une état bien voir la décadence, D'un Diade cheût les flétrissants fleurons, Un chétif Empereur après ses enfançons Meurtri cruellement d'une juste vengeante.
Qu’il regarde, ROMAIN, ce Tragique tableau, Ou tu as mignardé d’vn poëtique pinceau Les traicts plus delicats d’vne toile hiſtorique, Ou d’vn art plus exquis par ta naifueté Comme autrefois tu fis tu as repreſenté MAVRICE bon acteur, meilleur poëte Tragique.	Qu'il regarde, ROMAIN, ce Tragique tableau, Ou tu as mignardé d'un poète pinceau Les traits plus délicats d'une toile historique, Ou d'un art plus exquis par ta naifueté Comme autrefois tu fis tu as représenté MAURICE bon acteur, meilleur poète Tragique.
G.	G.
Durand, Maiſtre és Arts.	Durand, Maître es Arts.
A MONDICT SIEVR ROMAIN.	À MONDICT SIEUR ROMAIN.
Sonnet.	Sonnet.
SOur auoir à long traicts ſauouré les douceurs, Dont gouſterent iadis Sophocle, & Euripide, Par ce rond ſpacieux ton beau renom ſe guide, Buriné ſur l’autel des pimpleides ſœurs.	SOur avoir à long traits sautel des douceurs, Dont goûtèrent jadis Sophocle, et Euripide, Par ce rond spacieux ton beau renom se guide, Buriné sur l'autel des pimpleides sœurs.
Tes doux vers animez de diuines fureurs, Semblent quand il te plaiſt quelque fleuue rapide, Puis confits dans le miel du doux Aganipide, Charment par leur doux air les ames, & les cœurs.	Tes doux vers animés de divines fureurs, Semblent quand il te plaît quelque fleuve rapide, Puis confits dans le miel du doux Aganipide, Charment par leur doux air les âmes, et les cœurs.
Quand en habit François par vn docte artifice Tu nous veux faire voir ton Empereur Maurice, Tantoſt tout comblé d’heur, tantoſt plein de ſoucy.	Quand en habit Français par un docte artifice Tu nous veux faire voir ton Empereur Maurice, Tantôt tout comblé d'heur, tantôt plein de souci.
Tun egalles les Grecs, ny les Latins enſemble, Mais pluſtoſt (mon ROMAIN) à tout chacun il ſemble Que tu les paſſes tous, & les François außy.	Tun égalles les Grecs, ni les Latins ensemble, Mais plutôt (mon ROMAIN) à tout chacun il semble Que tu les passes tous, et les Français aussi.
N.	N.
Chreſtien les Croix Norm.	Chrétien les Croix Norm.
Argenteñ.	Argenteñ.
EIDEM.	EIDEM.
A.	A.
MATHIS IV.	MATHIS IV.
LICENTIATVS in ſuprema Sammielenſi curia cauſarum patronus, necnon Illuſtriſs Cardinais à Lotharingia à Secretis.	LICENTIATUS in suprema Sammielsi curia causarum patronus, necnon Illustriss Cardinais à Lotharingia à Secretis.
EPIGRAMMA.	EPIGRAMMA.
Solio, Princeps, te Sors infida potenti Traxerat, & nigris merſerat in tenebris.	Solio, Princeps, te Sors infida potenti Raxerat, et nigris merserat in ténébris.
Sed noſter tibi purpureos ROMANV S’honores Reddet, & illuſtris, regia ſceptra, manus.	Sed noster tibi purpureos ROMANU S'honores Rédet, et illustris, régia sceptra, manus.
Myrto cinget Amor Venerem, Phœbus tibi Lauro Velabit doctas, docte Poëta, comas.	Myrto cinget Amor Venerem, Phœbus tibi Lauro Vélabit doctas, docte Poîta, comas.
MVSARVM AD EVNDEM ANAGRAMMA.	MUSARUM AD EUNDEM ANAGRAMA.
NICOLAVS ROMANVS.	NICOLAUS ROMANUS.
VOS LAVRVS IN COMA.	VOS LAURUS IN COMA.
¶jOſtra fadauit muitum Romanns in arte, & Nos in Romanâ Laurus amica Comâ.	OjOstra fadavit muitum Romanns in arte, et Nos in Romanas Laurus amica Comac.
Henricus Hennezon.	Henricus Hennezon.
Franciſcus l’Abbé.	Franciscus l'Abbé.
AD EVNDEM EPIGRAMMA.	AD EUNDEM EPIGRAMA.
Arciſſus roſeum genuit de ſanguine florem, EG Ex illo qui nunc nomine nomen habet.	Arcissus roseum génuit de sanguine florem, EG Ex illo qui nunc nomine nomen habet.
At tu è Mauritij genuiſti ſanguine florem Ex illo qui nunc nomine nonsen habet.	At tu ène Mauritij genuisti sanguine florem Ex illo qui nunc nomine nons habet.
EIDEM DOMINO ROMANO.	EIDEM DOMINO ROMANO.
Vod Phœbus inter flammeus aureos Extat Planetas, quod glomerabilis Inter micantes Luna Stellas, Cornua dùm radiata ſpargit, Quod Cygnus inter lacteus infimas Extat volucres, Cynnama Celtica Quod inter abiectas Cupreſſos, Aut lapides rutilans Pyropus:	Vod Phœbus inter flammeus aureos Extat Planétas, quod glomérabilis Inter micantes Luna Stellas, Cornua dù radia spargit, Quod Cygnus inter lacteus infimas Extat volucres, Cynama Celtica Quod inter abjectas Cupressos, Aut lapides rutilants Pyropus:
Tu imer almos ( dicite poſteri,) Dre el Poclar, iduel adaransm (Præ cæteris) vultus decoros, Ethera, nubiferúmque Pindum.	Tu imer almos ( dicite postéri,) Dre elle Poclar, iduel adarants (Præ cæteris) vultus décoros, Éhera, nubiferúmque Pindum.
Eldenn AyiJesoy.	Éldenn AyiJesoy.
3 Ates, Conſultus, Prætor, cano, protego, ſerue, Fata, reos, populum, carmine, lege, fide.	3 Ates, Consultus, Prætor, cano, protego, serve, Fata, reos, populum, carmine, lege, fide.
Theobaldus Copinellus, Argonenſis, Erranus.	Théobaldus Copinellus, Argonensis, Eranus.
D.	D.
ROMANO IV.	ROMANO IV.
D.	D.
Tragicam Mauricij Imperatoris ſortem deploranti.	Tragicam Mauricij Impératoris sortem déploranti.
HENDECASTLLABI.	HÉNDECASTLLABI.
NVis tantus tragicâ Poëta lauro?	NVis tantus tragicas Poîta lauro?
Quos primo pede preſſerit receßus Muſæ dicite, quem ducem ſecutus Auſus lauriferas adire ſyluas.	Quos primo pédé presserit recessus Musæ dicite, quem ducem secutus Aus lauriféras adiré syluas.
Hic tantus tragicâ Poëta lauro, A primis Helicona adiuit annis, Et plenos latices bibit Sororum, Huic Phœbus, calamos, loquáxque plectrum, Et Thyrſos, hederas, chelymque dulcemPermittens, Cane, regias cothurno Poſthàc conde graui Poëta cindte, Scruteris (licet fintimos receſfus Pindi, te ſtupeant ſacræ Camœna, Sis clarus tragicâ Poëta laure.	Hic tantus tragicâte Poîta lauro, A limis Helicona aluit annis, Et plénos latices bibit Sorum, Hui Phœbus, calos, loquáxque pleintrum, Et Thyrs, héderas, chelymque dulcemPermittens, Cane, régias cothurno Posthàc condé gravi Poîta cindia Ccruteris (licet fintimos recesfus Pindi, te stupeant sacræ Camœna, Sis clarus tragicâ La laure.
Henricus du Iar, Barroducæus.	Henricus du Jar, Barroducæus.
ARGVMENT DE LA Tragœdie de Maurice l’Empereur.	ARGUMENT DE LA Tragœdie de Maurice l'Empereur.
AVRICE, ſucceſſeur de Tybere ſecõd à l’Empire RoS main, fut tellemẽt chery d’i.	AURICE, successeur de Tibère second à l'Empire RoS main, fut tellement chéri d'y.
& celuy, qu’il le fit premieremẽ.	et celui, qu'il le fit premièrement.
Gouuerneur du Leuãt, pour ſes rares vertus, & quelque téps apres Empereur, luy donnant pour gage de ſon amitié, et ſa couronne, et ſa fille Conſtantine en mariage, auec laquelle apres la mort de Tybere il veſcut en bonne paix, & nostre Dieu pros perant außsi leur Mariage, le fit Pere de ſept beaux Princes, & de trois Princeſſes leurs fils, & filles, tellemẽt qu'il ne ſembloit rien reſter pour le comble deſe Argument de la Tragœdie felicité:	Gouverneur du Leuant, pour ses rares vertus, et quelque temps après Empereur, lui avait pour gage de son amitié, et sa couronne, et sa fille Constantine en mariage, avec laquelle après la mort de Tybère il vécut en bonne paix, et notre Dieu pros pérant ausssi leur Mariage, le fit Père de sept beaux Princes,es le urs Princesses et fils, et filles, tellement qu'il ne semblait rien rester pour le comble des Argument de la Tragœudie félicité:
Mais comme le malheur talonne touſiours de prez le bon-heur pour ſe gliſſer en ſon lieu, arriua que Maurice ayant guerre contre Cagane Prince, et Capitaine des Abares ( gens Barbares, & felons:	Mais comme le malheur talonne toujours de près le bonheur pour se glisser en son lieu, arriva que Maurice ayant guerre contre Cagane Prince, et Capitaine des Abares ( gens Barbares, et félons:
mais merueilleuſement vaillans aux armes) il obtint au commencement quelque victoire ſur eux:	mais merveilleusement vaillants aux armes) il obtint au commencement quelque victoire sur eux:
mais du depuis il eut du pire, & Cagane enflé de la victoire ſ'approchant de Conſtãtinople, interpella Maurice de rachepter les prisõniers Chreſtiens qu’il detenoit captifs au prix de deux eſcus par teſte, ce que l’Empereur refuſa, & qui fut cauſe que le Tyran Cagane les fit tous paſſer par le trenchant de l'eſpée, iuſques au nombre de dix, ou douze mille:	mais du depuis il eut du pire, et Cagane enflé de la victoire s'approchant de Constãtinople, interpella Maurice de racheter les prisõniers Chrétiens qu'il détenait captifs au prix de deux écus par tête, ce que l'Empereur refusa, et qui fut cause que le Tyran Cagane les fit tous passer par le trenchant de l'épée, jusques au nombre de dix, ou douze mille:
forfaict qui irrita grandemẽt la diuine Maieſté pour la trop cruelle auarice de l’Empereur, qui depuis ce crime perpetré n’eust aucun repos, et peu apres veiſt en viſion tous les maux, & les malheurs qui pendoient ſur ſa teſte.	forfait qui irrita grandement la divine Majesté pour la trop cruelle avarice de l'Empereur, qui depuis ce crime perpétré n'eût aucun repos, et peu après vint en vision tous les maux, et les malheurs qui pendaient sur sa tête.
Ceste vi ſion le troubla fort auec les preſages de ſon infortune qui precederent ſa mort:	Cette vi sion le troubla fort avec les présages de son infortune qui précédèrent sa mort:
