ACT EVRS.	ACT EURS.
Mais cét eſprit du monde, & ce tendre tallant Qui tiennent moins du Roy que de l’homme galant, Comme vn Prince ne peut les deuoir qu’à luy-meſme, Il en eſt plus jaloux que du pouuoir ſupréme, Et c’eſt ſur vn tel point qu’vn fauory prudent, Doit ſur tout éuiter d’eſtre ſon concurrent, Qu’il doit inceſſamment veiller ſur ſa perſonne, Car de queiques profets qu'vn Monarque ſoupçonne, Tout eſt également à redouter pour nous, Et ſes moindres deſirs, ſont des deſirs jaloux.	Mais cet esprit du monde, et ce tendre tallant Qui tiennent moins du Roi que de l'homme galant, Comme un Prince ne peut les devoir qu'à lui-même, Il en est plus jaloux que du pouvoir suprême, Et c'est sur un tel point qu'un favori prudent, Doit sur tout éviter d'être son concurrent, Qu'il doit incessamment veiller sur sa personne, Car de queiques profets qu'un Monarque soupçonne, Tout est également à redouter pour nous, Et ses moindres désirs, sont dés désirs jaloux.
DOM ALVAR.	DOM ALVAR.
Vous m’eſtallez en vain cette friuole crainte Vous eſtes au deſſus d’vne telle contrainte, Vos ſoins pour cet eſtat, vos vertus, voſtre ſang.	Vous m'étallez en vain cette frivole crainte Vous êtes au dessus d'une telle contrainte, Vos soins pour cet état, vos vertus, votre sang.
Tout merite chez vous l’eſclat de voſtre rang;	Tout mérite chez vous l'éclat de votre rang;
La fortune n’a fait que vous rendre iuſtice, Et loin que ſes faueurs paitent de ſon caprice, Elle euſt deub faire plus pour vos fameux exploits Et l’onſçait que Moncade eſt forty de nos Rois, Depuis que celuy-cy regne ſur Barcelonne Voſtre bras fut toûjours l’appuy de ſa Couronne, Et quel que ſoit pour vous l’excez de ſes bontez Il doit peut-eſtre plus au nom que vous portez:	La fortune n'a fait que vous rendre justice, Et loin que ses faveurs paitent de son caprice, Elle eût devb faire plus pour vos fameux exploits Et l'onsçait que Moncade est sorti de nos Rois, Depuis que celui-cy règne sur Barcelonne Votre bras fut toujours l'appui de sa Couronne, Et quel que soit pour vous l'excès de ses bontés Il doit peut-être plus au nom que vous portez:
Prenez donc ſur vous-meſme vne entiere aſſeurance, Sans fatiguer le Ciel par voſtre indifſerence, Des faueurs qu’il vous fait connoiſſez mieux le pris Et ne rebutez plus le fort par vos meſpris, Car vous en faites trop, s’il faut qu’on vous le die:	Prenez donc sur vous-même entière assurance, Sans fatiguer le Ciel par votre indifsérence, Des faveurs qu'il vous fait connaissez mieux le pris Et ne rebutez plus le fort par vos mépris, Car vous en faites trop, s'il faut qu'on vous le die:
La parfaite amitié qui de tout temps nous lie, 2 M’oblige ſur ce point à vous ouurir mon cœur.	La parfaite amitié qui de tout temps nous lie, 2 M'oblige sur ce point à vous ouvrir mon cœur.
Chacun commence à voir auec quelle froideur, Vous receuez du Roy les prefſantes careſſes, Plaiſirs, feſtes, bontez, preſens, honneurs, largeſſes, Rien ne peut de ſa part vaincre l’ennuy profond Qu’on voit inceſſamment depeint ſur voſtre front, D’où peut n’aiſtre vn chagrin ſi peu iuſte & ſi rude, Vous auez voſtre Roy dans voſtre ſolitude, Il a ſçeu pour charmer vos ſecrets deplaiſirs, Vous amener auſſi l’objet de vos ſoûpirs, Que peut faire de plus, ce Prince qui vous ayme, Que de venir icy vous diuertir luy-meſme;	Chacun commence à voir auec quelle froideur, Vous recevez du Roi les pressantes caresses, Plaisirs, fêtes, bontés, prés, honneurs, largesses, Rien ne peut de sa part vaincre l'ennui profond Qu'on voit incessamment dépeint sur votre front, D'où peut n'être un chagrin si peu iuste ne peut rude, Vous avez votre Roy dans votre solitude, Il a su pour charmer vos secrets déplaisirs, Vous amener aussi l'objet de vos soupirs, Que peut faire de plus, ce Prince qui vous aime, Que de venir ici vous divertir lui-même;
Que d’amener chez-vous l’élite de la Cour, Et parmy tout cela l’objet de voſtre amour, Vous eſtes dans vn lieu, dont l’art & la nature, Ont à l’enuy formé l’admirable ſtructure, Et le Roy vous comblant d’vn ſi rare bien-fait, Vous fit le plus beau don que Prince ait iamais fait, Cette diuerſité de Coſteaux & de pleines, Ces ſuperbes Iardins, ces marbres, ces fontaines, Ces refuges ſacrez de l’ombre & de l’effroy, Ces fertiles deſerts.	Que d'amener chez-vous l'élite de la Cour, Et parmi tout cela l'objet de votre amour, Vous êtes dans un lieu, dont l'art et la nature, Ont à l'envi formé l'admirable structure, Et le Roi vous comblant d'un si rare bienfait, Vous fit le plus beau don que Prince ait jamais fait, Cette diversité de Costeaux et de pleines, Ces superbes Iardins, ces marbres, ces fontaines, Ces refuges sacrez Ces seombre et des çrois, Ces fertiles déserts.
MONCADE.	MONCADE.
Helas!	Hélas!
ſont-ils pour moy;	sont-ils pour moi;
Ces antres retirez dont le charme t’enchante, Et tous ces autres biens que tonzele me vante;	Ces antres retirés dont le charme t'enchante, Et tous ces autres biens que tonzèle me vante;
Il eſt vray qu’à iuger de ce lieu par nos yeux, On le croit le ſejour des anciens demy-Dieux, Iamais auec tant d’art on n’aſſembla peut-eſtre, La ſplendeur de la pompe & la beauté champeſtre, Chaque endroit different offre à noſtre deſir Pour chaque heure du iour vn ſingulier plaiſir:	Il est vrai qu'à juger de ce lieu par nos yeux, On le croit le séjour des anciens demi-Dieux, Jamais avec tant d'art on n'assembla peut-être, La splendeur de la pompe et la beauté champêtre, Chaque endroit différent offre à notre désir Pour chaque heure du jour un singulier plaisir:
Mais amy, que me ſert ce bien de ma fortune, Si de tant de beautez ie n’en poſſede aucune, Ces fertiles deſerts ſi bien depeints par toy, Ont-ils quelques attraits qui ſoient connus de moy, Il n’eſt antre ſi noir, ny grotte ſi profonde Où ie ne ſois toûjours eſtouffé du grand monde, Le ſilence eſt vn Dieu que ie ne connois pas, En vain d’vn bois eſpais l’on vante les appas, De tous mes Courtiſans vne foule ſans nombre, Me priue inceſſamment de la fraîcheur de l’ombre, Du ſouffle des Zephirs, du murmure des eaux Des parfums du Printemps & du chant des oyſeaux, Si quelquefois l’Eco ſurmontant cet obſtacle, Me fait ouïr ſa voix, pour moy c’eſt vn miracle, Et de l’air dont le ſort iuſqu’icy ma traitté.	Mais ami, que me sert ce bien de ma fortune, Si de tant de beautés femme n'en possède aucune, Ces fertiles déserts si bien dépeints par toi, Ont-ils quelques attraits qui soient connus de moi, Il n'est antre si noir, ni grotte si profonde Où tu ne sois toujours étouffé du grand monde, Le silence est un Dieu que je ne connais pas, En vain d'un bois épais l'on vante les appas, De tous mes Courtisans une foule sans nombre, Me y incessamment de la fraîcheur de l'ombre, Du souffle des Zephyrs, du mure des eaux Des parfums mu Printemps et du chant des oiseaux, Si quelquefois surmontant cet de, Me fait ouïr sa voix, pour moi çest miracle, Et de air dont le sort iusqu’ ma traitté.
Mais voicy de ſa part nouuelle cruauté, Il ne me manquoit plus que le Prince Clotaire.	Mais voici de sa part nouvelle cruauté, Il ne me manquait plus que le Prince Clotaire.
SCENEII.	SCENEII.
CLOTAIRE, MONCADE, D.	CLOTAIRE, MONCADE, D.
ALVAR,	ALVAR,
CLOTATRE.	CLOTATRE.
H, ah, ie vous y prend noſtre cher ſolitaire, * F route la Cour chez vous attend voſtre réueil, Et vous eſtes leuẽ pluſtoſt que le Soleil, C’eſt pour vous preparer à venir à la chaſſe.	H, ah, Madame vous y prend notre cher solitaire, * F route la Cour chez vous attend votre réveil, Et vous êtes leve plustost que le Soleil, C'est pour vous préparer à venir à la chasse.
MONCADE.	MONCADE.
Ie n’en ſuis pas Seigneur;	Je n'en suis pas Seigneur;
CLOTAIRE.	CLOTAIRE.
Cruel!	Cruel!
qu’elle difgrace Venez-vous m’anoncer, ô Dieux!	qu'elle disgrâce Venez-vous m'anoncer, ô Dieux!
quel deſeſpoir, Quoy?	quel désespoir, Quoi?
ie vais donc paſſer tout vn iour ſans vous voir?	On vais donc passer tout un jour sans vous voir?
Ah!	Ah!
cela ne ſe peut.	cela ne se peut.
MONCADE, pas.	MONCADE, pas.
Qu’elle baſſeſſe extreme.	Qu'elle bassesse extrême.
CLOTAIRE.	CLOTAIRE.
Et ie ſerois pluſtoſt ſeparé de moy-meſme, le ne puis vous quitter, de le vais dire au Roy, Que ſi vous ne venez il peut aller ſans moy.	Et petit serais plutôt séparé de moi-même, le ne puis vous quitter, de le vais dire au Roi, Que si vous ne venez il peut aller sans moi.
MONCADE, Gardez-vousbienSeigneur.	MONCADE, Gardez-vousbienSeigneur.
CLOTAIRE.	CLOTAIRE.
Il faut qu’il vous l’ordonne, Deult-Amemme venir T’ordonner en perſonne, Ie couis l’en ſuppller.	Il faut qu'il vous l'ordonne, Deult-Amemme venir T'ordonner en personne, Je couis l'en supller.
EeMe MrI.	EeMe MrI.
MONCADE, D.	MONCADE, D.
ALVAR.	ALVAR.
MONCADE.	MONCADE.
NE prenez pas ce foin;	NE prenez pas ce foin;
Seigneur, car.	Seigneur, car.
Mais ô Dieux!	Mais ô Dieux!
il eſt déja bien loin, LOjenenquereltaenvametuculuanie, I’eſperois de donner tout ce iour à ma flame, Et i’ay fait cent efforts pour me le menager, Qu’il va tous rendre vains feignant de m’obliger?	il est déjà bien loin, LOjenenquereltaenvametuculuanie, J'espérais de donner tout ce jour à ma flamme, Et j'ai fait cent efforts pour me le ménager, Qu'il va tous rendre vains feignant de m'obliger?
Ah!	Ah!
de tous mes flateurs le plus inſuportable.	de tous mes flatteurs le plus insuportable.
D.	D.
ALVAR.	ALVAR.
Il eſt vray qu’il a tort de vous trouuer aymable;	Il est vrai qu'il a tort de vous trouver aimable;
Son zele vous offence, à le dire entre nous, Quoy ne pouuoir paſſer vn ſeul iour loin de vous, Ce mal-heur eſt ſenſible, il faut qu’on vous l’aduoüe.	Son zèle vous offense, à le dire entre nous, Quoi ne pendant passer un seul jour loin de vous, Ce malheur est sensible, il faut qu'on vous l'aduoüe.
MONCADE.	MONCADE.
Hé!	Hé!
bien donc, ie confens que ta bonté le louë.	bien donc, Seigneur consens que ta bonté le loue.
D.	D.
ALVAR.	ALVAR.
Non, non, puis qu’il vous ayme il vous fait trop de mal.	Non, non, puis qu'il vous aime il vous fait trop de mal.
MONCADE.	MONCADE.
Il m’ayme, hé!	Il m'aime, hé!
iuſtes Dieux, ce lâche eſt mon Riual, Les yeux de Lindamire ont embraſé ſon ame:	justes Dieux, ce lâche est mon Rival, Les yeux de Lindamire ont embrasé son âme:
Mais il n’oſe aduouër vne ſi belle flame, Par la crainte qu’il a de choquer ma faueur, Et de s’oſter en moy peut eſtre vn protecteur, Vne terreur ſi baſſe a ſur luy tant d’empire, Qu'il me ceue eir tous neux la Mam de nhiuamire, M’accable des effets deſonzele indiſcret, Et le traiſtre qu’il eſt me poignarde en ſecret.	Mais il n'ose avouer une si belle flamme, Par la crainte qu'il a de choquer ma faveur, Et de s'ôter en moi peut re n protecteur, terreur si basse a sur lui tant dre, Qu'il me ceue tous neux la de pr, accable des effets desonzele indiscret, Et le traître uil est me poignarde en secret,
D.	D.
ALVAR.	ALVAR.
Vn homme tel que luy doit peu donner de crainte, Que pourront contre vous ſon amour & ſa feinte, Vaincu, depoſſedé, fugitif, mal-heureux, Et venant implorer du ſecours en ces lieux;	Un homme tel que Dieu doit peu donner de crainte, Que pourront contre vous son amour et sa feinte, Vaincu, depossédé, fugitif, malheureux, Et venant implorer du secours en ces lieux;
Que peut-ileſperer d’vne ſi vaine flame.	Que peut-ilespérer d'une si vaine flamme.
MONCADE.	MONCADE.
Il eſt amant & Prince, & Lindamire eſt femme;	Il est amant et Prince, et Lindamire est femme;
Et d’ordinaire Amy ce beau ſexe eſt trompeur, S’il faut meſme aujourd’huy que ie t’ouure moa cœur, Ie commence à iuger que l’amour de Clotaire, Eſt vn puiſſant obitacle à l’Hymen que i’eſpere, Lindamire auec art veut le diſſimuler, Cherche vn autre pretexte à pouuoir reculer;	Et d'ordinaire Ami ce beau sexe est trompeur, S'il faut même aujourd'hui que ie clature mo eur, Je commence à juger que l'amour de Clotaire, Est un puissant obitacle à l'Hymen que j'espère, Lindamire avec art veut le dissimuler, Cherche un autre prétexte à pouvoir reculer;
Le ſoupçon ſuppoſé d’vn peu de meffiance, Et ſon deüil qu’elle oppoſe à mon impatience, L’ont ſceu iuſques icy deffendre adroitement:	Le soupçon supposé d'une peu de méfiance, Et son deuil qu'elle oppose à mon impatience, L'ont su jusques ici défendre adroitement:
Mjis en vain l’on ſe cache aux regards d’vn amant;	Mjis en vain l'on se cache aux regards d'un amant;
Elſe attent, elle attent le ſuccez de nos armes, Le nom de Souueraine a de ſoy tant de charmes Que fi dans ſes Eſtats Clotaire eſt reſtably, Elle mettra bien-toſt tous mes ſoins en oubly:	Else attent, elle attent le succès de nos armes, Le nom de Souveraine a de soi tant de charmes Que fi dans ses États Clotaire est rétabli, Elle mettra bientôt tous mes soins en oubli:
Voilà de ſes longueurs la cauſe veritable.	Voilà de ses longueurs la cause véritable.
D.	D.
ALVAR.	ALVAR.
Re la loupgomiez pas d'vi denem i blaſmable;	Re la loupgomiez pas d'vi denem j' blâmable;
Vous deuez la connoiſtre, & vous luy faites tort.	Vous devez la connaître, et vous Seigneur faites tort.
MONCADE.	MONCADE.
Helas!	Hélas!
nul ne connoiſt ce qui dépend du fort, La loy du changement eſt vne loy commune Et l’amour a ſa Rouë a'nſi que la fortune:	nul ne connaît ce qui dépend du fort, La loi du changement est une loi commune Et l'amour a sa Roue a'nsi que la fortune:
Mais Lindamire ſort, laiſſe nous feuls, amour Oſte-moy mesfoupçons, ou ia vie ence iour.	Mais Lindamire sort, laisse nous seuls, amour Oste-moi mesfoupçons, ou ja vie ence jour.
2 2 12 υἰ ἐι dls πu 2 claofastast-otaste olvolaonola siaomcaeto	2 2 12 5 „ dls πu 2 claofastast-otaste olvolaonola siaomcaéto
SCENE IV LINDAMIRE, MONCADE.	SCÈNE IV LINDAMIRE, MONCADE.
LINDAMIRE.	LINDAMIRE.
NEs champs, ces bois, cette verdure;	NEs champs, ces bois, cette verdure;
Les plus farouches animaux, Les doux oyſeaux Tout ayme en la nature.	Les plus farouches animaux, Les doux oiseaux Tout aime en la nature.
Elle lit.	Elle lit.
MONCADE.	MONCADE.
LINDAMIRE.	LINDAMIRE.
Puis que l’amour ſçait enflamer Les objets les plus inſenſibles, Si nos cœurs en ſont ſuſceptibles, Helas!	Puis que l'Amour sais enflammer Les objets les plus insensibles, Si nos cœurs en sont susceptibles, Hélas!
faut-il les en blaſmer.	faut-il les en blâmer.
MONCADE.	MONCADE.
Ce ſoûpir en fait aſſez comprendre, Ah!	Ce soupir en fait assez comprendre, Ah!
qu’heureux eſt l’objct d’vn mouuement ſi tendre:	qu'heureux est l'object d'un mouvement si tendre:
Mais elle m’apperçoit.	Mais elle m'aperçoit.
A cette heure en ces lieux, Madame, ie doutois du rapport de mes yeux.	À cette heure en ces lieux, Madame, je doutais du rapport de mes yeux.
Quoy cette diligence eſt elle ſans myſtere.	Quoi cette diligence est elle sans mystère.
LINDAMIRE.	LINDAMIRE.
Ouy ſans doute Seigneur, & deplus ordinaire;	Oui sans doute Seigneur, et déplus ordinaire;
Ie prends tous les matins vn plaiſir ſans pareil, A voir dans ce beau lieu le leuer du Soleil;	Je prends tous les matins un plaisir sans pareil, A voir dans ce beau lieu le leuer du Soleil;
Il embellit alors, ſe meſlant à l’Aurore, D’vn eſmail naturel tous les endroits qu’il dore, Dans ces moments on voit les folâtres zephirs Pouſſer autour des fleurs mille foibles ſoûpirs, Et parfumant les airs de leurs douces haleines, Reuerdir, & ſecher le gazon des fontaines, Ie vous en fais, Seigneur, vn fidele tableau, Iugcant bien que pour vous Il dont eltie nouucau;	Il embellit alors, se mêlant à l'Aurore, D'un émail naturel tous les endroits qu'il dore, Dans ces moments on voit les folâtres zéphyrs Pousser autour des fleurs mille faibles soupirs, Et parfumant les airs de leurs douces haleines, Reverdir, et sécher le gazon des fontaines, Je vous en fais, Seigneur, un fidèle tableau, Jugant bien que pour vous Il dont elle nouucau;
Vn homme qui ſoûtient le poids d’vne Couronne, Gouſte peu ces plaifirs que la Campagne donne.	Un homme qui soutient le poids d'une Couronne, Goûte peu ces plaisirs que la Campagne donne.
MONCADE.	MONCADE.
Il eſt vray que les ſoins où m’attachent les Dieux Sont vn puiſſant obſtacle au plaiſir de mes yeux:	Il est vrai que les soins où m'attachent les Dieux Sont un puissant obstacle au plaisir de mes yeux:
Mais ſi contre ces ſoins mon triſte cœur murmure, Ce n’eſt pas pour ces biens qu’eſtale la nature;	Mais si contre ces soins mon triste cœur murmure, Ce n'est pas pour ces biens qu'étale la nature;
Il m’importeroit peu de voir n’aiſtre le iour, Si ie pouuois donner plus de temps à l’amour, ul liile enets prenalis du reu quime deuore, Vous prouuoient à quel poinct Moncade vous adore, Qu’vne faueur contraire à mon iuſte deſir Me laiſſaſt pour vous voir vn peu plus de loiſir, Et qu’enfin.	Il m'importerait peu de voir n'aître le jour, Si tu pouvais donner plus de temps à l'amour, ul liile enets prenalis du ré quime deuore, Vous prouvaient à quel point Moncade vous adore, Qu'une faveur contraire à mon juste désir Me laissât pour vous voir un peu plus de loisir, Et qu'enfin.
LINDAMIRE.	LINDAMIRE.
En amour chacun a ſa manicre, Celle d’vn fauory doit eſtre ſinguliere, Tous ces pas ſuperflus, tous ces empreſſemens, Tous ces ſoins affectez des vulgaires amans, A v Sont interdits, Seigneur, à ceux de voſtre eſpece, L’inutile tribut de leur vaine tendreſſe, Leurs pleurs & leurs ſoûpirs, leur aſſiduité, Sont proprement des fruits de leur oyſiueté.	En amour chacun a sa manicre, Celle d'Han nibori doit être singulière, Tous ces pas superflus, tous ces empressements, Tous ces soins affectez des vulgaires amants, A v Ont interdits, Seigneur, à ceux de votre espèce, L'inutile tribut de leur vaine tendresse, Leurs pleurs et leurs soupirs, leur assiduité, Sont proprement des fruits de leur oisiveté.
MONCADE.	MONCADE.
Mais vn Amant oyſif eſt ſouuent plus aymable, Qu’vn toûjours occupẽ que l’embarras accable, La Patante plaiſt moins à l’amour qu’vn poulet, Et ce Dieu n’ayme point les ſoins du Cabinet.	Mais un Amant oissif est souvent plus aimable, Qu'un toujours occupense que l'embarras accable, La Patante plaît moins à l'amour qu'un poulet, Et ce Dieu n'aime point les soins du Cabinet.
LINDAMIRE.	LINDAMIRE.
Vous aperceuez-vous qu’il dedaigne les voſtres.	Vous apercevez-vous qu'il dédaigne les vôtres.
MONCADE.	MONCADE.
Ah!	Ah!
nous ne voyons point ce qu’on ſent pour nous autres, Et c’eſt d’vn fauory le plus preſſant ennuy, Que d’auoir comme il a tant d’attraits hors de luy, Sa gloire a plus d’amis bien ſouuent que luy-meſme, Quelquefois on le haït au meſme temps qu’on l’aime;	nous ne voyons point ce qu'on sent pour nous autres, Et c'est d'un favori le plus pressant ennui, Que d'avoir comme il a tant d'attraits hors de Seigneur, Sa gloire a plus d'amis bien souvent que lui-même, Quelquefois on le hait au même temps qu'on l'aime;
enna peurdrccineruncec duundepae , Ce qu’il a d’eſtranger, de ce qui ne l’eſt pas, Et tel eſt amoureux de ce qui l’enuironne, Qui n’a iamais penſé pent-eſtre à ſa perſonne.	enna peurdrccineruncec dudepae , Ce qu'il a d'étranger, de ce qui ne l'est pas, Et tel est amoureux de ce qui l'environne, Qui n'a jamais pensé pent-être à sa personne.
LINDAMIRE.	LINDAMIRE.
C’eſt eſtre ſur ce poinct vn peutrop delicat, Vous eſtes proprement jaloux de voſtre éclat, Sans ſçauoir ſi c’eſt vous, ou ſi c’eſt luy qu’on ayme, Si quelqu’vn les confond, faites-en tout de meſme, Pourueu qu’on ſoit heureux, ie ſouſtiens quand à moy, Qu’on peut bien ſe paſſer de s’enquerir pourquoy?	C'est assez sur ce point un peutrop délicat, Vous êtes proprement jaloux de votre éclat, Sans savoir si c'est vous, ou si c'est lui qu'on aime, Si quelqu'un les confond, faites-en tout de même, Pourvu qu'on soit heureux, quelque soutiens quand à moi, Qu'on peut bien se passer de s'enquérir pourquoi?
MONCADE.	MONCADE.
Ce precepte me ſemble vtile & raiſonnable:	Ce précepte me semble utile et raisonnable:
Mais, Madame, en amour il n’eſt pas receuable;	Mais, Madame, en amour il n'est pas recevable;
L’amour eſt de luy-meſme, & le but & l’objet, Il renferme & produit la cauſe & ſon eſfet, Et ſi-toſt que ſon feu ſe gliſſe dans vne ame, Si quelque autre intereſt ſe meſle à eette flame, Que dans l’objet aymé l’on trouue des appas, Qui ne ſoient point de luy, dés lors on n’ayme pas;	L'amour est de nom-même, et le but et l'objet, Il renferme et produit la cause et son éfet, Et sitôt que son feu se glisse dans une âme, Si quelque autre intérêt se mêle à cette flamme, Que dans l'objet aimé l'on trouve des appas, Qui ne soient point de lui, dès lors on n'aime pas;
Iugez donc ſur ce poinct ſi ma peine eſt extreſme, Moy de qui les appas ſont tous hors de moy-meſme, Peut-eſtre mon reſpect, mon amour, & ma foy, Sont les moindres attraits.	Jugez donc sur ce point si ma peine est extrême, Moi de qui les appas sont tous hors de moi-même, Peut-être mon respect, mon amour, et ma foi, Sont les moindres attraits.
SCENE V.	SCÈNE V.
MONCADE, LINDAMIRE, D.	MONCADE, LINDAMIRE, D.
ALVAR	ALVAR
D.	D.
ALVAR.	ALVAR.
SEigneur voicy le Roy.	SEigneur voici le Roi.
RTONGIDE.	RTONGIDE.
Ouy, D' ALCAR	Oui, D' ALCAR
MONCADE.	MONCADE.
Iuſte Ciel!	Juste Ciel!
LINDAMIRE.	LINDAMIRE.
Adieu ie me retire.	Adieu Seigneur me retire.
D.	D.
ALVAR.	ALVAR.
Il eſt ſeul & chagrin.	Il est seul et chagrin.
MONCADE.	MONCADE.
Cours apres Lindamire, Pour ſçauoir en quel lieu ie puis tantoſt la voir:	Cours après Lindamire, Pour savoir en quel lieu quelque puis tantôt la voir:
Qu’on fait mal-aiſément l’amour & ſon deuoir, Et qu’au cœur delicat ſe trouue de foibleſſe, Quand il ſert à la ſois, ſon Maiſtre & ſa Maiſtreſſe.	Qu'on fait malaisément l'amour et son devoir, Et qu'au cœur délicat se trouve de faiblesse, Quand il sert à la sois, son Maître et sa Maîtresse.
SCENE VI.	SCÈNE VI.
LEROI, MONCADE.	LEROI, MONCADE.
LE ROY.	LE ROY.
