TAVTE DETI MERMET	TAUTE DETI MERMET
Il n’a point voulu faire vne Comedie pleine d’Ihcidens, mais, vne Piece, ſeulement, où il pût parler contre les, Mœurs du Siecle.	Il n'a point voulu faire une Comédie pleine d'Ihcidents, mais, une Pièce, seulement, où il pût parler contre les, Mœurs du Siècle.
Ce qui luy a fait prendre pour ſon Heros, vn Miſantrope;	Ce qui lui a fait prendre pour son Héros, un Misantrope;
& comme Miſantrope veut dire ennemy des Hommes, on doit demeurer d’accord qu’il ne pouuoit choiſir vn Perſonnage qui, vray ſemblablement, pût mieux parler contre les Hommes;	et comme Misantrope veut dire ennemi des Hommes, on doit demeurer d'accord qu'il ne pouvait choisir un Personnage qui, vrai semblablement, pût mieux parler contre les Hommes;
que leur ennemy.	que leur ennemi.
Ce chois eſt encor admirable pour le Theatre, & les Chagrins, les Depets, les Bizarreries, & les Emportemens d’vn Miiantrope, eſtans des choſes qui font vn grand Ieu, ce caractere eſt vn des plus brillans qu’on puiſſe produire ſur la Scene.	Ce chois est encor admirable pour le Théâtre, et les Chagrins, les Depets, les Bizarreries, et les Emportements d'un Miantrope, étant des choses qui font un grand Jeu, ce caractère est un des plus brillants qu'on puisse produire sur la Scène.
On n’a pas ſeulement, remarqué l’adreſſe de l’autheur dans le chois de ce Perſonnage, mais encore dans toutes les autres;	On n'a pas seulement, remarqué l'adresse de l'auteur dans le chois de ce Personnage, mais encore dans toutes les autres;
& cõme rien ne fait paroiſtre, dauantage, vne choſe, que celle qui luy eſt oppoſéeon peut non ſeulement dire que l’Amy du Mrſantrope, qui eſt vn Homme ſage & prudent, fait voir, dans ſon iour, le caractere de ce Ridicule;	et comme rien ne fait paraître, davantage, une chose, que celle qui était est opposéeon qui était seulement dire que l'Ami du Mrsantrope, qui est un Homme sage et prudent, fait voir, dans son jour, le caractère de ce Ridicule;
mais encore que l’humeur du Miſantrope fait connoiſtre la ſageſſe de ſon amy.	mais encore que l'humeur du Misantrope fait connaître la sagesse de son ami.
Moliere n’eſtant pas de ceux qui ne font pas tout également bien, n’a pas eſté moins heureux dans le chois de ſes autres caractéres, puis que la maîtreſſe du Miſantrope eſt vne ieune Veufue, coquette, & tout à fait mediſante.	Molière n'étant pas de ceux qui ne font pas tout également bien, n'a pas été moins heureux dans le chois de ses autres caractères, puis que la maîtresse du Misantrope est ime jeune Veuve, coquette, et tout à fait médisante.
Il faut s’écrier icy, & admirer l’adreſſe de l’Autheur:	Il faut s'écrier ici, et admirer l'adresse de l'Auteur:
ce n’eſt pas que le caractére ne ſoit aſſez ordinaire, & que pluſieurs n’euſſent pû s’en ſeruir?	ce n'est pas que le caractère ne soit assez ordinaire, et que plusieurs n'eussent pu s'en servir?
mais l’on doit admirer que dans vne Piece, où Moliere veut pailer contre les mœurs du Siécle, & n’épargner perſonne, il nous fait voir vne médiſante, auec vn ennemy des Hommes.	mais l'on doit admirer que dans une Pièce, où Molière veut pailer contre les mœurs du Siècle, et n'épargner personne, il nous fait voir une médisante, avec n emi des Hommes.
Ie vous l’aiſſe à penſer, ſi ces deux perſonnes ne peuuent pas, naturellement, parler contre toute la terre, puis que l’vn hayt les Hommes, & que l’autre ſe plaiſt à en dire tout le mal qu’elle en ſçait.	Je vous l'aisse à penser, si ces deux personnes ne peuvent pas, naturellement, parler contre toute la terre, puis que l' Hait les Hommes, et que l'autre se plaît à en dire tout le mal qu'elle en sait.
En verité, l’adreſſe de cet Autheur eſt admirable;	En vérité, l'adresse de cet Auteur est admirable;
ce ſont là, de ces choſes que tout le Monde ne remarque pas, & qui ſont faites auec beaucoup de iugement.	ce sont là, de ces choses que tout le Monde ne remarque pas, et qui sont faites avec beaucoup de jugement.
Le Miſantrope, ſeul, n’auroit pû parler contre tous les Hommes:	Le Misantrope, seul, n'aurait pu parler contre tous les Hommes:
mais en trouuant le moyen de le faire aider d’vne médiſante, c’eſt auoir trouué en meſme temps, celuy de mettre dans vne ſeule piece, la derniere main au portrait du ſiecle.	mais en trouvant le moyen de le faire aider d'une médisante, c'est avoir trouvé en même temps, celui de mettre dans une seule pièce, la dernière main au portrait du siècle.
Il y eſt tout entier, puis que nous voyons, encore, vne Femme qui veut paroiſtre prude, opposée à vne coquette, & des Marquis qui repreſentent la Cour:	Il y est tout entier, puis que nous voyons, encore, une Femme qui veut paraître prude, opposée à une coquette, et des Marquis qui représentent la Cour:
tellement qu’on peut aſſeurer que dans cette Comedie, l’on void tout ce qu’on peut dire contre les mœurs du ſiecle.	tellement qu'on peut assurer que dans cette Comédie, l'on voit tout ce qu'on peut dire contre les mœurs du siècle.
Mais comme il ne ſuffit pas d’auancer vne choſe, ſi l’on ne la prouue, ie vais, en examinant certe piece, d’Acte, en Acte, vous faire remarquer tout ce que i’ay dit;	Mais comme il ne suffit pas d'avancer une chose, si l'on ne la proue, sans vaine, en examinant certe pièce, d'Acte, en Acte, vous faire remarquer tout ce que j'ai dit;
& vous faire voir cent choſes qui ſont miſes en leur iour, auec beaucoup d’Art, & qui ne ſont conües que des perrounei uunrceſairées, que vous.	et vous faire voir cent choses qui sont mises en leur jour, avec beaucoup d'Art, et qui ne sont convues que des perrounei uunrcesairées, que vous.
Les choſes qui ſont les précieuſes d’elles meſ	Les choses qui sont les précieuses d'elles mes
mes, ne ſeroient pas, ſouuent, eſtimées, ce qu’elles ſont ſi l’Art ne leur auoit preſté quelques traits;	mes, ne seraient pas, souvent, estimées, ce qu'elles sont si l'Art ne leur avait prêté quelques traits;
& l’on peu dire, que de quelque valeur qu’elles ſoient, il augmente toûjours leur prix Vne pierre miſe en œuure, a beaucoup plus d’écla qu’auparauant, & nous ne ſçaurions bien voir le plus beau Tableau du monde, s’il n’eſt dans ſon Iour.	et l'on peu dire, que de quelque valeur qu'elles soient, il augmente toujours leur prix Ne pierre mise en œuvre, a beaucoup plus d'écla qu'auparavant, et nous ne saurions bien voir le plus beau Tableau du monde, s'il n'est dans son Jour.
Toutes choſes ont beſoin d’y eſtre;	Toutes choses ont besoin d'y être;
& les actions que l’on nous repreſente ſur la Scene, nous paroiſſent plus, ou moins belles ſelon que l’Art du Poëte nous les fait paroiſtre.	et les actions que l'on nous représente sur la Scène, nous paraissent plus, ou moins belles selon que l'Art du Poète nous les fait paraître.
Ce n’eſt pas qu’on doiue trop s’en ſeruir, puis que le trop d’Art n’eſt plus Art, & que c’eſt en auoir beaucoup, que de ne le pas montrer.	Ce n'est pas qu'on doive trop s'en servir, puis que le trop d'Art n'est plus Art, et que c'est en avoir beaucoup, que de ne le pas montrer.
Tout.	Tout.
excés eſt condamnable & nuiſible;	excès est condamnable et nuisible;
& les plus grandes Beautez perdent beaucoup de leur éclat, lors qu’elles ſont exposées à vn trop grand iour.	et les plus grandes Beautés perdent beaucoup de leur éclat, lors qu'elles sont exposées à un trop grand jour.
Les Productions d’Eſprit ſont de meſmes, & ſur tout, celles qui regardent le Theatre;	Les Productions d'Esprit sont de mêmes, et sur tout, celles qui regardent le Théâtre;
il leur faut donner de certains iours qui ſont plus difficiles à trouuer, que les choſes les plus ſperitüelles:	il leur faut donner de certains jours qui sont plus difficiles à trouver, que les choses les plus speritüelles:
car, enfin, il n’y a point d’Eſprits ſi groſſiers, qui n’ayent quelquesſois de belles pensées;	car, enfin, il n'y a point d'Esprits si grossiers, qui n'aient quelquessais de belles pensées;
mais il y en a peu qui ſçachent bien les mettre en œuure, s’il eſt permis de parler ainſi.	mais il y en a peu qui sachent bien les mettre en œuvre, s'il est permis de parler ainsi.
C’eſt ce que Moliere fait ſi bien, & ce que vous pouuez remarquer dans ſa piece.	C'est ce que Molière fait si bien, et ce que vous pouvez remarquer dans sa pièce.
Cette ingénieuſe & admirable Comedie, commence par le Miſantrope, qui par ſon action, fait connoiſtre à tout le Monde, que c’eſt luy, auant meſme d’ouurir la bouche;	Cette ingénieuse et admirable Comédie, commence par le Misantrope, qui par son action, fait connaître à tout le Monde, que c'est lui, avant même d'ouvrir la bouche;
ce qui fait iuger qu’il ſoûtiendra bien ſon caractére, puis qu’il commence ſi bien de la faire remarquer.	ce qui fait juger qu'il soutiendra bien son caractére, puis qu'il commence si bien de la faire remarquer.
Dans cette premiere Scene, il blâme ceux qui ſont tellement accoûtumez à faire des proteſtations d’Amitié, qu’ils embraſſent egalement leurs Amis, & ceux qui leur doiuent eſtre indiférens, le Faquin, & l’honneſte Homme:	Dans cette première Scène, il blâme ceux qui sont tellement accoutumés à faire des protestations d'Amitié, qu'ils embrassent également leurs Amis, et ceux qui leur doivent être indiférens, le Faquin, et l'honnête Homme:
& dans du moins ne point faire voir ce qu’ils ne font pas Oien.	et dans du moins ne point faire voir ce qu'ils ne font pas Oien.
Ce premier acte ayant plû à tout le Monde, & n’ayãt que deux Scenes, doit eſtre parfaitement beau, puis que les François, qui voudroient toûjours voir de nouueaux Perſonnages, s’y ſeroient ennüye, s’il ne les auoit fort attachez, & diuertis	Ce premier acte ayant plu à tout le Monde, et n'ayant que deux Scène, doit été parfaitement beau, puis que les Français, qui voudraient toujours voir de nouveaux Personnages, s'y seraient ennue, s'il ne les avait fort attachez, et divertis
Apres auoir veu le Miſantrope déchainé contre ceux qui font également des proteſtations d’amitié à tout le Monde, & ceux qui y répondent, auec le meſme emportement;	Après avoir vu le Misantrope déchaîné contre ceux qui font également des protestations d'amitié à tout le Monde, et ceux qui y répondent, avec le même emportement;
apres l’auoir oüy parler contre la Partie, & l’auoir veu condamner le Sonnet, & rompre en viſiere à ſon Autheur, on ne pouuoit plus ſouhaiter que le voir Amoureux, puis que l’Amour doit bien donner de la peine aux Perſonnes de ſon Caractére, & que l’on doit en cét eſtat, en eſperer quelque choſe de plaiſant, chacun traitant ordinairement cette Paſſion ſelon ſon tempérament, & c’eſt d’où vient que l’on attribuë tant de choſes à l’Amour, qui ne doiuent, ſouuent, eſtre attribüées qu’à l’humeur des Hommes.	après l'avoir oui parler contre la Partie, et l'avoir vu condamner le Sonnet, et rompre en visière à son Auteur, on ne pouuoit plus souhaiter que le voir Amoureux, puis que l'Amour doit bien donner de la peine aux Personnes de son Caractére, et que l'on doit en cet état, en espérer quelque chose de plaisant, chacun traitant ordinairement cette Passion selon son tempérament, et c'est d'où vient que l'on attribue tant de choses à l'Amour, qui ne doivent, souuent, votre attribuées qu'à l'humeur des Hommes.
Si l’on ſouhaite de voir le Miſantrope Amoureux, on doit eſtre ſatisfait dans cette Scene, puis qu’il y paroit auec ſa Maiſtreſſe, mais auec ſa hauteur ordinaire à ceux de ſon Caractere Il n’eſt point ſoûmis, il n’eſt point languiſſant, mais il luy découure librement, les defauts qu’il void en elle, & luy reproche qu’elle reçoit bien tout l’Vniuers;	Si l'on souhaite de voir le Misantrope Amoureux, on doit être satisfait dans cette Scène, puis qu'il y parait avec sa Maîtresse, mais avec sa hauteur ordinaire à ceux de son Caractère Il n'est point soumis, il n'est point languissant, mais il lui découvre ment, les défauts qu'il voit en elle, et lui approche qu'elle reçoit bien tout l'Univers;
& pour Douceurs, il luy dit, qu’il voudroir bien ne la pas aimer, & qu’il ne l’aime que pour les Pechez.	et pour Douceurs, il ne dit, que pour voudroir bien ne la pas aimer, et qu'il ne l'aime que pour les Péchez.
Ce n’eſt pas qu’auec tous ces diſcours il ne paroiſſe auſli Amoureux que les autres, comme nous verrons dans la ſuite Pendant leur entretien, quelques Gens viennent viſiter ſa Maiſtreſſe:	Ce n'est pas qu'avec tous ces discours il ne paraisse aussi Amoureux que les autres, comme nous verrons dans la suite Pendant leur entretien, quelques Gens viennent visiter sa Maîtresse:
il voudroit l’obliger à ne les pas voir;	il voudrait l'obliger à ne les pas voir;
& comme elle luy répond, que l’vn d’eux la ſert dans vn Procez, il luy dit:	et comme elle avait répond, que l'une d'eux la sert dans un Procès, il lui dit:
qu’elle deuroit perdre ſa Cauſe, pluſtoſt que de les voir.	qu'elle devrait perdre sa Causse, plutôt que de les voir.
Il faut demeurer d’accord, que cette penſée ne ſe peut payer, & qu’il n’y a qu’vn Miſantrope qui puiſſe dire des choſes ſemblables.	Il faut demeurer d'accord, que cette pensée ne se peut payer, et qu'il n'y a qu'un Misantrope qui puisse dire des choses semblables.
Enfin, toute la Compagnie arriue:	Enfin, toute la Compagnie arrive:
& le Mifantrope conçoit tant de dépit, qu’il veut s’en aller.	et le Mifantrope conçoit tant de dépit, qu'il veut s'en aller.
C’eſt, icy, ou l’Eſprit de Moliere ſe fait remarquer, puis qu’en deux Vers, joints à quelque Action qui marque du dépit, il fait voir ce que peut l’Amour ſur le Cœur de tous les Hommes, & ſur celuy du Miſantrope meſme, ſans le faire ſortir de ſon Caractére.	C'est, ici, ou l'Esprit de Molière se fait remarquer, puis qu'en deux Vers, joints à quelque Action qui marque du dépit, il fait voir ce que peut l'Amour sur le Cœur de tous les Hommes, et sur celui du Misantrope même, sans le faire sortir de son Caractére.
Sa Maiſtreſſe luy dit deux fois, de demeurer, il témoigne qu’il n’en veut rien faire:	Sa Maîtresse avait dit deux fois, de demeurer, il témoigne qu'il n'en veut rien faire:
& ſi toſt qu’elle luy donne congé auec vn peu de froideur, il demeure, & montre, en faiſant deux ou trois pas pour s’en aller, & en reuenant auſſi toſt, que l’Amour, pendant ce temps, combat contre ſon Caractére, & demeure vainqueur:	et si tôt qu'elle avait donné congé avec un peu de froideur, il demeure, et montre, en faisant deux ou trois pas pour s'en aller, et en revenant aussi tôt, que l'Amour, pendant ce temps, combat contre son Caractére, et demeure vainqueur:
ce que l’Auteur a fait judicieuſement, puis que l’Amour ſurmonte tout.	ce que l'Auteur a fait judicieusement, puis que l'Amour surmonte tout.
Ie trouue, encor, vne choſe admirable en cet endroit;	Je trouve, encor, une chose admirable en cet endroit;
c’eſt la maniere dont les Femmes agiſſent pour ſe faire obeïr:	c'est la manière dont les Femmes agissent pour se faire obéir:
& comme vne Femme a le pouuoir de mettre à la raiſon, vn Homme comme le Miſantrope, qui la vient meſme de quereller, en luy diſant, Ie veux que vous demeuriez, & puis en changeant de ton, Vous peuuez vous en aller.	et comme une Femme a le pouvoir de mettre à la raison, un Homme comme le Misantrope, qui la vient même de quereller, en lui disant, Je veux que vous demeuriez, et puis en changeant de ton, Vous peuvez vous en aller.
Cependant, cela ſe fait tous les iours:	Cependant, cela se fait tous les jours:
& l’on ne peut le voir mieux repreſenté qu’il eſt dans cette Scene.	et l'on ne peut le voir mieux représenté qu'il est dans cette Scène.
Aprés tant de choſes ſi diferentes, & ſi natutellement, touchées & repreſentées dans l’eſpace de quatre Vers, on void vne Scene de Conuerſation, où ſe rencontrent deux Marquis, l’Amy du Miſantrope, & la Couſine de la Maiſtreſſe de ce dernier.	Après tant de choses si dièrentes, et si natutellement, touchées et représentées dans l'espace de quatre Vers, on voit une Scène de Conversation, où se rencontrent deux Marquis, l'Ami du Misantrope, et la Cousine de la Maîtresse de ce dernier.
La jeune Veufue, chez qui toute la compagnie ſe trouue, n’eſt point fâchée d’auoir la Cour chez elle:	La jeune Veuve, chez qui toute la compagnie se trouve, n'est point fâchée d'avoir la Cour chez elle:
& comme elle eſt bien aiſe d’en auoir, qu’elle eſt Politique, & veut ménager tout le Mõde, elle n’auoit pas voulu faire dire qu’elle n’y eſtoit pas aux deux Marquis, comme le ſouhaitoit le Miſantrope.	et comme elle est bien aise d'en avoir, qu'elle est Politique, et veut ménager tout le Modède, elle n'avait pas voulu faire dire qu'elle n'y était pas aux deux Marquis, comme le souhait le Misantrope.
La conuerſation eſt toute aux deſpens du Prochain;	La conversation est toute aux dépens du Prochain;
& la Coquette médiſanre, fait voir ce qu’elle ſçait, quand il s’agit de le dauber;	et la Coquette médisanre, fait voir ce qu'elle sait, quand il s'agit de le dauber;
& qu’eſle eſt de celles qui dechirent lous mains, iuſques à leurs meilleurs Amis,	et qu'esle est de celles qui déchirent lous mains, jusqu' à leurs meilleurs Amis,
Cette conuerſation fait voir, que l’Autheur n’eſt pas épüisé, puis qu’on y parle de vingt caractére de Gens qui ſont admirablement bien dépeints en peu de Vers, chacun;	Cette conversation fait voir, que l'Auteur n'est pas épuisé, puis qu'on y parle de vingt caractére de Gens qui sont admirablement bien dépeints en peu de Vers, chacun;
& l’on peut dire que ce ſont autant de ſujets de Comedies que Moliere donne, liberalement, à ceux qui s’en voudront ſeruir.	et l'on peut dire que ce sont autant de sujets de Comédies que Molière donne, libéralement, à ceux qui s'en voudront servir.
Le Miſantrope ſoûtient bien ſon caractére pendant cette conuerſation, & leur parle auec la libeité qui luy eſt ordinaire.	Le Misantrope soutient bien son caractère pendant cette conversation, et leur parle avec la libité qui lui est ordinaire.
Elle eſt à peine finie, qu’il fait vne action digne de luy, en diſant aux deux Marquis.	Elle est à peine finie, qu'il fait une action digne de deux, en disant aux deux Marquis.
qu’il ne ſortira point, qu’il ne ſoient ſortis;	qu'il ne sortira point, qu'il ne soient sortis;
& il le feroit ſans doute, puis que les Gens de ſon caractêre ne ſe démentent iamais, s’il n’eſtoit obligé de ſuiure vn Garde pour le diferend qu’il a eu auec Oronte, en condamnant ſon Sonnet Ceſt où cét acte finit.	et il le ferait sans doute, puis que les Gens de son caractère ne se démentent jamais, s'il n'était obligé de suivre un Garde pour le dierend qu'il a eu quelque Oronte, en condamnant son Sonnet Cest où cet acte finit.
L’ouuerture du troiſieſme, ſe faît par vne Scene entre les deux Marquis, qui diſent des choſes fort conuenables à leurs caractéres;	L'ouvre du troisième, se font par une Scène entre les deux Marquis, qui disent des choses fort convenables à leurs caractéres;
& qui font voir, par les applaudiſſemens, qu’ils reçoiuent, que l’on peut toûjours mettre des Marquis Sur la Scene, tant qu’on leur fera dire quelque choſe que les autres n’ayent point encot dit.	et qui font voir, par les applaudissements, qu'ils reçoivent, que l'on peut toujours mettre des Marquis Sur la Scène, tant qu'on leur fera dire quelque chose que les autres n'aient point encot dit.
L’actoru qu'iis iont entr’eux, de ſe dire les marques d’eſtime qu’ils receuront de leur Maiſtreſſe, eſt vne adreſſe de l’Autheur, qui prepare la fin de ſa Piece, comme vous remarquerez dans la ſuite.	L'actoru qu'iis iont entr'eux, de se dire les marques d'estime qu'ils recevront de leur Maîtresse, est une adresse de l'Auteur, qui prépare la fin de sa Pièce, comme vous remarquerez dans la suite.
Il y a dans le meſme Acte, vne Scene entre deux Femmes, que l’on troune d’autant plus belle, que leurs caracteres ſont tout à fait, oppoſez, & ſe font ainſi paroiſtre l’vn l’autre.	Il y a dans le même Acte, une Scène entre deux Femmes, que l'on troune d'autant plus belle, que leurs caractères sont tout à fait, opposez, et se font ainsi paraître l'un l'autre.
L’vne eſt, la ieune Veufue auſſi coquette que médiſante;	L'une est, la jeune Veuve aussi coquette que médisante;
& l’autre vne Femme qui veut paſſer pour prude, & qui dans l’Ame, n’eſt pas moins du Monde, que la conquerte.	et l'autre une Femme qui veut passer pour prude, et qui dans l'Âme, n'est pas moins du Monde, que la conquerte.
Elle donne à cette derniere, des auis charitables ſur ſa conduite, la coquette les reçoit fort bien, en apparence;	Elle donne à cette dernière, des avis charitables sur sa conduite, la coquette les reçoit fort bien, en apparence;
& luy dit, à ſon tour, pour la payer de cette obligation, qu’elle veut l’auertir de ce que l’on dit d’elle, & luy fait vn Tableau de la vie des-feintes prudes, dont les couleurs ſont auſſi fortes, que celles que la Piude auoit employées pour luy repreſenter la Vie des coquettes:	et même dit, à son tour, pour la payer de cette obligation, qu'elle veut l'avertir de ce que l'on dit d'elle, et avait fait un Tableau de la vie des-feintes prudes, dont les couleurs sont aussi fortes, que celles que la Piude avait employées pour lui représenter la Vie des coquettes:
& ce qui doit ſaire trouuer cette Scene fort agreable, eſt, que celle qui a parlé la premiere, ſe fâche, quand l’autre la paye en meſme monoye.	et ce qui doit zaïre trouver cette Scène fort agréable, est, que celle qui a parlé la première, se fâche, quand l'autre la paie en même monoie.
L’on peut aſſeurer, que l’on void dans cetteScene, tout ce que l’on peut dire de toutes les Femmes, puis qu’elles ſont toutes de l’vn ou de l’autré caractére;	L'on peut assurer, que l'on voit dans cetteScène, tout ce que l'on peut dire de toutes les Femmes, puis qu'elles sont toutes de l'un ou de l'autré caractére;
ou que ſi elles ont quelque choſe de plus, ou de moins, ce qu’elles ont a, toûjours, du rapport à 8 l’vn ou l’autre.	ou que si elles ont quelque chose de plus, ou de moins, ce qu'elles ont a, toujours, du rapport à 8 l'un ou l'autre.
Ces deux Femmes, apprés s’eſtre parlé à cœur ouuert touchant leurs vies, ſe ſeparent;	Ces deux Femmes, apprès s'être parlé à cœur ouvert touchant leurs vies, se séparent;
& la coquette laiſſe la Prude auec le Miſantrope, qu’elle void entrer chez elle.	et la coquette laisse la Prude avec le Misantrope, qu'elle voit entre chez elle.
Comme la Prude a de l’Eſprit, & qu’elle n’a choiſy ce caractére que pour mieux faire ſes affaires, elle tâche par toutes ſortes de voyes d’attirer le Miſantrope qu’elle aime.	Comme la Prude a de l'Esprit, et qu'elle n'a choisi ce caractére que pour mieux faire ses affaires, elle tâche par toutes sortes de voies d'attirer le Mantrope qu'elle aime.
Elle le louë, elle parle contre la coquette, luy veut persüader qu’on le rrompe, & la mene chez elle, pour luy en donner des preuue:	Elle le loue, elle parle contre la coquette, lui veut persüader qu'on le rompe, et la mène chez elle, pour lui en donner des preuve:
ce qui donne ſuiet à vne partie des choſes qui ſe paſſent au quatrieſme Acte.	ce qui donne sujet à vne partie des choses qui se passent au quatrième Acte.
Cet Acte commence par le recit de l’Accommodement du Miſantrope, auec l’homme du Sonnet?	Cet Acte commence par le récit de l'Accommodement du Misantrope, avec l'homme du Sonnet?
& l’Amy de ce premier en entretient la Couſine de la Coquette.	et l'Ami de ce premier en entretient la Cousine de la Coquette.
Les vers de ce Recit ſont tout à fait beaux?	Les vers de ce Recit sont tout à fait beaux?
mais ce que l’on y doit remarquer, eſt que le Caractere du Miſantrope eſt ſoutenu auec la meſme vigueur qu’il fait paroiſtre en ouurant :	mais ce que l'on y doit remarquer, est que le Caractère du Misantrope est soutenu avec la même vigueur qu'il fait paraître en ouvrant :
la Piece.	la Pièce.
Ces deux Perſonnes parlent, quelque temps.	Ces deux Personnes parlent, quelque temps.
des ſentimens de leurs cœurs;	des sentiments de leurs cœurs;
& ſont interrompuës par le Miſantrope meſme qui paroiſt furieux & ialous:	et sont interrompues par le Misantrope même qui paraît furieux et jalous:
& l’Auditeur ſe perſuade aiſement parce qu’il a veu dans l’autre Acte que la Prude, auec qui on la veu ſortir, luy a inſpiré ſes ſentimens.	et l'Auditeur se persuade aisément parce qu'il a vu dans l'autre Acte que la Prude, avec qui on la vu sortir, lui a inspiré ses sentiments.
Le Depit luy fait faire ce que tous les Hommes feroient en ſa place, de quelque humeur qu’ils fuſſent;	Le Dépit Seigneur fait faire ce que tous les Hommes feraient en sa place, de quelque humeur qu'ils fussent;
il offre ſon cœur à la belle Parente de ſa Maiſtreſſe:	il offre son cœur à la belle Parente de sa Maîtresse:
mais elle luy fait voir que ce n’eſt que le Depit qui le fait parler, & qu’vne coupable aimée eſt bien toſt innocente.	mais elle avait fait voir que ce n'est que le Dépit qui le fait parler, et qu'une coupable aimée est bien tôt innocente.
Ils le laiſſent auec ſa Maiſtreſſe qui paroiſt & ſe retirent.	Ils le laissent avec sa Maîtresse qui paraît et se retirent.
Ie ne crois pas qu’on puiſſe rien voir de plus beau que cette bcene.	Je ne crois pas qu'on puisse rien voir de plus beau que cette bcène.
Elle eſt toute ſerieuſe;	Elle est toute sérieuse;
& cependant il en a peu dans la Piece qui diuertiſſent dauantage.	et cependant il en a peu dans la Pièce qui divertissent davantage.
On y void vn Poitait, naturellement, repreſenté, de ce que les Amans font tous les iours, en de ſemblables rencontres.	On y void était Poitait, naturellement, représenté, de ce que les Amants font tous les jours, en de semblables rencontres.
Le Miſantrope paroiſt d’abord auſſi emporté, que jalous;	Le Misantrope paraît d'abord aussi emporté, que jalous;
il ſemble que rien ne peut diminüer ſa colere, & la pleine iuſtification de ſa Maiſtreſſe ne pourroit qu’auec peine, calmer ſa fureur.	il semble que rien ne peut diminuer sa colère, et la pleine justification de sa Maîtresse ne pourrait qu'avec peine, calmer sa fureur.
Cependant, admirez l’adreſſe de l’Autheur.	Cependant, admirez l'adresse de l'Auteur.
