A PARIS, .	À PARIS, .
i'oſe me promettre de la bonté de voſtre Alteſſe qu'elle prẽdra plaiſir de m'oüvr publier la gloire d’vn homme qui euſt eſtonné tous les ſpectateurs de l’Olyme, & de voir que par l’immortalité de l’Impreßion ie luy rends la vie qu'on luy aſi laſchement oſtée.	j'ose me promettre de la bonté de votre Altesse qu'elle prendra plaisir de m'oüvr publier la gloire d'un homme qui eût étonné tous les spectateurs de l'Olyme, et de voir que par l'immortalité de l'Impression ici ici rends la vie qu'on y azy lâchement ôtée.
MONSEIGNEVR,	MONSEIGNEUR,
Voſtre tres-humble & tres-obeïſſant ſeruiteur,	Votre très-humble et très-obeïssant serviteur,
1 RLI PAR LE SR A 22 ISNARD.	1 RLI PAR LE SR A 22 ISNARD.
Guu.	Gu.
VIS qu’ordinairement les plus grandes paſſions ſont les plus muettes, & que les plus grands ſſeuues ſont ceux qui murmurent le moins;	VIS qu'ordinairement les plus grandes passions sont les plus muettes, et que les plus grands sseuues sont ceux qui murmurent le moins;
il ſemble que les douleurs que i’ay reſſenties de la mort de Monſieur Pichou & ls larmes que ie verſe encore à la memoire de ſa perte, deuoient me retenir dans le ſilence, & m’oſter la liberté de me plaindre publiquement.	il semble que les douleurs que j'ai ressenties de la mort de Monsieur Pichou et l armes que sans verse encore à la mémoire de sa perte, devaient me retenir dans le silence, et m'ôter la liberté de me plaindre publiquement.
Mais quoy que ma triſteſſe ſoit extreme, & que ie ſois entierement comblé des afflictions que peut apporter l’eternelle abſence du plus ferme & du plus genereux amy du monde;	Mais quoi que ma tristesse soit extrême, et que sans sois entièrement comblé des afflictions que peut apporter l'éternelle absence du plus ferme et du plus généreux ami du monde;
tou--- -.	tou-ce -.
.	.
O .	Ô .
4 MXEEAOL.	4 MXEAOL.
tesfois la paſſion que i’ay touſiours euë pour ſa gloire m’a fait rechercher par la plainte le ſoulagement qui m’eſtoit neceſſaire pour rencontrer les interuales propres à la recommendation de ſes ouurages.	tesfois la passion que j'ai toujours eue pour sa gloire m'a fait rechercher par la plainte le soulagement qui m'était nécessaire pour rencontrer les intervales propres à la recommendation de ses ouvrages.
Ie ſçay bien que cette entrepriſe demadoit vn eſprit plus tranquille & plus débarraſſé que le mien, & que pour bien imaginer toutes les parties d’vn ſolide diſcours il faut eſtre deliure des troubles & des orages dont mon ame eſt perpetuellement 4 agitéc.	Je sais bien que cette entreprise demadait un esprit plus tranquille et plus débarrassé que le mien, et que pour bien imaginer toutes les parties d' solide discours il faut être délivre des troubles et des orages dont mon âme est perpétuellement 4 agitéc.
Et c’eſt pour cette raiſon qu’il me ſemble que les Poëtes ont logé les Muſes ſur le ſommet d’vne haute montaigne, pour eſtre exemptes dũ bruit & des inter4 ruptions de la foule du monde.	Et c'est pour cette raison qu'il me semble que les Poètes ont logé les Muses sur le sommet d'une haute montagne, pour être exemptes dieux bruit et des inter4 ruptions de la foule du monde.
Mais quoy que mon appareil ſoit au deſſous de mon deſſein, & que mes forces ſoient contraint- tes de ceder à la beauté de mon ſujet, ie ne laiſſeray pas pourtant de vaincre tous les ſcrupules qui m’en pourroienrdeſtourner, & d’obliger ma raiſon à faire place à l’exercice de mõ amitié, tant pour la ſatisfaction LNRFACE.	Mais quoi que mon appareil soit au dessous de mon dessein, et que mes forces soient contraint- tes de céder à la beauté de mon sujet, je ne laisserai pas pourtant de vaincre tous les scrupules qui m'en pourroienrdestourner, et d'obliger ma raison à faire place à l'exercice de mon amitié, tant pour la satisfaction LNRFACE.
de ceux qui m’en ont donné le courage, que pour celle de moy-meſme.	de ceux qui m'en ont donné le courage, que pour celle de moi-même.
Bien que la plus-part des grands hommes taſchent d’emprunter leur gloire de l'eſclat de leur naiſſance, & qu’ils ſoient bien aiſes de deuoir vne partie de leur nom & de leurs dignitez à la vertu de leurs predeceſſeurs;	Bien que la plupart des grands hommes tâchent d'emprunter leur gloire de l'éclat de leur naissance, et qu'ils soient bien aises de devoir une partie de leur nom et de leurs dignités à la vertu de leurs prédécesseurs;
ſi eſt-ce que mon deſſein n’eſt pas de tirer celle de Mr Pichou ny de ſon extraction ny de la vertu de ſes peres;	si est-ce que mon dessein n'est pas de tirer celle de Mr Pichouairés de son extraction ni de la vertu de ses pères;
mais ie deſire ſeulement faire voir en paſſant à l’enuie & à la malice de ſes ennemis, qu’elles ne repugnent point à l’immortalité que ſes propres qualitez luy ont donnée.	mais ainsi désire seulement faire voir en passant à l'envie et à la malice de ses ennemis, qu'elles ne répugnent point à l'immortalité que ses propres qualité lui ont donnée.
Dijon ville capitale de la Prouince de Bourgoigne, & qui depuis long temps eſt hõnorée du ſiege d’vn des plus celebres Parlemens de ce Royaume, eſt le lieu de ſa naiſſance, & de la demeure de feu Mr Pichouſon pere, qui durant la profeſſion RETCCE.	Dijon ville capitale de la Province de Bourgoigne, et qui depuis long temps est honorée du siège d'un des plus célèbres Parlements de ce Royaume, est le lieu de sa naissance, et de la demeure de feu Mr Pichouson père, qui durant la profession RETCE.
les ſoins que ſon employ luy pouuoit permettre, à deſſein de le ietter vn iour dans l’exercice de la guerre, à cauſe des grandes diſpoſitions qu’il luy en auoit données, tant par la communication de ſa generoſité que de ſon experience.	les soins que son emploi lui pouvait permettre, à dessein de le jeter un jour dans l'exercice de la guerre, à cause des grandes dispositions qu'il lui en avait données, tant par la communication de sa générosité que de son expérience.
Mais comme nos propres inclinatious ſurmontent bien ſouuent celles de nos parens, la ſienne qui le portoit dés ſa naiſſance dans l’eſtude des bonnes lettres, emporta le poids de ſon coſté, & fit condeſcendre ſon pere à le mettre dans le College des leſuites de ſa ville, où le bonheur de ſa memoire, la ſolidité de ſon iugement, & la chaleur de ſon eſprit firent voir dans leur excellẽce qu’elles n’eſtoient point incompatibles en vn meſme ſujet.	Mais comme nos propres inclinatious surmontent bien souvent celles de nos parents, la sienne qui le portait dès sa naissance dans l'étude des bonnes lettres, emporta le poids de son côté, et fit condescendre son père à le mettre dans le Collège des lévites de sa ville, où le bonheur de sa mémoire, la solidité de son jugement, et la chaleur de son esprit firent voir dans leur excellence qu'elles n'étaient point incompatibles en un même sujet.
Et pource que le temperament de la memoire precede en ordre de temps ceux des autres facultez de noſtre connoiſſance, on le veid premierement exceller aux lettres humaines, & particulierement à l’eſtude des Poëmes Latins, qui par vne genereuſe emulation le por.	Et pource que le tempérament de la mémoire précède en ordre de temps ceux des autres facultés de notre connaissance, on le veid premièrement exceller aux lettres humaines, et particulièrement à l'étude des Poëmes Latins, qui par une généreuse émulation le por.
.	.
.	.
C.	Ç.
.	.
.	.
.	.
.	.
A .	À .
d A n 4 43.	d À n 4 43.
terent dans l’eſſay de les imiter, & finalement d’eſgaler les plus excellens modeles que l’on en propoſe d’ordinaire dans les Colleges, iuſques à ce que ſa promotion à la Philoſophie luy fit quitter pour vn temps les charmes de ce diuin meſtier, pour s’attacher aux faſcheuſes occupations des ſciences Scholaſtiques.	terent dans l'essai de les imiter, et finalement d'égaler les plus excellents modères que l'on en propose d'ordinaire dans les Collèges, jusqu' à ce que sa promotion à la Philosophie luitaît quitter pour un temps les charmes de ce divin métier, pour s'attacher aux fâcheuses occupations des sciences Scholastiques.
Mais ſoit que la pedanterie de ſes maiſtres, où la dureté de ſes derniers trauaux l’euſſent entierement rebuté de ſa pourſuite, & reſueillé l’auerſion inuincible qu’il auoit contre tous les fatras de cette fauſſe Philoſophie que l’on ſouffre aujourd’huy dans les Eſcholes, tant ya qu’il en abandonna & les eſtudes & les liures, pour ſuiure les impetuoſitez de ſon genie, qui le firent retourner à l’amour des ſciences humaines, & principalement à celle de l’Hiſtoire & de la Poëſie, qui ſont les deux teintures dont ſon ame eſtoit parfaitement imbuë:	Mais soit que la pédanterie de ses maîtres, où la dureté de ses derniers travaux l'eussent entièrement rebuté de sa poursuite, et resueillé l'aversion invincible qu'il avait contre tous les fatras de cette fausse Philosophie que l'on souffre aujourd'hui dans les Écholes, tant ya qu'il en abandonna et les études et les livres, pour suivre les impétuosité de son génie, qui le firent retourner à l'amour des sciences humaines, et principalement à celle de l'Histoire et de l' Poësie, qui st les deux teintures et son de la parfaitement imbuë:
Et comme ces deux choſes eſtoient les ob.	Et comme ces deux choses étaient les ob.
jets continuels de ſa memoire & de ſon imagination, il en auoit ſi bien remarqué toutes les beautez, & ſi bien retenu tous les traicts, que luy meſme m'’auoit autrefois confeſſé que c’eſtoient les deux ſeules maiſtreſſes dont il eſtoit paſſionnément amoureux.	jets continuels de sa mémoire et de son imagination, il en avait si bien remarqué toutes les beautés, et si bien retenu tous les traits, que lui même m'avait autrefois confessé que c'étaient les deux seules maîtresses dont il était passionnément amoureux.
Certes i'aduouë franchement icy qu’il m’eſt fort difficile de dire combien ce ieune homme eſtoit iudicieux, d’auoir preferé ces deux ornemens a cette ſageſſe imaginaire des Pedans, ſçachant bien que toutes les maximes generales dont les anciens formerent le corps de la vraye & legitime Philoſophie n’ont eſté tirées que de la meditation de ces deux pieces:	Certes j'avoue franchement ici qu'il m'est fort difficile de dire combien ce jeune homme était judicieux, d'avoir préféré ces deux ornements à cette sagesse imaginaire des Pédants, sachant bien que toutes les maximes générales dont les anciens formèrent le corps de la vraie et légitime Philosophie n'ont été tirées que de la méditation de ces deux pièces:
& s’il eſt vray que les habitudes de noſtre connoiſſance & de noſtre volonté ne ſoient imprimées dans nos ames que par la contemplation & par la pratique de pluſieurs actions d’vne meſme ſorte, il faut neceſſairement confeſſer que toutes les ſeiences theoriques & pratiques, qui ſont du nombre des cinq habitudes de noſtre entendement, ne ſe ſont iamais acquiſes 8 que par l’obſeruation & l’exercice de ces belles actions dont l’Hiſtoire & la Poëſie ſe treuuent toutes compoſées.	et s'il est vrai que les habitudes de notre connaissance et de notre volonté ne soient imprimées dans nos âmes que par la contemplation et par la pratique de plusieurs actions d'une même sorte, il faut nécessairement confesser que toutes les seiences théoriques et pratiques, qui sont du nombre des cinq habitudes de notre entendement, ne se sont jamais acquises 8 que par l'observation et l'exercice de ces belles actions dont l'Histoire et la Poësie se treuuent toutes composées.
C’eſt pourquoy l’homme dont ie parle ſemble auoir fort vtilement employé ſa ieuneſſe, puis qu’il l’auoit preſque conſommée à l’eſtude de ces deux matieres, qui ſont les deux principes qui ſeuls peuuent produire cette ſouueraine perfection de l’home, que les Philoſophes ont appellée Sageſſe, & à laquelle le grand Ciceron a donné ce glorieux eloge, Numquam ſatis laudari poterit Philoſophia, cui qui pareat, omne tempus ætatis ſine moleſtia degere poßit.	C'est pourquoi l'homme dont on parle semble avoir fort vtilement employé sa jeunesse, puis qu'il l'avait presque consommée à l'étude de ces deux matières, qui sont les deux principes qui seuls peuvent produire cette souveraine perfection de l'home, que les Philosophes ont appelée Sagesse, et à laquelle le grand Cicéron a donné ce glorieux éloge, Numquam satî laudari poterit Es, cuyteri pareat, omnetempus ætatis qui molestia re possit,
Or d’autant que la matiere de cette Philoſophie, c’eſt à dire toutes les actions de Dieu, de la nature & des hommes contenuës dans les Hiſtoires ſacrées & prophanes, peut eſtre connuë de qui que ce ſoit à la faueur de la raiſon & de la memoire, qui ſont les deux preſens dont il a pleu à Dieu d’enrichir la nature de tous les hommes;	Or d'autant que la matière de cette Philosophie, c'est à dire toutes les actions de Dieu, de la nature et des hommes contenues dans les Histoires sacrées et prophanes, peut avoir connues de qui que ce soit à la faveur de la raison et de la mémoire, qui sont les deux presens dont il a pleu à Dieu d'enrichir la nature de tous les hommes;
ie ne treuue point eſtrange METACE.	Ne ne trouve point étrange METACE.
que Monſieur Pichou en euſt acquis vne parfaicte connoiſſance, & qu’il en euſt formé les regles de ſon iugement & de ſa conduite.	que Monsieur Pichou en eût acquis une parfaite connaissance, et qu'il en eût formé les règles de son jugement et de sa conduite.
Mais l’induſtrie qu’il auoit euë de reueſtir cette matiere de toutes les formes & de tous les attraits de la Poëſie, m’a touſiours faict aduouer qu’il auoit vn talent que le Ciel ne donne qu’à des perſonnes extraordinaires, & qu’à ceux qui ne viennent au monde que par miracle.	Mais l'industrie qu'il avait eue de revêtir cette matière de toutes les formes et de tous les attraits de la Poésie, m'a toujours fait avouer qu'il avait un talent que le Ciel ne donne qu'à des personnes extraordinaires, et qu'à ceux qui ne viennent au monde que par miracle.
Ie ne penſe pas qu’il ait iamais eſté connu de perſonne qui ne confeſſe cette verité, & qui ne rende ce teſmoignage à toute la France.	Je ne pense pas qu'il ait jamais été connu de personne qui ne confesse cette vérité, et qui ne rende ce témoignage à toute la France.
Monſieur le Prince, à qui le pauure defunct auoit conſacré les premiers de ſes trauaux,luy fit l’hõneur d’employer ſa veine ſur des diuerſes ſujets, & de la recompenſer d’vne fort glorieuſe approbation:	Monsieur le Prince, à qui le pauvre défunt avait consacré les premiers de ses travaux,lui fit l'honneur d'employer sa veine sur des diverses sujets, et de la récompenser d'une fort glorieuse approbation:
Et quoy qu’elle euſt encore l’air & les rudeſſes de ſa naiſſance, & qu’elle ne fuſt point entierement deſgagée de la barbarie de ſa prouince;	Et quoi qu’elle eût encore l'air et les rudesses de sa naissance, et qu'elle ne fût point entièrement dégagée de la barbarie de sa province;
neantmoins ce grand Prince ne laiſſoit pas d’en admirer & le .	néanmoins ce grand Prince ne laissait pas d'en admirer et le .
2 – genie & les impetuoſitez:	2 § génie et les impétuosité:
Ceux qui congrand eſprit ſçait faire de toutes choſes ne feront point difficulté de prendre ceux qu’il a faits à l’aduantage de Monſieur Pichou pour des preiugez & pour des concluſions infaillibles de ſon merite:	Ceux qui congrand esprit sait faire de toutes choses ne feront point difficulté de prendre ceux qu'il a faits à l'avantage de Monsieur Pichou pour des préjugez et pour des conclusions infaillibles de son mérite:
à quoy l'on doit adiouſter la voix que toute la Cour luy a dõnée en faueur de quatre ouurages immortels, à qui noſtre Theatre doit la plus belle partie de ſes ornemens:	à quoi l'on doit ajouter la voix que toute la Cour lui a donnée en faveur de quatre ouvrages immortels, à qui notre Théâtre doit la plus belle partie de ses ornements:
ce ſont quatre Poemes Tragicomiques, dont le premier, qui porte le titre les Folies de Cardenio, fit voir en ſa premiere repreſentation celle de l’eſprit de ſon Autheur, litez requiſes à la naiſſance d’vn grand Poëte furent remarquées de tout le monde, & firent eſperer à tous les beaux eſprits de voir vn iour naiſtre de la continuation de ſes trauaux les dernieres perfections de noſtre Scene.	ce sont quatre Poères Tragicomiques, dont le premier, qui porte le titre les Folies de Cardenio, fit voir en sa première représentation celle de l'esprit de son Auteur, lités requises à la naissance d'un grand Poëte furent remarquées de tout le monde, et firent espérer à tous les beaux esprits de voir un jour naître de la continuation de ses travaux les dernières perfections de notre Scène.
Il eſt vray que l’inclination peruerſe qui porte quelques malins eſprits à la ruine de l’art & de la nature de tous ceux qui les ſurmontent, les a ſouuent portez à ſouffler leur venin contre ce premier eſſay dont ie parle, pour en obſeurcir l'eſclat, en vengeance de ce qu’il les auoit eſblouys:	Il est vrai que l'inclination perverse qui porte quelques malins esprits à la ruine de l'art et de la nature de tous ceux qui les surmontent, les a souvent portez à souffler leur venin contre ce premier essai dont je parle, pour en obseurcir l'éclat, en vengeance de ce qu'il les avait éblouis:
& pource que cette piece a eſté miſe ſous la preſſe auec vn peu trop de preà choiſir leurs meſures contre elle, & à tourner tous ſes vers au ſens que leur malice a voulu prendre.	et pource que cette pièce a été mise sous la presse avec un peu trop de préà choisir leurs mesures contre elle, et à tourner tous ses vers au sens que leur malice a voulu prendre.
Mais l’endroit où s’eſt eſpanchée toute leur animoſité, eſt la locution de ſes vers qu’ils ont accuſée de barbarie & d’vne hardieſſe trop exceſſiue, ſans ſe ſeruir aucunement de la diſcretion qu’il faut apporter au iugement de l’eloquence, laquelle ne reçoit pas moins de temperamens diuers que les matieres auſquelles elle eſt appliquée ſont differentes.	Mais l'endroit où s'est épanchée toute leur animosité, est la locution de ses vers qu'ils ont accusée de barbarie et d'une hardiesse trop excesive, sans se servir aucunement de la discrétion qu'il faut apporter au jugement de l'éloquence, laquelle ne reçoit pas moins de temperamens diuers que les matières auxquelles elle est appliquée sont différentes.
Ie ſçay bien que noſtre Autheur en liſant les bons liures des anciens s’eſtoit eſſayé de former ſon iugement & d’accommoder ſon ſtile a leuis regies.	Je sais bien que notre Auteur en lisant les bons livres des anciens s'était essayé de former son jugement et d'accommoder son style à luis régies.
que ſi .	que si .
.	.
.	.
cette ſeruitude a faict que ſa premiere façon d’eſcrire n’a pas eſté receuë de tout le monde, c’eſt ſans doute parce qu’elle n'eſt:	cette servitude a fait que sa première façon d'écrire n'a pas été reçue de tout le monde, c'est sans doute parce qu'elle n'est:
point fardée, & qu’elle n’a pas ces iuſtes conionctures que que ques Eſcriuains du temps obſeruent iuſques à la ſuperſtition.	point fardée, et qu'elle n'a pas ces justes conionctures que que ques Écrivains du temps observent jusques à la superstition.
Mais tant s’en faut que ces imaginaires defectuoſitez diminuent la beauté de ſes ouurages, qu’au contraire il ſemble qu’ils en doiuent eſtre plus charmans, d’autant que la ſimplicité de la natureia touſiours de plus violens appas que tous les deſguiſemens de l’art.	Mais tant s'en faut que ces imaginaires défectuosités diminuent la beauté de ses ouvrages, qu'au contraire il semble qu'ils en doivent être plus charmants, d'autant que la simplicité de la natureia toujours de plus violents appas que tous les déguisements de l'art.
Ce neſt pas que ie vueille deſapprouuer cette maniere de parler ſubtile, nette, remplie & copicuſe, dont tous les eſcrits de noſtre Autheur ſe treuuent pleins, ce ſeroit çhoquer ſon honneur, & d'vn dégout déraiſonnable rejetter l’artifice de ſon diſcours, dont la diction eſt à mon aduis la beauté la plus generale de ſa piece, ſous laquelle les autres perfections ont eſté ſuiuies de l’approbatiõn vniuerſelle.	Ce nest pas que nous veuille désapprouver cette manière de parler subtile, nette, remplie et copicuse, dont tous les écrits de notre Auteur se trouvent pleins, ce serait çhoquer son honneur, et d'un dégout déraisonnable rejetter l'artifice de son discours, dont la diction est à mon avis la beauté la plus générale de sa pièce, sous laquelle les autres perfections ont été suiuies de l'approbatiõn universelle.
Qui plus eſt l’on ne ſçauroit euiter les reſpects que l’on doit aux ornemens du lions qu’il plaiſt à celuy qui la manie.	Qui plus est l'on ne saurait éviter les respects que l'on doit aux ornements du lions qu'il plaît à celui qui la manie.
Seglement de n’admirer pas la pompe de l’elocution, la magnificẽce des vers, & l’eſprit qui dõne la forme à toutes les penſéés de ce rare Pocme?	Séglement de n'admirer pas la pompe de l'élocution, la magnificence des vers, et l'esprit qui donne la forme à toutes les penséés de ce rare Pocme?
Certes i'aduouë francheadmirables façons de parler, qu’on y rencontre preſque par tout, & de m’eſtre laiſſé tout à fait tranſporter à ces diuines conceptions qu’il fait naiſtre par l’eſprit d’vn inſenſé, & qui font paroiſtre ſes folies mille fois plus belles que toutes les moderations de la ſageſſe.	Certes j'avoue francheadmirables façons de parler, qu'on y rencontre presque par tout, et de m'être laissé tout à fait transporter à ces divines conceptions qu'il fait naître par l'esprit d'un insensé, et qui font paraître ses folies mille fois plus belles que toutes les modérations de la sagesse.
Ie ne parle point icy de cette œconomie iudicieuſe qui diſpoſe de l’elocution, de la penſée, & de la diſtribution des parties, pour les faire toutes aſpirer à l’accompliſſement du tout.	Je ne parle point ici de cette œconomie judicieuse qui dispose de l'élocution, de la pensée, et de la distribution des parties, pour les faire toutes aspirer à l'accomplissement du tout.
Ie ne dy rien non plus de cetté dexterité qu’il a euë d’accommoder agreablement à noſtre ACE.	Je ne dis rien non plus de ceté dextérité qu'il a eue d'accommoder agréablement à notre ACE.
heatre vn ſujet ſi farouche & ſi confus ue celuy qui luy ſert de Cataſtrophe, & ’habiller à noſtre mode le fantoſme d’vn ſpagnol.	héâtre un sujet si farouche et si confus ue celui qui lui sert de Catastrophe, et 'habiller à notre mode le fantôme d'un spagnol.
Ie laiſſe encore à part quantité autres obſeruations de peur d’ennuyer e Lecteur, pour paſſer aux autres Poemes ramatiques que noſtre Autheur a copoez en ſuite de Cardenio, l’vn a pour ſon ſuet les Auantures de Roſileon contenues ans le Roman de Mr le Marquis d’Vré, l’autre eſt cette belle Tragicomedie de ’Infidele Confidente, que l’on a veuë ſi ouüent repreſenter publiquement par les omediens de l’Hoſtel de Bourgoigne, ans laquelle ie penſe ſans mentir que la orce du iugement, la viuacité de l’eſrit, & la majeſté du langage de l’Auheur ſemblent auoir effacé toute la gloire es autres pieces que l’on auoit auparaant admirées.	Je laisse encore à part quantité autres observations de peur d'ennuyer e Lecteur, pour passer aux autres Poères ramatiques que notre Auteur a copoez en suite de Cardenio, l'un a pour son sujet les Aventures de Rosileon contenues ans le Roman de Mr le Marquis d'Vré, l'autre est cette belle Tragicomédie de YNfidèle Confidente, que l'on a vue si ouïrent représenter re pr les en de Te de Bourgoigne, ans laquelle ie pense sans mentir que la orée du ment, la viuacité de les, et la majesté du langage de lAuheur ' auoir effacé te la de es our pièces que gon y auparaant admirées,
Mais la quatrieſme & la erniere de ſes œuures c’eſt cette incom.	Mais la quatrième et la ernière de ses œuvres c'est cette incom.
arable Paſtorelle de la Filis de Scire, au euant de la quelle i’ay mis cette Preface à „ la ſollicitation de quelques perſonnes qui regnent ſouuerainement ſur mon eſprit, & auſquelles i’ay de tres-grandes obligations.	arable Pastorelle de la Filis de Scire, au vant de la quelle j'ai mis cette Préface à „ la sollicitation de quelques personnes qui règnent souverainement sur mon esprit, et auxquelles j'ai de très-grandes obligations.
C’eſt vn ouurage, ou pluſtoſt vn double chef-d’œuure compoſé d’vn Italien & d’vn François:	C'est un ouvrage, ou plutôt un double chef-d'œuvre composé d'un Italien et d'un Français:
ſon ſujet le plus diuers & le mieux imaginé qu’on ait encore veu paroiſtre, a receu ſa forme de ce grand Guidobalde, qui pour ce genre de Poeſie a merité la preferece entre tous les Poëtes Italiens, bien que peut eſtre ceux qui font les paſſionnez pour la gloire du Taſſe ne ſoient pas de noſtre party.	son sujet le plus divers et le mieux imaginé qu'on ait encore vu paraître, a reçu sa forme de ce grand Guidobalde, qui pour ce genre de Poésie a mérité la préfèrece entre tous les Poètes Italiens, bien que peut -être ceux qui font les passionnés pour la gloire du Tasse ne soient pas de notre parti.
Mais quoy qu’il en ſoit, la reſolution de ce differend n’eſtant ny de mon deſſein ny de mon intereſt, ie paſſe outre pour aduertir le lecteur qu’eſtant il y a plus de quatre ans dans la ville de Grenoble, lieu de ma naiſſance & de mon education, Monſieur Lagneau, dont l’eſprit eſt ſans mentir l’vn des plus polis & des plus vniuerſels de ce Royaume, me fit la faueur de m’apprẽdre ce que valloit cette excellente piece, & TRERFACE.	Mais quoi qu'il en soit, la résolution de ce différend n'étant ici de mon dessein ny de mon intérêt, une passe outre pour avertir le lecteur qu'étant il y a plus de quatre ans dans la ville de Grenoble, lieu de ma naissance et de mon éducation, Monsieur Lagneau, dont l'esprit est sans mentir l'un des plus polis et des plus universels de ce Royaume, me fit la faveur de m'apprendre ce que vallait cette excellente pièce, et TRERFACE.
apres me l’auoir fait connoiſtre dans l’eſclat de ſes ornemens naturels, il me la fit voir en noſtre langue dans vne verſion de proſe, où les beautez du langage & des penſées de l’original eſtans heureuſement coſeruées, me dõnerent le deſir de la communiquer à mes amis, & particulierement à Mr Pichou, à qui ie la propoſay comme vn des excellens modelles qu’il deuoit regarder au meſtier qu’il auoit entrepris:	après me l'avoir fait connaître dans l'éclat de ses ornements naturels, il me la fit voir en notre langue dans une version de prose, où les beautés du langage et des pensées de l'original est heureusement coseruées, me dõnerent le désir de la communiquer à mes amis, et particulièrement à Mr Pichou, à qui ie la proposai comme un des excellents modères qu'il devait regarder au métier qu'il avait entrepris:
& pour luy en faire conceuoir vne plus parfaite idée, ie luy conſeillay de l’accommoder à noſtre mode pour conuaincre d’erreur ceux qui reprouuent les regles qui s’y treuuent iuſtement obſeruées, & quiles prennent pour des pechez contre la bienſeance de noſtre Theatre.	et pour même en faire concevoir une plus parfaite idée, ie tu conseillai de l'accommoder à notre mode pour convaincre d'erreur ceux qui réprouvent les règles qui s'y trouvent justement observées, et quiles prennent pour des péchés contre la bienséance de notre Théâtre.
Ce qui luy a ſuccedé depuis ſi fauorablement, que les meilleurs eſprits de la Court en ont eſté rauis.	Ce qui était a succédé depuis si favorablement, que les meilleurs esprits de la Court en ont été ravis.
