RAPINIER OU L'INTERESSE', COMEDIE.	RAPINIER OU L'INTERÈSSE', COMÉDIE.
A celà, je réponds que l’Italie eſt le Berceau & l’Academie des Impoſts;	À celà, je réponds que l'Italie est le Berceau et l'Académie des Impôts;
qu'il n’y a point d’Etat dans l’Europe, où ils ſe payenc avec tant d’éxactitude, & que s’ils avoient leu le Chapitre des Richeſſes de Geuci, iis y auioient yeu que * des moindres choſas qui entrent daus Genes, priſes des Iardins & des Vignes, on en paye le drit au Prinee & à la Seignaurie.	qu'il n'y a point d'État dans l'Europe, où ils se païens avec tant d'éxactitude, et que s'ils avaient lu le Chapitre des Richesses de Geuci, jis y aviaient yeu que * des moindres chosas qui entrent daus Génes, prises des Jardins et des Vignes, on en paye le drit au Prine et à la Seignaurie.
2 Deviti chp.	2 Deviti p.
de Genes.	de Génes.
AR grace & Privilege du Roy, donné à v Y ſailles le i7.	AR grâce et Privilège du Roi, donné à v Y sailles le j7.
Decembre 1682.	Décembre 1682.
Signé, Par le R en ſon Conſeil, D’ALENCS', & ſcellé.	Signé, Par le R en son Conseil, D'ALENCS, et scellé.
Il eſt perm au ſieur de Barquebois, de faire imprimer une Pie de Theatre, intitulé, Monſieur la Rapiniere l'Intereſsé :	Il est perm au sieur de Barquebois, de faire imprimer une Pie de Théâtre, intitulé, Monsieur la Rapinière l'Intéressé :
Et défenſes ſont faites à toutes ſortes perſennes de l’imprimer, vendre ni debiter, ſin ceux qui auront droit de luy, & ce pendant l’eſpa de ux amces, A peie de ma iivres d’amehde, & 2 tres peines portées par ledit Privilege.	Et défenses sont faites à toutes sortes persennes de l'imprimer, vendre ni débiter, sin ceux qui auront droit de Seigneur, et ce pendant l'espa de ux amces, A péie de ma jivres d'âmehde, et 2 très peines portées par ledit Privilège.
Regiſtré ſur le Livre de la Communauté, Ie vmgtiét Ianvier 1683.	Registré sur le Livre de la Communauté, Je vmgtiét Janvier 1683.
Signé, C.	Signé, Ç.
ANGOT, Syndic.	ANGOT, Syndic.
Et ledit ſieur de Barquebois a cédé ſon Privileg à ESTIINNE LucAS Marchand Libraire, pour e joüir ſuivant l’accord fait entre eux.	Et ledit sieur de Barquebois a cédé son Privilèg à ESTINE LucAS Marchand Libraire, pour eu joüir suivant l'accord fait entre eux.
ACTEURS.	ACTEURS.
M.	M.
LARAPINIERE, Fermier général des drolts- Ce e ee de Eenes l Es Leonore, tuteur du frere & de la ſœur.	LARAPINIÈRE, Fermier général des drolts- Ce eût ès de Énes Es Leonore, tuteur du frère et de la sœur.
DORAN TE, neit de Leouole, auaut d’Iſabelle.	DORAN TE, neit de Leouole, auaut d'Isabelle.
LRONURE, ſœur de Dorante, amante de .	LRONURE, sœur de Dorante, amante de .
Fernand.	Fernand.
FERNAND, frere d’Iſabelle, amant de LéoLo	FERNAND, frère d'Isabelle, amant de LéoLo
ASADELLE, lœur de reluaud, amante de t.	ÀSADELLE, lœur de reluaud, amante de t.
Dolamte.	Dolâte.
M.	M.
LA PLANC, leus-Fefmier.	LA PLANC, lus-Fefmier.
BEATRIX, ſuivante de Léonore.	BEATRIX, suivante de Léonore.
TA ROCHE, Commis de M.	TA ROCHE, Commis de M.
la Rapiniere.	la Rapinière.
JASMIN, valet de Feruand, & Commis de Eas la Rapſseles	JASMIN, valet de Fervand, et Commis de Eas la Rappsseles
MASCARTLLE, autre valet de Fernand.	MASCARTLLE, autre valet de Fernand.
LA FLEUR, Sergent de la Compagnie de Fernand.	LA FLEUR, Sergent de la Compagnie de Fernand.
LE CLERC du Notaire.	LE CLERC du Notaire.
UN CROCHETEUR.	UN CROCHETEUR.
OLIVE, blanchiſſeuſe.	OLIVE, blanchisseuse.
UNE PAYSANE.	UNE PAYSANE.
La Scene eſt à l’une des Pertes de Gines.	La Scène est à l'une des Pertes de Gines.
LA AATIRVRENE OU ETEVEERESUL	LA AATIRURENE OÙ ETEVEERESUL
CDMEDAE trs[Reratstιabret,uMItVIlXεIεT;	CDADAE trs[Reratstιabret,uMItVIlXεIεT;
TI 4 T 2 1	TY 4 TOmm 1
SOENE INEMTERE, FERNAND, DORANTE.	ZONE INEMTERE, FERNAND, DORANTE.
FERNAND.	FERNAND.
Ur, puiſqu’ainſi pour moy vous voulez vous commettre, Avee un tel ſecours j’oſe tout me promettre:	Or, puisqu'ainsi pour moi vous voulez -vous commettre, Avée un tel secours j'ose tout me promettre:
D'un bizare ruteur les tiupoiti outrageaus Céderont aux eſfonts de ves ſoins obligeaus, Et je ſeus que mon cœur auimé d’eſpérance S'en ſait ſecrGement un plaiſir par avance.	D'un bizare ruteur les tiupaiti outrageaus Céderont aux éfonts de vez soins obligeaus, Et je zeus que mon cœur auimé d'espérance S'en sait seGement un plaisir par avance.
A	À
DORANTE.	DORANTE.
Fernand je ſuis ravy, pour répondre à vos vœuxQu'uue pareille ardeur nous enflamme tous deux, Que nôtre ſang d’accord avec l'emour conſpire A nous donner les biens, où cette ardeur aſpire, Et que pour affetmir encor nôtre amitié, Ils travaillent tous deux aujouid’huy de moitié, Vous aimez Leonore & moy j’aime Iſabelle, L'une & l’autre à nos yeux paroiſt aimable & belle, lr peipelc que l'une au plus tala dans demain Pourra m’acquérir l’autre, en vous donnant la main.	Fernand je suis ravi, pour répondre à vos vœuxQuve pareille ardeur nous enflamme tous deux, Que notre sang d'accord avec l'emour conspire À nous donner les biens, où cette ardeur aspire, Et que pour affetmir encor notre amitié, Ils travaillent tous deux aujouid'hui de moitié, Vous aimez Leonore et moi j'aime Isabelle, L'une et l'autre à nos yeux paraît aimable et belle, lr peipelc que l'une au plus tala dans demain Pourra m'acquérir a, en vous donnant la main.
FERNAND.	FERNAND.
Dorante cependant, Mouſieur la Rapiniere &e du daudemllssse ammase ?	Dorante cependant, Mousieur la Rapinière été du daudemllssse amase ?
Et dequoy qu’aujourd’huy mon cœur t’oſe flatter, Quand je ſonge qu’il eſt.	Et dequoy qu'aujourd'hui mon cœur t'ose flatter, Quand je songe qu'il est.
DORANTE.	DORANTE.
Il n’en faut point douter, Le pouvoir que ſur nous luy laiſſa noſtre mere, De diſpoſer de nous comme ſeroit un pere, M’a fort embaraſſé depuis un certain tems;	Il n'en faut point douter, Le pouvoir que sur nous lui laissa notre mère, De disposer de nous comme serait un père, M'a fort embarrassé depuis un certain -temps;
Mais de venu majeur, deſormais je prétens Du deſtin de ma ſœur être à mon tour l’arbitre:	Mais de venu majeur, désormais je prétends Du destin de ma sœur être à mon tour l'arbitre:
Le ſang & mon crrloy m’en donnent un bon titre.	Le sang et mon crois m'en donnent un bon titre.
Nous avons dos amis, & ſur ce teſtament Le Sénat nous rendra juſtice aſſurément, Tout ce que j’appréhende, eſt que ſi l’on l’irrite, Il ne donne ſon bien.	Nous avons dos amis, et sur ce testament Le Sénat nous rendra justice assurément, Tout ce que j'appréhende, est que si l'on l'irrite, Il ne donne son bien.
& ne nous dethérite	et ne nous dethérite
FIRNAND.	FIRNAND.
Hé.	Hé.
, Monſieur, qu’avez-vous affaire de ſon bien i Vous en avez aſſez, fans attendre le ſien.	, Monsieur, qu'avez-vous affaire de son bien y Vous en avez assez, sans attendre le sien.
Faut-il quà ces égards [vôtre raiſon s’applique à Déja vouitenez rang dans cette Républiquen Et Genes quelque jour ſçaura mieux auite!	Faut-il quà ces égards [votre raison s'applique à Déjà vouitenez rang dans cette Républiquen Et Genes quelque jour saura mieux avite!
De ce qu'un pere & voul avez ſel mériter, isdintg	De ce qu'un père et voul avez sel mériter, isdintg
DORANTE.	DORANTE.
D’un ſi frivole eſpoir je ne ſuis point capable, Et ce n’eſt point ce ſoin aujourd’huy, qui m’accable.	D'un si frivole espoir je ne suis point capable, Et ce n'est point ce soin aujourd'hui, qui m'accable.
Les ſervices d’un mort ſont bien-toſt effacez, Et les miens ſont aſſez déjà recompenſez.	Les services d'un mort sont bientôt effacés, Et les miens sont assez déjà récompensez.
Je ſonge à ménager un tuteur trop avare;	Je songe à ménager un tuteur trop avare;
Mais il eſt de venu ſi dur & ſi bizare, Depuis qu’en ſes conſeils, certain Monſieur Griffon L’anime, comme luy, de l’eſprit du Démon;	Mais il est de venu si dur et si bizare, Depuis qu'en ses conseils, certain Monsieur Griffon L'anime, comme lui, de l'esprit du Démon;
D’un tel original imitateur fidele, Il ſe compoſe en tout, ſur ce méchant modele.	D'un tel original imitateur fidèle, Il se compose en tout, sur ce méchant modèle.
Le titre faſtueux de Fermier Général Le rend de jour en jour mille fois plus brutal:	Le titre fastueux de Fermier Général Le rend de jour en jour mille fois plus brutal:
Il ne veut, voir perſonne, & ſon abord farouche Glace les plus hardis, & leur ferme la bouche.	Il ne veut, voir personne, et son abord farouche Glace les plus hardis, et leur ferme la bouche.
Il donne en certains jours, per un faſte inoüy, Comme un homme d’Etat, audience chez luy.	Il donne en certains jours, per un faste inoüy, Comme un homme d'État, audience chez lui.
La, d’un grave maintien, & d’un regard ſauvage, Il reçoit des Commis les reſpects & l’hommage:	La, d'un grave maintien, et d'un regard sauvage, Il reçoit des Commis les respects et l'hommage:
1 brt cee geus, comte autant de captils.	1 brt ece geus, compte autant de captils.
Tous ſes mots ſont autant d’Arrêts définitifs.	Tous ses mots sont autant d'Arrêts définitifs.
Les préſens ſont chez luy les patrons & les guides, Et'on noit vemr luy pafler, les mains vdides.	Les présents sont chez nom les patrons et les guides, Eton noit vemr était pafler, les mains védides.
FERNAND.	FERNAND.
Mais comment vôtre mere a-t’elle pû choiſir Cet homme ?	Mais comment votre mère a-t-elle pu choisir Cet homme ?
DORANTE.	DORANTE.
Il êtoit ſeul fait ſelon ſon deſir.	Il était seul fait selon son désir.
Cttoit ſon bon parent, prudent, ſage, œconome, Et jamais à ſon gout, ne fut plus honnete homme.	Cttait son bon parent, prudent, sage, œconome, Et jamais à son goût, ne fut plus honnête homme.
Luy ſeul ſur ſon eſprit avoit quelque pouvoir.	Lui seul sur son esprit avait quelque pouvoir.
Vous ne ſçavez pourquoy?	Vous ne savez pourquoi?
FERNAND.	FERNAND.
Non.	Non.
DORANTE.	DORANTE.
Vous l’allez ſçavoir:	Vous l'allez savoir:
Par là, de ſa famille elle ſe montroit digne, Fille de Partiſan, mais partiſan inſigne, Dont l’eſprit inquiet mettoit tour ſon repos A faire des partis, & forger des impoſts, Et dont le cœur avare & l'ame de vorante, Dans vingt ans épargna vingt mil écus de rente:	Par là, de sa famille elle se montrait digne, Fille de Partisan, mais partisan insigne, Dont l'esprit inquiet mettait tour son repos A faire des partis, et forger des impôts, Et dont le cœur avare et l'âme de vorante, Dans vingt ans épargna vingt mil écus de rente:
Fille unique, en un mor c’étoit un grand party.	Fille unique, en un mór c'était un grand parti.
J’entens.	J'entends.
ABAAR.	ÀBAR.
D.	D.
DORANTE.	DORANTE.
Mon pere fut en ſeeret averty, Que le ſien redoutant les Syndics de l’Office, Quelque taxe, un exil, ou peut-être un ſupplice, Souhaittoit prudemment, pour en parer les coups, Dans les gens de ſaveur luy choiſir un époux.	Mon père fut en seèret averti, Que le sien redoutant les Syndics de l'Office, Quelque taxe, un exil, ou peut-être un supplice, Souhait prudemment, pour en parer les coups, Dans les gens de saveur lui choisir un époux.
Vous ſçavez qu’il étoit d’une famille illuſtre;	Vous savez qu'il était d'une famille illustre;
Des ſervices encor en augmentoſent le luſtie;	Des services encor en augmentosent le lustie;
Mais les biens qu’il avoit reçeus de ſes parens, Pour ſon ambition n’étoient pas aſſez grands,	Mais les biens qu'il avait reçus de ses parents, Pour son ambition n'étaient pas assez grands,
FERNAND.	FERNAND.
Beaucoup d’honnêtes gens ont ce malheur.	Beaucoup d'honnêtes gens ont ce malheur.
DORANTE.	DORANTE.
Mon Pere Etant en cet état, épouſa donc ma mere, Préférant l’intérèt à la naiſſance, au ſang, Afin d’avoir dequoy ſoûtenir mieux ſon rank.	Mon Père Étant en cet état, épousa donc ma mère, Préférant l'intérèt à la naissance, au sang, Afin d'avoir dequoy soutenir mieux son rank.
Il fut bieu-toſt aprés Gouverneur de Savonne, Puis de Corſe, & par tout payant de ſa perſonne, Des Galeres enſuite, il fut fait Général, Er l'on parloit déjà de le faire Admiral, 2 Quand un coup impré veu, de nos deſtins contraires, Luy ſit trouver la mort en ſuivant des Corſaires.	Il fut bieus-tôt après Gouverneur de Savonne, Puis de Corse, et par tout payant de sa personne, Des Galères ensuite, il fut fait Général, Er l'on parlait déjà de le faire Admiral, 2 Quand un coup impré vu, de nos destins contraires, Lui sit trouver la mort en suivant des Corsaires.
Ma mere dont les ſoins ne tendoient qu’à gagner, Ee dont les entretiens n’etoient que d’épargner, Buc un veurage courg:	Ma mère dont les soins ne tendaient qu'à gagner, Ee dont les entretiens n'étaient que d'épargner, Buc un veurage courg:
daus Ia cin quilme annte Elle vid tont à coup trancher ſa deltince, 1 Et pour comble de maux, nous donna pour tuteur Monſieur la Rapiniere.	daus Ja cin quilme annte Elle vit tont à coup trancher sa déltince, 1 Et pour comble de maux, nous donna pour tuteur Monsieur la Rapinière.
FERNAND.	FERNAND.
An juite ciel ;	An juite ciel ;
DORANTE.	DORANTE.
Ma ſœur Fut dans ce teſtament la plus intéreſſée;	Ma sœur Fut dans ce testament la plus intéressée;
Car elle la ſoûmit à l’humeur in enſée Du brutal, luy donnant ſur elle un plein pouvoir, Voulut qu’il prît luy ſeul le ſoin de la pourvoir;	Car elle la soumit à l'humeur in ensée Du brutal, était donnant sur elle un plein pouvoir, Voulut qu'il prît avait seul le soin de la pourvoir;
Et pour pouſſer enfin, T'erfeur juſqu’à l’ertréme.	Et pour pousser enfin, T'erfeur jusqu'à l'ertrême.
Qu’il eût encor le choix de l’épouſer luy-même.	Qu'il eût encor le choix de l'épouser Elle-même.
FERNAND.	FERNAND.
O Dieux!	Ô Dieux!
vid-on jamais plus grand aveuglement?	vit-on jamais plus grand aveuglement?
Hé, ne pourroit-on pas caſſer ce teſtament?	Hé, ne pourrait-on pas casser ce testament?
DORANTE.	DORANTE.
Coniment ?	Coniment ?
de nos parens n’eſt-il pas le plus pieche, Par ſa femme?	de nos parents n'est-il pas le plus pièche, Par sa femme?
FERNAND.	FERNAND.
Il eſt vray;	Il est vrai;
mais eſt-il ſans reproche?	mais est-il sans reproche?
Et le Sénat peut-il authoriſer ce choix?	Et le Sénat peut-il autoriser ce choix?
Mais dites moy, ſon nom marque qu’il eſt François.	Mais dites -moi, son nom marque qu'il est Français.
DORANTE.	DORANTE.
Il eſt vray, c’eſt un poinct encore que j’oublie.	Il est vrai, c'est un point encore que j'oublie.
Depuis vingtans, au plus, il eſt en Itelie:	Depuis vingtants, au plus, il est en Itelie:
Ne pouvant demeurer en France en liber.	Ne pouvant demeurer en France en liber.
é, Il vint icy chercher un lieu de ſûreté.	é, Il vint ici chercher un lieu de sûreté.
H *4Re- ouoyeu rrej de pios, ceit qu'on dit que ſon pere De Baſſe-Normandie etoit originaire, Qu’il s’étoit fait Prevoſt de la ville du Mans;	H H*4Re-être ouïeu réjà de pios, ceit qu'on dit que son père De Basse-Normandie était originaire, Qu'il s'était fait Prévôt de la ville du Mans;
Ainſi tous ſes parens ſont Manceaux ou Normans.	Ainsi tous ses parents sont Manceaux ou Normands.
πυίπαπεα	πυίπαπεα
iij	jij
FERNAND.	FERNAND.
Comment?	Comment?
il eſt donc fils de ce la Rapiniere Dont je liſois eucor la ſemaine derniere La ridicule hiſtoire & la haute valeur?	il est donc fils de ce la Rapinière Dont je lisais eucor la semaine dernière La ridicule histoire et la haute valeur?
Je ne m’étonne plus, étant fils de voleur, &A aime tant apieidle.	Je ne m'étonne plus, étant fils de voleur, ETA aime tant apieidle.
DORANTE.	DORANTE.
Enfin ouy, c’eſt luy-même.	Enfin oui, c'est lui-même.
Je me ſuis rois en tête un cerrain ſtratageme.	Je me suis rois en tête un cerrain stratagème.
Mac eu da caaces Mula ausaus auua Et qui puiſle.	Mac eu da caaces Mula ausaus auva Et qui puisle.
FERNAND.	FERNAND.
Ouy, j’ay là Maſcarille & Jaſmin, Qui ſont tous deux adroits, autant que l’on puiſſe être.	Oui, j'ai là Mascarille et Jasmin, Qui sont tous deux adroits, autant que l'on puisse être.
Appellez-les.	Appelez-les.
DORANTE.	DORANTE.
FERNAND.	FERNAND.
Juuans, cuulcuisas	Juants, cuulcuisas
SCENE II.	SCÈNE II.
FERNAND, DORANTE.	FERNAND, DORANTE.
MASCARILLE, IASMIN.	MASCARILLE, YASMIN.
MASCARILLE.	MASCARILLE.
MOn Maitie:	MOn Maitie:
Le d do Dy-done Adonfieur, beneſt, & connois ton erreur.	Le d do Dis-done Adonfieur, benest, et connais ton erreur.
En ſe sie estec queesues dsers Mon Maître, il eſt aiſé de voir à ton langage Que tu viens de quirter ſralchement ton Village.	En se siè estec queesues dsers Mon Maître, il est aisé de voir à ton langage Que tu viens de quirter salchement ton Village.
MASCARILLE.	MASCARILLE.
Pourqeoy?	Pourqeoi?
mes Maitre, H bien, ne l’eſt-il pas?	mes Majaitre, HÉ bien, ne l'est-il pas?
JASMIN.	JASMIN.
D’accerd.	D'accerd.
MASCARILLE.	MASCARILLE.
De l'appeſer ain, je n'ay done pas gimuu tort.	De l'apper ain, je n'ai done pas gimu tort.
ASMIN.	ASMIN.
Tu dols parlant à luy, dire Monſieur;	Tu dols parlant à lui, dire Monsieur;
aux autres, Parlant de luy, mon Maitre.	aux autres, Parlant de Seigneur, mon Majaitre.
FERNAND à Dorante.	FERNAND à Dorante.
He bien?	He bien?
DORANTE.	DORANTE.
Les bons Apôtres!	Les bons Apôtres!
Ma foy, ces deux garçons valent leur pelant d’or.	Ma foi, ces deux garçons valent leur pelant d'or.
Sçais-tu bien écrire.	Sais-tu bien écrire.
JASMIN.	JASMIN.
Ouy:	Oui:
Car deffunt Barbedor Fameux Maître à Paris, fut parrain de mon Perey et de pius con amj;	Car défunt Barbedor Fameux Maître à Paris, fut parrain de mon Pèrey et de pius con amj;
dit-on;	dit-on;
de ma giano mere.	de ma giano mère.
DORANTE.	DORANTE.
Ah!	Ah!
c’eſt aſſez, pour être un célebre écrivain.	c'est assez, pour être un célèbre écrivain.
ASMIN.	ASMIN.
On m’a dit que mon pere apprit de ſon parrain, Qu'il ſe rendit expert, ſçavoit l'Arithmétique, Parloit fort bien Latin, entendoit la pratique, Ayant écrit long tems dans un des Châtelers, aat itavoit tous les tonis que Ton iau au Palais.	On m'a dit que mon père apprit de son parrain, Qu'il se rendit expert, savait l'Arithmétique, Parlait fort bien Latin, entendait la pratique, Ayant écrit long temps dans un des Châtelers, àat itavait tous les tonis que Ton jau au Palais.
Or, eomne un ſils bien né tient coſjours de ſen spere, Jugez par-a, Monſieur, de ce que je ſçay ſaire.	Or, eomne un sils bien né tient cosjours de sen spère, Jugez par-a, Monsieur, de ce que je sais zaïre.
DORANTE.	DORANTE.
On peut ſainer ies biens iai les penecuods, Et ſouvent certe regle a des exceptions.	On peut sainer jes biens jai les pénécuods, Et souvent certe règle a des exceptions.
M.	M.
M Iiv.	M Iiv.
Il eſt vray;	Il est vrai;
mais on peur être fair de maniere, Que l'eſprit.	mais on peur être fair de manière, Que l'esprit.
DORANTE.	DORANTE.
Connois-te Monſieur la Rapiniere!	Connais-te Monsieur la Rapinière!
43247 'ASMIN.	43247 'ASMIN.
Ce Paitiſin, chez qui vous demeurez.	Ce Paitisin, chez qui vous demeurez.
12	12
DORANTE.	DORANTE.
Ouy.	Oui.
JASMIN.	JASMIN.
Non.	Non.
l'en connois ſeulement la demeure & le nomPour avoir quelqueſois par l’ordre de mon Maître, Eté vous y trouver, ce que j’en puis connaître.	l'en connais seulement la demeure et le nomPour avoir quelquesois par l'ordre de mon Maître, Eté vous y trouver, ce que j'en puis connaître.
Deplus, c’eſt ſon renom d’inſigné maltoſtier, Er de Feſſe-mathieu, c’eſt à dire uſurier, [che, D'etre en argent comptant un Créſus, mais plus chiEt plus vilain cent fois encore qu’il n’eſt riche.	Déplus, c'est son renom d'insigné maltôtier, Er de Fesse-mathieu, c'est à dire usurier, [che, D'être en argent comptant un Crésus, mais plus chiEt plus vil cent fois encore qu'il n'est riche.
Mais pardon, car peut-être eſt-il de vos amis.	Mais pardon, car peut-être est-il de vos amis.
DORANTE.	DORANTE.
Je te veux aujourd'huy faire un de ſes Commis,	Je te veux aujourd'hui faire un de ses Commis,
ASMINe.	ASMINe.
De ſes Commis, Monſieur?	De ses Commis, Monsieur?
quoy, de cep rata de caves?	quoi, de cep rata de caves?
DORANTE.	DORANTE.
Non,non, de ces Commis qui ſont toûjours ſi braves, Qui reçoivent l’argent, & qui dans leur Bureau Sont ſi fiers, qui jamais ne touchent le chapeau, Quand on vient leur parler, & qui font moins de compte.	Non,non, de ces Commis qui sont toujours si braves, Qui reçoivent l'argent, et qui dans leur Breau Sont si fiers, qui jamais ne touchent le chapeau, Quand on vient leur parler, et qui font moins de compte.
Gomte, D'un homme comme moy, d'un Marquis & d’un Dont ils ſont quelquefois au beſoin careſſez, Que du moindre laquais de leurs Intéreſſez.	Gomte, D'un homme comme moi, d'un Marquis et d'un Dont ils sont quelquefois au besoin caressez, Que du moindre laquais de leurs Intéressez.
Qui deviennent Termiors au Bail ſuivant.	Qui deviennent Termiors au Bail suivant.
JASMIN.	JASMIN.
La peſte:	La peste:
E combien par annće aurai-je bien de reſte?	E combien par année aurai-je bien de reste?
DORANTE.	DORANTE.
Pour leurs appointomens, on leur donne, dit on, Huit cens livres au moins, & le tour du baton, ?	Pour leurs appointements, on leur donne, dit on, Huit cens livres au moins, et le tour du bâton, ?
Ce ſont certains proſits qu'on reçoit en cachette, Dont l’on ne chatgepoint le livre de recepte, leut ſouvent encor trois ſois autans.	Ce sont certains prosits qu'on reçoit en cachette, Dont l'on ne chatgepoint le livre de recette, lut souvent encor trois sois autans.
JASMIN.	JASMIN.
Mais de cecy mon Maître, eſt-il bien conſentant?	Mais de ceci mon Maître, est-il bien consentant?
Monſieur, qu’en dites-vous?	Monsieur, qu'en dites-vous?
FERNAND.	FERNAND.
Va, laiſſe-toy conduiree	Va, laisse-toi conduire
DORANTE.	DORANTE.
Suy-moy, vien, & de tout j’aurai ſoin de t'inſtruire,	Sui-moi, viens, et de tout j'aurai soin de t'instruire,
SCENE III.	SCÈNE III.
FERNAND, MASCARILLE,	FERNAND, MASCARILLE,
FERNES.	FERNES.
L.	L.
UEL deſſein peut avoir Dorante en tout ceey?	OÙEL dessein peut avoir Dorante en tout ceéi?
MASCARILLE.	MASCARILLE.
