A ROLEI.	À ROLEI.
Ouï, Madame, c’eſt le lieu où l’on en debite le plus, tous les Avocats ſans cauſes les Procureurs ſans pratiques & les Solliciteurs de Procés, ſont tous autant dé Nouvelliſtes.	Ouï, Madame, c'est le lieu où l'on en débite le plus, tous les Avocats sans causes les Procureurs sans pratiques et les Solliciteurs de Procès, sont tous autant de Nouvellistes.
Mais je viens d’apprendre, Madame, que vous attendiez le retour d’un Frere que vous avez à l’Armée?	Mais je viens d'apprendre, Madame, que vous attendiez le retour d'un Frère que vous avez à l'Armée?
ANGELIQUE.	ANGELIQUE.
Ouï, Madame, mon cadet, qui eſt Cornette de Dragons.	Ouï, Madame, mon cadet, qui est Cornette de Dragons.
Me SIMONET.	Me SIMONET.
Vôtre cadet, Madame!	Votre cadet, Madame!
comment être ſi jeune dans le Service!	comment être si jeune dans le Service!
que cela eſt joli!	que cela est joli!
Oh bien, bien, quand je ſerai remariée ce qui arrivera bien toſt, ſi j’ai des Enfans comme jertipere, j'en ferunde peſits Officiers de bonne heure.	Oh bien, bien, quand je serai remariée ce qui arrivera bien tôt, si 'ai des Enfants comme jertipère, j'en ferunde pesits Officiers de bonne heure.
MARTON.	MÁRTON.
Voilà qui eſt bien loüable, Madame, de vous marier ainſi pour le Ser vice du Roy, il faudra vous faire coucher ſur l’Etat	Voilà qui est bien louable, Madame, de vous marier ainsi pour le Ser vice du Roi, il faudra vous faire coucher sur l'État
Me SIMONET.	Me SIMONET.
Nous verrons.	Nous verrons.
J’attens le Quartier d’Hyver avec impatience.	J'attends le Quartier d'Hiver avec impatience.
ANGELIQUE.	ANGELIQUE.
C’eſt la belle ſaiſon pour les plaiſirs, rout le monde ſe raſſemble, on ne voit par tout briller qu’Officiers, tous mieux faits & plus propres les uns que les autres;	C'est la belle saison pour les plaisirs, rout le monde se rassemble, on ne voit par tout briller qu'Officiers, tous mieux faits et plus propres les uns que les autres;
l’Eſte eſt bien languiſſant là contre, Madame.	l'Este est bien languissant là contre, Madame.
Mte SIMONET.	Mte SIMONET.
L’Eſté eſt maintenant une ſaiſon bien ſterile pour les amours!	L'Été est maintenant une saison bien stérile pour les amours!
quelle diſette d’Amants, point d’Officiers, bon Dieu !	quelle disette d'Amants, point d'Officiers, bon Dieu !
point d’Officiers, peut-on vivre ſans cela!	point d'Officiers, peut-on vivre sans cela!
Helas!	Hélas!
ſans les Promenades, les Cadeaux, le Jeu & les Spactacles, on ſe cheroit.	sans les Promenades, les Cadeaux, le Jeu et les Spactacles, on se cherait.
MARTON à part Les Coquettes, auſſi bien que les Troupes, ont beſoin de Quartier de rafraichiſſeent.	MÁRTON à part Les Coquettes, aussi bien que les Troupes, ont besoin de Quartier de rafraichisseent.
ANGELIQUE.	ANGELIQUE.
Ah, Madame, pendant la Guerre, vive le Quartier d’Hyver.	Ah, Madame, pendant la Guerre, vive le Quartier d'Hiver.
MARTON.	MÁRTON.
Sur tout pour celles qui comme vous ont uiniimiancen campagne, & quin’attendent que le retour pour être mariées.	Sur tout pour celles qui comme vous ont uiniimiancen campagne, et qu'attendent que le retour pour être mariées.
Me SIMONET.	Me SIMONET.
Mariée!	Mariée!
ferions nous bien ce petit coup d’épée là en même temps, Madame?	ferions nous bien ce petit coup d'épée là en même temps, Madame?
AAR ON.	AAR ON.
Vous épouſerez donc Monſieur de la Richardiere?	Vous épouserez donc Monsieur de la Richardière?
Me SIMONET.	Me SIMONET.
On voudroit bien m’engager avec lui, mais.	On voudrait bien m'engager avec lui, mais.
ANGELIQUE.	ANGELIQUE.
Qui peut vous empêcher, Madame?	Qui peut vous empêcher, Madame?
Me SIMONET.	Me SIMONET.
Ad.	Ad.
ind cheic.	ind cheic.
MARTON.	MÁRTON.
Qu’avezovous à ſoûpirer, Madâme, Mr dẽ la Richardiere eſt un Financier bien riche.	Qu'avezovous à soupirer, Madâme, Mr dien la Richardière est un Financier bien riche.
Me SIMONET.	Me SIMONET.
Ce n’eſt pas la richeſſe qui me fait ſoupirer, Marton.	Ce n'est pas la richesse qui me fait soupirer, Marton.
MARTON.	MÁRTON.
C’eſt pourtant un endroit bien ſenſible, Madame.	C'est pourtant un endroit bien sensible, Madame.
2	2
Me SIMONET.	Me SIMONET.
Ouï, pour des cœurs ſans delicateſſes;	Ouï, pour des cœurs sans délicatesses;
mais les belles paſſions.	mais les belles passions.
MARTON.	MÁRTON.
Ma ſoi, Madame, les plus belles n’ont point aujourd’hui d’autre fondement.	Ma soi, Madame, les plus belles n'ont point aujourd'hui d'autre fondement.
Me SIMONET.	Me SIMONET.
Quelles paſſione!	Quelles passione!
quelle inſenſibilité de goût!	quelle insensibilité de goût!
quel intereſſement de tendreſſe!	quel intéressement de tendresse!
Ah ce n'eſt pas là où je prétens m’attacher, &.	Ah ce n'est pas là où je prétends m'attacher, et.
ANGELIQUE.	ANGELIQUE.
Voudriez-vous encor un Homme de RoDe, hauaine e	Voudriez-vous encor un Homme de RoDe, havaine 
Me SIMONET.	Me SIMONET.
J’en ſuis Veuve, Dieu merci, & ſi jamais.	J'en suis Veuve, Dieu merci, et si jamais.
MARTON Madame a le cœur martial, & veut tâter de l’épée.	MÁRTON Madame a le cœur martial, et veut tâter de l'épée.
Me SIMONET.	Me SIMONET.
Mon Eſtoil e me donne un penchant naturel pour les Guerriers.	Mon Étoil e me donne un penchant naturel pour les Guerriers.
ANGELIQUE, Ces Meſſieurs ſont les Favoris de Mars & de l’Amour.	ANGELIQUE, Ces Messieurs sont les Favoris de Mars et de l'Amour.
TARTON.	TARTON.
Et les Heros de la galanterie;	Et les Héros de la galanterie;
une amourette ne languit point a vec eux:	une amourette ne languit point a vec eux:
ils bruſquent le temps inutile, parene lur rovemre aux formalitez, & marchent droit à l’occaſion.	ils brusquent le temps inutile, parène lur rovemre aux formalités, et marchent droit à l'occasion.
Me SIMONET.	Me SIMONET.
Tu les connois, je le voi bien,	Tu les connais, je le voi bien,
MARTON.	MÁRTON.
L’experience m’a rendu ſçavante, Madame, & je devine à vos manieres nobles & heroïques, que vous en aimez quelqu’un?	L'expérience m'a rendu sçavante, Madame, et je devine à vos manières nobles et héroïques, que vous en aimez quelqu'un?
MC EIMIONET.	MC IMIONET.
Ah, Marton, tu devines juſte, & .	Ah, Marton, tu devines juste, et .
MARTON.	MÁRTON.
Oh, oh!	Oh, oh!
je me connois en phiſionomies amoureuſes moi, Madame;	je me connais en physionomies amoureuses -moi, Madame;
tenez ir je vous regardois fixement là entre les deux yeux, je vous dirois de certaines choſes.	tenez ir je vous regardais fixement là entre les deux yeux, je vous dirais de certaines choses.
Me SIMONET.	Me SIMONET.
Ah!	Ah!
Marthon, ne me regarde pas, tu me ferois rougir.	Marthon, ne me regarde pas, tu me ferais rougir.
Je ſuis ſi timide, ſi timide, Madame, le pauvre enfant, je lui ai fait ſigner une promeſſe de mariage ſans qu’il s’en ſoit apperçû.	Je suis si timide, si timide, Madame, le pauvre enfant, je lui ai fait signer une promesse de mariage sans qu'il s'en soit aperçu.
ANGELIQUE.	ANGELIQUE.
v ona une grande timidité, Madame,	v ona une grande timidité, Madame,
Me SIMONET.	Me SIMONET.
Helas!	Hélas!
j’étois ſi honteuſe, ſi honteuſe, que je n’eus pas la hardieſſe de lui dire.	j'étais si honteuse, si honteuse, que je n'eus pas la hardiesse de lui dire.
ANGELIQUE.	ANGELIQUE.
Meſſieurs vos Parens approureront.	Messieurs vos Parents approureront.
ils.	ils.
Me SIMONET, Je ſuis Veuve, Madame!	Me SIMONET, Je suis Veuve, Madame!
MARTON.	MÁRTON.
Oh une Veuve eſt maîtreſſe jouiſſante	Oh une Veuve est maîtresse jouissante
ue lesdronts, & le mocque du qu'en utra t on?	Que lesdronts, et le moque du qu'en utra tel on?
Me SIMONET.	Me SIMONET.
Aſſûrément, Madame, je ſuis riche, & ſais ce qu’il me plaiſt;	Assurément, Madame, je suis riche, et sais ce qu'il me plaît;
c’eſt un Officier bien fait, charmant, rempli de merite, jeune, enfin digne qu’on faſſe ſa fortune.	c'est un Officier bien fait, charmant, rempli de mérite, jeune, enfin digne qu'on fasse sa fortune.
niioueness Il ne tiendra qu’à vous, Madame.	nijoueness Il ne tiendra qu'à vous, Madame.
Me SIMONET.	Me SIMONET.
Quand on a de la jeuneſſe, de la beauté, qu’on eſt faite d’un certain air,,.	Quand on a de la jeunesse, de la beauté, qu'on est faite d'un certain air,.
que les manieres répondent à la delicateſſe de l’eſprit, je croi qu’on peut ſans ſe flater de venir Officiere.	que les manières répondent à la délicatesse de l'esprit, je crois qu'on peut sans se flatter de venir Officière.
ANGELIQUE.	ANGELIQUE.
Aſſûrément.	Assurément.
Mais, aradame, que de viendra Monſieur de la Richardiere?	Mais, aradame, que de viendra Monsieur de la Richardière?
Me SIMONET.	Me SIMONET.
Oh, Mr de la Richardiere, il prendra parranco tiuo mn munque, men cie ſi fort entêté, qu’il me fait l’amour en chantant;	Oh, Mr de la Richardière, il prendra parranco tivo mn munque, men cie si fort entêté, qu'il me fait l'amour en chant;
mais cela ne me touche point, i’ai le cœur Pris, & Mars l’emporte lur Orphee.	mais cela ne me touche point, j'ai le cœur Pris, et Mars l'emporte lur Orphe.
ANGELIQUE C’eſt pourtant quelque choſe de bien tenund quum panſon amoureure ommnelique.	ANGELIQUE C'est pourtant quelque chose de bien tenun quum panson amoureure ommnelique.
MARTON.	MÁRTON.
Ouï, & la Chanſonnette eſt d’un auſſi grand ſecours en amour, que la Tabattiere l’eſt en converſation.	Ouï, et la Chansonnette est d'un aussi grand secours en amour, que la Tabattière l'est en conversation.
SCENE IV.	SCÈNE IV.
ANGELIQUE, Me SIMONET, Mr DE LA RICHARDIERE, MARLON, LA FLEUR.	ANGELIQUE, Me SIMONET, Mr DE LA RICHARDIERE, MARLON, LA FLEUR.
LA FLEUR.	LA FLEUR.
Onſieur de la Richardiere, Madame.	Onsieur de la Richardière, Madame.
AANOLEIQUE.	AANOLEIQUE.
On ne vous a point vû depuis quelques y are .	On ne vous a point vu depuis quelques y are .
Mr DE LA RICHARDIERE chantant.	Mr DE LA RICHARDIERE chant.
C’eſt à l’Amour qu’il s’en faut prendre.	C'est à l'Amour qu'il s'en faut prendre.
MARTOIT.	MARTOIT.
Monſieur fait ſon Quartier auprés de Madame, pendant que Mrs les Officiers ſont Oil Gumpagne	Monsieur fait son Quartier auprès de Madame, pendant que Mrs les Officiers sont Oil Gumpagne
Mon Quartier dure toute l’année à moi, Marton.	Mon Quartier dure toute l'année à moi, Marton.
MARTON.	MÁRTON.
Il eſt vrai que vous autres xeſſieurs ne quittez guere Paris.	Il est vrai que vous autres xessieurs ne quittez guère Paris.
Mr DE LA RICHARDIERE.	Mr DE LA RICHARDIERE.
Je fais de temps en temps de petites Campagnes, où je vais toûjours en Parti, bleu, rouge, verd, ſelon la ſaiſon,	Je fais de temps en temps de petites Campagnes, où je vais toujours en Parti, bleu, rouge, verd, selon la saison,
MARTON.	MÁRTON.
Ouï, vous êtes un bon Partiſan vous, on ſçait bien cela vous allez fourager à Boulogne, à Saint Clou, à Vincennes;	Ouï, vous êtes un bon Partisan vous, on sait bien cela vous allez fourager à Boulogne, à Saint Clou, à Vincennes;
mais les combats que vous donnez en ces lieux-là ne ſont pas dangereux.	mais les combats que vous donnez en ces lieux-là ne sont pas dangereux.
Aierel dols Taiſez vous, Marton.	Aièrel dols Taisez -vous, Marton.
Me SIMONET.	Me SIMONET.
Monſieur quelles nouvelles avez-vous appriſes au Palais?	Monsieur quelles nouvelles avez-vous apprises au Palais?
a Campagne eſt-elle finie?	à Campagne est-elle finie?
Meſſieurs les Officiers entrent.	Messieurs les Officiers entrent.
ils en Quartier d’Hyver?	ils en Quartier d'Hiver?
&.	et.
Mr DE LA RICHARDIERE.	Mr DE LA RICHARDIERE.
He, Madame, ſoyez moins occupée du retour de ces Meſſieurs, & ſongez un peu plus à mon amour.	He, Madame, soyez moins occupée du retour de ces Messieurs, et songez un peu plus à mon amour.
Il chante.	Il chante.
Charmante Reine de mon cœur.	Charmante Reine de mon cœur.
Me SIMONET.	Me SIMONET.
Hé chantez-nous ce qui s’eſt paſſé en Flandre, en Allemagne, en Catalogne, en.	Hé chantez-nous ce qui s'est passé en Flandre, en Allemagne, en Catalogne, en.
MARTON.	MÁRTON.
Ouï, Monſieur, entonnez quelque bel exploit de Guerre, faites en recitatif quelque fameux combat, madame eſt un cœur de Heros, qui aime les combats.	Ouï, Monsieur, entonnez quelque bel exploit de Guerre, faites en récitatif quelque fameux combat, madame est un cœur de Héros, qui aime les combats.
Mr DE LARTCIARDIERE.	Mr DE LARTCIARDIERE.
Ie vais en chanter un, dont yous êtes l’Heroïne, Madame.	Je vais en chanter un, dont yous êtes l'Héroïne, Madame.
Il chante.	Il chante.
Eune beauté, qui trouvez tant d’appas, Dans les Combats, Que ne puis je adoucir cette fierté ſauvage!	Eune beauté, qui trouvez tant d'appas, Dans les Combats, Que ne puis je adoucir cette fierté sauvage!
Chaque jour contre moi bout tuuouit &i helas!	Chaque jour contre moi bout tuvouit eti hélas!
Et jamais je n’ai l’avantage.	Et jamais je n'ai l'avantage.
18830 En vain vôtre extréme froideur Par mon ardente amour ſe trouve combattuë;	18830 En vain votre extrême froideur Par mon ardente amour se trouve combattue;
r otre froideur m'abbat, vôtre froideur!	 otre froideur m'abat, votre froideur!
me tuë, Et mon amour ne peut en demeurer vainqueur.	me tue, Et mon amour ne peut en demeurer vainqueur.
86801 Vôtre ſeverité ſurmonte ma conſtance, Et chaſſe la pitié qui vous parle pour moi, om vvvne infuſté mefiance ( rance Sçait vaincre à tout moment la nouvelle aſſuje vous donne de ma foi.	86801 Votre sévérité surmonte ma constance, Et chasse la pitié qui vous parle pour moi, om une infusté méfiance ( rance Sait vaincre à tout moment la nouvelle assuje vous donne de ma foi.
8831 Vous penſez triompher en uugmenant ma peine, Vos mépris rigoureux repouſſent mes ſoûpirs, Et vôtre ſageſſe inhumaine Vient s’oppoſer à mes deſirs.	8831 Vous pensez triompher en ugenant ma peine, Vos mépris rigoureux repoussent mes soupirs, Et votre sagesse inhumaine Vient s'opposer à mes désirs.
ANGELIQUE.	ANGELIQUE.
Ah!	Ah!
Madame, il faut le renure acela.	Madame, il faut le renure acela.
MARTON.	MÁRTON.
Il faudroit avoir le cœur de bronze pour reiiſter là contre.	Il faudrait avoir le cœur de bronze pour rejister là contre.
Mr DE LA RICHARDIERE.	Mr DE LA RICHARDIERE.
Si vous n'avez pitie du camcu, Madame, l’Amour fera bien toſt ſon oraiſon funebre.	Si vous n'avez pitié du camcu, Madame, l'Amour fera bien tôt son oraison funèbre.
Me SIMONET.	Me SIMONET.
Voici Mr le Baron de Bois-vert.	Voici Mr le Baron de Bois-vert.
SCENE V.	SCÈNE V.
LE BARON, ANGELIQUE, Me SIMON T, MARTON, Mr DE LA RICHARDIERE.	LE BARON, ANGELIQUE, Me SIMON , MÁRTON, Mr DE LA RICHARDIÈRE.
LE BARON.	LE BARON.
E ſuis ravi de trouver ſi bonne compagnie.	E suis ravi de trouver si bonne compagnie.
JRéjouïſſe-vous ma fille, nous aurons pien tont ſer mon nis le Cnevaller;	JRéjouïsse-vous ma fille, nous aurons pien tont ser mon nis le Cnevaller;
& ſon Capitaine võtre Epoux prétendu.	et son Capitaine vendre Époux prétendu.
ANGELIQUE.	ANGELIQUE.
Ah, Marton !	Ah, Marton !
MARTON.	MÁRTON.
Ah, Madame, vous ſerez mariée, que vous voila aiſe.	Ah, Madame, vous serez mariée, que vous voilà aise.
Me SIMONET.	Me SIMONET.
Je prens part à vôtre joye, Madame, & ce a eſt heureux pour moi que nous ſimpatiſ	Je prends part à votre joie, Madame, et ce a est heureux pour moi que nous simpatis
ſions ſi bien enſemble du côté de l’Himen & de l’Amour.	sions si bien ensemble du côté de l'Himen et de Our.
LE BARON.	LE BARON.
Comment donc, Madame?	Comment donc, Madame?
Me SIMONET.	Me SIMONET.
I’ai auſſi du goût pour Meſſieurs les Officiers, lans cela les atfruuitel de mronſieur auroient peut être ſçû m’engager, mais.	J'ai aussi du goût pour Messieurs les Officiers, lans cela les atfrutel de mronsieur auraient peut être su m'engager, mais.
Mr DE LA RICHARDIERE.	Mr DE LA RICHARDIERE.
Achevez, Madame;	Achevez, Madame;
que veut dire ce mais?	que veut dire ce mais?
Me SIMONET.	Me SIMONET.
Vous n’êtes pas Guerrier, Monſieur.	Vous n'est pas Guerrier, Monsieur.
MT DE LA NIOMIARDIERE, S’il ne tient qu’à faire une Campagne pour le devenir & pour vous plaire, Madame.	MT DE LA NIOMIARDIERE, S'il ne tient qu'à faire une Campagne pour le devenir et pour vous plaire, Madame.
LE BARON.	LE BARON.
Une Campagne pour être Guerrier!	Une Campagne pour être Guerrier!
quand e quute re cervice j’avois vingt Campagnes ſur la tête;	quand e quute re cervice j'avais vingt Campagnes sur la tête;
le métier de la Guerre eſt long.	le métier de la Guerre est long.
penible & dangereux, Monſieur, l’épée ne ſe manie pas comme la plume.	pénible et dangereux, Monsieur, l'épée ne se manie pas comme la plume.
Mr DE LA RICHARDIERE.	Mr DE LA RICHARDIERE.
Oh!	Oh!
ce n’eſt pas d’aujourd’hui que je la ſçai manier, & je l’ai portée quand j’étois petit garçon dame j’étois un petit drôle bien mutin, je chamaillois ſans ceſſe ſur nos Laquais, je frappois l’un, je bleſſois l’autre;	ce n'est pas d'aujourd'hui que je la sais manier, et je l'ai portée quand j'étais petit garon dame j'étais un petit drôle bien mutin, je chamaillais sans cesse sur nos Laquais, je frappais l'un, je blessais l'autre;
j’avois de belles diſpoſitions comme vous voyez;	j'avais de belles dispositions comme vous voyez;
ſi je n’avois point quitté l’épée j’aurois été bien loin.	si je n'avais point quitté l'épée j'aurais été bien loin.
MARTON, vous promettiez beaucoup?	MÁRTON, vous promettiez beaucoup?
Me SIMONET.	Me SIMONET.
Mais, Monſieur, vous n’avez point été à la Guerre?	Mais, Monsieur, vous n'avez point été à la Guerre?
ah!	ah!
que la Guerre fait bien un yune hommo;	que la Guerre fait bien un yune hommo;
c ett une econe ou vous devriez aller pour vous former.	ç ett une econe ou vous devriez aller pour vous former.
Mr DE LA RICHARDIERE.	Mr DE LA RICHARDIERE.
Madame, je ſuis bien formé, & je n’ai que faire d’aller à l’écolle:	Madame, je suis bien formé, et je n'ai que faire d'aller à l'écolle:
Je ſçai la Guerre cemme ceux qui l’ont faité, j’ai vû toutes les Campagnes, les priſes de Villes, les Combats, les Champs de Batailles, ſans oranidre les Emnemisnrcourir aucun riſque.	Je sais la Guerre camme ceux qui l'ont faité, j'ai vu toutes les Campagnes, les prises de Villes, les Combats, les Champs de Batailles, sans oranidre les Emnemisnrcourir aucun risque.
LE BARON.	LE BARON.
Hé Comment cela ?	Hé Comment cela ?
Mr DE LA RICHARDIERE.	Mr DE LA RICHARDIERE.
Dans la Carte, Monſieur, dans la Carte:	Dans la Carte, Monsieur, dans la Carte:
hem, cela n’eſt il pas beau ?	hem, cela n'est il pas beau ?
LE BARON.	LE BARON.
Oh, vous avez raiſon, on voit tout dans la Carte en ſûreté;	Oh, vous avez raison, on voit tout dans la Carte en sûreté;
mais.	mais.
Mr DE LA RICHARDIERE.	Mr DE LA RICHARDIERE.
Mais je me ſuis trouvé auſſi en perſonne à l’attaque d’un Fort, où il faiſoit diablement chaud.	Mais je me suis trouvé aussi en personne à l'attaque d'un Fort, où il faisait diablement chaud.
LE BARON.	LE BARON.
Eſtoit ce en Allemagne?	Était ce en Allemagne?
Mr DE LA RICHARHIDIE.	Mr DE LA RICHARHIDIE.
Non.	Non.
LE BARON.	LE BARON.
En Flandre?	En Flandre?
Mr DE LA RIGIIHRDIERE.	Mr DE LA RIGIIHRDIERE.
Non, non.	Non, non.
BE DAROIV.	BE DAROIV.
En Catalogne, en Piémont?	En Catalogne, en Piémont?
M DH LA RICHARDIERE, Hé non, Monſieur, non.	M MH LA RICHARDIERE, Hé non, Non, non.
Me SIMONET, Où donc, Monſieur, en Hongrie?	Me SIMONET, Où donc, Monsieur, en Hongrie?
Mr DE LA RICHARDIERE.	Mr DE LA RICHARDIERE.
Non, Madame, à Paris, derriere les Chartreux.	Non, Madame, à Paris, derrière les Chartreux.
Me SIMONET.	Me SIMONET.
Derriere les Chartreux!	Derrière les Chartreux!
vous yous moquez?	vous yous moquez?
LE BARON.	LE BARON.
Non, Mauaitie, ce a eſt vrat.	Non, Mavaitie, ce a est vrat.
Il m’en ſouvient, Monſieur;	Il m'en souvient, Monsieur;
c’étoit un Fort gabionné, pour exercer de jeunes gens au métier de la Guerre.	c'était un Fort gabionné, pour exercer de jeunes gens au métier de la Guerre.
Mr DE LA RICHARDIERE.	Mr DE LA RICHARDIERE.
Il falloit voir les feux d’artifices en l’air.	Il fallait voir les feux d'artifices en l'air.
le fracas des Bombes, des Carcaſſes, des Petards, des Sauciſſons;	le fracas des Bombes, des Carcasses, des Petards, des Saucissons;
c’étoit un tintamarre de tous les diables pies Grenades voloient comme la grêle, & petoient patapapa;	c'était un tintamarre de tous les diables pies Grenades volaient comme la grêle, et pétaient patapa;
les Canons pouë pouë, pouë pouë;	les Canons poue poue, poue poue;
& les Mouſquets tata, tata, tata, ta:	et les Mousquets tata, ta, tata, ta:
Enfin c’étoit une Guerre auſſi enflamée, & d’un auſſi	Enfin c'était une Guerre aussi enflammée, et d'un aussi
grand bruit.	grand bruit.
Allez ſi l’on avoit tiré à balles, & que les Bombes, les Carcaſſes & les Grenades euſſent éré de fer, comme elles rétoient que de carton, ſçauroit été un diable de carnage.	Allez si l'on avait tiré à balles, et que les Bombes, les Carcasses et les Grenades eussent éré de fer, comme elles rétoient que de carton, saurait été un diable de carnage.
MC RRIOIET.	MC RIOIET.
l’aurois bien voulu voir cette Guerre là.	l'aurais bien voulu voir cette Guerre là.
ANGELIQUE.	ANGELIQUE.
Vous eûtes blen peur?	Vous eûtes blen peur?
Mr DE LARICHARDIERE.	Mr DE LARICHARDIERE.
Les premiers coups épouventent un peu mais ma ſoi à la fin on ſe fait au feu.	Les premiers coups épouventent un peu mais ma soi à la fin on se fait au feu.
un l ararar Dans ces ſortes d’occaſions les curieux courent quelques riſques.	un l arar Dans ces sortes d'occasions les curieux courent quelques risques.
Mr DE LA RICHARDIERE.	Mr DE LA RICHARDIERE.
Je vous en répons;	Je vous en réponds;
la Garniſon du Fort fit une ſortie en trahiſon.	la Garnison du Fort fit une sortie en trahison.
MARTON.	MÁRTON.
Cela eſt fort mal.	Cela est fort mal.
honnête.	honnête.
Mr DE LA RICHARDIERE.	Mr DE LA RICHARDIERE.
Aſſûrément, car comme c’étoit dans le plus bel endroit, on ne s’attendoit point à cela;	Assurément, car comme c'était dans le plus bel endroit, on ne s'attendait point à cela;
les Aſſiegeans ſe voyant ſupris, reculerent, les Spectateurs s’enfuirent tous pelle-mêle;	les Assiègeants se voyant supris, reculèrent, les Spectateurs s'enfuirent tous pelle-mêle;
