A MADMOISELLE M.	À MADMOISELLE M.
SCENNE I.	SCÈNE I.
LEANDRE, BEATRIX.	LÉANDRE, BEATRIX.
LEANDRE.	LÉANDRE.
DI EVX!	DI EUX!
quel iniuſte meſpris As tu veu chere Beatrix, Auecque combien de furie D’emportement, de barbarie, Le pere de ce digne obiet Ma ſçeu quereller ſans ſuiet, Quand i’eſperois par mon homage Cette merueille en mariage, Dien ſoin d’auoir cette beauté.	quel injuste mépris As tu veu chère Beatrix, Avec combien de furie D'emportement, de barbarie, Le père de ce digne objet Ma su quereller sans sujet, Quand j'espérais par mon hommage Cette merveille en mariage, Dien soin d'avoir cette beauté.
Tu voy comme il ma rebuté,	Tu vois comme il ma rebuté,
BEATRIX.	BEATRIX.
Leandre i’ay veu cette choſe Mais enfin qu’elle ne vous cauſe, Aucun ſuiet d’eſtre allarmé Eſtant parfaitement aime, Car vous ſçaués que ma maiſtreſſe A pour vous beaucoup de tendreſſe, Donc au lieu de vous affliger Songés à ne rien negliger, Pour trouuer les moiens de plaire A cet eſprit bouru de pere, Et dedans ce moment fatal Faites le bien contre le mal, Lors qu’il vous monſtre ſon caprice Tachés à luy rendre ſeruice, Eſpiés en l’occaſion Par fois vne belle action, Donne aux choſes vne autre face,	Leandre j'ai vu cette chose Mais enfin qu'elle ne vous cause, Aucun sujet d'être alarmé Étant parfaitement aime, Car vous savez que ma maîtresse A pour vous beaucoup de tendresse, Donc au lieu de vous affliger Songez à ne rien négliger, Pour trouver les moyens de plaire À cet esprit bouru de père, Et dedans ce moment fatal Faites le bien contre le mal, Lors qu'il vous montre son caprice Tachez à lui rendre service, Espiez en l'occasion Par fois belle action, Donne aux choses une autre face,
LEANDRE.	LÉANDRE.
Ah!	Ah!
Beatrix ie te tends grace, Oüy depuis que tu m’as parlé Ie me treuue vn peu conſolé, Ie vay dont faire mon poſſible Pour ſeruir ce pere inſenſible, Cherchant s’il ſe peut le moyen De faire de mon mal vn bien, Toy Beatrix, pres de ma belle luiqu'a la fin ſois moy hdeſle, Moy ie feray de mon coſté	Beatrix ie te tends grâce, Oui depuis que tu m'as parléOi me trouve un peu consolé, Je vais dont faire mon possible Pour servir ce père insensible, Cherchant s'il se peut le moyen De faire de mon mal un bien, Toi Beatrix, pres de ma belle luiqu'a la fin sois moi hèle, Moi j' ai de mon côté
BEATRIX.	BEATRIX.
Ne ſoyés plus inquieté, Et mettiez en repos voſtre ame Vous l’aurés auioud’huy pour femme, Mais quelqu’vn s’en vient en ce lieu Faites ce que i’ay dit.	Ne soyez plus inquiété, Et mettiez en repos votre âme Vous l'aurez aujoud'hui pour femme, Mais quelqu'un s'en vient en ce lieu Faites ce que j'ai dit.
LEANDRE.	LÉANDRE.
à dieu.	à dieu.
SCENNE II.	SCÈNE II.
GVILLOT, RAGOTIN.	GUILOT, RAGOTIN.
Agotin l’amour me tourmente NIe brule d’vne flame ardente, Depuis que certain œil vainqueut A mis le feu dedans mon cœur, 2 En vn mot c’eſt l’œil d’Angelique eui inle peltuibe a quime piques Oüy ce petit fripon d’obiet A pris mon ame au trebuchet,	Agotin l'amour me tourmente NIe brûle d'une flamme ardente, Depuis que certain œil vainqueut A mis le feu dedans mon cœur, 2 En un mot c'est l'œil d'Angelique eu inle peltuibe a quime piques Oui ce petit fripon d'objet A pris mon âme au trébuchet,
RAGOTIN.	RAGOTIN.
Il eſt vray qu’Angelique eſt belle Mais vous n’eſtes par moins beau qu’elle	Il est vrai qu'Angélique est belle Mais vous n'êtes par moins beau qu'elle
GVILLOT.	GUILOT.
Et bien Ragotin que dis-tu De l’habit dont ie ſuis veſtu, La petite oye eſt elle belle Pour empomet la Damonene y Et croy tu qu’auec tant d’apas	Et bien Ragotin que dis-tu De l'habit dont Madame suis vêtu, La petite oie est elle belle Pour empomet la Damonene y Et crois tu qu'avec tant d'apas
La La droleſſe n’en tienne pas, Le Comte de la Guillotiere Luy va donner dans la viſiere, Et d’abort qu’elle me verra Dieu ſcayt ſi l’amour la prendra, De meſme qu’il ma bien ſceu prendre Mais peut on reſiſter au tendre, e diavle de ſendre ent lacheus Et qui s’en pare eſt bien heureux,	La La drôlesse n'en tienne pas, Le Comte de la Guillotiere Lui va donner dans la visière, Et d'abort qu'elle me verra Dieu sais si l'amour la prendra, De même qu'il ma bien su prendre Mais peut on résister au tendre, e diaule de sendre ent lacheus Et qui s'en pare est bien heureux,
RAGOTIN.	RAGOTIN.
Pour moy ie croy que qui s’en parc Poſſede vn ſecret grand & rare, Et ſi le pauure Ragotin S en paroie, mletort die nHlay	Pour mo ie crois que qui s'en parc Possède un secret grand et rare, Et si le pauvre Ragotin S en paroie, mletort die nHlai
GVILLOT.	GUILOT.
Quoy le meſme mal te tourmente.	Quoi le même mal te tourmente.
RAGOTIN.	RAGOTIN.
Monſieur i’en tiens pour la ſuiuante, Et cette traiſtreſſe aux yeux doux A mis auſſi le feu chés nous,	Monsieur j'en tiens pour la suivante, Et cette traîtresse aux yeux doux A mis aussi le feu chez nous,
GVILLOT.	GUILOT.
Nous voila donc bien à noſtre aiſe Moy tout de feu, toy tout de braiſe Nous ne chercherons point l’Enfer A deſſein de nous y chauffer, le croy que nos ardeurs extremes	Nous voilà donc bien à notre aise Moi tout de feu, toi tout de braise Nous ne chercherons point l'Enfer A dessein de nous y chauffer, le crois que nos ardeurs extrêmes
14 LES GALANS Conſommeroient les diables meſmes, Et qu’en nous voyant ces demons Se transformeroient en charbons, Mais qu’ils bruſlent qu’ils ſe rotiſſent Qu’ils conſomment, qu’ils s’engloutiſſent, Qu’ils gelent qu’ils ſoiẽt tout glaçons Tout cela i’en dis, des chançons, Pourueu que ma chere maiſtreſſe Montre pour moy quelque tendreſſe, Et que la belle à mon abort Puiſſe eſtre auecque moy d’acort, Car i’aurois l’ame mal contenté.	14 LES GALANS Consommeraient les diables mêmes, Et qu'en nous voyant ces démon Se transformeraient en charbons, Mais qu'ils brûlent qu'ils se rôtissent Qu'ils consomment, qu'ils s'engloutissent, Qu'ils gelant qu'ils soient tout glaçons Tout cela j'en dis, des chançons, Pourvu que ma chère maîtresse Montre pour moi quelque tendresse, Et que la belle à mon abort Puisse ç auecque moi d'acort, Car aurois me mal contenté.
Si ma femme eſtoit diſcordante, Ainſi pour nous bien accorder Il faut que tu l’aille aborder, Voy donc ce qu’il faut que tu faces Pour me mettre en ces bonnes graces, Va t’en luy dire de ma part Que c’eſt & ſans fainte & ſans fart.	Si ma femme était discordante, Ainsi pour nous bien accorder Il faut que tu l'aille aborder, Vois donc ce qu'il faut que tu faces Pour me mettre en ces bonnes grâces, Va t'en lui dire de ma part Que c'est et sans feinte et sans fart.
Que le braue & l’illuſtre Comte En tient pour elle pour ſon Comte, Que quand nous nous aſſemblerons Qu’enſemble enfin nous conterons, Et que pour la faire Conteſſe Ie viens la von nos.	Que le brave et l'illustre Comte En tient pour elle pour son Comte, Que quand nous nous assemblerons Qu'ensemble enfin nous conterons, Et que pour la faire Contesse Je viens la von nos.
msmei Quelle ſcait ſi fort eſclater Que ie ne puis ou mieux conter, Si bien que ie veux quelle conte Auec moy ſans aucune honte, Car en ne voulant pas conter Ie pourrois bien me meſconter, Par ce qu’en contant ſans ſon hoſte Bien ſouuent l’on ſe trouue en faute, C’eſt pourquoy l’on dit d’vne voix Que ſans hoſte on conte deux fois, Ie veux donc conter auec elle D’vne façon toute nouuelle, a tlo que e cle viiscome ume dreux Qu’il nous faudra vider tout deux, Va la voir pour me ſatisfaire	msmei Quelle sait si fort éclater Que je ne puis ou mieux conter, Si bien que ie veux quelle conte Auec moi sans aucune honte, Car en ne voulant pas conter Je pourrais bien me méconter, Par ce qu'en contant sans son hôte Bien souvent l'on se trouve en faute, C'est pourquoi l'on dit d'une voix Que sans hôte on conte deux fois, Je veux donc conter avec elle D'une façon toute nouvelle, a tuer que é clé ô ume que çil nous faudra vider tout deux, Va la voir pour me satisfaire
RAGOTIN.	RAGOTIN.
Moy Monſieur i’ay mon conte à faire, Depuis que ie ſuis auëc vous Ie n’ay pu receuoir deux ſouls,	Moi Monsieur j'ai mon compte à faire, Depuis que je suis avec vous Je n'ai pu recevoir deux souls,
AYILEOT.	AYILEOT.
Tu te plains la Ragotiniere	Tu te plains la Ragotinière
RAGOTIN.	RAGOTIN.
Oüy Monſieur de la Guillotiere,	Oui Monsieur de la Guillotière,
GVILLOT.	GUILOT.
Ie conteray ie te promets	Je contera ie te promets
B i	B y
RAGOTIN.	RAGOTIN.
Oüy, mais vous ne payés iamais, Vous contés auec grand delice Mais payer n’eſt pas voſtre vice,	Oui, mais vous ne payez jamais, Vous contezez avec grand délice Mais payer n'est pas votre vice,
GVILLOT.	GUILOT.
Ragotin tu me fais affront.	Ragotin tu me fais affront.
RAGOTIN.	RAGOTIN.
Dllule pajer a qul lcipont Ne reſpondés pas dauantage	Dllule pajer a qu' lcipont Ne répondez pas davantage
GVILLOT.	GUILOT.
va t’en donc faire le meſſage Dont n’aguere ie t’ay prié.	va t'en donc faire le message Dont n'aguere Elle t'ai prié.
RAGOTIN.	RAGOTIN.
I’iray quand vous m’auray payé.	J'irai quand vous m'aurai payé.
GVILLOT.	GUILOT.
Ragotin voy que ie m’enflame veux tu laiſſer griller mon ame, Parmy mille brulants tranſports Qui me vont fricaſſer le corps,	Ragotin vois que Dieu m'enflamme veux tu laisser griller mon âme, Parmi mille brûlants transports Qui me vont fricasser le corps,
RAGOTIN.	RAGOTIN.
Voſtre amour n’eſt pas plus ardente Que la mienne eſt pour la ſuiuante, C’eſt pourquoy rottiſſons, grillons, Conſommons, bruſlons, petillons, Que tout le feu de la nature Tombe deſſus nonte freitre, Quand nous deuiend ions plus ſects Que les harans les plus ſorets, Qu’amour nous reduiroit en poudre Vous ne me pourriez pas reſoudre, A rien faire qu’ayant mon fait	Votre amour n'est pas plus ardente Que la mienne est pour la suivante, C'est pourquoi rottissons, grillons, Consommons, brûlons, petons, Que tout le feu de la nature Tombe dessus nonte fritre, Quand nous deviend ions plus sects Que les harants les plus sorets, Qu'amour nous réduirait en poudre Vous ne me pourriez pas résoudre, A rien faire qu'ayant mon fait
GVILLOT.	GUILOT.
Ah, quel obſtiné de valet, Il nous laiſſeroit tous deux cuire Tous deux ſecher & tous deux frire, Si ie ne le rendoit content Il faut luy donner de l’argent, Tien Ragotin voila tes gages	Ah, quel obstiné de valet, Il nous laisserait tous deux cuire Tous deux sécher et tous deux frire, Si grande ne le rendait content Il faut lui donner de l'argent, Tien Ragotin voilà tes gages
RAGOTIN.	RAGOTIN.
Maintenant pour touts vos meſſages, Vous n’aués qu’à me commander	Maintenant pour touts vos messages, Vous n'avez qu'à me commander
GVILLOT.	GUILOT.
Va dont promptement aborder, La voleuſe de ma franchiſe Car la brigande me la priſe, Enfin tu luy feras ſçauoir Que le iuis tout gros de la voir, Tient donc toute preſte ta langue A luy faite cette harangue, Heurte à ſa porte la voila	Va dont promptement aborder, La voleuse de ma franchise Car la brigande me la prise, Enfin tu lui feras savoir Que le juis tout gros de la voir, Tient donc toute prête ta langue A lui faite cette harangue, Heurte à sa porte la voilà
RAGOTIN.	RAGOTIN.
Hola belle Angelique hola,	Hola belle Angélique holà,
B iij	 Bijà
RAGOIII.	RAGOIII.
Ie voudrois luy parler traitreſſe,	Je voudrais Seigneur parler traîtresse,
BEATRIX.	BEATRIX.
Pourquoy m’appeller de ce nom	Pourquoi m'appeler de ce nom
RAGOTIN.	RAGOTIN.
Excuſe moy petit tendron, Malade de ma maladie On peut bien dire vne folie, Et de la dire i’ay bien lieu Puis qu’vn petit Diable de Dieu, Cet amour où pluſtoſt ce traitre Ma fait en te voyant paroiſtre, Apeller de cette façon Comme il vſe de trahiſon, Quel la filouté le cœur noſtre Ie vous auoit pris l’vn pour l’autre, Tu teſemble acomiponneue Tout ainſi que deux goutes d’eau, Mais loin de t’appeller traiſtreſſe Ie te veux nommer ma deeſſe, Belle deeſſe mon ſouçy Fais venir ta maiſtreſſe icy,	Excuse moi petit tendron, Malade de ma maladie On peut bien dire une folie, Et de la dire j'ai bien lieu Puis qu'un petit Diable de Dieu, Cet amour où plutôt ce traître Ma fait en te voyant paraître, Apeler de cette façon Comme il use de trahison, Quel la filouté le cœur quelque Je vous avait pris l'un pour l'autre, Tu tesemble acomiponnue Tout ainsi que deux goutes d'eau, Mais loin de t'appeler maîtresse Je te veux nommer ma déesse, Belle de mon souç Fais venir ta maîtresse ici,
BEATRIX.	BEATRIX.
Mais pourquoy, que veux tu luy dire?	Mais pourquoi, que veux tu lui dire?
RAGOTIN.	RAGOTIN.
Pour luy declarer le Martire, De Monſieur le Comté Guillot Dont ie ſuis le valet Ragot.	Pour Elle déclarer le Martyre, De Monsieur le Comté Guillot Dont ie suis le valet Ragot.
BEATRIX.	BEATRIX.
Le Comte de la Guillotiere	Le Comte de la Guillotière
Oüy.	Oui.
RAGOTIN.	RAGOTIN.
DEATRIIR.	DEATRIIR.
I’y vay la Ragotimare, Madame on vous demande en bas.	J'y vais la Ragotimare, Madame on vous demande en bas.
Tout autant comme la ſuiuante, Et quand ie les vois toutes deux Ie ne ſçais ou porter mes veux, Contentons nous de la Soubrette La maiſtreſſe eſt ſans doute faite, Pour mon Maiſtre il la doit auoir Sa faiſons dont noſtre deuoir, Madame ſi mon éloquence, Ce deſploye en voſtre preſence, C’eſt que mon Maiſtre eſt de vos yeux Comme de vous fort amoureux, Mais c’eſt vn amour ſans ſemblable Il vous aime comme le diable, Il dit qu’il vous poſſedera Ou que Belſebu vous aura, Et qu’en fin s’il ne vous poſſede Qu’il s’en va pour dernier remede, Se precipiter loin de vous Entre deux draps de lin bien doux, ANGELIQVE	Tout autant comme la suivante, Et quand je les vois toutes deux Je ne sais ou porter mes veux, Contentons nous de la Soubrette La maîtresse est sans doute faite, Pour mon Maître il la doit avoir Sa faisons dont notre devoir, Madame si mon éloquence, Ce déploie en votre présence, C'est que mon Maître est de vos yeux Comme de vous fort amoureux, Mais c'est un amour sans semblable Il vous aime comme le diable, Il dit qu'il vous possédera Ou que Belsédu vous aura, Et qu'en fin s'il ne vous possede Avail en va pour dernier remède, Se précipiter loin de vous Entre deux draps de lin bien doux, ANGES
Pourquoy dire cette ſotiſe	Pourquoi dire cette sottise
SCENNE V.	SCÈNE V.
ANGELIQVE, BEATRIX.	ANGELIQUE, BEATRIX.
RAGOTIN.	RAGOTIN.
GVILLOT.	GUILOT.
ſort du coin du teatre ou il eſtoit caché A A belle excuſez la franchiſe, LV TRagotin venoit en ce iour Pour vous deſcouurir mon amour, Mais ſa mal adroite perſonne Ne ſcait pas comme l’on raiſonne, Car alors qu’il faut raiſonner.	sort du coin du teatre ou il était caché A A belle excusés la franchise, LV TRagotin venait en ce jour Pour vous découvrir mon amour, Mais sa mal adroite personne Ne sait pas comme l'on raisonne, Car alors qu'il faut raisonner.
Il faut bien ratiotiner, Et quand bien l’on ratiotine La raiſon en eſt bien plus fine, Ainſi raiteimant comme il faut On na le raiſonneruent haut;	Il faut bien ratiotiner, Et quand bien l'on ratiotine La raison en est bien plus fine, Ainsi raiteimant comme il faut On na le raisonnervent haut;
Or donc la raiſon raiſonnante D’elle meſme eſt fort eloquente Et comme enfin cette raiſon N’a rien en elle que de bon, Concluons qu’eſtant admirable La raiſon eſt bien raifonnable, RAGOTIN chantant	Or donc la raison raisonnante D'elle même est fort éloquente Et comme enfin cette raison N'a rien en elle que de bon, Concluons qu'étant admirable La raison est bien raisonnable, RAGOTIN chant
Et con cluons par nos raiſons Qu’il faut ijuittori bau de la Seyne Pour les bateaux & les poiſſons,	Et con cluons par nos raisons Qu'il faut ijuitori bau de la Seyne Pour les bateaux et les poissons,
GVILEUT.	GUILEUT.
Ragotin voulés vous vous taire?	Ragotin voulez -vous vous taire?
RAGOTIN.	RAGOTIN.
Que chacun face ſon affaire,	Que chacun face son affaire,
GVILLOT.	GUILOT.
Rare obiet qui mie perturben	Rare objet qui mie perturben
RAGOTIN.	RAGOTIN.
Oeir coquereau qui m'enbourbez,	Oeir croquereau qui m'enbourbez,
VFLLOT.	VFLOT.
Ie te deffens de plus rien dire	Je te défends de plus rien dire
RAGOTIN.	RAGOTIN.
Ie veux declarer mon martire,	Je veux déclarer mon martyre,
GVILLOT Finirés vous bien toſt Ragot?	GUILOT Finirez -vous bien tôt Ragot?
RAGOTIN, Monſieur parlés a voſtre eſcot, Ie parle icy des amour noſtres Vous pouués la parler des voſtres, Vous en aués permiſſion Pouſſés donc voſtre paſſion, Moy ie m’en vay pouſſer la mienne All, s’il faut qu’vn iour ie te tienne.	RAGOTIN, Monsieur parlés a votre écot, Je parle ici des amour nôtres Vous pouvez la parler des vôtres, Vous en avez permission Poussez donc votre passion, Moi tu m'en vais pousser la mienne All, s'il faut qu'un jour ie te tienne.
GVILLOT.	GUILOT.
A la fin ie me faſcheray Ragot ie vous eſtrilleray,	À la fin Seigneur me fâcherai Ragot je vous étrillerai,
BEATRIX.	BEATRIX.
Tay toy, laiſſe parler ton Maiſtre GVILLOT a Angelique Pardonnés ſi i’oſe paroiſtre, A vos yeux les plus grands fripons Et d’amour les plus grands tiſons, Qui ſoient dans le reſte du mon de Ils m’ont ou ie veux qu’on me tonde, Emmouraché d’vne façon Que i’en ay l’ame au court boüillon, Le pauure foye à la compotte La freſure à la matelotte, Et le cœur en vn tel ragouſt ’il peut contenter voſtre gouſt, Vous eſtes, ie me donne au diable Vne perſonne incomparable, Et la nature ſur ma foy Vous a faite digne de moy, Ah, trop aimable pechereſſe Si vous deuenés ma Maiſtreſſe, Qu’en ſatisfaiſant mon deſir, Vous m’alés donner de plaiſir, Car vous aués vne preſtance Qui porte à la concupiſcence, D’abort que ie vois vos apas Vous me mettés dans des eſtats.	Tais -toi, laisse parler ton Maître GUILLOT a Angélique Pardonnez si j'ose paraître, À vos yeux les plus grands fripons Et d'amour les plus grands tisons, Qui soient dans le reste du reste du Ils m'ont ou ie veux qu'on me tonde, Emouraché d'une façon Que j'en ai l'âme au court boüillon, Le pauvre foie à la compotte La fresure à la matelotte, Et le cœur en tel ragoût il peut contenter vôtre goût, Vous Et, le me donne au diable personne incomparable, Et la nature sur ma foi Vous a faite un de moi, Ah, trop aimable pécheresse Si vous deuenés ma Maistresse, en satisfaisant mon désir, Vous alés donner de ra, Car vous aués prestance Qui porte la concupiscence, abort que ie vois vos apas Vous me mettés dans des états.
Mais des eſtats ſi pitoiables Qu’en voyant vos yeux adorables, I’en ſetois quitte à bon marché Si i’en ſortois pour vn peché.	Mais des états si pitoyables Qu'en voyant vos yeux adorables, J'en sois quitte à bon marché Si j'en sortais pour un péché.
Vos yeux m’ayant mis de la ſorte.	Vos yeux m'ayant mis de la sorte.
Ont cauſé qu’icy ie m’aporte, Pour voir ſi vous trouuerez bon Que nous faſſions conionction, En mariant nos deux perſonnes Reſpondés la bonne des bonnes,	Ont causé qu'ici nous m'apporte, Pour voir si vous trouverez bon Que nous fassions conionction, En mariant nos deux personnes Répondez la bonne des bonnes,
ANGELIQVE bas le (premier vers O le ridicule Amoureux Monſieur i’a prouue fort voseux, Mais comme ie deſpens d’vn pere Ie le faut voir pour cette affaire, Ie penſe qu’il s’en vient icy Dieu me garde d'vn tormuiy, SCENNE	ANGELIQUE bas le (premier vers Ô le ridicule Amoureux Monsieur j'a provue fort voseux, Mais comme ie dépens d'un père Je le faut voir pour cette affaire, Je pense qu'il s'en vient ici Dieu me garde d'un tormui, SCENNE
SCENNE VI.	SCÈNE VI.
GVILLOT, RAGOTIN, ANGELIQVE, BEATRIX,	GUILOT, RAGOTIN, ANGELIQUE, BEATRIX,
LE DOCTEVR.	LE DOCTEUR.
Llons chez nous bonne hipocrite A Vous auſſi bonne chatte mitte, Qui ne faite, que mugueter Que iazer & que quoqueter, Quaquet bon bec poulle a ma tante Et la maiſtreſſe & la ſuiuante,	Llons chez nous bonne hypocrite À Vous aussi bonne chatte mitte, Qui ne faite, que mugueter Que jaser et que quoqueter, Quaquet bon bec poulle à ma tante Et la maîtresse et la suivante,
SCENNE VII.	SCÈNE VII.
GVILLOT, RAGOTIN.	GUILOT, RAGOTIN.
LE DOCTEVR.	LE DOCTEUR.
Ie ſuis venu, c’eſt vne fraze Qui met mon ame dans l'extaze, Car vous ne pouuiez eſtre icy A moins que d’y venir auſſi,	Je suis venu, c'est une fraze Qui met mon âme dans l'extase, Car vous ne pouviez être ici A moins que d'y venir aussi,
GVIELOT.	GUIELOT.
Vous ſçaurés que ce qui m’ameine	Vous saurez que ce qui m'amène
LE DOCTEVR.	LE DOCTEUR.
Sçachés auant que ie d’aprenne, Que c’eſt fort bien dit vous ſçaurés eda eyreoy vedeemauee y Par ce que pour faire comprendre Draut auant ceraire entendre,	Sachez avant que votre dernaprenne, Que c'est fort bien dit vous saurez édà eyreoy vedeemauee y Par ce que pour faire comprendre Draut avant ceraire entendre,
GVILLOT.	GUILOT.
Entendés moy dont s’il vous plaiſt	Entendez -moi dont s'il vous plaît
LE DOCTEVR Tout incontinent i’y ſuis preſt, Mais ſouffrés que ie vous aduouë Que vous merités qu’on vous louë, Quand vous demandés humblement Audiance pour vn moment, S’il vous plaiſt eſt vn ſi beau terme Que ie vous entens ut pleu remme,	LE DOCTEUR Tout incontinent j'y suis prêt, Mais souffrez que ie vous avoue Que vous mérités qu'on vous loue, Quand vous demandez humblement Audience pour un moment, S'il vous plaît est un si beau terme Que ie vous entends ut pleu me,
GVILLOT.	GUILOT.
Momneur le vay dont conmneuicer	Momneur le vais dont conmneuicer
LE DOCTEVR.	LE DOCTEUR.
Auant que plus outre paſſer, Vous permettrés que vous die Que ce mot à grande energie, Ne dit on pas communement Telle fin tel commancement, Vn commancement admirable Et ſuiuy d’vne fin ſemblable, Donc on ne doit commancer rien Qu’à deſſein de le finir bien, Et de pius iaiais ciequumen.	Avant que plus outre passer, Vous permettrés que vous die Que ce mot à grande énergie, Ne dit on pas communément Telle fin tel commencement, Votre commencement admirable Et suivi d'une fin semblable, Donc on ne doit commencer rien Qu'à dessein de le finir bien, Et de pius iaiais ciequumen.
GVILLOT.	GUILOT.
l’ermettes vous que le commance,	l'ermettes vous que le commance,
LE DOCTEVR.	LE DOCTEUR.
Oüy Monſieur ie vous le permets :	Oüy Monsieur je vous le permets :
GVILLOT Ne commenceray ie iamais,	GUILOT Ne commencera ie ici,
LE DOSIETT Commencé dont voſtre harangue	LE DOSIETT Commencé dont votre harangue
GVILLOT.	GUILOT.
Que le Diable emporte ta langue,	Que le Diable emporte ta langue,
LE DOCTEVR.	LE DOCTEUR.
Commenceray vous voſtre point	Commencerai vous votre point
GVILLOT.	GUILOT.
Et toy ne finiras tu point, Comment veux tu que ie commence, Mi tu trouble mon éfoquence,	Et toi ne finiras -tu point, Comment veux tu que deux commence, Mi tu trouble mon éfoquence,
LE DOCTEVR.	LE DOCTEUR.
Ie preſte ſilence, parlès	Je prête silence, parlès
GVILLOT.	GUILOT.
ocaenes que mes iens ront brules Aprenés.	ocaenes que mes yens ront brules Aprenés.
LE DOCTEVR.	LE DOCTEUR.
Comment que i’aprenne, Eſprit groſſier ame mal ſeine, Aprenés, ne ſçay tu pas bien Qu’vn Docteur n’ignore de rien, Que toutes les plus rares choſes Dedans moy ſont toutes encloſes.	Comment que j'aprenne, Esprit grossier âme mal seine, Aprenés, ne sais tu pas bien Qu'un Docteur n'ignore de rien, Que toutes les plus rares choses Dedans moi sont toutes encloses.
Que ie paſſe chez les ſçauans Pour vn miracle de mon temps, Qu’il n’eſt point d’eſprit qui ne cedeAux ſciences que it prneue, Dont ſçachant tout de bout en bout Qui dit Docteur veut dire tout, Et tu me vient dire d’aprendre	Que était passe chez les savants Pour un miracle de mon temps, Qu'il n'est point d'esprit qui ne cèdeAux sciences que it prenue, Dont apprendre tout de bout en bout Qui dit Docteur veut dire tout, Et tu me vient dire d'apprendre
GVILLOT.	GUILOT.
Ah, que ne te puis ie voir pendre, Ie vous veux dire que l’amour	Ah, que ne te puis toujours voir pendre, Je vous veux dire que l'amour
LE DOCTEVR.	LE DOCTEUR.
