POLYEVCTE, Seigneur d’Armenie, gendre de Felix,	POLYEUCTE, Seigneur d'Arménie, gendre de Félix,
Pour rendre les ehoſes proportionnées, il falloit aller à la plus haute eſpece, & n’entreprendre pas de rien offrir de cette uature à vne Reyne Tres-Chreſtienne, & qui l’eſt beaucoup plus encore par ſes actions que par ſon titre, à moins que de luy offrir vn portrait des vertus Chrestiennes, dont l'amour & la gloire de Dieu formaſſent les plus veuux traits & qui rendiſt les plaiſirs qu’elle y' pourra prendre auſſi propres à exercer ſa pieté qu’à delaſſer ſon eſprit.	Pour rendre les éphoses proportionnées, il fallait aller à la plus haute espèce, et n'entreprendre pas de rien offrir de cette uature à une Reine Très-Chrestienne, et qui l'est beaucoup plus encore par ses actions que par son titre, à moins que de lui offrir un portrait des vertus Chrétiennes, dont l'amour et la gloire de Dieu formassent les plus veux et et qui rendît les plaisirs qu'elle y pourra prendre aussi propres à exercer sa piété qu'à délasser son esprit.
C’eſt à cette extraordinaire & admirable pieté, MADAME, que la France est redeuable des benedictions qu’elIe voit tomber ſur les premieres armes de ſon Roy, les heureux ſuccez qu’elles ont obtenus en ſont les retributions eſclatantes, & des coups du Ciel qui reſpand abondamment ſur tout le Royaume les recompenſes & les graces que voſtre Majeſté a meritées.	C'est à cette extraordinaire et admirable piété, MADAME, que la France est redevable des bénédictions qu'elIe voit tomber sur les premières armes de son Roi, les heureux succès qu'elles ont obtenus en sont les rétributions éclatantes, et des coups du Ciel qui répand abondamment sur tout le Royaume les récompenses et les grâces que votre Majesté a méritées.
Noſtre perte ſembloit infaillible apres celle de noſtre grand Monarque.	Notre perte semblait infaillible après celle de notre grand Monarque.
Toute l’Europe auoit deſia pitié de nous, & s’imaginoit que nous nous allions precipiter dins vn extréme deſordre, parce qu’elle nous voyoit dans vne extreme deſolation.	Toute l'Europe avait déjà pitié de nous, et s'imaginait que nous nous allions précipiter dins un extrême désordre, parce qu'elle nous voyait dans une extrême désolation.
Ce- pendant la prudence & les ſoins de Voſtre Majeſté les bons conſeils qu’elle a pris, les grands courages qu’elle a choiſis pour les executer, ont agy ſi puiſſamment dans tous les beſoins de l’Eſtat, que cette premiere année de ſa Regence a non ſeulement égalé les plus glorieuſes de l’autre regne, mais a meſmes effacé par la priſe de Thionville, le ſouuenir du malheur qui deuant ſes murs auoit interrompn une ſi tongue ſuite de victoires.	Ce- pendant la prudence et les soins de Votre Majesté les bons conseils qu'elle a pris, les grands courages qu'elle a choisis pour les exécuter, ont agi si puissamment dans tous les besoins de l'État, que cette première année de sa Régence a non seulement égalé les plus glorieuses de l'autre règne, mais a mêmes effacé par la prise de Thionville, le souvenir du malheur qui devant ses murs avait interrompn une si tongue suite de victoires.
PermetteZ que ie me laiſſe emporter au rauiſſement que me donne cette penſée, & que ie m’écrie dans ce tranſport.	Permettez que belle me laisse emporter au ravissement que me donne cette pensée, et que ici m'écrie dans ce transport.
hlancouuone Rouenutn regne ouuert en erlomphane y Puis que tu vois deſia les ordres de ta Reine Faire vn foudre en tes mains des armes d’vn Enfant.	hlancouuone Rouenut regne ouvert en erlomphane y Puis que tu vois déjà les ordres de ta Reine Faire un foudre en tes mains des armes d'Un Enfant.
Il ne faut point douter que des commen cemens ſi merueilleux ne joient fonſenm par des progreZ encore plus eſtonnans;	Il ne faut point douter que des commen céments si merveilleux ne joient fonds par des progrès encore plus étonnants;
Dieu ne laiſſe point ſes ouurages imparfaits il les acheuera, MADAME & rendra non feulement la Regeuce de Voſtre Majeſté, mais encore toute ſa vie vn enchaiſnement continuel de proſperitez.	Dieu ne laisse point ses ouvrages imparfaits il les achèvera, MADAME et rendra non feulement la Règuce de Votre Majesté, mais encore toute sa vie un enchaînement continuel de prospérités.
Ce ſont les vœux uit tomt la France, & ce ſont ceux que fait auec plus de Zele.	Ce sont les vœux uit tompt la France, et ce sont ceux que fait avec plus de Zèle.
MADAME,	MADAME,
De Voſtre Majeſté,	De Votre Majesté,
Le tres-humble, tres-obeyſſant, & tres-fidelle ſeruiteur & ſujet.	Le très-humble, très-obéissant, et très-fidelle serviteur et sujet.
CORNEILLE.	CORNEILLE.
A iij	À jijà
ABREGE' DV MARTYRE DE S.	ÀBREGE DU MARTYRE DE S.
POLYEVCTE, ESCRIT PAR SIMEON Metaphraſte, & rapporté par Surius.	POLYEUCTE, ÉCRIT PAR SIMEON Métaphraste, et rapporté par Surius.
Ingenieuſe tiſſure des fictions da beau ſecret de la Poëſie, produit d’ordinaire deux ſortes d’effets, El ſelon la diuerſité des eſprits qui la voyent.	Ingénieuse tissure des fictions da beau secret de la Poésie, produit d'ordinaire deux sortes d'effets, Él selon la diversité des esprits qui la voient.
Les vns ſe laiſſent ſi bien perſuader à cét enchaiſnement, qu’auſſi-toſt qu’ils ont remarqué quelques euenemens veritables, ils s’imaginent la meſme choſe des motifs qui les font naiſtre, & des circonſtances qui les accompagnent:	Les uns se laissent si bien persuader à cet enchaînement, qu'aussitôt qu'ils ont remarqué quelques événements véritables, ils s'imaginent la même chose des motifs qui les font naître, et des circonstances qui les accompagnent:
les autres mieux aduertis de noſtre artifice, ſoupçonnent de fauſſeté tout ce qui n’eſt pas de leur connoiſſance, ſi bien que quand nous traitons quelque Hiſtoire écartée dont ils ne trouuent rien dans leur ſouuenir, ils l’attribuent toute entiere à l’effort de noſtre imagination, & la prennent pour vne auanture de Romant.	les autres mieux avertis de notre artifice, soupçonnent de fausseté tout ce qui n'est pas de leur connaissance, si bien que quand nous traitons quelque Histoire écartée dont ils ne trouvent rien dans leur souvenir, ils l'attribuent toute entière à l'effort de notre imagination, et la prennent pour une aventure de Romant.
L'vn & l’autre de ces effets ſeroit dangereux en cette rencontre;	L'un et l'autre de ces effets serait dangereux en cette rencontre;
il y va de la gloire de Dieu qui ſe plaiſt dans celle de ſes Saincts, dont la mort ſi precieuſe deuant ſes yeux ne doit pas paſſer pour fabuleuſe deuant ceux des hommes.	il y va de la gloire de Dieu qui se plaît dans celle de ses Saints, dont la mort si précieuse devant ses yeux ne doit pas passer pour fabuleuse devant ceux des hommes.
Au lieu de ſanctifier noſtre Theatre par ſa repreſentation, nous y profanerions la ſaincteté de leurs ſouffrances, ſi nous permettious que la credulité des vns, & la deffiance des autres egalemënt abuſées par ce meſlange ſe mépriſſent également en la veneration qui leur eſt deuë, & que les premiers la rendiſſent mal à propos à ceux qui ne ſa meritent pas, cependant que les autres la dénieroient à ceux à qui elle appartient.	Au lieu de sanctifier votre Théâtre par sa représentation, nous y profanerions la sainteté de leurs souffrances, si nous permettious que la crédulité des uns, et la défiance des autres egalemënt abusées par ce mélange se méprissent également en la vénération qui leur est due, et que les premiers la rendissent mal à propos à ceux qui ne sa méritent pas, cependant que les autres la dénieraient à ceux à qui elle appartient.
Sainct Polyeucte eſt vn Martyr, dont s’il m’eſt permis de parler ainſi, beaucoup ont plutoſt appris le nom à la Comedie qu’à l’Egliſe.	Saint Polyute est un Martyr, dont s'il m'est permis de parler ainsi, beaucoup ont plutôt appris le nom à la Comédie qu'à l'Église.
Le Martyrologe Romain en fait mention ſur le 13, de Fevrier, mais en deux mots, ſuiuant ſa couſtume;	Le Martyrologe Romain en fait mention sur le 13, de Février, mais en deux mots, suivant sa coutume;
Baronius dans ſes Annales n’en dit qu’vne ligne, le ſeul Surius ou plutoſt Moſander qui l’a augmenté dans les dernieres impreſſions, en rapporte la mort aſtez au long ſur le 9.	Baronius dans ses Annales n'en dit qu'une ligne, le seul Surius ou plutôt Mosander qui l'a augmenté dans les dernières impressions, en rapporte la mort assez au long sur le 9.
de Ianuier, & i’ay creu qu’il eſtoit de mon deuoir d’en mettre icy l’abregé.	de Janvier, et j'ai cru qu'il était de mon devoir d'en mettre ici l'abrégé.
Comme il a eſté à propos d’en rendre la repreſentation agreable, afin que le plaiſir peuſt inſinuer plus doucement l’vtilité & luy ſeruir de vehicule pour la potter dans l’ame du peuple:	Comme il a été à propos d'en rendre la représentation agréable, afin que le plaisir pût insinuer plus doucement l'vtilité et lui servir de vehicule pour la potter dans l'âme du peuple:
il eſt iuſte auſſi de luy donner cette lumiere pour démeſler la verité d’auec ſes ornemens, & luy faire reconnoiſtre ce qui luy doit imprimer du reſpect comme Sainct, & ce qui le doit ſeulement diuertir comme induſtrieux.	il est juste aussi de gloire donner cette lumière pour démêler la vérité d'avec ses ornements, et et notre reconnaître ce qui lui doit imprimer du respect comme Saint, et ce qui le doit seulement divertir comme industrieux.
Voicy donc ce que ce dernier nous apprend.	Voici donc ce que ce dernier nous apprend.
Polyeucte & Nearque eſtoient deux Caualiers eſtroittement liez enſemble d’amitié:	Polyeucte et Narque étaient deux Cavaliers étroittement liés ensemble d'amitié:
Ils viuoienr en l’an 250.	Ils viuoienr en l'an 250.
ſous l’Empire de Decius;	sous l'Empire de Dius;
leur demeure eſtoit dans Melitene capitale d’Armenie, leur Religion differente, Nearque eſtant Chreſtien, & Polyeucte ſuiuant encore la ſecte des Gentils, mais ayant toutes les qualitez dignes d’vn Chreſtien, & vne grande inclinarion à le deuenir.	leur demeure était dans Mélitène capitale d'Arménie, leur Religion différente, Nearque étant Chrétien, et Polyeute suivant encore la secte des Gentils, mais ayant toutes les qualités dignes d'un Chrétien, et une grande inclinion à le devenir.
L’Empereur ayant fait publier vn Edict tres rigoureux contre les Chreſtiens, cette publication donna vn grand.	L'Empereur ayant fait publier un Édit très rigoureux contre les Chrétiens, cette publication donna un grand.
trouble à Nearque, non pour la crainte des ſupplices dont il eſtoit menacé, mais pour l'apprehenſion qu’il eut que leur amitié ne ſouffriſt quelque ſeparation ou refroidiſſement par cét Edict, veu les peines qui y eſtoient propoſées à ceux de ſa Religion, & les honneurs promis à ceux du party contraire.	trouble à Narque, non pour la crainte des supplices dont il était menacé, mais pour l'appréhension qu'il eut que leur amitié ne souffrît quelque séparation ou refroidissement par cet Édit, vu les peines qui y étaient proposées à ceux de sa Religion, et les honneurs promis à ceux du parti contraire.
Il en conceut vn ſi profond déplaiſir, que fon amy s’en apperceut, & l’ayant obligé de luy en dire la cauſe, il priſt de là occaſion de luy ouurir ſon cœur.	Il en conçut un si profond déplaisir, que son ami s'en aperçut, et l'ayant obligé de mieux en dire la cause, il prît de là occasion de deux ouvrir son cœur.
Ne craignez point, luy dit-il, que l’Edict de l’Empereur nous deſvniſſe, i’ay veu cette nuit le Chriſt que vous adorez, il m’a de ſpoüillé d’vne robbe ſale pour me reueſtir d vne autre toute lumineuſe, & m’a fait monter ſur vn cheual aiſſé pour le ſuiure.	Ne craignez point, lui dit-il, que l'Édict de l'Empereur nous désunisse, j'ai vu cette nuit le Christ que vous adorez, il m'a de spoüillé d'une robe sale pour me reuestir dès une autre toute lumineuse, et m'a fait monter sur un cheval aissé pour le suivre.
Cette viſion m'a reſolu entierement à faire ce qu’il y a long-temps que ie médite, le ſeul nom de Chreſtien me manque, & vous meſmes toutes les fois que m’auez parlé de voſtre Meſſie, vous auez peu remarquer que ie vous ay touſiours eſcouté auec reſpect, & quand vous m’auez leu ſa vie & ſes enſeignemens, i’ay touſiours admiré la ſaincteté de ſes actions & de ſes diſcours.	Cette vision m'a résolu entièrement à faire ce qu'il y a longtemps que sans médite, le seul nom de Chrétien me manque, et vous mêmes toutes les fois que m'avez parlé de votre Messie, vous avez pu remarquer que je vous ai toujours écouté avec respect, et quand vous m'avez lu sa vie et ses enseignements, j'ai toujours admiré la sainteté de ses actions et de ses discours.
O Nearque, ſi ie ne me croyois point indigne d’aller à luy ſans eſtre initié de ſes myſteres, & auoir receu la grace de ſes Sacremens, que vous verriez eſclater l’ardeur que i’ay de mourir pour ſa gloire & le ſouſtien de ſes eternelles veritez!	Ô Nearque, si ici ne me croyais point indigne d'aller à lui par estre initié de ses mystères, et avoir reçu la grâce de ses Sacrements, que vous verriez éclater l'ardeur que j'ai de mourir pour sa gloire et le soutien de ses éternelles vérités!
Nearque l’ayant eſclaitcy du ſcrupule où il eſtoit par l’exemple du bon Larron qui en vn moment merita le Ciel, bien qu’il n’euſt pas receu le Bapteſme, auſſi toſt noſtre Martyr plein d’vne ſaincte ferueur, prend l’Edict de l’Empereur, crachedeſſus & le déchire en morceaux qu’il jette au vent;	Nearque l'ayant éclaitci du scrupule où il était par l'exemple du bon Larron qui en un moment mérita le Ciel, bien qu'il n'eût pas reçu le Baptême, aussi tôt notre Martyr plein d'une sainte ferveur, prend l'Édit de l'Empereur, crachedessus et le déchire en morceaux qu'il jette au vent;
& voyant des Idoles que le peuple portoit ſur les Autels pour les adorer, il les arrache à ceux qui les portoient, les briſe contre terre & les foule aux pieds, eſtonnant tout le monde & ſon amy meſme, par la chaleur de ce zele qu’il' n’auoit pas eſperé.	et voyant des Idoles que le peuple portait sur les Autels pour les adorer, il les arrache à ceux qui les portaient, les brise contre terre et les foule aux pieds, étonnant tout le monde et son ami même, par la chaleur de ce zèle qu'il n'avait pas espéré.
Son beau-pere Felix qui auoit la commiſſion de l’Empereur pour perſecuter les Chreſties, ayant veu luy-meſme ce qu’auoit fait ſon gendre, ſ'aiſi de douleur de voir l’eſpoir & l’appuy de ſa famille perdus, taſche d’eſbranler ſa conſtance premierement par des belles patoles, en ſuite par des menaces, enfin par éeoups qu’il luy fait donner par ſes bourreaux ſur tout le viſage;	Son beau-père Félix qui avait la commission de l'Empereur pour persécuter les Chréties, ayant vu Roy-même ce qu'avait fait son gendre, s'aisy de douleur de voir l'espoir et l'appui de sa famille perdus, tâche d'ébranler sa constance premièrement par des belles patoles, en suite par des menaces, enfin par éeoups qu'il avait fait donner par ses bourreaux sur tout le visage;
mais n’en ayant peu venir à bout, pour dernier effort il luy enuoye ſa fille Pauline, afin de voir ſi ſes larmes n’auroient point plus de pouuoir ſur l’eſprit d’vn mary, que n’auoient eu ſes artifices & ſes rigueurs.	mais n'en ayant pu venir à bout, pour dernier effort il lui envoie sa fille Pauline, afin de voir si ses larmes n'auraient point plus de pouvoir sur l'esprit d'un mari, que n'avaient eu ses artifices et ses rigueurs.
Il n’auance tien dauantage par là, au coutraire voyant que ſa fermeté conuertiſſoit beaucoup de Payens, il le condamne à perdre la teſte.	Il n'avance tien davantage par là, au coutraire voyant que sa fermeté convertissait beaucoup de Païens, il le condamne à perdre la tête.
Cét Arreſt fut executé ſur l’heure, & le ſainct Martyr ſans autre Bapteſme que de ſon ſang s’en alla prendre ponemon ue la glelte que Dieu a promiſe à ceux qui renonceroient à eux-meſmes pour l’amour de luy.	Cet Arrêt fut exécuté sur l'heure, et le saint Martyr sans autre Baptême que de son sang s'en alla prendre ponemon élève la glelte que Dieu a promise à ceux qui renonceraient à eux-mêmes pour l'amour de Se.
Voilà en peu de mots ce qu’en dit Surius.	Voilà en peu de mots ce qu'en dit Surius.
Le ſonge de Pauline, l’amour de Seuere, le Bapteſme effectif de Polyeucte, le ſacrifice pour la victoire de l’Empereur, la dignité de Felix que ie fais Gouuerneur d’Armenie, la mort de Nearque, la conuerſion de Felix & de Pauline, ſont des inuentions & des embelliſſemens de Theatre.	Le songe de Pauline, l'amour de Seuère, le Baptême effectif de Polyeute, le sacrifice pour la victoire de l'Empereur, la dignité de Félix que je fais Gouverneur d'Arménie, la mort de Narque, la conversion de Félix et de Pauline, sont des inventions et des embellissements de Théâtre.
La ſeule victoire de l’Empereur contre les Perſes a quelque fondement dans l’Hiſtoire, & ſans chercher d’autres Aurheurs, elle eſt rapportée par Monſieur Coëffeteau dans ſon Hiſtoire Romaine:	La seule victoire de l'Empereur contre les Perses a quelque fondement dans l'Histoire, et sans chercher d'autres Aurheurs, elle est rapportée par Monsieur Coëffeteau dans son Histoire Romaine:
mais il ne dit pas ny qu’il leur impoſa tribut, ny qu’il enuoya faire des Sacrifices de remerciement en Armenie.	mais il ne dit pas homme qu'il leur imposa tribut, ni qu'il envoya faire des Sacrifices de remerciement en Arménie.
Si i’ay adjouſté ces incidens & ces particularitez ſelon l’art ou non, les ſçauans en iugeront, mon but icy n’eſt pas de les iuſtifier, mais ſeulement d’aduertir le Lecteur de ce qu’il npeut croire.	Si j'ai ajouté ces incidents et ces particularités selon l'art ou non, les sçauans en jugeront, mon but ici n'est pas de les justifier, mais seulement d'avertir le Lecteur de ce qu'il nut croire.
TOLIEVCIE MARTYR, TRAGEDIE CHRESTIENNE.	TOLIEUCIE MARTYR, TRAGÉDIE CHRÉTIENNE.
ACEINS LRDATEA M.	ACEINS LRDATEA M.
POLYEVCTE, NEARQVE.	POLYEUCTE, NEARQUE.
*y NEARQVE.	O*i NEARQUE.
VoY?	VoY?
vous vous arreſtez aux ſonges d’vne femme!	vous vous arrêtez aux songes d'une femme!
De ſi foibles ſujets troublent cette grand' ame !	De si faibles sujets troublent cette grand' âme !
Et ce cœur tant de fois dans la E guerre eſprouué S’alarme d’vn peril qu’vne femme a reſué?	Et ce cœur tant de fois dans la E guerre éprouvé S'alarme d'un péril qu'une femme a résué?
POLYEVCTE.	POLYEUCTE.
Ie ſçay ce qu’eſt vn ſonge & le peu de croyance Qu’vn homme doit donner à ſon extrauagance, Qui d’vn amas confus des vapeurs de la nuit Forme de vains objets que le réueil détruit:	Je sais ce qu'est un songe et le peu de croyance Qu'un homme doit donner à son extravagance, Qui d'un amas confus des vapeurs de la nuit Forme de vains objets que le rueil détruit:
Mais vous ne ſçauez pas ce que c’eſt qu’vne femme, Ny le iuſte pouuoir qu’elle prend ſur vne ame Quand apres vn long-temps qu’elle a ſçeu nous charmer Les flambeaux de l’Hymen viennent de s’allumer.	Mais vous ne savez pas ce que c'est qu'une femme, Ny le juste pouvoir qu'elle prend sur une âme Quand après un longtemps qu'elle a su nous charmer Les flambeaux de l'Hymen viennent de s'allumer.
Pauline ſans raiſon dans la douleur plongée Craint & croit deſia voir ma mort qu’elle a ſongée, Elle oppoſe ſes pleurs au deſſein que ie fais, Et taſche à m’empeſcher de ſortir du Palais;	Pauline sans raison dans la douleur plongée Craint et croit déjà voir ma mort qu'elle a songée, Elle oppose ses pleurs au dessein que je fais, Et tâche à m'empêcher de sortir du Palais;
Ie meſpriſe ſa crainte & ie cede à ſes larmes, Elle me fait pitié ſans me donner d’alarmes, Et mon cœur attendry ſans eſtre intimidé N’oſe dé plaire aux yeux dont il eſt poſſedé.	Je méprise sa crainte et ainsi cède à ses larmes, Elle me fait pitié sans me donner d'alarmes, Et mon cœur attendri sans être intimidé N'ose de plaire aux yeux dont il est possédé.
L’occaſion, Nearque, eſt elle ſij preſſante Rouimuo mennuuiuuuiuuu louplis d’vne amante?	L'occasion, Nearque, est elle si pressante Rouimuo mennuuiuuuiuuu louplis d'une amante?
Remettons ce deſſein qui l’accable d’ennuy, Nous le pourrons demain auſſi bien qu’aujourd’huy.	Remettons ce dessein qui l'accable d'ennui, Nous le pourrons demain aussi bien qu'aujourd'hui.
NEARQVE.	NEARQUE.
Ouy, mais où prenez-vous l’infaillible aſſeurãce D’auoir aſſez de vie ou de perſeuerance?	Oui, mais où prenez-vous l'infaillible assurance D'avoir assez de vie ou de persévérance?
Ce Dieu qui tient voſtre ame & vos iours dans ſa main Vous a-t-il aſſeuré de le pouuoir d'emain?	Ce Dieu qui tient votre âme et vos jours dans sa main Vous a-t-il assuré de le pouvoir d'emain?
Il eſt touſiours tout iuſte & tout bon, mais ſa grace Ne deſcend pas touſiours auec meſme efficace, Apres certains momens que perdent nos longueurs.	Il est toujours tout juste et tout bon, mais sa grâce Ne descend pas toujours apprendre efficace, Après certains moments que perdent nos longueurs.
Elle quitte ces traits qui penetrent les cœurs.	Elle quitte ces traits qui pénètrent les cœurs.
Le bras qui la verſoit s’arreſte & ſe courrouce, Noſtre cœur s’endurcit & ſa pointe s’émouſſe, Et cette ſainte ardeur qui nous emporte au bien Tombe ſur vn rocher & n’opere plus rien.	Le bras qui la versait s'arrête et se courrouce, Notre cœur s'endurcit et sa pointe s'émousse, Et cette sainte ardeur qui nous emporte au bien Tombe sur un rocher et n'opère plus rien.
Celle qui vous preſſoit de courir au Bapteſme Langui ſſant deſia ceſſe d’eſtre la meſme, Et pour quelques ſouſpirs qu’on vous a fait ouyr Sa flame ſe diſſipe & va s’éuanouyr.	Celle qui vous pressait de courir au Baptême Langui sant déjà cesse d'être la même, Et pour quelques soupirs qu'on vous a fait ouïr a flamme se dissipe et va s'évanouir.
POLYEVCTE.	POLYEUCTE.
Vous me connoiſſez mal, la meſme ardeur me brûle, Et le deſir s’accroiſt quand l’effect ſe recule.	Vous me connaissez mal, la même ardeur me brûle, Et le désir s'accroît quand l'effet se recule.
Ces pleurs que ie regarde auec vn œil d’eſpoux Me laiſſenr dans le cœur auſſi Chreſtien que vous :	Ces pleurs que personne regarde était un œil d'époux Me laissenr dans le cœur aussi Chrétien que vous :
Mais pour en receuoir le ſacré caractere Qui laue nos forſaits dans vne eau ſalutaire, Et d’vn rayon diuin nous deſfillant les yeux Nous rend le premier droit que nous auions aux Cieux, Quoy que ie le prefere aux grandeurs d’va Empire, Comme le bien ſupréme & le ſeul où j’aſpire.	Mais pour en recevoir le sacré caractère Qui lave nos forsaits dans une eau salutaire, Et d'un rayon divin nous dessillant les yeux Nous rend le premier droit que nous avions aux Cieux, Quoque ie le préfère aux grandeurs d'a Empire, Comme le bien suprême et le seul où j'aspire.
Ie croy pour ſatisfaire vn iuſte & ſaint amour Pouuom au pounomdueroce umerer a vi four.	Je crois pour satisfaire un juste et saint amour Pouuom au pounomdueroce umerer a vi our.
NEARQVE.	NEARQUE.
Ainſi du genre humain l’enuemy vous abuſe, Ce qu’il ne peut de force, il l’entreprend de ruſe.	Ainsi du genre humain l'envemi vous abuse, Ce qu'il ne peut de force, il l'entreprend de ruse.
UYEIZA Ialoux des bons deſſeins qu’il râche d’ébranler.	UYEIZA Ialoux des bons desseins qu'il râche d'ébranler.
Quand il ne les peut rompre, il pouſſe à reculer:	Quand il ne les peut rompre, il pousse à reculer:
D’obſtacle ſur obſtacle il va troubler le voſtre, Aujourd’huy par des pleurs, chaque iour par quelqu’autre.	D'obstacle sur obstacle il va troubler le vôtre, Aujourd'hui par des pleurs, chaque jour par quelqu'autre.
Ce ſonge ſi remply de noires viſions N’eſt que le coup d’eſſay de ſes illuſions, Il met tout en vſage, & priere, & menace, Il attaque touſiours & iamais ne ſe laſſe, Il croit pouuoir enfin ce qu’encor il n’a pû, Et que ce qu’on diſſere eſt à demy rompu.	Ce songe si rempli de noires visions N'est que le coup d'essai de ses illusions, Il met tout en usage, et prière, et menace, Il attaque toujours et jamais ne se lasse, Il croit pouvoir enfin ce qu'encor il n'a pu, Et que ce qu'on dissemère est à demi rompu.
Rompez ſes premiers coups, laiſſez pleurer Pauline, Dieu ne veut point d’vn cœur que le monde domine, Qui regarde en arriere & douteux en ſon choix, Lors que ſa voix l’appelle, eſcoute vne autre voix.	Rompez ses premiers coups, laissez pleurer Pauline, Dieu ne veut point d'un cœur que le monde domine, Qui regarde en arrière et douteux en son choix, Lors que sa voix l'appelle, écoute une autre voix.
POLYEVCTE.	POLYEUCTE.
Pour ſe donner à luy faut-il n’aymer perſonne?	Pour se donner à vertu faut-il n'aimer personne?
NEARQVE.	NEARQUE.
Nous pouuons tout aymer, il le ſouffre, il l’ordonne, Mais ce grand Roy des Roys, ce Seigneur des Seigneurs Veut le premier amour & les premiers honneurs.	Nous pouvons tout aimer, il le souffre, il l'ordonne, Mais ce grand Roi des Rois, ce Seigneur des Seigneurs Veut le premier amour et les premiers honneurs.
Comme rien n’eſt égal à ſa grandeur ſupreme Il faut ne rien aymer qu’apres luy, qu’en luymeſme, Negliger pour luy plaire & femme & biens & rang, Expoſer pour fa gloire & verſer tout ſon ſang.	Comme rien n'est égal à sa grandeur suprême Il faut ne rien aimer qu'après deux, qu'en toutefois, Négliger pour lui plaire et femme et biens et rang, Exposer pour fa gloire et verser tout son sang.
Mais que vous eſtes loin de cette amour parfaite Qui vous eſt neceſſaire & que ie vous ſouhaite!	Mais que vous êtes loin de cette amour parfaite Qui vous est nécessaire et que je vous souhaite!
Ie ne vous puis parler que les larmes aux yeux, Polyeucte, aujourd’huy qu’on nous hait en tous lieux, Qu'on croit ſeruir l’Eſtat quand on nous perſecute, on d Qu’aux plus aſpres tourmens vn Chreſtien eſt en butte, Comment en pourrez-vous ſurmonter les douleurs Si vous ne pouuez pas reſiſter à des pleurs?	Je ne vous puis parler que les larmes aux yeux, Polieute, aujourd'hui qu'on nous hait en tous lieux, Qu'on croit servir l'État quand on nous persécute, on d 'aux plus âpres tourments un Chrétien est en butte, Comment en pourrez-vous surmonter les douleurs Si vous ne pouvez pas résister à des pleurs?
POLYEVCTE.	POLYEUCTE.
Vous ne m’eſtonnez point, la pitié qui me bleſſe Eſt grandeur de courage auſſi-toſt que foibleſſe, Sur mes pareils, Nearque, vn bel œil eſt bien fort.	Vous ne m'étonnez point, la pitié qui me blesse Est grandeur de courage aussitôt que faiblesse, Sur mes pareils, Nearque, un bel œil est bien tôt.
Tel craint de le fâcher qui ne craint pas la mort Et s’il faut affronter les plus cruels ſupplices, Y trouuer des appas, en faire mes delices, Voſtre Dieu, que ie n’oſe encor nommer le mien, M’en donnera la force en me faiſant Chreſtien,	Tel craint de le fâcher qui ne craint pas la mort Et s'il faut affronter les plus cruels supplices, Y trouver des appas, en faire mes délices, Votre Dieu, que je n'ose encor nommer le mien, M'en donnera la force en me faisant Chrétien,
NEARQVE.	NEARQUE.
Haſtez vous donc de l’eſtre.	Hâtez -vous donc de l'être.
POLYEVCTE.	POLYEUCTE.
