2 TuE LES TESEDROVL L Man.	2 TuE LES TESEDROUL L An.
Ie iette volontiers ce premiet feu aſſez prodiguement, afin que de ſes cendres ( s’il en ſouffre) puiſſe renaiſtre vne eſſence ſi pure que rien de groſſier ne la chocque.	Je jette volontiers ce premiét feu assez prodiguement, afin que de ses cendres ( s'il en souffre) puisse renaître une essence si pure que rien de grossier ne la chocque.
Ie ne conçois pas ces matieres de renommée, pour en eſ, perer en eſtre flatté, mais bien loüé tout à fait.	Je ne conçois pas ces matières de renommée, pour en es, pérer en être flatté, mais bien loué tout à fait.
C’eſt pourquoy quand ie voudray meriter de vrays eloges, mon ambition en donnera de veritables ſubjets.	C'est pourquoi quand ainsi voudrai mériter de vrais éloges, mon ambition en donnera de véritables sujets.
Au reſte, ne t’arreſte pas tant aux regles de la Tragicomedie en liſant celle cy, ny aux loix du theatre François;	Au reste, ne t'arrête pas tant aux règles de la Tragicomédie en lisant celle cy, ni aux lois du théâtre Français;
Telle contrainte, qui n’eſt que bien-ſeante aux mercenaires, me ſieroit aſſez mal, à cauſe que ie la hays.	Telle contrainte, qui n'est que biensanté aux mercenaires, me siérait assez mal, à cause que ie la hais.
AVLECILVR.	AULECILUR.
Pour moy ſuie me voulois captiuer iuſques au poinct de me plaire par mes eſcrits, ie les eſloignetois des profanations de ces hoſtels publies, où les ſots ſont auſſi bien receus à cenſurer que les bons eſprits, & ne voudrois les conſacrer qu’aux autels ſaincts & auguſtes de la Renommée.	Pour moi sujet me voulais captiver jusques au point de me plaire par mes écrits, que les esloignetois des profanations de ces hôtels publies, où les sots sont aussi bien reçus à censurer que les bons esprits, et ne voudrais les consacrer qu'aux autels saints et augustes de la Renommée.
Il faut approuuer vn Iuge pacifique & graue, & non pas violent & badin, comme ſont mille petits eſprits eſtroppiez, & certaines teſtes de giroüettes, dont l’ignorance eſt trop groſſiere pour admiter, & l’enuie trop aueugle pour loüer, & qui n’aymant que les choſes baſſes qui leur ſemblent, haiſſent conſequemment leurs contraires.	Il faut approuver un Juge pacifique et grave, et non pas violent et badin, comme sont mille petits esprits estroppiez, et certaines têtes de guette, dont l'ignorance est trop grossière pour admiter, et l'envie trop aveugle pour louer, et qui n'aimant que les choses basses qui leur semblent, haïssent conséquemment leurs contraires.
Vn honneſte homme ſe rit de ces eſprits malades, comme d’vne farce, & ſe ſoucie de leur mediſance comme vn genereux lyon de l’aboy des chiens.	Un honnête homme se rit de ces esprits malades, comme d'une farce, et se soucie de leur médisance comme un généreux lyon de l'aboi des chiens.
A la verité ie confeſſe que ceux qui ſe meſſeront de cenſurer mes vers (qui ne meritent point de gloire, ny de recompenſe, puiſque ie n’y ay point mis de mon trauail) ne laiſſeront pas pourtant deſe faire tort, en choquant l’opinion de ceux qui applaudiſſent à mon deſſein par l’expoſition de leur propre gloire.	À la vérité Seigneur confesse que ceux qui se messeront de censurer mes vers (qui ne méritent point de gloire, ni de recompense, puisque sans n'y ai point mis de mon travail) ne laisseront pas pourtant dese faire tort, en choquant l'opinion de ceux qui applaudissent à mon dessein par l'exposition de leur propre gloire.
Seul motif qui m’a porté à te donner ces PASSIONS, que ie nommeray touſiours ESGAREES, iuſques à ce que ce ſiecle infortuné dans ſa propre ſplendeur, donne aux bonnes choſes vn meilleur refuge.	Seul motif qui m'a porté à te donner ces PASSIONS, que ie nommerai toujours ÉGARES, jusques à ce que ce siècle infortuné dans sa propre splendeur, donne aux bonnes choses un meilleur refuge.
Ce n’eſt pas que ie n’ayme par raiſon tout ce que ie ne dois pas aymer par inclination, & que ie veille à la recherche de ceux que le grand eſclat eſblouït au lieu de les éclairer, mais ſimplement d’oſter de moy ce qui eſtoit ſuperflu pour n’y laiſſer que la pureté des belles choſes, & l’eſſence des bonnes.	Ce n'est pas que ici n'aime par raison tout ce que je ne dois pas aimer par inclination, et que ie veille à la recherche de ceux que le grand éclat éblouit au lieu de les éclairer, mais simplement d'ôter de moi ce qui était superflu pour n'y laisser que la pureté des belles choses, et l'essence des bonnes.
Mon deſſein n’a donc eſté que d’approuuer le merite dans ſa ſource, & de blaſmer l’imperfection en queld’eſtre vertueux quand l’occaſion s’en preſente.	Mon dessein n'a donc été que d'approuver le mérite dans sa source, et de blâmer l'imperfection en queld'être vertueux quand l'occasion s'en présente.
Que ſi tu lis de bons & de mauuais vers, tù y verras du moins vn combat du bien & du mal, me ſouciant fort peù à qui de toy ou de moy en appartienne la victoire.	Que si tu lis de bons et de mauvais vers, tù y verras du moins vn combat du bien et du mal, me souciant fort péù à qui de toi ou de moi en appartienne la victoire.
Ie me ſuis voulu donner la ſatisfaction d’exhaler en des paroles tous les ſentimens qu’auront icy les eſprits fantaſques, eſtimant en cas de liberté & de verité, que ce n’eſt pas vn ſi grand mal de les dire que de les penſer:	Je me suis voulu donner la satisfaction d'exhaler en des paroles tous les sentiments qu'auront ici les esprits fantasques, estimant en cas de liberté et de vérité, que ce n'est pas un si grand mal de les dire que de les penser:
perſonne ne s’en peut meſcontenter qu’en confeſſant ſes deffaux ou applaudiſſant à ſes propres vertus, quoy qu’il arriue, & s’il y a des intereſſez, pourquoy ſont-ils vicieux?	personne ne s'en peut mécontenter qu'en confessant ses défauts ou applaudissant à ses propres vertus, quoi qu'il arrive, et s'il y a des intéressez, pourquoi sont-ils vicieux?
que ne deuiennent-ils honneſtes gens s’ils veulent eſtre eſtimez tels?	que ne deviennent-ils honnêtes gens s'ils veulent être estimés tels?
La loüange des imparfaits eſt vn vice, & le ſilence aupres des vertus vne ingratitude.	La lange des imparfaits est un vice, et le silence auprès des vertus une ingratitude.
Ces deux cauſes ſeulement ont produit tous les beaux effets, & m’ont deſrobé les regles du theatre, pour dilater à mon aize ce qui m’a pleu, car ie ſuis d’vne humeur qui eſtime deuoir autant à moy meſme qu’à perſonne.	Ces deux causes seulement ont produit tous les beaux effets, et m'ont dérobé les règles du théâtre, pour dilater à mon aize ce qui m'a plu, car je suis d'une humeur qui estime devoir autant à moi même qu'à personne.
Et puis il euſt eſté de mauuaiſe grace de me contraindre dans la liberté que i’ay priſe de feindre vn Roman, dans lequel i’ay fait neceſſairement tomber aſſez de diuerſitez pour toucher toutes ſortes d’humeurs, & leur apprendre naïuement les ſentimens vn peu iuſtes, qu’vn homme de bien peut auoir du temps où nous ſommes.	Et puis il eût été de mauvaise grâce de me contraindre dans la liberté que j'ai prise de feindre un Roman, dans lequel j'ai fait nécessairement tomber assez de diversités pour toucher toutes sortes d'humeurs, et leur apprendre naïvement les sentiments un peu justes, qu'un homme de bien peut avoir du temps où nous sommes.
Car toute timidité ceſſante, la nature ne nous a pas fait ſemblables au Crocodille qu’on dit auoir des yeux pour pleurer, & point de langue pour ſe plaindre.	Car toute timidité cessante, la nature ne nous a pas fait semblables au Crocodille qu'on dit avoir des yeux pour pleurer, et point de langue pour se plaindre.
I’ay voulu flatter la Beauté, faire agir l’Amour, former les mœurs, louër les vertus, blaſmer les vices, eſmouuoir la guerre, eſtablir la paix, faire plaindre l’infortuné, & ſoulager la peine, affliger la malice, conſoler l’af	J'ai voulu flatter la Beauté, faire agir l'Amour, former les mœurs, louer les vertus, blâmer les vices, émouvoir la guerre, établir la paix, faire plaindre l'infortuné, et soulager la peine, affliger la malice, consoler l'as
LES PASSION I ESGAREES.	LES PASSION I SGARES.
LER uv.	LER uv.
O V OMA AARN.	Ô V OMA RN.
R3 22 N	R3 22 N
ACTE PREMIER.	ACTE PREMIER.
SCENE PREMIERE.	SCÈNE PREMIÈRE.
Calyante aux Trompettes, qu’il fait ceſſer.	Calyante aux Trompettes, qu'il fait cesser.
Eſſez de ſouſpirer aux guerrieres allarmes, Espargnez tout le ſang pour en faire des larmes, Vous offencez vn Dieu dont les iustes autels N'ont point de différence auecque les mortels:	Essez de soupirer aux guerrières alarmes, Espargnez tout le sang pour en faire des larmes, Vous offensez un Dieu dont les justes autels N'ont point de différence auecque les mortels:
8 PASSIONS Amour eſt trop puiſſant pour luy faire la guerre, Et pour vaincre le Ciel c’est trop peu que la terre.	8 PASSIONS Amour est trop puissant pour lui faire la guerre, Et pour vaincre le Ciel c'est trop peu que la terre.
Tout reſſent icy bas de ſi belles douleurs, Le iour a de la flame, & l’air verſe des pleurs.	Tout ressent ici bas de si belles douleurs, Le jour a de la flamme, et l'air verse des pleurs.
Les rochers & les bois adorent ſon empire, Flore aime, Echo gemit, & Zephire ſoûpire.	Les rochers et les bois adorent son empire, Flore aime, Écho gémit, et Zéphire soupire.
La terre, comme nous, rit à ce beau deſſein, Et preſente des fruicts à qui luy fend le ſein.	La terre, comme nous, rit à ce beau dessein, Et présente des fruits à qui était fend le sein.
Auant que d’esprouuer ce que peut vn viſage Le plaiſir de nos ſens n’est pas à noſtre vſage, L’homme eſt vn antmal qui n'a que la raiſon, Son ame est dans le corps comme dans ſa priſon, Nous nous aimons nous-meſme, & ie crois que la haine Dans ſes decrets d’amour est touſiours à la geſne.	Avant que d'éprouver ce que peut -ce visage Le plaisir de nos sens n'est pas à notre usage, L'homme est un antmal qui n'a que la raison, Son âme est dans le corps comme dans sa prison, Nous nous aimons nous-même, et et crois que la haine Dans ses décrets d'amour est toujours à la gêne.
Mais pour rendre l'Amour amoureux de nos iours, La cruauté cherit les lyons & les ours, Le feint aime le faux comme vn bien veritable, Et tout vas' vniſſant auecque ſon ſemblable.	Mais pour rendre l'Amour amoureux de nos jours, La cruauté chérit les lions et les ours, Le feint aime le faux comme un bien véritable, Et tout vas' Unissant auecque son semblable.
I’es prouue toutefois le contraire en aimant, Celle de qui l'abſence approche mon tourment, St l’Amour ſeulement eſclaue de ſa grace, En apportoit icy quelque legere trace Nous ſerions amoureux de nos propres amours, Le t'emps meſme aimeroit le nombre de nos iours, Et tout ce que l’Amour dans ces beaux lieux enſerre, Voudroit rendre le Ciel amoureux de la terre:	J'es prouve toutefois le contraire en aimant, Celle de qui l'absence approche mon tourment, St l'Amour seulement esclaue de sa grâce, En apportait ici quelque légère trace Nous serions amoureux de nos propres amours, Le t'emps avoir aimerait le nombre de nos jours, Et tout ce que l'Amour dans ces beaux lieux enserre, Voudrait rendre le Ciel amoureux de la terre:
Mais puis qu'elle eſt abſente il ſuffit que mes-pleurs Reuerent ſon image au milieu de ces fleurs, Si ce n’est toutefois qu’vn vœu d’idolatrie, Me donne le deſſein de trahir ma patrie.	Mais puis qu'elle est absente il suffit que mes-pleurs Revèrent son image au milieu de ces fleurs, Si ce n'est toutefois qu'un vœu d'idolâtrie, Me donne le dessein de trahir ma patrie.
Paris en fit de meſme, & ſon Heleine auſsi Souffroit innocemment par vn meſme ſoucy, Mon amour y conſent, qu’est-ce, bien qu’vn ſupplice Quand il eſt question de ſeruir Artenice.	Paris en fit de même, et son Heleine aussi Souffrait innocemment par un même souci, Mon amour y consent, qu'est-ce, bien qu'un supplice Quand il est question de servir Artenice.
Grand cœur prepare toy d’obeyr à ſa loy, Autrement fais deſſein de ſortir de chez moy.	Grand cœur prépare toi d'obéir à sa loi, Autrement fais dessein de sortir de chez moi.
Icy la trahiſon me doit rendre fidelle, (La mort pardonne tout quand on peche pour elle) C’est icy que la mort ſe marie à l’Amour, Et que dans vne nuict ie dois perdre le iour.	Ici la trahison me doit rendre fidèle, (La mort pardonne tout quand on pèche pour elle) C'est ici que la mort se marie à l'Amour, Et que dans une nuit Seigneur dois perdre le jour.
Filandre.	Filandre.
Amour, perit vainqueur du Ciel & de la terre, Puis qu’on t’aime ſi fort, pourquoy fais-tu la guerre?	Amour, périt vainqueur du Ciel et de la terre, Puis qu'on t'aime si fort, pourquoi fais-tu la guerre?
Tout le monde nous dit que tu n’as pas des yeux, Et tu vois toutefois que tu bleſſe les Dieux;	Tout le monde nous dit que tu n'as pas des yeux, Et tu vois toutefois que tu blesse les Dieux;
La prudence nous dit qu’on ne craint point tes armes, Et tes fleches pourtant nous donnent des allarmes;	La prudence nous dit qu'on ne craint point tes armes, Et tes flèches pourtant nous donnent des alarmes;
L’on confeſſe par tout que tu peus tout guerir, Moy ſeul en t'inuoquant ie ne puis que mourir.	L'on confesse par tout que tu pus tout guérir, Moi seul en t'invoquant ie ne puis que mourir.
Amour eſt vn tyran, qui parmy ſes tortures Ioint le deſtin des Dieux auec les creatures;	Amour est un tyran, qui parmi ses tortures Joint le destin des Dieux auec les créatures;
Amour eſt vn flambeau qui conduit aiſémenst	Amour est un flambeau qui conduit aisémenst
A ij	À ij
La puiſſance de l’ame à ſon aueuglement;	La puissance de l'âme à son aveuglement;
Amour eſt vn rocher, dont les triſtes orages Ne m'ont tamais ſeruy qu’a faire des naufrages;	Amour est un rocher, dont les tristes orages Ne m'ont tamais servi qu'a faire des naufrages;
S’il à quelques douceurs ce n’eſt que pour les ſens, Mais il n’aide iamais à des cœurs innocens, Il ne charme l’esprit qu’afin de le deſtruire, Et ne ſoulage rien qu’à deſſein de luy nuire Vn amoureux ſe bruſle au milieu de l’hyuer, Ou s’il est de ſang froid, ce n’est que pour reſuer, Le viſage terny, l’ame toute inſenſee, Il penſe en toute choſe, & n’a point de penſee.	S'il à quelques douceurs ce n'est que pour les sens, Mais il n'aide jamais à des cœurs innocents, Il ne charme l'esprit qu'afin de le détruire, Et ne soulage rien qu'à dessein de même nuire Un amoureux se brûle au milieu de l'hiver, Ou s'il est de sang froid, ce n'est que pour rêver, Le visage terni, l'âme toute insensée, Il pense en toute chose, et n'a point de pensée.
Toutes les paßions ſe peuuent arreſler, Le ſoin de la raiſon les peut faire quitter, Quand vn corps logeroit l’ame d’vne furte, Vn homme qui combat auec de la folie Le feu d’vn frenetique, à qui l’œil egare Fait voir que le bon ſens eſt deſia ſeparé, De qui le poil ſe dreſſe an deſſus de la teſte, Qui d'vn de ſes regards compoſe vne tempeſte, Et de qui la fureur ſigneroit de ſa main, Qu’il va faire le vœu de n’estre plus humain, Qui voulant tout voüer à ſa rage ſupreſme Deuient tout en riant ennemy de ſoy-meſme.	Toutes les passions se peuvent arrêler, Le soin de la raison les peut faire quitter, Quand un corps logerait l'âme d'une furte, Un homme qui combat avec de la folie Le feu d'un frénétique, à qui l'œil égare Fait voir que le bon sens est déjà séparé, De qui le poil se dresse an dessus de la tête, Qui d'un de ses regards compose une tempête, Et de qui la fureur signerait de sa main, Qu'il va faire le vœu de n'être plus humain, Qui voulant tout voüer à sa rage suprême Deuient tout en riant me De soiume.
Cent lyons deſchainez, affamez, rougiſſans, Qui d’vn gozier de feis deuorent les paſſans, L’homicide regard de cet te horrible beſte, Qui voit en vn moment, ou ſa mort, ou ſa queste,	Cent lions déchaînez, allez, rougissants, Qui d'un gozier de feis dévorent les passants, L'homicide regard de cet te horrible bête, Qui voit en un moment, ou sa mort, ou sa mort,
Cela s’euite mieux que ne font mes amours.	Cela s'évite mieux que ne font mes amours.
On range bien les fols, le lyon s’apriuoiſe, La paſston ſe vainc, la colere s'appaiſe, Mais l’Amour nous pourſuit, il s’attache à nos os, Ennemy du bon-heur, & ialoux du repos, Il contraint la raiſon d’obeyr à ſes charmes, C’eſt en vain que les cœurs veulent prendre des armes.	On range bien les fols, le lion s'apprivoise, La pâton se vainc, la colère s'apaise, Mais l'Amour nous poursuit, il s'attache à nos os, Ennemi du bonheur, et jaloux du repos, Il contraint la raison d'obéir à ses charmes, C'est en vain que les cœurs veulent prendre des armes.
Il s’eſt bleſſé luy-meſme auecque ſa Pſiché, On ne peut reſister à ce diuin peché, Vn baiſer nous aſsiege, vne œillade meurtriere A nos yeux enchantez deſrobe la lumiere, Il bleſſe tout le monde, & n'a que des appas, Il rauit tous les cœurs ſans donner vn trespas, Il punit par le feu ſans auoir de tonnerre, Il eſt le Phaëton du Ciel & de la terre, Il ſe bruſle ſoy-meſme en ſa propre maiſon, Et n'a pris que deux yeux pour faire ma priſon.	Il s'est blessé lui-même avec sa Psiché, On ne peut résister à ce divin péché, Un baiser nous assiège, une œillade meurtrière A nos yeux enchantez dérobe la lumière, Il blesse tout le monde, et n'a que des appas, Il ravit tous les cœurs sans donner un trépas, Il punit par le feu sans avoir de tonnerre, Il est le Phaéton du Ciel et de la terre, Il se brûle soime en sa propre maison, Ni n'a pris que deux yeux pour faire ma prison.
Quand cette paſsion dans le feu de noſtreaage Enſorcelle nos ſens de quelque beau viſage, La raiſon, que le cœur aimoit auparauant Au deſceu de ſa loy, s’en va comme le vent.	Quand cette passion dans le feu de nostreaage Ensorcelle nos sens de quelque beau visage, La raison, que le cœur aimait auparavant Au déçu de sa loi, s'en va comme le vent.
B Quand le plaiſir du corps deuient maiſtre de l’ame, Nous quittertons les Dieux pour aimer vne femme, Nous croyons que le Ciel n’a rien fait de pareil A ſa rare beaute, ſi ce n'eſt le Soleil;	 Quand le plaisir du corps devient maître de l'âme, Nous quittons les Dieux pour aimer quelque femme, Nous croyons que le Ciel n'a rien fait de pareil A sa rare te, si ce n'est le Soleil;
Nous n’asmons plus le Ciel qu’à cauſe de la terre, Encore penſons-nous que ſa beautè l’enſerre, lη vn image des Dieux eſt vne Deité,	Nous n'apmons plus le Ciel qu'à cause de la terre, Encore pensons-nous que sa beautè l'enserre, l vn image des Dieux est une Deité,
A iij	À jijà
L Eol.	 Lol.
P.	P.
Mlls.	Mlls.
D UN 3 Qu'vn maſque menſonger est vne verité, Le cœur eſt idolatre;	 DUN 3 Qu'Hô masque mensonger est une vérité, Le cœur est idolatre;
on conçoit des exemples Ou la gloire des ans luy cedera ſes temples;	on conçoit des exemples Ou la gloire des ans tu cédera ses temples;
On adore ſes yeux, on feroit le deſſein D’hommager l’allebaſtre à cauſe de ſon ſein;	On adore ses yeux, on ferait le dessein D'hommager l'allébastre à cause de son sein;
On eſt extrauagant, & noſtre ame faloite Pour plaire à ſon humeur voudroit estre Marotte;	On est extravagant, et notre âme faloite Pour plaire à son humeur voudrait être Marotte;
On contrefait le ſinge, un ſe change en guenon, Et puis vne beauté recompenſe d’vn non.	On contrefait le singe, un se change en guenon, Et puis quelque beauté récompense d'un non.
Nous en ſommes aux pleurs, le deſespoir nous preſſe De renoncer au vœu de faire vne maiſtreſſe, Le cœur deuient prophane à force d’adorer, On veut ne vture plus pour ne plus endurer, Vn amant deuient fol, melan colique & ſombre, Ennemy de ſon bien, & taloux de ſon ombre, Vn atome nous faſche, on voudroit bien hayr, Mais vn autre regard fait vn autre deſir;	Nous en sommes aux pleurs, le désespoir nous presse De renoncer au vœu de faire une maîtresse, Le cœur devient prophane à force d'adorer, On veut ne vonture plus pour ne plus endurer, Un amant devient fol, melan colique et sombre, Ennemi de son bien, et taloux de son ombre, Un atome nous fâche, on voudrait bien haïr, Mais un autre regard fait un autre désir;
Il ne faut ſenlement que la voir à l’Egliſe Pour conceuoir vn vœu que le cœur eterniſe, Quand indifferemment ſa veuë eſt deſſus tous 84 Nous croyons que ſon œil regarde auprez de nous, Qu'elle cache ſon feu, qu'vne honte de fille A rendu ſon amour vn peu plus difficile.	Il ne faut senlement que la voir à l'Église Pour concevoir un vœu que le cœur éternise, Quand indifféremment sa vue est dessus tous 84 Nous croyons que son œil regarde auprez de nous, Qu'elle cache son feu, qu'une honte de fille A rendu son amour un peu plus difficile.
Nous interpretons tout à nos reſſentimens, La mort ſe donne à nous ſous des contentemens, Nous baiſerions les pas où ſon mespris ſe trace, Nous esperons touſiours vn peu de bonne grace, Nous mettrons le bon-heur en cela ſeulement,	Nous interprétons tout à nos ressentiments, La mort se donne à nous sous des contentements, Nous baiserions les pas où son mépris se trace, Nous espérons toujours un peu de bonne grâce, Nous mettrons le bonheur en cela seulement,
Et iamais les amans ne feront autrement?	Et jamais les amants ne feront autrement?
On a bean ſe reſoudre à guerir la folie, Nous ſommes touſiours plains de cetts reſuerié, Vn viſage nous glace, & nous bruſle touſiours, La liberté ſe meſle auecque ſes attours.	On a bean se résoudre à guérir la folie, Nous sommes toujours plains de cetts resuerié, Un visage nous glace, et nous brûle toujours, La liberté se mêle avec ses attours.
Nous voulons triompher du tiltre de fidelle, On ne ſçauroit hayr, elle eſt touſiours trop belle, Touſiours ces cheueux blonds metten l’ame en prιſε*, Touſiours ces doux regards deſrobent la raiſon, I’eSprouue tout cela dans l’humeur d’vne Dame, Que l’on ne vit tamais que pour eſtre de flame, Elle a le teint d’vn Ange, & les lys de ſa matn Sont de te neſçay quoy qui ſurpaſſe l’humatn, La ſource des douceurs compoſe ſon viſage, Mais ſon cœur, il eſt vray, n'en ſceut iamais l’vſage.	Nous voulons triompher du titre de fidèle, On ne saurait haïr, elle est toujours trop belle, Toujours ces cheveux blonds metten l'âme en prus*, Tousiours ces doux regards dérobent la raison, J'éProuve tout cela dans l'humeur d'une Dame, Que l'on ne vit toujours que pour être de flamme, Elle a le teint d'un Ange, et les lys de sa matnEs de te nesçay quoi qui surpasse l'humatn, La source des douceurs compose son visage, Mais son cœur, il est vrai, il est sceut elle ne vitsage.
Amour, qui cognois tout, mets fin à mes ennuit 8 u islejias nayenna, del ciennenarmates	Amour, qui connais tout, mets fin à mes ennuit 8 islejias nayenna, ciennenarmates
Artenice ſeule.	Artenice seule.
Bontour, heureuſe nuict, dont l’amoureux ſilence N’interrompt ſon repos que de ma violence, Ne rougis point de honte au lieu de mon amour, Où ton endymion te vient faire la cour.	Bontour, heureuse nuit, dont l'amoureux silence N'interrompt son repos que de ma violence, Ne rougis point de honte au lieu de mon amour, Où ton endymion te vient faire la cour.
Conſerue la couleur de ton viſage ſombre, Ou de peur de me voir, cacne-moy dans ron ombre.	Conserve la couleur de ton visage sombre, Ou de peur de me voir, cacne-moi dans ron ombre.
Pleuſt aux graces du Ciel que mon aueuglement 2	Plût aux grâces du Ciel que mon aveuglement 2
