A v	À v
il me ſemble Qu’à bon droict cét eſprit faché De voir à tort ſon nom taché,	il me semble Qu'à bon droit cet esprit faché De voir à tort son nom taché,
Comme dans vn Concile aſſemble, Pour eſtre abſous de ce peché, Les hommes, & les Dieux enſemble.	Comme dans un Concile assemble, Pour être absous de ce péché, Les hommes, et les Dieux ensemble.
Ces diſcours ſi bien agencez Sont tout autant de traits lancez Dans le cœur de la calomnie:	Ces discours si bien agencez Sont tout autant de traits lancés Dans le cœur de la calomnie:
C’eſt vn prodige de bon-heur, Qu'en meſme temps ce grand ſonneur Donne à Platon nouuelle vie:	C'est un prodige de bonheur, Qu'en même temps ce grand sonneur Donne à Platon nomme vie:
Et jaivtriompier joi vomnenr De la malice, & de l’enuie.	Et jaivtriompier joi vomnenr De la malice, et de l'envie.
Lors que ta vertu ſans t’ayder, Se vid contrainte de ceder A tes mauuaiſes deſtinees:	Lors que ta vertu sans t'aider, Se vit contrainte de céder À tes mauvaises destinées:
Apollon dans ſes pleurs baigné, Si toſt qu’il te vid éloigné, Le julati leſ quualejrend, Où tu te vis accompagne Des Muſes qu’il auoit mences.	Apollon dans ses pleurs baigné, Si tôt qu'il te vit éloigné, Le julati les quualejrend, Où tu te vis accompagne Des Muses qu'il avait menées.
Les rochers meſmes ſe fendoient,	Les rochers mêmes se fendaient,
Les neiges meſmes ſe fondoient, Lors que tu formois ta complainte:	Les neiges mêmes se fondaient, Lors que tu formais ta complainte:
L’horreur des autres & des bois Fut de compaſſion atteinte:	L'horreur des autres et des bois Fut de compassion atteinte:
Et touſiours depuis ceſte fois La douceur yuemeurt impremte.	Et toujours depuis cette fois La douceur yvemeurt impremte.
Quelle cruauté ne gemit, Quelle constance ne fremit, Quand tu déctis ce lieu funeſte?	Quelle cruauté ne gémit, Quelle constance ne frémit, Quand tu déctis ce lieu funeste?
Mais auec ees belles couleurs, Voyant éclatter tes douleurs, Pardonne moy ſi ie proteſte, Qu'ainſi t’obligeant aux mal heurs, Encore tu leurs dois de reſte.	Mais était ces belles couleurs, Voyant éclatter tes douleurs, Pardonne moi si ie atteste, Qu'ainsi t'obligeant aux mal heurs, Encore tu leurs dois de reste.
En fin laiſſant ces apres monts Et ces rochers, de qui les fronts Seruent de buttes aux tonnerres.	En fin laissant ces après monts Et ces rochers, de qui les fronts Servent de buttes aux tonnerres.
Laiſſant les ſangliers, & les loups, Et les corbeaux, & les hiboux, Hôtes de ces ſteriles terres.	Laissant les sangliers, et les loups, Et les corbeaux, et les hiboux, Hôtes de ces stériles terres.
Part.	Part.
j.	j.
Là ſe voit vn petit château, Ioignant le pied d’vn grand côtau, Où Baccus ſeant en ſon throne, Haut eſleué ſur vn arceau, Eſtend ſes bras au bord de l’eau, Le long des riues de Garone;	Là se voit un petit château, Joignant le pied d'un grand côtau, Où Baccus séant en son throne, Haut élevé sur un arceau, Étend ses bras au bord de l'eau, Le long des rives de Garone;
Qui glorieux de ſon berceau, Mépriſa la Seine & le Roſne.	Qui glorieux de son berceau, Méprisa la Seine et le Rône.
Là THEOPHILE auec plaiſir Nous conſiderions à loiſir La force & le poids des myſteres, ue ces vieux ſages ont tracez:	Là THÉOPHILE avec plaisir Nous considérions à loisir La force et le poids des mystères, ue ces vieux sages ont tracés:
Puis nos eſprits s’eſtans laſſez A reuaſſer ſur ces bons Peres:	Puis nos esprits s'étant lassez A rêvasser sur ces bons Pères:
Nous noyons nos ennuis paſſez Dedans le nectar Mn CVSSERES.	Nous noyons nos ennuis passez Dedans le nectar Mn CUSERES.
Ie ne ſçay ſi noſtre Appollon M’inſpiroit dedans ce valon:	Je ne sais si notre Apollon M'inspirait dedans ce valon:
Ou bien ce Dieu, qui nous anime Par la force de ſa liqueur:	Ou bien ce Dieu, qui nous anime Par la force de sa liqueur:
Malgré l’hyuer, & ſa rigueur, Ma plume enfantoit de la rime, Sentant la force, & la vigueur De quaame berne oien juorimne.	Malgré l'hiver, et sa rigueur, Ma plume enfantait de la rime, Sentant la force, et la vigueur De quame berne oien juorimène.
Non, ce n'eſt rien que pur abus, Tout ce qu’on dit de ce Phœbus, C’eſtoit l’effect de ta preſence:	Non, ce n'est rien que pur abus, Tout ce qu'on dit de ce Phœbus, C'était l'effet de ta présence:
La vertu qu’on ne peut nommer, Ce feu, qui te fait renommer.	La vertu qu'on ne peut nommer, Ce feu, qui te fait renommer.
LE GRAND POETE DE LIT PIANCE, Aſraſſe ont pour m'enflammer Du moindre rayon qu'il élance.	LE GRAND POTE DE LIT PIANCE, Asrasse ont pour m'enflammer Du moindre rayon qu'il élance.
Quand CLORIS tenoit ta raiſon Aux delices de ſa priſon, Et quand tu chantois ſes trophees, L’extreme douceur de ta voix Rempliſſant tout ce petit bois, Fit dire aux Faunes & aux Fees, Que tu ſurpaſſois mille fois	Quand CLORIS tenait ta raison Aux délices de sa prison, Et quand tu chantais ses trophées, L'extrême douceur de ta voix Remplissant tout ce petit bois, Fit dire aux Faunes et aux Fés, Que tu surpassais mille fois
Ces lieux aux ſiecles à venir Conſerueront le ſouuenir De ſes beautez & ton martyre.	Ces lieux aux siècles à venir Conserveront le souvenir De ses beautés et ton martyre.
Iamais ſes riuages fleuris Dans les ſaules qu’ils ont nourris d'orront murmurer le Zephire, que le beautnom de ta Cloris Qu’ils t’ont veu ſi ſouuent eſcrire.	Jamais ses rivages fleuris Dans les saules qu'ils ont nourris d'orront murmurer le Zéphire, que le beauteur de ta Cloris Qu'ils t'ont vu si souvent écrire.
Ta veine ainſi ſan;	Ta veine ainsi san;
faire éfort, Peut forcer les loix de la mort, Faiſant qu'vne beauté mortelle Puiſſe immortellement fiorir;	faire éfort, Peut forcer les lois de la mort, Faisant qu'une beauté mortelle Puisse immortellement fiorir;
Et tout enſemble ſans tarir, Dedans l’inuention nouuelle D’vn liure qui ne peut mourir, Nous faire voir l’ame immortelle.	Et tout ensemble sans tarir, Dedans l'invention nouvelle D'un livre qui ne peut mourir, Nous faire voir l'âme immortelle.
Ceux qui n’oſent calomnier, Pourront-ils deſormais nier, Que malgré leur malice noire	Ceux qui n'osent calomnier, Pourront-ils désormais nier, Que malgré leur malice noire
Tu ayes par tout l’vniuers, Immortalizé dans tes vers Ton innocence, auec ta gloire:	Tu ayez par tout l'Univers, Immortalizé dans tes vers Ton innocence, avec ta gloire:
Et fait mourir de ces peruers Enomom nhecqjues uu momoires	Et fait mourir de ces pervers Enom nhecqjues momoires
Grand eſprit que tes vers ſacrez Soyent deſormais à Dieu ſacrez, Dans la douceur d’vn graue ſtile, Dy ſes miracles inoüir:	Grand esprit que tes vers sacrés Soient désormais à Dieu sacrés, Dans la douceur d'un grave style, Dis ses miracles inoüir:
Ne tient ces talens enfoüis;	Ne tient ces talents enfys;
Le monde attend que THEOPHILE, A tnanier t bonntir av EovRo, Doit rauir l’honneur à VIRGILE.	Le monde attend que THÉOPHILE, A tyr tir tir au EovRo, Doit ravir l'honneur à VIRGILE.
Cet argument qu’on peut traitter, Et ſans mentir, & ſans flatter Eſt digne d’exercer tes veilles:	Cet argument qu'on peut traiter, Et sans mentir, et sans flatter Est digne d'exercer tes veilles:
Ie ſçay bien que pour le loüer nnlingue ſe peut denoüer Auec des graces nompareilles:	Je sais bien que pour le louer nnlingue se peut denoüer Auec des grâces nompareilles:
Toutesfois il faut auoüer Que c’eſt trop peupour ſes merueilles.	Toutefois il faut auoüer Que c'est trop peupour ses merveilles.
Sa muſe ayant ia ſurmonté Ce que les Francois ont chanté, Et rendu leurs bouches muëttes;	Sa muse ayant ja surmonté Ce que les Francais ont chanté, Et rendu leurs bouches muettes;
Fait voir au monde à ceste fois pue du deſtin les iuſtes loix Ayent pour des raiſons ſecrettes Gardé pour le plu gium R.	Fait voir au monde à cette fois pue du destin les justes lois Ayent pour des raisons secrètes Gardé pour le plu gium R.
Le premier Prince des Poëtes.	Le premier Prince des Poètes.
LES	LES
RAICTE DE L’IMMORTALIT DE L’AME, OV LA MORT DE Socrate, par Theophile.	RAICTE DE L'IMORTALIT DE L'ÂME, OU LA MORT DE Socrate, par Théophile.
E	E
PHÆDON.	PHÉDON.
Oy dans la Cité d'Athenes Viſitay Socrate en priſon, Et qui vis comme le poiſon Acheua ſes dernieres peines;	Oui dans la Cité d'Athène Visitai Socrate en prison, Et qui vis comme le poison Acheva ses dernières peines;
Ie t’adiure par le diſcours Dont il voulut finir ſes iours, MEMS2 Où i’ay faict auſſi peu d’effort Qu'en fit ce genereux courage Dans les atteintes de ſa mort.	Je t'adjure par le discours Dont il voulut finir ses jours, MEMS2 Où j'ai fait aussi peu d'effort Qu'en fit ce généreux courage Dans les atteintes de sa mort.
Quelques Dieux, comme par enuie, Le voyant ſi bien raiſonner, Apres l’auoir faict condamner Alongerent vn peu ſa vie, Affin que la mort euſt loiſir Auparauant que le ſaiſir De ſe peindre plus effroyable, Et ſans ceſſe luy diſcourir De ſon Arreſt impitoyable, Pour le faire long temps mourir.	Quelques Dieux, comme par envie, Le voyant si bien raisonner, Après l'avoir fait condamner Alongèrent un peu sa vie, Affin que la mort eût loisir Auparavant que le saisir De se peindre plus effroyable, Et sans cesse Seigneur discourir De son Arrêt impitoyable, Pour le faire long temps mourir.
Vne aduenture inopinée Tentant ſa reſolution,	Une aventure inopinée Tentant sa résolution,
Laiſſa ſans excution La ſentence deſ-ja donnée Ce Nauire qui dure tant Ou Thesée mit en partant Quelques voile noires & blanches, Qui rendu mille fois nouueau, Et changé de toutes ſes planches, Encor eſt le meſme vaiſſeau.	Laissa sans excution La sentence déjà donnée Ce Avire qui dure tant Ou Thesée mit en partant Quelques voile noires et blanches, Qui rendu mille fois nouveau, Et changé de toutes ses planches, Encor est le même vaisseau.
D'vne Religion fidelle, Ce Nauire auec des preſens Partoit d’Athenes tous les ans, Pour faire ſon voyage en Dele:	D'une Religion fidèle, Ce Navire avec des présents Partait d'Athène tous les ans, Pour faire son voyage en Déle:
En l’attente de ſon retour, Les Arreſts mortels de la Cour Retenoient leur ſanglant tonerre, Et ne donnoient iamais la mort Au plus coulpable de la terre, Que le vaiſſeau ne fuſt au port.	En l'attente de son retour, Les Arrêts mortels de la Cour Rétenaient leur sanglant tonerre, Et ne donnaient jamais la mort Au plus coulpable de la terre, Que le vaisseau ne fût au port.
Ce Nauire eſtoit lors ſur l’onde, Et pen dant ſon eſloignement Socrate ſans eſtonnement Attendoit à ſortir du monde, Dans ces importunes langueurs Encore parmy les rigueurs De la iuſtice inexorable, Il m’eſtoit permis de le voir, Et d’vn confort peu ſecourable Luy rendre mon dernier deuoir.	Ce Navire était lors sur l'onde, Et pen dant son éloignement Socrate sans étonnement Atendait à sortir du monde, Dans ces importunes langueurs Encore parmi les rigueurs De la justice inexorable, Il m'était permis de le voir, Et d'un confort peu secourable Lui rendre mon dernier devoir.
Quelques vns que les mœurs & l'aage Attachoient à ſon amitié, Par vn meſme effort de pitié, Luy rend oient meſme teſmoignage.	Quelques uns que les mœurs et l'âge Atachaient à son amitié, Par un même effort de pitié, Lui rend aient même témoignage.
Tous à l'object de ſon ennuy	Tous à l'objet de son ennui
Eſtoient	Étaient
Eſtoient moins reſolus que luy?	Étaient moins résolus que Seigneur?
Et conſolez à ſa parole Le voyant ſec, parmy nos pleurs, Comme moy venoient à l’eſcole De bien viure dans les malheurs.	Et consolez à sa parole Le voyant sec, parmi nos pleurs, Comme moi venaient à l'école De bien vivre dans les malheurs.
Tous les iours dans cet exercice Il nous enſeignoit de mourir, Sans perdre temps à diſcourir Des cruautez de la Iuſtice, A la fin quand le iuſte cours De ſes incomparables iours Fut acheué par les eſtoilles;	Tous les jours dans cet exercice Il nous enseignait de mourir, Sans perdre temps à discourir Es cruautés de la Justice, A la fin quand le juste cours De ses incomparables jours Fut achevé par les étoilles;
Le peuple, ſur le bord de l’eau Reuoid blanchir le triſtes voiles, Et moüiller l’ancre du vaiſſeau.	Le peuple, sur le bord de l'eau Reud blanchir le tristes voiles, Et mouiller l'ancre du vaisseau.
Le iour venu que la Nature auare Redemandoit vne choſe ſi rare, Et que la loy preſſante du Deſtin Deuoit ſa proye à l’infernal maſtin, Sans eſpargner non plus cette belle ame Que le plus ſot du populaire infame;	Le jour venu que la Nature avare Redemandait une chose si rare, Et que la loi pressante du Destin Ait sa proie à l'infernal mâtin, Sans épargner non plus cette belle âme Que le plus sot du populaire infâme;
Nous reuenons pour la derniere fois A l’entretien d’vne ſi docte voix.	Nous revenons pour la dernière fois A l'entretien d'une si docte voix.
