A PARIS, Chez TOVSSAINT QVINET, au Palais dans la petite Salle ſous la montee de	À PARIS, Chez TOUSSAINT QUINET, au Palais dans la petite Salle sous la monte de
En effet l’euenemẽt cofirma tout auſſi toſt la verité de l’oracle, car ils furẽt à peine ſortis de l’Antre de la Sybille, qu’ils ouyrent dans la foreſt la triſte voix d’vne perſonne qui ſe plaignoit, & qui demandoit du ſecours.	En effet l'événement cofirma tout aussi tôt la vien de l'oracle, car ils furent à peine sortis de l'Antre de la Sybille, qu'ils ouïrent dans la forêt la triste voix d'une personne qui se plaignait, et qui demandait du secours.
Eſtans accouruz à cette plainte tout droit au lieu d’où elle ſortoit, ils reconnurent que c’eſtoit Celinde qui s’arrachoit ſes beaux cheueux, & qui s’attriſtoit d’vne façon extraordinaire du rauiſſement que le Dieu Pan venoit de faire d’vne de ſes niepces qu’il retenoit priſonniere dans le Temple de la victoire.	Étant accourvés à cette plainte tout droit au lieu d'où elle sortait, ils reconnurent que c'était Celinde qui s'arrachait ses beaux cheveux, et qui s'attristait d'une façon extraordinaire du ravissement que le Dieu Pan venait de faire d'une de ses niepces qu'il retenait prisonnière dans le Temple de la victoire.
Celidor, Timandre, & le Poëte Amphion l’aſſeurent à l’heure meſme de la tirer de ce lieu, comme en effet ils s’y acheminent incontinant, & entrent dans le iardin des delices, ils y trouuent cette beauté deſolee au milieu des deux Satyres à qui Pan l’auoit donnee en garde;	Celidor, Timandre, et le Poète Amphion l'assurent à l'heure même de la tirer de ce lieu, comme en effet ils s'y acheminent incontinant, et entrent dans le jardin des délices, ils y trouvèrent cette beauté désolée au milieu des deux Satyres à qui Pan l'avait donnée en garde;
Ils taſchent d’abord deleur defendre l’entree de ce lieu, mais quelque reſiſtance qu’ils faſſent ils ſont vaincus à la fin, & Celidor reconnoiſt en meſme temps que c’eſt là le naturel portrait de la beauté dont la ſage Mondaine ne luy a donné que la copie.	Ils tâchent d'abord déleur défendre l'entre de ce lieu, mais quelque résistance qu'ils fassent ils sont vaincus à la fin, et Celidor reconnaît en même temps que c'est là le naturel portrait de la beauté dont la sage Mondaine ne a a donné que la copie.
Par vn ſi heureux ſuccés iugeant de la verité de l’oracle il ſe reſiouyt d’abord d’auoir deliuré de ſeruitude celle qui tenoit ſon ame dans ſes liens, Timandre n’eſt pas moins ayſe de ſon coſté d’auoir rendu ce bon office à ſon amy & à ſa Maiſtreſſe Celinde qui vont trouuer auſſi toſt & luy remettent entre les mains ſa niep ce Floriſe.	Par un si heureux succès jugeant de la vérité de l'oracle il se resiouyt d'abord d'avoir délivré de servitude celle qui tenait son âme dans ses liens, Timandre n'est pas moins aise de son côté d'avoir rendu ce bon office à son ami et à sa Maîtresse Celinde qui vont trouver aussi tôt et lui ré entre les mains sa niep ce Florise.
Mais comme ces deux Amans ſe voyent ſur le point de receuoir la recompenſe deue à leur fidelité, ils en ſont empeſchez par la venuë de Pan, ce Dieu voulant derechef rauir Floriſe ſe met à combattre Celidor, qui ne pouuant quitter celle qui le faiſoit viure ſe prepare à mourir dans la reſiſtance, combien qu’il ne puiſſe à moindre qu’eſtre temeraire s’oppoſer à l’inuincible puiſſance d’vn Dieu.	Mais comme ces deux Amants se voient sur le point de recevoir la récompense deue à leur fidélité, ils en sont empêchés par la venue de Pan, ce Dieu voulant derechef ravir Florise se met à combattre Celidor, qui ne pouvant quitter celle qui le faisait vivre se prépare à mourir dans la résistance, combien qu'il ne puisse à moindre qu'être téméraire s'opposer à l'invincible puissance d'un Dieu.
Sur ces entrefaites, voila que dans la plus grande violence du combat, le Poëte ſuruient qui les ſepare tous deux, & fait en ſorte que par le conſentement du Dieu Pan Celidor eſpouſe Floriſe.	Sur ces entrefaites, voilà que dans la plus grande violence du combat, le Poète survient qui les sépare tous deux, et fait en sorte que par le consentement du Dieu Pan Célidor épouse Florise.
Cette bonne ſortune eſt ſuinie de celle de Timandre & de Celinde qui ſont mariez bien toſt apres par le Druide de ce hameau.	Cette bonne sortune est suinie de celle de Timandre et de Celinde qui sont mariés bien tôt après par le Druide de ce hameau.
li ne reſte plus que le Poëte & la ſage Mondaine à qui le deſir de viure dans leur liberté ſemble faire desdaigner les traits & la puiſſance de Cupidon;	li ne reste plus que le Poète et la sage Mondaine à qui le désir de vivre dans leur liberté semble faire dédaigner les traits et la puissance de Cupidon;
mais enfin Amour que les plus grands Monarques ne peuuent vaincre les lie enſemble d’vn meſme nœud que les autres, & ainſi la fin de cette Tragicomedie leur eſt vn commencement à des delices ineſperées.	mais enfin Amour que les plus grands Monarques ne peuvent vaincre les lie ensemble d'un même nœud que les autres, et ainsi la fin de cette Tragicomédie leur est un commencement à des délices inespérées.
NOMS DES ACTEVRS, Courtiſan.	NOMS DES ACTEURS, Courtisan.
TIAnlsRe cCapieale.	TIAnlsRée cCapieale.
AMPHION  Poëte.	AMPHION Poète.
CELIDOR	CELIDOR
CELINDE.	CELINDE.
LA SAGE MONDAINE.	LA SAGE MONDAINE.
FLORISE Niepce de Celinde.	FLORISE Nypce de Celinde.
LE DIEV PAN.	LE DIEU PAN.
DEVX SATYRES.	DEUX SATYRES.
LE DRVIDE.	LE DRVIDE.
LE RAVISSEMENT DE FLORISE, DV L’HEVREVX euenement des Oracles.	LE RAVISEMENT DE FLORISE, DU L'HEUREUX événement des Oracles.
Md dsM.	Md dsM.
SCENE ECECLER.	SCÈNE ECECLER.
PREMIERE.	PREMIÈRE.
CELIDOR.	CELIDOR.
ELINDE treuuez bon ſi ie viens m’acquiter (ſiter DR* De ce pieux deuoir qui nous fait vi	ÉLINDE trouvez bon si tu viens m'acquititer (siter DR* De ce pieux devoir qui nous fait vi
Les amis affligeZ d’vne douleur extreme Comme vous en perdant la moitié de vous meſme.	Les amis affligés d'une douleur extrême Comme vous en perdant la moitié de vous même.
Ie ne ſuis pas icy pour eſſuyer vos pleurs, Les yeux ſont les canaux de toutes nos douleurs, Il faut vn temps certain que la plainte exalee Puiſſe rendre à la fin noſtre ame conſolee, Il ne m’eſt pas permis de vous donner conſeil, Car ce ſeroit offrir la lumiere au ſoleil, De vous ſeule deſpend le mal & le remede, Ce qu’on nomme raiſon vostre esprit le poſſede.	Je ne suis pas ici pour essuyer vos pleurs, Les yeux sont les canaux de toutes nos douleurs, Il faut un temps certain que la plainte exalée Puisse rendre à la fin notre âme consolée, Il ne m'est pas permis de vous donner conseil, Car ce serait offrir la lumière au soleil, De vous seule dépend le mal et le remède, Ce qu'on nomme raison votre esprit le possède.
CELINDE.	CELINDE.
Mo ir ie recognoy que voſtre charité Maintenant ence point a beaucoup merité, Cette condition d’vne vefue affligee Soulage ſon ennuy de ſe voir obligee, L’entretien des amis eſt vn charme bien doux, Sur tous autres celuy que d’eſtre auecque vous;	Mo ir Seigneur reconnais que votre charité Maintenant ence point a beaucoup mérité, Cette condition d'une veuve affligée Soulage son ennui de se voir oblige, L'entretien des amis est un charme bien doux, Sur tous autres celui que d'être avec vous;
Toutefois ne croyez que dans mon infortune Ie vueille receuoir cette troupe importune De ſes foibles esprits qui ſe vont amuſans Pour aprendre au cartier les diſcours mediſans, Ce murmure confus me vient rompre la teſte Iugeant queleur deſſein n’aboutiſt qu’à la beſte Ie n’ayme deſormais rien que de ſerieux, Et mon cœur atriſté n’aſpire que les cieux.	Toutefois ne croyez que dans mon infortune Je veuille recevoir cette troupe importune De ses foibles esprits qui se vont amusant Pour apprendre au cartier les discours médisants, Ce murmure confus me vient rompre la tête Jugeant queleur dessein n'aboutît qu'à la bête Je n'aime désormais rien que de sérieux, Et mon cœur atristé n'aspire que les cieux.
CELIDOR.	CELIDOR.
Vous auez preuenu l’objet de ma penſee, Et ma conception ſe trouue deuancee, Ie voulus exprimer à quel dégré l’honneur Ie me tiens auiourd’huy d’auoir heu ce bon heur;	Vous avez prévenu l'objet de ma pensée, Et ma conception se trouve deuancee, Je voulus exprimer à quel dégré l'honneur Je me tiens aujourd'hui d'avoir heu ce bon heur;
Cette felicité ne peut eſtre mortelle, Car ie tiens que les Dieux n’en ont pas vne telle, C’eſt en vain de parler de la rare beauté Qui meſle ſa douceur auec la cruauté, Ne voulant receuoir vn eternel hommage D’vn amoureux captif aux pieds de ſon image.	Cette félicité ne peut être mortelle, Car on tiens que les Dieux n'en ont pas une telle, C'est en vain de parler de la rare beauté Qui mêle sa douceur avec la cruauté, Ne voulant recevoir un éternel hommage D'un amoureux captif aux pieds de son image.
A ij	À ij
CELINDE.	CELINDE.
Briſons là ce propos ſi commun à la cour, Ie n’entens plus parler d’homage ny d’amour, Ses feintes paßions reduittes en fumee Chaſſent le ſouuenir de toute choſe aymee, Ie ſçay bien eſuiter les perilleux appas Qui donnent à nos cœurs la peine & le trespas.	Brisons là ce propos si commun à la cour, Je n'entends plus parler d'hommage ni d'amour, Ses feintes passions réduittes en fumée Chassent le souvenir de toute chose aimée, Je sais bien éviter les périlleux appas Qui donnent à nos cœurs la peine et le trépas.
e anla a lle Vous appelleZ treſpas ce qui donne la vie.	 anla à lèle Vous appelez trépas ce qui donne la vie.
CELINDE.	CELINDE.
Mais dittes de nos iours vne jalouſe enuie, Vn espoir incertain qui flatte pour vn temps, Et vient rendre à la fin nos deſirs meſcontens.	Mais dites de nos jours encore jalouse envie, Un espoir incertain qui flatte pour un temps, Et vient rendre à la fin nos désirs mécontents.
CELIDOR.	CELIDOR.
Iamais le repentir d’vne amoureuſe flame IV dreduut vnamant au meſpin de ſa dame, Si ce n'eſt que ce fuſt quelque ſouſpir leger Qui ne peut arreſter le volage Berger.	Jamais le repentir d'une amoureuse flamme IV dreduut unamant au mépin de sa dame, Si ce n'est que ce fût quelque soupir léger Qui ne peut arrêter le volage Berger.
CELINDE.	CELINDE.
Treuue ton vn Berger qui ne ſoit poine volage?	Treuve ton un Berger qui ne soit poine volage?
CELIDOR.	CELIDOR.
Vous n’auez pas touſiours aduancé ce langage, Amour von puntra de ce crime commb,	Vous n'avez pas toujours avancé ce langage, Amour von puntra de ce crime commb,
CELINDE.	CELINDE.
Ie deſpite ſes feux & ſes traits ennemis, Mon cœur eſt de rocher qui refuſe l’ateinte, Et mon œil clair-voyant me découure la feinte.	Je dépite ses feux et ses traits ennemis, Mon cœur est de rocher qui refuse l'ateinte, Et mon œil clair-voyant me découvre la feinte.
CELIDOR.	CELIDOR.
TIeids!	TIéids!
qui me poudron feindre de vous aymer Puis que vous prometteZ vn repentir amer.	qui me poudron feindre de vous aimer Puis que vous promettez un repentir amer.
CELINDE.	CELINDE.
Si ie garde touſiours ceſte meſme couſtume L’on n'accuſera pas mon ame d’amertume.	Si ici garde toujours cette même coutume L'on n'accusera pas mon âme d'amertume.
CELIDOR.	CELIDOR.
Ceſte couſtume là ne ſe doit point garder,	Cette coutume -là ne se doit point garder,
CELINDE.	CELINDE.
C’eſt vn ſubtil moyen qu’il ne faut retarder, Pour ne point receuoir la plainte du martyre.	C'est un subtil moyen qu'il ne faut retarder, Pour ne point recevoir la plainte du martyre.
CELIDOR.	CELIDOR.
N’aueZ vous donc pitié de celuy qui ſouſpire, N’ayant autre ſouhait que de vous adorer?	N'avez -vous donc pitié de celui qui soupire, N'ayant autre souhait que de vous adorer?
A iij	À jijà
CELINDE.	CELINDE.
C’eſt l’adoration qui m’en fait retirer, Außi toſt que ce nom vient frapper mon oreille, Comme l’enchantement d’vne douce merueille I’ay touſiours vn fanal afin de l’euiter Crainte que mon vaiſſeau s'aille precipiter.	C'est l'adoration qui m'en fait retirer, Aussi tôt que ce nom vient frapper mon oreille, Comme l'enchantement d'une douce merveille J'ai toujours avoir fanal afin de l'éviter Crainte que mon vaisseau s'aille précipiter.
CELIDOR.	CELIDOR.
avioy tuttes tn umour tropmureux ſe naufrage, Sile peril certain teſmoigne le courage.	avioi tûtes t umour tropmureux se naufrage, Sile péril certain témoigne le courage.
CELINDE.	CELINDE.
Ie croy bien que celuy qui cauſe l’accident N’apprehende la fin du malheur euident, Puis que ſeul il agiſt pour rendre conſommee L’extreme paßion de ſa flame allumee.	Je crois bien que celui qui cause l'accident N'appréhende la fin du malheur évident, Puis que seul il agît pour rendre consommée L'extrême passion de sa flam allumée.
CELIDOR.	CELIDOR.
Ie demeure confus, & n’oze plus parler, Madame donnez moy congé de m’enaller, I’en quitte le ſurplus à la ſage Mondaine, Qui pourra ſans tarder ſoulager noſtre peine, Il faut auoir recours à ſon rare conſeil, Sans doute qu’on ne peut en trouuer vn pareil.	Je demeure confus, et n'ose plus parler, Madame donnez moi congé de m'enaller, J'en quitte le surplus à la sage Mondaine, Qui pourra sans tarder soulager notre peine, Il faut avoir recours à son rare il, Sans doute qu'on ne peut en trouver un pareil.
CELIDOR PARLE A LA SAGE MONDAINE.	CELIDOR PARLE À LA SAGE MONDAINE.
SCENE DEVXIESME.	SCÈNE DEUXIÈME.
A belle nous venons pour conſulter l’Oracle De voſtre bel esprit que l’on tient à miracle, Amour eſt le ſubjet de noſtre differant Dont ie croy Melidor eſtre fort ignorant, I'en parle deuant vous comme vne raillerie, EJomeja, Pespon de Jataſolerie.	À belle nous venons pour consulter l'Oracle De votre bel esprit que l'on tient à miracle, Amour est le sujet de notre différant Dont ie pu Melidor être fort ignorant, J'en parle devant vous comme raillerie, EOméjà, Pespon de Jatasolerie.
Se rend maiſtre des Dieux, & veut perſuader Que c’eſt vne vertu de s’en vouloir ayder.	Se rend maître des Dieux, et veut persuader Que c'est une vertu de s'en vouloir aider.
LA SAGE MONDAINE.	LA SAGE MONDAINE.
Pouuois-ie rencontrer de fortune meilleure, Puis que ce different ſe reſoult en peu d’heure?	Pouvais-je rencontrer de fortune meilleure, Puis que ce différent se résoult en peu d'heure?
Il s’agiſt d’vn amour né dans nos volontés, Lors que nos ſentimens ne ſont point ſurmonté, A iiij De l’aueugle deſir, dont la fureur extreme Fait que l’amant ſe voit ſeparé de luy meſme, La raiſon doibt ſeruir vn obiet adore L’vnion s'entretient par l’eſprit epuré Sans fird, ſans fiction, ſans trouble, ſans orage, Autrement vn amour ſe conuertiſt en rage.	Il s'agît d'un amour né dans nos volontés, Lors que nos sentiments ne sont point surmonté, A iiij à l'aveugle désir, dont la fureur extrême Fait que l'amant se voit séparé de lui même, La raison doibt servir quelque objet adore L'union s'entretient par l'esprit épuré Sans fird, sans fiction, sans trouble, sans orage, Autrement un amour se convertît en rage.
CELIDOR.	CELIDOR.
Madame ie veux bien croire voſtre diſcours, Mais non pas que l’effet s’en pratique touſtours, Ce tableau racourcy d’amoureuſe peinture Me ſemble s’oppoſer aux loix de la nature, Vous poſez en amour vn aymable deſir Et retirez de luy l’eſſence du plaiſir:	Madame ie veux bien croire votre discours, Mais non pas que l'effet s'en pratique tous, Ce tableau racourci d'amoureuse peinture Me semble s'opposer aux lois de la nature, Vous posez en amour était aimable désir Et retirés de rendre l'essence du plaisir:
Nonie n’oZe ſouffrir qu’on ayme de la ſorte Si ce n’eſt que ce fuſt vne poitrine morte:	Nonie n'oSe souffrir qu'on aime de la sorte Si ce n'est que ce fût une poitrine morte:
Quoy reſoudre nos cœurs d’aymer ſans pafſion, Chercher vne beauté qui ſoit ſans fiction, N'eſt-ce pas en effet ſe former vne Idee Propre d'agir ſur nous ſans eſtre poſſedee, De dire que le feu ne fuſt point violent Qui le ſlot agitt ſuſt pareſſenx & lent.	Quoi résoudre nos cœurs d'aimer sans passion, Chercher une beauté qui soit sans fiction, N'est-ce pas en effet se former une Idée Propre d'agir sur nous sans chang possédée, De dire que le feu ne fût point violent Qui le sel agitt sût paressenx et lent.
LA SAGE MONDAINE.	LA SAGE MONDAINE.
S’il faut treuuer amour dedans la violence L’on me doit maintenant impoſer le ſilence.	S'il faut trouver amour dedans la violence L'on me doit maintenant imposer le silence.
CELIDOR.	CELIDOR.
Si l’amour eſt vn Dieu ſans aucun mouuement Ie ne veux plus außi le tiltre d’vn amant, Car ladinme, enuole paſjarere, Et prend des aiſlerons pour eſtre plus legere.	Si l'amour est un Dieu sans aucun mouvement Je ne veux plus aussi le tiltre d'un amant, Car ladinme, envole pasjare, Et prend des ailerons pour être plus légère.
LA SAGE MONDAINE.	LA SAGE MONDAINE.
Voſtre humeur ſe plaiſt fort en ſa legereté, Et fait voir que le cœur n’est long temps arresté.	Votre humeur se plaît fort en sa légèreté, Et fait voir que le cœur n'est long temps arrêté.
CELIDOR.	CELIDOR.
I’implore à deux genoux le pardon de l’offence, Veincu de vos heaux yeux ie n’ay point de deffence, Trop content de mourir en ſi belle priſon.	J'implore à deux genoux le pardon de l'offense, Veincu de vos heaux yeux enfin n'ai point dé sensé, Trop content de mourir en si belle prison.
U 2	V 2
SCENE TROISIESME.	SCÈNE -TROISIÈME.
TIMANDRE LE CAPITAINE.	TIMANDRE LE CAPITAINE.
Ve vous eſtes heureux parmy tant de delices, Dans nos funeſtes iours ce ne ſont que ſupplices, La peine & le trauail nous vont accompagnant Lors que du ſang humain l’homme ſe va baignant, Si l’on prend le repos, la trompette reueille, La Diane au matin fait qu’aucun ne ſommeille, Sans ceſſe deuant nous le destin menaçant Regarde ſans pitié nostre chefinnocent, Soit qu’il faille gagner au piedde la muraille, Soit qu’il faille außi tost ſeremettre en bataille, Soit qu’il faille attaquer les eſquadrons campez, Sans relaſche nos bras ſont touſiours occupeZ.	Ve vous êtes heureux parmi tant de délices, Dans nos funestes jours ce ne sont que supplices, La peine et le travail nous vont accompagnant Lors que du sang humain l'homme se va baignant, Si l'on prend le repos, la trompette réveille, La Diane au matin fait qu'aucun ne sommeille, Sans cesse devant nous le destin menaçant Regarde sans pitié notre chefinocent, Soit qu'il faille gagner au pied la muraille, Soit qu'il faille au bataille au bataille, Soit qu'il faille attaquer les esquadrons campez, Samr nos bras sont tousiours camp.
LE POETE.	LE POTE.
Au fort de ſes hazards vous eſtes plus tranquille Que le meſme Coquet en la douceur de ville, L’honneur vous entretient, les verdoyãs lauriers Enaironnent le chef de ſes braues guerriers, Vous auez pour objet le triumphe & la gloire Apres auoir acquis vne heureuſe victoire, Le renom giortende putt pant vutners, Et ſert le plus ſouuent de ſubiet à nos vers.	Au fort de ses hasards vous êtes plus tranquille Que le même Coquet en la douceur de ville, L'honneur vous entretient, les verdoyants lauriers Enaironnent le chef de ses braves guerriers, Vous avez pour objet le triomphe et la gloire Apres avoir acquis une heureuse victoire, Le renom giortende put put vutners, Pût put le plus souvent de sujet à nos vers.
LE CAPITAINE.	LE CAPITAINE.
Sans doute le diſcours de ſi haute ſcience Eſtbien doux a celuy qui n’a l’experience.	Sans doute le discours de si haute science Étbien doux a celui qui n'a l'expérience.
LE POETE.	LE POTE.
D’où vient que des mortels chaſqu’vn eſt meſcontent, L’on ne voit point d’eſprit qui ne ſoit inconſtant, Toute condition importune ſon maiſtre, L’hõme image de Dieu ſe plaint biẽ de ſon eſtre, Puis qu’il va ialouzant le cerf & le corbeau A cauſe que ſon iours eſloigne du tombeau, Les grands Rois adores comme dieux de la terre N’ayãs pas en leur main le foudre & le tõnerre,	D'où vient que des mortels chasqu'un est mécontent, L'on ne voit point d'esprit qui ne soit inconstant, Toute condition importune son maître, L'hom me de Dieu se plaint bieurs de son être, Puis qu'il va jalouzant le cerf et le corbeau A cause que son jours éloigne du tombeau, Les grands Rois adores comme dieux de la terre N'ayant pas en leur main le foudre et le tõnerre,
Sont contraints d’emprunter le ſecours d’vn canon, Pour ſemer la terreur & l’efroy de leur nom:	Sont contraints d'emprunter le secours d'un canon, Pour semer la terreur et l'efroi de leur nom:
Les autres ſouuerains qui n’ont point de courõne Accuſent la faueur de celuy qui la donne.	Les autres souverains qui n'ont point de courõne Accusent la faveur de celui qui la donne.
Ses graues magiſtrats n’ont le pourpre éclatant, D’vne celeſte cour va l’honneur imitant, Bien que leur volonté commande ſouueraine, Ils vont pleignant außi le trauail & la peine:	Ses graves magistrats n'ont le pourpre éclatant, D'une céleste cour va l'honneur imitant, Bien que leur volonté commande souveraine, Ils vont pleignant aussi le travail et la peine:
Chaſque moment du iour l’on voit le courtizan Souhaitter le bon-heur du chetif artizan, Et d’vn contraire effet le noble de Champagne S’imagine vne cour qui ſon train acompagne.	Châque moment du jour l'on voit le courtisan Souhaiter le bonheur du chétif artisan, Et d'un contraire effet le noble de Champagne S'imagine une cour qui son train acompagne.
Malheureux que ie ſuis les Muſes cheriſſant Ie deteſte cest art que l’on tient rauiſſant, Ie m’imprime ſouuent dedans ma fantaiſie, Que de faire des vers eſt vne freneſie:	Malheureux que je suis les Muses chérissant Je déteste cet art que l'on tient ravissant, Je m'imprime souvent dedans ma fantaisie, Que de faire des vers est une frénésie:
Vous autres que l’on met aurang des immortels, Qui braues meritez le parfun des autels:	Vous autres que l'on met aurang des immortels, Qui braves mérités le parfun des autels:
Prendrez vous le trauail d'vne penible attente Pour ſeruir de guerdon à voſtre ame contente?	Prendrez -vous le travail d'une pénible attente Pour servir de guerdon à votre âme contente?
LE CAPITAINE.	LE CAPITAINE.
Maintenant ſatisfait de mes trai ux paſſez, Ie n’ay plus ny le corps ny les membres laſſeZ Puiſque ſans y penſer la douceur de vos charmes Soulage le fardeau à mes peſantes armes, Mon oreille pendue au doux ſon de la voix, Iuge pour liberté le ſeruice des Roix, Vous eſcoutant ainſi parler de la fatigue, Vn chaſcun euſt eſté pelerin de la Digue:	Maintenant satisfait de mes trai eux passez, Je n'ai plus mieux le corpsblé les membres lasseZ Puisque sans y penser la douceur de vos charmes Soulage le fardeau à mes pesantes armes, Mon oreille pendue au doux son de la voix, Juge pour liberté le service des Roix, Vous écoutant ainsi parler de la fatigue, Un chascun eût été pèlerin de la Digue:
Ses grands monts orgueilleux de neges blanchiſſans N’euſſent espouuenté les ſoldats fremiſſans:	Ses grands monts orgueilleux de néges blanchissants N'eussent espouuenté les soldats frémissants:
Leur courage euſt volé de l’vn a l’autre pole, Tant le pouuoir eſt grand de ſi douce parole.	Leur courage eût volé de l'un a l'autre pôle, Tant le pouvoir est grand de si douce parole.
Toutefois les rochers ſe ſont eſuanouïs Par le brillant eſclat des armes de Louys.	Toutefois les rochers se sont évanouis Par le brillant éclat des armes de Louis.
L’exemple precedent de la mer captiuee, Leur fiſt craindre l’abord de ſa force eſprouuee;	L'exemple précédent de la mer captivée, Leur fît craindre l'abord de sa force éprouvée;
Ce grand Roy des bergers a franchi d’vn plein ſault Le pas du Sauoyard, & luy donne l’aſſault, Marchant victorieux dans Suze terracee, Qui tient de ſon ſeigneur la memoire effacee, C’eſt en vain que l’hyuer oppoſe ſes efforts, Le ſoldat veut ſouffrir pour vne mille morts, me fams pulxx enintennuneſ donrle.	Ce grand Roi des bergers a franchi d'Hô plein sault Le pas du Savaient, et et été l'assault, Marchant victorieux dans Suze terracee, Qui tient de son seigneur la mémoire effacée, C'est en vain que l'hiver oppose ses efforts, Le soldat veut souffrir pour une m morts, me fams pulx enintennunes donle.
Pour donner le ſecours au pere de Marie.	Pour donner le secours au père de Marie.
LE POETE.	LE POTE.
Ton recit merueil leux espouuente mes ſens, Apollon n'auroit pas d’aſſez dignes accens, Le chemin que tu dis ce fuſt lors Quancelade A l’empire du Ciel preſenta l’eſcalade, Qui va de lupiter le ſceptre menaçant Oſſa ſur pelion l’vn ſur l’autre entaçant.	Ton récit merveil leux épouvante mes sens, Apollon n'aurait pas d'assez dignes accends, Le chemin que tu dis ce fût lors Quancelade À l'empire du Ciel présenta de, Qui va de lupiter le sceptre menaçant Ossa sur pélion l'un ion l'autre entaçant.
LE CAPITAINE.	LE CAPITAINE.
Reſolu deſormais de faire vne retraitte Ie veux rendre à la fin ma liberté parfaitte, C’eſt laraiſon que Mars cedde aux loix de l’amour, Et que mon cœur vaincu puiſſe aymer à ſon tour.	Résolu désormais de faire une retraite Je veux rendre à la fin ma liberté parfaite, C'est laraison que Mars cédde aux lois de l'amour, Et que mon cœur vaincu puisse aimer à son tour.
