ARGVMENT SVR L’EMETIQVE PREPARE.	ARGUMENT SUR L'ÉMÉTIQUE PRÉPARE.
EACVS autre luge.	EACUS autre luge.
CARON Notonnier.	CARON Notonnier.
THEMYS Déeſſe de la juſtice.	THEMIS Déesse de la justice.
MERCVRE Interprette des Dieux.	MERCURE Interprète des Dieux.
MOMVS Procureur de Saturne.	MOMUS Procureur de Saturne.
ANTIMOIN PVRIFIE SVR LA SELLETTE.	ANTIMOIN PURIFIE SUR LA SELLETTE.
E επεεπυ δ Dει	 επεεπυ Dει
ACTE PREMIER.	ACTE PREMIER.
CARON ſeul avec vn Aviron.	CARON seul avec un Aviron.
M H!	M M!
le maudit meſtier, ie ne ſuis plu moy-meſme, Ie ſuis las à mourir, & ie me vois tou blême;	le maudit métier, Seigneur ne suis plu moi-même, Je suis las à mourir, et quelque me vois tou blême;
Me voila tout défait, tout défait me voila, D’où diable, encore vn coup me vient tout!	Me voilà tout défait, tout défait me voilà, D'où diable, encore un coup me vient tout!
mal là.	mal là.
Iuge des antres noirs, Eacus, Radamante, Que l’eſprit de Plutton à iamais vous tourmente Si vous ne ſoulagez voſtre pauvre Caron	Juge des antres noirs, Eacus, Radamante, Que l'esprit de Pluton à jamais vous tourmente Si vous ne soulagez votre pauvre Caron
Il vous plantera là, la Barque & l’Aviron.	Il vous plantera là, la Barque et l'Aviron.
RADAMANTE.	RADAMANTE.
D’où vient l’emportement de ce pauvre bon hor	D'où vient l'emportement de ce pauvre bon hor
CARON.	CARON.
Plus vn cheval eſt bon, tant plus grande eſt ſomme, Enfin ie ne peux plus eſtre voſtre Nocher, Ie vay chez les mortels m’eriger en cocher;	Plus un cheval est bon, tant plus grande est somme, Enfin ie ne peux plus être votre Nocher, Je vais chez les mortels m'ériger en cocher;
Mes chevaux pour le moins traîneront le carreſ Et ie ne ſeray plus la miſerable roſſe, A paſſer iour & nuict ſans fin & ſans repos Les eſclaves ſurpris de Madame Atropos, Pour gaigner en vn iour peut-eſtre vingt piſtoles RADAMANTE.	Mes chevaux pour le moins traîneront le carres Et ici ne serai plus la misérable rosse, A passer jour et nuit sans fin et sans repos Les esclaves surpris de Madame Atropos, Pour gagner en un jour peut-être vingt pistoles RADAMANTE.
Explique-nous Caron en deux ou trois parolu Qui te fait murmurer apres vn ſi long-temps, Ton travail aujourd’huy doit eſtre vn paſſetemps On poutroit excuſer les plaintes d’vn Novice;	Explique-nous Caron en deux ou trois parol Qui te fait murmurer apres si long-temps, Ton travail aujourd’ doit être passetemps On poutroit excuser les plaintes Novice;
Mais entendre vn vieux loup, rompu dans l’erercice Se plaindre ſans ſujet!	Mais entendre un vieux loup, rompu dans l'érercice Se plaindre sans sujet!
CARON.	CARON.
Sans ſujet, dites-vousi Ie voudrois vous y voir, vous n’eſtes pas ſi fous;	Sans sujet, dites-vouzy Je voudrais vous y voir, vous n'êtes pas si fous;
Depuis trois mois en ça, dix Barques, toutes neuves N’auroient pas pû ſervir vn tas de ieunes veuves, Qui vous ont envoyé tous leurs anciens maris, Dont on voit la pluſpart ſe dire de Paris;	Depuis trois mois en ça, dix Barques, toutes neuves N'auraient pas pu servir un tas de jeunes veuves, Qui vous ont envoyé tous leurs anciens maris, Dont on voit la plupart se dire de Paris;
Il ſemble qu’en ce lieu, la famine & la peſte Faſſent à qui pis pis, & joüent de leur reſte.	Il semble qu'en ce lieu, la famine et la peste Fassent à qui pis pis, et jouent de leur reste.
RADAMANTE.	RADAMANTE.
Caron, faut obeïr aux Arreſts du deſtin.	Caron, faut obéir aux Arrêts du destin.
CARON Faut ma foy que ce Dieu ſoit à quelque feſtin, Du qu’il ſoit endormy, car vn ſi grand carnage, Ne peut par ſes decrets ſubſiſter davantage;	CARON Faut ma foi que ce Dieu soit à quelque festin, Du qu'il soit endormi, car un si grand carnage, Ne peut par ses décrets subsister davantage;
vois, & ie prévois que la mortalité ient encor de plus loin que la fatalité:	vois, et ici prévois que la mortalité jent encor de plus loin que la fatalité:
faut que par dépit pour achever ma Barque, uelque ieune apprentif par ordre de la Parque it parmy les mortels inventé de nouveau uelque Diachilum qui leur fait paſſer l’eau.	faut que par dépit pour achever ma Barque, uelque jeune apprentis par ordre de la Parque it parmi les mortels inventé de nouveau uelque Diachilum qui leur fait passer l'eau.
VN OMBRE appelle.	UN OMBRE appelle.
don, Caida.	don, Caida.
CARON continuant.	CARON continuant.
Pour moy ie vous dis ma penſée.	Pour moi ici vous dis ma pensée.
L’OMBRE appelle.	L'OMBRE appelle.
ion Cuon.	ion Cuon.
CARON ripond par dépit.	CARON ripond par dépit.
Caron, Caron, Ombre incenſée, 'n moment de Rpus, attemmoy ſi tu veux.	Caron, Caron, Ombre incensée, 'n moment de Répus, attemoi si tu veux.
RADAMANTE.	RADAMANTE.
Caron, les faut paſſer.	Caron, les faut passer.
CARON.	CARON.
Ie fais ce que ie peux, Et quand ie dirois plus ce n’eſt point vn menſonge.	Je fais ce que ici peux, Et quand ici dirais plus ce n'est point un mensonge.
Tmois Ombres arrivent.	Tmais Ombres arrivent.
CARON eſtonne Comment diable ſans moy, ne voila pas mon ſange?	CARON étonne Comment diable sans moi, ne voilà pas mon sange?
e voyois en rêvant, ce me ſemble.	e voyais en rêvant, ce me semble.
la nuict, es Ombres qui paſſoient ſourdement, & ſans bruit, trainte de me payer.	la nuit, es Ombres qui passaient sourdement, et sans bruit, trainte de me payer.
retournez au plus viſte, ù le fleuve Lethé ſera le dernier giſte, u ie vay vous plonger à grands coups d’Aviron.	retournez au plus vite, ù le fleuve Léthé sera le dernier gîte, ie vay vous plonger grands coups Aviron.
0 RADAMANTE.	0 RADAMANTE.
Tout beau, tout beau, Nocher, arreſte vn peu Caron.	Tout beau, tout beau, Nocher, arrête un peu Caron.
CARON parlant aux Ombres.	CARON parlant aux Ombres.
Qui vous a donc paſſez?	Qui vous a donc passez?
LESOMBRES.	LESOMBRES.
Nous-meſmes ſans rien dire, Ayans la Barque au port, chacun de nous l’aus Et d’vn ſeul Aviron abandounant ce bord Nous ſommes doucement arrivez dans ce port.	Nous-mêmes sans rien dire, Ayants la Barque au port, chacun de nous l'aus Et d'un seul Aviron abandounant ce bord Nous sommes doucement arrivés dans ce port.
CARON.	CARON.
Montrez-moy les talons, retournez au rivage Il en eſt chez Caron pour ſon droict de naulag Comme deſſus vn pont qu’on a déja paſſé, Eſtant au Tourniquet vn homme eſt terraſſé, Et renvoyé d’abord, s’il n’a là ſon affaire Pour graiſſer en paſſant la patte du Corſaire:	Montrez-moi les talons, retournez au rivage Il en est chez Caron pour son droit de naulag Comme dessus un pont qu'on a déjà passé, Étant au Tourniquet un homme est terrassé, Et renvoyé d'abord, s'il n'a là son affaire Pour graisser en passant la patte du Corsaire:
Vn Obolle n’eſt rien, mais ſur la quantité Cela me garde vn peu de la neceſſité.	Un Obolle n'est rien, mais sur la quantité Cela me garde un peu de la nécessité.
RADAMANTE parlant aux Ombres.	RADAMANTE parlant aux Ombres.
Ombres, de quel pays, quel employ, de que e;	Ombres, de quel pays, quel emploi, de que l;
OMBRE.	OMBRE.
De Paris partiſan.	De Paris partisan.
CARON.	CARON.
N’en dis pas davantage, Partiſan?	N'en dis pas davantage, Partisan?
Ah voleur, tu quittes ce ſejour Pour venir m’excroquer, & piller à mon tour :	Ah voleur, tu quittes ce séjour Pour venir m'excroquer, et piller à mon tour :
Ie ne m’eſtonne plus, ſi pour ſauver l’obolle Tu t’es embarqué ſeul, eſprit de Monopolle, N’ayant plus à gaigner dans ton pays natal Tu viens nous exiger quelque party fatal?	Je ne m'étonne plus, si pour sauver l'obolle Tu t'es embarqué seul, esprit de Monopolle, N'ayant plus à gagner dans ton pays natal Tu viens nous exiger quelque parti fatal?
Ne veux-tu pas donner ton Placet à la parque pour mettre quelque impoſt, ſur le Styx, ſur mi B ique, L’eau n’eſt point trouble aſſez pous prendre le poiſſons, L ais chez Plutton l’on n’a veu des oyſons.	Ne veux-tu pas donner ton Placet à la parque pour mettre quelque impôt, sur le Styx, sur mi B ique, L'eau n'est point trouble assez pous prendre le poussons, L ais chez Pluton l'on n'a vu des oisons.
RADAMANTE.	RADAMANTE.
D’où vient que les mortels ſortent de voſtre Ville, t venir à milliers dans ce noir domicille?	D'où vient que les mortels sortent de votre Ville, t venir à milliers dans ce noir domicille?
ous n’avons iamais veu tant d’Ombres à la fois.	ous n'avons jamais vu tant d'Ombres à la fois.
OMBRES.	OMBRES.
Vn remede approuvé depuis deux ou trois mois riomphe châque iour, culbutant pêle mêle, eûnes, vieux, grands, petits auſſi drus que la grêle;	Un remède approuvé depuis deux ou trois mois riomphe châque jour, culbutant pêle mêle, eunes, vieux, grands, petits aussi drus que la grêle;
algré tout ce débry que i’ay veu de mes yeux 'ay ſuivy le torrent qui roule dans ces lieux, t ie ſens dans mon corps le beau remue-ménage Jue peut produire ailleurs l’effort de ce breuvage;	algré tout ce débri que j'ai vu de mes yeux ' ais suivi le torrent qui roule dans ces lieux, t H sens dans mon corps le beau remue-ménage Jue peut produire ailleurs l'effort de ce breuvage;
lon Medecin fameux qui me traittoit d’amy, Autresfois de ce ſuc l’implacable ennemy, Me vint dire chez moy, qu’ayant changé la doſe Ce remede aujourd’huy n’eſtoit plus méme choſe, Qu’on en pouvoit vſer ſuivant leglement D’vn Arreſt ſolemnel en Cour de parlement,	Lon Médecin fameux qui me traitait d'ami, Autrefois de ce suc l'implacable ennemi, Me vint dire chez moi, qu'ayant changé la dose Ce remède aujourd'hui n'était plus même chose, Qu'on en pouvait user suivant léglement D'autre Arrêt solennel en Cour de parlement,
CARON.	CARON.
Quand on meurt par Arreſt on n’a plus rien à dire;	Quand on meurt par Arrêt on n'a plus rien à dire;
Ca, me faut de l’argent, voicy le mot pour rire, Allons viſte, au pluſtot, ou bien faut repaſſer.	Ça, me faut de l'argent, voici le mot pour rire, Allons vite, au plustôt, ou bien faut repasser.
RADAMANTE.	RADAMANTE.
Ombres, payez Caron pour vous débarraſſer, Caron, Caron, Caron.	Ombres, payez Caron pour vous débarrasser, Caron, Caron, Caron.
Ils le payent, on appelle.	Ils le paient, on appelle.
0	0
RADAMANTE.	RADAMANTE.
Ah !	Ah !
voila bien du monde.	voilà bien du monde.
OMBRE.	OMBRE.
Le Styx verra dans peu, couvrir toute ſon ond La moitié des mortels va paſſer devers vous Catoi, Calon, Ciron, On appelle encure,	Le Styx verra dans peu, couvrir toute son ond La moitié des mortels va passer devers vous Caton, Calon, Ciron, On appelle encure,
CARON lovant les yeux.	CARON lovant les yeux.
On y va, on y va.	On y va, on y va.
Ayez pitié de nous,	Ayez pitié de nous,
RADAMANTE.	RADAMANTE.
De ce poiſon fatal.	De ce poison fatal.
elle eſt donc la pretique	elle est donc la prétique
OMBRES.	OMBRES.
On l’appelle Emetique, Ou pluſtoſt Antimoine, avec vn peu de vin, C’eſt là pour tous les maux le remede divin.	On l'appelle Emetique, Ou plutôt Antimoine, avec un peu de vin, C'est là pour tous les maux le remède divin.
EACVS.	EACUS.
raſſez au premier rang, & faites place à d’autres.	rassez au premier rang, et faites place à d'autres.
Elles rentrent.	Elles rentrent.
RADAMANTE Enfin, ſi les mortels paſſent parmy les noſtres, Nous n’avons pas de lieu pour tant de Citoyens Nous faut avec Plutton chercher quelques moyens Pour accroiſtre au plûtoſt les lieux de ſon Empire.	RADAMANTE Enfin, si les mortels passent parmi les nôtres, Nous n'avons pas de lieu pour tant de Citoyens Nous faut avec Pluton chercher quelques moyens Pour croître au plûtost les lieux de son Empire.
EACVS.	EACUS.
Cela ne ſert de rien, quand nous irons luy dire, Il faudra quelque temps pour en venit à bout Que faire cependant ſi l’on nous paſſe tout.	Cela ne sert de rien, quand nous irons lui dire, Il faudra quelque temps pour en venit à bout Que faire cependant si l'on nous passe tout.
RADAMANTE.	RADAMANTE.
Faut arreſter le cours de ce vin Emetique, Deffendant ſans appel de le mettre en pratique oins pour quelque temp	Faut arrêter le cours de ce vin Emétique, Défendant sans appel de le mettre en pratique oins pour quelque tempête
BACVS.	BACUS.
C’eſt tres-bien raiſonnet.	C'est très-bien raisonnet.
CARON auic vn Medecin, le petit Antimoine.	CARON avic un Médecin, le petit Antimoine.
Voicy d’autres paſſans, vous plait-il d’orAundes elque place où les mettre?	Voici d'autres passants, vous plaît-il d'orAundes élque place où les mettre?
RADAMANTE.	RADAMANTE.
Avez-vous quelques grades, quelques qualitez?	Avez-vous quelques grades, quelques qualités?
LE MEDECIN.	LE MÉDECIN.
Ie gueris les malades, quelque Medecin iamais ſe ſignala n peue laul vous mentir, dite que le voila	Je guéris les malades, quelque Médecin jamais se signala n peue laul vous mentir, dite que le voilà
CARON.	CARON.
Triailleur, Charlattan, Batteleur, Empirique, l’es-tu point des ſuppoſts de ce vin Emetique?	Triailleur, Charlattan, Batteleur, Empirique, l'es-tu point des suppôts de ce vin Emetique?
LE MEDECIN montrant l'Antimoine.	LE MÉDECIN montrant l'Antimoine.
Le voila ce remede infaillible & Divin.	Le voilà ce remède infaillible et Divin.
CARON levant ſon Aviron.	CARON levant son Aviron.
Ah!	Ah!
Bourteau ſors d’icy, retourne avec ton vin, Tu viens nous amener cette maudite peſte our nous faire crever en joüant de ton reſte.	Bourteau sors d'ici, retourne avec ton vin, Tu viens nous amener cette maudite peste our nous faire crever en joüant de ton reste.
RADAMANTE.	RADAMANTE.
A quoy bon appotter ce remede en ces lieux?	À quoi bon appotter ce remède en ces lieux?
LE MEDECIN.	LE MÉDECIN.
C’eſt vn fils de Saturne, vn threſor precieur.	C'est un fils de Saturne, un trésor priceur.
CARON regardant l’An timoine.	CARON regardant l'An timoine.
Fils de Saturne helas!	Fils de Saturne hélas!
reſſemblant à to pere, Petit fils de putain, tu ne vaux ma foy guere, Ne faut pas demander qui nous fait paſſe l’eau.	ressemblant à to père, Petit fils de put, tu ne vaux ma foi guère, Ne faut pas demander qui nous fait passe l'eau.
RADAMANTE.	RADAMANTE.
Saturne a donc produit ce remede nouveau Ennemy comme il eſt de toute la nature Son fils ſuit à ſon tour la meſme tablature.	Saturne a donc produit ce remède nouveau Ennemi comme il est de toute la nature Son fils suit à son tour la même tablature.
LE MEDECIN.	LE MÉDECIN.
Ah!	Ah!
Meſſieurs, ie vois bien qu’on ne connoit pas.	Messieurs, Seigneur vois bien qu'on ne connaît pas.
Il ne ſçait ce que c’eſt de mort ny de trépas;	Il ne sait ce que c'est de mort ni de trépas;
Au contraire, c’eſt luy qui conſerve la vie.	Au contraire, c'est venir qui conserve la vie.
CARON.	CARON.
Si iamais il l’a fait, c’eſt contre ſon envie, Il ne ſeroit pas fils de ſon pere autrement;	Si jamais il l'a fait, c'est contre son envie, Il ne serait pas fils de son père autrement;
Meſſieurs, faut enfermer ce drolle eſtroir tement, Avec ſon Antimoine & toute ſa ſequelle.	Messieurs, faut enfermer ce drolle étroir tement, Avec son Antimoine et toute sa séquelle.
RADAMANTE.	RADAMANTE.
Nous faut auparavant le mertre ſur la Selle, N’eſtant pas vn mortel, mais vn enfant de Cieux, Il pourroit nous cauſer du deſordre en ce hieux.	Nous faut auparavant le mertre sur la Selle, N'étant pas un mortel, mais un enfant de Cieux, Il pourrait nous causer du désordre en ce hieux.
CARON.	CARON.
S’il ne tient qu’à cela ſa ſauce eſt bientôs faite, Ie vay dans mon batteau vous querir n Sellette, Nous le faut éloigner de Madame Atropos, eloger à part pour avoir du repos.	S'il ne tient qu'à cela sa sauce est bientô te, Je vais dans mon batteau vous quérir nôtre Sellette, Nous le faut éloigner de Madame Tropos, eloger à part pour avoir du repos.
LE MEDECIN.	LE MÉDECIN.
Traitcer en criminel, vn Dieu de cette ſorte!	Traitcer en criminel, un Dieu de cette sorte!
telaſchez-le, Meſſieurs, faites ouvrir la porte:	telâchez-le, Messieurs, faites ouvrir la porte:
tue dira-t’on de luy, s’il retourne iamai?	tue dira-t-on de Seigneur, s'il retourne jamai?
RADAMANTE.	RADAMANTE.
Puis qu’il eſt chez Plutton, c’eſt à nous deſormais De voir ce qu’il a fait, & d’en faire iuſtice.	Puis qu'il est chez Pluton, c'est à nous désormais De voir ce qu'il a fait, et d'en faire justice.
CARON apportant la sellette.	CARON apportant la sellette.
A bas pauvre innocent tout fourré de malice.	À bas pauvre innocent tout fourré de malice.
LE MEDECIN Ecraſez-moy plutoſt que de le voir ainſi.	LE MÉDECIN Écrasez-moi plutôt que de le voir ainsi.
CARON.	CARON.
Bon, bon, cela va bien, vrayment nous y voicy, Monſieur le Medecin, à barbe d’eſcoupette, S’erige en Advocat, comme ſa gueule petté, La fiévre le va prendre en perdant ſon procez, Luy faut de l’Antimoine en ce premier accez.	Bon, bon, cela va bien, vraiment nous y voici, Monsieur le Médecin, à barbe d'escoupette, S'érige en Avocat, comme sa gueule peté, La fièvre le va prendre en perdant son procès, Lui faut de l'Antimoine en ce premier accès.
RADAMANTE.	RADAMANTE.
Tourquoy donc l’amener?	Tourquoi donc l'amener?
LE MEDECIN.	LE MÉDECIN.
C’eſtoit pour promenade.	C'était pour promenade.
CARONMonſieur l’amene icy pour en faire parade, N’ayant plus rien à faire en ce païs d’en haut, Il vient voir ſi pour luy nous n’avons rien è chaud.	CARONMonsieur l'amène ici pour en faire parade, N'ayant plus rien à faire en ce pays d'en haut, Il vient voir si pour lui nous n'avons rien è chaud.
Caron, Caron.	Caron, Caron.
On appelle,	On appelle,
CARON i'en allant.	CARON j'en allant.
Toûjours ſans fin.	Toujours sans fin.
RADAMANTE.	RADAMANTE.
Entrez & prenez place, Parmy les Triailleurs & gens de populace, Gardez-vous d’approcher de ces grands Medecins, Vous, qui pour purgatifs ordonnez des venins.	Entrez et prenez place, Parmi les Triailleurs et gens de populace, Gardez-vous d'approcher de ces grands Médecins, Vous, qui pour purgatifs ordonnez des venins.
LE MEDECIN.	LE MÉDECIN.
Eſtant Docteur fourré, comme d’abus i’ap pelle De cet iniuſte Arreſt.	Étant Docteur fourré, comme d'abus j'ap pelle De cet injuste Arrêt.
RADAMANTE.	RADAMANTE.
Vous eſtes vn rebelle, Gardez qu’en repaſſant le fait de point et point, Ie ne vous faſſe ailleurs dégraiſſer le pourpoint :	Vous êtes un rebelle, Gardez qu'en repassant le fait de point et point, Je ne vous fasse ailleurs dégraisser le pourpoint :
On vous met dans le rang des Medecins perfides;	On vous met dans le rang des Médecins perfides;
Mais peut-eſtre on poutra vous joindre aur homicides.	Mais peut-être on poutra vous joindre aur homicides.
LE MEDECIN.	LE MÉDECIN.
Ayant ſuivy toûjours Hipocrate & Galien.	Ayant suivi toujours Hypocrate et Galien.
EACVS.	EACUS.
Eux-meſmes vous diront que vous ne valez rien.	Eux-mêmes vous diront que vous ne valez rien.
CARON avic vne vieillequi ne marche qu’à peins.	CARON avic une vieillequi ne marche qu'à peins.
LA VIEILLE Ah!	LA VIEILLE Ah!
Meſſieurs, les Bourreaux m’ont abrege ma vie, Ces maudits Medecins me l’ont enfin ravie Ie me portois fort bien, i’aurois vécu cent ans.	Messieurs, les Bourreaux m'ont abrège ma vie, Ces maudits Médecins me l'ont enfin ravie Je me portais fort bien, j'aurais vécu cent ans.
CARON.	CARON.
C’eſt de la moitié trop au profit des enfans.	C'est de la moitié trop au profit des enfants.
RADAMANTE.	RADAMANTE.
Quel âge avez-vous donc?	Quel âge avez-vous donc?
LA VIEILLE.	LA VIEILLE.
Ie ſuis dans l’an neuſviéme, Elle touſſe.	Je suis dans l'an neusvième, Elle tousse.
Avec quatre-vingt dix.	Avec quatre-vingt dix.
RADAMANTE.	RADAMANTE.
Falloit voir le centitme, Vous avez bien raiſon, l’on vous a fait grand tort.	Fallait voir le centitme, Vous avez bien raison, l'on vous a fait grand tort.
CARON.	CARON.
Elle vient preſenter ſa requeſte à la mort, neſſe.	Elle vient présenter sa requête à la mort, nesse.
EACVS.	EACUS.
D'où venoit voſtre mal?	D'où venait votre mal?
LA VIEILLE.	LA VIEILLE.
Quittant le laict d’Aneſſe Ie creus mon Medecin, qui ie ne ſçay comment M’obligea de dietter, & vivre ſobrement:	Quittant le lait d'Anesse Je crus mon Médecin, qui était ne sais comment M'obligea de dietter, et vivre sobrement:
Ce que ie fis, helas!	Ce que ici fis, hélas!
Vn grand mal de poitrine Le mit en peu de temps au bout de ſa doctrine.	Un grand mal de poitrine Le mit en peu de temps au bout de sa doctrine.
La conſulte ſe fit avec tout leur ſabat lis conclurent enfin pour ſortir de debat Qque l’Autimoine eſtoit l’infaillible remede:	La consulte se fit avec tout leur sabat lis conclurent enfin pour sortir de bat Qque l'Autimoine était l'infaillible remède:
Entendant ce poiſon, ie crie à l’ayde, à l’ayde, Sortez d’icy Bourreaux, car ie n’en prendrar pas :	Entendant ce poison, ie crie à l'aide, à l'aide, Sortez d'ici Bourreaux, car je n'en prendrar pas :
Pout machiner ma perte, & me mettre icy bar Ils changerent d’avis m’ordonnant autre choſe.	Pout machiner ma perte, et me mettre ici bar Ils changèrent d'avis m'ordonnant autre chose.
Deux grains de Stibion, ſelon la meſme doſe.	Deux grains de Stibion, selon la même dose.
Que ie pourrois moy-meſme infuſer dans le vin Puis que i’avois horreut du remede divin.	Que était pourrais moi-même infuser dans le vin Puis que j'avais horreut du remède divin.
Ie pris ce Stibion, gros comme trois graint d’orge, Et de ma propre main ie me coupay la gorge.	Je pris ce Stibion, gros comme trois graint d'orge, Et de ma propre main ie me coupai la gorge.
La freneſie la prend u ſe tourmentant.	La frénésie la prend se tourmentant.
Il ne fut pas plûtoſt, la, la, la, plus, plus, plus, Non d’a, ie n’iray pas, non, non, non, plus, plus plus.	Il ne fut pas plutôt, la, la, la, plus, plus, plus, Non d'a, Seigneur n'irai pas, non, non, non, plus, plus plus.
CARON.	CARON.
Fort bien, Vieille, fort bien, avec voſtu Antidote, Ie vois ſans deviner que chez vous on radotte, Paſſez donc, s’il vous plaiſt, treve de l’opion.	Fort bien, Vieille, fort bien, avec vos Antidote, Je vois sans deviner que chez vous on radotte, Passez donc, s'il vous plaît, trouve de l'opion.
EACVS.	EACUS.
Autre nouveau venin appellé Stibion, Les mortels à preſent n’ayment que le de fordre.	Autre nouveau venin appelé Stibion, Les mortels à présent n'aiment que le de fordre.
LE MEDECIN.	LE MÉDECIN.
Antimoine & Stiby ſont tous deux d’vn meſme ordre, Ce n’eſt qu’vn purgatif ſous deux noms difſerends.	Antimoine et Stibi sont tous deux d'H mesme ordre, Ce n'est qu'un purgatif sous deux noms diserends.
LA VIEILLE.	LA VIEILLE.
Te voila donc Bourreau, c’eſt donc toy q i’entens,	Te voilà donc Bourreau, c'est donc toi q j'entends,
m’en vay t’eſtrangler.	m'en vais t'étrangler.
Elle court ſur le Medecin,6 Caren la retient.	Elle court sur le Médecin,6 Caren la retient.
EACVS.	EACUS.
Tout beau, maudites Ombres, Apprehendez Plutton, quoy dans ces palaiſombies ?	Tout beau, maudites Ombres, Appréhendez Pluton, quoi dans ces palaisombies ?
Vous voulez vous vanger, & méme devant nous, L’eau du flruue Le thé n’opere point ſur vous, Puis qu’on doit ſur ces bords n’avoir plus de ſnei.	Vous voulez -vous venger, et même devant nous, L'eau du flruue Le thé n'opère point sur vous, Puis qu'on doit sur ces bords n'avoir plus de seine.
CARON.	CARON.
Dans ces lieux comme ailleurs, on ne peut faire boire Vn Aſne, s’il n’a ſoif:	Dans ces lieux comme ailleurs, on ne peut faire boire Un Âne, s'il n'a soif:
celle-cy n’a rien pris, Et c’eſt ce qui luy fait rappeller ſes eſprits;	celle-cy n'a rien pris, Et c'est ce qui lui fait rappeler ses esprits;
Allons, retournons boire, afin qu’on ſe repoſe	Allons, retournons boire, afin qu'on se repose
EACVS.	EACUS.
Allez, retoumnez boire avant toute autre choſe, Parlant au Medecin.	Allez, retoumnez boire avant toute autre chose, Parlant au Médecin.
Et vous, ſon Medecin, comme vn empoiſonneur.	Et vous, son Médecin, comme un empoisonneur.
Noſtre Arreſt vous eſt doux.	Notre Arrêt vous est doux.
LE MEDECIN.	LE MÉDECIN.
Meſſieurs, pour mon honneur, I’ayme mieux à iamais ooffrir comme Tantalle Que d’eſtre Medecin en Troupe Theatralle.	Messieurs, pour mon honneur, J'aime mieux à jamais offrir comme Tantèle Que d'être Médecin en Troupe Théatrale.
EACVS.	EACUS.
Retirez-vous d’icy, contraignez le, Caron	Retirez-vous d'ici, contraignez le, Caron
CARON.	CARON.
Ma foy vous paſſerez ou bien cét Aviron.	Ma foi vous passerez ou bien cet Aviron.
EACVS.	EACUS.
