R IRE, Y.	 IRE, Y.
mais pour moy, toute la gloire où je puis aſpirer, c’eſt de la réjouir.	mais pour moi, toute la gloire où je puis aspirer, c'est de la réjouir.
Je borne là l’ambition de mes ſouhaits;	Je borne là l'ambition de mes souhaits;
& je croy qu’en quelque façon ce n’eſt pas eſtre inutile à la France, que de contribuër quelque choſe	et je crois qu'en quelque façon ce n'est pas être inutile à la France, que de contribuer quelque chose
A thoſe au divertiſſement de ſon Roy.	A those au divertissement de son Roi.
Quand je n’y reüſſiray pas, ce ne ſera jamais par un defaut de zele, ny d’eſtude;	Quand je n'y réussirai pas, ce ne sera jamais par un défaut de zèle, notre d'étude;
mais ſeulement par un mauvais deſtin, qui ſuit aſſez ſouvent les meilleures intentions, ( qui ſans doute afligeroit ſenſiblement,	mais seulement par un mauvais destin, qui suit assez souvent les meilleures intentions, ( qui sans doute afligerait sensiblement,
IRE,	IRE,
Le tres-humble, tres-obeïſſant, & tres-fidelle ſer viteur & ſujet,	Le très-humble, très-obeïssant, et très-fidelle ser viteur et sujet,
B.	B.
P.	P.
MOLIERE.	MOLIÈRE.
AU AMAIS entrepriſe au Theatre ne fut ſi precipitée que celle-cy;	AU AMAIS entreprise au Théâtre ne fut si précipitée que celle-cy;
& c’eſt une choſe, je croy, toute nouvelle, qu’une Comedie ait eſté conceuë, faite, appriſe, & repreſentée en quinze jours.	et c'est une chose, je crois, toute nouvelle, qu'une Comédie ait été conçue, faite, apprise, et représentée en quinze jours.
Je ne dis pas cela pour me piquer de l’impromptu, & en pretendre de la gloire;	Je ne dis pas cela pour me piquer de l'impromptu, et en prétendre de la gloire;
mais ſeulement pour prevenir certaines gens, qui pourroient trouver à redire, que je n’aye pas mis icy toutes les eſpeces de Fâcheux, qui ſe trouvent.	mais seulement pour prévenir certes gens, qui pourraient trouver à redire, que je n'aie pas mis ici toutes les espèces de Fâcheux, qui se trouvent.
Je ſçay que le nombre en eſt grand, & à la Cour, & dans la Ville, & que ſans Epiſodes, j’euſſe bien pûen compoſer une Comedie de cinq A 4 Actes Actes bien fournis, & avoir encor de la matiere de reſte.	Je sais que le nombre en est grand, et à la Cour, et dans la Ville, et que sans Épisodes, j'eusse bien puen composer une Comédie de cinq A 4 Actes Actes bien fournis, et avoir encor de la matière de reste.
Mais dans le peu de temps qui me fut donné, il m’eſtoit impoſſible de faire un grand deſſein, & de rêver beaucoup ſur le choix de mes Perſonnages, & ſur la diſpoſition de mon ſujet.	Mais dans le peu de temps qui me fut donné, il m'était impossible de faire un grand dessein, et de rêver beaucoup sur le choix de mes Personnages, et sur la disposition de mon sujet.
Je me reduiſis donc à ne toucher qu’un petit nombre d’Importuns;	Je me réduis donc à ne toucher qu'un petit nombre d'Importuns;
& je pris ceux qui s’offrirent d’abord à mon eſprit, & que je crus les plus propres à réjouir les auguſtes perſonnes devant qui j’avois à paroiſtre;	et je pris ceux qui s'offrirent d'abord à mon esprit, et que je crus les plus propres à réjouir les augustes personnes devant qui j'avais à paraître;
& pour lier 2 2 promptement toutes ces choſes enſemble, je me ſervis du premier nœud que je pus trouver.	et pour lier 2 2 promptement toutes ces choses ensemble, je me servis du premier nœud que je pus trouver.
Ce n’eſt pas mon deſſein d’exa(7 miner maintenant ſi tout cela pouvoit eſtre mieux, & ſi tous ceux qui s’y ſont divertis, ont ri ſelon les regles:	Ce n'est pas mon dessein d'exa apprendre miner maintenant si tout cela pouvait être mieux, et si tous ceux qui s'y sont divertis, ont ri selon les règles:
Le temps viendra de faire imprimer mes remarques ſur les Pieces que j’auray faites;	Le temps viendra de faire imprimer mes remarques sur les Pièces que j'aurai faites;
& je ne deſeſpere pas de faire voir un jour, en grand Autheur, que je puis citer Ariſtote, & Horace.	et je ne désespère pas de faire voir un jour, en grand Auteur, que je puis citer Aristote, et Horace.
En attandant cet examen, qui peut-eſtre ne viendra point, je m’en remets aſſez aux deciſions de la multitude;	En attandant cet examen, qui peut-être ne viendra point, je m'en remets assez aux décisions de la multitude;
& je tiens auſſi difficile de combattre un Ouvrage que le public approuve, que d’en deffendre un qu’il condamne.	et je tiens aussi difficile de combattre un Ouvrage que le public approuve, que d'en défendre un qu'il condamne.
Il n’y a perſonne qui ne ſçache pour quelle réjoüiſſance la Piece fut compoſée, & cette feſte a fait un tel éclat, qu’il n’eſt pas neceſfaire d’en parler;	Il n'y a personne qui ne sache pour quelle réjoüissance la Pièce fut composée, et cette fête a fait un tel éclat, qu'il n'est pas nécessaire d'en parler;
mais il ne ſera pas hors de propos de dire deux paroles des ornemens qu’on a meſlez avec la Comedie.	mais il ne sera pas hors de propos de dire deux paroles des ornements qu'on a mêlez avec la Comédie.
Le deſſein eſtoit de donner un Ballet auſſi;	Le dessein était de donner un Ballet aussi;
& comme il n’y avoit qu’un petit nombre choiſi de Danceurs excellens, on fut contraint de ſeparer les Entrées de ce Ballet, & l’avis fut de les jetter dans les Entre-Actes de la Comedie, afin que ces intervalles donnaſſent temps aux mêmes Baladins de revenir ſous d’autres habits:	et comme il n'y avait qu'un petit nombre choisi de Danceurs excellents, on fut contraint de séparer les Entrées de ce Ballet, et l'avis fut de les jeter dans les Entre-Actes de la Comédie, afin que ces intervalles donnassent temps aux mêmes Baladins de revenir sous d'autres habits:
De ſorte que pour ne point rompre auſſi le fil de la Piece, par ces manieres d’intermedes, on s’aviſa de les coudre au ſujet du mieux que l'on put, & de ne faire qu’une 2 ſeule choſe du Ballet, & de la Comedie:	De sorte que pour ne point rompre aussi le fil de la Pièce, par ces manières d'intermèdes, on s'avisa de les coudre au sujet du mieux que l'on pût, et de ne faire qu'une 2 seule chose du Ballet, et de la Comédie:
mais comme le temps eſtoit fort precipité, & que tout cela ne fut pas regléentierement par une même teſte, on trouvera peut-eſtre quelques endroits du Ballet, qui n’entrent pas dans la Comedie auſſi naturellement que d’autres.	mais comme le temps était fort précipité, et que tout cela ne fut pas regléentierement par une même tête, on trouvera peut-être quelques endroits du Ballet, qui n'entrent pas dans la Comédie aussi naturellement que d'autres.
Quoy qu’il en ſoit, c’eſt un meſſange qui eſt nouveau pour nos Theatres, & dont on pourroit chercher quelques authoritez dans l’Antiquité;	Quoi qu'il en soit, c'est un mésange qui est nouveau pour nos Théatres, et dont on pourrait chercher quelques autorités dans l'Antiquité;
& comme tout le Monde l’a trouvé agreable, il peut lervir diuée a d’aâtres choſes, qui pourroient eſtré meditées avec plus de loiſir.	et comme tout le Monde l'a trouvé agréable, il peut lervir diuée a d'aâtres choses, qui pourraient estré méditées avec plus de loisir.
D’abord que la toille fut levée, un des Acteurs, comme	D'abord que la toille fut levée, un des Acteurs, comme
A 6 vous vous pourriez dire moy, parut ſur le Theatre en habit de Ville, & s’adreſſant au Roy avec le viſage d’un homme ſurpris, fit des excuſes en deſordre ſur ce qu’il ſe trouvoit là ſeul, & manquoit de temps & d’Acteurs pour donner à ſa Majeſté le divertiſſement qu’elle ſembloit attandre.	À 6 vous vous pourriez dire moi, parut sur le Théâtre en habit de Ville, et s'adressant au Roi avec le visage d'un homme surpris, fit des excuses en désordre sur ce qu'il se trouvait là seul, et manquait de temps et d'Acteurs pour donner à sa Majesté le divertissement qu'elle semblait attandre.
En même temps, au milieu de vingt jets d’eau naturels, S’ouvrit cette coquille, que tout le monde a veuë;	En même temps, au milieu de vingt jets d'eau naturels, S'ouvrit cette coquille, que tout le monde a vue;
& l’agreable.	et l'agréable.
Nayade qui parut dedans s’avança au bord du Theatre, & d’un air heroïque prononça les Vers, que Monſieur Peliſſon avoit faits, & qui ſervent de Projogue	Nayade qui parut dedans s'avança au bord du Théâtre, et d'un air héroïque prononça les Vers, que Monsieur Pélisson avait faits, et qui servent de Projogue
PRO	PRO
PROLOGUE.	PROLOGUE.
Our voir en ces beaux lieux le plus grand Roy du Monde, Mortels, je viens à vous de ma grotte profonde.	Our voir en ces beaux lieux le plus grand Roi du Monde, Mortels, je viens à vous de ma grotte profonde.
Faut-il en ſa faveur, que la Terre ou que l'Eau Produiſent à vos yeux un ſpectacle nouveau?	Faut-il en sa faveur, que la Terre ou que l'Eau Produisent à vos yeux un spectacle nouveau?
Qu'il parle, ou qu’il ſouhaitte:	Qu'il parle, ou qu'il souhaite:
Il n’eſt rien d’impoſſible:	Il n'est rien d'impossible:
Luy-même n’eſt-il pas un miracle viſible?	Lui-même n'est-il pas un miracle visible?
Son regne ſi fertile en miracle divers, N’en demande-t il pas à tout cet Univers?	Son règne si fertile en miracle divers, N'en demande-t -il pas à tout cet Univers?
Teune, Victorieux, Sage, Vaillant, Auguſte, Auſſi doux que ſevere, auſſi puiſſant que juſte, Regler, & ſes Eſtats, & ſes propres deſirs, Joindre aux nobles travaux les plus nobles plaiſirs.	Teune, Victorieux, Sage, Vaillant, Auguste, Aussi doux que sévère, aussi puissant que juste, Regler, et ses États, et ses propres désirs, Joindre aux nobles travaux les plus nobles plaisirs.
En ſes juſtes projets jamais ne ſe méprendre, Agir inceſſamment, tout voir, & tout entendre;	En ses justes projets jamais ne se méprendre, Agir incessamment, tout voir, et tout entendre;
Qui peut cela, peut tout;	Qui peut cela, peut tout;
il n’a qu’à tout oſer;	il n'a qu'à tout oser;
Et le ciel à ſes vœux ne peut rien refuſer.	Et le ciel à ses vœux ne peut rien refuser.
Ces Termes marcheront, & ſi Louïs l’ordonne Ces Arbres parleront mieux que ceux de Dodone :	Ces Termes marcheront, et si Louis l'ordonne Ces Arbres parleront mieux que ceux de Dodone :
Hoſteſſes de leur tronc, moindres Divinitez, C’eſt Louïs qui le veut, ſortez Nymphes, ſortez;	Hôtesses de leur tronc, moindres Divinités, C'est Louis qui le veut, sortez Nymphes, sortez;
MU * Je vous monſtre l’exemple, il s’agit de luyplaire, Quittez pour quelque temps voſtre forme ordinaire, Et paroiſſons enſemble aux yeux des ſpectateurs, Pour ce nouveau Theatre, autant de vrais Acteurs.	MU * Je vous montre l'exemple, il s'agit de déplaire, Quittez pour quelque temps votre forme ordinaire, Et paraissons ensemble aux yeux des spectateurs, Pour ce nouveau Théâtre, autant de vrais Acteurs.
Vous, Soin de ſes ſujets, ſa plus charmante eſtude, Heroïque ſoucy, Royale inquietude, Laiſſez-le reſpirer, & ſouffrez qu’un moment Son grand cœur s’abandonne au divertiſſement:	Vous, Soin de ses sujets, sa plus charmante étude, Héroïque souci, Royale inquiétude, Laissez-le respirer, et souffrez qu'un moment Son grand cœur s'abandonne au divertissement:
Vous le verrez demain d’une force nouvelle Sous le fardeau penible, où voſtre voix l’appelle, Faire obeïr les loix, partager les bienfaits, Par jes propres conſeils prevenir nos ſouhaits, Maintenir l’Univers dans une paix profonde, Et s’oſter le repos pour le donner au monde.	Vous le verrez demain d'une force nouvelle Sous le fardeau pénible, où votre voix l'appelle, Faire obéir les lois, partager les bienfaits, Par jes propres conseils prévenir nos souhaits, Maintenir l'Univers dans une paix profonde, Et s'ôter le repos pour le donner au monde.
Qu’auPluſieurs Driades accompagnées de Faunes & de Satyres ſortent des Arbres & des Termes.	Qu'auPlusieurs Driades accompagnées de Faunes et de Satyres sortent des Arbres et des Termes.
Qu'aujourd'huy tout luy plaiſe, & ſemble conſentir A l’unique deſſein de le bien divertir.	Qu'aujourd'hui tout lui plaise, et semble consentir A l'unique dessein de le bien divertir.
Fâcheux retirez-vous;	Fâcheux retirez-vous;
ou s’il faut qu’il vous ele te jou jentement pohs cxenei ja jojv.	ou s'il faut qu'il vous éle te jou jentement pohs cxènei ja jojou.
La Nayade emmenne avec elle, pour la Comedie, une partie des gens qu’elle a fait paroiſtre, pendant que le reſte ſe met à dancer au ſon des Hauts-bois, qui ſe joignent aux Violons.	La Nayade emmenne avec elle, pour la Comédie, une partie des gens qu'elle a fait paraître, pendant que le reste se met à dancer au son des Hauts-bois, qui se joignent aux Violons.
LES	LES
D RE.	D RE.
LA RIVIERE, & deux Camarades.	LA RIVIÈRE, et deux Camarades.
LES FASCHEUX.	LES FÂCHEUX.
2 COMEDIE.	2 COMÉDIE.
ACTE PREMIER.	ACTE PREMIER.
SCENE PREMIERE ERASTE, LA MONTAGNE.	SCÈNE PREMIÈRE ERASTE, LA MONTAGNE.
ERASTE.	ERASTE.
OUS quel aſtre, bon Dieu, faut-il que je ſois né, Pour eſtre de Fâcheux toûjours aſſaſſiné!	OUS quel astre, bon Dieu, faut-il que je sois né, Pour être de Fâcheux toujours assassiné!
Il ſemble que par tout le ſort me les adreſſe, Et j’en vois, chaque jour, quelque nouvelle eſpece.	Il semble que par tout le sort me les adresse, Et j'en vois, chaque jour, quelque nouvelle espèce.
Mais il n’eſt rien d’égal au Fâcheux d’aujourd’huy;	Mais il n'est rien d'égal au Fâcheux d'aujourd'hui;
’ay cru n’eſtre jamais debaraſſé de luy;	ais cru n'être jamais débarrassé de lui;
Et, cent fois, j’ay maudit cette innocente envie Qui m’a pris à diſné, de voir la Comedie, Où, penſant m’égayer, j’ay miſerablement Trouvé de mes pechez le rude chaſtiment.	Et, cent fois, j'ai maudit cette innocente envie Qui m'a pris à dîné, de voir la Comédie, Où, pensant m'égayer, j'ai misérablement Trouvé de mes péchés le rude châtiment.
Il faut que je te faſſe un recit de l’affaire;	Il faut que je te fasse un récit de l'affaire;
Car	Car
Car je m’en ſens encor tout émû de colere.	Car je m'en sens encor tout ému de colère.
J’eſtois ſur le Theatre, en humeur d’écouter La piece, qu’à pluſieurs j’avois ouï vanter;	J'étais sur le Théâtre, en humeur d'écouter La pièce, qu'à plusieurs j'avais ouï vanter;
Les Acteurs commençoient, chacun preſtoit ſilence, Lors que d’un air bruyant, & plein d’extravagance, Un homme à grans canons eſt entré bruſquement En criant, hola-ho, un ſiege promptement;	Les Acteurs commençaient, chacun prêtait siège, Lors que d'un air bruyant, et plein d'extravagance, Un homme à grans canons est entré brusquement En criant, hola-ho, un siège promptement;
Et de ſon grand fracas ſurprenant l’aſſemblée, Dans le plus bel endroit a la piece troublée.	Et de son grand fracas surprenant l'assemblée, Dans le plus bel endroit à la pièce troublée.
Hé mon Dieu!	Hé mon Dieu!
nos François ſi ſouvent redreſſez, Ne prendront-ils jamais un air de gens ſenſez, Ay-je dit, & faut-il, ſur nos defauts extrémes, Qu’en theatre public nous nous joüions nous-mêmes, Et confirmions ainſi, par des éclats de foux,  Ce que chez nos voiſins on dit par tout de nous?	nos Français si souvent redressez, Ne prendront-ils jamais un air de gens sensé, Ai-je dit, et faut-il, sur nos défauts extrême, Qu'en théâtre public nous nous jouions nous-mêmes, Et confirmions ainsi, par des éclats de foux, Ce que chez nos voisins on dit par tout de nous?
Tandis que là-deſſus je hauſſois les épaules, Les Acteurs ont voulu continuer leurs Rôles:	Tandis que là-dessus je haussais les épaules, Les Acteurs ont voulu continuer leurs Rôles:
Mais l’homme, pour s’aſſeoir, a fait nouveau fracas, Et traverſant encor le Theatre à grans pas, Bien que dans les coſtez il puſt eſtre à ſon aiſe, Au milieu du devant il a planté ſa chaiſe, Et de ſon large dos morguant les ſpectateurs, Aux trois quarts du parterre a caché les Acteurs.	Mais l'homme, pour s'asseoir, a fait nouveau fracas, Et traversant encor le Théâtre à grans pas, Bien que dans les côtés il pût être à son aise, Au milieu du devant il a planté sa chaise, Et de son large dos morguant les spectateurs, Aux trois quarts du parterre a caché les Acteurs.
Un bruit s’eſt élevé, dont un autre euſt eu honte;	Un bruit s'est élevé, dont un autre eût eu honte;
Mais luy, ferme, & conſtant, n’en a fait aucun conte;	Mais quelque, ferme, et constant, n'en a fait aucun compte;
Et ſe ſeroit tenu comme il s’eſtoit poſé, Si, pour mon infortune, il ne m’euſt aviſé.	Et se serait tenu comme il s'était posé, Si, pour mon infortune, il ne m'eût avisé.
Ha Marquis, m’a-t il dit, prenant prés de moy place, Comment te portes-tu:	Ha Marquis, m'a-t -il dit, prenant près de moi place, Comment te portes-tu:
counte, que je tembraſſe.	counte, que je tembrasse.
Au viſage, ſur l’heure, un rouge m’eſt monté, Que l’on me viſt connu d’un pareil eventé.	Au visage, sur l'heure, un rouge m'est monté, Que l'on me vît connu d'un pareil éventé.
Je l’eſtois peu pourtant, mais on en voit paroiſtre, De ces gens qui de rien veulent fort vous connoiſtre, Dont il faut au falut les baiſers eſſuyer,	Je l'étais peu pourtant, mais on en voit paraître, De ces gens qui de rien veulent fort vous connaître, Dont il faut au fallut les baisers essuyer,
Il m’a fait, à l’abord, cent queſtions frivoles, Plus haut que les Acteurs élevant ſes paroles.	Il m'a fait, à l'abord, cent questions frivoles, Plus haut que les Acteurs élevant ses paroles.
Chacun le maudiſſoit, & moy pour l’arreſter, Je ſerois, ay-je dit, bien-aiſe d’eſcouter.	Chacun le maudissait, et moi pour l'arrêter, Je serais, ai-je dit, bienaise d'écouter.
Tu n’as point veu cecy, Marquis;	Tu n'as point vu ceci, Marquis;
ah!	ah!
Dieu me danne, Je le trouve aſſez drole, & je n’y ſuis pas aſne;	Dieu me danne, Je le trouve assez drôle, et je n'y suis pas âne;
Je ſçais par quelles loix un ouvrage eſt parfait, Et Corneille me vient lire tout ce qu’il fait.	Je sais par quelles lois un ouvrage est parfait, Et Corneille me vient lire tout ce qu'il fait.
Là-deſſus de la piece il m’a fait un ſommaire, Sce ne, à Scene, averty de ce qu’il falloit faire, Et juſques à des vers qu’il en ſçavoit par cœur, Il me les recitoit tout haut avant l’Acteur.	Là-dessus de la pièce il m'a fait un sommaire, Scèce ne, à Scène, averti de ce qu'il fallait faire, Et jusques à des vers qu'il en savait par cœur, Il me les récitait tout haut avant l'Acteur.
J’avois beau m’en deffendre, il a pouſſé ſa chance, Et s’eſt, devers la fin, levé long-temps d’avance;	J'avais beau m'en défendre, il a poussé sa chance, Et s'est, devers la fin, levé longtemps d'avance;
Car les gens du bel air pour agir galamment Se gardent bien, ſur tout, d’oüir le dénoûment.	Car les gens du bel air pour agir galamment Se gardent bien, sur tout, d'ouïr le dénoûment.
Je rendois grace au Ciel, & croyois de juſtice, Qu’avec la Comedie euſt finy mon ſuplice:	Je rendais grâce au Ciel, et croyais de justice, Qu'avec la Comédie eût fini mon suplice:
Mais, comme ſi c’en euſt eſté trop bon marché, Sur nouveaux fraix mon homme à moy s’eſt attaché;	Mais, comme si c'en eût été trop bon marché, Sur nouveaux fraix mon homme à moi s'est attaché;
M’a conté ſes exploits, ſes vertus non communes;	M'a compté ses exploits, ses vertus non communes;
Parlé de ſes chevaux, de ſes bonnes fortunes, Et de ce qu’à la Cour il avoit de faveur, Diſant, qu’à m’y ſervir il s’offroit de grand cœur.	Parlé de ses chevaux, de ses bonnes fortunes, Et de ce qu'à la Cour il avait de faveur, Disant, qu'à m'y servir il s'offrait de grand cœur.
Je le remerciois doucement de la teſte, Minutant à tous coups quelque retraite honneſte:	Je le remerciais doucement de la tête, Minutant à tous coups quelque retraite honnête:
Mais luy, pour le quitter, me voyant ébranlé, Sortons, ce m’a-t-il dit, le monde eſt écoulé:	Mais ainsi, pour le quitter, me voyant ébranlé, Sortons, ce m'a-t-il dit, le monde est écoulé:
Et ſortis de ce lieu me la donnant plus ſeche.	Et sortis de ce lieu me la donnant plus seche.
Marquis, allons au Cours faire voir ma galeche;	Marquis, allons au Cours faire voir ma galèche;
Elle eſt bien entenduë, & plus d’un Duc & Pair, En fait, à mon faiſeur, faire une du même air.	Elle est bien entendue, et plus d'un Duc et Pair, En fait, à mon faiseur, faire une du même air.
Moy de luy rendre grace, & pour mieux m’en defendre, De dire que j’avois certain repas à rendre.	Moi de Seigneur rendre grâce, et pour mieux m'en défendre, De dire que j'avais certain repas à rendre.
Ah parbleu j’en veux eſtre, eſtant de tes amis, Er manque au Mareſchal à qui j’avois promis.	Ah parbleu j'en veux être, étant de tes amis, Er manque au Maréchal à qui j'avais promis.
De la chere, ay-je fait, la doze eſt trop peu forte Pour oſer y prier des gens de voſtre ſorte.	De la chère, ai-je fait, la dose est trop peu forte Pour oser y prier des gens de votre sorte.
Non;	Non;
m’a-t-il répondu, je ſuis ſans compliment, Et j’y vais pour cauſer avec toy ſeulement;	m'a-t-il répondu, je suis sans compliment, Et j'y vais pour causer avec toi seulement;
Je ſuis des grans repas fatigué, je te jure:	Je suis des grans repas fatigué, je te jure:
Mais ſi l’on vous attand, ay-je dit, c’eſt injure.	Mais si l'on vous attand, ai-je dit, c'est injure.
Tu te moques, Marquis, nous nous connoiſſons tous;	Tu te moques, Marquis, nous nous connaissons tous;
Et je trouve avec toy des paſſe-temps plus doux.	Et je trouve avec toi des passetemps plus doux.
Je peſtois contre moy, l’ame triſte & confuſe.	Je pétais contre moi, l'âme triste et confuse.
Du funeſte ſuccés qu’avoit eu mon excuſe, Et ne ſçavois à quoy je devois recourir, Pour ſortir d’une peine à me faire mourir;	Du funeste succès qu'avait eu mon excuse, Et ne savais à quoi je devais recourir, Pour sortir d'une peine à me faire mourir;
Lors qu’un caroſſe fait de ſuperbe maniere, Et comblé de laquais, & devant, & derriere, S’eſt avec un grand bruit devant nous arreſté;	Lors qu'un carosse fait de superbe manière, Et comblé de laquais, et devant, et derrière, S'est avec un grand bruit devant nous arrêté;
D’où ſautant un jeune homme amplement ajuſté, Mon importun & luy courant à l’embraſſade Ont ſurpris les paſſans de leur bruſque incartade;	D'où sautant un jeune homme amplement ajusté, Mon importun et lui courant à l'embrassade Ont surpris les passants de leur brusque incartade;
Et tandis que tous deux eſtoient precipitez Dans les convulſions de leurs civilitez, Je me ſuis doucement eſquivé ſans rien dire;	Et tandis que tous deux étaient précipités Dans les convulsions de leurs civilités, Je me suis doucement esquivé sans rien dire;
Non ſans avoir long-temps gemi d’un tel martyre, Et maudit ce Fâcheux dont le zele obſtiné M’oſtoit au rendez-vous qui m’eſt icy donné.	Non sans avoir longtemps gémi d'un tel martyre, Et maudit ce Fâcheux dont le zèle obstiné M'ôtait au rendez-vous qui m'est ici donné.
DA MONMAUNES Ce ſont chagrins meſlez aux plaiſirs de la vie.	DA MONMAUNES Ce sont chagrins mêlés aux plaisirs de la vie.
Tout ne va pas, Monſieur, au gré de noſtre envier Le Ciel veut qu’icy-bas chacun ait ſes Fâcheux;	Tout ne va pas, Monsieur, au gré de notre envier Le Ciel veut qu'ici-bas chacun ait ses Fâcheux;
Et les hommes ſeroient, ſans cela, trop heureux.	Et les hommes seraient, sans cela, trop heureux.
ERASTE.	ERASTE.
Mais de tous mes Fâcheux, le plus Fâcheux encore, Eſt Lyſandre, tuteur de celle que j’adore;	Mais de tous mes Fâcheux, le plus Fâcheux encore, Est Lysandre, tuteur de celle que j'adore;
Qui rompt ce qu’à mes vœux elle donne d’eſpoir, Et fait qu’en ſa preſence elle n’oſe me voir.	Qui rompt ce qu'à mes vœux elle donne d'espoir, Et fait qu'en sa présence elle n'ose me voir.
Je crains d’avoir déja paſſé l’heure promiſe, Et c’eit dans cette allée, ou devoit eſtre Orphiſe.	Je crains d'avoir déjà passé l'heure promise, Et c'éit dans cette allée, ou devait être Orphise.
LA MONTAGNE.	LA MONTAGNE.
L’heure d’un rendez-vous d’ordinaire s’eſtend ;	L'heure d'un rendez-vous d'ordinaire s'étend ;
Et n’eſt pas reſſerrée aux bornes d’un inſtant.	Et n'est pas resserrée aux bornes d'un instant.
ERASTE.	ERASTE.
A'eit viay;	A'éit viai;
inais je tremoie, ct mon ailour extréme D’un rien ſe fait un crime envers celle que j’aime.	inais je tremoie, ct mon ailour extrême D'un rien se fait un crime envers celle que j'aime.
LA MONTAGNE.	LA MONTAGNE.
Si ce parfait amour, que vous prouvez ſi bien, Se fait vers voſtre objet un grand crime de rien, Ce que ſon cœur, pour vous, ſent de feux legitimes, mail lcvanehles luy lait un fren de tous vos cilnies.	Si ce parfait amour, que vous prouvez si bien, Se fait vers votre objet un grand crime de rien, Ce que son cœur, pour vous, sent de feux légitimes, mail lèvanehles lui lait un fren de tous vos cilnies.
ERASTE.	ERASTE.
1 Mais, tout de bon, crois-tu que je ſois d’elle aimé?	1 Mais, tout de bon, crois-tu que je sois d'elle aimé?
LAMONTAGNE.	LAMONTAGNE.
Quoy?	Quoi?
vous doutez encor d’un amour confirmé.	vous doutez encor d'un amour confirmé.
ERASTE.	ERASTE.
Ah c’eſt mal-aiſément qu’en pareille matiere, Onceur bren emrainre prend ancurance entiere.	Ah c'est malaisément qu'en pareille matière, Onceur bren emrainre prend ancurance entière.
Il craint de ſe flatter, & dans les divers ſoins, Ce que plus il ſouhaite, eſt cé qu’il croit le moins.	Il craint de se flatter, et dans les divers soins, Ce que plus il souhaite, est cé qu'il croit le moins.
Mais ſongeons à trouver une beauté ſi rare.	Mais songeons à trouver une beauté si rare.
LA MONTAGNE.	LA MONTAGNE.
Monſieur, voſtre rabat par devant ſe ſepare.	Monsieur, votre rabat par devant se sépare.
dal ilpoita.	dal ilpaita.
ERASTE.	ERASTE.
LAMONTAGNE.	LAMONTAGNE.
Laiſſez-moy l’ajuſter, s’il vous plaiſt.	Laissez-moi l'ajuster, s'il vous plaît.
ERASTE.	ERASTE.
