LES GALANTES JERTVEVSES.	LES GALANTES JERTUEUSES.
Le plus ſouuent des yeux il deſcend dans le cœur, Cette Dorante enfin que vous croyez de glace, Ayme,	Le plus souvent des yeux il descend dans le cœur, Cette Dorante enfin que vous croyez de glace, Aime,
TYRINTHE.	TYRINTHÉ.
Et c’eſt cét amour qui cauſe ma diſgrace, Puiſque ce Dieu la rend par vne iniuſte loy, Senſible pour vn autre, inſenſible pour moy;	Et c'est cet amour qui cause ma disgrâce, Puisque ce Dieu la rend par une injuste loi, Sensible pour un autre, insensible pour moi;
Ouy Nerine il eſt vray, ie ſcay qu’elle eſt atteinte.	Oui Nerine il est vrai, je sais qu'elle est atteinte.
Mais ſa ftamɇ n’eſt pas le ſuiet de ma plainte, Et lors que ie la voids aymer Ariomant:	Mais sa fûtam n'est pas le sujet de ma plainte, Et lors que je la voits aimer Ariomant:
I’appreuue ſon Amour, mais non pas ſon Amant:	J'apreuve son Amour, mais non pas son Amant:
Car quel homage enfin peut-il faire à ſes charmes?	Car quel hommage enfin peut-il faire à ses charmes?
Ce mignon peut offrir des ſouſpirs, & de larmes, D'inutiles diſcours, & des vœux ſuperflus;	Ce mignon peut offrir des soupirs, et de larmes, D'inutiles discours, et des vœux superflus;
Il faut Nerine, il faut quelque choſe de plus:	Il faut Nerine, il faut quelque chose de plus:
L’eſclat de l’or vainquit la rigueur d’Athalante, Vn homage pareil doit m’acquerir Dorante, Et ie veux aujourd’hny gaigner ſes volontez, Par vn prix qui charma la Reyne des beautez.	L'éclat de l'or vainquit la rigueur d'Athalante, Un hommage pareil doit m'acquérir Dorante, Et tu veux aujourd'hanni gagner ses volontés, Par un prix qui charma la Reine des beauté.
NERINE.	NERINE.
C’eſt l'vnique moyen de vaincre cette belle, Cet eſpoir glorieux la rendra moins rebelle, Et dedans peu de iours vous ſerez aſſeuré;	C'est l'unique moyen de vaincre cette belle, Cet espoir glorieux la rendra moins rebelle, Et dedans peu de jours vous serez assuré;
Qu’Amour ne bleſſe plus qu’auec vn trait doré:	Qu'Amour ne blesse plus qu'avec un trait doré:
Apprenez que Dorante eſt en trop bonne eſcole, Pour ſe rendre aux appas d’vn cõpliment friuole, Qu'Ariomant ſe paiſt d’vn eſpon céceuant, Et que pour ſes ſouſpirs il n’aura que du vent.	Apprenez que Dorante est en trop bonne école, Pour se rendre aux appas d'un commliment frivole, Qu'Ariomant se paît d'un espon céceuant, Et que pour ses soupirs il n'aura que du vent.
TYRINTHE.	TYRINTHÉ.
Elle ſouffre pourtant, & cherit ſa preſence.	Elle souffre pourtant, et chérit sa présence.
NERINE.	NERINE.
Sa qualité l’obligé à cette complaiſance;	Sa qualité l'obligé à cette complaisance;
Et la ciuilité qui le porte à la voir, La doit auſſi porter à le bien receuoir:	Et la civilité qui le porte à la voir, La doit aussi porter à le bien recevoir:
amais tout ce ber aceuen;	amais tout ce ber acven;
& tout ce bon viſage, Sont de trompeurs appas où noſtre Amant s’engage, Les yeux ne ſont pas bien d’accords auec le cœur, Et lors qu’il eſt eſclaue, vn autre eſt le vainqueur.	et tout ce bon visage, Sont de trompeurs appas où notre Amant s'engage, Les yeux ne sont pas bien d'accords avec le cœur, Et lors qu'il est esclave, un autre est le vainqueur.
Vn autre?	Un autre?
TYRINTHE.	TYRINTHÉ.
NERINE.	NERINE.
Ouy Tyrinthe, vn autre fait ſa peine, Dorante ayme en vn mot.	Oui Tyrinthe, un autre fait sa peine, Dorante aime en un mot.
TYRINTHE.	TYRINTHÉ.
Qui bons Dieux!	Qui bons Dieux!
Asailes.	Asailes.
Clarigene.	Clarigène.
TYRINTHE.	TYRINTHÉ.
Nerine s’en eſt fait, il n’y faut plus penſer, L’Amour d’Ariomant n’a fait que me bleſſer;	Nerine s'en est fait, il n'y faut plus penser, L'Amour d'Ariomant n'a fait que me blesser;
Mais Clarigene enfin à mon ame abbatuë, Et tu viens de lancer la foudre qui me tuë.	Mais Clarigène enfin à mon âme abattue, Et tu viens de lancer la foudre qui me tue.
NERINE.	NERINE.
Ne deſeſperez point, ie veux vous faire voit, Le ſoin que i’ay de vous, & quel eſt mon pouuoir, Ma langue apres ma mort veut vous tendre la vie.	Ne désespérez point, votre veux vous faire voit, Le soin que j'ai de vous, et quel est mon pouvoir, Ma langue après ma mort veut vous tendre la vie.
Auec les meſmes traits qu’elle vous la rauie;	Avec les mêmes traits qu'elle vous la ravie;
Et par vn autre atreſt qu’elle va prononcer:	Et par un autre atrêt qu'elle va prononcer:
Vous tedonner l’eſpoir qu’elle auoit fait ceſſer, Ouy Tyrinthe eſperez, Dorante ſera voſtre, Quoy que ſa paſſion luy parle pour vn autre, Mon addreſſe à ſes yeux vous rendra ſi parfaict, Qu’il n’aura que l’eſpoir, dont vous auez l’effect, Adieu viuez content.	Vous tedonner l'espoir qu'elle avait fait cesser, Oui Tyrinthe espérez, Dorante sera votre, Quoi que sa passion nous parle pour un autre, Mon adresse à ses yeux vous rendra si parfait, Qu'il n'aura que l'espoir, dont vous avez l'effet, Adieu vivez content.
TYRINTHE, s’en allant.	TYRINTHE, s'en allant.
Croy deſſus cette attente, Que ie ſeray touſiours plus à toy, qu’à Dorante.	Crois dessus cette attente, Que ie serai toujours plus à toi, qu'à Dorante.
NERINE, ſeule.	NERINE, seule.
Ie croy fort ayſement ce que tu me promets, Car Dorante eſt d’humeur à ne t’aymer iamais, Et quoy que mon diſcours icy te perſuade;	Je crois fort aisément ce que tu me promets, Car Dorante est d'humeur à ne t'aimer jamais, Et quoi que mon discours ici te persuade;
Tu n’en auras iamais ſeulement vne œillade, Mais en quelque facon tu peux bien eſtre à moy, Et ta bourſe eſt le bien que i’eſpere de toy.	Tu n'en auras jamais seulement une œillade, Mais en quelque façon tu peux bien été à moi, Et ta bourse est le bien que j'espère de toi.
de EICD DI0	de EICD DI0
CLARIGENE.	CLARIGENE.
Oux Tyran des eſprits, Dieu des fers, & dde flames, Monarque ſouuerain & des cœurs, & des ames, Ne ſuffiſoit-il pas Amour, qu’vn bel objet, Fut maiſtre de mes ſens, & me fit ſon ſujet?	Oux Tyran des esprits, Dieu des fers, et dde flammes, Monarque souverain et des cœurs, et des âmes, Ne suffisait-il pas Amour, qu'un bel objet, Fut maître de mes sens, et me fit son sujet?
Sans qu’vne autre beauté dont mon ame eſt rauie, Tint encor ſoubs ſes loix ma franchiſe aſſeruie?	Sans qu'une autre beauté dont mon âme est ravie, Tint encor sous ses lois ma franchise asservie?
Ne ſuffiſoit-il pas de me voir enflammé, Et d’vne belle ardeur à demy conſumé?	Ne suffisait-il pas de me voir enflammé, Et d'une belle ardeur à demi consumé?
Sans qu’à ce feu diuin il fallut ioindre encore, Vn braſier qui me tuë, & pourtant que i’adore.	Sans qu'à ce feu divin il fallut joindre encore, Un brasier qui me tue, et pourtant que j'adore.
Ah!	Ah!
pardon chers objets dont i’ay ſenty de traits Ie dois plus de reſpect à vos diuins attraits, I’en reuere les coups, & ’en benis l’atteinte, Ma bouche contre Amour forme vne iniuſte plainte, Et de dans mes tranſports i’ay tort de murmurer, Des maux que par vos yeux il me fait endurer:	pardon chers objets dont j'ai senti de traits Je dois plus de respect à vos divins attraits, J'en révère les coups, et 'en bénite l'atteinte, Ma bouche contre Amour forme une injuste plainte, Et de dans mes transports j'ai tort de murmurer, Des maux que par vos yeux il me fait endurer:
Quoy qu’il ſoïent violens, la cauſe en eſt ſi belle, Que ie fais vanité de ſouffrir tout pour elle:	Quoi qu'il soïent elle, la cause en est si belle, Que je fais vanité de souffrir tout pour elle:
Ouy parfaicte Dorante, il n’eſt point de treſpas, Qui me puiſſe empeſcher d’adorer tes appas, Tu tegnes ſur mes ſens, ils t’ont faicte abſoluë:	Oui parfaite Dorante, il n'est point de trépas, Qui me puisse empêcher d'adorer tes appas, Tu tegnès sur mes sens, ils t'ont faite absolue:
Mais que dis-je?	Mais que dis-je?
ie ſens mon ame irreſoluë, Et quoy que ton bel œil ſe rende mon vainqueur, Li liane me touche, & partage mon cœur:	Les sens mon âme irrésolue, Et quoi que ton bel œil se rende mon vainqueur, Li ane me touche, et partage mon cœur:
Ouy ie l’ayme, & ie veux iuſqu’en la ſepulture, Luy garder vn Amour inuiolable, & pure;	Ou ie l'aime, et ainsi veux jusqu'en la sépulture, Lui garder un Amour inviolable, et pure;
Mais Dorante m’attire, & ſes perfections, Forcent ſi puiſſamment mes inclinations, Que ie ne puis ſouffrir l’abſence de ſes charmes, Et contre leur efforts ma conſtãce eſt ſans armes:	Mais Dorante m'attire, et ses perfections, Forcent si puissamment mes inclinations, Que Que ne puis souffrir l'absence de ses charmes, Et contre leur efforts ma constantce est sans armes:
Liliane, Doranre, Amour, Graces, Beautez, A quoy ſe reſoudront mes eſprits agitez?	Liliane, Doranre, Amour, Grâces, Beautés, A quoi se résoudront mes esprits agitez?
Ie meurs pour deux objets eſgalemẽt aymables, Tous deux ſont accomplis, &tous deux adorables, Ie les cheris tous deux, tous deux m’ont mis aux fers, Tous deux eſgalement ſont les Dieux que ie ſers, En meſme temps chez moy leur Amour prit naiſſance, Ils ont auſſi tous deux vne eſgale puiſſance, Mon Amour ne veut pas que ie ſois à l’vn d’eux, Et le Ciel me deffend de les aymer tous deux.	Je meurs pour deux objets également aimables, Tous deux sont accomplis, ettous deux adorables, Je les chéris tous deux, tous deux m'ont mis aux fers, Tous deux également sont les Dieux que sans sers, En même temps chez moi leur Amour prit naissance, Ils ont aussi tous deux égale puissance, Mon Amour ne veut pas que sans sois à l'un d'eux, Et le Ciel me défend de les aimer tous deux.
Reſoluons-nous enfin, & ſuiuons quelque route:	Résolvons-nous enfin, et suivons quelque route:
Ah!	Ah!
c’eſt trop conſulter, c’eſt, trop reſter en doute, Ie me rens à Dorante, & ie vay de ce pas, Confirmer cét arreſt à ſes diuins appas.	c'est trop consulter, c'est, trop rester en doute, Je me rents à Dorante, et ieclay de ce pas, Confirmer cet arrêt à ses diuins appas.
Dieux!	Dieux!
Il s’arreſte voyant venir Lilians.	Il s'arrête voyant venir Liliants.
SCENE III.	SCÈNE III.
LILIANE, CLRRIGENE.	LILIANE, CLRRIGENE.
LILIANE.	LILIANE.
V va Clarigine?	V va Clarigine?
LILIANE.	LILIANE.
Ne diroit-il pas mieux où l’attend vne belle, Où Dorante en vn mot prepare des liens, A ce ſuperbe cœur qui deſdaigne les miens:	Ne dirait-il pas mieux où l'attend une belle, Où Dorante en un mot prépare des liens, À ce superbe cœur qui dédaigne les miens:
Pourſuiuez Clarigene, allez-luy faire homage, La qualité des fers excuſe le ſeruage, Et ce n’eſt pas commettre vne infidelité, Quand on change en faueur d’vne Diuinité.	Poursuivez Clarigène, allez-lui faire hommage, La qualité des fers excuse le servage, Et ce n'est pas commettre une infidélité, Quand on change en faveur d'une Divinité.
CLARIGENE.	CLARIGENE.
Ah Madame!	Ah Madame!
eſpargnez vn cœur qui vous adore, Dorante eſt bien aymable, & certes ie l’honnore, Mais mon aueuglement ſeroit bien ſans pareil;	épargnez un cœur qui vous adore, Dorante est bien aimable, et certesrit l'honore, Mais mon aveuglement serait bien sans pareil;
Si lors que ie iouys des clartez d’vn ſoleïl, A ſon diuin eſclat ie fermois les paupieres, Affin de les ouurir à de moindres lumieres:	Si lors que ici jouis des clartés d'un soleil, À son divin éclat quelque fermais les paupières, Affin de les ouvrir à de moindres lumières:
Ouy belle Liliane, il eſt trop mal-aiſé, D'eſtouffer vn braſier quand vous l’auez cauſé, On en cherit l’ar deur, on en ayme la flame, Le cœur qui la reſſent la commun ique à l’ame, Et l’ame treuue enfin ce olanenn enalinant, Que qui brune pour vous bruile eternellement.	Oui belle Liliane, il est trop malaisé, D'étouffer un brasier quand vous l'avez causé, On en chérit l'ar devr, on en aime la flamme, Le cœur qui la ressent la commun ique à l'âme, Et l'âme trouve enfin ce olanenn alinant, Que qui brune pour vous bruile éternellement.
LILIANE.	LILIANE.
Clarigene, à quey bons des diſcours ſi friuoles, Puis qu’icy les effects dementent vos parolles;	Clarigène, à quei bons des discours si frivoles, Puis qu'ici les effets démentent vos paroles;
vous mgial toueuen ne dojoiogas, Où tendoient vos deſſeins auſſi bien que vos pas?	vous mégial touven ne dojoyogas, Où tendaient vos desseins aussi bien que vos pas?
CLARIGENE.	CLARIGENE.
Vous le voyez encor & l’effet vous le monſtte, Vous ayant veu venir, i’allois à la rencontre, Auec que le deſſein de vous rendre chez vous?	Vous le voyez encor et l'effet vous le monstte, Vous ayant vu venir, j'allais à la rencontre, Avec que le dessein de vous rendre chez vous?
Et i’attendois Madame, vn traictemẽt plus doux, Mais puis qu’en voſtre eſprit le ſoupcon eſt vn crime, Ie tieuue mon lupplice & iuite & legitime, Pourueu que vous quittiez ce mauuais ſentimẽt, Et que voſfre faueur ſuiue mon chaſtiment.	Et j'attendais Madame, un traitement plus doux, Mais puis qu'en votre esprit le soupçon est un crime, Je tieuve mon lupplice et juite et légitime, Pourvu que vous quittiez ce mauvais sentiment, Et que vosfre faveur suive mon châtiment.
LILIANE.	LILIANE.
Que vous eſtes adroict?	Que vous êtes adroit?
& que ie ſuis credulej	et que ici suis credulej
CLARIGENE.	CLARIGENE.
Bien;	Bien;
croyez moy de glace encore que ie bruſlé, Armez contre mon cœur vn iniuſte couroux, Il eſt preſt deſormais à ſouffrir tout de vous:	croyez moi de glace encore que ici brûlé, Armés contre mon cœur était injuste courroux, Il est prêt désormais à souffrir tout de vous:
Mais malgré vos rigueurs i’auray cet aduantage, Que ie ſouffre conſtant les tourmens d’vn volage, Et que par les effets de ma fidelité, Mon Amour eſt plus grand que voſtre cruauté.	Mais malgré vos rigueurs j'aurai cet avantage, Que ie souffre constant les tourments d'un volage, Et que par les effets de ma fidélité, Mon Amour est plus grand que votre cruauté.
EILTARE.	EILTARE.
Ne me reprochez pas de vous eſtre cruelle, Ie la ſuis auſſi peu que vous m’eſtes fidelle, Voſtre flame s’eſteint quand mon cœur eſt eſpris, Et ma facilité fait naiſtre vos meſpris.	Ne me reprochez pas de vous être cruelle, Je la suis aussi peu que vous m'êtes fidèle, Votre flamme s'éteint quand mon cœur est épris, Et ma facilité fait naître vos mépris.
CLARIGENE.	CLARIGENE.
Ie vous feray Madame, eſprouuer le contraire,	Je vous ferai Madame, éprouver le contraire,
LILIANE.	LILIANE.
On promet ayſement ce qu’on ne veut pas faite, Etc’eſt par ces appas auſſi vains que puiſſans, Qu’on iouë adroictement les eſprits innocens:	On promet aisément ce qu'on ne veut pas faite, Etc'est par ces appas aussi vains que puissants, Qu'on joue adroitement les esprits innocents:
Ie veux croire pourtãt qu’aujourd’huy Clarigene, Ne change de liens qu’auec vn peu de pejne, Et queique ber oojet qui luy dome la loy.	Je veux croire pourtant qu'aujourd'hui Clarigène, Ne change de liens qu'avec un peu de pejne, Et queique ber ojet qui avait dôme la loi.
Qu’vn reſte d’amitié l’attache encore à moy.	Qu'un reste d'amitié l'attache encore à moi.
CLARIGENE.	CLARIGENE.
Vn reſte d’amitié Madame, ah!	Un reste d'amitié Madame, ah!
ce blaſpheme, Offencant mon amour, vous offence vous meſme, Vn reſte d’amitié?	ce blaspheme, Offensant mon amour, vous offense vous -même, Un reste d'amitié?
Dieux pouuez vous penſer, Qu’apres vous auoir veuë, on vous puiſſe laiſſer?	Dieux pouvez vous penser, Qu'après vous avoir vue, on vous puisse laisser?
Non non il ne ſe peut, & quoy qu’on ſe propoſe, Vous voir, & vous aymer n’eſt qu’vne meſme choſe;	Non non il ne se peut, et quoi qu'on se propose, Vous voir, et vous aimer n'est qu'une seule chose;
I’en faits experience, & dedans le tombeau, Ie veux encore aymer vn chef-d’œuure ſi beau, Si l’on ſouute daumie quentes domeuits ſõbres, Vn aſtre comme vous brille parmy les ombres.	J'en faits expérience, et dedans le tombeau, Je veux encore aimer un chef-d'œuvre si beau, Si l'on souvte daumie quentes domeuits sontbres, Votre astre comme vous brille parmi les ombres.
LILTANE.	LILTANE.
Clarigené eſt aymable, ou volage, ou conſtant.	Clarigéné est aimable, ou volage, ou constant.
CLARIGENE.	CLARIGENE.
Ou douce, ou rigoureuſe, il vous en dit autant.	Ou douce, ou rigoureuse, il vous en dit autant.
LILIANE.	LILIANE.
nieaue vece compmucne oorante qui vuduance, Vous en pourroit blamer.	nieave vèce compucne oorante qui vudance, Vous en pourrait blâmer.
CLARIGENE.	CLARIGENE.
Euitant ſa preſence, re pourray quant & quant éuiter ce ſoucy,	Étant sa présence, re pourrai quant et quant éviter ce souci,
LILIANE.	LILIANE.
Vous eſtes trop ciuil pour en vſer ainfi, Demeurez Clarigene.	Vous êtes trop civil pour en user ainsi, Demeurez Clarigène.
CLARIGENE, bas.	CLARIGENE, bas.
importune contrainte, Trompons-les toutes deux par vne meſme feinte, Amout ſois mon ſecouts en cette occaſion, drimianea ilalhel de na coulunens	importune contrainte, Trompons-les toutes deux par une même feinte, Amout sois mon secouts en cette occasion, drimanea ilhel de na coulunents
SCENE IIII.	SCÈNE IIII.
DORANTE, CLARIGENE, LILIANE.	DORANTE, CLARIGENE, LILIANE.
DORANTE.	DORANTE.
Ieux!	Jeux!
qu’eſt ce que ie voids?	qu'est ce que personne voits?
eſt-ce vous B Clarigene?	est-ce vous B Larigène?
Certes mal-gré mes yeux ie demeure incertaine, Vous auez bien ſes traits, mais non pas ſes humeurs, Et vous auez changé de viſage, ou de mœurs:	Certes malgré mes yeux ie demeure incertaine, Vous avez bien ses traits, mais non pas ses humeurs, Et vous avez changé de visage, ou de mœurs:
Car enfin Clarigene auec tous ſes merites, Ne nous refuſoit poiné l’honneur de ſes viſites, Et par des complimens veritables ou faux.	Car enfin Clarigène avec tous ses mérites, Ne nous refusait poiné l'honneur de ses visites, Et par des compliments véritables ou faux.
Témoignoit qu’ayſement il ſouffroit nos deffaux;	Témoignait qu'aisément il souffrait nos défauts;
Mais on ne vous void point, & ie ſuis embalance, Si vous eſtes l'autheur de cette complaiſance, Qui nous faiſoit iouir d vn n uoun endetien, Auant Auant que mon mal-heur m'euſt priué de ce bien.	Mais on ne vous voit point, et ainsi suis embalance, Si vous êtes l'auteur de cette complaisance, Qui nous faisait jouir d ît n uoun endetien, Avant Auant que mon malheur m'eût privé de ce bien.
CLARIGENE.	CLARIGENE.
Ouy ouy, n’en doutez plus, ie ſuis ce Clarigene, Qui ne merite pas que vous preniez la peine, Ny que vous témoigniez auoir quelque ſoucy;	Oui oui, n'en doutez plus, je suis ce Clarigène, Qui ne mérite pas que vous preniez la peine, Ni que vous témoigniez avoir quelque souci;
De ſcauoir ſeulement ſi ie reſpire icy:	De savoir seulement si belle respire ici:
Il eſt vray que parfois vos bontez ſans pareilles, Ont permis à mes yeux d'admirer vos merueilles:	Il est vrai que parfois vos bontés sans pareilles, Ont permis à mes yeux d'admirer vos merveilles:
Mais i’ay craint du depuis par trop de liberté, De pauer du deuon a rimpoitumte.	Mais j'ai craint du depuis par trop de liberté, De paver du dévon a rimpoitumte.
LILIANE.	LILIANE.
Pout vn eſprit adroit cette excuſe eſt groſſiere.	Pont un esprit adroit cette excuse est grossière.
DORANTE.	DORANTE.
Et le miẽ void trop clair prés de tãt de lumiere, Pour croire ſans raiſon, & ſi facilement, Que chez-vous le reſpect ait fait ce changement:	Et le myon voit trop clair prés de tenez de lumière, Pour croire sans raison, et si facilement, Que chez-vous le respect ait fait ce changement:
Vous m’auez negligée, & i’en cognois la cauſe, Au bon heur que ie veux Liliane s’oppoſe, Et ſur vous deſormais elle a tant de pouuoir.	Vous m'avez négligée, et j'en connais la cause, Au bon heur que sans veux Liliane s'oppose, Et sur vous désormais elle a tant de pouvoir.
Qu’il ſemble qu’elle ſeule, ait le droit de vous voir.	Qu'il semble qu'elle seule, ait le droit de vous voir.
LILIANE.	LILIANE.
L’honneur que i’en recois vient de ſa courtoiſie, Et voſtre opinion d’vn peu de jalouſie, Raiſonnable pourtant puis que mal-aiſement, On quitte l’entretiend va eſprit ſi charmant.	L'honneur que j'en reçois vient de sa courtoisie, Et votre opinion d'un peu de jalousie, Raisonnable pourtant puis que malaisément, On quitte l'entretien va esprit si charmant.
